00000001db15f740 (__TEXT,__text) non-external +[NFPromise new]
00000001db164960 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001db164204 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001db164904 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001db1643d8 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001db16490c (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001db164200 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001db164794 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001db164108 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001db164110 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001db164914 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001db1645e4 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001db16428c (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001db164314 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001db16446c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001db16491c (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001db162a7c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001db1629dc (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001db1629d4 (__TEXT,__text) non-external -[NFMutexLock init]
00000001db162b2c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001db162ac8 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001db162b34 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001db15c71c (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001db15c54c (__TEXT,__text) non-external -[NFPendingPromise init]
00000001db15c6b0 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001db15c70c (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001db15c6fc (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001db15c6b8 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001db15c714 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001db15c704 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001db160d18 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001db15f860 (__TEXT,__text) non-external -[NFPromise always:]
00000001db15fef8 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001db15f7f4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001db160b5c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001db160a40 (__TEXT,__text) non-external -[NFPromise delay]
00000001db15f850 (__TEXT,__text) non-external -[NFPromise error:]
00000001db15fe70 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001db160490 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001db160390 (__TEXT,__text) non-external -[NFPromise error]
00000001db15f76c (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001db15f4a8 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001db15f6b8 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001db15f354 (__TEXT,__text) non-external -[NFPromise init]
00000001db160204 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001db160088 (__TEXT,__text) non-external -[NFPromise pipe]
00000001db1607f0 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001db16051c (__TEXT,__text) non-external -[NFPromise resolve]
00000001db160ccc (__TEXT,__text) non-external -[NFPromise seal]
00000001db160cd4 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001db15f840 (__TEXT,__text) non-external -[NFPromise then:]
00000001db15f870 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001db15fffc (__TEXT,__text) non-external -[NFPromise thenOn]
00000001db15ff74 (__TEXT,__text) non-external -[NFPromise then]
00000001db162ff4 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001db163068 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001db162178 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001db161b88 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001db1617c0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001db1652cc (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001db165344 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001db1620c8 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001db162124 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001db161740 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001db1616c0 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001db161638 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001db162170 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001db161cf0 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001db1618a0 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001db161894 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001db1618b0 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001db161e34 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001db1653bc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001db1620d0 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001db16212c (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001db16211c (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001db162084 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001db162114 (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001db16207c (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001db162984 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001db162708 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001db162554 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001db1625f0 (__TEXT,__text) non-external -[NFReachability _updateCurrentReachabilityStatus:]
00000001db162938 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001db162890 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001db1624c4 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001db162510 (__TEXT,__text) non-external -[NFReachability flushStatusUpdates]
00000001db162310 (__TEXT,__text) non-external -[NFReachability init]
00000001db1628ec (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001db1628a0 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001db162940 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001db162898 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001db1628f4 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001db1628a8 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001db15ebf0 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001db15dda0 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001db15dd30 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001db15dfd8 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001db1651b4 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001db15decc (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001db16513c (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001db15de70 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001db15ddfc (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001db15dc44 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001db15dba8 (__TEXT,__text) non-external -[NFStateMachine description]
00000001db15eb48 (__TEXT,__text) non-external -[NFStateMachine events]
00000001db15e0e4 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001db15da70 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001db15eb94 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001db15eac4 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001db15eb50 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001db15eb9c (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001db15eaf0 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001db15ea80 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001db15eb04 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001db15ea70 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001db15ebe8 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001db15ea78 (__TEXT,__text) non-external -[NFStateMachine state]
00000001db15eafc (__TEXT,__text) non-external -[NFStateMachine states]
00000001db15ebe0 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001db15ea68 (__TEXT,__text) non-external -[NFStateMachine status]
00000001db162f98 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001db162d18 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001db162f3c (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001db162f88 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001db162e08 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001db162c0c (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001db162b3c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001db162c4c (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001db162ee0 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001db162de0 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001db162f44 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001db162f90 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001db162ee8 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001db162ef8 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001db162ef0 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001db163ce8 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001db163c98 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001db163b3c (__TEXT,__text) non-external -[NFStateMachineState description]
00000001db163cd8 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001db163cc8 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001db163a30 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001db1639b8 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001db163a70 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001db163c88 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001db163bc0 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001db163c60 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001db163c10 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001db163c38 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001db163be8 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001db163ca0 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001db163ce0 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001db163cd0 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001db163c90 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001db163cc0 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001db163cb0 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001db163cb8 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001db163ca8 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001db163d5c (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001db164030 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001db163f58 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001db163eb0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001db163e08 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001db15c4e4 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001db15c498 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001db15c280 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001db15c3b4 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001db15c400 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001db15c158 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001db15c4a0 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001db15c3bc (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001db15c408 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001db15c370 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001db15c454 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001db15c368 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001db15c44c (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001db15c148 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001db15c150 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001db15c070 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001db15c0cc (__TEXT,__text) non-external -[NFUnfairLock init]
00000001db15c134 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001db15c0d4 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001db15c140 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001db160d34 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001db15da00 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001db15f074 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001db16139c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001db16149c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001db15ec84 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001db164bd8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001db164b20 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001db167430 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001db16748c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001db1674a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001db15d780 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001db164dfc (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001db16545c (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00000001ecf9fa60 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001ecf9fa58 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001db164c08 (__TEXT,__text) external _NFDeviceIsA7
00000001db164c10 (__TEXT,__text) external _NFDeviceIsA8
00000001db164d54 (__TEXT,__text) external _NFDeviceModelString
00000001db164d20 (__TEXT,__text) external _NFDeviceOSVersion
00000001db164c18 (__TEXT,__text) external _NFDevicePlatform
00000001db165448 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00000001ecf9fa50 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ecf9fa48 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001db164d14 (__TEXT,__text) external _NFGeneralDeviceString
00000001db15bf80 (__TEXT,__text) external _NFInternalBuild
00000001db164e44 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00000001ecf9fa70 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001ecf9fa68 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001db162204 (__TEXT,__text) external _NFLockSync
00000001db161570 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001db15bfe0 (__TEXT,__text) external _NFSeedBuild
00000001e7996fb0 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001db15bfe8 (__TEXT,__text) external _NFStoreDemoMode
00000001db164e58 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00000001ecf9fa40 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001ecf9fa71 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001db164d88 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001db166700 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001db1666c0 (__TEXT,__const) external _NewsFoundationVersionString
00000001ecf9f998 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ecf9f8f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ecf9f8d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ecf9f8a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ecf9f9c0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ecf9f880 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001ecf9f920 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ecf9f858 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ecf9f830 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ecf9f808 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001ecf9f7e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001ecf9f7b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001ecf9f790 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001ecf9f768 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ecf9f740 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ecf9f718 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ebd6f1b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001ebd6f1bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001ebd6f1d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001ebd6f1cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001ebd6f1c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001ebd6f1c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001ebd6f1c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001ebd6f1f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001ebd6f1f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001ebd6f1f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001ebd6f250 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001ebd6f254 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001ebd6f258 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00000001ebd6f224 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
