0000000223292348 (__TEXT,__text) non-external +[CBOR cborFalse]
000000022328f2bc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
000000022328f774 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
000000022328fd98 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
0000000223290064 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
000000022328d210 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
000000022328d218 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
0000000223294d54 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
0000000223296694 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
0000000223292528 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
0000000223290d8c (__TEXT,__text) non-external -[CBOR array]
0000000223290b5c (__TEXT,__text) non-external -[CBOR boolValue]
0000000223292504 (__TEXT,__text) non-external -[CBOR cachedHash]
00000002232904d8 (__TEXT,__text) non-external -[CBOR copyWithZone:]
0000000223290cdc (__TEXT,__text) non-external -[CBOR data]
0000000223290e64 (__TEXT,__text) non-external -[CBOR date]
0000000223291448 (__TEXT,__text) non-external -[CBOR description]
0000000223290df8 (__TEXT,__text) non-external -[CBOR dictionary]
0000000223290a64 (__TEXT,__text) non-external -[CBOR doubleValue]
0000000223292454 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00000002232908ac (__TEXT,__text) non-external -[CBOR hash]
0000000223290800 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
000000022329051c (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
000000022329133c (__TEXT,__text) non-external -[CBOR isBoolean]
0000000223291350 (__TEXT,__text) non-external -[CBOR isDate]
00000002232913e8 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00000002232908b0 (__TEXT,__text) non-external -[CBOR isEqual:]
0000000223291328 (__TEXT,__text) non-external -[CBOR isFloatNumber]
000000022329130c (__TEXT,__text) non-external -[CBOR isWholeNumber]
000000022329096c (__TEXT,__text) non-external -[CBOR longLongValue]
0000000223290ad8 (__TEXT,__text) non-external -[CBOR numeric]
0000000223292514 (__TEXT,__text) non-external -[CBOR orderedKeys]
000000022329250c (__TEXT,__text) non-external -[CBOR setCachedHash:]
000000022329251c (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00000002232924d4 (__TEXT,__text) non-external -[CBOR setTag:]
00000002232924e8 (__TEXT,__text) non-external -[CBOR setValue:]
00000002232924fc (__TEXT,__text) non-external -[CBOR setValueSize:]
0000000223290bdc (__TEXT,__text) non-external -[CBOR string]
00000002232924cc (__TEXT,__text) non-external -[CBOR tag]
00000002232924c4 (__TEXT,__text) non-external -[CBOR type]
00000002232909e0 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00000002232924f4 (__TEXT,__text) non-external -[CBOR valueSize]
00000002232924e0 (__TEXT,__text) non-external -[CBOR value]
000000022328e1a4 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
0000000223293a38 (__TEXT,__text) non-external -[COSE .cxx_destruct]
0000000223292e28 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00000002232934a0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
0000000223293a08 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
0000000223293a18 (__TEXT,__text) non-external -[COSE contentType]
0000000223292d5c (__TEXT,__text) non-external -[COSE content]
0000000223293a10 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00000002232926f8 (__TEXT,__text) non-external -[COSE initWithCBOR:]
0000000223292578 (__TEXT,__text) non-external -[COSE initWithData:]
00000002232925cc (__TEXT,__text) non-external -[COSE initWithData:type:]
0000000223292a18 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
0000000223293a28 (__TEXT,__text) non-external -[COSE initializationVector]
0000000223293a20 (__TEXT,__text) non-external -[COSE keyIdentifier]
0000000223293a30 (__TEXT,__text) non-external -[COSE partialInitializationVector]
0000000223292c5c (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
0000000223293a00 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
0000000223293ab8 (__TEXT,__text) non-external -[COSE setType:]
0000000223293b3c (__TEXT,__text) non-external -[COSE sourceObject]
0000000223292df0 (__TEXT,__text) non-external -[COSE tag]
00000002232939f8 (__TEXT,__text) non-external -[COSE type]
0000000223292cdc (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00000002232965f4 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
000000022329599c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00000002232965cc (__TEXT,__text) non-external -[COSEKey algorithm]
00000002232965e4 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00000002232964c4 (__TEXT,__text) non-external -[COSEKey ecCurveD]
0000000223296404 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
0000000223296444 (__TEXT,__text) non-external -[COSEKey ecCurveX]
0000000223296484 (__TEXT,__text) non-external -[COSEKey ecCurveY]
0000000223293b3c (__TEXT,__text) non-external -[COSEKey getSource]
00000002232965d4 (__TEXT,__text) non-external -[COSEKey identifier]
0000000223295f84 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
0000000223296124 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002232962a8 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
0000000223294e14 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
0000000223294dc0 (__TEXT,__text) non-external -[COSEKey initWithData:]
0000000223296584 (__TEXT,__text) non-external -[COSEKey okpCurveD]
0000000223296504 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
0000000223296544 (__TEXT,__text) non-external -[COSEKey okpCurveX]
00000002232965dc (__TEXT,__text) non-external -[COSEKey operations]
00000002232965ec (__TEXT,__text) non-external -[COSEKey symmetricKey]
00000002232965c4 (__TEXT,__text) non-external -[COSEKey type]
0000000223294d40 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
0000000223294c8c (__TEXT,__text) non-external -[COSE_Mac0 description]
0000000223294aac (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
0000000223294768 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
0000000223294980 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
0000000223294d30 (__TEXT,__text) non-external -[COSE_Mac0 mac]
0000000223294684 (__TEXT,__text) non-external -[COSE_Sign1 description]
0000000223293cac (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
0000000223293b74 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00000002232945d0 (__TEXT,__text) non-external -[COSE_Sign1 signature]
0000000223293e94 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
000000022329408c (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
0000000223294344 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00000002232944a8 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00000002232942a0 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
000000022329b1fc (__TEXT,__gcc_except_tab) non-external GCC_except_table9
0000000223298fa0 (__TEXT,__const) external _CBORLibraryVersionNumber
0000000223298f70 (__TEXT,__const) external _CBORLibraryVersionString
0000000223298fc8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
0000000223298fc9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
000000026e833f40 (__DATA,__data) external _COSEHeaderX509Bag
000000026e833f48 (__DATA,__data) external _COSEHeaderX509Chain
000000026e833f58 (__DATA,__data) external _COSEHeaderX509Hash
000000026e833f60 (__DATA,__data) external _COSEHeaderX509HashSender
000000026e833f68 (__DATA,__data) external _COSEHeaderX509Uri
000000026e833f70 (__DATA,__data) external _COSEHeaderX509UriSender
000000026e833f50 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000271316408 (__AUTH,__objc_data) external _OBJC_CLASS_$_CBOR
0000000271316458 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE
0000000271316548 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSEKey
00000002713164f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00000002713164a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000026e833a20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
000000026e833a24 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
000000026e833a14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
000000026e833a10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
000000026e833a18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
000000026e833a1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
000000026e833a34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
000000026e833a28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
000000026e833a3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
000000026e833a38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
000000026e833a44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
000000026e833a40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
000000026e833a48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
000000026e833a30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
000000026e833a2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
000000026e833a68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
000000026e833a74 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
000000026e833a50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
000000026e833a54 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
000000026e833a6c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
000000026e833a70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
000000026e833a60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
000000026e833a58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
000000026e833a5c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
000000026e833a78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
000000026e833a64 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
000000026e833a4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000271316430 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000271316480 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE
0000000271316570 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000271316520 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00000002713164d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000271316778 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000002728a2ca8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00000002728a2f48 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00000002728a3040 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002713162e0 (__AUTH,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002728a3118 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002728a2da0 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000223297680 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002728a2c80 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00000002728a2ee0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00000002728a2fd8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002728a2e30 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002728a30d0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002728a2d38 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002728a2c38 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00000002728a2e98 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00000002728a2f90 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00000002728a2de8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00000002728a3088 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00000002728a2cf0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000002728a3160 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00000002232976a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
0000000223297808 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
0000000223297840 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002232979f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
0000000223297ab8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
0000000223297ba8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
0000000223297bf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00000002728a3500 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00000002728a37b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00000002728a3bf8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00000002728a3b28 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00000002728a35c8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00000002728a38d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00000002728a3d60 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00000002728a3b50 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00000002728a3a30 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00000002728a3390 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002728a3478 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000002728a31a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000002728a3370 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000002728a3498 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000002728a33d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000002728a34a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00000002728a3720 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00000002728a39a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00000002728a3e38 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00000002728a3b68 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00000002728a3a98 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000026ac72868 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000026ac72860 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000002728a34b8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00000002728a3768 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00000002728a3bb0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00000002728a3ae0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00000002728a39e8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
000000026e833ee0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
000000026e833e80 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000026ac72e08 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
0000000223293714 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00000002232938d8 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
000000022328cf4c (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00000002232936fc (__TEXT,__text) non-external ___Block_byref_object_copy_
000000022329370c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000026ac727e0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00000002728a23c8 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000223293834 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
000000022329388c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
0000000223276764 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
0000000223276764 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002232768a0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002232766cc (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
0000000223276850 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
0000000223276850 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
0000000223276850 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000022326abfc (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
0000000223277ac4 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
0000000223277b0c (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
000000022328ca20 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
0000000223289868 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
000000022327f724 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
0000000223276adc (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
000000022327ff4c (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
0000000223276d10 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
0000000223282614 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00000002232779d8 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
000000022327f730 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
0000000223276720 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
000000022326afe0 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
0000000223298dd0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
0000000223298f38 (__TEXT,__const) non-external ___unnamed_2
0000000223298a78 (__TEXT,__const) non-external ___unnamed_23
0000000223297e88 (__TEXT,__const) non-external ___unnamed_5
000000022329123c (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000026ac72798 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
000000026ac72780 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
