                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000019430ffdc (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000194310268 (__TEXT,__text) external _KClientPasswordLogin
0000000194310158 (__TEXT,__text) external _KClientPasswordLoginCompat
00000001943102f8 (__TEXT,__text) external _KClientPrincipalToV4String
0000000194310300 (__TEXT,__text) external _KClientPrincipalToV4Triplet
00000001943102d8 (__TEXT,__text) external _KClientProtectIntegrity
0000000194310188 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000194310210 (__TEXT,__text) external _KClientSetClientPrincipal
0000000194310258 (__TEXT,__text) external _KClientSetKeyFile
0000000194310230 (__TEXT,__text) external _KClientSetLocalAddress
0000000194310004 (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000194310054 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000194310240 (__TEXT,__text) external _KClientSetRemoteAddress
0000000194310220 (__TEXT,__text) external _KClientSetServerPrincipal
0000000194310168 (__TEXT,__text) external _KClientStatusCompat
00000001943102f0 (__TEXT,__text) external _KClientV4StringToPrincipal
00000001943102b0 (__TEXT,__text) external _KClientVerifyAuthenticator
00000001943102a0 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
00000001943102e0 (__TEXT,__text) external _KClientVerifyIntegrity
0000000194310190 (__TEXT,__text) external _KClientVerifyIntegrityCompat
00000001943102a8 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
00000001943101d8 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
00000001943101e0 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000194310128 (__TEXT,__text) external _KClientVersionCompat
0000000194309fd8 (__TEXT,__text) external _KLAcquireInitialTickets
000000019430a1fc (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
000000019430a994 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
000000019430a114 (__TEXT,__text) external _KLAcquireNewInitialTickets
000000019430a9b4 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
000000019430a318 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
000000019430a08c (__TEXT,__text) external _KLAcquireNewTickets
000000019430a2a4 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000194309f68 (__TEXT,__text) external _KLAcquireTickets
000000019430a188 (__TEXT,__text) external _KLAcquireTicketsWithPassword
000000019430a498 (__TEXT,__text) external _KLCacheHasValidTickets
000000019430b198 (__TEXT,__text) external _KLCancelAllDialogs
000000019430a98c (__TEXT,__text) external _KLChangePassword
000000019430b1a0 (__TEXT,__text) external _KLChangePasswordWithPasswords
000000019430b720 (__TEXT,__text) external _KLComparePrincipal
000000019430b2c0 (__TEXT,__text) external _KLCountKerberosRealms
000000019430b7ec (__TEXT,__text) external _KLCreateLoginOptions
000000019430b40c (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
000000019430b458 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
000000019430b33c (__TEXT,__text) external _KLCreatePrincipalFromString
000000019430b2e8 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
000000019430a93c (__TEXT,__text) external _KLDestroyTickets
000000019430baa0 (__TEXT,__text) external _KLDisposeLoginOptions
000000019430b798 (__TEXT,__text) external _KLDisposePrincipal
000000019430bb04 (__TEXT,__text) external _KLDisposeString
000000019430b1c8 (__TEXT,__text) external _KLFindKerberosRealmByName
000000019430a490 (__TEXT,__text) external _KLGetApplicationOptions
000000019430b1b8 (__TEXT,__text) external _KLGetDefaultLoginOption
000000019430b650 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
000000019430b0fc (__TEXT,__text) external _KLGetErrorString
000000019430b1b0 (__TEXT,__text) external _KLGetIdleCallback
000000019430b2c8 (__TEXT,__text) external _KLGetKerberosDefaultRealm
000000019430b240 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
000000019430b298 (__TEXT,__text) external _KLGetKerberosRealm
000000019430b580 (__TEXT,__text) external _KLGetStringFromPrincipal
000000019430b4a4 (__TEXT,__text) external _KLGetTripletFromPrincipal
000000019430b0f4 (__TEXT,__text) external _KLHandleError
000000019430b2b0 (__TEXT,__text) external _KLInsertKerberosRealm
000000019430ac30 (__TEXT,__text) external _KLLastChangedTime
000000019430b9d0 (__TEXT,__text) external _KLLoginOptionsSetAddressless
000000019430b8d4 (__TEXT,__text) external _KLLoginOptionsSetForwardable
000000019430b928 (__TEXT,__text) external _KLLoginOptionsSetProxiable
000000019430b97c (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
000000019430ba40 (__TEXT,__text) external _KLLoginOptionsSetServiceName
000000019430b880 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
000000019430ba08 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
000000019430b2b8 (__TEXT,__text) external _KLRemoveAllKerberosRealms
000000019430b2a8 (__TEXT,__text) external _KLRemoveKerberosRealm
000000019430a9bc (__TEXT,__text) external _KLRenewInitialTickets
000000019430a488 (__TEXT,__text) external _KLSetApplicationOptions
000000019430b1c0 (__TEXT,__text) external _KLSetDefaultLoginOption
000000019430b1a8 (__TEXT,__text) external _KLSetIdleCallback
000000019430b2d8 (__TEXT,__text) external _KLSetKerberosDefaultRealm
000000019430b2e0 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
000000019430b2a0 (__TEXT,__text) external _KLSetKerberosRealm
000000019430b040 (__TEXT,__text) external _KLSetSystemDefaultCache
000000019430a99c (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
000000019430af58 (__TEXT,__text) external _KLTicketExpirationTime
000000019430ae70 (__TEXT,__text) external _KLTicketStartTime
000000019430ac28 (__TEXT,__text) external _KLValidateInitialTickets
000000019430a9ac (__TEXT,__text) external _KLVerifyInitialTicketCredentials
000000019430a9a4 (__TEXT,__text) external _KLVerifyInitialTickets
000000019430fcc8 (__TEXT,__text) external _KPCreatePreferencesFile
000000019430fcb4 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
000000019430fcac (__TEXT,__text) external _KPGetListOfPreferencesFiles
000000019430fca4 (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
000000019430fcb8 (__TEXT,__text) external _KPPreferencesFileIsReadable
000000019430fcc0 (__TEXT,__text) external _KPPreferencesFileIsWritable
00000001943101b0 (__TEXT,__text) external _KServerAddKeyCompat
00000001943101b8 (__TEXT,__text) external _KServerGetKeyCompat
00000001943101a8 (__TEXT,__text) external _KServerGetReplyTicketCompat
00000001943101c0 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000194310198 (__TEXT,__text) external _KServerNewSessionCompat
00000001943101a0 (__TEXT,__text) external _KServerVerifyTicketCompat
000000019430e888 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001eb10cba8 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000019430bb44 (__TEXT,__text) external ___KLAllowAutomaticPrompting
000000019430bb34 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
000000019430bb5c (__TEXT,__text) external ___KLAllowRememberPassword
000000019430bbc4 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
000000019430bb64 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
000000019430bc10 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
000000019430bc20 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
000000019430bb94 (__TEXT,__text) external ___KLGetTripletFromPrincipal
000000019430bc38 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
000000019430bc38 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
000000019430bc40 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
000000019430bc18 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
000000019430bc28 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
000000019430bb54 (__TEXT,__text) external ___KLPromptMechanism
000000019430bc30 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
000000019430bb20 (__TEXT,__text) external ___KLSetApplicationPrompter
000000019430bb3c (__TEXT,__text) external ___KLSetAutomaticPrompting
000000019430bb28 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
000000019430bb4c (__TEXT,__text) external ___KLSetPromptMechanism
0000000194309874 (__TEXT,__text) external ___KerberosDebugLogLevel
000000019430987c (__TEXT,__text) external ___KerberosDebugPrint
0000000194309884 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000194309888 (__TEXT,__text) external ___KerberosDebugPrintSession
0000000194309880 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001eb10c5d0 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000194305680 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001e76f1048 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e76f1088 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e76f1068 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001efc7d4f0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001efc7d530 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001efc7d510 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000194308c90 (__TEXT,__text) non-external ___error_message_block_invoke
0000000194304b90 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00000001943081dc (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
000000019430a5ec (__TEXT,__text) non-external _acquireticket_ui
000000019430e0c0 (__TEXT,__text) non-external _add_data_to_buffer
0000000194304ce4 (__TEXT,__text) external _add_error_table
000000019430c7cc (__TEXT,__text) non-external _add_to_list
0000000194311b50 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000194311c50 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
0000000194304cec (__TEXT,__text) external _cc_close
0000000194304cf4 (__TEXT,__text) external _cc_create
0000000194304cfc (__TEXT,__text) external _cc_destroy
0000000194304d04 (__TEXT,__text) external _cc_free_NC_info
0000000194304d0c (__TEXT,__text) external _cc_free_creds
0000000194304d14 (__TEXT,__text) external _cc_free_name
0000000194304d1c (__TEXT,__text) external _cc_free_principal
00000001edc42738 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000194304d24 (__TEXT,__text) external _cc_get_NC_info
0000000194304d2c (__TEXT,__text) external _cc_get_change_time
0000000194304d34 (__TEXT,__text) external _cc_get_cred_version
0000000194304d3c (__TEXT,__text) external _cc_get_name
0000000194304d44 (__TEXT,__text) external _cc_get_principal
0000000194306618 (__TEXT,__text) external _cc_initialize
000000019430786c (__TEXT,__text) non-external _cc_iterator_clone
0000000194305c50 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000194307814 (__TEXT,__text) non-external _cc_iterator_release
0000000194304d4c (__TEXT,__text) external _cc_open
0000000194304d54 (__TEXT,__text) external _cc_remove_cred
0000000194304d5c (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000194304d64 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000194304d6c (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000194304d74 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000194304d7c (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000194304d84 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000194304d8c (__TEXT,__text) external _cc_set_principal
0000000194304d94 (__TEXT,__text) external _cc_shutdown
0000000194304d9c (__TEXT,__text) external _cc_store
0000000194307724 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
000000019430748c (__TEXT,__text) non-external _ccache_compare
00000001943066f4 (__TEXT,__text) non-external _ccache_destroy
00000001edc427a0 (__AUTH,__data) non-external _ccache_functions
0000000194307430 (__TEXT,__text) non-external _ccache_get_change_time
0000000194306804 (__TEXT,__text) non-external _ccache_get_credentials_version
000000019430757c (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00000001943073b8 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000194306820 (__TEXT,__text) non-external _ccache_get_name
00000001943068cc (__TEXT,__text) non-external _ccache_get_principal
00000001edc42840 (__AUTH,__data) non-external _ccache_iterator_functions
0000000194307348 (__TEXT,__text) non-external _ccache_lock
0000000194307280 (__TEXT,__text) non-external _ccache_move
0000000194307188 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000194305bf0 (__TEXT,__text) non-external (was a private external) _ccache_release
0000000194306fb4 (__TEXT,__text) non-external _ccache_remove_credentials
000000019430676c (__TEXT,__text) non-external _ccache_set_default
0000000194307660 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000194306a20 (__TEXT,__text) non-external _ccache_set_principal
0000000194306b64 (__TEXT,__text) non-external _ccache_store_credentials
0000000194307380 (__TEXT,__text) non-external _ccache_unlock
00000001943077b4 (__TEXT,__text) non-external _ccache_wait_for_change
00000001943077bc (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001e76f1100 (__DATA_CONST,__const) non-external _conf_no
00000001e76f10c8 (__DATA_CONST,__const) non-external _conf_yes
00000001eb10c768 (__DATA,__bss) non-external _context_change_time
00000001943065ec (__TEXT,__text) non-external _context_compare
0000000194306144 (__TEXT,__text) non-external _context_create_ccache
0000000194306284 (__TEXT,__text) non-external _context_create_default_ccache
00000001943063e8 (__TEXT,__text) non-external _context_create_new_ccache
0000000194305e64 (__TEXT,__text) non-external _context_get_change_time
0000000194305ec0 (__TEXT,__text) non-external _context_get_default_ccache_name
00000001943065dc (__TEXT,__text) non-external _context_lock
0000000194306534 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000194305f5c (__TEXT,__text) non-external _context_open_ccache
000000019430605c (__TEXT,__text) non-external _context_open_default_ccache
0000000194305e14 (__TEXT,__text) non-external _context_release
00000001943065e4 (__TEXT,__text) non-external _context_unlock
0000000194306610 (__TEXT,__text) non-external _context_wait_for_change
0000000194305dbc (__TEXT,__text) non-external _create_ccache
0000000194305740 (__TEXT,__text) non-external _cred_compare
0000000194305b84 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001edc42720 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000194305750 (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000194305b8c (__TEXT,__text) non-external _cred_iter_release
00000001943056f4 (__TEXT,__text) non-external _cred_release
00000001edc42710 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
000000019430fcd8 (__TEXT,__text) external _decomp_ticket
000000019430ff04 (__TEXT,__text) external _dest_all_tkts
000000019430fee4 (__TEXT,__text) external _dest_tkt
0000000194308214 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001eb10c780 (__DATA,__bss) non-external _do_log
000000019430dbd0 (__TEXT,__text) non-external _dump_profile
000000019430e07c (__TEXT,__text) non-external _dump_profile_to_buffer_cb
000000019430dfc4 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000194304da4 (__TEXT,__text) external _encode_krb5_as_req
000000019430c85c (__TEXT,__text) non-external _end_list
0000000194308c08 (__TEXT,__text) external _error_message
00000001eb10c798 (__DATA,__bss) non-external _error_message.buffer
00000001943126a4 (__TEXT,__text) non-external _error_message.cold.1
00000001eb10c790 (__DATA,__bss) non-external _error_message.et_list
00000001eb10c788 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
000000019430acf0 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001eb10cba0 (__DATA,__bss) non-external _g_cc_change_time
00000001eb10c5d8 (__DATA,__data) non-external _g_change_time_mutex
00000001eb10cb98 (__DATA,__bss) non-external _g_kl_change_time
000000019430fd30 (__TEXT,__text) external _get_ad_tkt
000000019430fda8 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001eb10c4f8 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001eb10c510 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001eb10c4d0 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001eb10c4b8 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001eb10c488 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001eb10c4a0 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001eb10c470 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
                 (indirect) external _gss_export_sec_context (for _gss_export_sec_context)
                 (undefined) external _gss_get_mic (from GSS)
                 (indirect) external _gss_get_mic (for _gss_get_mic)
0000000194311c94 (__TEXT,__text) external _gss_import_name
                 (undefined) external _gss_import_sec_context (from GSS)
                 (indirect) external _gss_import_sec_context (for _gss_import_sec_context)
                 (undefined) external _gss_indicate_mechs (from GSS)
                 (indirect) external _gss_indicate_mechs (for _gss_indicate_mechs)
                 (undefined) external _gss_init_sec_context (from GSS)
                 (indirect) external _gss_init_sec_context (for _gss_init_sec_context)
                 (undefined) external _gss_inquire_context (from GSS)
                 (indirect) external _gss_inquire_context (for _gss_inquire_context)
                 (undefined) external _gss_inquire_cred (from GSS)
                 (indirect) external _gss_inquire_cred (for _gss_inquire_cred)
                 (undefined) external _gss_inquire_cred_by_mech (from GSS)
