00007fff8063a838 (__DATA,__data) non-external _C
00007fff20215d0e (__TEXT,__text) external ____runetype
00007fff20215c70 (__TEXT,__text) external ____runetype_l
00007fff20216bcb (__TEXT,__text) external ____tolower
00007fff20216b2e (__TEXT,__text) external ____tolower_l
00007fff20216c90 (__TEXT,__text) external ____toupper
00007fff20216bf3 (__TEXT,__text) external ____toupper_l
00007fff20263415 (__TEXT,__text) non-external (was a private external) ___abort
00007fff201fbe3b (__TEXT,__text) external ___add_ovflpage
00007fff201fbbce (__TEXT,__text) external ___addel
00007fff202027bd (__TEXT,__text) external ___any_on_D2A
00007fff2026269e (__TEXT,__text) external ___assert_rtn
00007fff806064b0 (__DATA_DIRTY,__bss) non-external ___atexit
00007fff2023da08 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007fff80606490 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007fff8063d390 (__DATA,__common) non-external (was a private external) ___atexit_receipt_handler
00007fff2020238b (__TEXT,__text) external ___b2d_D2A
00007fff201fa51e (__TEXT,__text) external ___big_delete
00007fff201fa258 (__TEXT,__text) external ___big_insert
00007fff201fab66 (__TEXT,__text) external ___big_keydata
00007fff201fa7f5 (__TEXT,__text) external ___big_return
00007fff201facd3 (__TEXT,__text) external ___big_split
00007fff202654e0 (__TEXT,__const) external ___bigtens_D2A
00007fff201f53f3 (__TEXT,__text) external ___bt_close
00007fff201f8fa7 (__TEXT,__text) external ___bt_cmp
00007fff201f9044 (__TEXT,__text) external ___bt_defcmp
00007fff201f9089 (__TEXT,__text) external ___bt_defpfx
00007fff201f586c (__TEXT,__text) external ___bt_delete
00007fff201f5e8e (__TEXT,__text) external ___bt_dleaf
00007fff201f6d42 (__TEXT,__text) external ___bt_fd
00007fff201f7c49 (__TEXT,__text) non-external ___bt_first
00007fff201f702a (__TEXT,__text) external ___bt_free
00007fff201f64ff (__TEXT,__text) external ___bt_get
00007fff201f705b (__TEXT,__text) external ___bt_new
00007fff201f65d5 (__TEXT,__text) external ___bt_open
00007fff201f6249 (__TEXT,__text) non-external ___bt_pdelete
00007fff201f55a7 (__TEXT,__text) external ___bt_pgin
00007fff201f572b (__TEXT,__text) external ___bt_pgout
00007fff201f70ae (__TEXT,__text) external ___bt_put
00007fff201f6479 (__TEXT,__text) non-external ___bt_relink
00007fff201f8e09 (__TEXT,__text) external ___bt_ret
00007fff201f7601 (__TEXT,__text) external ___bt_search
00007fff201f7840 (__TEXT,__text) external ___bt_seq
00007fff201f7bfc (__TEXT,__text) external ___bt_setcur
00007fff201f7e35 (__TEXT,__text) external ___bt_split
00007fff201f54d8 (__TEXT,__text) external ___bt_sync
00007fff201fb2ca (__TEXT,__text) external ___buf_free
00007fff201fb292 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007fff80605258 (__DATA_DIRTY,__data) non-external ___c_locale
00007fff2024f02b (__TEXT,__text) non-external ___calc_left_pad
00007fff201f9de2 (__TEXT,__text) external ___call_hash
00007fff8063a4d0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007fff20261042 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007fff20261054 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007fff20261003 (__TEXT,__text) non-external (was a private external) ___chk_init
00007fff20261066 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007fff201e5ba0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007fff201e5bc0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007fff80607db0 (__DATA_DIRTY,__common) external ___cleanup
00007fff20202244 (__TEXT,__text) external ___cmp_D2A
00007fff202127a8 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007fff2021293f (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007fff20212ac2 (__TEXT,__text) external ___collate_equiv_match
00007fff20212e0e (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007fff20211fde (__TEXT,__text) non-external (was a private external) ___collate_err
00007fff8063a968 (__DATA,__data) external ___collate_load_error
00007fff202116a6 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007fff8063cf80 (__DATA,__bss) non-external ___collate_load_tables.cache
00007fff202122f1 (__TEXT,__text) external ___collate_lookup
00007fff2021209b (__TEXT,__text) external ___collate_lookup_l
00007fff202124b6 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007fff202123b1 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007fff20212f48 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007fff8063cf88 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007fff8063cf90 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007fff20211dd9 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007fff20211f96 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007fff2021256f (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007fff201e5bf0 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007fff2020275e (__TEXT,__text) external ___copybits_D2A
00007fff201e67bd (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007fff201e61ac (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007fff8063c670 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007fff8063d388 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007fff20244d1d (__TEXT,__text) non-external ___cvt
00007fff8063d320 (__DATA,__bss) non-external ___cvt.s
00007fff2023dbbd (__TEXT,__text) external ___cxa_atexit
00007fff2023dd96 (__TEXT,__text) external ___cxa_finalize
00007fff2023dbe9 (__TEXT,__text) external ___cxa_finalize_ranges
00007fff2023ddce (__TEXT,__text) external ___cxa_thread_atexit
00007fff2020245a (__TEXT,__text) external ___d2b_D2A
00007fff80607dd8 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007fff201f916e (__TEXT,__text) non-external ___dberr
00007fff201f9149 (__TEXT,__text) external ___dbpanic
00007fff20203e2c (__TEXT,__text) external ___decrement_D2A
00007fff8063a860 (__DATA,__data) external ___default_hash
00007fff2024d339 (__TEXT,__text) external ___default_utx
00007fff8063a5d0 (__DATA,__data) non-external ___default_utx.once
00007fff2024d359 (__TEXT,__text) non-external ___default_utx_init
00007fff201fb4d8 (__TEXT,__text) external ___delpair
00007fff20216396 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007fff20202285 (__TEXT,__text) external ___diff_D2A
00007fff80606540 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007fff201feed8 (__TEXT,__text) external ___dtoa
00007fff2024d475 (__TEXT,__text) non-external (was a private external) ___endutxent
00007fff80607de0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007fff2023e0a8 (__TEXT,__text) non-external (was a private external) ___environ_lock
00007fff2023e0cf (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007fff8063d2b8 (__DATA,__bss) non-external ___environ_lock_obj
00007fff2023e0be (__TEXT,__text) non-external (was a private external) ___environ_unlock
                 (undefined) external ___error (from libsystem_kernel)
00007fff2023a8f6 (__TEXT,__text) non-external (was a private external) ___errstr
00007fff2021fe68 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007fff201f9cac (__TEXT,__text) external ___expand_table
00007fff8063d210 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007fff2021ca26 (__TEXT,__text) external ___fflush
00007fff2021ce2f (__TEXT,__text) external ___fgetwc
00007fff20220654 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007fff201fa672 (__TEXT,__text) external ___find_bigpair
00007fff201fa782 (__TEXT,__text) external ___find_last_page
00007fff20221d4c (__TEXT,__text) non-external (was a private external) ___find_warguments
00007fff2023e029 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007fff202656c0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00007fff2021338c (__TEXT,__text) external ___fix_locale_grouping_str
00007fff2021343e (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007fff2021dbb7 (__TEXT,__text) non-external (was a private external) ___fputwc
00007fff2021e0ad (__TEXT,__text) external ___fread
00007fff201fc70d (__TEXT,__text) external ___free_ovflpage
00007fff201fed74 (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007fff201e7ab8 (__TEXT,__text) non-external ___fts_open
00007fff2025e9fc (__TEXT,__text) non-external ___fts_open
00007fff201ffde4 (__TEXT,__text) external ___gdtoa
00007fff8063a500 (__DATA,__data) external ___gdtoa_locks
00007fff201fae6a (__TEXT,__text) external ___get_buf
00007fff20213e98 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007fff202143ca (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007fff202146dd (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007fff2023a09f (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007fff202161d2 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007fff201fc1cf (__TEXT,__text) external ___get_page
00007fff2020a6ce (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007fff80607d40 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
00007fff20200fa0 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00007fff20214700 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007fff2024d539 (__TEXT,__text) non-external (was a private external) ___getutxent
00007fff2024d89b (__TEXT,__text) non-external ___getutxid
00007fff2020b41c (__TEXT,__text) non-external (was a private external) ___gl_compare
00007fff2020b318 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007fff2020b8af (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007fff2020b42c (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007fff2020b029 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007fff2020b5cb (__TEXT,__text) non-external (was a private external) ___gl_match
00007fff2020acea (__TEXT,__text) non-external ___glob
00007fff2025cdfa (__TEXT,__text) non-external ___glob
00007fff80605820 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007fff2023d795 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007fff201f917c (__TEXT,__text) external ___hash_open
00007fff201fe720 (__TEXT,__text) external ___hdtoa
00007fff2024541c (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007fff202653d0 (__TEXT,__const) external ___hexdig_D2A
00007fff20201a46 (__TEXT,__text) external ___hexdig_init_D2A
00007fff20201a50 (__TEXT,__text) external ___hexnan_D2A
00007fff20201e6b (__TEXT,__text) external ___hi0bits_D2A
00007fff201fea88 (__TEXT,__text) external ___hldtoa
00007fff20201ed7 (__TEXT,__text) external ___i2b_D2A
00007fff201fc658 (__TEXT,__text) external ___ibitmap
00007fff2021b25a (__TEXT,__text) non-external ___inaddr_to_index
00007fff2026302c (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007fff20203da4 (__TEXT,__text) external ___increment_D2A
00007fff20242c7d (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007fff2021587e (__TEXT,__text) external ___isctype
00007fff20215815 (__TEXT,__text) external ___istype
00007fff202159dc (__TEXT,__text) external ___istype_l
00007fff80606430 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007fff80606488 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007fff20213bf8 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007fff202456d0 (__TEXT,__text) external ___ldtoa
00007fff201f37a2 (__TEXT,__text) external ___libc_init
00007fff20201d47 (__TEXT,__text) external ___lo0bits_D2A
00007fff2021fe93 (__TEXT,__text) non-external ___loadevp
00007fff80605210 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007fff201fb4bc (__TEXT,__text) external ___log2
00007fff8063d3c0 (__DATA,__common) non-external (was a private external) ___logname
00007fff8063a8a8 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007fff202663a0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007fff20202135 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007fff202041d6 (__TEXT,__text) non-external (was a private external) ___mantbits_D2A
00007fff202157c4 (__TEXT,__text) external ___maskrune
00007fff20215988 (__TEXT,__text) external ___maskrune_l
00007fff20202721 (__TEXT,__text) external ___match_D2A
00007fff8063a9d4 (__DATA,__data) external ___mb_cur_max
00007fff8063a9d8 (__DATA,__data) external ___mb_sb_limit
00007fff2022fb5a (__TEXT,__text) non-external ___mbsconv
00007fff20214c25 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007fff20261239 (__TEXT,__text) external ___memccpy_chk
00007fff2026167f (__TEXT,__text) external ___memcpy_chk
00007fff202611d4 (__TEXT,__text) external ___memmove_chk
00007fff20261092 (__TEXT,__text) external ___memset_chk
00007fff20213c0c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007fff8063cf98 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007fff20213ebb (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007fff8063cfa8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007fff20201efa (__TEXT,__text) external ___mult_D2A
00007fff20201dd6 (__TEXT,__text) external ___multadd_D2A
00007fff2021c1ef (__TEXT,__text) non-external ___nls_free_resources
00007fff20265d01 (__TEXT,__const) non-external ___nogrouping
00007fff201fed33 (__TEXT,__text) external ___nrv_alloc_D2A
00007fff201eef30 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007fff202143ed (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007fff8063cfb8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007fff20216427 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007fff2025de4f (__TEXT,__text) external ___opendir2
00007fff2020c830 (__TEXT,__text) external ___opendir2$INODE64
00007fff2020c916 (__TEXT,__text) non-external ___opendir_common
00007fff2025df32 (__TEXT,__text) non-external ___opendir_common
00007fff201f6f6b (__TEXT,__text) external ___ovfl_delete
00007fff201f6d8f (__TEXT,__text) external ___ovfl_get
00007fff201f6e64 (__TEXT,__text) external ___ovfl_put
00007fff2022bcc5 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007fff80606538 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007fff80606530 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007fff806063f0 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007fff202139c0 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007fff8063d3c8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007fff8063a8e8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007fff2020201a (__TEXT,__text) external ___pow5mult_D2A
00007fff202654d0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007fff2024b166 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007fff20263804 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007fff20249573 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007fff20263687 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007fff20249644 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007fff202636a8 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007fff2024a170 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007fff202636ee (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007fff2024a3d2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007fff2026370f (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007fff2024b8be (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007fff20263875 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007fff2024b8a0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007fff2024ab75 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007fff20263792 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007fff2024abf9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007fff202637b5 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007fff2024ae70 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007fff202637e3 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007fff2024b2b3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007fff20263830 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007fff2024b5ee (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007fff20263851 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007fff2024ba87 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007fff2024c353 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007fff2024b704 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007fff20225063 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007fff2024b812 (__TEXT,__text) non-external (was a private external) ___printf_out
00007fff2024b7a1 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007fff2024b737 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007fff2024b1a4 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007fff2024958e (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007fff2024967d (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007fff202636cb (__TEXT,__text) non-external ___printf_render_float.cold.1
00007fff2024a193 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007fff2024a44f (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007fff20263732 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007fff2026376f (__TEXT,__text) non-external ___printf_render_int.cold.2
00007fff2024b8d9 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007fff2024b8a8 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007fff2024ab9e (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007fff2024ac14 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007fff2024aea2 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007fff2024b2ce (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007fff2024b609 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007fff2020a050 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007fff806064d0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007fff201fc377 (__TEXT,__text) external ___put_page
00007fff20265dff (__TEXT,__const) non-external (was a private external) ___puts_null__
00007fff2024dadc (__TEXT,__text) non-external (was a private external) ___pututxline
00007fff201fed95 (__TEXT,__text) external ___quorem_D2A
00007fff2020267d (__TEXT,__text) external ___ratio_D2A
00007fff201fcf83 (__TEXT,__text) external ___rec_close
00007fff201fd274 (__TEXT,__text) external ___rec_delete
00007fff201fd380 (__TEXT,__text) external ___rec_dleaf
00007fff201fdcf5 (__TEXT,__text) external ___rec_fd
00007fff201fd7d7 (__TEXT,__text) external ___rec_fmap
00007fff201fd575 (__TEXT,__text) external ___rec_fpipe
00007fff201fd485 (__TEXT,__text) external ___rec_get
00007fff201fe004 (__TEXT,__text) external ___rec_iput
00007fff201fd9a9 (__TEXT,__text) external ___rec_open
00007fff201fdd44 (__TEXT,__text) external ___rec_put
00007fff201fe590 (__TEXT,__text) external ___rec_ret
00007fff201fe234 (__TEXT,__text) external ___rec_search
00007fff201fe3d8 (__TEXT,__text) external ___rec_seq
00007fff201fd03f (__TEXT,__text) external ___rec_sync
00007fff201fd8f4 (__TEXT,__text) external ___rec_vmap
00007fff201fd6a9 (__TEXT,__text) external ___rec_vpipe
00007fff201fb3a1 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007fff20201950 (__TEXT,__text) external ___rshift_D2A
00007fff20265200 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007fff20203ef2 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00007fff201fecf8 (__TEXT,__text) external ___rv_alloc_D2A
00007fff202025a9 (__TEXT,__text) external ___s2b_D2A
00007fff80606190 (__DATA_DIRTY,__data) external ___sF
00007fff80605f20 (__DATA_DIRTY,__data) non-external ___sFX
00007fff20223fe7 (__TEXT,__text) external ___sclose
00007fff806064f0 (__DATA_DIRTY,__bss) non-external ___scounted
00007fff80607db8 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007fff20203e5a (__TEXT,__text) external ___set_ones_D2A
00007fff20242cd2 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007fff2021470c (__TEXT,__text) external ___setonlyClocaleconv
00007fff2021655c (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007fff8063d198 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007fff8063d1a0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
