00007ff810c13896 (__TEXT,__text) non-external _Annihilate
00007ff810c249a0 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff810c2f598 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff810c1a094 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff810c1a16c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff810c1a24b (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff810c1a137 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff810c1e3a9 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff810c1e3a0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff810c1e280 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff810c20b32 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff810c1e362 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff810c1e349 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff810c1a048 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff810c20af7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff810c20a67 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff810c20908 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff810c209ee (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff810c1e2b4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff810c0aba7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff810c19ddd (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff810c19dea (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff810c14b33 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff810c05d2b (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff810c07990 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff810c05ab0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff810c05bfd (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff810c0ab24 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff810c0895c (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff810c05d01 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff810c05a10 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff810c0ab37 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff810c0aba7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff810c1cc18 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff810c239cc (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff810c4a844 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff810c61058 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
00007ff810c61058 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00007ff810c137a2 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff810c1394b (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff810c32de3 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff810c2ba31 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff810c2c69c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff810c2adc6 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff810c2b77e (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff810c2c3e9 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff810c2ab13 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff810c2bc40 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff810c2c8ab (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff810c2afd5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff810c2babe (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff810c2c729 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff810c2ae53 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff810c19ea9 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff810c14b1f (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff810c55b46 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff810c32d7f (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff810c1364d (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff810c2d786 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff810c4c6d6 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff810c56d16 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff810c24c15 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff810c38d70 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff810c392b0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff810c3885c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff810c81aa0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff810c19f0c (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff810c24906 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff810c13958 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff810c14b6e (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff810c34194 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff810cb5f88 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff810cb5f82 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff810cb5f70 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff810c34b70 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff810c37495 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff810c12f1d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff810c12f1d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff810c36afe (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff810c378af (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff810c32df0 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff810c19ebd (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff810c137e7 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff810c24ffe (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff810c2dad7 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff810c2d7a9 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff810c3575f (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff810c13420 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff810c36687 (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
00007ff810c36e45 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff810c12fd6 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff810c36d7d (__TEXT,__text) non-external _BuildHistograms
00007ff810c619d0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff810c61ad0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff810c0abb2 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff810c136de (__TEXT,__text) non-external _CollectGarbagePointers
00007ff810c564e7 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff810c2f518 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff810c57c95 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff810c1c614 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff810c3cc04 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff810c3dafc (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff810c46ebf (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff810c3e6fb (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff810c4229e (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff810c436e3 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff810c44bdc (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff810c3f799 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff810c461d1 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff810c47e52 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff810c40c95 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff810c48ec1 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff810c0bdb6 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff810c618c0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff810c1e998 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff810c1c795 (__TEXT,__text) non-external _DecodeContextMap
00007ff810c1f4bd (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff810c1ef3c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff810c1b461 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff810c1ba2e (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff810c12e9c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff810c35c9c (__TEXT,__text) non-external _EncodeContextMap
00007ff810c08a8b (__TEXT,__text) non-external _EncodeData
00007ff810c2f342 (__TEXT,__text) non-external _EvaluateNode
00007ff810c0b685 (__TEXT,__text) non-external _ExtendLastCommand
00007ff810c81b70 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff810cbf480 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff810cd7fa0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff810c0b4c7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff810c0b53b (__TEXT,__text) non-external _GetHashTable
00007ff810c56fe4 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff810c5719f (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff810c56e29 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff810c617c0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff810cd84a0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff810c61740 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff810c2e91e (__TEXT,__text) non-external _InitZopfliCostModel
00007ff810c0ae7e (__TEXT,__text) non-external _InitializeH6
00007ff810c0897a (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff810c1e465 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff810c26693 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff810c26645 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff810c2656a (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff810c59953 (__TEXT,__text) non-external _MapStaticContexts
00007ff810c0b1d6 (__TEXT,__text) non-external _PrepareH35
00007ff810c0aee5 (__TEXT,__text) non-external _PrepareH4
00007ff810c0b020 (__TEXT,__text) non-external _PrepareH40
00007ff810c0b020 (__TEXT,__text) non-external _PrepareH41
00007ff810c0b0c0 (__TEXT,__text) non-external _PrepareH42
00007ff810c0af53 (__TEXT,__text) non-external _PrepareH5
00007ff810c0b168 (__TEXT,__text) non-external _PrepareH54
00007ff810c0b2de (__TEXT,__text) non-external _PrepareH55
00007ff810c0afaf (__TEXT,__text) non-external _PrepareH6
00007ff810c0b390 (__TEXT,__text) non-external _PrepareH65
00007ff810c1ccbd (__TEXT,__text) non-external _ProcessCommands
00007ff810c1bbe9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff810c1e64d (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff810c1f163 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff810c1eb73 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff810c1e3d3 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff810c1d728 (__TEXT,__text) non-external _SafeProcessCommands
00007ff810c1b318 (__TEXT,__text) non-external _SaveErrorCode
00007ff810c30ac0 (__TEXT,__text) non-external _SetCost
00007ff810c33015 (__TEXT,__text) non-external _Shift
00007ff810c0abfe (__TEXT,__text) non-external _ShouldCompress
00007ff810c525e0 (__TEXT,__text) non-external _ShouldCompress
00007ff810c13205 (__TEXT,__text) non-external _ShouldMergeBlock
00007ff810c618d0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff810c13822 (__TEXT,__text) non-external _SortPointers
00007ff810c61eb0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff810c52836 (__TEXT,__text) non-external _StoreCommands
00007ff810cb6cf0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff810cb6af0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff810c35618 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff810c371ae (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff810c36776 (__TEXT,__text) non-external _StoreSymbol
00007ff810c3692e (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff810c35a54 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff810c37a2d (__TEXT,__text) non-external _StoreVarLenUint8
00007ff810c1339d (__TEXT,__text) non-external _UpdateBits
00007ff810c0b615 (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff810c2eac9 (__TEXT,__text) non-external _UpdateNodes
00007ff810c1e24c (__TEXT,__text) non-external _WrapRingBuffer
00007ff810c0b8fb (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff810c1b32c (__TEXT,__text) non-external _WriteRingBuffer
00007ff810c2e990 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff810cd83d0 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
00007ff810c82090 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff810c81fa0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8415458d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff810c222c1 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff810cbde60 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff843ea3d00 (__DATA,__data) non-external __dyld_private
00007ff810cb62d0 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff810c61c00 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff810cbe060 (__TEXT,__const) non-external (was a private external) __length_code
00007ff810c5587b (__TEXT,__text) non-external (was a private external) __tr_align
00007ff810bfd9de (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff810bfbdc5 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff810c55754 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff810c55aab (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff810bfbc8f (__TEXT,__text) non-external (was a private external) _adler32
00007ff810c05500 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff810cbe850 (__TEXT,__const) non-external _base_dist
00007ff810cbe7d0 (__TEXT,__const) non-external _base_length
00007ff810c55a29 (__TEXT,__text) non-external _bi_flush
00007ff810bff323 (__TEXT,__text) non-external _bi_windup
00007ff810cbe7b0 (__TEXT,__const) non-external _bl_order
00007ff810cb6050 (__TEXT,__const) non-external _breverse.brev8
00007ff810c53a59 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff810c53a8e (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff810c53c44 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff810c53b6e (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff810c53aca (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff810bfe395 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff810c539e2 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff810c53001 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff810c5396a (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff810c534d2 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff810bfeefa (__TEXT,__text) non-external _compress_block
00007ff810c0113f (__TEXT,__text) external _compression_decode_buffer
00007ff810c0103b (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff810c4ca56 (__TEXT,__text) external _compression_encode_buffer
00007ff810c4c904 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff810bff4e3 (__TEXT,__text) external _compression_stream_destroy
00007ff810c238da (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff810c23884 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff810c2383d (__TEXT,__text) external _compression_stream_get_state_size
00007ff810c237bb (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff810bfb6c0 (__TEXT,__text) external _compression_stream_init
00007ff810c2376d (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff810c23930 (__TEXT,__text) external _compression_stream_is_state_valid
00007ff810bfc310 (__TEXT,__text) external _compression_stream_process
00007ff810c0188f (__TEXT,__text) external _compression_stream_reinit
00007ff841546140 (__DATA_CONST,__const) non-external _configuration_table
00007ff810c2a4cf (__TEXT,__text) non-external _convert_row_16to8
00007ff810c2a46a (__TEXT,__text) non-external _convert_row_8to16
00007ff810c2a26c (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff810c29d72 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff810c2a7cc (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff810c2a544 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff810c29b49 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff810c29f91 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff810c2a6cf (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff810c2a5fd (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff810c2a537 (__TEXT,__text) non-external _convert_row_copy16
00007ff810c28fe2 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff810c28f88 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff810c298d0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff810c29695 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff810c29140 (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff810c29a2c (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff810c297aa (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff810c293e3 (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff810c5debe (__TEXT,__text) external _cosl_codec_decode
00007ff810c5d4b3 (__TEXT,__text) external _cosl_codec_encode
00007ff810c5ddb5 (__TEXT,__text) external _cosl_codec_get_decoded_size
00007ff810c5ebc4 (__TEXT,__text) external _cosl_codec_get_id
00007ff810c5e975 (__TEXT,__text) external _cosl_codec_map
00007ff810c5eb7a (__TEXT,__text) external _cosl_codec_unmap
00007ff810c5e492 (__TEXT,__text) external _cosl_model_create
00007ff810c5e5d4 (__TEXT,__text) external _cosl_model_destroy
00007ff810c5e5fd (__TEXT,__text) external _cosl_model_save_codec
00007ff810c5d016 (__TEXT,__text) external _cosl_model_update
00007ff810c3a7c6 (__TEXT,__text) external _cosmix_codec_decode
00007ff810c39e6c (__TEXT,__text) external _cosmix_codec_encode
00007ff810c3a6e2 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff810c3b2a5 (__TEXT,__text) external _cosmix_codec_get_id
00007ff810c3b11e (__TEXT,__text) external _cosmix_codec_map
00007ff810c3b25d (__TEXT,__text) external _cosmix_codec_unmap
00007ff810c3ad41 (__TEXT,__text) external _cosmix_model_create
00007ff810c3ae6c (__TEXT,__text) external _cosmix_model_destroy
00007ff810c3ae95 (__TEXT,__text) external _cosmix_model_save_codec
00007ff810c397f0 (__TEXT,__text) external _cosmix_model_update
00007ff810c52ce2 (__TEXT,__text) non-external (was a private external) _crc32
00007ff810cbf730 (__TEXT,__const) non-external _crc32_lut4
00007ff810cb6d50 (__TEXT,__const) non-external _crc_table
00007ff810c27242 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff810c19df7 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff810bfc722 (__TEXT,__text) non-external (was a private external) _deflate
00007ff810c5b5ff (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff810c5bbd4 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff810bff3f8 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff810bfb886 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff810c5b31b (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff810c5b4da (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff810c5b4a5 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff810bfbb48 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff810c5b345 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff810c5b480 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff810c5b5cb (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff810cbf6d0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff810c5bf8f (__TEXT,__text) non-external _deflate_fast
00007ff810c5b708 (__TEXT,__text) non-external _deflate_huff
00007ff810c5b883 (__TEXT,__text) non-external _deflate_rle
00007ff810bfd08d (__TEXT,__text) non-external _deflate_slow
00007ff810c5bdc7 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff810c33adc (__TEXT,__text) non-external _emitMatch
00007ff810cbe760 (__TEXT,__const) non-external _extra_blbits
00007ff810cbe6e0 (__TEXT,__const) non-external _extra_dbits
00007ff810cbe660 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff810bfd581 (__TEXT,__text) non-external _fill_window
00007ff810bff394 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff810c5b2cf (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
