00007ffa42eedef0 (__DATA,__data) non-external _.compoundliteral
00007ffa1832514c (__TEXT,__text) non-external _GetOpRegs
00007ffa18322bc4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa18328661 (__TEXT,__text) non-external _GetRegChunk
00007ffa18321428 (__TEXT,__text) non-external _GetRegister
00007ffa1832a681 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa18323f70 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa182ce16e (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1832c494 (__TEXT,__text) non-external _GetStreamArray
00007ffa182ce464 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa182ce2d4 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42eede10 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1831f1a9 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1831f149 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1831f2ae (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1831f3d5 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1831f3c4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1831f08e (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1831f333 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1831f514 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1831f47e (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1831f685 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1831f436 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa182ce188 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa182ce648 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa182b56f1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa182d0f28 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa183219d5 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa183222a8 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa18321aa0 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa18325248 (__TEXT,__text) non-external _IsBadUsage
00007ffa182b7038 (__TEXT,__text) non-external (was a private external) _Load
00007ffa182cdee0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa182cdf8f (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa182d2dc9 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa182d2e2e (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa182d0005 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa182d3680 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa182d2c2e (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa182d2e78 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa41d27360 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa41d27000 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa41d27580 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa41d276c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa41d271c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa41d272c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa41d277c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa41d27330 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa181e5b2f (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa181e58f6 (__TEXT,__text) external _PPParserAttachStream
00007ffa181e5779 (__TEXT,__text) external _PPParserAttachString
00007ffa181ee754 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa181e567a (__TEXT,__text) external _PPParserCreate
00007ffa181e61ad (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa181ed207 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa181e5847 (__TEXT,__text) external _PPParserFree
00007ffa181e5ed6 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa181ef5ed (__TEXT,__text) external _PPParserGetErrorString
00007ffa181ef604 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa181e61ec (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa181ef5a2 (__TEXT,__text) external _PPParserGetLimits
00007ffa181ef5e0 (__TEXT,__text) external _PPParserGetOptions
00007ffa181e5f8a (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa181e6289 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa181ef5fa (__TEXT,__text) external _PPParserGetStream
00007ffa181e4772 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa181e479c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa181e4854 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa181e47e4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa181ee85a (__TEXT,__text) non-external _PPParserInherit
00007ffa181e56f0 (__TEXT,__text) external _PPParserInit
00007ffa181ef6e2 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa181e58be (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa181e43f0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa181e440f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa181e4574 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa181e463a (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa181e4503 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa181e44d3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa181e45d3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa181ef68c (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa181ed5ef (__TEXT,__text) external _PPParserParse
00007ffa181e6f9c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa181eb159 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa181ec460 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa181ed052 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa181e6a49 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa181e9902 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa181ea405 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa181e694d (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa181eb2c7 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa181e6b00 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa181eb630 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa181eacb4 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa181ef514 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa181e6d03 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa181eaff6 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa181ecd68 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa181ec508 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa181ee9b0 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa181e639f (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa181ea548 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa181eab84 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa181e786e (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa181e9778 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa181e6be6 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa181eae30 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa181eb9ff (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa181eea6d (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa181ebeac (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa181ebd57 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa181e7674 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa181ec154 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa181ee8d4 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa181e4abd (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa181e573b (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00007ffa181e5f33 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa181e6149 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa181e5504 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa181e4878 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa181e5462 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa181e5607 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa181e5640 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa181e554f (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa181e558c (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00007ffa181e55c9 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00007ffa181ef5af (__TEXT,__text) external _PPParserSetLimits
00007ffa181ef595 (__TEXT,__text) external _PPParserSetPrefs
00007ffa181e56f6 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa181e70f4 (__TEXT,__text) non-external _PPParserValidateName
00007ffa18317f63 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa1831809c (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa183185a7 (__TEXT,__text) external _PPStreamAddConstant
00007ffa183184d1 (__TEXT,__text) external _PPStreamAddLabel
00007ffa183181d7 (__TEXT,__text) external _PPStreamAddOperation
00007ffa1831869c (__TEXT,__text) external _PPStreamAddOption
00007ffa18318105 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa18317fca (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa18318033 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa18318633 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa18317d00 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa18317d69 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa18317e91 (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa18317efa (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa1831816e (__TEXT,__text) external _PPStreamAddTexImage
00007ffa1831925e (__TEXT,__text) external _PPStreamAttachStream
00007ffa18317455 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa18319a7f (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa18317540 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa18317e73 (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa18317477 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa1831774c (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa18317a27 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa18317ab8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa18317604 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa18317623 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa18317781 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa18317b0f (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa18317935 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa1831781a (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa183177ba (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa1831786b (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa183178ad (__TEXT,__text) external _PPStreamChunkListSort
00007ffa18319927 (__TEXT,__text) external _PPStreamCompare
00007ffa18317c14 (__TEXT,__text) external _PPStreamCreate
00007ffa18317dd2 (__TEXT,__text) external _PPStreamFree
00007ffa18318702 (__TEXT,__text) external _PPStreamGetStream
00007ffa1831923c (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa183183d3 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa183182b5 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa18317466 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa18319b22 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa18317444 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa18318565 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa1831a1bc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa1831a0a0 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa181f0d3d (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa181f19e8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa18319118 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa18318a73 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa181f1b93 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa181f1b12 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa1831921d (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa181f1f10 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa181f2356 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa181f2116 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa181f22a0 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa18319232 (__TEXT,__text) external _PPStreamTokenFree
00007ffa181f0d11 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa181f0cc0 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa1834cdf0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa1834ceb0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa1834cf80 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa41d279c0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa181f2449 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa41d27e70 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1834ea50 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1834ea60 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1834eaa0 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1834ea70 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa18322da1 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa18322d14 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa182d3733 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa182d30e7 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa1832c052 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa182d2fb6 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa183218df (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1832186f (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1831fe43 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1831fdde (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa183224a1 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa183214a4 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa18322651 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa18322454 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1831fb44 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1831feab (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1831ff26 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa1832810b (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa181ef658 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa181ef752 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa182d30cd (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa182d212a (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa182d22c0 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa182d0fac (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa182d2441 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa182b6f5f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa182c49d2 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa182c493d (__TEXT,__text) external _ShCleanup
00007ffa182c4384 (__TEXT,__text) external _ShCompile
00007ffa182c3fbf (__TEXT,__text) external _ShConstructCompiler
00007ffa182c4044 (__TEXT,__text) external _ShConstructLinker
00007ffa182c4105 (__TEXT,__text) external _ShDestruct
00007ffa182c4379 (__TEXT,__text) external _ShFinalize
00007ffa182c59a6 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa182c518e (__TEXT,__text) external _ShGetActiveAttrib
00007ffa182c4e8a (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa182c4e75 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa182c4e46 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa182c6b1c (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa182c707d (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa182c6fcd (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa182c6ea8 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa182c6947 (__TEXT,__text) external _ShGetActiveUniform
00007ffa182c61b7 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa182c5e70 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa182c6413 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa182c661c (__TEXT,__text) external _ShGetActiveUniformName
00007ffa182c52e9 (__TEXT,__text) external _ShGetAttribLocation
00007ffa182c5081 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa182c70f2 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa182c7107 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa182c5374 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa182c5b0b (__TEXT,__text) external _ShGetFragDataLocation
00007ffa182c4952 (__TEXT,__text) external _ShGetInfoLog
00007ffa182c711b (__TEXT,__text) external _ShGetInteger
00007ffa182c55fc (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa182c6c2b (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa182c6c79 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffa182c5d01 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffa182c6810 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffa182c50e2 (__TEXT,__text) external _ShGetMaxAttributeLength
