00007ffb0c4afdab (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb0c4b5a8c (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00007ffb0c4b5b48 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00007ffb0c4b5aa4 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffb0c4b5afc (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00007ffb0c4b59fc (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00007ffb0c4b5ab8 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffb0c4b6043 (__TEXT,__cstring) non-external (was a private external) _.str.5
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00007ffb41b435b0 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.allowed
00007ffb41b435b8 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.categories
00007ffb41b435c0 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.onceToken
00007ffb0c4ae1f0 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00007ffb0c4ae66d (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00007ffb0c4ae761 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00007ffb0c4aec84 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00007ffb0c4aec91 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00007ffb0c4aee3d (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00007ffb0c4aebae (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00007ffb0c4aed67 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00007ffb0c4ae1a0 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00007ffb0c4af1aa (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00007ffb41b43578 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
00007ffb41b43550 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00007ffb0c4ae191 (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00007ffb0c4adbe4 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00007ffb0c4b59e0 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00007ffb0c4b59a0 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAppleTVAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
00007ffb41b43218 (__DATA,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
00007ffb41b43060 (__DATA,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
00007ffb41b43038 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
00007ffb41b43128 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
00007ffb41b43150 (__DATA,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
00007ffb41b431c8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
00007ffb41b43268 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
00007ffb41b432b8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
00007ffb41b430d8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffb41b42fe8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
00007ffb41b42fe0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
00007ffb41b42ff0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
00007ffb41b42fd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
00007ffb41b42fd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
00007ffb41b43000 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
00007ffb41b42ff8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._topologyRequestHandler
00007ffb41b42f28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
00007ffb41b42f30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
00007ffb41b42f20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
00007ffb41b42f08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
00007ffb41b42f00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
00007ffb41b42f10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
00007ffb41b42f18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
00007ffb41b42f80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
00007ffb41b42f78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
00007ffb41b42f58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
00007ffb41b42f70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
00007ffb41b42f50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
00007ffb41b42f68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
00007ffb41b42f90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
00007ffb41b42f60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
00007ffb41b42f88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
00007ffb41b42f98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._agent
00007ffb41b42fa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._groups
00007ffb41b42fa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._query
00007ffb41b42fb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._variables
00007ffb41b42fc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
00007ffb41b42fc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
00007ffb41b42fb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._requiresTopology
00007ffb41b43010 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
00007ffb41b43008 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
00007ffb41b43018 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
00007ffb41b43020 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
00007ffb41b43030 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
00007ffb41b43028 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
00007ffb41b42f38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
00007ffb41b42f48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
00007ffb41b42f40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
00007ffb41b43240 (__DATA,__objc_data) external _OBJC_METACLASS_$_MGDaemon
00007ffb41b430b0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
00007ffb41b43088 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
00007ffb41b43178 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
00007ffb41b431a0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
00007ffb41b431f0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
00007ffb41b43290 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
00007ffb41b432e0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
00007ffb41b43100 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00007ffb0c4abdf1 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb0c4ae8b1 (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00007ffb0c4b56c0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00007ffb0c4b56d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00007ffb0c4b5318 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00007ffb0c4b5368 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00007ffb0c4b54d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00007ffb0c4b5610 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00007ffb0c4b5670 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00007ffb0c4b5878 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00007ffb0c4b5938 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00007ffb0c4b5478 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00007ffb41b421a0 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00007ffb41b410f8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00007ffb41b40f88 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00007ffb41b41718 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
