0000000182baf198 (__DATA,__data) external _NDR_record
0000000180a9f758 (__TEXT,__text) external ___inc_remove_counter
0000000180a8b36c (__TEXT,__text) external ___initgroups
0000000180a8b398 (__TEXT,__text) external ___ioctl
0000000180a8b3c4 (__TEXT,__text) external ___iopolicysys
0000000180a8b3f0 (__TEXT,__text) external ___kdebug_trace
0000000180a8b41c (__TEXT,__text) external ___kdebug_trace64
0000000180a8b448 (__TEXT,__text) external ___kdebug_trace_string
0000000180a8b474 (__TEXT,__text) external ___kdebug_typefilter
0000000180abcff8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180abcfc0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180a8b4a0 (__TEXT,__text) external ___kill
0000000180a8b4cc (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180a8b4f8 (__TEXT,__text) external ___lchown
0000000180a8fb94 (__TEXT,__text) external ___libkernel_init
0000000180a8fc48 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180a8fc44 (__TEXT,__text) external ___libkernel_init_late
0000000180a8f9cc (__TEXT,__text) external ___libkernel_platform_init
0000000180a8fa04 (__TEXT,__text) external ___libkernel_voucher_init
0000000180a8b524 (__TEXT,__text) external ___listen
0000000180a8b550 (__TEXT,__text) external ___log_data
0000000180a8b57c (__TEXT,__text) external ___lseek
0000000180a8b5a8 (__TEXT,__text) external ___lstat64_extended
0000000180a8b5d4 (__TEXT,__text) external ___lstat_extended
0000000180a8b600 (__TEXT,__text) external ___mac_execve
0000000180a8b62c (__TEXT,__text) external ___mac_get_fd
0000000180a8b658 (__TEXT,__text) external ___mac_get_file
0000000180a8b684 (__TEXT,__text) external ___mac_get_link
0000000180a8b6b0 (__TEXT,__text) external ___mac_get_mount
0000000180a8b6dc (__TEXT,__text) external ___mac_get_pid
0000000180a8b708 (__TEXT,__text) external ___mac_get_proc
0000000180a8b734 (__TEXT,__text) external ___mac_getfsstat
0000000180a8b760 (__TEXT,__text) external ___mac_mount
0000000180a8b78c (__TEXT,__text) external ___mac_set_fd
0000000180a8b7b8 (__TEXT,__text) external ___mac_set_file
0000000180a8b7e4 (__TEXT,__text) external ___mac_set_link
0000000180a8b810 (__TEXT,__text) external ___mac_set_proc
0000000180a8b83c (__TEXT,__text) external ___mac_syscall
0000000180a8b868 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180a8b894 (__TEXT,__text) external ___mach_eventlink_signal
0000000180a8b8c0 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180a8b8ec (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180a8b918 (__TEXT,__text) external ___map_with_linking_np
0000000180a8b944 (__TEXT,__text) external ___memorystatus_available_memory
0000000180a8b970 (__TEXT,__text) external ___microstackshot
0000000180a8b99c (__TEXT,__text) external ___mkdir_extended
0000000180a8b9c8 (__TEXT,__text) external ___mkfifo_extended
0000000180a8b9f4 (__TEXT,__text) external ___mmap
0000000180a8ba20 (__TEXT,__text) external ___mprotect
0000000180a8ba4c (__TEXT,__text) external ___msgctl
0000000180a8ba78 (__TEXT,__text) external ___msgrcv_nocancel
0000000180a8baa4 (__TEXT,__text) external ___msgsnd_nocancel
0000000180a8bad0 (__TEXT,__text) external ___msgsys
0000000180a8bafc (__TEXT,__text) external ___msync
0000000180a8bb28 (__TEXT,__text) external ___msync_nocancel
0000000180a8bb54 (__TEXT,__text) external ___munmap
0000000180a8bb80 (__TEXT,__text) external ___nexus_create
0000000180a8bbac (__TEXT,__text) external ___nexus_deregister
0000000180a8bbd8 (__TEXT,__text) external ___nexus_destroy
0000000180a8bc04 (__TEXT,__text) external ___nexus_get_opt
0000000180a8bc30 (__TEXT,__text) external ___nexus_open
0000000180a8bc5c (__TEXT,__text) external ___nexus_register
0000000180a8bc88 (__TEXT,__text) external ___nexus_set_opt
0000000180a8bcb4 (__TEXT,__text) external ___open
0000000180a8bce0 (__TEXT,__text) external ___open_dprotected_np
0000000180a8bd0c (__TEXT,__text) external ___open_extended
0000000180a8bd38 (__TEXT,__text) external ___open_nocancel
0000000180a8bd64 (__TEXT,__text) external ___openat
0000000180a8bd90 (__TEXT,__text) external ___openat_dprotected_np
0000000180a8bdbc (__TEXT,__text) external ___openat_nocancel
0000000182baf210 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180a9ec14 (__TEXT,__text) external ___os_nexus_flow_add
0000000180a9eca0 (__TEXT,__text) external ___os_nexus_flow_del
0000000180a9edfc (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180a9ea20 (__TEXT,__text) external ___os_nexus_ifattach
0000000180a9eb4c (__TEXT,__text) external ___os_nexus_ifdetach
0000000180a8bde8 (__TEXT,__text) external ___oslog_coproc
0000000180a8be14 (__TEXT,__text) external ___oslog_coproc_reg
0000000180a8be40 (__TEXT,__text) external ___persona
0000000180a8be6c (__TEXT,__text) external ___pipe
0000000180a8bea4 (__TEXT,__text) external ___poll_nocancel
0000000180a8bed0 (__TEXT,__text) external ___posix_spawn
0000000180a8befc (__TEXT,__text) external ___pread_nocancel
0000000180a8bf28 (__TEXT,__text) external ___preadv_nocancel
0000000180a8bf54 (__TEXT,__text) external ___proc_info
0000000180a8bf80 (__TEXT,__text) external ___proc_info_extended_id
0000000180a8bfac (__TEXT,__text) external ___process_policy
0000000180a8bfd8 (__TEXT,__text) external ___pselect
0000000180a8c004 (__TEXT,__text) external ___pselect_nocancel
0000000180a8c030 (__TEXT,__text) external ___psynch_cvbroad
0000000180a8c05c (__TEXT,__text) external ___psynch_cvclrprepost
0000000180a8c088 (__TEXT,__text) external ___psynch_cvsignal
0000000180a8c0b4 (__TEXT,__text) external ___psynch_cvwait
0000000180a8c0e0 (__TEXT,__text) external ___psynch_mutexdrop
0000000180a8c10c (__TEXT,__text) external ___psynch_mutexwait
0000000180a8c138 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180a8c164 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180a8c190 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180a8c1bc (__TEXT,__text) external ___psynch_rw_unlock
0000000180a8c1e8 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180a8c214 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180a8c240 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180a8c26c (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180a8c298 (__TEXT,__text) external ___pthread_canceled
0000000180a8c2c4 (__TEXT,__text) external ___pthread_chdir
0000000180a8c2f0 (__TEXT,__text) external ___pthread_fchdir
0000000180a8c31c (__TEXT,__text) external ___pthread_kill
0000000180a8c348 (__TEXT,__text) external ___pthread_markcancel
0000000180a8c374 (__TEXT,__text) external ___pthread_sigmask
0000000180a8c3a0 (__TEXT,__text) external ___ptrace
0000000180a8c3d8 (__TEXT,__text) external ___pwrite_nocancel
0000000180a8c404 (__TEXT,__text) external ___pwritev_nocancel
0000000180a8c430 (__TEXT,__text) external ___read_nocancel
0000000180a8c45c (__TEXT,__text) external ___readv_nocancel
0000000180a8c488 (__TEXT,__text) external ___reboot
0000000180a8c4b4 (__TEXT,__text) external ___record_system_event
0000000180a8c4e0 (__TEXT,__text) external ___recvfrom
0000000180a8c50c (__TEXT,__text) external ___recvfrom_nocancel
0000000180a8c538 (__TEXT,__text) external ___recvmsg
0000000180a8c564 (__TEXT,__text) external ___recvmsg_nocancel
0000000182baf230 (__DATA,__bss) non-external ___remove_counter
0000000180a8c590 (__TEXT,__text) external ___rename
0000000180a8c5bc (__TEXT,__text) external ___renameat
0000000180a8c5e8 (__TEXT,__text) external ___renameatx_np
0000000180a8c614 (__TEXT,__text) external ___rmdir
0000000180a8b600 (__TEXT,__text) external ___sandbox_me
0000000180a8b760 (__TEXT,__text) external ___sandbox_mm
0000000180a8b83c (__TEXT,__text) external ___sandbox_ms
0000000180a8b810 (__TEXT,__text) external ___sandbox_msp
0000000180a8c640 (__TEXT,__text) external ___select
0000000180a8c66c (__TEXT,__text) external ___select_nocancel
0000000180a8c698 (__TEXT,__text) external ___sem_open
0000000180a8c6c4 (__TEXT,__text) external ___sem_wait_nocancel
0000000180a8c6f0 (__TEXT,__text) external ___semctl
0000000180a8c71c (__TEXT,__text) external ___semsys
0000000180a8c748 (__TEXT,__text) external ___semwait_signal
0000000180a8c774 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180a8c7a0 (__TEXT,__text) external ___sendmsg
0000000180a8c7cc (__TEXT,__text) external ___sendmsg_nocancel
0000000180a8c7f8 (__TEXT,__text) external ___sendto
0000000180a8c824 (__TEXT,__text) external ___sendto_nocancel
0000000180a8c850 (__TEXT,__text) external ___setattrlist
0000000180a8c87c (__TEXT,__text) external ___setlogin
0000000180a8c8a8 (__TEXT,__text) external ___setpriority
0000000180a8c8d4 (__TEXT,__text) external ___setregid
0000000180a8c900 (__TEXT,__text) external ___setreuid
0000000180a8c92c (__TEXT,__text) external ___setrlimit
0000000180a8c958 (__TEXT,__text) external ___setsgroups
0000000180a8c984 (__TEXT,__text) external ___settid
0000000180a8c9b0 (__TEXT,__text) external ___settid_with_pid
0000000180a8c9dc (__TEXT,__text) external ___settimeofday
0000000180a8ca08 (__TEXT,__text) external ___setwgroups
0000000180a8ca34 (__TEXT,__text) external ___sfi_ctl
0000000180a8ca60 (__TEXT,__text) external ___sfi_pidctl
0000000180a8ca8c (__TEXT,__text) external ___shared_region_check_np
0000000180a8cab8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180a8cae4 (__TEXT,__text) external ___shm_open
0000000180a8cb10 (__TEXT,__text) external ___shmctl
0000000180a8cb3c (__TEXT,__text) external ___shmsys
0000000180a8cb68 (__TEXT,__text) external ___sigaction
0000000180a8cb94 (__TEXT,__text) external ___sigaltstack
0000000180a8cbc0 (__TEXT,__text) external ___sigreturn
0000000180a8cbec (__TEXT,__text) external ___sigsuspend
0000000180a8cc18 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180a8cc44 (__TEXT,__text) external ___sigwait
0000000180a8cc70 (__TEXT,__text) external ___socketpair
0000000180a8cc9c (__TEXT,__text) external ___stack_snapshot_with_config
0000000180a8ccc8 (__TEXT,__text) external ___stat64_extended
0000000180a8ccf4 (__TEXT,__text) external ___stat_extended
0000000180a96830 (__TEXT,__text) non-external ___statfs_ext_impl
0000000180a8cd20 (__TEXT,__text) external ___syscall
0000000182baf8c8 (__DATA,__common) external ___syscall_logger
0000000180a8cd5c (__TEXT,__text) external ___sysctl
0000000180a8cd88 (__TEXT,__text) external ___sysctlbyname
0000000180a8cdb4 (__TEXT,__text) external ___telemetry
0000000180a8cde0 (__TEXT,__text) external ___terminate_with_payload
0000000180a8ce0c (__TEXT,__text) external ___thread_selfid
0000000180a8ce38 (__TEXT,__text) external ___thread_selfusage
0000000180a8ce64 (__TEXT,__text) external ___ulock_wait
0000000180a8ce90 (__TEXT,__text) external ___ulock_wait2
0000000180a8cebc (__TEXT,__text) external ___ulock_wake
0000000180a8cee8 (__TEXT,__text) external ___umask_extended
0000000180a8cf14 (__TEXT,__text) external ___unlink
0000000180a8cf40 (__TEXT,__text) external ___unlinkat
0000000180a8cf6c (__TEXT,__text) external ___vfork
0000000180a8cfdc (__TEXT,__text) external ___wait4
0000000180a8d008 (__TEXT,__text) external ___wait4_nocancel
0000000180a8d034 (__TEXT,__text) external ___waitid_nocancel
0000000180a8d060 (__TEXT,__text) external ___work_interval_ctl
0000000180a8d08c (__TEXT,__text) external ___workq_kernreturn
0000000180a8d0b8 (__TEXT,__text) external ___workq_open
0000000180a8d0e4 (__TEXT,__text) external ___write_nocancel
0000000180a8d110 (__TEXT,__text) external ___writev_nocancel
0000000182baf280 (__DATA,__common) external __cpu_capabilities
0000000182baf284 (__DATA,__common) external __cpu_has_altivec
0000000182baefc8 (__DATA,__data) external __current_pid
0000000182baf1e8 (__DATA,__bss) non-external __dlsym
0000000180a8a594 (__TEXT,__text) external __exclaves_ctl_trap
0000000180a8aeac (__TEXT,__text) external __exit
0000000180a8a850 (__TEXT,__text) external __get_cpu_capabilities
0000000182baf208 (__DATA,__bss) non-external __gethostuuid_callback
0000000180a95d7c (__TEXT,__text) external __getprivatesystemidentifier
0000000180aa59ec (__TEXT,__text) external __host_page_size
0000000180a9f8cc (__TEXT,__text) external __init_cpu_capabilities
0000000180aa7280 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180aa8764 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180aa9d40 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180aa8648 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180aa9bd0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180a8a384 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180aabb20 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180aaac0c (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180a8a3d8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180aa89d4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180a8a390 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180aa88b8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180aaad78 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180a8a3e4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180aaa330 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180aaa714 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180a8a3cc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180aa95e4 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180aa9878 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180a8a48c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180aaa830 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180aa8af0 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180aab948 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180aa908c (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180aa9fe0 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180aaae94 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180a8a498 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180aab374 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180aaa5f8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180a8a3c0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180aa94bc (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180a8a3b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180aab7f4 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180aaa494 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180aaaaa0 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180aab5b4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180aa8c40 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180a8a39c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180aa9220 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180a8a3a8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180aa8218 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180aa8d5c (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180aa852c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180aa933c (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180a8a588 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180aa9a68 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180aaa984 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180aa8f70 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180aa975c (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180aab0d0 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180aaa134 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180aab220 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180aab494 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180aa83d8 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180a8a57c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180aaafb4 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180a8a4a4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180ab0b70 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180ab0a44 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180ab54a8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180aabc88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180a8a33c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180aabde0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180a8a354 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180aaca28 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180a8a378 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180aabefc (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180a8a36c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180aad5e4 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180a8a348 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180aac13c (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180aacd0c (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180aada7c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180aae284 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
0000000180abbb48 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180aa9ec4 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180ab7db4 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180ab7f24 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180ab8854 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180ab9e70 (__TEXT,__text) external __kernelrpc_vm_map
0000000180abaa2c (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180ab9584 (__TEXT,__text) external __kernelrpc_vm_read
0000000180aba154 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180abab80 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180a8fcac (__TEXT,__text) non-external __libkernel_bzero
0000000182baf1e0 (__DATA,__bss) non-external __libkernel_functions
0000000182c3d648 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180a8fe18 (__TEXT,__text) non-external __libkernel_memmove
0000000180a8fcb8 (__TEXT,__text) non-external __libkernel_memset
0000000180a8fc4c (__TEXT,__text) non-external __libkernel_strchr
0000000180a8fc84 (__TEXT,__text) non-external __libkernel_strcmp
0000000180a8ff30 (__TEXT,__text) non-external __libkernel_strcpy
0000000182baefd0 (__DATA,__data) non-external __libkernel_string_functions
0000000180a8ff78 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180a8fa8c (__TEXT,__text) non-external __libkernel_strlen
0000000182baefd8 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180abcf90 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180a915e0 (__TEXT,__text) non-external __mach_continuous_time
0000000180b84968 (__DATA_CONST,__const) external __mach_errors
0000000180a9200c (__TEXT,__text) external __mach_fork_child
0000000180a93884 (__TEXT,__text) external __mach_snprintf
0000000180a93720 (__TEXT,__text) external __mach_vsnprintf
0000000182baf288 (__DATA,__common) external __os_alloc_once_table
0000000180a97b04 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180a9879c (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
0000000180a95d80 (__TEXT,__text) external __register_gethostuuid_callback
0000000182baf1f4 (__DATA,__bss) non-external __task_reply_port
0000000180a8f738 (__TEXT,__text) external __thread_set_tsd_base
0000000180abc498 (__TEXT,__text) non-external _abort
0000000180abc498 (__TEXT,__text) non-external _abort.391
0000000180abc498 (__TEXT,__text) non-external _abort.393
0000000180abc498 (__TEXT,__text) non-external _abort.404
0000000180abc568 (__TEXT,__text) external _abort_with_payload
0000000180abc4dc (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180abc4bc (__TEXT,__text) external _abort_with_reason
0000000180a8a984 (__TEXT,__text) external _accept
0000000180a8a9b0 (__TEXT,__text) external _accept$NOCANCEL
0000000180a8d13c (__TEXT,__text) external _access
0000000180a8a9dc (__TEXT,__text) external _accessx_np
0000000180a8d168 (__TEXT,__text) external _acct
0000000180ab64cc (__TEXT,__text) external _act_get_state
0000000180ab6714 (__TEXT,__text) external _act_set_state
0000000180a8d194 (__TEXT,__text) external _adjtime
0000000180a8d1c0 (__TEXT,__text) external _aio_cancel
0000000180a8d1ec (__TEXT,__text) external _aio_error
0000000180a8d218 (__TEXT,__text) external _aio_fsync
0000000180a8d244 (__TEXT,__text) external _aio_read
0000000180a8d270 (__TEXT,__text) external _aio_return
0000000180a8d29c (__TEXT,__text) external _aio_suspend
0000000180a8aa08 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180a8d2c8 (__TEXT,__text) external _aio_write
0000000180a8d2f4 (__TEXT,__text) external _audit
0000000180a8d320 (__TEXT,__text) external _audit_session_join
0000000180a8d34c (__TEXT,__text) external _audit_session_port
0000000180a8d378 (__TEXT,__text) external _audit_session_self
0000000180a8d3a4 (__TEXT,__text) external _auditctl
0000000180a8d3d0 (__TEXT,__text) external _auditon
0000000180a8aa34 (__TEXT,__text) external _bind
0000000182baf244 (__DATA,__common) external _bootstrap_port
0000000180a8f9dc (__TEXT,__text) non-external _bzero
0000000180a93b50 (__TEXT,__text) external _cerror
0000000180a93b2c (__TEXT,__text) external _cerror_nocancel
0000000180a8d3fc (__TEXT,__text) external _change_fdguard_np
0000000180a8d428 (__TEXT,__text) external _chdir
0000000180a8d454 (__TEXT,__text) external _chflags
0000000180a96b44 (__TEXT,__text) external _chmod
0000000180a8d480 (__TEXT,__text) external _chown
0000000180a8d4ac (__TEXT,__text) external _chroot
0000000180aa2388 (__TEXT,__text) external _clock_alarm
0000000180aa200c (__TEXT,__text) external _clock_alarm_reply
0000000180aa21bc (__TEXT,__text) external _clock_get_attributes
0000000180aa2074 (__TEXT,__text) external _clock_get_time
0000000180aa1ebc (__TEXT,__text) external _clock_set_attributes
0000000180aa1da4 (__TEXT,__text) external _clock_set_time
0000000180a91764 (__TEXT,__text) external _clock_sleep
0000000180a8a558 (__TEXT,__text) external _clock_sleep_trap
0000000180a915bc (__TEXT,__text) external _clonefile
0000000180a8d4d8 (__TEXT,__text) external _clonefileat
0000000180a8d504 (__TEXT,__text) external _close
0000000180a8ac44 (__TEXT,__text) external _close$NOCANCEL
0000000180a9cf6c (__TEXT,__text) external _coalition_create
0000000180a9d014 (__TEXT,__text) external _coalition_info_debug_info
0000000180a9cfdc (__TEXT,__text) external _coalition_info_resource_usage
0000000180a9d084 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180a9d04c (__TEXT,__text) external _coalition_info_set_name
