00007ff8400a4bd0 (__DATA,__data) external _NDR_record
00007ff800adf9c8 (__TEXT,__text) external ___fstat64_extended
00007ff800adf9e0 (__TEXT,__text) external ___fstat_extended
00007ff800adf9f8 (__TEXT,__text) external ___fsync_nocancel
00007ff800aef52d (__TEXT,__text) external ___get_remove_counter
00007ff800adfa10 (__TEXT,__text) external ___getattrlist
00007ff800adfa28 (__TEXT,__text) external ___getdirentries64
00007ff800adfa40 (__TEXT,__text) external ___gethostuuid
00007ff800adfa58 (__TEXT,__text) external ___getlogin
00007ff800adfa70 (__TEXT,__text) external ___getpeername
00007ff800adfa88 (__TEXT,__text) external ___getpid
00007ff800adfabc (__TEXT,__text) external ___getrlimit
00007ff800adfad4 (__TEXT,__text) external ___getsgroups
00007ff800adfaec (__TEXT,__text) external ___getsockname
00007ff800adfb04 (__TEXT,__text) external ___gettid
00007ff800adfb31 (__TEXT,__text) external ___gettimeofday
00007ff800adfb1c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800adfb5c (__TEXT,__text) external ___getwgroups
00007ff800adfb74 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800adfb8c (__TEXT,__text) external ___guarded_open_np
00007ff800adfba4 (__TEXT,__text) external ___identitysvc
00007ff800aef538 (__TEXT,__text) external ___inc_remove_counter
00007ff800adfbbc (__TEXT,__text) external ___initgroups
00007ff800adfbd4 (__TEXT,__text) external ___ioctl
00007ff800adfbec (__TEXT,__text) external ___iopolicysys
00007ff800adfc04 (__TEXT,__text) external ___kdebug_trace
00007ff800adfc1c (__TEXT,__text) external ___kdebug_trace64
00007ff800adfc34 (__TEXT,__text) external ___kdebug_trace_string
00007ff800adfc4c (__TEXT,__text) external ___kdebug_typefilter
00007ff800b08998 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800b08960 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800adfc64 (__TEXT,__text) external ___kill
00007ff800adfc7c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800adfc94 (__TEXT,__text) external ___lchown
00007ff800ae221a (__TEXT,__text) external ___libkernel_init
00007ff800ae224d (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800ae224c (__TEXT,__text) external ___libkernel_init_late
00007ff800ae20a3 (__TEXT,__text) external ___libkernel_platform_init
00007ff800ae20ca (__TEXT,__text) external ___libkernel_voucher_init
00007ff800adfcac (__TEXT,__text) external ___listen
00007ff800adfcc4 (__TEXT,__text) external ___log_data
00007ff800adfcdc (__TEXT,__text) external ___lseek
00007ff800adfcf4 (__TEXT,__text) external ___lstat64_extended
00007ff800adfd0c (__TEXT,__text) external ___lstat_extended
00007ff800adfd24 (__TEXT,__text) external ___mac_execve
00007ff800adfd3c (__TEXT,__text) external ___mac_get_fd
00007ff800adfd54 (__TEXT,__text) external ___mac_get_file
00007ff800adfd6c (__TEXT,__text) external ___mac_get_link
00007ff800adfd84 (__TEXT,__text) external ___mac_get_mount
00007ff800adfd9c (__TEXT,__text) external ___mac_get_pid
00007ff800adfdb4 (__TEXT,__text) external ___mac_get_proc
00007ff800adfdcc (__TEXT,__text) external ___mac_getfsstat
00007ff800adfde4 (__TEXT,__text) external ___mac_mount
00007ff800adfdfc (__TEXT,__text) external ___mac_set_fd
00007ff800adfe14 (__TEXT,__text) external ___mac_set_file
00007ff800adfe2c (__TEXT,__text) external ___mac_set_link
00007ff800adfe44 (__TEXT,__text) external ___mac_set_proc
00007ff800adfe5c (__TEXT,__text) external ___mac_syscall
00007ff800adfe74 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800adfe8c (__TEXT,__text) external ___mach_eventlink_signal
00007ff800adfea4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800adfebc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800adfed4 (__TEXT,__text) external ___map_with_linking_np
00007ff800adfeec (__TEXT,__text) external ___memorystatus_available_memory
00007ff800adff04 (__TEXT,__text) external ___microstackshot
00007ff800adff1c (__TEXT,__text) external ___mkdir_extended
00007ff800adff34 (__TEXT,__text) external ___mkfifo_extended
00007ff800adff4c (__TEXT,__text) external ___mmap
00007ff800adff64 (__TEXT,__text) external ___mprotect
00007ff800adff7c (__TEXT,__text) external ___msgctl
00007ff800adff94 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800adffac (__TEXT,__text) external ___msgsnd_nocancel
00007ff800adffc4 (__TEXT,__text) external ___msgsys
00007ff800adffdc (__TEXT,__text) external ___msync
00007ff800adfff4 (__TEXT,__text) external ___msync_nocancel
00007ff800ae000c (__TEXT,__text) external ___munmap
00007ff800ae0024 (__TEXT,__text) external ___nexus_create
00007ff800ae003c (__TEXT,__text) external ___nexus_deregister
00007ff800ae0054 (__TEXT,__text) external ___nexus_destroy
00007ff800ae006c (__TEXT,__text) external ___nexus_get_opt
00007ff800ae0084 (__TEXT,__text) external ___nexus_open
00007ff800ae009c (__TEXT,__text) external ___nexus_register
00007ff800ae00b4 (__TEXT,__text) external ___nexus_set_opt
00007ff800ae00cc (__TEXT,__text) external ___open
00007ff800ae00e4 (__TEXT,__text) external ___open_dprotected_np
00007ff800ae00fc (__TEXT,__text) external ___open_extended
00007ff800ae0114 (__TEXT,__text) external ___open_nocancel
00007ff800ae012c (__TEXT,__text) external ___openat
00007ff800ae0144 (__TEXT,__text) external ___openat_dprotected_np
00007ff800ae015c (__TEXT,__text) external ___openat_nocancel
00007ff8400a5300 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800aeeb36 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800aeeba9 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800aeece1 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800aee95c (__TEXT,__text) external ___os_nexus_ifattach
00007ff800aeea6d (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800ae0174 (__TEXT,__text) external ___persona
00007ff800ae018c (__TEXT,__text) external ___pipe
00007ff800ae01a8 (__TEXT,__text) external ___poll_nocancel
00007ff800ae01c0 (__TEXT,__text) external ___posix_spawn
00007ff800ae01d8 (__TEXT,__text) external ___pread_nocancel
00007ff800ae01f0 (__TEXT,__text) external ___preadv_nocancel
00007ff800ae0208 (__TEXT,__text) external ___proc_info
00007ff800ae0220 (__TEXT,__text) external ___proc_info_extended_id
00007ff800ae0238 (__TEXT,__text) external ___process_policy
00007ff800ae0250 (__TEXT,__text) external ___pselect
00007ff800ae0268 (__TEXT,__text) external ___pselect_nocancel
00007ff800ae0280 (__TEXT,__text) external ___psynch_cvbroad
00007ff800ae0298 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800ae02b0 (__TEXT,__text) external ___psynch_cvsignal
00007ff800ae02c8 (__TEXT,__text) external ___psynch_cvwait
00007ff800ae02e0 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800ae02f8 (__TEXT,__text) external ___psynch_mutexwait
00007ff800ae0310 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800ae0328 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800ae0340 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800ae0358 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800ae0370 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800ae0388 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800ae03a0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800ae03b8 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800ae03d0 (__TEXT,__text) external ___pthread_canceled
00007ff800ae03e8 (__TEXT,__text) external ___pthread_chdir
00007ff800ae0400 (__TEXT,__text) external ___pthread_fchdir
00007ff800ae0418 (__TEXT,__text) external ___pthread_kill
00007ff800ae0430 (__TEXT,__text) external ___pthread_markcancel
00007ff800ae0448 (__TEXT,__text) external ___pthread_sigmask
00007ff800ae0460 (__TEXT,__text) external ___ptrace
00007ff800ae0484 (__TEXT,__text) external ___pwrite_nocancel
00007ff800ae049c (__TEXT,__text) external ___pwritev_nocancel
00007ff800ae04b4 (__TEXT,__text) external ___read_nocancel
00007ff800ae04cc (__TEXT,__text) external ___readv_nocancel
00007ff800ae04e4 (__TEXT,__text) external ___reboot
00007ff800ae04fc (__TEXT,__text) external ___record_system_event
00007ff800ae0514 (__TEXT,__text) external ___recvfrom
00007ff800ae052c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800ae0544 (__TEXT,__text) external ___recvmsg
00007ff800ae055c (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400a5320 (__DATA,__bss) non-external ___remove_counter
00007ff800ae0574 (__TEXT,__text) external ___rename
00007ff800ae058c (__TEXT,__text) external ___renameat
00007ff800ae05a4 (__TEXT,__text) external ___renameatx_np
00007ff800ae05bc (__TEXT,__text) external ___rmdir
00007ff800adfd24 (__TEXT,__text) external ___sandbox_me
00007ff800adfde4 (__TEXT,__text) external ___sandbox_mm
00007ff800adfe5c (__TEXT,__text) external ___sandbox_ms
00007ff800adfe44 (__TEXT,__text) external ___sandbox_msp
00007ff800ae05d4 (__TEXT,__text) external ___select
00007ff800ae05ec (__TEXT,__text) external ___select_nocancel
00007ff800ae0604 (__TEXT,__text) external ___sem_open
00007ff800ae061c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800ae0634 (__TEXT,__text) external ___semctl
00007ff800ae064c (__TEXT,__text) external ___semsys
00007ff800ae0664 (__TEXT,__text) external ___semwait_signal
00007ff800ae067c (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800ae0694 (__TEXT,__text) external ___sendmsg
00007ff800ae06ac (__TEXT,__text) external ___sendmsg_nocancel
00007ff800ae06c4 (__TEXT,__text) external ___sendto
00007ff800ae06dc (__TEXT,__text) external ___sendto_nocancel
00007ff800ae06f4 (__TEXT,__text) external ___setattrlist
00007ff800ae070c (__TEXT,__text) external ___setlogin
00007ff800ae0724 (__TEXT,__text) external ___setpriority
00007ff800ae073c (__TEXT,__text) external ___setregid
00007ff800ae0754 (__TEXT,__text) external ___setreuid
00007ff800ae076c (__TEXT,__text) external ___setrlimit
00007ff800ae0784 (__TEXT,__text) external ___setsgroups
00007ff800ae079c (__TEXT,__text) external ___settid
00007ff800ae07b4 (__TEXT,__text) external ___settid_with_pid
00007ff800ae07cc (__TEXT,__text) external ___settimeofday
00007ff800ae07e4 (__TEXT,__text) external ___setwgroups
00007ff800ae07fc (__TEXT,__text) external ___sfi_ctl
00007ff800ae0814 (__TEXT,__text) external ___sfi_pidctl
00007ff800ae082c (__TEXT,__text) external ___shared_region_check_np
00007ff800ae0844 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800ae085c (__TEXT,__text) external ___shm_open
00007ff800ae0874 (__TEXT,__text) external ___shmctl
00007ff800ae088c (__TEXT,__text) external ___shmsys
00007ff800ae08a4 (__TEXT,__text) external ___sigaction
00007ff800ae08bc (__TEXT,__text) external ___sigaltstack
00007ff800ae08d4 (__TEXT,__text) external ___sigreturn
00007ff800ae08ec (__TEXT,__text) external ___sigsuspend
00007ff800ae0904 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800ae091c (__TEXT,__text) external ___sigwait
00007ff800ae0934 (__TEXT,__text) external ___socketpair
00007ff800ae094c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800ae0964 (__TEXT,__text) external ___stat64_extended
00007ff800ae097c (__TEXT,__text) external ___stat_extended
00007ff800ae0994 (__TEXT,__text) external ___syscall
00007ff8400a52c0 (__DATA,__common) external ___syscall_logger
00007ff800ae09ac (__TEXT,__text) external ___sysctl
00007ff800ae09c4 (__TEXT,__text) external ___sysctlbyname
00007ff800ae09dc (__TEXT,__text) external ___telemetry
00007ff800ae09f4 (__TEXT,__text) external ___terminate_with_payload
00007ff800ae0a0c (__TEXT,__text) external ___thread_selfid
00007ff800ae0a24 (__TEXT,__text) external ___thread_selfusage
00007ff800ae0a3c (__TEXT,__text) external ___ulock_wait
00007ff800ae0a54 (__TEXT,__text) external ___ulock_wait2
00007ff800ae0a6c (__TEXT,__text) external ___ulock_wake
00007ff800ae0a84 (__TEXT,__text) external ___umask_extended
00007ff800ae0a9c (__TEXT,__text) external ___unlink
00007ff800ae0ab4 (__TEXT,__text) external ___unlinkat
00007ff800ae0acc (__TEXT,__text) external ___vfork
00007ff800ae0b24 (__TEXT,__text) external ___wait4
00007ff800ae0b3c (__TEXT,__text) external ___wait4_nocancel
00007ff800ae0b54 (__TEXT,__text) external ___waitid_nocancel
00007ff800ae0b6c (__TEXT,__text) external ___work_interval_ctl
00007ff800ae0b84 (__TEXT,__text) external ___workq_kernreturn
00007ff800ae0b9c (__TEXT,__text) external ___workq_open
00007ff800ae0bb4 (__TEXT,__text) external ___write_nocancel
00007ff800ae0bcc (__TEXT,__text) external ___writev_nocancel
00007ff8400a4c74 (__DATA,__common) external __cpu_capabilities
00007ff8400a4c70 (__DATA,__common) external __cpu_has_altivec
00007ff8400a49f0 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400a52d8 (__DATA,__bss) non-external __dlsym
00007ff800adf094 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800adf900 (__TEXT,__text) external __exit
00007ff800adf5f0 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400a52f8 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800ae73d5 (__TEXT,__text) external __getprivatesystemidentifier
00007ff800af4dcd (__TEXT,__text) external __host_page_size
00007ff800aef678 (__TEXT,__text) external __init_cpu_capabilities
00007ff800af62c2 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800af758c (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800af88e2 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800af749c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800af8790 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800adee84 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800afa2b5 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800af95f7 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800adeed8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800af77af (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800adee90 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800af76c0 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800af9733 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff800adeee4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800af8e42 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800af91ac (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800adeecc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800af8230 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800af846b (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800adef8c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800af929c (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800af789e (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800afa141 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800af7db9 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800af8b29 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800af981f (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800adef98 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800af9c55 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800af90bc (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800adeec0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800af8131 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800adeeb4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800afa007 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800af8f7f (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800af94af (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800af9e2d (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800af79ce (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800adee9c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800af7f03 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800adeea8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800af70fc (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800af7aba (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800af73ac (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800af7ff3 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800adf088 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800af8641 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800af93c7 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800af7cc9 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800af837b (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800af99f3 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800af8c5d (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800af9b21 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800af9d41 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800af7278 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800adf07c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800af990b (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800adefa4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800b027a4 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800afa404 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800adee3c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800afa532 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800adee54 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800afafb4 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800adee78 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800afa61a (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800adee6c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800afbabc (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800adee48 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800afa7f6 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800afb266 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800afbf1f (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800b07fcf (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800af8a3a (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800b04a20 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800b04b6d (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800b053a3 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800b0660e (__TEXT,__text) external __kernelrpc_vm_map
00007ff800b07116 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800b05e50 (__TEXT,__text) external __kernelrpc_vm_read
00007ff800b068c0 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800b07241 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800ae2287 (__TEXT,__text) non-external __libkernel_bzero
00007ff8400a52d0 (__DATA,__bss) non-external __libkernel_functions
00007ff840068a00 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800ae2310 (__TEXT,__text) non-external __libkernel_memmove
00007ff800ae2291 (__TEXT,__text) non-external __libkernel_memset
00007ff800ae224e (__TEXT,__text) non-external __libkernel_strchr
00007ff800ae226c (__TEXT,__text) non-external __libkernel_strcmp
00007ff800ae2459 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400a4a00 (__DATA,__data) non-external __libkernel_string_functions
00007ff800ae2481 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800ae212a (__TEXT,__text) non-external __libkernel_strlen
00007ff8400a4a08 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800b08930 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800ae381c (__TEXT,__text) non-external __mach_continuous_time
00007ff840069c10 (__DATA_CONST,__const) external __mach_errors
00007ff800ae40ab (__TEXT,__text) external __mach_fork_child
00007ff800ae581e (__TEXT,__text) external __mach_snprintf
00007ff800ae569c (__TEXT,__text) external __mach_vsnprintf
00007ff8400a4c80 (__DATA,__common) external __os_alloc_once_table
00007ff800ae8918 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800ae942a (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800ae73da (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400a52e4 (__DATA,__bss) non-external __task_reply_port
00007ff800ae2094 (__TEXT,__text) external __thread_set_tsd_base
00007ff800b087a6 (__TEXT,__text) non-external _abort
00007ff800b087ca (__TEXT,__text) non-external _abort.380
00007ff800b087ee (__TEXT,__text) non-external _abort.382
00007ff800b08811 (__TEXT,__text) non-external _abort.393
00007ff800b088c0 (__TEXT,__text) external _abort_with_payload
00007ff800b08845 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800b08832 (__TEXT,__text) external _abort_with_reason
00007ff800adf630 (__TEXT,__text) external _accept
00007ff800adf648 (__TEXT,__text) external _accept$NOCANCEL
00007ff800ae0be4 (__TEXT,__text) external _access
00007ff800adf660 (__TEXT,__text) external _accessx_np
00007ff800ae0bfc (__TEXT,__text) external _acct
00007ff800b034a0 (__TEXT,__text) external _act_get_state
00007ff800b0368a (__TEXT,__text) external _act_set_state
00007ff800ae0c14 (__TEXT,__text) external _adjtime
00007ff800ae0c2c (__TEXT,__text) external _aio_cancel
00007ff800ae0c44 (__TEXT,__text) external _aio_error
00007ff800ae0c5c (__TEXT,__text) external _aio_fsync
00007ff800ae0c74 (__TEXT,__text) external _aio_read
00007ff800ae0c8c (__TEXT,__text) external _aio_return
00007ff800ae0ca4 (__TEXT,__text) external _aio_suspend
00007ff800adf678 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800ae0cbc (__TEXT,__text) external _aio_write
00007ff800ae0cd4 (__TEXT,__text) external _audit
00007ff800ae0cec (__TEXT,__text) external _audit_session_join
00007ff800ae0d04 (__TEXT,__text) external _audit_session_port
00007ff800ae0d1c (__TEXT,__text) external _audit_session_self
00007ff800ae0d34 (__TEXT,__text) external _auditctl
00007ff800ae0d4c (__TEXT,__text) external _auditon
00007ff800adf690 (__TEXT,__text) external _bind
00007ff8400a4c2c (__DATA,__common) external _bootstrap_port
00007ff800ae5abc (__TEXT,__text) external _cerror
00007ff800ae5a97 (__TEXT,__text) external _cerror_nocancel
00007ff800ae0d64 (__TEXT,__text) external _change_fdguard_np
00007ff800ae0d7c (__TEXT,__text) external _chdir
00007ff800ae0d94 (__TEXT,__text) external _chflags
00007ff800ae7caf (__TEXT,__text) external _chmod
00007ff800ae0dac (__TEXT,__text) external _chown
00007ff800ae0dc4 (__TEXT,__text) external _chroot
00007ff800af1e99 (__TEXT,__text) external _clock_alarm
00007ff800af1b80 (__TEXT,__text) external _clock_alarm_reply
00007ff800af1d08 (__TEXT,__text) external _clock_get_attributes
00007ff800af1be7 (__TEXT,__text) external _clock_get_time
00007ff800af1a51 (__TEXT,__text) external _clock_set_attributes
00007ff800af1965 (__TEXT,__text) external _clock_set_time
00007ff800ae3909 (__TEXT,__text) external _clock_sleep
00007ff800adf058 (__TEXT,__text) external _clock_sleep_trap
00007ff800ae37f8 (__TEXT,__text) external _clonefile
00007ff800ae0ddc (__TEXT,__text) external _clonefileat
00007ff800ae0df4 (__TEXT,__text) external _close
00007ff800adf7b0 (__TEXT,__text) external _close$NOCANCEL
00007ff800aed23d (__TEXT,__text) external _coalition_create
00007ff800aed2ba (__TEXT,__text) external _coalition_info_debug_info
00007ff800aed28e (__TEXT,__text) external _coalition_info_resource_usage
00007ff800aed312 (__TEXT,__text) external _coalition_info_set_efficiency
00007ff800aed2e6 (__TEXT,__text) external _coalition_info_set_name
00007ff800aed346 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00007ff800aed26d (__TEXT,__text) external _coalition_reap
00007ff800aed24c (__TEXT,__text) external _coalition_terminate
