                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018e5fe36c (__TEXT,__text) external __cg_jcopy_block_row
000000018e5fdac0 (__TEXT,__text) non-external _compress_data
000000018e5fdda8 (__TEXT,__text) non-external _compress_first_pass
000000018e5fe0e0 (__TEXT,__text) non-external _compress_output
000000018e614e40 (__TEXT,__text) non-external _compress_output
000000018e6077fc (__TEXT,__text) non-external _consume_data
000000018e5ff704 (__TEXT,__text) non-external _consume_markers
000000018e61943c (__TEXT,__text) non-external _create_colorindex
000000018e5fb740 (__TEXT,__text) non-external _decode_mcu
000000018e613ffc (__TEXT,__text) non-external _decode_mcu
000000018e5fb270 (__TEXT,__text) non-external _decode_mcu_AC_first
000000018e61309c (__TEXT,__text) non-external _decode_mcu_AC_first
000000018e5fb568 (__TEXT,__text) non-external _decode_mcu_AC_refine
000000018e6133f0 (__TEXT,__text) non-external _decode_mcu_AC_refine
000000018e5fb040 (__TEXT,__text) non-external _decode_mcu_DC_first
000000018e612e84 (__TEXT,__text) non-external _decode_mcu_DC_first
000000018e5fb4b8 (__TEXT,__text) non-external _decode_mcu_DC_refine
000000018e6132e4 (__TEXT,__text) non-external _decode_mcu_DC_refine
000000018e613bd0 (__TEXT,__text) non-external _decode_mcu_sub
000000018e607a28 (__TEXT,__text) non-external _decompress_data
000000018e607c04 (__TEXT,__text) non-external _decompress_onepass
000000018e607ee0 (__TEXT,__text) non-external _decompress_smooth_data
000000018e61afe4 (__TEXT,__text) non-external _do_barray_io
000000018e61aedc (__TEXT,__text) non-external _do_sarray_io
000000018e607bfc (__TEXT,__text) non-external _dummy_consume_data
000000018e618b0c (__TEXT,__text) non-external _dump_buffer_e
000000018e6188c0 (__TEXT,__text) non-external _emit_ac_symbol
000000018e6189fc (__TEXT,__text) non-external _emit_buffered_bits
000000018e5fa5b4 (__TEXT,__text) non-external _emit_byte
000000018e615c10 (__TEXT,__text) non-external _emit_byte
000000018e615f10 (__TEXT,__text) non-external _emit_dht
000000018e615c90 (__TEXT,__text) non-external _emit_dqt
000000018e6183d8 (__TEXT,__text) non-external _emit_eobrun
000000018e611edc (__TEXT,__text) non-external _emit_message
000000018e5fa2a0 (__TEXT,__text) non-external _emit_restart
000000018e618d24 (__TEXT,__text) non-external _emit_restart_e
000000018e615dd4 (__TEXT,__text) non-external _emit_sof
000000018e619f70 (__TEXT,__text) non-external _empty_mem_output_buffer
000000018e619d48 (__TEXT,__text) non-external _empty_output_buffer
000000018e5f9dd8 (__TEXT,__text) non-external _encode_mcu
000000018e5f97d4 (__TEXT,__text) non-external _encode_mcu_AC_first
000000018e616db4 (__TEXT,__text) non-external _encode_mcu_AC_first
000000018e5f9b7c (__TEXT,__text) non-external _encode_mcu_AC_refine
000000018e6171d0 (__TEXT,__text) non-external _encode_mcu_AC_refine
000000018e5f958c (__TEXT,__text) non-external _encode_mcu_DC_first
000000018e616a90 (__TEXT,__text) non-external _encode_mcu_DC_first
000000018e5f9ac4 (__TEXT,__text) non-external _encode_mcu_DC_refine
000000018e617048 (__TEXT,__text) non-external _encode_mcu_DC_refine
000000018e617558 (__TEXT,__text) non-external _encode_mcu_gather
000000018e6177c8 (__TEXT,__text) non-external _encode_mcu_huff
000000018e611eac (__TEXT,__text) non-external _error_exit
000000018e5f8b04 (__TEXT,__text) non-external _examine_app0
000000018e5f8d84 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
000000018e61c6f8 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
000000018e607450 (__TEXT,__text) non-external _fill_dc_scans
000000018e5fa940 (__TEXT,__text) non-external _fill_input_buffer
000000018e5f6418 (__TEXT,__text) non-external _fill_inverse_cmap
000000018e5fab24 (__TEXT,__text) non-external _fill_mem_input_buffer
000000018e61b918 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
000000018e5fffc0 (__TEXT,__text) non-external _finish_input_pass
000000018e609eec (__TEXT,__text) non-external _finish_output_pass
000000018e5f9390 (__TEXT,__text) non-external _finish_pass
000000018e5fb03c (__TEXT,__text) non-external _finish_pass
000000018e5f58b4 (__TEXT,__text) non-external _finish_pass1
000000018e5f601c (__TEXT,__text) non-external _finish_pass2
000000018e619424 (__TEXT,__text) non-external _finish_pass_1_quant
000000018e616864 (__TEXT,__text) non-external _finish_pass_gather
000000018e612e58 (__TEXT,__text) non-external _finish_pass_huff
000000018e6169b8 (__TEXT,__text) non-external _finish_pass_huff
000000018e6091b0 (__TEXT,__text) non-external _finish_pass_master
000000018e61c6e8 (__TEXT,__const) non-external _first_pool_slop
000000018e618b60 (__TEXT,__text) non-external _flush_bits_e
000000018e618c30 (__TEXT,__text) non-external _flush_bits_s
000000018e611ff4 (__TEXT,__text) non-external _format_message
000000018e5fcb0c (__TEXT,__text) non-external _forward_DCT
000000018e5fcc58 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000018e61ad28 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
000000018e611788 (__TEXT,__text) non-external _fullsize_downsample
000000018e6115dc (__TEXT,__text) non-external _fullsize_smooth_downsample
000000018e60a974 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
000000018e5fbd64 (__TEXT,__text) non-external _get_byte
000000018e5f81fc (__TEXT,__text) non-external _get_interesting_appn
000000018e5f8750 (__TEXT,__text) non-external _get_sof
000000018e5fd3f8 (__TEXT,__text) non-external _gray_rgb_convert
000000018e5f478c (__TEXT,__text) non-external _grayscale_convert
000000018e5fd2c4 (__TEXT,__text) non-external _grayscale_convert
000000018e611820 (__TEXT,__text) non-external _h2v1_downsample
000000018e612668 (__TEXT,__text) non-external _h2v1_merged_upsample
000000018e60a97c (__TEXT,__text) non-external _h2v1_upsample
000000018e611bc8 (__TEXT,__text) non-external _h2v2_downsample
000000018e612450 (__TEXT,__text) non-external _h2v2_merged_upsample
000000018e611910 (__TEXT,__text) non-external _h2v2_smooth_downsample
000000018e60a9d0 (__TEXT,__text) non-external _h2v2_upsample
000000018e619d08 (__TEXT,__text) non-external _init_destination
000000018e5f577c (__TEXT,__text) non-external _init_error_limit
000000018e619f6c (__TEXT,__text) non-external _init_mem_destination
000000018e5fab20 (__TEXT,__text) non-external _init_mem_source
000000018e5fa930 (__TEXT,__text) non-external _init_source
000000018e611ce0 (__TEXT,__text) non-external _int_downsample
000000018e60aa80 (__TEXT,__text) non-external _int_upsample
000000018e5fe2f0 (__TEXT,__text) non-external (was a private external) _jdiv_round_up
000000018e5fab74 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
000000018e5f90e8 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
000000018e61b200 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
000000018e5f3dfc (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
000000018e5ff364 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
000000018e6069e4 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
000000018e60c518 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
000000018e60f1fc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
000000018e60c8cc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
000000018e60cda8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
000000018e60ef18 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
000000018e60d1e8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
000000018e60d76c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
000000018e60eb88 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
000000018e60dc4c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
000000018e60e188 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
000000018e60e780 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
000000018e60c198 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
000000018e610dc8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
000000018e60f98c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
000000018e60c118 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
000000018e610ce4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
000000018e60c01c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
000000018e610b70 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
000000018e60f884 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
000000018e60be54 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
000000018e610938 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
000000018e610628 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
000000018e60bcb0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
000000018e6102c0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
000000018e60f728 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
000000018e60bae4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
000000018e60fe88 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
000000018e60b7f4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
000000018e60f9dc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
000000018e60f474 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
000000018e60c1d4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
000000018e6144b4 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
000000018e618540 (__TEXT,__text) non-external _jpeg_gen_optimal_table
000000018e614600 (__TEXT,__text) non-external _jpeg_huff_decode
000000018e601424 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
000000018e6045e8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
000000018e601840 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
000000018e601d2c (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
000000018e60426c (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
000000018e6021d8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
000000018e602774 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
000000018e603e20 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
000000018e602ca8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
000000018e603254 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
000000018e6038a8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
000000018e6065ac (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
000000018e604ec4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
000000018e606458 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
000000018e600e20 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
000000018e60626c (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
000000018e604d88 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
000000018e605f28 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
000000018e605bf8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
000000018e600a4c (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
000000018e60586c (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
000000018e604bac (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
000000018e6007f8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
000000018e60541c (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
000000018e600484 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
000000018e604f14 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
000000018e604908 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
000000018e601058 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
000000018e618100 (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
000000018e613870 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
000000018e619e64 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
000000018e5faa58 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
000000018e61befc (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
000000018e61be98 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
000000018e61be18 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
000000018e61bd74 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
000000018e61bca4 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
000000018e61bba0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
000000018e61c48c (__TEXT,__const) non-external _jpeg_zigzag_order
000000018e61c260 (__TEXT,__const) non-external _jpeg_zigzag_order2
000000018e61c270 (__TEXT,__const) non-external _jpeg_zigzag_order3
000000018e61c294 (__TEXT,__const) non-external _jpeg_zigzag_order4
000000018e61c2d4 (__TEXT,__const) non-external _jpeg_zigzag_order5
000000018e61c338 (__TEXT,__const) non-external _jpeg_zigzag_order6
000000018e61c3c8 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018e612614 (__TEXT,__text) non-external _merged_1v_upsample
000000018e612330 (__TEXT,__text) non-external _merged_2v_upsample
000000018e619428 (__TEXT,__text) non-external _new_color_map_1_quant
000000018e5f576c (__TEXT,__text) non-external _new_color_map_2_quant
000000018e5f69a8 (__TEXT,__text) non-external _next_marker
000000018e60a96c (__TEXT,__text) non-external _noop_upsample
000000018e5f4adc (__TEXT,__text) non-external _null_convert
000000018e5fd7c4 (__TEXT,__text) non-external _null_convert
000000018e5f4788 (__TEXT,__text) non-external _null_method
000000018e611f54 (__TEXT,__text) non-external _output_message
000000018e61614c (__TEXT,__text) non-external _output_pass_setup
000000018e5f5c4c (__TEXT,__text) non-external _pass2_fs_dither
000000018e5f5f44 (__TEXT,__text) non-external _pass2_no_dither
000000018e609160 (__TEXT,__text) non-external _pass_startup
000000018e6093a8 (__TEXT,__text) non-external _per_scan_setup
000000018e60ad48 (__TEXT,__text) non-external _post_process_1pass
000000018e60aee0 (__TEXT,__text) non-external _post_process_2pass
000000018e60ade0 (__TEXT,__text) non-external _post_process_prepass
000000018e5fe868 (__TEXT,__text) non-external _pre_process_context
000000018e5feae4 (__TEXT,__text) non-external _pre_process_data
000000018e609d28 (__TEXT,__text) non-external _prepare_for_output_pass
000000018e608f68 (__TEXT,__text) non-external _prepare_for_pass
000000018e5f5834 (__TEXT,__text) non-external _prescan_quantize
000000018e60a260 (__TEXT,__text) non-external _process_data_context_main
000000018e60a5dc (__TEXT,__text) non-external _process_data_crank_post
000000018e5fe4bc (__TEXT,__text) non-external _process_data_simple_main
000000018e60a524 (__TEXT,__text) non-external _process_data_simple_main
000000018e5fbaec (__TEXT,__text) non-external _process_restart
000000018e61441c (__TEXT,__text) non-external _process_restart
000000018e6196f8 (__TEXT,__text) non-external _quantize3_ord_dither
000000018e6198bc (__TEXT,__text) non-external _quantize_fs_dither
000000018e6197c8 (__TEXT,__text) non-external _quantize_ord_dither
000000018e5fa6f4 (__TEXT,__text) non-external _read_backing_store
000000018e5f6ba4 (__TEXT,__text) non-external _read_markers
000000018e5f8064 (__TEXT,__text) non-external _read_restart_marker
000000018e61a790 (__TEXT,__text) non-external _realize_virt_arrays
000000018e61a6e8 (__TEXT,__text) non-external _request_virt_barray
000000018e61a640 (__TEXT,__text) non-external _request_virt_sarray
000000018e6120c8 (__TEXT,__text) non-external _reset_error_mgr
000000018e5ffcbc (__TEXT,__text) non-external _reset_input_controller
000000018e5f6b84 (__TEXT,__text) non-external _reset_marker_reader
000000018e5fd364 (__TEXT,__text) non-external _rgb1_gray_convert
000000018e5fd67c (__TEXT,__text) non-external _rgb1_rgb_convert
000000018e5f492c (__TEXT,__text) non-external _rgb_convert
000000018e5fd610 (__TEXT,__text) non-external _rgb_convert
000000018e5f48ac (__TEXT,__text) non-external _rgb_gray_convert
000000018e5fd2e0 (__TEXT,__text) non-external _rgb_gray_convert
000000018e5f4998 (__TEXT,__text) non-external _rgb_rgb1_convert
000000018e5f4a14 (__TEXT,__text) non-external _rgb_ycc_convert
000000018e5f47e0 (__TEXT,__text) non-external _rgb_ycc_start
000000018e5f8490 (__TEXT,__text) non-external _save_marker
000000018e61c6cc (__TEXT,__const) non-external _select_ncolors.RGB_order
000000018e609240 (__TEXT,__text) non-external _select_scan_parameters
000000018e61ae78 (__TEXT,__text) non-external _self_destruct
000000018e611538 (__TEXT,__text) non-external _sep_downsample
000000018e60a81c (__TEXT,__text) non-external _sep_upsample
000000018e5fa9e0 (__TEXT,__text) non-external _skip_input_data
000000018e5f8108 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
000000018e5ffd1c (__TEXT,__text) non-external _start_input_pass
000000018e607684 (__TEXT,__text) non-external _start_input_pass
000000018e6076c8 (__TEXT,__text) non-external _start_output_pass
000000018e5f4d28 (__TEXT,__text) non-external _start_pass
000000018e5f9180 (__TEXT,__text) non-external _start_pass
000000018e5fac64 (__TEXT,__text) non-external _start_pass
000000018e61b640 (__TEXT,__const) non-external _start_pass.aanscalefactor
000000018e61b5c0 (__TEXT,__const) non-external _start_pass.aanscales
000000018e6191a8 (__TEXT,__text) non-external _start_pass_1_quant
000000018e5f5604 (__TEXT,__text) non-external _start_pass_2_quant
000000018e5fd9a0 (__TEXT,__text) non-external _start_pass_coef
000000018e614db0 (__TEXT,__text) non-external _start_pass_coef
000000018e5fd2c0 (__TEXT,__text) non-external _start_pass_dcolor
000000018e611534 (__TEXT,__text) non-external _start_pass_downsample
000000018e60ac4c (__TEXT,__text) non-external _start_pass_dpost
000000018e5fc258 (__TEXT,__text) non-external _start_pass_fdctmgr
000000018e61b9c0 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
000000018e61b940 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
000000018e6165ec (__TEXT,__text) non-external _start_pass_huff
000000018e612868 (__TEXT,__text) non-external _start_pass_huff_decoder
000000018e5fe478 (__TEXT,__text) non-external _start_pass_main
000000018e60a104 (__TEXT,__text) non-external _start_pass_main
000000018e61231c (__TEXT,__text) non-external _start_pass_merged_upsample
000000018e5fe810 (__TEXT,__text) non-external _start_pass_prep
000000018e60a808 (__TEXT,__text) non-external _start_pass_upsample
000000018e61c0f8 (__TEXT,__const) non-external _std_chrominance_quant_tbl
000000018e61bff8 (__TEXT,__const) non-external _std_luminance_quant_tbl
000000018e619dac (__TEXT,__text) non-external _term_destination
000000018e61a018 (__TEXT,__text) non-external _term_mem_destination
000000018e5faa54 (__TEXT,__text) non-external _term_source
                 (undefined) external _tmpfile (from libSystem)
