000000019dd295d0 (__TEXT,__text) non-external +[Calculate _lock]
000000019dd27b0c (__TEXT,__text) non-external -[CalculateUnit unitType]
000000019dd2d514 (__TEXT,__text) non-external -[Converter .cxx_destruct]
000000019dd3022c (__TEXT,__text) non-external -[Converter _calculate:]
000000019dd2e760 (__TEXT,__text) non-external -[Converter _doubleWithoutUnrelevantDecimalsForNumber:]
000000019dd2d6bc (__TEXT,__text) non-external -[Converter _localizedPluralizedStringsforNumber:unit:]
000000019dd2fa98 (__TEXT,__text) non-external -[Converter _normalizedUnitNamesForName:]
000000019dd2e7ec (__TEXT,__text) non-external -[Converter _operateConversionForOutputUnit:]
000000019dd303a4 (__TEXT,__text) non-external -[Converter _parseInputQuery]
000000019dd2ef30 (__TEXT,__text) non-external -[Converter _performUnitPluralization]
000000019dd3030c (__TEXT,__text) non-external -[Converter _safe_subStringOf:withRange:]
000000019dd2f760 (__TEXT,__text) non-external -[Converter _standardizeInputAndOutputUnits]
000000019dd2f454 (__TEXT,__text) non-external -[Converter _unitInfoForNormalizedName:]
000000019dd2fc20 (__TEXT,__text) non-external -[Converter _updateInputValueFromMatch:]
000000019dd2d5e4 (__TEXT,__text) non-external -[Converter additionalResults]
000000019dd2d5d0 (__TEXT,__text) non-external -[Converter conversionType]
000000019dd2d5f4 (__TEXT,__text) non-external -[Converter currencyUpdateTimeOut]
000000019dd31ff4 (__TEXT,__text) non-external -[Converter initWithInput:]
000000019dd2d6b4 (__TEXT,__text) non-external -[Converter inputString]
000000019dd2d6a0 (__TEXT,__text) non-external -[Converter inputUnit]
000000019dd2d68c (__TEXT,__text) non-external -[Converter inputValue]
000000019dd2d5fc (__TEXT,__text) non-external -[Converter isCurrency]
000000019dd2d650 (__TEXT,__text) non-external -[Converter localizedInputValueAndUnit]
000000019dd2d614 (__TEXT,__text) non-external -[Converter localizedOutputUnit]
000000019dd2d63c (__TEXT,__text) non-external -[Converter localizedOutputValueAndUnit]
000000019dd2d628 (__TEXT,__text) non-external -[Converter localizedOutputValue]
000000019dd2d678 (__TEXT,__text) non-external -[Converter outputUnit]
000000019dd2d664 (__TEXT,__text) non-external -[Converter outputValue]
000000019dd30c6c (__TEXT,__text) non-external -[Converter processConversionWithCompletion:]
000000019dd2d5d8 (__TEXT,__text) non-external -[Converter setAdditionalResults:]
000000019dd2d5c4 (__TEXT,__text) non-external -[Converter setConversionType:]
000000019dd2d5ec (__TEXT,__text) non-external -[Converter setCurrencyUpdateTimeOut:]
000000019dd2d6a8 (__TEXT,__text) non-external -[Converter setInputString:]
000000019dd2d694 (__TEXT,__text) non-external -[Converter setInputUnit:]
000000019dd2d680 (__TEXT,__text) non-external -[Converter setInputValue:]
000000019dd2d644 (__TEXT,__text) non-external -[Converter setLocalizedInputValueAndUnit:]
000000019dd2d608 (__TEXT,__text) non-external -[Converter setLocalizedOutputUnit:]
000000019dd2d61c (__TEXT,__text) non-external -[Converter setLocalizedOutputValue:]
000000019dd2d630 (__TEXT,__text) non-external -[Converter setLocalizedOutputValueAndUnit:]
000000019dd2d66c (__TEXT,__text) non-external -[Converter setOutputUnit:]
000000019dd2d658 (__TEXT,__text) non-external -[Converter setOutputValue:]
000000019dd2f0cc (__TEXT,__text) non-external -[Converter similarUnitsForNormalizedName:]
000000019dd05cf0 (__TEXT,__text) non-external -[CurrencyCache .cxx_destruct]
000000019dd06ef8 (__TEXT,__text) non-external -[CurrencyCache _consumerKey]
000000019dd06f04 (__TEXT,__text) non-external -[CurrencyCache _consumerSecret]
000000019dd06338 (__TEXT,__text) non-external -[CurrencyCache _loadPersistedCurrencyCache]
000000019dd07020 (__TEXT,__text) non-external -[CurrencyCache _needsRefresh]
000000019dd0658c (__TEXT,__text) non-external -[CurrencyCache _queue_persistCurrencyCache]
000000019dd06810 (__TEXT,__text) non-external -[CurrencyCache _queue_refresh:]
000000019dd067d8 (__TEXT,__text) non-external -[CurrencyCache _queue_refresh]
000000019dd06e5c (__TEXT,__text) non-external -[CurrencyCache createCredential]
000000019dd06f90 (__TEXT,__text) non-external -[CurrencyCache currencyData]
000000019dd07480 (__TEXT,__text) non-external -[CurrencyCache init]
000000019dd0706c (__TEXT,__text) non-external -[CurrencyCache lastRefreshDate]
000000019dd05d98 (__TEXT,__text) non-external -[CurrencyCache lastRefreshTimeInternal]
000000019dd05d88 (__TEXT,__text) non-external -[CurrencyCache lock]
000000019dd06fe0 (__TEXT,__text) non-external -[CurrencyCache needsRefresh]
000000019dd07284 (__TEXT,__text) non-external -[CurrencyCache refreshIfNeeded]
000000019dd05db8 (__TEXT,__text) non-external -[CurrencyCache refreshInterval]
000000019dd070bc (__TEXT,__text) non-external -[CurrencyCache refreshWithTimeOut:]
000000019dd072d0 (__TEXT,__text) non-external -[CurrencyCache refresh]
000000019dd05dcc (__TEXT,__text) non-external -[CurrencyCache serializer]
000000019dd05dd4 (__TEXT,__text) non-external -[CurrencyCache setCurrencyData:]
000000019dd05d90 (__TEXT,__text) non-external -[CurrencyCache setLastRefreshTimeInternal:]
000000019dd05d7c (__TEXT,__text) non-external -[CurrencyCache setLock:]
000000019dd05db0 (__TEXT,__text) non-external -[CurrencyCache setRefreshInterval:]
000000019dd05dc0 (__TEXT,__text) non-external -[CurrencyCache setSerializer:]
000000019dd05da0 (__TEXT,__text) non-external -[CurrencyCache setTimeout:]
000000019dd05da8 (__TEXT,__text) non-external -[CurrencyCache timeout]
000000019dd05de8 (__TEXT,__text) non-external -[CurrencyCache updateCurrencyCacheWithData:]
000000019dd05de0 (__TEXT,__text) non-external -[CurrencyCache uuid]
000000019dd19740 (__TEXT,__text) non-external -[NSLocale(Whitespace) usesWhitespace]
000000019dd1c154 (__TEXT,__text) non-external -[Trie .cxx_destruct]
000000019dd1c214 (__TEXT,__text) non-external -[Trie characterCount]
000000019dd1c204 (__TEXT,__text) non-external -[Trie characterSize]
000000019dd1c224 (__TEXT,__text) non-external -[Trie characters]
000000019dd1c1a0 (__TEXT,__text) non-external -[Trie compressed]
000000019dd1c334 (__TEXT,__text) non-external -[Trie dealloc]
000000019dd1c1b0 (__TEXT,__text) non-external -[Trie firstByteCache]
000000019dd1c39c (__TEXT,__text) non-external -[Trie init]
000000019dd1c1e4 (__TEXT,__text) non-external -[Trie nodeCount]
000000019dd1c1d4 (__TEXT,__text) non-external -[Trie nodeSize]
000000019dd1c1f4 (__TEXT,__text) non-external -[Trie nodes]
000000019dd1c1c4 (__TEXT,__text) non-external -[Trie objects]
000000019dd1c20c (__TEXT,__text) non-external -[Trie setCharacterCount:]
000000019dd1c1fc (__TEXT,__text) non-external -[Trie setCharacterSize:]
000000019dd1c21c (__TEXT,__text) non-external -[Trie setCharacters:]
000000019dd1c198 (__TEXT,__text) non-external -[Trie setCompressed:]
000000019dd1c1a8 (__TEXT,__text) non-external -[Trie setFirstByteCache:]
000000019dd1c1dc (__TEXT,__text) non-external -[Trie setNodeCount:]
000000019dd1c1cc (__TEXT,__text) non-external -[Trie setNodeSize:]
000000019dd1c1ec (__TEXT,__text) non-external -[Trie setNodes:]
000000019dd1c1b8 (__TEXT,__text) non-external -[Trie setObjects:]
000000019dd1c2c0 (__TEXT,__text) non-external -[Trie writeCharacter:]
000000019dd1c22c (__TEXT,__text) non-external -[Trie writeNode:]
000000019dd1c0f4 (__TEXT,__text) non-external -[TrieNode .cxx_destruct]
000000019dd1c114 (__TEXT,__text) non-external -[TrieNode node]
000000019dd1c53c (__TEXT,__text) non-external -[TrieNode objectForByte:leaf:create:]
000000019dd1cb24 (__TEXT,__text) non-external -[TrieNode objectForKey:create:]
000000019dd1cc48 (__TEXT,__text) non-external -[TrieNode objectForKeyedSubscript:]
000000019dd1c91c (__TEXT,__text) non-external -[TrieNode object]
000000019dd1c104 (__TEXT,__text) non-external -[TrieNode offset]
000000019dd1c10c (__TEXT,__text) non-external -[TrieNode setNode:]
000000019dd1ca00 (__TEXT,__text) non-external -[TrieNode setObject:]
000000019dd1c0fc (__TEXT,__text) non-external -[TrieNode setOffset:]
000000019dd1c11c (__TEXT,__text) non-external -[TrieNode setTrie:]
000000019dd1c128 (__TEXT,__text) non-external -[TrieNode trie]
000000019dd1c5f4 (__TEXT,__text) non-external -[TrieNode updateForByte:leaf:create:]
000000019dd1a0c8 (__TEXT,__text) non-external -[UnitInfo .cxx_destruct]
000000019dd1a15c (__TEXT,__text) non-external -[UnitInfo allSubunitIDs]
000000019dd1a2c8 (__TEXT,__text) non-external -[UnitInfo baseDenominator]
000000019dd1a2dc (__TEXT,__text) non-external -[UnitInfo baseNumerator]
000000019dd1a1ec (__TEXT,__text) non-external -[UnitInfo bestEquivalent]
000000019dd1a31c (__TEXT,__text) non-external -[UnitInfo compactNameForLocalization:]
000000019dd1a638 (__TEXT,__text) non-external -[UnitInfo compare:]
000000019dd1a1c8 (__TEXT,__text) non-external -[UnitInfo doNotSuggest]
000000019dd1a180 (__TEXT,__text) non-external -[UnitInfo formatNextSmallest]
000000019dd1a5fc (__TEXT,__text) non-external -[UnitInfo hash]
000000019dd1a288 (__TEXT,__text) non-external -[UnitInfo impliesDivision]
000000019dd1a738 (__TEXT,__text) non-external -[UnitInfo init]
000000019dd1a2a8 (__TEXT,__text) non-external -[UnitInfo isBaseUnit]
000000019dd1a268 (__TEXT,__text) non-external -[UnitInfo isCelsius]
000000019dd1a298 (__TEXT,__text) non-external -[UnitInfo isDisplayName]
000000019dd1a6b8 (__TEXT,__text) non-external -[UnitInfo isEqual:]
000000019dd1a278 (__TEXT,__text) non-external -[UnitInfo isFahrenheit]
000000019dd1a2b8 (__TEXT,__text) non-external -[UnitInfo isInverted]
000000019dd1a258 (__TEXT,__text) non-external -[UnitInfo isKelvin]
000000019dd1a148 (__TEXT,__text) non-external -[UnitInfo localizationToCompactName]
000000019dd1a1d8 (__TEXT,__text) non-external -[UnitInfo measurementSystem]
000000019dd1a2f4 (__TEXT,__text) non-external -[UnitInfo name]
000000019dd1a194 (__TEXT,__text) non-external -[UnitInfo nextSmallest]
000000019dd1a150 (__TEXT,__text) non-external -[UnitInfo setAllSubunitIDs:]
000000019dd1a2c0 (__TEXT,__text) non-external -[UnitInfo setBaseDenominator:]
000000019dd1a2d4 (__TEXT,__text) non-external -[UnitInfo setBaseNumerator:]
000000019dd1a1e0 (__TEXT,__text) non-external -[UnitInfo setBestEquivalent:]
000000019dd1a1c0 (__TEXT,__text) non-external -[UnitInfo setDoNotSuggest:]
000000019dd1a178 (__TEXT,__text) non-external -[UnitInfo setFormatNextSmallest:]
000000019dd1a280 (__TEXT,__text) non-external -[UnitInfo setImpliesDivision:]
000000019dd1a2a0 (__TEXT,__text) non-external -[UnitInfo setIsBaseUnit:]
000000019dd1a260 (__TEXT,__text) non-external -[UnitInfo setIsCelsius:]
000000019dd1a290 (__TEXT,__text) non-external -[UnitInfo setIsDisplayName:]
000000019dd1a270 (__TEXT,__text) non-external -[UnitInfo setIsFahrenheit:]
000000019dd1a2b0 (__TEXT,__text) non-external -[UnitInfo setIsInverted:]
000000019dd1a250 (__TEXT,__text) non-external -[UnitInfo setIsKelvin:]
000000019dd1a13c (__TEXT,__text) non-external -[UnitInfo setLocalizationToCompactName:]
000000019dd1a1d0 (__TEXT,__text) non-external -[UnitInfo setMeasurementSystem:]
000000019dd1a2e8 (__TEXT,__text) non-external -[UnitInfo setName:]
000000019dd1a188 (__TEXT,__text) non-external -[UnitInfo setNextSmallest:]
000000019dd1a164 (__TEXT,__text) non-external -[UnitInfo setSubunitIDs:]
000000019dd1a218 (__TEXT,__text) non-external -[UnitInfo setTypeInfo:]
000000019dd1a30c (__TEXT,__text) non-external -[UnitInfo setUnitID:]
000000019dd1a2fc (__TEXT,__text) non-external -[UnitInfo setUnitType:]
000000019dd1a170 (__TEXT,__text) non-external -[UnitInfo subunitIDs]
000000019dd1a224 (__TEXT,__text) non-external -[UnitInfo typeInfo]
000000019dd1a314 (__TEXT,__text) non-external -[UnitInfo unitID]
000000019dd1a304 (__TEXT,__text) non-external -[UnitInfo unitType]
000000019dd198cc (__TEXT,__text) non-external -[UnitRank .cxx_destruct]
000000019dd19a08 (__TEXT,__text) non-external -[UnitRank compare:]
000000019dd1991c (__TEXT,__text) non-external -[UnitRank context]
000000019dd19958 (__TEXT,__text) non-external -[UnitRank description]
000000019dd199bc (__TEXT,__text) non-external -[UnitRank hash]
000000019dd19bd8 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:]
000000019dd19b14 (__TEXT,__text) non-external -[UnitRank initWithUnitID:rank:locale:context:]
000000019dd19a88 (__TEXT,__text) non-external -[UnitRank isEqual:]
000000019dd19930 (__TEXT,__text) non-external -[UnitRank locale]
000000019dd19940 (__TEXT,__text) non-external -[UnitRank rank]
000000019dd19910 (__TEXT,__text) non-external -[UnitRank setContext:]
000000019dd19924 (__TEXT,__text) non-external -[UnitRank setLocale:]
000000019dd19938 (__TEXT,__text) non-external -[UnitRank setRank:]
000000019dd19948 (__TEXT,__text) non-external -[UnitRank setUnitID:]
000000019dd19950 (__TEXT,__text) non-external -[UnitRank unitID]
000000019dd19be0 (__TEXT,__text) non-external -[UnitRanks .cxx_destruct]
000000019dd19cbc (__TEXT,__text) non-external -[UnitRanks addUnitRank:]
000000019dd19c78 (__TEXT,__text) non-external -[UnitRanks containsCurrency]
000000019dd19c9c (__TEXT,__text) non-external -[UnitRanks containsFrom]
