00007ffc0e6c13d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc0e6cb4b1 (__TEXT,__text) external _SQLColAttributesW
00007ffc0e6cac61 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffc0e6b4b8c (__TEXT,__text) external _SQLColumnPrivileges
00007ffc0e6b4d83 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffc0e6b4f7a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffc0e6b48d0 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffc0e6b542d (__TEXT,__text) external _SQLColumns
00007ffc0e6b5624 (__TEXT,__text) external _SQLColumnsA
00007ffc0e6b581b (__TEXT,__text) external _SQLColumnsW
00007ffc0e6b5171 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffc0e6b9412 (__TEXT,__text) external _SQLConnect
00007ffc0e6b9d53 (__TEXT,__text) external _SQLConnectA
00007ffc0e6b9eea (__TEXT,__text) external _SQLConnectW
00007ffc0e6b95a9 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffc0e6dede3 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffc0e6d04e9 (__TEXT,__text) external _SQLCopyDesc
00007ffc0e6c5df1 (__TEXT,__text) external _SQLDataSources
00007ffc0e6c5f19 (__TEXT,__text) external _SQLDataSourcesA
00007ffc0e6c6041 (__TEXT,__text) external _SQLDataSourcesW
00007ffc0e6c5990 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffc412290a0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffc412290c0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffc412290c8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffc0e6ca69a (__TEXT,__text) external _SQLDescribeCol
00007ffc0e6ca887 (__TEXT,__text) external _SQLDescribeColA
00007ffc0e6caa74 (__TEXT,__text) external _SQLDescribeColW
00007ffc0e6ca3e8 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffc0e6be6e8 (__TEXT,__text) external _SQLDescribeParam
00007ffc0e6bca4d (__TEXT,__text) external _SQLDisconnect
00007ffc0e6bbaca (__TEXT,__text) external _SQLDriverConnect
00007ffc0e6bbc6b (__TEXT,__text) external _SQLDriverConnectA
00007ffc0e6bbe0c (__TEXT,__text) external _SQLDriverConnectW
00007ffc0e6ba081 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffc0e6dee06 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffc0e6dee29 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffc0e6c66aa (__TEXT,__text) external _SQLDrivers
00007ffc0e6c67d2 (__TEXT,__text) external _SQLDriversA
00007ffc0e6c68fa (__TEXT,__text) external _SQLDriversW
00007ffc0e6c6290 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffc412290a4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffc412290d0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffc412290d8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffc0e6d12bc (__TEXT,__text) external _SQLEndTran
00007ffc0e6c1d83 (__TEXT,__text) external _SQLError
00007ffc0e6c1e68 (__TEXT,__text) external _SQLErrorA
00007ffc0e6c1f4d (__TEXT,__text) external _SQLErrorW
00007ffc0e6bdc04 (__TEXT,__text) external _SQLExecDirect
00007ffc0e6bdd40 (__TEXT,__text) external _SQLExecDirectA
00007ffc0e6bde7c (__TEXT,__text) external _SQLExecDirectW
00007ffc0e6bd9cc (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffc0e6bd730 (__TEXT,__text) external _SQLExecute
00007ffc0e6bee06 (__TEXT,__text) external _SQLExtendedFetch
00007ffc0e6beb6c (__TEXT,__text) external _SQLFetch
00007ffc0e6d1580 (__TEXT,__text) external _SQLFetchScroll
00007ffc0e6be9b4 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffc0e6b5db3 (__TEXT,__text) external _SQLForeignKeys
00007ffc0e6b5fd5 (__TEXT,__text) external _SQLForeignKeysA
00007ffc0e6b61f7 (__TEXT,__text) external _SQLForeignKeysW
00007ffc0e6b5a12 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffc0e6bfacb (__TEXT,__text) external _SQLFreeConnect
00007ffc0e6bfa2b (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffc0e6c1353 (__TEXT,__text) external _SQLFreeEnv
00007ffc0e6c12e2 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffc0e6cbae5 (__TEXT,__text) external _SQLFreeHandle
00007ffc0e6c4882 (__TEXT,__text) external _SQLFreeStmt
00007ffc0e6c4651 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffc0e6db969 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffc0e6ce729 (__TEXT,__text) external _SQLGetConnectAttr
00007ffc0e6cec22 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffc0e6ced73 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffc0e6ce87a (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffc0e6c0992 (__TEXT,__text) external _SQLGetConnectOption
00007ffc0e6c0ab8 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffc0e6c0bde (__TEXT,__text) external _SQLGetConnectOptionW
00007ffc0e6c9af5 (__TEXT,__text) external _SQLGetCursorName
00007ffc0e6c9c56 (__TEXT,__text) external _SQLGetCursorNameA
00007ffc0e6c9db7 (__TEXT,__text) external _SQLGetCursorNameW
00007ffc0e6c98bd (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffc0e6bef8f (__TEXT,__text) external _SQLGetData
00007ffc0e6cf146 (__TEXT,__text) external _SQLGetDescField
00007ffc0e6cf2c6 (__TEXT,__text) external _SQLGetDescFieldA
00007ffc0e6cf446 (__TEXT,__text) external _SQLGetDescFieldW
00007ffc0e6ceec4 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffc0e6cfd56 (__TEXT,__text) external _SQLGetDescRec
00007ffc0e6cff08 (__TEXT,__text) external _SQLGetDescRecA
00007ffc0e6d00ba (__TEXT,__text) external _SQLGetDescRecW
00007ffc0e6cfb59 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffc0e6c3bfc (__TEXT,__text) external _SQLGetDiagField
00007ffc0e6c3ce4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffc0e6c3dcc (__TEXT,__text) external _SQLGetDiagFieldW
00007ffc0e6c2aed (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffc0e6c2820 (__TEXT,__text) external _SQLGetDiagRec
00007ffc0e6c290f (__TEXT,__text) external _SQLGetDiagRecA
00007ffc0e6c29fe (__TEXT,__text) external _SQLGetDiagRecW
00007ffc0e6c2032 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffc0e6cc1f7 (__TEXT,__text) external _SQLGetEnvAttr
00007ffc0e6c7636 (__TEXT,__text) external _SQLGetFunctions
00007ffc0e6c7231 (__TEXT,__text) external _SQLGetInfo
00007ffc0e6c7388 (__TEXT,__text) external _SQLGetInfoA
00007ffc0e6c74df (__TEXT,__text) external _SQLGetInfoW
00007ffc0e6c6b49 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffc0e6de7f1 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffc0e6de82a (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffc0e6de274 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffc0e6de4e0 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffc0e6ccb98 (__TEXT,__text) external _SQLGetStmtAttr
00007ffc0e6ccd0e (__TEXT,__text) external _SQLGetStmtAttrA
00007ffc0e6cce84 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffc0e6cc3b5 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffc0e6c50a4 (__TEXT,__text) external _SQLGetStmtOption
00007ffc0e6c51e1 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffc0e6c4ea5 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffc0e6b2b98 (__TEXT,__text) external _SQLGetTypeInfo
00007ffc0e6b2cc2 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffc0e6b2dec (__TEXT,__text) external _SQLGetTypeInfoW
00007ffc0e6b2a00 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffc0e6bf33a (__TEXT,__text) external _SQLMoreResults
00007ffc0e6bce38 (__TEXT,__text) external _SQLNativeSql
00007ffc0e6bcfb4 (__TEXT,__text) external _SQLNativeSqlA
00007ffc0e6bd130 (__TEXT,__text) external _SQLNativeSqlW
00007ffc0e6bcbb4 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffc0e6be4d4 (__TEXT,__text) external _SQLNumParams
00007ffc0e6ca204 (__TEXT,__text) external _SQLNumResultCols
00007ffc0e6be245 (__TEXT,__text) external _SQLParamData
00007ffc0e6c8c69 (__TEXT,__text) external _SQLParamOptions
00007ffc0e6c7ee0 (__TEXT,__text) external _SQLPrepare
00007ffc0e6c801c (__TEXT,__text) external _SQLPrepareA
00007ffc0e6c8158 (__TEXT,__text) external _SQLPrepareW
00007ffc0e6c7ce8 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffc0e6b6677 (__TEXT,__text) external _SQLPrimaryKeys
00007ffc0e6b6847 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffc0e6b6a17 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffc0e6b6419 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffc0e6b6ea3 (__TEXT,__text) external _SQLProcedureColumns
00007ffc0e6b709a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffc0e6b7291 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffc0e6b6be7 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffc0e6b76e6 (__TEXT,__text) external _SQLProcedures
00007ffc0e6b78b6 (__TEXT,__text) external _SQLProceduresA
00007ffc0e6b7a86 (__TEXT,__text) external _SQLProceduresW
00007ffc0e6b7488 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffc0e6bdfb8 (__TEXT,__text) external _SQLPutData
00007ffc0e6db0e0 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffc0e6db248 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffc0e6c9f18 (__TEXT,__text) external _SQLRowCount
00007ffc0e6de863 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffc0e6ce157 (__TEXT,__text) external _SQLSetConnectAttr
00007ffc0e6ce4a9 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffc0e6ce5e9 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffc0e6ce297 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffc0e6c01f3 (__TEXT,__text) external _SQLSetConnectOption
00007ffc0e6c0319 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffc0e6c043f (__TEXT,__text) external _SQLSetConnectOptionW
00007ffc0e6c8443 (__TEXT,__text) external _SQLSetCursorName
00007ffc0e6c8585 (__TEXT,__text) external _SQLSetCursorNameA
00007ffc0e6c86c7 (__TEXT,__text) external _SQLSetCursorNameW
00007ffc0e6c8294 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffc0e6cf75a (__TEXT,__text) external _SQLSetDescField
00007ffc0e6cf8af (__TEXT,__text) external _SQLSetDescFieldA
00007ffc0e6cfa04 (__TEXT,__text) external _SQLSetDescFieldW
00007ffc0e6cf5c6 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffc0e6d026c (__TEXT,__text) external _SQLSetDescRec
00007ffc0e6cc007 (__TEXT,__text) external _SQLSetEnvAttr
00007ffc0e6cc124 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffc0e6ded8f (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffc0e6deda0 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffc0e6c94b0 (__TEXT,__text) external _SQLSetParam
00007ffc0e6bf71a (__TEXT,__text) external _SQLSetPos
00007ffc0e6c8f77 (__TEXT,__text) external _SQLSetScrollOptions
00007ffc0e6cdd28 (__TEXT,__text) external _SQLSetStmtAttr
00007ffc0e6cde8d (__TEXT,__text) external _SQLSetStmtAttrA
00007ffc0e6cdff2 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffc0e6ccffa (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffc0e6c49ba (__TEXT,__text) external _SQLSetStmtOption
00007ffc0e6c4d69 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffc0e6c4af6 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffc0e6b31ca (__TEXT,__text) external _SQLSpecialColumns
00007ffc0e6b33b7 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffc0e6b35a4 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffc0e6b2f16 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffc0e6b3a26 (__TEXT,__text) external _SQLStatistics
00007ffc0e6b3c29 (__TEXT,__text) external _SQLStatisticsA
00007ffc0e6b3e2c (__TEXT,__text) external _SQLStatisticsW
00007ffc0e6b3791 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffc0e6b7eb4 (__TEXT,__text) external _SQLTablePrivileges
00007ffc0e6b8084 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffc0e6b8254 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffc0e6b7c56 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffc0e6b42eb (__TEXT,__text) external _SQLTables
00007ffc0e6b44e2 (__TEXT,__text) external _SQLTablesA
00007ffc0e6b46d9 (__TEXT,__text) external _SQLTablesW
00007ffc0e6b402f (__TEXT,__text) non-external _SQLTables_Internal
00007ffc0e6c0ff9 (__TEXT,__text) external _SQLTransact
00007ffc0e6c0d04 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffc0e6dba54 (__TEXT,__text) non-external _SQLValidDSN
00007ffc0e6dbab3 (__TEXT,__text) non-external _SQLValidDSNW
00007ffc0e6dae8b (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffc0e6daf36 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffc0e6de9c4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffc0e6debe5 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffc0e6c5d9f (__TEXT,__text) non-external _SectSorter
00007ffc0e6db9b6 (__TEXT,__text) non-external _ValidDSN
00007ffc0e6dba08 (__TEXT,__text) non-external _ValidDSNW
00007ffc0e6de8ba (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffc0e6cbecc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc0e6bd530 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc0e6bd550 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffc0e6dcb85 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffc41229110 (__DATA,__common) non-external __iodbc_env_counter
00007ffc0e6db437 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffc0e6c57b2 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffc0e6c5880 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffc0e6bec89 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffc0e6c45fe (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffc0e6c0565 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffc0e6ca0e3 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffc0e6c484c (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffc0e6bfbaa (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffc0e6b868c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffc0e6bf5c4 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffc0e6c5835 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffc0e6c5519 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffc41229118 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffc0e6c593a (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffc0e6b2afd (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffc0e6b2b50 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffc0e6dd2bd (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffc0e6dc4f4 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffc0e6dcd2b (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffc0e6dc9b4 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffc0e6dc44c (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffc0e6c7b1a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffc0e6dd59c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffc0e6dcc5a (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffc0e6c7b8d (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffc0e6c7a10 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffc0e6dc525 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffc0e6dcc34 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffc0e6bb7e1 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffc0e6dd5ce (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffc0e6dca7e (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffc0e6c7bd9 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffc0e6dce29 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffc0e6db683 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffc0e6bb579 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffc0e6c55c7 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffc0e6c56c3 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffc0e6bb6a3 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffc0e6bd673 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffc0e6bd6ba (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffc0e6bd5d3 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffc0e6bd5c9 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffc0e6bd6ec (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffc0e6b88fe (__TEXT,__text) non-external __iodbcdm_driverload
00007ffc0e6b90c0 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffc0e6c4515 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffc0e6c0188 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffc0e6b8489 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffc0e6c13dc (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffc0e6bd443 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffc0e6db729 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffc0e6bd57a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffc412290b8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffc0e6dd7ac (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffc0e6dd6ec (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffc0e6ca38c (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffc0e6ca330 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffc0e6bd2ac (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffc0e6b8430 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffc0e6dedc0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffc0e6bb31c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffc0e6bb9d5 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffc0e6b8563 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffc0e6bb933 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffc0e6c13ff (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffc0e6db6cd (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffc0e6bd6c4 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffc0e6c1462 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffc0e6db8eb (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffc0e6db89b (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffc0e6c0de3 (__TEXT,__text) non-external __iodbcdm_transact
00007ffc401ddde0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffc401dea80 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffc401deb30 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffc401ddea0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffc401ddf40 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffc401de5e0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffc401de620 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffc401de2f0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffc401de670 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffc401de690 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffc401de6b0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffc401de3a0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffc401de6e0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffc401de700 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffc401dddb0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffc401dddc0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffc401de2c0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffc401de730 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffc401de780 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffc401de7a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffc401de7b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffc401de800 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffc401de820 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffc401de8a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffc401de8b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffc401de8e0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffc401de900 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffc401de980 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffc401de9c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffc401de9d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffc401de9e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffc401de9f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffc401dea10 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffc401dea30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffc401dea50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffc401dea60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffc401de9a0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffc401ddef0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffc401de430 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffc401de3e0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffc401de410 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffc401debc0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffc401debe0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffc401deca0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
