00000001803fb3dc (__TEXT,__text) external _OSAtomicAdd32
00000001803fd9e8 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001803fd9c0 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001803fb51c (__TEXT,__text) external __OSSpinLockLockSlow
00000001803fd750 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001803faba0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001db745868 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001803fa9bc (__TEXT,__text) external ___libplatform_init
00000001803fc7cc (__TEXT,__text) external ___os_log_simple_offset
00000001803fd980 (__TEXT,__text) external ___os_once_reset
00000001803faa0c (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001803fe618 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001803fe5e8 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001803fa544 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001803fb774 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001803fdbec (__TEXT,__text) external __ctx_done
00000001803fdee0 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001803fd0e0 (__TEXT,__text) non-external __enlarge
00000001803fdfe8 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001803fd034 (__TEXT,__text) non-external __flush
00000001803fcfac (__TEXT,__text) non-external __flush_reset
00000001803fe78f (__TEXT,__cstring) non-external __h
00000001803f934c (__TEXT,__text) external __longjmp
00000001803f8920 (__TEXT,__text) non-external __os_alloc
00000001803fe1f4 (__TEXT,__text) non-external __os_alloc.cold.1
00000001db745860 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001803f88d4 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001803fad7c (__TEXT,__text) non-external __os_alloc_slow
00000001803fe010 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001803fb2c8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001803fb304 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001803fb628 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001803fb2f8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001803fd91c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001803fd940 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001803fd960 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001803fe15c (__TEXT,__text) non-external __os_lock_recursive_abort
00000001803fb410 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001803fd834 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001803fb430 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001803fe648 (__TEXT,__const) non-external __os_lock_type_base
00000001dd1565c8 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001dd1565e8 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001dd156628 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001dd1565c8 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001dd1565c8 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001dd156608 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001803fb3e8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001803fd8dc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001803fd8fc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001803fca60 (__TEXT,__text) external __os_log_simple
00000001803fcc58 (__TEXT,__text) external __os_log_simple_parse
00000001803fcc28 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001803fcbbc (__TEXT,__text) external __os_log_simple_parse_message
00000001803fcb80 (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001803fcbec (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001803fcb48 (__TEXT,__text) external __os_log_simple_parse_type
00000001803fcd90 (__TEXT,__text) external __os_log_simple_reinit_4launchd
00000001803fdfc0 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
00000001803fc8e8 (__TEXT,__text) external __os_log_simple_send
00000001803fcb20 (__TEXT,__text) external __os_log_simple_shim
00000001803f9214 (__TEXT,__text) external __os_nospin_lock_lock
00000001803fa7f0 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001803f9250 (__TEXT,__text) external __os_nospin_lock_trylock
00000001803f9234 (__TEXT,__text) external __os_nospin_lock_unlock
00000001803fa8ec (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001803f8760 (__TEXT,__text) external __os_once
00000001803f87c0 (__TEXT,__text) non-external __os_once_callout
00000001803fa744 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001803fe134 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001803fe0e4 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001803fe10c (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001803fa5b4 (__TEXT,__text) non-external __os_once_gate_wait
00000001803fa4c4 (__TEXT,__text) external __os_semaphore_create
00000001803fe21c (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001803fe244 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001803fa514 (__TEXT,__text) external __os_semaphore_dispose
00000001803fe26c (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001803fb4a4 (__TEXT,__text) external __os_semaphore_signal
00000001803fe294 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001803fb4c4 (__TEXT,__text) external __os_semaphore_wait
00000001803fe2bc (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001803fe088 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001803f8edc (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001803fe038 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001803f9048 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001803fe060 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001803faba0 (__TEXT,__text) external __platform_bzero
00000001803fda10 (__TEXT,__text) external __platform_memccpy
00000001803f8a40 (__TEXT,__text) external __platform_memchr
00000001803f8b50 (__TEXT,__text) external __platform_memcmp
00000001803fdaa0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001803faed0 (__TEXT,__text) external __platform_memmove
00000001803fac00 (__TEXT,__text) external __platform_memset
00000001803f8ce0 (__TEXT,__text) external __platform_memset_pattern16
00000001803f8ca0 (__TEXT,__text) external __platform_memset_pattern4
00000001803f8cc0 (__TEXT,__text) external __platform_memset_pattern8
00000001803fb1c0 (__TEXT,__text) external __platform_strchr
00000001803f83d0 (__TEXT,__text) external __platform_strcmp
00000001803f89d8 (__TEXT,__text) external __platform_strcpy
00000001dd156540 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001803f9438 (__TEXT,__text) external __platform_strlcat
00000001803f8c28 (__TEXT,__text) external __platform_strlcpy
00000001803f8700 (__TEXT,__text) external __platform_strlen
00000001803f8530 (__TEXT,__text) external __platform_strncmp
00000001803f9178 (__TEXT,__text) external __platform_strncpy
00000001803f8660 (__TEXT,__text) external __platform_strnlen
00000001803f90f4 (__TEXT,__text) external __platform_strstr
00000001803fc1b0 (__TEXT,__text) non-external __platform_task_deallocate
00000001803fc734 (__TEXT,__text) non-external __platform_thread_deallocate
00000001803fde4c (__TEXT,__text) non-external (was a private external) __setcontext
00000001803f92ec (__TEXT,__text) external __setjmp
00000001803fb26c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001803fb720 (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001803fce08 (__TEXT,__text) non-external __simple_asl_connect
00000001803fa234 (__TEXT,__text) non-external __simple_asl_connect_once
00000001803f9efc (__TEXT,__text) non-external __simple_asl_escape_key
00000001803f9f70 (__TEXT,__text) non-external __simple_asl_escape_val
00000001803fceb8 (__TEXT,__text) external __simple_asl_get_fd
00000001803facd4 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001803faeac (__TEXT,__text) non-external __simple_asl_init_context
00000001803f9c78 (__TEXT,__text) external __simple_asl_log
00000001803f9cfc (__TEXT,__text) external __simple_asl_log_prog
00000001803f9d3c (__TEXT,__text) external __simple_asl_msg_new
00000001803f9d88 (__TEXT,__text) external __simple_asl_msg_set
00000001803fa06c (__TEXT,__text) external __simple_asl_send
00000001803fd0b4 (__TEXT,__text) external __simple_dprintf
00000001803fbef4 (__TEXT,__text) external __simple_esappend
00000001803f9ecc (__TEXT,__text) external __simple_esprintf
00000001803faaf4 (__TEXT,__text) external __simple_getenv
00000001803fd220 (__TEXT,__text) external __simple_put
00000001803fd228 (__TEXT,__text) external __simple_putline
00000001803f94d4 (__TEXT,__text) external __simple_salloc
00000001803f9fd0 (__TEXT,__text) external __simple_sappend
00000001803f98f4 (__TEXT,__text) external __simple_sfree
00000001803f9580 (__TEXT,__text) external __simple_sprintf
00000001803fa038 (__TEXT,__text) external __simple_sresize
00000001803f98e4 (__TEXT,__text) external __simple_string
00000001803fcf50 (__TEXT,__text) external __simple_vdprintf
00000001803fb758 (__TEXT,__text) external __simple_vesprintf
00000001803f9558 (__TEXT,__text) external __simple_vsprintf
00000001803fb238 (__TEXT,__text) external __spin_lock
00000001803fd81c (__TEXT,__text) external __spin_lock_try
00000001803fb254 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001db745858 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001803f9988 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001803f8884 (__TEXT,__text) external _ffs
00000001803f889c (__TEXT,__text) external _ffsl
00000001803f889c (__TEXT,__text) external _ffsll
00000001803f88b4 (__TEXT,__text) external _fls
00000001803f88c4 (__TEXT,__text) external _flsl
00000001803f88c4 (__TEXT,__text) external _flsll
00000001d92240b0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001803fdf10 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001803f95b8 (__TEXT,__text) non-external _hex
00000001803f93fc (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_port_mod_refs (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_allocate (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_read (from libsystem_kernel)
                 (undefined) external _mach_vm_remap (from libsystem_kernel)
00000001803fdc14 (__TEXT,__text) external _makecontext
00000001803fda0c (__TEXT,__text) non-external (was a private external) _memset
00000001803fd270 (__TEXT,__text) non-external _oct
00000001803fb2bc (__TEXT,__text) external _os_lock_lock
00000001803fb61c (__TEXT,__text) external _os_lock_trylock
00000001803fb2ec (__TEXT,__text) external _os_lock_unlock
00000001803fc7a8 (__TEXT,__text) external _os_log_simple_now
00000001803fc7ac (__TEXT,__text) external _os_log_simple_type_from_asl
00000001803fe628 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001803f8e60 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001803fe1ac (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001803f8854 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001803fe184 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001803f8830 (__TEXT,__text) external _os_unfair_lock_lock
00000001803fd850 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001803f8340 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001803f91f8 (__TEXT,__text) external _os_unfair_lock_trylock
00000001803f8360 (__TEXT,__text) external _os_unfair_lock_unlock
00000001803fd868 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001803f837c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001803fd87c (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001803fa480 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001803f926c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001803f84a8 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001803fd898 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001803fe1d4 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
                 (undefined) external _pid_for_task (from libsystem_kernel)
00000001803fc05c (__TEXT,__text) external _platform_task_attach
00000001803fc5a0 (__TEXT,__text) external _platform_task_copy_next_thread
00000001803fc288 (__TEXT,__text) external _platform_task_detach
00000001803fc28c (__TEXT,__text) external _platform_task_is_64_bit
00000001803fc2a8 (__TEXT,__text) external _platform_task_perform
00000001803fc2a0 (__TEXT,__text) external _platform_task_resume_threads
00000001803fc298 (__TEXT,__text) external _platform_task_suspend_threads
00000001803fc2b0 (__TEXT,__text) external _platform_task_update_threads
00000001803fc668 (__TEXT,__text) external _platform_thread_abort_safely
00000001803fc72c (__TEXT,__text) external _platform_thread_get_pthread
00000001803fc6cc (__TEXT,__text) external _platform_thread_get_state
00000001803fc640 (__TEXT,__text) external _platform_thread_get_unique_id
00000001803fc680 (__TEXT,__text) external _platform_thread_info
00000001803fc724 (__TEXT,__text) external _platform_thread_perform
00000001803fc648 (__TEXT,__text) external _platform_thread_release
00000001803fdf98 (__TEXT,__text) non-external _platform_thread_release.cold.1
00000001803fc678 (__TEXT,__text) external _platform_thread_resume
00000001803fc718 (__TEXT,__text) external _platform_thread_set_state
00000001803fc670 (__TEXT,__text) external _platform_thread_suspend
00000001803fdd48 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001803fdde4 (__TEXT,__text) external _setcontext
00000001803f93bc (__TEXT,__text) external _setjmp
00000001803f93f0 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001803f93b0 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001803fb238 (__TEXT,__text) external _spin_lock
00000001803fd81c (__TEXT,__text) external _spin_lock_try
00000001803fb254 (__TEXT,__text) external _spin_unlock
00000001803fdb58 (__TEXT,__text) external _swapcontext
00000001803fd6a8 (__TEXT,__text) external _sys_cache_control
00000001803fd748 (__TEXT,__text) external _sys_dcache_flush
00000001803fd6f4 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _task_threads (from libsystem_kernel)
                 (undefined) external _thread_abort_safely (from libsystem_kernel)
                 (undefined) external _thread_get_state (from libsystem_kernel)
                 (undefined) external _thread_info (from libsystem_kernel)
                 (undefined) external _thread_resume (from libsystem_kernel)
                 (undefined) external _thread_set_state (from libsystem_kernel)
                 (undefined) external _thread_suspend (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001803fa2a0 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001803fd42c (__TEXT,__text) non-external _ydec
