00007ffd1affa048 (__TEXT,__text) non-external _Done_iODBC
00007ffd1b0041f3 (__TEXT,__text) external _SQLColAttributesW
00007ffd1b0039eb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd1afed849 (__TEXT,__text) external _SQLColumnPrivileges
00007ffd1afeda1a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd1afedbeb (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffd1afed569 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffd1afee09c (__TEXT,__text) external _SQLColumns
00007ffd1afee26d (__TEXT,__text) external _SQLColumnsA
00007ffd1afee43e (__TEXT,__text) external _SQLColumnsW
00007ffd1afeddbc (__TEXT,__text) non-external _SQLColumns_Internal
00007ffd1aff1f64 (__TEXT,__text) external _SQLConnect
00007ffd1aff287f (__TEXT,__text) external _SQLConnectA
00007ffd1aff2a03 (__TEXT,__text) external _SQLConnectW
00007ffd1aff20e8 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffd1b017c09 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffd1b009270 (__TEXT,__text) external _SQLCopyDesc
00007ffd1affeb19 (__TEXT,__text) external _SQLDataSources
00007ffd1affec41 (__TEXT,__text) external _SQLDataSourcesA
00007ffd1affed69 (__TEXT,__text) external _SQLDataSourcesW
00007ffd1affe6a0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffd44667240 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffd44667260 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffd44667268 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffd1b003445 (__TEXT,__text) external _SQLDescribeCol
00007ffd1b003627 (__TEXT,__text) external _SQLDescribeColA
00007ffd1b003809 (__TEXT,__text) external _SQLDescribeColW
00007ffd1b00318d (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffd1aff72a7 (__TEXT,__text) external _SQLDescribeParam
00007ffd1aff5556 (__TEXT,__text) external _SQLDisconnect
00007ffd1aff45d4 (__TEXT,__text) external _SQLDriverConnect
00007ffd1aff4767 (__TEXT,__text) external _SQLDriverConnectA
00007ffd1aff48fa (__TEXT,__text) external _SQLDriverConnectW
00007ffd1aff2b87 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffd1b017c2c (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffd1b017c4f (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffd1afff3f5 (__TEXT,__text) external _SQLDrivers
00007ffd1afff51d (__TEXT,__text) external _SQLDriversA
00007ffd1afff645 (__TEXT,__text) external _SQLDriversW
00007ffd1affefc0 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffd44667244 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffd44667270 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffd44667278 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffd1b00a02e (__TEXT,__text) external _SQLEndTran
00007ffd1affa9ea (__TEXT,__text) external _SQLError
00007ffd1affaacf (__TEXT,__text) external _SQLErrorA
00007ffd1affabb4 (__TEXT,__text) external _SQLErrorW
00007ffd1aff6781 (__TEXT,__text) external _SQLExecDirect
00007ffd1aff68bd (__TEXT,__text) external _SQLExecDirectA
00007ffd1aff69f9 (__TEXT,__text) external _SQLExecDirectW
00007ffd1aff6528 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffd1aff626f (__TEXT,__text) external _SQLExecute
00007ffd1aff79fb (__TEXT,__text) external _SQLExtendedFetch
00007ffd1aff7751 (__TEXT,__text) external _SQLFetch
00007ffd1b00a2fb (__TEXT,__text) external _SQLFetchScroll
00007ffd1aff7584 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffd1afee9d6 (__TEXT,__text) external _SQLForeignKeys
00007ffd1afeebdb (__TEXT,__text) external _SQLForeignKeysA
00007ffd1afeede0 (__TEXT,__text) external _SQLForeignKeysW
00007ffd1afee60f (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffd1aff86f5 (__TEXT,__text) external _SQLFreeConnect
00007ffd1aff8655 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffd1aff9fc8 (__TEXT,__text) external _SQLFreeEnv
00007ffd1aff9f57 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffd1b004835 (__TEXT,__text) external _SQLFreeHandle
00007ffd1affd5d6 (__TEXT,__text) external _SQLFreeStmt
00007ffd1affd396 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffd1b01478a (__TEXT,__text) non-external _SQLGetConfigMode
00007ffd1b0074da (__TEXT,__text) external _SQLGetConnectAttr
00007ffd1b0079eb (__TEXT,__text) external _SQLGetConnectAttrA
00007ffd1b007b33 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffd1b007622 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffd1aff95ef (__TEXT,__text) external _SQLGetConnectOption
00007ffd1aff9715 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffd1aff983b (__TEXT,__text) external _SQLGetConnectOptionW
00007ffd1b0028ad (__TEXT,__text) external _SQLGetCursorName
00007ffd1b002a05 (__TEXT,__text) external _SQLGetCursorNameA
00007ffd1b002b5d (__TEXT,__text) external _SQLGetCursorNameW
00007ffd1b00267d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffd1aff7b8d (__TEXT,__text) external _SQLGetData
00007ffd1b007ef5 (__TEXT,__text) external _SQLGetDescField
00007ffd1b008075 (__TEXT,__text) external _SQLGetDescFieldA
00007ffd1b0081f5 (__TEXT,__text) external _SQLGetDescFieldW
00007ffd1b007c7b (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffd1b008b18 (__TEXT,__text) external _SQLGetDescRec
00007ffd1b008cca (__TEXT,__text) external _SQLGetDescRecA
00007ffd1b008e7c (__TEXT,__text) external _SQLGetDescRecW
00007ffd1b008917 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffd1affc8cc (__TEXT,__text) external _SQLGetDiagField
00007ffd1affc9b4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffd1affca9c (__TEXT,__text) external _SQLGetDiagFieldW
00007ffd1affb745 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffd1affb478 (__TEXT,__text) external _SQLGetDiagRec
00007ffd1affb567 (__TEXT,__text) external _SQLGetDiagRecA
00007ffd1affb656 (__TEXT,__text) external _SQLGetDiagRecW
00007ffd1affac99 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffd1b004f37 (__TEXT,__text) external _SQLGetEnvAttr
00007ffd1b0003c7 (__TEXT,__text) external _SQLGetFunctions
00007ffd1affffc2 (__TEXT,__text) external _SQLGetInfo
00007ffd1b000119 (__TEXT,__text) external _SQLGetInfoA
00007ffd1b000270 (__TEXT,__text) external _SQLGetInfoW
00007ffd1afff89c (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffd1b017603 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffd1b01763c (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffd1b017021 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffd1b017273 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffd1b0058f0 (__TEXT,__text) external _SQLGetStmtAttr
00007ffd1b005a51 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffd1b005bb2 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffd1b0050f1 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffd1affde0c (__TEXT,__text) external _SQLGetStmtOption
00007ffd1affdf49 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffd1affdbfc (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffd1afeb8c8 (__TEXT,__text) external _SQLGetTypeInfo
00007ffd1afeb9f2 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffd1afebb1c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffd1afeb730 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffd1aff7f4c (__TEXT,__text) external _SQLMoreResults
00007ffd1aff5981 (__TEXT,__text) external _SQLNativeSql
00007ffd1aff5afd (__TEXT,__text) external _SQLNativeSqlA
00007ffd1aff5c79 (__TEXT,__text) external _SQLNativeSqlW
00007ffd1aff56bd (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffd1aff7099 (__TEXT,__text) external _SQLNumParams
00007ffd1b002fa9 (__TEXT,__text) external _SQLNumResultCols
00007ffd1aff6ddf (__TEXT,__text) external _SQLParamData
00007ffd1b001a63 (__TEXT,__text) external _SQLParamOptions
00007ffd1b000c9b (__TEXT,__text) external _SQLPrepare
00007ffd1b000dd7 (__TEXT,__text) external _SQLPrepareA
00007ffd1b000f13 (__TEXT,__text) external _SQLPrepareW
00007ffd1b000a84 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffd1afef267 (__TEXT,__text) external _SQLPrimaryKeys
00007ffd1afef41d (__TEXT,__text) external _SQLPrimaryKeysA
00007ffd1afef5d3 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffd1afeefe5 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffd1afefa69 (__TEXT,__text) external _SQLProcedureColumns
00007ffd1afefc3a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffd1afefe0b (__TEXT,__text) external _SQLProcedureColumnsW
00007ffd1afef789 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffd1aff025e (__TEXT,__text) external _SQLProcedures
00007ffd1aff0414 (__TEXT,__text) external _SQLProceduresA
00007ffd1aff05ca (__TEXT,__text) external _SQLProceduresW
00007ffd1afeffdc (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffd1aff6b35 (__TEXT,__text) external _SQLPutData
00007ffd1b013ee9 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffd1b014058 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffd1b002cb5 (__TEXT,__text) external _SQLRowCount
00007ffd1b017675 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffd1b006efc (__TEXT,__text) external _SQLSetConnectAttr
00007ffd1b00725a (__TEXT,__text) external _SQLSetConnectAttrA
00007ffd1b00739a (__TEXT,__text) external _SQLSetConnectAttrW
00007ffd1b00703c (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffd1aff8e55 (__TEXT,__text) external _SQLSetConnectOption
00007ffd1aff8f7b (__TEXT,__text) external _SQLSetConnectOptionA
00007ffd1aff90a1 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffd1b00120c (__TEXT,__text) external _SQLSetCursorName
00007ffd1b00134e (__TEXT,__text) external _SQLSetCursorNameA
00007ffd1b001490 (__TEXT,__text) external _SQLSetCursorNameW
00007ffd1b00104f (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffd1b00850c (__TEXT,__text) external _SQLSetDescField
00007ffd1b008665 (__TEXT,__text) external _SQLSetDescFieldA
00007ffd1b0087be (__TEXT,__text) external _SQLSetDescFieldW
00007ffd1b008375 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffd1b00902e (__TEXT,__text) external _SQLSetDescRec
00007ffd1b004d47 (__TEXT,__text) external _SQLSetEnvAttr
00007ffd1b004e64 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffd1b017bb5 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffd1b017bc6 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffd1b002270 (__TEXT,__text) external _SQLSetParam
00007ffd1aff833f (__TEXT,__text) external _SQLSetPos
00007ffd1b001d77 (__TEXT,__text) external _SQLSetScrollOptions
00007ffd1b006ae8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffd1b006c44 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffd1b006da0 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffd1b005d13 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffd1affd70e (__TEXT,__text) external _SQLSetStmtOption
00007ffd1affdac0 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffd1affd84a (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffd1afebf0c (__TEXT,__text) external _SQLSpecialColumns
00007ffd1afec0f0 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffd1afec2d4 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffd1afebc46 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffd1afec770 (__TEXT,__text) external _SQLStatistics
00007ffd1afec952 (__TEXT,__text) external _SQLStatisticsA
00007ffd1afecb34 (__TEXT,__text) external _SQLStatisticsW
00007ffd1afec4b8 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffd1aff0a02 (__TEXT,__text) external _SQLTablePrivileges
00007ffd1aff0bb8 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffd1aff0d6e (__TEXT,__text) external _SQLTablePrivilegesW
00007ffd1aff0780 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffd1afecff6 (__TEXT,__text) external _SQLTables
00007ffd1afed1c7 (__TEXT,__text) external _SQLTablesA
00007ffd1afed398 (__TEXT,__text) external _SQLTablesW
00007ffd1afecd16 (__TEXT,__text) non-external _SQLTables_Internal
00007ffd1aff9c64 (__TEXT,__text) external _SQLTransact
00007ffd1aff9961 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffd1b014875 (__TEXT,__text) non-external _SQLValidDSN
00007ffd1b0148d4 (__TEXT,__text) non-external _SQLValidDSNW
00007ffd1b013c80 (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffd1b013d2b (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffd1b0177d6 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffd1b0179f7 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffd1affeac7 (__TEXT,__text) non-external _SectSorter
00007ffd1b0147d7 (__TEXT,__text) non-external _ValidDSN
00007ffd1b014829 (__TEXT,__text) non-external _ValidDSNW
00007ffd1b0176cc (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffd1b004c0c (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd1aff6060 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd1aff6080 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffd1b01595d (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffd1b016db6 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffd446672b0 (__DATA,__common) non-external __iodbc_env_counter
00007ffd1b014258 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffd1affe4ad (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffd1affe585 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffd1aff786e (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffd1affd343 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffd1aff91c7 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffd1b002e80 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffd1affd5a0 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffd1aff87d4 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffd1aff1185 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffd1aff81dc (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffd1affe53a (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffd1affe281 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffd446672b8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffd1affe651 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffd1afeb82d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffd1afeb880 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffd1b016049 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffd1b01533c (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffd1b015ae2 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffd1b015792 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffd1b015286 (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffd1b0008aa (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffd1b0162f5 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffd1b015a29 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffd1b000927 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffd1b0007a0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffd1b01536d (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffd1b015a03 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffd1aff42e5 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffd1b016327 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffd1b01585c (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffd1b000973 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffd1b015beb (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffd1b0144a4 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffd1aff407d (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffd1affe30e (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffd1affe3e2 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffd1aff41a7 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffd1aff61b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffd1aff61fd (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffd1aff6106 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffd1aff60fc (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffd1aff6234 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffd1aff1434 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffd1aff1c08 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffd1affd25a (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffd1aff8de8 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffd1aff0f82 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffd1affa050 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffd1aff5f7f (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffd1b01454a (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffd1aff60aa (__TEXT,__text) non-external __iodbcdm_getproc
00007ffd44667258 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffd1b016505 (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffd1b016445 (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffd1b003131 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffd1b0030d5 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffd1aff5df5 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffd1aff0f30 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffd1b017be6 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffd1aff3e20 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffd1aff44d5 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffd1aff105c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffd1aff4433 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffd1affa073 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffd1b0144ee (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffd1aff6207 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffd1affa0e0 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffd1b01470c (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffd1b0146bc (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffd1aff9a40 (__TEXT,__text) non-external __iodbcdm_transact
00007ffd42587fb0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffd42588c50 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffd42588d00 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffd42588070 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffd42588110 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffd425887b0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffd425887f0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffd425884c0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffd42588840 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffd42588860 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffd42588880 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffd42588570 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffd425888b0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffd425888d0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffd42587f80 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffd42587f90 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffd42588490 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffd42588900 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffd42588950 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffd42588970 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffd42588980 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffd425889d0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffd425889f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffd42588a70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffd42588a80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffd42588ab0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffd42588ad0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffd42588b50 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffd42588b90 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffd42588ba0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffd42588bb0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffd42588bc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffd42588be0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffd42588c00 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffd42588c20 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffd42588c30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffd42588b70 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffd425880c0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffd42588600 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffd425885b0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffd425885e0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffd42588d90 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffd42588db0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffd42588e70 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffd42588620 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffd425884b0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffd42588640 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffd42588140 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffd42588210 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffd42588e90 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffd42588230 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffd42588240 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffd42588660 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
