000000018c331990 (__TEXT,__const) non-external _SHA256_K
000000018c333bc8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018c3229e8 (__TEXT,__text) non-external _index_cat_helper
000000018c325578 (__TEXT,__text) non-external _index_decode
000000018c325860 (__TEXT,__text) non-external _index_decoder_end
000000018c325330 (__TEXT,__text) non-external _index_decoder_init
000000018c3258a4 (__TEXT,__text) non-external _index_decoder_memconfig
000000018c321894 (__TEXT,__text) non-external _index_encode
000000018c322174 (__TEXT,__text) non-external _index_encoder_end
000000018c32173c (__TEXT,__text) non-external _index_file_size
000000018c3221f8 (__TEXT,__text) non-external _index_stream_end
000000018c31bcbc (__TEXT,__text) non-external _index_tree_append
000000018c322178 (__TEXT,__text) non-external _index_tree_node_end
000000018c31cd14 (__TEXT,__text) non-external _is_options_valid
000000018c321cb4 (__TEXT,__text) non-external _iter_set_info
000000018c32132c (__TEXT,__text) non-external _length
000000018c31cd6c (__TEXT,__text) non-external _length_encoder_reset
000000018c31ce30 (__TEXT,__text) non-external _length_update_prices
000000018c328330 (__TEXT,__text) non-external _lz_decode
000000018c3284ec (__TEXT,__text) non-external _lz_decoder_end
000000018c31df80 (__TEXT,__text) non-external _lz_encode
000000018c3220b0 (__TEXT,__text) non-external _lz_encoder_end
000000018c31cfec (__TEXT,__text) non-external _lz_encoder_prepare
000000018c32771c (__TEXT,__text) non-external _lz_encoder_update
000000018c32c23c (__TEXT,__text) non-external _lzma2_decode
000000018c32c540 (__TEXT,__text) non-external _lzma2_decoder_end
000000018c32c0b4 (__TEXT,__text) non-external _lzma2_decoder_init
000000018c31e184 (__TEXT,__text) non-external _lzma2_encode
000000018c322130 (__TEXT,__text) non-external _lzma2_encoder_end
000000018c31c8c8 (__TEXT,__text) non-external _lzma2_encoder_init
000000018c32c004 (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018c32d828 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018c32d800 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018c31bb7c (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018c324310 (__TEXT,__text) external _lzma_alone_decoder
000000018c323edc (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018c322e50 (__TEXT,__text) external _lzma_alone_encoder
000000018c324380 (__TEXT,__text) external _lzma_auto_decoder
000000018c3231a4 (__TEXT,__text) external _lzma_block_buffer_bound
000000018c324714 (__TEXT,__text) external _lzma_block_buffer_decode
000000018c3231f0 (__TEXT,__text) external _lzma_block_buffer_encode
000000018c322448 (__TEXT,__text) external _lzma_block_compressed_size
000000018c324c28 (__TEXT,__text) external _lzma_block_decoder
000000018c324858 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018c323670 (__TEXT,__text) external _lzma_block_encoder
000000018c31c24c (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018c324c94 (__TEXT,__text) external _lzma_block_header_decode
000000018c31d928 (__TEXT,__text) external _lzma_block_header_encode
000000018c31c058 (__TEXT,__text) external _lzma_block_header_size
000000018c3224bc (__TEXT,__text) external _lzma_block_total_size
000000018c31da8c (__TEXT,__text) external _lzma_block_unpadded_size
000000018c31d8b4 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018c3269e0 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018c31c3c0 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018c31c3a0 (__TEXT,__text) external _lzma_check_is_supported
000000018c32d950 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018c32152c (__TEXT,__text) external _lzma_check_size
000000018c32d960 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018c31eb18 (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018c31d404 (__TEXT,__text) external _lzma_code
000000018c31bde0 (__TEXT,__text) external _lzma_crc32
000000018c32d970 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018c326a14 (__TEXT,__text) external _lzma_crc64
000000018c32f970 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018c328c14 (__TEXT,__text) non-external _lzma_decode
000000018c333ae8 (__TEXT,__const) non-external _lzma_decode.next_state
000000018c32bd90 (__TEXT,__text) non-external _lzma_decoder_init
000000018c32bb18 (__TEXT,__text) non-external _lzma_decoder_reset
000000018c32bd74 (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018c32c584 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018c32c6bc (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018c32c88c (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018c32c6e8 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018c32c93c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018c32c844 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018c3236dc (__TEXT,__text) external _lzma_easy_buffer_encode
000000018c324ec4 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018c31b670 (__TEXT,__text) external _lzma_easy_encoder
000000018c32378c (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018c31b6dc (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018c3287d4 (__TEXT,__text) non-external _lzma_encode
000000018c3286c8 (__TEXT,__text) non-external _lzma_encoder_init
000000018c321f88 (__TEXT,__text) external _lzma_end
000000018c331ae8 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018c3250a4 (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018c3238fc (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018c3251fc (__TEXT,__text) external _lzma_filter_flags_decode
000000018c31db1c (__TEXT,__text) external _lzma_filter_flags_encode
000000018c31c14c (__TEXT,__text) external _lzma_filter_flags_size
000000018c31d288 (__TEXT,__text) external _lzma_filters_copy
000000018c323930 (__TEXT,__text) external _lzma_filters_update
000000018c32d926 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018c31d264 (__TEXT,__text) non-external (was a private external) _lzma_free
000000018c32230c (__TEXT,__text) external _lzma_get_check
000000018c32d920 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018c32154c (__TEXT,__text) external _lzma_index_append
000000018c321ad0 (__TEXT,__text) external _lzma_index_block_count
000000018c32544c (__TEXT,__text) external _lzma_index_buffer_decode
000000018c323b48 (__TEXT,__text) external _lzma_index_buffer_encode
000000018c3227e8 (__TEXT,__text) external _lzma_index_cat
000000018c3226ec (__TEXT,__text) external _lzma_index_checks
000000018c3252bc (__TEXT,__text) external _lzma_index_decoder
000000018c322a68 (__TEXT,__text) external _lzma_index_dup
000000018c323adc (__TEXT,__text) external _lzma_index_encoder
000000018c3217a0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018c31bba4 (__TEXT,__text) external _lzma_index_end
000000018c3226b4 (__TEXT,__text) external _lzma_index_file_size
000000018c3259c4 (__TEXT,__text) external _lzma_index_hash_append
000000018c325b18 (__TEXT,__text) external _lzma_index_hash_decode
000000018c325988 (__TEXT,__text) external _lzma_index_hash_end
000000018c325918 (__TEXT,__text) external _lzma_index_hash_init
000000018c32598c (__TEXT,__text) external _lzma_index_hash_size
000000018c31bc08 (__TEXT,__text) external _lzma_index_init
000000018c321878 (__TEXT,__text) external _lzma_index_iter_init
000000018c322cc0 (__TEXT,__text) external _lzma_index_iter_locate
000000018c321ad8 (__TEXT,__text) external _lzma_index_iter_next
000000018c322ca8 (__TEXT,__text) external _lzma_index_iter_rewind
000000018c322594 (__TEXT,__text) external _lzma_index_memusage
000000018c322600 (__TEXT,__text) external _lzma_index_memused
000000018c321e6c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018c32257c (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018c321ea8 (__TEXT,__text) external _lzma_index_size
000000018c322660 (__TEXT,__text) external _lzma_index_stream_count
000000018c322718 (__TEXT,__text) external _lzma_index_stream_flags
000000018c322778 (__TEXT,__text) external _lzma_index_stream_padding
000000018c322670 (__TEXT,__text) external _lzma_index_stream_size
000000018c322668 (__TEXT,__text) external _lzma_index_total_size
000000018c3226e4 (__TEXT,__text) external _lzma_index_uncompressed_size
000000018c328198 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018c328560 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018c32856c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
000000018c31c6f4 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018c3276b8 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018c32c0a0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018c32c18c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018c31c6e0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018c32bfc4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018c32c1a8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018c31dce0 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018c328b7c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018c32bd7c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018c32be98 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018c32be74 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018c31e4d8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018c31c9e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018c3286b4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018c3286dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018c31cb20 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018c32be10 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018c3214dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018c3287f0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018c31f020 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018c31b724 (__TEXT,__text) external _lzma_lzma_preset
000000018c32bef0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018c328768 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018c322384 (__TEXT,__text) external _lzma_memlimit_get
000000018c3223e0 (__TEXT,__text) external _lzma_memlimit_set
000000018c322328 (__TEXT,__text) external _lzma_memusage
000000018c327db8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018c327e7c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018c327f24 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018c3280b8 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018c320c90 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018c31ebac (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018c320bb8 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018c3277c0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018c327a00 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018c327ac0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018c327cd8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018c327794 (__TEXT,__text) external _lzma_mf_is_supported
000000018c3287c4 (__TEXT,__text) external _lzma_mode_is_supported
000000018c31bb00 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018c31c654 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018c3222a0 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018c322578 (__TEXT,__text) external _lzma_physmem
000000018c3251bc (__TEXT,__text) external _lzma_properties_decode
000000018c31dca0 (__TEXT,__text) external _lzma_properties_encode
000000018c31c1c0 (__TEXT,__text) external _lzma_properties_size
000000018c324f1c (__TEXT,__text) external _lzma_raw_buffer_decode
000000018c3237e4 (__TEXT,__text) external _lzma_raw_buffer_encode
000000018c31c404 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018c3224e4 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018c325124 (__TEXT,__text) external _lzma_raw_decoder
000000018c32510c (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018c3251a4 (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018c323a3c (__TEXT,__text) external _lzma_raw_encoder
000000018c31c3ec (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018c323a24 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018c333b20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018c3275d8 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
000000018c326b00 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
000000018c331970 (__TEXT,__const) non-external _lzma_sha256_init.s
000000018c326b18 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
000000018c32d498 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018c32d474 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018c32d570 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018c32d54c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018c32c99c (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018c32d27c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018c32d258 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018c32d180 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018c32d15c (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018c32cec8 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018c32ceb0 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018c32ce88 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018c32d674 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018c32d650 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018c32cfb0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018c32cf4c (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018c323c58 (__TEXT,__text) external _lzma_stream_buffer_bound
000000018c325e78 (__TEXT,__text) external _lzma_stream_buffer_decode
000000018c323c88 (__TEXT,__text) external _lzma_stream_buffer_encode
000000018c3266bc (__TEXT,__text) external _lzma_stream_decoder
000000018c326004 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018c31b874 (__TEXT,__text) external _lzma_stream_encoder
000000018c31b984 (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
000000018c322da8 (__TEXT,__text) external _lzma_stream_flags_compare
000000018c3267ec (__TEXT,__text) external _lzma_stream_footer_decode
000000018c321ee0 (__TEXT,__text) external _lzma_stream_footer_encode
000000018c326730 (__TEXT,__text) external _lzma_stream_header_decode
000000018c31bd58 (__TEXT,__text) external _lzma_stream_header_encode
000000018c31b8e4 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018c322288 (__TEXT,__text) external _lzma_version_number
000000018c322294 (__TEXT,__text) external _lzma_version_string
000000018c326894 (__TEXT,__text) external _lzma_vli_decode
000000018c31dbec (__TEXT,__text) external _lzma_vli_encode
000000018c31c228 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
000000018c3210b4 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018c31ed78 (__TEXT,__text) non-external _move_pos
000000018c32d1a4 (__TEXT,__text) non-external _powerpc_code
000000018c326ba4 (__TEXT,__text) non-external _process
000000018c31ede4 (__TEXT,__text) non-external _rc_encode
000000018c32caf0 (__TEXT,__text) non-external _simple_code
000000018c32cd78 (__TEXT,__text) non-external _simple_coder_end
000000018c32cdc4 (__TEXT,__text) non-external _simple_coder_update
000000018c32d698 (__TEXT,__text) non-external _sparc_code
000000018c326170 (__TEXT,__text) non-external _stream_decode
000000018c326624 (__TEXT,__text) non-external _stream_decoder_end
000000018c326674 (__TEXT,__text) non-external _stream_decoder_get_check
000000018c32667c (__TEXT,__text) non-external _stream_decoder_memconfig
000000018c31d63c (__TEXT,__text) non-external _stream_encode
000000018c32d940 (__TEXT,__const) non-external _stream_encode.convert
000000018c321fe4 (__TEXT,__text) non-external _stream_encoder_end
000000018c31bf08 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
000000018c32220c (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018c31c564 (__TEXT,__text) non-external _validate_chain
000000018c32cfb8 (__TEXT,__text) non-external _x86_code
000000018c333ba8 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018c32cf54 (__TEXT,__text) non-external _x86_coder_init
