00007ffb1c1b1626 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1c1ae384 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1c1aebe0 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00007ffb1c1aef70 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb1c1ab09e (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb1c1ab0b2 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb1c1b4831 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb1c1b67d1 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb1c1b185c (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb1c1afe5d (__TEXT,__text) non-external -[CBOR array]
00007ffb1c1afc68 (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb1c1b1816 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb1c1af514 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb1c1afdc1 (__TEXT,__text) non-external -[CBOR data]
00007ffb1c1afef7 (__TEXT,__text) non-external -[CBOR date]
00007ffb1c1b0568 (__TEXT,__text) non-external -[CBOR description]
00007ffb1c1afeaa (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb1c1afbad (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb1c1b1733 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb1c1afa3a (__TEXT,__text) non-external -[CBOR hash]
00007ffb1c1af97d (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb1c1af54f (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb1c1b0452 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb1c1b0467 (__TEXT,__text) non-external -[CBOR isDate]
00007ffb1c1b0510 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb1c1afa4c (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb1c1b043d (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb1c1b0423 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb1c1afafe (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb1c1afc01 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb1c1b182a (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb1c1b1820 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb1c1b1834 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb1c1b17a8 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb1c1b17da (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb1c1b180c (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb1c1afcc6 (__TEXT,__text) non-external -[CBOR string]
00007ffb1c1b179e (__TEXT,__text) non-external -[CBOR tag]
00007ffb1c1b1794 (__TEXT,__text) non-external -[CBOR type]
00007ffb1c1afb53 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb1c1b1802 (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb1c1b17d0 (__TEXT,__text) non-external -[CBOR value]
00007ffb1c1ac918 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb1c1b3300 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb1c1b22ff (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb1c1b2d1c (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb1c1b32c4 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb1c1b32d8 (__TEXT,__text) non-external -[COSE contentType]
00007ffb1c1b222f (__TEXT,__text) non-external -[COSE content]
00007ffb1c1b32ce (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb1c1b1a50 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb1c1b1890 (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb1c1b18ea (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb1c1b1e5d (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb1c1b32ec (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb1c1b32e2 (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb1c1b32f6 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb1c1b212c (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb1c1b32ba (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb1c1b335f (__TEXT,__text) non-external -[COSE setType:]
00007ffb1c1b3400 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb1c1b22cd (__TEXT,__text) non-external -[COSE tag]
00007ffb1c1b32b0 (__TEXT,__text) non-external -[COSE type]
00007ffb1c1b21ac (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb1c1b674f (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb1c1b5844 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb1c1b671d (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb1c1b673b (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb1c1b6663 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb1c1b65df (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb1c1b660b (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb1c1b6637 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb1c1b3400 (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb1c1b6727 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb1c1b6110 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb1c1b62d4 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb1c1b6471 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb1c1b48e2 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb1c1b4888 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb1c1b66e7 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb1c1b668f (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb1c1b66bb (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb1c1b6731 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb1c1b6745 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb1c1b6713 (__TEXT,__text) non-external -[COSEKey type]
00007ffb1c1b4821 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb1c1b4781 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb1c1b4576 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb1c1b41e6 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb1c1b446d (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb1c1b4817 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb1c1b40fe (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb1c1b3551 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb1c1b3437 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb1c1b4042 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb1c1b37ad (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb1c1b3a37 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb1c1b3d6a (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb1c1b3efe (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb1c1b3cdb (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb1c1bae7c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb1c1b8e10 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb1c1b8de0 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb1c1b8e48 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb1c1b8e49 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb44d140d0 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb44d140d8 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb44d140e8 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb44d140f0 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb44d140f8 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb44d14100 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb44d140e0 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb43406c88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb43406cd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb43406dc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb43406d78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb43406d28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb44d13d00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb44d13d08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb44d13ce8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb44d13ce0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb44d13cf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb44d13cf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb44d13d28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb44d13d10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb44d13d38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb44d13d30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb44d13d48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb44d13d40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb44d13d50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb44d13d20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb44d13d18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb44d13d90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb44d13da8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb44d13d60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb44d13d68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb44d13d98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb44d13da0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb44d13d80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb44d13d70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb44d13d78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb44d13db0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb44d13d88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb44d13d58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb43406cb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb43406d00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb43406df0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb43406da0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb43406d50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb43407140 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb42b584b8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb42b58758 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb42b58850 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb43406b60 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b58928 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42b585b0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb1c1b6e80 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b58490 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb42b586f0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb42b587e8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42b58640 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b588e0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42b58548 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb42b58448 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb42b586a8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb42b587a0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42b585f8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb42b58898 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb42b58500 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb42b58970 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb1c1b6ea0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1c1b7008 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb1c1b7040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1c1b71f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb1c1b72b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb1c1b73a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb1c1b73f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb42b58b00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb42b58db0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb42b591f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb42b59128 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb42b58bc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb42b58ed8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb42b59360 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb42b59150 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb42b59030 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb42b589b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb1c1b7470 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb1c1b7488 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb1c1b7578 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb42b58a98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb42b589f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb42b58aa0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb42b58d20 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb42b58fa0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb42b59438 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb42b59168 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb42b59098 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb42b58438 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb42b58430 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb42b58ab8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb42b58d68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb42b591b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb42b590e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb42b58fe8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb44d14070 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb44d14010 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb42b59a90 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb1c1b2fd1 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb1c1b317c (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb1c1aad31 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb1c1b2fac (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb1c1b2fc2 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb42b57b40 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb42b57b60 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb1c1993c0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1c1993e0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1c1b3105 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb1c1b3147 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb1c198050 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb1c198420 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb1c197fe0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb1c1981c0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb1c1981c0 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb1c1980e0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
00007ffb1c196c10 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
00007ffb1c199350 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb1c1aa890 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb1c1a8a80 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
