                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
0000000191873710 (__TEXT,__text) non-external _alone_decode
000000019186c76c (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
0000000191876534 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000019186b1c0 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000019186b1a0 (__TEXT,__text) external _lzma_check_is_supported
0000000191881a90 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
0000000191870318 (__TEXT,__text) external _lzma_check_size
0000000191881aa0 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000019186dc38 (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000019186c230 (__TEXT,__text) external _lzma_code
00000001918730c8 (__TEXT,__text) external _lzma_cputhreads
000000019186ab7c (__TEXT,__text) external _lzma_crc32
0000000191881ab0 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000019187656c (__TEXT,__text) external _lzma_crc64
0000000191883ab0 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000019187a3cc (__TEXT,__text) non-external _lzma_decode
0000000191887c20 (__TEXT,__const) non-external _lzma_decode.next_state
000000019187d150 (__TEXT,__text) non-external _lzma_decoder_init
000000019187cea8 (__TEXT,__text) non-external _lzma_decoder_reset
000000019187d12c (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000019187f20c (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000019187f358 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000019187f528 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000019187f384 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000019187f5d8 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000019187f4e0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000019187297c (__TEXT,__text) external _lzma_easy_buffer_encode
000000019187465c (__TEXT,__text) external _lzma_easy_decoder_memusage
000000019186a5f0 (__TEXT,__text) external _lzma_easy_encoder
0000000191872a2c (__TEXT,__text) external _lzma_easy_encoder_memusage
000000019186a65c (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00000001918816f8 (__TEXT,__text) non-external _lzma_encode
0000000191878fac (__TEXT,__text) non-external _lzma_encoder_init
0000000191870d30 (__TEXT,__text) external _lzma_end
0000000191885c1e (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000019187997c (__TEXT,__text) external _lzma_file_info_decoder
0000000191879a04 (__TEXT,__text) non-external _lzma_file_info_decoder_init
0000000191874838 (__TEXT,__text) external _lzma_filter_decoder_is_supported
0000000191872e58 (__TEXT,__text) external _lzma_filter_encoder_is_supported
0000000191874998 (__TEXT,__text) external _lzma_filter_flags_decode
000000019186c9e0 (__TEXT,__text) external _lzma_filter_flags_encode
000000019186af44 (__TEXT,__text) external _lzma_filter_flags_size
000000019186c084 (__TEXT,__text) external _lzma_filters_copy
00000001918714c0 (__TEXT,__text) external _lzma_filters_free
0000000191872e88 (__TEXT,__text) external _lzma_filters_update
0000000191881a56 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000019186c060 (__TEXT,__text) non-external (was a private external) _lzma_free
00000001918712f4 (__TEXT,__text) external _lzma_get_check
00000001918712cc (__TEXT,__text) external _lzma_get_progress
0000000191881a50 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
0000000191870338 (__TEXT,__text) external _lzma_index_append
0000000191870878 (__TEXT,__text) external _lzma_index_block_count
0000000191874f7c (__TEXT,__text) external _lzma_index_buffer_decode
0000000191873138 (__TEXT,__text) external _lzma_index_buffer_encode
0000000191871918 (__TEXT,__text) external _lzma_index_cat
000000019187181c (__TEXT,__text) external _lzma_index_checks
0000000191874f08 (__TEXT,__text) external _lzma_index_decoder
0000000191874a58 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
0000000191871b8c (__TEXT,__text) external _lzma_index_dup
00000001918730cc (__TEXT,__text) external _lzma_index_encoder
0000000191870554 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000019186a940 (__TEXT,__text) external _lzma_index_end
0000000191871794 (__TEXT,__text) external _lzma_index_file_size
000000019187515c (__TEXT,__text) external _lzma_index_hash_append
00000001918752d0 (__TEXT,__text) external _lzma_index_hash_decode
0000000191875120 (__TEXT,__text) external _lzma_index_hash_end
00000001918750b0 (__TEXT,__text) external _lzma_index_hash_init
0000000191875124 (__TEXT,__text) external _lzma_index_hash_size
000000019186a9a4 (__TEXT,__text) external _lzma_index_init
000000019187062c (__TEXT,__text) external _lzma_index_iter_init
0000000191871dc8 (__TEXT,__text) external _lzma_index_iter_locate
0000000191870880 (__TEXT,__text) external _lzma_index_iter_next
0000000191871db8 (__TEXT,__text) external _lzma_index_iter_rewind
0000000191871698 (__TEXT,__text) external _lzma_index_memusage
00000001918716f0 (__TEXT,__text) external _lzma_index_memused
0000000191870c0c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
0000000191871680 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
0000000191870c44 (__TEXT,__text) external _lzma_index_size
0000000191871740 (__TEXT,__text) external _lzma_index_stream_count
0000000191871848 (__TEXT,__text) external _lzma_index_stream_flags
00000001918718a8 (__TEXT,__text) external _lzma_index_stream_padding
0000000191871750 (__TEXT,__text) external _lzma_index_stream_size
0000000191871748 (__TEXT,__text) external _lzma_index_total_size
0000000191871814 (__TEXT,__text) external _lzma_index_uncompressed_size
0000000191878aac (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
0000000191878e60 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000019186b434 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
0000000191876cd0 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
0000000191876c5c (__TEXT,__text) external _lzma_lzip_decoder
0000000191876650 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
000000019187d41c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
000000019187d5f4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000019187d6dc (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000019186b420 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000019187d3f4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000019187d6f8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000019186cbac (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000019187a334 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000019187d13c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000019187d2b8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000019187d294 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000019186d3ac (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000019186b770 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
0000000191878f98 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
0000000191878fd0 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000019186b90c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000019187d230 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00000001918702c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00000001918795e8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000019186e19c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000019186a6a4 (__TEXT,__text) external _lzma_lzma_preset
0000000191885c1a (__TEXT,__const) non-external _lzma_lzma_preset.depths
0000000191885c10 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
000000019187d314 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
0000000191879064 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00000001918790d4 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
0000000191871370 (__TEXT,__text) external _lzma_memlimit_get
00000001918713d0 (__TEXT,__text) external _lzma_memlimit_set
0000000191871310 (__TEXT,__text) external _lzma_memusage
0000000191877464 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
0000000191877528 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00000001918775d0 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
0000000191877784 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000019186fab0 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000019186dd14 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000019186f9b8 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
0000000191876dfc (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
0000000191877088 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
0000000191877148 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
0000000191877384 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
0000000191876dcc (__TEXT,__text) external _lzma_mf_is_supported
0000000191875780 (__TEXT,__text) external _lzma_microlzma_decoder
0000000191872a84 (__TEXT,__text) external _lzma_microlzma_encoder
00000001918790c4 (__TEXT,__text) external _lzma_mode_is_supported
0000000191873018 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
000000019186a898 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000019186b394 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
0000000191871290 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000019187911c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
000000019187917c (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00000001918795a0 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
0000000191879354 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
0000000191879454 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
0000000191879238 (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00000001918794b8 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00000001918790fc (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00000001918793ac (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00000001918794e4 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
000000019187167c (__TEXT,__text) external _lzma_physmem
0000000191874948 (__TEXT,__text) external _lzma_properties_decode
000000019186cb64 (__TEXT,__text) external _lzma_properties_encode
000000019186afbc (__TEXT,__text) external _lzma_properties_size
00000001918746b4 (__TEXT,__text) external _lzma_raw_buffer_decode
0000000191872d4c (__TEXT,__text) external _lzma_raw_buffer_encode
000000019186b208 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00000001918715e8 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00000001918748b0 (__TEXT,__text) external _lzma_raw_decoder
0000000191874898 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
0000000191874930 (__TEXT,__text) external _lzma_raw_decoder_memusage
0000000191872f94 (__TEXT,__text) external _lzma_raw_encoder
000000019186b1f0 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
0000000191872f7c (__TEXT,__text) external _lzma_raw_encoder_memusage
0000000191887c58 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000019187d4fc (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
000000019187d4d8 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00000001918800b0 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000019188008c (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000019188019c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
0000000191880178 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000019187f63c (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000019187ff2c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000019187ff08 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000019187fe38 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000019187fe14 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000019187fb98 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000019187fb80 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000019187fb58 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
0000000191881608 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00000001918815e4 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000019187fc8c (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000019187fc28 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
0000000191877d58 (__TEXT,__text) external _lzma_str_from_filters
0000000191878180 (__TEXT,__text) external _lzma_str_list_filters
00000001918778dc (__TEXT,__text) external _lzma_str_to_filters
0000000191873230 (__TEXT,__text) external _lzma_stream_buffer_bound
00000001918755f8 (__TEXT,__text) external _lzma_stream_buffer_decode
0000000191873260 (__TEXT,__text) external _lzma_stream_buffer_encode
0000000191876218 (__TEXT,__text) external _lzma_stream_decoder
0000000191875b88 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000019187daf0 (__TEXT,__text) external _lzma_stream_decoder_mt
000000019186a798 (__TEXT,__text) external _lzma_stream_encoder
000000019188027c (__TEXT,__text) external _lzma_stream_encoder_mt
00000001918805d0 (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
0000000191871eb4 (__TEXT,__text) external _lzma_stream_flags_compare
000000019187633c (__TEXT,__text) external _lzma_stream_footer_decode
0000000191870c7c (__TEXT,__text) external _lzma_stream_footer_encode
000000019187628c (__TEXT,__text) external _lzma_stream_header_decode
000000019186aaf4 (__TEXT,__text) external _lzma_stream_header_encode
000000019186a80c (__TEXT,__text) non-external (was a private external) _lzma_strm_init
0000000191871530 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00000001918711f8 (__TEXT,__text) external _lzma_version_number
0000000191871204 (__TEXT,__text) external _lzma_version_string
00000001918763e8 (__TEXT,__text) external _lzma_vli_decode
000000019186cab0 (__TEXT,__text) external _lzma_vli_encode
000000019186b01c (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
000000019186ff10 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
0000000191875908 (__TEXT,__text) non-external _microlzma_decode
0000000191875b48 (__TEXT,__text) non-external _microlzma_decoder_end
0000000191875810 (__TEXT,__text) non-external _microlzma_decoder_init
0000000191872c28 (__TEXT,__text) non-external _microlzma_encode
0000000191872d0c (__TEXT,__text) non-external _microlzma_encoder_end
0000000191872aec (__TEXT,__text) non-external _microlzma_encoder_init
00000001918792d4 (__TEXT,__text) non-external _move_head_to_cache
000000019186df18 (__TEXT,__text) non-external _move_pos
0000000191877864 (__TEXT,__text) non-external _normalize
00000001918786fc (__TEXT,__text) non-external _parse_bcj
000000019187870c (__TEXT,__text) non-external _parse_delta
0000000191878688 (__TEXT,__text) non-external _parse_lzma12
0000000191878728 (__TEXT,__text) non-external _parse_options
000000019187fe5c (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
000000019186df4c (__TEXT,__text) non-external _rc_encode
000000019187ebb4 (__TEXT,__text) non-external _read_output_and_wait
000000019187a2b4 (__TEXT,__text) non-external _reverse_seek
000000019187f798 (__TEXT,__text) non-external _simple_code
000000019187fa44 (__TEXT,__text) non-external _simple_coder_end
000000019187fa90 (__TEXT,__text) non-external _simple_coder_update
000000019188162c (__TEXT,__text) non-external _sparc_code
000000019187811c (__TEXT,__text) non-external _str_append_str
0000000191878578 (__TEXT,__text) non-external _str_append_u32
0000000191885b98 (__TEXT,__const) non-external _str_append_u32.suffixes
0000000191875cfc (__TEXT,__text) non-external _stream_decode
000000019187ddcc (__TEXT,__text) non-external _stream_decode_mt
0000000191876180 (__TEXT,__text) non-external _stream_decoder_end
00000001918761d0 (__TEXT,__text) non-external _stream_decoder_get_check
00000001918761d8 (__TEXT,__text) non-external _stream_decoder_memconfig
000000019187e880 (__TEXT,__text) non-external _stream_decoder_mt_end
000000019187e8f0 (__TEXT,__text) non-external _stream_decoder_mt_get_check
000000019187e9a0 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
000000019187db5c (__TEXT,__text) non-external _stream_decoder_mt_init
000000019187e8f8 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
000000019186c4e8 (__TEXT,__text) non-external _stream_encode
0000000191881a70 (__TEXT,__const) non-external _stream_encode.convert
0000000191880794 (__TEXT,__text) non-external _stream_encode_mt
0000000191870d90 (__TEXT,__text) non-external _stream_encoder_end
000000019187348c (__TEXT,__text) non-external _stream_encoder_init
0000000191880e28 (__TEXT,__text) non-external _stream_encoder_mt_end
00000001918802f0 (__TEXT,__text) non-external _stream_encoder_mt_init
0000000191880f7c (__TEXT,__text) non-external _stream_encoder_mt_update
000000019186ac98 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
000000019187ea68 (__TEXT,__text) non-external _threads_end
0000000191881068 (__TEXT,__text) non-external _threads_end
000000019187eb44 (__TEXT,__text) non-external _threads_stop
000000019188113c (__TEXT,__text) non-external _threads_stop
0000000191871164 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
0000000191871124 (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000019187efec (__TEXT,__text) non-external _worker_decoder
000000019187efa0 (__TEXT,__text) non-external _worker_enable_partial_update
0000000191881584 (__TEXT,__text) non-external _worker_error
0000000191881234 (__TEXT,__text) non-external _worker_start
000000019187fc94 (__TEXT,__text) non-external _x86_code
0000000191887ce0 (__TEXT,__const) non-external _x86_code.MASK_TO_ALLOWED_STATUS
0000000191887ce8 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000019187fc30 (__TEXT,__text) non-external _x86_coder_init
