                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
000000018f589308 (__TEXT,__text) external __cg_jcopy_block_row
000000018f5a4ca4 (__TEXT,__text) external __cg_jpeg_stdio_dest
000000018f5858ac (__TEXT,__text) external __cg_jpeg_stdio_src
000000018f59bfb0 (__TEXT,__text) external __cg_jpeg_suppress_tables
000000018f59f9c4 (__TEXT,__text) external __cg_jpeg_write_coefficients
000000018f59c290 (__TEXT,__text) external __cg_jpeg_write_m_byte
000000018f59c204 (__TEXT,__text) external __cg_jpeg_write_m_header
000000018f59c160 (__TEXT,__text) external __cg_jpeg_write_marker
000000018f59172c (__TEXT,__text) external __cg_jpeg_write_raw_data
000000018f591624 (__TEXT,__text) external __cg_jpeg_write_scanlines
000000018f59c29c (__TEXT,__text) external __cg_jpeg_write_tables
000000018f58929c (__TEXT,__text) external __cg_jround_up
000000018f588840 (__TEXT,__text) external __cg_switch_color_deconverter
000000018f5a5b5c (__TEXT,__text) non-external _access_virt_barray
000000018f5a5984 (__TEXT,__text) non-external _access_virt_sarray
000000018f5a5550 (__TEXT,__text) non-external _alloc_barray
000000018f5a458c (__TEXT,__text) non-external _alloc_fs_workspace
000000018f5a534c (__TEXT,__text) non-external _alloc_large
000000018f5a545c (__TEXT,__text) non-external _alloc_sarray
000000018f5a5198 (__TEXT,__text) non-external _alloc_small
000000018f586c38 (__TEXT,__text) non-external _arith_decode
000000018f585314 (__TEXT,__text) non-external _arith_encode
000000018f5a75ac (__TEXT,__const) non-external _base_dither_matrix
000000018f5a756c (__TEXT,__const) non-external _bmask
000000018f588510 (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
000000018f585894 (__TEXT,__text) non-external _close_backing_store
000000018f57fb28 (__TEXT,__text) non-external _cmyk_ycck_convert
000000018f5a4678 (__TEXT,__text) non-external _color_quantize
000000018f5a4604 (__TEXT,__text) non-external _color_quantize3
000000018f588ae8 (__TEXT,__text) non-external _compress_data
000000018f588d8c (__TEXT,__text) non-external _compress_first_pass
000000018f5890b8 (__TEXT,__text) non-external _compress_output
000000018f59fe44 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
000000018f5928f4 (__TEXT,__text) non-external _consume_data
000000018f58a6a8 (__TEXT,__text) non-external _consume_markers
000000018f5a444c (__TEXT,__text) non-external _create_colorindex
000000018f586764 (__TEXT,__text) non-external _decode_mcu
000000018f59f05c (__TEXT,__text) non-external _decode_mcu
000000018f5862b0 (__TEXT,__text) non-external _decode_mcu_AC_first
000000018f59e0f4 (__TEXT,__text) non-external _decode_mcu_AC_first
000000018f586594 (__TEXT,__text) non-external _decode_mcu_AC_refine
000000018f59e448 (__TEXT,__text) non-external _decode_mcu_AC_refine
000000018f586078 (__TEXT,__text) non-external _decode_mcu_DC_first
000000018f59dedc (__TEXT,__text) non-external _decode_mcu_DC_first
000000018f5864e4 (__TEXT,__text) non-external _decode_mcu_DC_refine
000000018f59e33c (__TEXT,__text) non-external _decode_mcu_DC_refine
000000018f59ec30 (__TEXT,__text) non-external _decode_mcu_sub
000000018f592aec (__TEXT,__text) non-external _decompress_data
000000018f592cc4 (__TEXT,__text) non-external _decompress_onepass
000000018f592fb4 (__TEXT,__text) non-external _decompress_smooth_data
000000018f5a5fc4 (__TEXT,__text) non-external _do_barray_io
000000018f5a5eec (__TEXT,__text) non-external _do_sarray_io
000000018f592cbc (__TEXT,__text) non-external _dummy_consume_data
000000018f5a3b38 (__TEXT,__text) non-external _dump_buffer_e
000000018f5a38e8 (__TEXT,__text) non-external _emit_ac_symbol
000000018f5a3a28 (__TEXT,__text) non-external _emit_buffered_bits
000000018f585530 (__TEXT,__text) non-external _emit_byte
000000018f5a0c34 (__TEXT,__text) non-external _emit_byte
000000018f5a0f34 (__TEXT,__text) non-external _emit_dht
000000018f5a0cb4 (__TEXT,__text) non-external _emit_dqt
000000018f5a3404 (__TEXT,__text) non-external _emit_eobrun
000000018f59cf40 (__TEXT,__text) non-external _emit_message
000000018f58521c (__TEXT,__text) non-external _emit_restart
000000018f5a3d50 (__TEXT,__text) non-external _emit_restart_e
000000018f5a0df8 (__TEXT,__text) non-external _emit_sof
000000018f5a4f84 (__TEXT,__text) non-external _empty_mem_output_buffer
000000018f5a4d5c (__TEXT,__text) non-external _empty_output_buffer
000000018f584d50 (__TEXT,__text) non-external _encode_mcu
000000018f58474c (__TEXT,__text) non-external _encode_mcu_AC_first
000000018f5a1de8 (__TEXT,__text) non-external _encode_mcu_AC_first
000000018f584af4 (__TEXT,__text) non-external _encode_mcu_AC_refine
000000018f5a2204 (__TEXT,__text) non-external _encode_mcu_AC_refine
000000018f584504 (__TEXT,__text) non-external _encode_mcu_DC_first
000000018f5a1ac0 (__TEXT,__text) non-external _encode_mcu_DC_first
000000018f584a3c (__TEXT,__text) non-external _encode_mcu_DC_refine
000000018f5a207c (__TEXT,__text) non-external _encode_mcu_DC_refine
000000018f5a258c (__TEXT,__text) non-external _encode_mcu_gather
000000018f5a27fc (__TEXT,__text) non-external _encode_mcu_huff
000000018f59cf10 (__TEXT,__text) non-external _error_exit
000000018f583a84 (__TEXT,__text) non-external _examine_app0
000000018f583d04 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
000000018f5a76d8 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
000000018f592590 (__TEXT,__text) non-external _fill_dc_scans
000000018f585980 (__TEXT,__text) non-external _fill_input_buffer
000000018f5813a4 (__TEXT,__text) non-external _fill_inverse_cmap
000000018f585b64 (__TEXT,__text) non-external _fill_mem_input_buffer
000000018f5a6918 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
000000018f58af54 (__TEXT,__text) non-external _finish_input_pass
000000018f594fa0 (__TEXT,__text) non-external _finish_output_pass
000000018f584308 (__TEXT,__text) non-external _finish_pass
000000018f586074 (__TEXT,__text) non-external _finish_pass
000000018f580818 (__TEXT,__text) non-external _finish_pass1
000000018f580fa8 (__TEXT,__text) non-external _finish_pass2
000000018f5a4434 (__TEXT,__text) non-external _finish_pass_1_quant
000000018f5a1894 (__TEXT,__text) non-external _finish_pass_gather
000000018f59deb0 (__TEXT,__text) non-external _finish_pass_huff
000000018f5a19e8 (__TEXT,__text) non-external _finish_pass_huff
000000018f59426c (__TEXT,__text) non-external _finish_pass_master
000000018f5a76c8 (__TEXT,__const) non-external _first_pool_slop
000000018f5a3b8c (__TEXT,__text) non-external _flush_bits_e
000000018f5a3c5c (__TEXT,__text) non-external _flush_bits_s
                 (undefined) external _fopen (from libSystem)
000000018f59d058 (__TEXT,__text) non-external _format_message
000000018f587b08 (__TEXT,__text) non-external _forward_DCT
000000018f587c54 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000018f5a5d38 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
000000018f59c7ec (__TEXT,__text) non-external _fullsize_downsample
000000018f59c640 (__TEXT,__text) non-external _fullsize_smooth_downsample
000000018f595a0c (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
000000018f586da0 (__TEXT,__text) non-external _get_byte
000000018f583190 (__TEXT,__text) non-external _get_interesting_appn
000000018f5836d0 (__TEXT,__text) non-external _get_sof
000000018f588400 (__TEXT,__text) non-external _gray_rgb_convert
000000018f57f764 (__TEXT,__text) non-external _grayscale_convert
000000018f5882cc (__TEXT,__text) non-external _grayscale_convert
000000018f59c884 (__TEXT,__text) non-external _h2v1_downsample
000000018f59d6cc (__TEXT,__text) non-external _h2v1_merged_upsample
000000018f595a14 (__TEXT,__text) non-external _h2v1_upsample
000000018f59cc2c (__TEXT,__text) non-external _h2v2_downsample
000000018f59d4b4 (__TEXT,__text) non-external _h2v2_merged_upsample
000000018f59c974 (__TEXT,__text) non-external _h2v2_smooth_downsample
000000018f595a6c (__TEXT,__text) non-external _h2v2_upsample
000000018f5a4d1c (__TEXT,__text) non-external _init_destination
000000018f5806dc (__TEXT,__text) non-external _init_error_limit
000000018f5a4f80 (__TEXT,__text) non-external _init_mem_destination
000000018f585b60 (__TEXT,__text) non-external _init_mem_source
000000018f585970 (__TEXT,__text) non-external _init_source
000000018f59cd44 (__TEXT,__text) non-external _int_downsample
000000018f595b20 (__TEXT,__text) non-external _int_upsample
000000018f58928c (__TEXT,__text) non-external (was a private external) _jdiv_round_up
000000018f585bb4 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
000000018f584068 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
000000018f5a6200 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
000000018f57edd8 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
000000018f58a2f0 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
000000018f591b24 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
000000018f5975d0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
000000018f59a26c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
000000018f597984 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
000000018f597e58 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
000000018f599f88 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
000000018f59829c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
000000018f598814 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
000000018f599bf8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
000000018f598ce0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
000000018f599210 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
000000018f5997ec (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
000000018f597248 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
000000018f59be30 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
000000018f59aa0c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
000000018f5971c8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
000000018f59bd4c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
000000018f5970cc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
000000018f59bbd8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
000000018f59a900 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
000000018f596f08 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
000000018f59b9a0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
000000018f59b690 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
000000018f596d64 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
000000018f59b324 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
000000018f59a7a0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
000000018f596b94 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
000000018f59af00 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
000000018f5968b0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
000000018f59aa5c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
000000018f59a4e4 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
000000018f597284 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
000000018f59f514 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
000000018f5a356c (__TEXT,__text) non-external _jpeg_gen_optimal_table
000000018f59f660 (__TEXT,__text) non-external _jpeg_huff_decode
000000018f58c3c8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
000000018f58f55c (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
000000018f58c7d0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
000000018f58ccb8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
000000018f58f1ec (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
000000018f58d158 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
000000018f58d6ec (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
000000018f58ed9c (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
000000018f58dc1c (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
000000018f58e1c0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
000000018f58e810 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
000000018f591520 (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
000000018f58fe34 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
000000018f5913d0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
000000018f58bdc8 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
000000018f5911e4 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
000000018f58fce0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
000000018f590e84 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
000000018f590b58 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
000000018f58b9f0 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
000000018f5907cc (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
000000018f58fb04 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
000000018f58b79c (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
000000018f590384 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
000000018f58b430 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
000000018f58fe84 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
000000018f58f868 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
000000018f58c000 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
000000018f5a312c (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
000000018f59e8d0 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
000000018f5a4e78 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
000000018f585a98 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
000000018f5a6eac (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
000000018f5a6e48 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
000000018f5a6dc8 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
000000018f5a6d24 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
000000018f5a6c54 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
000000018f5a6b50 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
000000018f5a746c (__TEXT,__const) non-external _jpeg_zigzag_order
000000018f5a7240 (__TEXT,__const) non-external _jpeg_zigzag_order2
000000018f5a7250 (__TEXT,__const) non-external _jpeg_zigzag_order3
000000018f5a7274 (__TEXT,__const) non-external _jpeg_zigzag_order4
000000018f5a72b4 (__TEXT,__const) non-external _jpeg_zigzag_order5
000000018f5a7318 (__TEXT,__const) non-external _jpeg_zigzag_order6
000000018f5a73a8 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018f59d678 (__TEXT,__text) non-external _merged_1v_upsample
000000018f59d394 (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
000000018f5a4438 (__TEXT,__text) non-external _new_color_map_1_quant
000000018f5806cc (__TEXT,__text) non-external _new_color_map_2_quant
000000018f581934 (__TEXT,__text) non-external _next_marker
000000018f595a04 (__TEXT,__text) non-external _noop_upsample
000000018f57fab4 (__TEXT,__text) non-external _null_convert
000000018f5887cc (__TEXT,__text) non-external _null_convert
000000018f57f760 (__TEXT,__text) non-external _null_method
000000018f59cfb8 (__TEXT,__text) non-external _output_message
000000018f5a116c (__TEXT,__text) non-external _output_pass_setup
000000018f580bd0 (__TEXT,__text) non-external _pass2_fs_dither
000000018f580ed0 (__TEXT,__text) non-external _pass2_no_dither
000000018f59421c (__TEXT,__text) non-external _pass_startup
000000018f594464 (__TEXT,__text) non-external _per_scan_setup
000000018f595de4 (__TEXT,__text) non-external _post_process_1pass
000000018f595f7c (__TEXT,__text) non-external _post_process_2pass
000000018f595e7c (__TEXT,__text) non-external _post_process_prepass
000000018f5897f8 (__TEXT,__text) non-external _pre_process_context
000000018f589a6c (__TEXT,__text) non-external _pre_process_data
000000018f594ddc (__TEXT,__text) non-external _prepare_for_output_pass
000000018f594024 (__TEXT,__text) non-external _prepare_for_pass
000000018f580798 (__TEXT,__text) non-external _prescan_quantize
000000018f59530c (__TEXT,__text) non-external _process_data_context_main
000000018f595688 (__TEXT,__text) non-external _process_data_crank_post
000000018f589454 (__TEXT,__text) non-external _process_data_simple_main
000000018f5955d0 (__TEXT,__text) non-external _process_data_simple_main
000000018f586b28 (__TEXT,__text) non-external _process_restart
000000018f59f47c (__TEXT,__text) non-external _process_restart
000000018f5a4708 (__TEXT,__text) non-external _quantize3_ord_dither
000000018f5a48cc (__TEXT,__text) non-external _quantize_fs_dither
000000018f5a47d8 (__TEXT,__text) non-external _quantize_ord_dither
000000018f585734 (__TEXT,__text) non-external _read_backing_store
000000018f581b38 (__TEXT,__text) non-external _read_markers
000000018f582ff8 (__TEXT,__text) non-external _read_restart_marker
000000018f5a57a0 (__TEXT,__text) non-external _realize_virt_arrays
000000018f5a56f8 (__TEXT,__text) non-external _request_virt_barray
000000018f5a5650 (__TEXT,__text) non-external _request_virt_sarray
000000018f59d12c (__TEXT,__text) non-external _reset_error_mgr
000000018f58ac58 (__TEXT,__text) non-external _reset_input_controller
000000018f581b18 (__TEXT,__text) non-external _reset_marker_reader
000000018f58836c (__TEXT,__text) non-external _rgb1_gray_convert
000000018f588684 (__TEXT,__text) non-external _rgb1_rgb_convert
000000018f57f904 (__TEXT,__text) non-external _rgb_convert
000000018f588618 (__TEXT,__text) non-external _rgb_convert
000000018f57f884 (__TEXT,__text) non-external _rgb_gray_convert
000000018f5882e8 (__TEXT,__text) non-external _rgb_gray_convert
000000018f57f970 (__TEXT,__text) non-external _rgb_rgb1_convert
000000018f57f9ec (__TEXT,__text) non-external _rgb_ycc_convert
000000018f57f7b8 (__TEXT,__text) non-external _rgb_ycc_start
000000018f583424 (__TEXT,__text) non-external _save_marker
000000018f5a76ac (__TEXT,__const) non-external _select_ncolors.RGB_order
000000018f5942fc (__TEXT,__text) non-external _select_scan_parameters
000000018f5a5e88 (__TEXT,__text) non-external _self_destruct
000000018f59c59c (__TEXT,__text) non-external _sep_downsample
000000018f5958bc (__TEXT,__text) non-external _sep_upsample
000000018f585a20 (__TEXT,__text) non-external _skip_input_data
000000018f58309c (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
000000018f588aa0 (__TEXT,__text) non-external _start_iMCU_row
000000018f592f6c (__TEXT,__text) non-external _start_iMCU_row
000000018f5a00cc (__TEXT,__text) non-external _start_iMCU_row
000000018f58acb8 (__TEXT,__text) non-external _start_input_pass
000000018f5927b0 (__TEXT,__text) non-external _start_input_pass
000000018f5927b8 (__TEXT,__text) non-external _start_output_pass
000000018f57fd00 (__TEXT,__text) non-external _start_pass
000000018f584100 (__TEXT,__text) non-external _start_pass
000000018f585ca4 (__TEXT,__text) non-external _start_pass
000000018f5a6640 (__TEXT,__const) non-external _start_pass.aanscalefactor
000000018f5a65c0 (__TEXT,__const) non-external _start_pass.aanscales
000000018f5a41dc (__TEXT,__text) non-external _start_pass_1_quant
000000018f580564 (__TEXT,__text) non-external _start_pass_2_quant
000000018f588990 (__TEXT,__text) non-external _start_pass_coef
000000018f59fde8 (__TEXT,__text) non-external _start_pass_coef
000000018f5882c8 (__TEXT,__text) non-external _start_pass_dcolor
000000018f59c598 (__TEXT,__text) non-external _start_pass_downsample
000000018f595ce8 (__TEXT,__text) non-external _start_pass_dpost
000000018f5872b0 (__TEXT,__text) non-external _start_pass_fdctmgr
000000018f5a69c0 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
000000018f5a6940 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
000000018f5a161c (__TEXT,__text) non-external _start_pass_huff
000000018f59d8cc (__TEXT,__text) non-external _start_pass_huff_decoder
000000018f589410 (__TEXT,__text) non-external _start_pass_main
000000018f5951b0 (__TEXT,__text) non-external _start_pass_main
000000018f59d380 (__TEXT,__text) non-external _start_pass_merged_upsample
000000018f5897a0 (__TEXT,__text) non-external _start_pass_prep
000000018f5958a8 (__TEXT,__text) non-external _start_pass_upsample
