                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000020c4c3b48 (__TEXT,__text) external __crypt_blowfish_rn
000000020c4be66c (__TEXT,__text) external _apr_brigade_cleanup
000000020c4be740 (__TEXT,__text) external _apr_brigade_create
000000020c4be6dc (__TEXT,__text) external _apr_brigade_destroy
000000020c4bea9c (__TEXT,__text) external _apr_brigade_flatten
000000020c4bf5ec (__TEXT,__text) external _apr_brigade_insert_file
000000020c4be9e8 (__TEXT,__text) external _apr_brigade_length
000000020c4be8bc (__TEXT,__text) external _apr_brigade_partition
000000020c4beb74 (__TEXT,__text) external _apr_brigade_pflatten
000000020c4bf490 (__TEXT,__text) external _apr_brigade_printf
000000020c4bf3d8 (__TEXT,__text) external _apr_brigade_putc
000000020c4bf404 (__TEXT,__text) external _apr_brigade_puts
000000020c4bf464 (__TEXT,__text) external _apr_brigade_putstrs
000000020c4be8b4 (__TEXT,__text) external _apr_brigade_split
000000020c4be7bc (__TEXT,__text) external _apr_brigade_split_ex
000000020c4bebf0 (__TEXT,__text) external _apr_brigade_split_line
000000020c4bef34 (__TEXT,__text) external _apr_brigade_to_iovec
000000020c4bf4bc (__TEXT,__text) external _apr_brigade_vprintf
000000020c4befe0 (__TEXT,__text) external _apr_brigade_vputstrs
000000020c4bed80 (__TEXT,__text) external _apr_brigade_write
000000020c4bf0dc (__TEXT,__text) external _apr_brigade_writev
000000020c4bf7c0 (__TEXT,__text) external _apr_bucket_alloc
000000020c4bf674 (__TEXT,__text) external _apr_bucket_alloc_create
000000020c4bf6fc (__TEXT,__text) external _apr_bucket_alloc_create_ex
000000020c4bf768 (__TEXT,__text) external _apr_bucket_alloc_destroy
000000020c4bf664 (__TEXT,__text) external _apr_bucket_copy_notimpl
000000020c4bf670 (__TEXT,__text) external _apr_bucket_destroy_noop
000000020c4bf8bc (__TEXT,__text) external _apr_bucket_eos_create
000000020c4bf8a8 (__TEXT,__text) external _apr_bucket_eos_make
000000020c4bf998 (__TEXT,__text) external _apr_bucket_file_create
000000020c4bfa38 (__TEXT,__text) external _apr_bucket_file_enable_mmap
000000020c4bf920 (__TEXT,__text) external _apr_bucket_file_make
000000020c4bfd94 (__TEXT,__text) external _apr_bucket_flush_create
000000020c4bfd80 (__TEXT,__text) external _apr_bucket_flush_make
000000020c4bf878 (__TEXT,__text) external _apr_bucket_free
000000020c4bfeb8 (__TEXT,__text) external _apr_bucket_heap_create
000000020c4bfdf8 (__TEXT,__text) external _apr_bucket_heap_make
000000020c4c0830 (__TEXT,__text) external _apr_bucket_immortal_create
000000020c4c081c (__TEXT,__text) external _apr_bucket_immortal_make
000000020c4c0048 (__TEXT,__text) external _apr_bucket_mmap_create
000000020c4bffa0 (__TEXT,__text) external _apr_bucket_mmap_make
000000020c4c0248 (__TEXT,__text) external _apr_bucket_pipe_create
000000020c4c0230 (__TEXT,__text) external _apr_bucket_pipe_make
000000020c4c054c (__TEXT,__text) external _apr_bucket_pool_create
000000020c4c0448 (__TEXT,__text) external _apr_bucket_pool_make
000000020c4bf644 (__TEXT,__text) external _apr_bucket_setaside_noop
000000020c4bf64c (__TEXT,__text) external _apr_bucket_setaside_notimpl
000000020c4c06d0 (__TEXT,__text) external _apr_bucket_shared_copy
000000020c4c0704 (__TEXT,__text) external _apr_bucket_shared_destroy
000000020c4c0718 (__TEXT,__text) external _apr_bucket_shared_make
000000020c4c069c (__TEXT,__text) external _apr_bucket_shared_split
000000020c4c072c (__TEXT,__text) external _apr_bucket_simple_copy
000000020c4c0784 (__TEXT,__text) external _apr_bucket_simple_split
000000020c4c0974 (__TEXT,__text) external _apr_bucket_socket_create
000000020c4c095c (__TEXT,__text) external _apr_bucket_socket_make
000000020c4bf658 (__TEXT,__text) external _apr_bucket_split_notimpl
000000020c4c08a8 (__TEXT,__text) external _apr_bucket_transient_create
000000020c4c0894 (__TEXT,__text) external _apr_bucket_transient_make
000000021ec42bf8 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000021ec42c30 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000021ec42c68 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000021ec42ca0 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000021ec42d80 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000021ec42cd8 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000021ec42d10 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000021ec42d48 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000021ec42df0 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000021ec42db8 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
000000021b0b94f8 (__DATA,__common) external _apr_current_hooking_module
000000020c4cc0bc (__TEXT,__text) external _apr_date_checkmask
000000020c4cc208 (__TEXT,__text) external _apr_date_parse_http
000000020c4cc5dc (__TEXT,__text) external _apr_date_parse_rfc
000000020c4c6818 (__TEXT,__text) external _apr_dbd_check_conn
000000020c4c6838 (__TEXT,__text) external _apr_dbd_close
000000020c4c6fe8 (__TEXT,__text) external _apr_dbd_datum_get
000000020c4c6828 (__TEXT,__text) external _apr_dbd_error
000000020c4c69cc (__TEXT,__text) external _apr_dbd_escape
000000020c4c6730 (__TEXT,__text) external _apr_dbd_get_driver
000000020c4c69ac (__TEXT,__text) external _apr_dbd_get_entry
000000020c4c69bc (__TEXT,__text) external _apr_dbd_get_name
000000020c4c6994 (__TEXT,__text) external _apr_dbd_get_row
000000020c4c660c (__TEXT,__text) external _apr_dbd_init
000000020c4c65f4 (__TEXT,__text) external _apr_dbd_mutex_lock
000000020c4c6600 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000020c4c6924 (__TEXT,__text) external _apr_dbd_name
000000020c4c692c (__TEXT,__text) external _apr_dbd_native_handle
000000020c4c697c (__TEXT,__text) external _apr_dbd_num_cols
000000020c4c6988 (__TEXT,__text) external _apr_dbd_num_tuples
000000020c4c6844 (__TEXT,__text) external _apr_dbd_open
000000020c4c6774 (__TEXT,__text) external _apr_dbd_open_ex
000000020c4c6f20 (__TEXT,__text) external _apr_dbd_pbquery
000000020c4c6f3c (__TEXT,__text) external _apr_dbd_pbselect
000000020c4c6e58 (__TEXT,__text) external _apr_dbd_pquery
000000020c4c69e0 (__TEXT,__text) external _apr_dbd_prepare
000000020c4c6e74 (__TEXT,__text) external _apr_dbd_pselect
000000020c4c6f5c (__TEXT,__text) external _apr_dbd_pvbquery
000000020c4c6fa0 (__TEXT,__text) external _apr_dbd_pvbselect
000000020c4c6e94 (__TEXT,__text) external _apr_dbd_pvquery
000000020c4c6ed8 (__TEXT,__text) external _apr_dbd_pvselect
000000020c4c694c (__TEXT,__text) external _apr_dbd_query
000000020c4c6960 (__TEXT,__text) external _apr_dbd_select
000000020c4c6938 (__TEXT,__text) external _apr_dbd_set_dbname
000000021ec42e80 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
000000020c4c68bc (__TEXT,__text) external _apr_dbd_transaction_end
000000020c4c6908 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000020c4c6914 (__TEXT,__text) external _apr_dbd_transaction_mode_set
000000020c4c684c (__TEXT,__text) external _apr_dbd_transaction_start
000000020c4c71c8 (__TEXT,__text) external _apr_dbm_close
000000020c4c71ec (__TEXT,__text) external _apr_dbm_delete
000000020c4c71f8 (__TEXT,__text) external _apr_dbm_exists
000000020c4c71d4 (__TEXT,__text) external _apr_dbm_fetch
000000020c4c7204 (__TEXT,__text) external _apr_dbm_firstkey
000000020c4c721c (__TEXT,__text) external _apr_dbm_freedatum
000000020c4c72ec (__TEXT,__text) external _apr_dbm_get_usednames
000000020c4c7274 (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000020c4c7228 (__TEXT,__text) external _apr_dbm_geterror
000000020c4c7210 (__TEXT,__text) external _apr_dbm_nextkey
000000020c4c7124 (__TEXT,__text) external _apr_dbm_open
000000020c4c7000 (__TEXT,__text) external _apr_dbm_open_ex
000000020c4c71e0 (__TEXT,__text) external _apr_dbm_store
000000021ec42e28 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
000000021b0b94f0 (__DATA,__common) external _apr_debug_module_hooks
000000020c4c9450 (__TEXT,__text) external _apr_dynamic_fn_register
000000020c4c93f4 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
000000021b0b94e8 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
000000021b0b94e0 (__DATA,__common) external _apr_hook_debug_current
000000021b0b94d8 (__DATA,__common) external _apr_hook_debug_enabled
000000020c4c916c (__TEXT,__text) external _apr_hook_debug_show
000000020c4c9118 (__TEXT,__text) external _apr_hook_deregister_all
000000021b0b94d0 (__DATA,__common) external _apr_hook_global_pool
000000020c4c8c2c (__TEXT,__text) external _apr_hook_sort_all
000000020c4c8bd4 (__TEXT,__text) external _apr_hook_sort_register
000000020c4d2f94 (__TEXT,__text) external _apr_ldap_get_option
000000020c4d2f54 (__TEXT,__text) external _apr_ldap_info
000000020c4d2e98 (__TEXT,__text) external _apr_ldap_init
000000020c4c94d4 (__TEXT,__text) external _apr_ldap_is_ldap_url
000000020c4c964c (__TEXT,__text) external _apr_ldap_is_ldapi_url
000000020c4c9600 (__TEXT,__text) external _apr_ldap_is_ldaps_url
000000020c4d335c (__TEXT,__text) external _apr_ldap_rebind_add
000000020c4d32c8 (__TEXT,__text) external _apr_ldap_rebind_init
000000020c4d3454 (__TEXT,__text) external _apr_ldap_rebind_remove
000000020c4d3024 (__TEXT,__text) external _apr_ldap_set_option
000000020c4d2e90 (__TEXT,__text) external _apr_ldap_ssl_deinit
000000020c4d2dc4 (__TEXT,__text) external _apr_ldap_ssl_init
000000020c4c9d68 (__TEXT,__text) external _apr_ldap_url_parse
000000020c4c9698 (__TEXT,__text) external _apr_ldap_url_parse_ext
000000020c4c14bc (__TEXT,__text) external _apr_md4
000000020c4c13b0 (__TEXT,__text) external _apr_md4_final
000000020c4c0b5c (__TEXT,__text) external _apr_md4_init
000000020c4c0b78 (__TEXT,__text) external _apr_md4_set_xlate
000000020c4c0bd0 (__TEXT,__text) external _apr_md4_update
000000020c4c1898 (__TEXT,__text) external _apr_md5
000000020c4c1924 (__TEXT,__text) external _apr_md5_encode
000000020c4c1784 (__TEXT,__text) external _apr_md5_final
000000020c4c1544 (__TEXT,__text) external _apr_md5_init
000000020c4c1560 (__TEXT,__text) external _apr_md5_set_xlate
000000020c4c15b8 (__TEXT,__text) external _apr_md5_update
000000020c4ca6dc (__TEXT,__text) external _apr_memcache_add
000000020c4cb094 (__TEXT,__text) external _apr_memcache_add_multget_key
000000020c4c9dbc (__TEXT,__text) external _apr_memcache_add_server
000000020c4ca378 (__TEXT,__text) external _apr_memcache_create
000000020c4caf40 (__TEXT,__text) external _apr_memcache_decr
000000020c4cab7c (__TEXT,__text) external _apr_memcache_delete
000000020c4ca040 (__TEXT,__text) external _apr_memcache_disable_server
000000020c4ca02c (__TEXT,__text) external _apr_memcache_enable_server
000000020c4c9fb8 (__TEXT,__text) external _apr_memcache_find_server
000000020c4c9df4 (__TEXT,__text) external _apr_memcache_find_server_hash
000000020c4c9e10 (__TEXT,__text) external _apr_memcache_find_server_hash_default
000000020c4ca724 (__TEXT,__text) external _apr_memcache_getp
000000020c4ca474 (__TEXT,__text) external _apr_memcache_hash
000000020c4ca3e8 (__TEXT,__text) external _apr_memcache_hash_crc32
000000020c4ca42c (__TEXT,__text) external _apr_memcache_hash_default
000000020c4cad44 (__TEXT,__text) external _apr_memcache_incr
000000020c4cb148 (__TEXT,__text) external _apr_memcache_multgetp
000000020c4ca700 (__TEXT,__text) external _apr_memcache_replace
000000020c4ca084 (__TEXT,__text) external _apr_memcache_server_create
000000020c4ca4cc (__TEXT,__text) external _apr_memcache_set
000000020c4cba18 (__TEXT,__text) external _apr_memcache_stats
000000020c4caf58 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
000000020c4c92d0 (__TEXT,__text) external _apr_optional_hook_add
000000020c4c9280 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
000000020c4c28d4 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
000000020c4c737c (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
000000020c4cce30 (__TEXT,__text) external _apr_queue_create
000000020c4cd380 (__TEXT,__text) external _apr_queue_interrupt_all
000000020c4cd170 (__TEXT,__text) external _apr_queue_pop
000000020c4ccf54 (__TEXT,__text) external _apr_queue_push
000000020c4cd168 (__TEXT,__text) external _apr_queue_size
000000020c4cd3dc (__TEXT,__text) external _apr_queue_term
000000020c4cd2a0 (__TEXT,__text) external _apr_queue_trypop
000000020c4cd08c (__TEXT,__text) external _apr_queue_trypush
000000020c4cd850 (__TEXT,__text) external _apr_reslist_acquire
000000020c4cdb20 (__TEXT,__text) external _apr_reslist_acquired_count
000000020c4cdbbc (__TEXT,__text) external _apr_reslist_cleanup_order_set
000000020c4cd5dc (__TEXT,__text) external _apr_reslist_create
000000020c4cd834 (__TEXT,__text) external _apr_reslist_destroy
000000020c4cdb5c (__TEXT,__text) external _apr_reslist_invalidate
000000020c4cd43c (__TEXT,__text) external _apr_reslist_maintain
000000020c4cda24 (__TEXT,__text) external _apr_reslist_release
000000020c4cdb18 (__TEXT,__text) external _apr_reslist_timeout_set
000000020c4ce600 (__TEXT,__text) external _apr_rmm_addr_get
000000020c4cdff0 (__TEXT,__text) external _apr_rmm_attach
000000020c4ce404 (__TEXT,__text) external _apr_rmm_calloc
000000020c4cde68 (__TEXT,__text) external _apr_rmm_destroy
000000020c4ce07c (__TEXT,__text) external _apr_rmm_detach
000000020c4ce60c (__TEXT,__text) external _apr_rmm_free
000000020c4cdc6c (__TEXT,__text) external _apr_rmm_init
000000020c4ce084 (__TEXT,__text) external _apr_rmm_malloc
000000020c4ce5f4 (__TEXT,__text) external _apr_rmm_offset_get
000000020c4ce810 (__TEXT,__text) external _apr_rmm_overhead_get
000000020c4ce530 (__TEXT,__text) external _apr_rmm_realloc
000000020c4c7918 (__TEXT,__text) external _apr_sdbm_close
000000020c4c7ba8 (__TEXT,__text) external _apr_sdbm_delete
000000020c4c7984 (__TEXT,__text) external _apr_sdbm_fetch
000000020c4c8054 (__TEXT,__text) external _apr_sdbm_firstkey
000000020c4c82d8 (__TEXT,__text) external _apr_sdbm_lock
000000020c4c8148 (__TEXT,__text) external _apr_sdbm_nextkey
000000020c4c7740 (__TEXT,__text) external _apr_sdbm_open
000000020c4c7c78 (__TEXT,__text) external _apr_sdbm_rdonly
000000020c4c7ce0 (__TEXT,__text) external _apr_sdbm_store
000000020c4c83f0 (__TEXT,__text) external _apr_sdbm_unlock
000000020c4c3a24 (__TEXT,__text) external _apr_sha1_base64
000000020c4c3928 (__TEXT,__text) external _apr_sha1_final
000000020c4c2afc (__TEXT,__text) external _apr_sha1_init
000000020c4c3924 (__TEXT,__text) external _apr_sha1_update
000000020c4c2b20 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
000000020c4cf908 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
000000020c4d0fdc (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
000000020c4cf3e4 (__TEXT,__text) external _apr_thread_pool_busy_count
000000020c4ce820 (__TEXT,__text) external _apr_thread_pool_create
000000020c4cee04 (__TEXT,__text) external _apr_thread_pool_destroy
000000020c4cf3f4 (__TEXT,__text) external _apr_thread_pool_idle_count
000000020c4cf41c (__TEXT,__text) external _apr_thread_pool_idle_max_get
000000020c4cf42c (__TEXT,__text) external _apr_thread_pool_idle_max_set
000000020c4cf424 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
000000020c4cf4fc (__TEXT,__text) external _apr_thread_pool_idle_wait_set
000000020c4cee24 (__TEXT,__text) external _apr_thread_pool_push
000000020c4cf09c (__TEXT,__text) external _apr_thread_pool_schedule
000000020c4cf3d4 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
000000020c4cf5b8 (__TEXT,__text) external _apr_thread_pool_task_owner_get
000000020c4cf20c (__TEXT,__text) external _apr_thread_pool_tasks_cancel
000000020c4cf3cc (__TEXT,__text) external _apr_thread_pool_tasks_count
000000020c4cf404 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
000000020c4cf3fc (__TEXT,__text) external _apr_thread_pool_tasks_run_count
000000020c4cf50c (__TEXT,__text) external _apr_thread_pool_thread_max_get
000000020c4cf514 (__TEXT,__text) external _apr_thread_pool_thread_max_set
000000020c4cf3dc (__TEXT,__text) external _apr_thread_pool_threads_count
000000020c4cf40c (__TEXT,__text) external _apr_thread_pool_threads_high_count
000000020c4cf414 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
000000020c4cf5a0 (__TEXT,__text) external _apr_thread_pool_threshold_get
000000020c4cf5a8 (__TEXT,__text) external _apr_thread_pool_threshold_set
000000020c4cf200 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
000000020c4cfe38 (__TEXT,__text) external _apr_uri_parse
000000020c4d0254 (__TEXT,__text) external _apr_uri_parse_hostinfo
000000020c4cfb98 (__TEXT,__text) external _apr_uri_port_of_scheme
000000020c4cfbec (__TEXT,__text) external _apr_uri_unparse
000000020c4c62c4 (__TEXT,__text) external _apr_uuid_format
000000020c4c6160 (__TEXT,__text) external _apr_uuid_get
000000020c4c634c (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
000000020c4d0760 (__TEXT,__text) external _apr_xlate_close
000000020c4d0668 (__TEXT,__text) external _apr_xlate_conv_buffer
000000020c4d0748 (__TEXT,__text) external _apr_xlate_conv_byte
000000020c4d035c (__TEXT,__text) external _apr_xlate_open
000000020c4d0650 (__TEXT,__text) external _apr_xlate_sb_get
000000020c4d19c0 (__TEXT,__text) external _apr_xml_empty_elem
000000020c4d08b0 (__TEXT,__text) external _apr_xml_insert_uri
000000020c4d0f1c (__TEXT,__text) external _apr_xml_parse_file
000000020c4d077c (__TEXT,__text) external _apr_xml_parser_create
000000020c4d0dc8 (__TEXT,__text) external _apr_xml_parser_done
000000020c4d0d60 (__TEXT,__text) external _apr_xml_parser_feed
000000020c4d0e44 (__TEXT,__text) external _apr_xml_parser_geterror
000000020c4d1154 (__TEXT,__text) external _apr_xml_quote_elem
000000020c4d1030 (__TEXT,__text) external _apr_xml_quote_string
000000020c4d1208 (__TEXT,__text) external _apr_xml_to_text
000000020c4c8884 (__TEXT,__text) external _apu__sdbm_chkpage
000000020c4c8680 (__TEXT,__text) external _apu__sdbm_delpair
000000020c4c85f0 (__TEXT,__text) external _apu__sdbm_duppair
000000020c4c842c (__TEXT,__text) external _apu__sdbm_fitpair
000000020c4c8630 (__TEXT,__text) external _apu__sdbm_getnkey
000000020c4c84f0 (__TEXT,__text) external _apu__sdbm_getpair
000000020c4c8220 (__TEXT,__text) external _apu__sdbm_hash
000000020c4d6310 (__TEXT,__const) external _apu__sdbm_nullitem
000000020c4c8460 (__TEXT,__text) external _apu__sdbm_putpair
000000020c4c8758 (__TEXT,__text) external _apu__sdbm_splpage
000000020c4cf8ec (__TEXT,__text) external _apu_version
000000020c4cf8fc (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
