000000019fc66600 (__TEXT,__text) non-external +[AMFI isAvailable]
000000019fc55520 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
000000019fc554f8 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
000000019fc5550c (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
000000019fc55558 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
000000019fc5553c (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
000000019fc55528 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
000000019fc55500 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
000000019fc55514 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
000000019fc55560 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
000000019fc55550 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
000000019fc55548 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
000000019fc65210 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
000000019fc65180 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
000000019fc64864 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
000000019fc64924 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
000000019fc64ce4 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
000000019fc64da0 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
000000019fc64c00 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
000000019fc651a8 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
000000019fc64020 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
000000019fc650b8 (__TEXT,__text) non-external -[PolicyScanTarget description]
000000019fc64b54 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
000000019fc65190 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
000000019fc64084 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
000000019fc68ec4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
000000019fc68f4c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
000000019fc68f8c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
000000019fc68fc4 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
000000019fc68ffc (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
000000019fc6903c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
000000019fc64004 (__TEXT,__text) non-external -[PolicyScanTarget init]
000000019fc651b8 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
000000019fc651e8 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
000000019fc651d0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
000000019fc64fd8 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
000000019fc651d8 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
000000019fc6501c (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
000000019fc647c0 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
000000019fc651a0 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
000000019fc65208 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
000000019fc65188 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
000000019fc65168 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
000000019fc65178 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
000000019fc651f8 (__TEXT,__text) non-external -[PolicyScanTarget pid]
000000019fc65060 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
000000019fc651b0 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
000000019fc651f0 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
000000019fc651e0 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
000000019fc65200 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
000000019fc651c8 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
000000019fc64f1c (__TEXT,__text) non-external -[PolicyScanTarget signingID]
000000019fc64b10 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
000000019fc64a48 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
000000019fc64e60 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
000000019fc651c0 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
000000019fc65160 (__TEXT,__text) non-external -[PolicyScanTarget url]
000000019fc65198 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
000000019fc65170 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
000000019fc66f6c (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
000000019fc66ef0 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
000000019fc66d94 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
000000019fc66cc0 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
000000019fc66de8 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
000000019fc66ed0 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
000000019fc66f5c (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
000000019fc66f54 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
000000019fc66e0c (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
000000019fc66f64 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
000000019fc5bd3c (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
000000019fc5bd1c (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
000000019fc5bd2c (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
000000019fc5bac8 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
000000019fc5bcfc (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
000000019fc5b88c (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
000000019fc5b570 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
000000019fc5b554 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
000000019fc5bd34 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
000000019fc5bd04 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
000000019fc5bd24 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
000000019fc5bd0c (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
000000019fc5bd14 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
000000019fc5e138 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
000000019fc5dd1c (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
000000019fc5dc18 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
000000019fc5db9c (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
000000019fc5d824 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
000000019fc5d53c (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
000000019fc5d710 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
000000019fc5df30 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
000000019fc5d4bc (__TEXT,__text) non-external -[SPExecutionPolicy init]
000000019fc5e034 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
000000019fc5db20 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
000000019fc5d598 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
000000019fc5d590 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
000000019fc5de20 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
000000019fc5d5c4 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
000000019fc5ac3c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
000000019fc5a3f4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
000000019fc683c0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
000000019fc683f8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
000000019fc68488 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
000000019fc6852c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
000000019fc68594 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
000000019fc68624 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
000000019fc6865c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
000000019fc686fc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
000000019fc5ad44 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
000000019fc5a1dc (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
000000019fc5a1d4 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
000000019fc5a1b4 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
000000019fc59f18 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
000000019fc59ca4 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
000000019fc59b44 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
000000019fc59b28 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
000000019fc5a19c (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
000000019fc5a1cc (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
000000019fc5a1bc (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
000000019fc5a1c4 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
000000019fc5a1a4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
000000019fc5a1ac (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
000000019fc63fc0 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
000000019fc63ca0 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
000000019fc63c4c (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
000000019fc63af8 (__TEXT,__text) non-external -[SPInstallationPolicy init]
000000019fc63e14 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
000000019fc63df8 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
000000019fc5bfa4 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
000000019fc5bf2c (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
000000019fc5bdc8 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
000000019fc5bf80 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
000000019fc60400 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
000000019fc603c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
000000019fc603d0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
000000019fc60190 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
000000019fc5ff94 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
000000019fc5fe14 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
000000019fc5fdf8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
000000019fc603f0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
000000019fc603e0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
000000019fc603d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
000000019fc603e8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
000000019fc603f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
000000019fc603b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
000000019fc603c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
000000019fc5d2a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
000000019fc5cba4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
000000019fc5c55c (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
000000019fc5c640 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
000000019fc5c504 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
000000019fc5c4fc (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
000000019fc5cb5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
000000019fc5d298 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
000000019fc5c4a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
000000019fc5d04c (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
000000019fc5c104 (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
000000019fc5c808 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
000000019fc5ce68 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
000000019fc5cf68 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
000000019fc5cb80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
000000019fc5cc9c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
000000019fc5d274 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
000000019fc5d250 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
000000019fc5d22c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
000000019fc5d208 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
000000019fc5c724 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
000000019fc5cd80 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
000000019fc5d1e8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
000000019fc5d1c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
000000019fc5d0e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
000000019fc5ca74 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
000000019fc5c95c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
000000019fc5fcf4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
000000019fc5f84c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
000000019fc5fa84 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
000000019fc5f768 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
000000019fc5f684 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
000000019fc5fbbc (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
000000019fc538cc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
000000019fc53884 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
000000019fc5388c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
000000019fc538a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
000000019fc53878 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
000000019fc53894 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
000000019fc536f0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
000000019fc53224 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
000000019fc534a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
000000019fc5337c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
000000019fc53208 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
000000019fc538ac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
000000019fc53494 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
000000019fc538c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
000000019fc538bc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
000000019fc53820 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
000000019fc538b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
000000019fc5389c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
