00007ffb43603ea8 (__DATA,__data) non-external _.compoundliteral
00007ffb083fe923 (__TEXT,__text) non-external (was a private external) _BlockAddSuccessor
00007ffb083fe075 (__TEXT,__text) non-external (was a private external) _BlockFree
00007ffb083fe36c (__TEXT,__text) non-external (was a private external) _Blockify
00007ffb083fe9a8 (__TEXT,__text) non-external (was a private external) _BlocksFree
00007ffb083fb580 (__TEXT,__text) non-external (was a private external) _BuildGenKill
00007ffb083fb7a4 (__TEXT,__text) non-external (was a private external) _BuildInterferenceSets
00007ffb083fb6ba (__TEXT,__text) non-external (was a private external) _BuildLiveOut
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffb083ada65 (__TEXT,__text) non-external _CPPelse
00007ffb083ae568 (__TEXT,__text) non-external _CPPerror
00007ffb083ae737 (__TEXT,__text) non-external _CPPextension
00007ffb083adcc3 (__TEXT,__text) non-external _CPPif
00007ffb083add83 (__TEXT,__text) non-external _CPPifdef
00007ffb083adeb8 (__TEXT,__text) non-external _CPPinclude
00007ffb083ae123 (__TEXT,__text) non-external _CPPline
00007ffb083ae2d4 (__TEXT,__text) non-external _CPPpragma
00007ffb083ae4d8 (__TEXT,__text) non-external _CPPundef
00007ffb083ae639 (__TEXT,__text) non-external _CPPversion
00007ffb084080e9 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffb08406856 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffb084080a8 (__TEXT,__text) non-external _ClearJumpTable
00007ffb084067f5 (__TEXT,__text) non-external _ClearRegisterState
00007ffb0840445b (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffb083fbfbd (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffb08404735 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffb083ffe10 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffb0839546c (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffb08401bcb (__TEXT,__text) non-external _EmulateOp
00007ffb084067b5 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffb08406774 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffb083accb8 (__TEXT,__text) non-external _FindHashLoc
00007ffb084083a7 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffb08393cf0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffb083fec59 (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffb083fead1 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffb083acc4f (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffb083acff3 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffb083af7fb (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffb082c6234 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffb082cbffc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffb413a3740 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffb084288a0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffb43603e88 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffb08427dc0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffb413a5780 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffb084288b0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffb08427d70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffb083ac81a (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffb08400ffc (__TEXT,__text) non-external _GetOpRegs
00007ffb083fe8a4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffb08404705 (__TEXT,__text) non-external _GetRegChunk
00007ffb083fd0b8 (__TEXT,__text) non-external _GetRegister
00007ffb084066c4 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffb083ffcfd (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffb083ac86d (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffb0840830c (__TEXT,__text) non-external _GetStreamArray
00007ffb083acc3b (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffb083aca95 (__TEXT,__text) non-external _GrowAtomTable
00007ffb43603e40 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffb083fb054 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffb083faff4 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffb083fb131 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffb083fb247 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffb083fb236 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffb083faf29 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffb083fb1ae (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffb083fb397 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffb083fb30f (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffb083fb4ee (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffb083fb2c1 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffb083ac887 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffb083ace19 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffb08393d31 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffb083af7b0 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffb083fd61c (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffb083fdf80 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffb083fd6da (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffb08401178 (__TEXT,__text) non-external _IsBadUsage
00007ffb0839560d (__TEXT,__text) non-external (was a private external) _Load
00007ffb083ac5e0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffb083ac698 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffb083b1645 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffb083b16ac (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffb083ae888 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffb083b1ec8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffb083b14ac (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffb083b16f4 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffb413a2460 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffb413a2100 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffb413a2680 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffb413a27c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffb413a22c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffb413a23c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffb413a28c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffb413a2430 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffb082c13b6 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffb082c117e (__TEXT,__text) external _PPParserAttachStream
00007ffb082c1000 (__TEXT,__text) external _PPParserAttachString
00007ffb082caed9 (__TEXT,__text) external _PPParserBuildErrorString
00007ffb082c0f06 (__TEXT,__text) external _PPParserCreate
00007ffb082c1ab1 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffb082c97c0 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffb082c10d0 (__TEXT,__text) external _PPParserFree
00007ffb082c178d (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffb082cbfdb (__TEXT,__text) external _PPParserGetErrorString
00007ffb082cbff2 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffb082c1af0 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffb082cbf90 (__TEXT,__text) external _PPParserGetLimits
00007ffb082cbfce (__TEXT,__text) external _PPParserGetOptions
00007ffb082c1840 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffb082c1bf3 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffb082cbfe8 (__TEXT,__text) external _PPParserGetStream
00007ffb082c007c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffb082c00ab (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffb082c0162 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffb082c00ed (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffb082cb061 (__TEXT,__text) non-external _PPParserInherit
00007ffb082c0f81 (__TEXT,__text) external _PPParserInit
00007ffb082cc0d8 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffb082c1147 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffb082bfcc0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffb082bfce4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffb082bfe55 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffb082bff38 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffb082bfddf (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffb082bfdab (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffb082bfeb3 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffb082cc07d (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffb082c9c24 (__TEXT,__text) external _PPParserParse
00007ffb082c2be4 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffb082c72c0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffb082c8827 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffb082c95a4 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffb082c2505 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffb082c55e4 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffb082c6289 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffb082c2383 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffb082c748b (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffb082c2616 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffb082c7838 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffb082c6c36 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffb082cbea8 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffb082c28e7 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffb082c7102 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffb082c9278 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffb082c8929 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffb082cb1e5 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffb082c1d71 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffb082c6426 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffb082c6aac (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffb082c35ba (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffb082c5400 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffb082c2756 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffb082c6e20 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffb082c7c41 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffb082cb2fc (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffb082c81ad (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffb082c7ff2 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffb082c3340 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffb082c84b0 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffb082cb0bd (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffb082c02fe (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffb082c17ea (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffb082c1a4a (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffb082c0da8 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffb082c0186 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffb082c0d0a (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffb082c0e93 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffb082c0ecc (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffb082c0df3 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffb082cbf9d (__TEXT,__text) external _PPParserSetLimits
00007ffb082cbf83 (__TEXT,__text) external _PPParserSetPrefs
00007ffb082c0f87 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffb082c2da6 (__TEXT,__text) non-external _PPParserValidateName
00007ffb083f3f2d (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffb083f4039 (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffb083f454c (__TEXT,__text) external _PPStreamAddConstant
00007ffb083f4454 (__TEXT,__text) external _PPStreamAddLabel
00007ffb083f4147 (__TEXT,__text) external _PPStreamAddOperation
00007ffb083f4623 (__TEXT,__text) external _PPStreamAddOption
00007ffb083f4093 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffb083f3f85 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffb083f3fdf (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffb083f45c9 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffb083f3d01 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffb083f3d5b (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffb083f3e79 (__TEXT,__text) external _PPStreamAddTempUsage
00007ffb083f3ed3 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffb083f40ed (__TEXT,__text) external _PPStreamAddTexImage
00007ffb083f51df (__TEXT,__text) external _PPStreamAttachStream
00007ffb083f3429 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffb083f5976 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffb083f3510 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffb083f3e56 (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffb083f344b (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffb083f3720 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffb083f3a1c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffb083f3aac (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffb083f35d4 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffb083f35f8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffb083f3755 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffb083f3b0c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffb083f3919 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffb083f37ee (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffb083f3791 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffb083f383b (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffb083f3879 (__TEXT,__text) external _PPStreamChunkListSort
00007ffb083f5825 (__TEXT,__text) external _PPStreamCompare
00007ffb083f3c10 (__TEXT,__text) external _PPStreamCreate
00007ffb083f3db5 (__TEXT,__text) external _PPStreamFree
00007ffb083f4678 (__TEXT,__text) external _PPStreamGetStream
00007ffb083f51bd (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffb083f434d (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffb083f422a (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffb083f343a (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffb083f5a3d (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffb083f3418 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffb083f44e8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffb083f6136 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffb083f6018 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffb082cd80e (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffb082ce4e8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffb083f507c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffb083f49de (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffb082ce682 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffb082ce5ff (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffb083f5199 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffb082ceaac (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffb082cee77 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffb082ceccc (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffb082cedc5 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffb083f51b3 (__TEXT,__text) external _PPStreamTokenFree
00007ffb082cd7e2 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffb082cd790 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffb08426520 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffb084265e0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffb084266b0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffb413a2ac0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffb082cef16 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffb413a2f70 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffb084282d0 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffb084282e0 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffb08428320 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffb084282f0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffb083fea9c (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffb083fe9fb (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffb083b1f78 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffb083b1954 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffb08407ee0 (__TEXT,__text) non-external _RecordFunctionCall
00007ffb083b181f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffb083fd527 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffb083fd4b7 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffb083fbc5b (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffb083fbbf6 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffb083fe176 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffb083fd0f5 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffb083fe30d (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffb083fe128 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffb083fb940 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffb083fbcb1 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffb083fbd29 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffb0840416f (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffb082cc046 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffb083b193a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffb083b0930 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffb083b0ad9 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffb083af834 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffb083b0c7b (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffb0839551b (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffb083a2ebe (__TEXT,__text) external _ShAttributeBindingRequest
00007ffb083a2e29 (__TEXT,__text) external _ShCleanup
00007ffb083a286c (__TEXT,__text) external _ShCompile
00007ffb083a249f (__TEXT,__text) external _ShConstructCompiler
00007ffb083a2529 (__TEXT,__text) external _ShConstructLinker
00007ffb083a25ef (__TEXT,__text) external _ShDestruct
00007ffb083a2861 (__TEXT,__text) external _ShFinalize
00007ffb083a3eb7 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffb083a36c7 (__TEXT,__text) external _ShGetActiveAttrib
00007ffb083a339e (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffb083a3389 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffb083a335b (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffb083a517b (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffb083a573b (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffb083a567a (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffb083a5521 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffb083a4f88 (__TEXT,__text) external _ShGetActiveUniform
00007ffb083a4773 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffb083a43c0 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffb083a4a00 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffb083a4c30 (__TEXT,__text) external _ShGetActiveUniformName
00007ffb083a3829 (__TEXT,__text) external _ShGetAttribLocation
00007ffb083a35b2 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffb083a57b2 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffb083a57c7 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffb083a38b5 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffb083a4021 (__TEXT,__text) external _ShGetFragDataLocation
00007ffb083a2e3e (__TEXT,__text) external _ShGetInfoLog
00007ffb083a57db (__TEXT,__text) external _ShGetInteger
00007ffb083a3b50 (__TEXT,__text) external _ShGetLinkerPPStream
00007ffb083a528b (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffb083a52d9 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffb083a4229 (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffb083a4e51 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffb083a3615 (__TEXT,__text) external _ShGetMaxAttributeLength
00007ffb083a3dc5 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00007ffb083a3025 (__TEXT,__text) external _ShGetNumActiveAttributes
00007ffb083a494e (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
