00000000000381d0 (__DATA,__data) external _NDR_record
000000000002b95c (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.2
000000000000c498 (__TEXT,__text) external ___delete
0000000000003f68 (__TEXT,__text) external ___disable_threadsignal
0000000000001dd8 (__TEXT,__text) external ___error
0000000000007f20 (__TEXT,__text) external ___exit
0000000000005830 (__TEXT,__text) external ___fchmod
00000000000067f4 (__TEXT,__text) external ___fchmod_extended
0000000000001f44 (__TEXT,__text) external ___fcntl
0000000000005414 (__TEXT,__text) external ___fcntl_nocancel
00000000000082ac (__TEXT,__text) external ___fork
000000000002958c (__TEXT,__text) external ___fs_snapshot
000000000002a728 (__TEXT,__text) external ___fstat
00000000000067cc (__TEXT,__text) external ___fstat64_extended
00000000000295b4 (__TEXT,__text) external ___fstat_extended
000000000002a778 (__TEXT,__text) external ___fstatat
000000000002a7c8 (__TEXT,__text) external ___fstatfs
00000000000295dc (__TEXT,__text) external ___fsync_nocancel
00000000000099d4 (__TEXT,__text) external ___get_remove_counter
0000000000001df8 (__TEXT,__text) external ___getattrlist
0000000000002f34 (__TEXT,__text) external ___getdirentries64
000000000002a8b8 (__TEXT,__text) external ___getfsstat
00000000000066d8 (__TEXT,__text) external ___gethostuuid
000000000000be84 (__TEXT,__text) external ___getlogin
0000000000005740 (__TEXT,__text) external ___getpeername
00000000000019b8 (__TEXT,__text) external ___getpid
00000000000035c8 (__TEXT,__text) external ___getrlimit
0000000000029604 (__TEXT,__text) external ___getsgroups
000000000000835c (__TEXT,__text) external ___getsockname
0000000000002e20 (__TEXT,__text) external ___gettid
0000000000004f64 (__TEXT,__text) external ___gettimeofday
0000000000004f3c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000002962c (__TEXT,__text) external ___getwgroups
0000000000029654 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000004900 (__TEXT,__text) external ___guarded_open_np
000000000002967c (__TEXT,__text) external ___identitysvc
0000000000004d1c (__TEXT,__text) external ___inc_remove_counter
000000000000be5c (__TEXT,__text) external ___initgroups
00000000000055ac (__TEXT,__text) external ___ioctl
00000000000058a4 (__TEXT,__text) external ___iopolicysys
00000000000296a4 (__TEXT,__text) external ___kdebug_trace
0000000000003d58 (__TEXT,__text) external ___kdebug_trace64
00000000000296cc (__TEXT,__text) external ___kdebug_trace_string
000000000000694c (__TEXT,__text) external ___kdebug_typefilter
000000000002c360 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000000002c328 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000000008910 (__TEXT,__text) external ___kill
0000000000007204 (__TEXT,__text) external ___kqueue_workloop_ctl
0000000000006894 (__TEXT,__text) external ___lchown
0000000000006974 (__TEXT,__text) external ___libkernel_init
000000000000c7f4 (__TEXT,__text) external ___libkernel_init_late
0000000000006bb0 (__TEXT,__text) external ___libkernel_platform_init
00000000000019a8 (__TEXT,__text) external ___libkernel_voucher_init
0000000000008eec (__TEXT,__text) external ___listen
00000000000296f4 (__TEXT,__text) external ___log_data
0000000000002c00 (__TEXT,__text) external ___lseek
000000000002aa48 (__TEXT,__text) external ___lstat
0000000000006750 (__TEXT,__text) external ___lstat64_extended
000000000002971c (__TEXT,__text) external ___lstat_extended
0000000000029744 (__TEXT,__text) external ___mac_execve
000000000002976c (__TEXT,__text) external ___mac_get_fd
0000000000029794 (__TEXT,__text) external ___mac_get_file
00000000000297bc (__TEXT,__text) external ___mac_get_link
00000000000297e4 (__TEXT,__text) external ___mac_get_mount
000000000002980c (__TEXT,__text) external ___mac_get_pid
0000000000029834 (__TEXT,__text) external ___mac_get_proc
000000000002985c (__TEXT,__text) external ___mac_getfsstat
0000000000029884 (__TEXT,__text) external ___mac_mount
00000000000298ac (__TEXT,__text) external ___mac_set_fd
00000000000298d4 (__TEXT,__text) external ___mac_set_file
00000000000298fc (__TEXT,__text) external ___mac_set_link
0000000000008e98 (__TEXT,__text) external ___mac_set_proc
0000000000002cf0 (__TEXT,__text) external ___mac_syscall
0000000000029924 (__TEXT,__text) external ___mach_bridge_remote_time
000000000002994c (__TEXT,__text) external ___mach_eventlink_signal
0000000000029974 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000002999c (__TEXT,__text) external ___mach_eventlink_wait_until
00000000000299c4 (__TEXT,__text) external ___memorystatus_available_memory
00000000000299ec (__TEXT,__text) external ___microstackshot
0000000000029a14 (__TEXT,__text) external ___mkdir_extended
0000000000029a3c (__TEXT,__text) external ___mkfifo_extended
0000000000002080 (__TEXT,__text) external ___mmap
0000000000004f14 (__TEXT,__text) external ___mprotect
0000000000029a64 (__TEXT,__text) external ___msgctl
0000000000029a8c (__TEXT,__text) external ___msgrcv_nocancel
0000000000029ab4 (__TEXT,__text) external ___msgsnd_nocancel
0000000000029adc (__TEXT,__text) external ___msgsys
0000000000007180 (__TEXT,__text) external ___msync
0000000000029b04 (__TEXT,__text) external ___msync_nocancel
0000000000004a64 (__TEXT,__text) external ___munmap
0000000000029b2c (__TEXT,__text) external ___nexus_create
0000000000029b54 (__TEXT,__text) external ___nexus_deregister
0000000000029b7c (__TEXT,__text) external ___nexus_destroy
0000000000029ba4 (__TEXT,__text) external ___nexus_get_opt
0000000000029bcc (__TEXT,__text) external ___nexus_open
0000000000029bf4 (__TEXT,__text) external ___nexus_register
0000000000029c1c (__TEXT,__text) external ___nexus_set_opt
0000000000029c44 (__TEXT,__text) external ___old_semwait_signal
0000000000001e48 (__TEXT,__text) external ___open
00000000000067a4 (__TEXT,__text) external ___open_dprotected_np
000000000000c41c (__TEXT,__text) external ___open_extended
0000000000001fbc (__TEXT,__text) external ___open_nocancel
0000000000002b94 (__TEXT,__text) external ___openat
00000000000068e4 (__TEXT,__text) external ___openat_nocancel
0000000000038258 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000000000148f0 (__TEXT,__text) external ___os_nexus_flow_add
0000000000014968 (__TEXT,__text) external ___os_nexus_flow_del
0000000000014758 (__TEXT,__text) external ___os_nexus_ifattach
0000000000014858 (__TEXT,__text) external ___os_nexus_ifdetach
0000000000005048 (__TEXT,__text) external ___persona
00000000000071a8 (__TEXT,__text) external ___pipe
0000000000029c6c (__TEXT,__text) external ___poll_nocancel
0000000000007cf8 (__TEXT,__text) external ___posix_spawn
0000000000029c94 (__TEXT,__text) external ___pread_nocancel
0000000000029cbc (__TEXT,__text) external ___preadv_nocancel
0000000000002720 (__TEXT,__text) external ___proc_info
0000000000029ce4 (__TEXT,__text) external ___proc_info_extended_id
00000000000083cc (__TEXT,__text) external ___process_policy
0000000000006f74 (__TEXT,__text) external ___pselect
0000000000029d0c (__TEXT,__text) external ___pselect_nocancel
00000000000048ac (__TEXT,__text) external ___psynch_cvbroad
0000000000004fb8 (__TEXT,__text) external ___psynch_cvclrprepost
0000000000005bf8 (__TEXT,__text) external ___psynch_cvsignal
0000000000004884 (__TEXT,__text) external ___psynch_cvwait
0000000000003fb8 (__TEXT,__text) external ___psynch_mutexdrop
0000000000003e04 (__TEXT,__text) external ___psynch_mutexwait
0000000000029d34 (__TEXT,__text) external ___psynch_rw_downgrade
0000000000029d5c (__TEXT,__text) external ___psynch_rw_longrdlock
00000000000062f8 (__TEXT,__text) external ___psynch_rw_rdlock
00000000000062d0 (__TEXT,__text) external ___psynch_rw_unlock
0000000000029d84 (__TEXT,__text) external ___psynch_rw_unlock2
0000000000029dac (__TEXT,__text) external ___psynch_rw_upgrade
00000000000062a8 (__TEXT,__text) external ___psynch_rw_wrlock
0000000000029dd4 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000c154 (__TEXT,__text) external ___pthread_canceled
0000000000007acc (__TEXT,__text) external ___pthread_chdir
0000000000007aa4 (__TEXT,__text) external ___pthread_fchdir
0000000000008e48 (__TEXT,__text) external ___pthread_kill
0000000000029dfc (__TEXT,__text) external ___pthread_markcancel
0000000000007e9c (__TEXT,__text) external ___pthread_sigmask
0000000000009150 (__TEXT,__text) external ___ptrace
0000000000029e24 (__TEXT,__text) external ___pwrite_nocancel
0000000000029e4c (__TEXT,__text) external ___pwritev_nocancel
00000000000031e4 (__TEXT,__text) external ___read_nocancel
0000000000029e74 (__TEXT,__text) external ___readv_nocancel
0000000000029e9c (__TEXT,__text) external ___reboot
0000000000005624 (__TEXT,__text) external ___recvfrom
0000000000005508 (__TEXT,__text) external ___recvfrom_nocancel
0000000000005978 (__TEXT,__text) external ___recvmsg
0000000000029ec4 (__TEXT,__text) external ___recvmsg_nocancel
000000000003c6c0 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000000004cf4 (__TEXT,__text) external ___rename
0000000000029eec (__TEXT,__text) external ___renameat
0000000000029f14 (__TEXT,__text) external ___renameatx_np
0000000000004d5c (__TEXT,__text) external ___rmdir
0000000000029744 (__TEXT,__text) external ___sandbox_me
0000000000029884 (__TEXT,__text) external ___sandbox_mm
0000000000002cf0 (__TEXT,__text) external ___sandbox_ms
0000000000008e98 (__TEXT,__text) external ___sandbox_msp
000000000000b0b8 (__TEXT,__text) external ___select
00000000000054e0 (__TEXT,__text) external ___select_nocancel
0000000000009c4c (__TEXT,__text) external ___sem_open
0000000000029f3c (__TEXT,__text) external ___sem_wait_nocancel
0000000000029f64 (__TEXT,__text) external ___semctl
0000000000029f8c (__TEXT,__text) external ___semsys
00000000000046b4 (__TEXT,__text) external ___semwait_signal
0000000000007ec4 (__TEXT,__text) external ___semwait_signal_nocancel
000000000000690c (__TEXT,__text) external ___sendmsg
0000000000005558 (__TEXT,__text) external ___sendmsg_nocancel
00000000000055fc (__TEXT,__text) external ___sendto
000000000000548c (__TEXT,__text) external ___sendto_nocancel
000000000000480c (__TEXT,__text) external ___setattrlist
000000000000be34 (__TEXT,__text) external ___setlogin
00000000000089c4 (__TEXT,__text) external ___setpriority
0000000000029fb4 (__TEXT,__text) external ___setregid
0000000000029fdc (__TEXT,__text) external ___setreuid
0000000000003e34 (__TEXT,__text) external ___setrlimit
000000000002a004 (__TEXT,__text) external ___setsgroups
00000000000099e8 (__TEXT,__text) external ___settid
000000000002a02c (__TEXT,__text) external ___settid_with_pid
000000000002a054 (__TEXT,__text) external ___settimeofday
000000000002a07c (__TEXT,__text) external ___setwgroups
0000000000009cd8 (__TEXT,__text) external ___sfi_ctl
000000000002a0a4 (__TEXT,__text) external ___sfi_pidctl
000000000002a0cc (__TEXT,__text) external ___shared_region_check_np
000000000002a0f4 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000000002a11c (__TEXT,__text) external ___shared_region_map_and_slide_np
0000000000002b44 (__TEXT,__text) external ___shm_open
000000000002a144 (__TEXT,__text) external ___shmctl
000000000002a16c (__TEXT,__text) external ___shmsys
000000000000722c (__TEXT,__text) external ___sigaction
0000000000004794 (__TEXT,__text) external ___sigaltstack
000000000000b910 (__TEXT,__text) external ___sigreturn
000000000002a194 (__TEXT,__text) external ___sigsuspend
0000000000007ef8 (__TEXT,__text) external ___sigsuspend_nocancel
000000000000b960 (__TEXT,__text) external ___sigwait
0000000000005530 (__TEXT,__text) external ___socketpair
000000000002a1bc (__TEXT,__text) external ___stack_snapshot_with_config
000000000002b330 (__TEXT,__text) external ___stat
0000000000006700 (__TEXT,__text) external ___stat64_extended
000000000002a1e4 (__TEXT,__text) external ___stat_extended
000000000002b358 (__TEXT,__text) external ___statfs
0000000000003618 (__TEXT,__text) external ___syscall
0000000000038240 (__DATA,__common) external ___syscall_logger
0000000000002a48 (__TEXT,__text) external ___sysctl
0000000000002c64 (__TEXT,__text) external ___sysctlbyname
000000000002a20c (__TEXT,__text) external ___telemetry
000000000000a968 (__TEXT,__text) external ___terminate_with_payload
0000000000003024 (__TEXT,__text) external ___thread_selfid
000000000002a234 (__TEXT,__text) external ___thread_selfusage
000000000000304c (__TEXT,__text) external ___ulock_wait
000000000002a25c (__TEXT,__text) external ___ulock_wait2
0000000000003108 (__TEXT,__text) external ___ulock_wake
000000000002a284 (__TEXT,__text) external ___umask_extended
000000000000509c (__TEXT,__text) external ___unlink
0000000000009fb0 (__TEXT,__text) external ___unlinkat
000000000002a2ac (__TEXT,__text) external ___vfork
0000000000007e38 (__TEXT,__text) external ___wait4
000000000000c3f4 (__TEXT,__text) external ___wait4_nocancel
000000000002a318 (__TEXT,__text) external ___waitid_nocancel
00000000000092a4 (__TEXT,__text) external ___work_interval_ctl
0000000000002f5c (__TEXT,__text) external ___workq_kernreturn
0000000000002f84 (__TEXT,__text) external ___workq_open
0000000000004fe0 (__TEXT,__text) external ___write_nocancel
000000000002a340 (__TEXT,__text) external ___writev_nocancel
0000000000038238 (__DATA,__common) external __cpu_capabilities
000000000003823c (__DATA,__common) external __cpu_has_altivec
000000000003c010 (__DATA_DIRTY,__data) external __current_pid
000000000003c020 (__DATA_DIRTY,__common) non-external (was a private external) __dlsym
0000000000007f20 (__TEXT,__text) external __exit
0000000000006b60 (__TEXT,__text) external __get_cpu_capabilities
0000000000038250 (__DATA,__bss) non-external __gethostuuid_callback
000000000000fa0c (__TEXT,__text) external __getprivatesystemidentifier
0000000000019cc4 (__TEXT,__text) external __host_page_size
0000000000006b5c (__TEXT,__text) external __init_cpu_capabilities
000000000001ac34 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000000001bea8 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000000001caf0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000000001bd8c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000000001c9a0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
000000000000136c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000000001d690 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000000000013c0 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000000001c0f8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000001378 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000000001bfdc (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000000001d7e4 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000000000013cc (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000000001d080 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000000001d42c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000000000013b4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000000000a41c (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000000000acd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000001474 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000000006380 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000004580 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000000000bfd4 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000000001cd74 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000000001d904 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000001480 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000000001dda4 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000000001d310 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000000000013a8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000000001c758 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
000000000000139c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000000001d1c8 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000000001d548 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000000001dfec (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000000001c214 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000001384 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000000001c63c (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000001390 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000000001bac8 (__TEXT,__text) external __kernelrpc_mach_port_names
000000000001c334 (__TEXT,__text) external __kernelrpc_mach_port_peek
000000000001bc70 (__TEXT,__text) external __kernelrpc_mach_port_rename
00000000000050ec (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000001564 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000000003b80 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000beb0 (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000000001c520 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000000001c884 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000000001db48 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000000001cea8 (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000000001dc70 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000000001dec8 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000000009340 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000001558 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000000001da28 (__TEXT,__text) external __kernelrpc_mach_port_unguard
000000000000148c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000000000250a0 (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000000001e188 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000000001324 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000000001e2c8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
000000000000133c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000002748 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000000001360 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000000001e3e8 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000001354 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000000001f23c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000001330 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000000001e634 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000000001edec (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000000001f680 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000000028dd0 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000000001cc58 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000000000060c4 (__TEXT,__text) external __kernelrpc_thread_policy
0000000000007024 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000000026e74 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000c218 (__TEXT,__text) external __kernelrpc_vm_map
0000000000028248 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000000009ac8 (__TEXT,__text) external __kernelrpc_vm_read
00000000000037cc (__TEXT,__text) external __kernelrpc_vm_remap
0000000000028384 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000c8fc (__TEXT,__text) non-external (was a private external) __libkernel_bzero
000000000003c018 (__DATA_DIRTY,__common) non-external (was a private external) __libkernel_functions
0000000000034000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000c994 (__TEXT,__text) non-external (was a private external) __libkernel_memmove
000000000000c908 (__TEXT,__text) non-external (was a private external) __libkernel_memset
000000000000c8c4 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
0000000000006b88 (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
000000000000cccc (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
000000000003c000 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000000000cd08 (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
000000000000c704 (__TEXT,__text) non-external (was a private external) __libkernel_strlen
000000000003c008 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000000002c300 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000000000e2ec (__TEXT,__text) non-external (was a private external) __mach_continuous_time
00000000000032e4 (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
0000000000034878 (__DATA_CONST,__const) external __mach_errors
000000000000e808 (__TEXT,__text) external __mach_fork_child
000000000000eb6c (__TEXT,__text) external __mach_snprintf
000000000000e9f4 (__TEXT,__text) external __mach_vsnprintf
000000000003c068 (__DATA_DIRTY,__common) external __os_alloc_once_table
0000000000038200 (__DATA,__common) external __os_xbs_chrooted
000000000000770c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000000006234 (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
0000000000002bec (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
0000000000006b74 (__TEXT,__text) non-external (was a private external) __pthread_set_self
000000000000fa10 (__TEXT,__text) external __register_gethostuuid_callback
000000000000caa4 (__TEXT,__text) non-external (was a private external) __system_version_compat_check_path_suffix
000000000000cb34 (__TEXT,__text) non-external (was a private external) __system_version_compat_open_shim
000000000003c05c (__DATA_DIRTY,__common) non-external (was a private external) __task_reply_port
000000000002b5b0 (__TEXT,__text) external __thread_set_tsd_base
000000000002b67c (__TEXT,__text) non-external _abort
000000000002b69c (__TEXT,__text) non-external _abort
000000000002b6bc (__TEXT,__text) non-external _abort
000000000002b6dc (__TEXT,__text) non-external _abort
000000000002b930 (__TEXT,__text) external _abort_with_payload
000000000002b8a8 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000000002b88c (__TEXT,__text) external _abort_with_reason
0000000000008f14 (__TEXT,__text) external _accept
00000000000293ac (__TEXT,__text) external _accept$NOCANCEL
0000000000001e20 (__TEXT,__text) external _access
00000000000293d4 (__TEXT,__text) external _accessx_np
000000000002a368 (__TEXT,__text) external _acct
0000000000025a0c (__TEXT,__text) external _act_get_state
0000000000025bd8 (__TEXT,__text) external _act_set_state
000000000002a390 (__TEXT,__text) external _adjtime
000000000002a3b8 (__TEXT,__text) external _aio_cancel
000000000002a3e0 (__TEXT,__text) external _aio_error
000000000002a408 (__TEXT,__text) external _aio_fsync
000000000002a430 (__TEXT,__text) external _aio_read
000000000002a458 (__TEXT,__text) external _aio_return
000000000002a480 (__TEXT,__text) external _aio_suspend
00000000000293fc (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000002a4a8 (__TEXT,__text) external _aio_write
000000000002a4d0 (__TEXT,__text) external _audit
000000000000b938 (__TEXT,__text) external _audit_session_join
000000000000b7b4 (__TEXT,__text) external _audit_session_port
0000000000005344 (__TEXT,__text) external _audit_session_self
000000000002a4f8 (__TEXT,__text) external _auditctl
0000000000009c9c (__TEXT,__text) external _auditon
0000000000006dec (__TEXT,__text) non-external (was a private external) _bcopy
0000000000008480 (__TEXT,__text) external _bind
000000000003c028 (__DATA_DIRTY,__common) external _bootstrap_port
000000000000c6b4 (__TEXT,__text) non-external (was a private external) _bzero
0000000000002bbc (__TEXT,__text) external _cerror
0000000000001db0 (__TEXT,__text) external _cerror_nocancel
0000000000005290 (__TEXT,__text) external _change_fdguard_np
0000000000002d18 (__TEXT,__text) external _chdir
0000000000008938 (__TEXT,__text) external _chflags
0000000000004d84 (__TEXT,__text) external _chmod
0000000000008458 (__TEXT,__text) external _chown
000000000002a520 (__TEXT,__text) external _chroot
000000000001670c (__TEXT,__text) external _clock_alarm
00000000000164f0 (__TEXT,__text) external _clock_alarm_reply
0000000000016558 (__TEXT,__text) external _clock_get_attributes
0000000000006558 (__TEXT,__text) external _clock_get_time
0000000000016394 (__TEXT,__text) external _clock_set_attributes
000000000001627c (__TEXT,__text) external _clock_set_time
000000000000c17c (__TEXT,__text) external _clock_sleep
0000000000001534 (__TEXT,__text) external _clock_sleep_trap
000000000000a2f0 (__TEXT,__text) external _clonefile
0000000000005e48 (__TEXT,__text) external _clonefileat
0000000000001f6c (__TEXT,__text) external _close
0000000000002b6c (__TEXT,__text) external _close$NOCANCEL
0000000000013a14 (__TEXT,__text) external _coalition_create
0000000000013a7c (__TEXT,__text) external _coalition_info_resource_usage
0000000000013ae4 (__TEXT,__text) external _coalition_info_set_efficiency
0000000000013ab0 (__TEXT,__text) external _coalition_info_set_name
0000000000013b1c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000000013a50 (__TEXT,__text) external _coalition_reap
0000000000013a24 (__TEXT,__text) external _coalition_terminate
00000000000055d4 (__TEXT,__text) external _connect
0000000000005464 (__TEXT,__text) external _connect$NOCANCEL
000000000000564c (__TEXT,__text) external _connectx
0000000000002e70 (__TEXT,__text) external _csops
0000000000001d88 (__TEXT,__text) external _csops_audittoken
0000000000001e70 (__TEXT,__text) external _csr_check
0000000000009140 (__TEXT,__text) external _csr_get_active_config
00000000000015c4 (__TEXT,__text) external _debug_control_port_for_pid
00000000000381f8 (__DATA,__data) external _denap_boost_assertion_token
000000000002a548 (__TEXT,__text) external _disconnectx
0000000000007564 (__TEXT,__text) non-external _do_compat
00000000000056ec (__TEXT,__text) external _dup
0000000000009008 (__TEXT,__text) external _dup2
00000000000357e0 (__DATA_CONST,__const) non-external _err_codes_auth
