000000018243ec10 (__DATA,__data) non-external _C
000000018030b70c (__TEXT,__text) external ____toupper_l
0000000180347cb8 (__TEXT,__text) non-external (was a private external) ___abort
00000001802f1ce4 (__TEXT,__text) external ___add_ovflpage
00000001802f1a58 (__TEXT,__text) external ___addel
00000001802f88b8 (__TEXT,__text) external ___any_on_D2A
00000001803470e0 (__TEXT,__text) external ___assert_rtn
000000018244b530 (__DATA,__bss) non-external ___atexit
000000018032c134 (__TEXT,__text) non-external (was a private external) ___atexit_init
000000018244b538 (__DATA,__bss) non-external ___atexit_new_registration
00000001802f842c (__TEXT,__text) external ___b2d_D2A
00000001802f01f4 (__TEXT,__text) external ___big_delete
00000001802eff40 (__TEXT,__text) external ___big_insert
00000001802f08b4 (__TEXT,__text) external ___big_keydata
00000001802f0540 (__TEXT,__text) external ___big_return
00000001802f0a34 (__TEXT,__text) external ___big_split
0000000180348f30 (__TEXT,__const) external ___bigtens_D2A
00000001802eae58 (__TEXT,__text) external ___bt_close
00000001802eeaa8 (__TEXT,__text) external ___bt_cmp
00000001802eeb6c (__TEXT,__text) external ___bt_defcmp
00000001802eebb0 (__TEXT,__text) external ___bt_defpfx
00000001802eb300 (__TEXT,__text) external ___bt_delete
00000001802eb8f0 (__TEXT,__text) external ___bt_dleaf
00000001802ec768 (__TEXT,__text) external ___bt_fd
00000001802ed6b4 (__TEXT,__text) non-external ___bt_first
00000001802eca70 (__TEXT,__text) external ___bt_free
00000001802ebf84 (__TEXT,__text) external ___bt_get
00000001802eca98 (__TEXT,__text) external ___bt_new
00000001802ec074 (__TEXT,__text) external ___bt_open
00000001802ebccc (__TEXT,__text) non-external ___bt_pdelete
00000001802eaff4 (__TEXT,__text) external ___bt_pgin
00000001802eb18c (__TEXT,__text) external ___bt_pgout
00000001802ecb14 (__TEXT,__text) external ___bt_put
00000001802ebef4 (__TEXT,__text) non-external ___bt_relink
00000001802ee914 (__TEXT,__text) external ___bt_ret
00000001802ed024 (__TEXT,__text) external ___bt_search
00000001802ed260 (__TEXT,__text) external ___bt_seq
00000001802ed658 (__TEXT,__text) external ___bt_setcur
00000001802ed8d4 (__TEXT,__text) external ___bt_split
00000001802eaf18 (__TEXT,__text) external ___bt_sync
00000001802f0f98 (__TEXT,__text) external ___buf_free
00000001802f0f68 (__TEXT,__text) non-external (was a private external) ___buf_init
000000018243ec18 (__DATA,__data) non-external ___c_locale
0000000180339fcc (__TEXT,__text) non-external ___calc_left_pad
00000001802efa64 (__TEXT,__text) external ___call_hash
000000018243fa98 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00000001803464d4 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00000001803464f0 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001803464d0 (__TEXT,__text) non-external (was a private external) ___chk_init
000000018034650c (__TEXT,__text) non-external (was a private external) ___chk_overlap
000000018244b670 (__DATA,__common) external ___cleanup
00000001802f8270 (__TEXT,__text) external ___cmp_D2A
0000000180306c40 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180306df8 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180306f64 (__TEXT,__text) external ___collate_equiv_match
0000000180307264 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00000001803063ec (__TEXT,__text) non-external (was a private external) ___collate_err
000000018243f2d8 (__DATA,__data) external ___collate_load_error
0000000180305a58 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001824409e0 (__DATA,__bss) non-external ___collate_load_tables.cache
000000018030675c (__TEXT,__text) external ___collate_lookup
00000001803064a8 (__TEXT,__text) external ___collate_lookup_l
000000018030692c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180306838 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00000001803073a0 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001824409e8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001824409f0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00000001803061a8 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180306398 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180306a08 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001802e0464 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001802f882c (__TEXT,__text) external ___copybits_D2A
0000000180333e14 (__TEXT,__text) non-external ___cvt
000000018244b5a8 (__DATA,__bss) non-external ___cvt.s
000000018032c2f4 (__TEXT,__text) external ___cxa_atexit
000000018032c5f4 (__TEXT,__text) external ___cxa_finalize
000000018032c328 (__TEXT,__text) external ___cxa_finalize_ranges
00000001802f852c (__TEXT,__text) external ___d2b_D2A
000000018244b628 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00000001802eed18 (__TEXT,__text) non-external ___dberr
00000001802eecc0 (__TEXT,__text) external ___dbpanic
00000001802f9d08 (__TEXT,__text) external ___decrement_D2A
00000001824524a0 (__AUTH,__data) external ___default_hash
00000001802f11a8 (__TEXT,__text) external ___delpair
000000018030add0 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001802f82c8 (__TEXT,__text) external ___diff_D2A
0000000182440738 (__DATA,__bss) non-external ___dirhelper_func
00000001802f4ea0 (__TEXT,__text) external ___dtoa
000000018244b690 (__DATA,__common) non-external (was a private external) ___env_owned
000000018032c9c8 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
000000018244b53c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180328e60 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180312d48 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00000001802ef900 (__TEXT,__text) external ___expand_table
0000000182442458 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
000000018030f934 (__TEXT,__text) external ___fflush
000000018030fdcc (__TEXT,__text) external ___fgetwc
00000001803136f0 (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001802f0374 (__TEXT,__text) external ___find_bigpair
00000001802f04a4 (__TEXT,__text) external ___find_last_page
0000000180314914 (__TEXT,__text) non-external (was a private external) ___find_warguments
000000018032c910 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001803490d0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
000000018030790c (__TEXT,__text) external ___fix_locale_grouping_str
00000001803079d4 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180310b60 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180311120 (__TEXT,__text) external ___fread
00000001802f268c (__TEXT,__text) external ___free_ovflpage
00000001802f4d44 (__TEXT,__text) external ___freedtoa
000000018243fa9c (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001802e10ec (__TEXT,__text) non-external ___fts_open
00000001802f5d40 (__TEXT,__text) external ___gdtoa
000000018244b5d8 (__DATA,__common) external ___gdtoa_locks
00000001802f0bd4 (__TEXT,__text) external ___get_buf
00000001803085d8 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180308ba0 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180308f4c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180328438 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
000000018030ab9c (__TEXT,__text) non-external (was a private external) ___get_locale_env
00000001802f2104 (__TEXT,__text) external ___get_page
00000001802ffedc (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182442440 (__DATA,__bss) non-external ___getevp.predicate
00000001802f6ebc (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___gettimeofday (from libsystem_kernel)
000000018243e640 (__DATA,__data) non-external (was a private external) ___global_locale
000000018032be94 (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001802eed20 (__TEXT,__text) external ___hash_open
00000001802f491c (__TEXT,__text) external ___hdtoa
00000001803345d4 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180348e18 (__TEXT,__const) external ___hexdig_D2A
00000001802f79c8 (__TEXT,__text) external ___hexdig_init_D2A
00000001802f79cc (__TEXT,__text) external ___hexnan_D2A
00000001802f7e6c (__TEXT,__text) external ___hi0bits_D2A
00000001802f4c8c (__TEXT,__text) external ___hldtoa
00000001802f7ee4 (__TEXT,__text) external ___i2b_D2A
00000001802f25cc (__TEXT,__text) external ___ibitmap
00000001802f9c58 (__TEXT,__text) external ___increment_D2A
00000001803318a0 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
000000018030a108 (__TEXT,__text) external ___isctype
000000018030a0c8 (__TEXT,__text) external ___istype
000000018030a254 (__TEXT,__text) external ___istype_l
000000018243f251 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180308278 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00000001803348a0 (__TEXT,__text) external ___ldtoa
00000001802ea270 (__TEXT,__text) external ___libc_init
00000001802f7d00 (__TEXT,__text) external ___lo0bits_D2A
0000000180312d90 (__TEXT,__text) non-external ___loadevp
000000018243ec08 (__DATA,__data) non-external (was a private external) ___locale_key
00000001802f1178 (__TEXT,__text) external ___log2
0000000180349c70 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001802f8164 (__TEXT,__text) external ___lshift_D2A
000000018030a068 (__TEXT,__text) external ___maskrune
000000018030a1ec (__TEXT,__text) external ___maskrune_l
00000001802f87e8 (__TEXT,__text) external ___match_D2A
000000018243f2e0 (__DATA,__data) external ___mb_cur_max
000000018243f2e4 (__DATA,__data) external ___mb_sb_limit
000000018031ef88 (__TEXT,__text) non-external ___mbsconv
000000018030946c (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
000000018034677c (__TEXT,__text) external ___memccpy_chk
0000000180346aac (__TEXT,__text) external ___memcpy_chk
00000001803466e8 (__TEXT,__text) external ___memmove_chk
0000000180346550 (__TEXT,__text) external ___memset_chk
0000000180308288 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001824409f8 (__DATA,__bss) non-external ___messages_load_locale.cache
00000001803085f8 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182440a08 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001802f7f14 (__TEXT,__text) external ___mult_D2A
00000001802f7db4 (__TEXT,__text) external ___multadd_D2A
000000018030f1a4 (__TEXT,__text) non-external ___nls_free_resources
0000000180349755 (__TEXT,__const) non-external ___nogrouping
00000001802f4cec (__TEXT,__text) external ___nrv_alloc_D2A
00000001802e78bc (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180308bc0 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182440a18 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
000000018030ae78 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00000001803007a8 (__TEXT,__text) external ___opendir2
00000001803008b0 (__TEXT,__text) non-external ___opendir_common
00000001802ec9a4 (__TEXT,__text) external ___ovfl_delete
00000001802ec7c0 (__TEXT,__text) external ___ovfl_get
00000001802ec8a8 (__TEXT,__text) external ___ovfl_put
000000018031c288 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000182442480 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000182442478 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
000000018243f6e0 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180308044 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
000000018244b5f8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
000000018243f258 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001802f804c (__TEXT,__text) external ___pow5mult_D2A
0000000180348f20 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00000001803374c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180348050 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00000001803358f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180347e74 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180335a34 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180347ea0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180336480 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180347ef8 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00000001803366f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180347f24 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180337cc0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00000001803480d4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180337ca8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180336e5c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180347fcc (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180336f28 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180347ff8 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180337210 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180348024 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180337644 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
000000018034807c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180337950 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001803480a8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180337d68 (__TEXT,__text) non-external (was a private external) ___printf_comp
00000001803384f4 (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180337aac (__TEXT,__text) non-external (was a private external) ___printf_flush
00000001803174f4 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180337bf4 (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180337b50 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180337ae4 (__TEXT,__text) non-external (was a private external) ___printf_puts
000000018033750c (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018033591c (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180335a84 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180347ecc (__TEXT,__text) non-external ___printf_render_float.cold.1
00000001803364b0 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018033678c (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180347f50 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180347fa0 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180337ce8 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180337cb0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180336e94 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180336f50 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180337250 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018033766c (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180337978 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00000001802ffa78 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001824408c0 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00000001802f22e0 (__TEXT,__text) external ___put_page
00000001803497f0 (__TEXT,__const) non-external (was a private external) ___puts_null__
00000001802f4d58 (__TEXT,__text) external ___quorem_D2A
00000001802f874c (__TEXT,__text) external ___ratio_D2A
00000001802f306c (__TEXT,__text) external ___rec_close
00000001802f3360 (__TEXT,__text) external ___rec_delete
00000001802f34ac (__TEXT,__text) external ___rec_dleaf
00000001802f3e88 (__TEXT,__text) external ___rec_fd
00000001802f391c (__TEXT,__text) external ___rec_fmap
00000001802f36e0 (__TEXT,__text) external ___rec_fpipe
00000001802f35d4 (__TEXT,__text) external ___rec_get
00000001802f41a8 (__TEXT,__text) external ___rec_iput
00000001802f3b08 (__TEXT,__text) external ___rec_open
00000001802f3ee0 (__TEXT,__text) external ___rec_put
00000001802f47b4 (__TEXT,__text) external ___rec_ret
00000001802f43e4 (__TEXT,__text) external ___rec_search
00000001802f45b8 (__TEXT,__text) external ___rec_seq
00000001802f3124 (__TEXT,__text) external ___rec_sync
00000001802f3a30 (__TEXT,__text) external ___rec_vmap
00000001802f37f8 (__TEXT,__text) external ___rec_vpipe
00000001802f1070 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00000001802f787c (__TEXT,__text) external ___rshift_D2A
00000001802f9df8 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00000001802f4c90 (__TEXT,__text) external ___rv_alloc_D2A
00000001802f8660 (__TEXT,__text) external ___s2b_D2A
00000001824524a8 (__AUTH,__data) external ___sF
000000018243f3d0 (__DATA,__data) non-external ___sFX
00000001803165f0 (__TEXT,__text) external ___sclose
0000000182440c40 (__DATA,__bss) non-external ___scounted
000000018244b610 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00000001802f9d3c (__TEXT,__text) external ___set_ones_D2A
0000000180331910 (__TEXT,__text) non-external (was a private external) ___setenv_locked
000000018030af98 (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182440bf0 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182440bf8 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
000000018033a07c (__TEXT,__text) non-external ___setup_vars
000000018031074c (__TEXT,__text) external ___sflags
000000018030f7a8 (__TEXT,__text) external ___sflush
00000001803102a4 (__TEXT,__text) external ___sfp
0000000180310630 (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180311e9c (__TEXT,__text) external ___sfvwrite
000000018243f670 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
000000018031048c (__TEXT,__text) external ___sinit
000000018030f9cc (__TEXT,__text) external ___slbexpand
0000000180312a6c (__TEXT,__text) external ___smakebuf
00000001803467e0 (__TEXT,__text) external ___snprintf_chk
000000018034681c (__TEXT,__text) external ___snprintf_object_size_chk
00000001802f1324 (__TEXT,__text) external ___split_page
000000018031f5ec (__TEXT,__text) non-external ___sprint
00000001803469d0 (__TEXT,__text) external ___sprintf_chk
0000000180346a40 (__TEXT,__text) external ___sprintf_object_size_chk
00000001803165a8 (__TEXT,__text) external ___sread
0000000180315fa0 (__TEXT,__text) external ___srefill
0000000180315d88 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180315f30 (__TEXT,__text) non-external (was a private external) ___srefill1
00000001803160d8 (__TEXT,__text) external ___srget
00000001803165e8 (__TEXT,__text) external ___sseek
000000018032bffc (__TEXT,__text) external ___stack_chk_fail
000000018244b630 (__DATA,__common) external ___stack_chk_guard
000000018243f650 (__DATA,__data) external ___stderrp
000000018243f640 (__DATA,__data) external ___stdinp
0000000180346b78 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182442448 (__DATA,__bss) non-external ___stdout_evp
000000018243f648 (__DATA,__data) external ___stdoutp
0000000180346960 (__TEXT,__text) external ___stpcpy_chk
0000000180346ad4 (__TEXT,__text) external ___stpncpy_chk
0000000180346860 (__TEXT,__text) external ___strcat_chk
00000001802f8640 (__TEXT,__text) external ___strcp_D2A
0000000180346710 (__TEXT,__text) external ___strcpy_chk
0000000182440c48 (__DATA,__bss) non-external ___stream_max
000000018244b510 (__DATA,__bss) non-external ___strerror_ebuf
00000001803463f4 (__TEXT,__text) external ___strlcat_chk
0000000180346578 (__TEXT,__text) external ___strlcpy_chk
00000001803465d8 (__TEXT,__text) external ___strncat_chk
0000000180346678 (__TEXT,__text) external ___strncpy_chk
00000001802fa0bc (__TEXT,__text) external ___strtodg
00000001802fbad4 (__TEXT,__text) external ___strtopdd
0000000180349160 (__TEXT,__const) non-external ___strtopdd.fpi0
00000001802fbf74 (__TEXT,__text) external ___sum_D2A
000000018031c25c (__TEXT,__text) external ___svfscanf
000000018031a924 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180349838 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180321b4c (__TEXT,__text) external ___swbuf
0000000180312c84 (__TEXT,__text) external ___swhatbuf
00000001803165c8 (__TEXT,__text) external ___swrite
0000000180321d84 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
000000018243f970 (__DATA,__data) non-external ___systemfn_mutex
000000018243fa58 (__DATA,__data) non-external ___systemfn_mutex
0000000180348f80 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00000001802e4a14 (__TEXT,__text) non-external ___thread_stack_async_pcs
00000001802e47ec (__TEXT,__text) non-external ___thread_stack_pcs
0000000180328458 (__TEXT,__text) non-external (was a private external) ___time_load_locale
000000018244b508 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180348f58 (__TEXT,__const) external ___tinytens_D2A
000000018030a170 (__TEXT,__text) external ___tolower
000000018030a2b8 (__TEXT,__text) external ___tolower_l
000000018030a134 (__TEXT,__text) external ___toupper
000000018030a298 (__TEXT,__text) external ___toupper_l
00000001802f7950 (__TEXT,__text) external ___trailz_D2A
00000001802fc0c0 (__TEXT,__text) external ___ulp_D2A
000000018031a4b0 (__TEXT,__text) non-external ___ultoa
