00007ffb41cfcb70 (__DATA,__common) external _AfterColour
00007ffb0d430ef5 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb0c496cd0 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffb0cb0a0ce (__TEXT,__text) external _LLVMAddAlias
00007ffb0cb0a10e (__TEXT,__text) external _LLVMAddAlias2
00007ffb0d430f8b (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffb0ce82409 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb0d6cf715 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb0ce822d8 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb0cb0a687 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffb0d431762 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb0d430f59 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffb0d430fbd (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb0cb0b49e (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffb0ce8230f (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffb0cb0c882 (__TEXT,__text) external _LLVMAddCase
00007ffb0cb0c8cf (__TEXT,__text) external _LLVMAddClause
00007ffb0ce82341 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb0d8af030 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffb0d8aef98 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffb0d8aeffe (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffb0d8aefca (__TEXT,__text) external _LLVMAddCoroSplitPass
00007ffb0d431636 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb0d430f27 (__TEXT,__text) external _LLVMAddDCEPass
00007ffb0ce82373 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb0d431067 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb0d4315dc (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb0cb0c88c (__TEXT,__text) external _LLVMAddDestination
00007ffb0d43169a (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffb0d431668 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb0cb0a228 (__TEXT,__text) external _LLVMAddFunction
00007ffb0ce823a5 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb0ce823d7 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb0d4310cb (__TEXT,__text) external _LLVMAddGVNPass
00007ffb0cb09d3e (__TEXT,__text) external _LLVMAddGlobal
00007ffb0ce82431 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb0cb0aa61 (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffb0cb09dd7 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb0ce82463 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb0cb0c900 (__TEXT,__text) external _LLVMAddHandler
00007ffb0ce824c7 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb0cb0baa2 (__TEXT,__text) external _LLVMAddIncoming
00007ffb0d431167 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb0cf335b6 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb0d431199 (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffb0ce8252b (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb0ce825b5 (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffb0d4311cb (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb0d431236 (__TEXT,__text) external _LLVMAddLICMPass
00007ffb0d431259 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb0d4312bd (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb0d431328 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb0d4312ef (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffb0d4313a7 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffb0d43135a (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffb0d4313de (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffb0d92ce4e (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffb0d431414 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffb0d431794 (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffb0d4317c6 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffb0d831705 (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffb0d431446 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffb0ce824f9 (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffb0d431133 (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffb0cb0c06b (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffb0cb05744 (__TEXT,__text) external _LLVMAddModuleFlag
00007ffb0cb07d1a (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffb0d431101 (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffb0d431478 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffb0d831737 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffb0ce82495 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffb0d4314aa (__TEXT,__text) external _LLVMAddReassociatePass
00007ffb0d4314dc (__TEXT,__text) external _LLVMAddSCCPPass
00007ffb0d92ce71 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffb0d43150e (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffb0d431540 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffb0d431572 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffb0d431099 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffb0d431730 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffb0d4315a4 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffb0ce82644 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffb0ce82676 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffb0d6c06cc (__TEXT,__text) external _LLVMAddSymbol
00007ffb0d4315aa (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffb0cb0a783 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffb0d6cc594 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffb0d4316fe (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffb0d4317f8 (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffb0d43160e (__TEXT,__text) external _LLVMAddVerifierPass
00007ffb0cbe2fee (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffb0cb0a214 (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffb0cb0a21e (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffb0cb08abe (__TEXT,__text) external _LLVMAlignOf
00007ffb0cb0afc6 (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffb0cb0af11 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffb0cb0aed2 (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffb0cb059f4 (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffb0cb0647e (__TEXT,__text) external _LLVMArrayType
00007ffb0cb05eb2 (__TEXT,__text) external _LLVMBFloatType
00007ffb0cb05e07 (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffb0cb0ac0f (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffb0d1e2567 (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffb0d1e25cc (__TEXT,__text) external _LLVMBinaryGetType
00007ffb0cb0944a (__TEXT,__text) external _LLVMBlockAddress
00007ffb0cb0d312 (__TEXT,__text) external _LLVMBuildAShr
00007ffb0cb0ca03 (__TEXT,__text) external _LLVMBuildAdd
00007ffb0cb0ead1 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffb0cb0c17a (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffb0cb0db50 (__TEXT,__text) external _LLVMBuildAlloca
00007ffb0cb0d342 (__TEXT,__text) external _LLVMBuildAnd
00007ffb0cb0db7f (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffb0cb0d969 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffb0cb0f3bd (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffb0cb0f393 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffb0cb0d3c9 (__TEXT,__text) external _LLVMBuildBinOp
00007ffb0cb0ea95 (__TEXT,__text) external _LLVMBuildBitCast
00007ffb0cb0c28d (__TEXT,__text) external _LLVMBuildBr
00007ffb0cb0f004 (__TEXT,__text) external _LLVMBuildCall
00007ffb0cb0f052 (__TEXT,__text) external _LLVMBuildCall2
00007ffb0cb0ed6c (__TEXT,__text) external _LLVMBuildCast
00007ffb0cb0c619 (__TEXT,__text) external _LLVMBuildCatchPad
00007ffb0cb0c7e4 (__TEXT,__text) external _LLVMBuildCatchRet
00007ffb0cb0c723 (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffb0cb0c648 (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffb0cb0c86e (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffb0cb0c33e (__TEXT,__text) external _LLVMBuildCondBr
00007ffb0cb0d111 (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffb0cb0cf3f (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffb0cb0f0ea (__TEXT,__text) external _LLVMBuildExtractElement
00007ffb0cb0f173 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffb0cb0cbd2 (__TEXT,__text) external _LLVMBuildFAdd
00007ffb0cb0ef9c (__TEXT,__text) external _LLVMBuildFCmp
00007ffb0cb0d144 (__TEXT,__text) external _LLVMBuildFDiv
00007ffb0cb0cd70 (__TEXT,__text) external _LLVMBuildFMul
00007ffb0cb0d81c (__TEXT,__text) external _LLVMBuildFNeg
00007ffb0cb0ee60 (__TEXT,__text) external _LLVMBuildFPCast
00007ffb0cb0e9f0 (__TEXT,__text) external _LLVMBuildFPExt
00007ffb0cb0e8be (__TEXT,__text) external _LLVMBuildFPToSI
00007ffb0cb0e853 (__TEXT,__text) external _LLVMBuildFPToUI
00007ffb0cb0e984 (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffb0cb0d281 (__TEXT,__text) external _LLVMBuildFRem
00007ffb0cb0cca1 (__TEXT,__text) external _LLVMBuildFSub
00007ffb0cb0e072 (__TEXT,__text) external _LLVMBuildFence
00007ffb0cb0dbac (__TEXT,__text) external _LLVMBuildFree
00007ffb0cb0f1e9 (__TEXT,__text) external _LLVMBuildFreeze
00007ffb0cb0e0ff (__TEXT,__text) external _LLVMBuildGEP
00007ffb0cb0e27a (__TEXT,__text) external _LLVMBuildGEP2
00007ffb0cb0e618 (__TEXT,__text) external _LLVMBuildGlobalString
00007ffb0cb0e677 (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffb0cb0ef6d (__TEXT,__text) external _LLVMBuildICmp
00007ffb0cb0e3da (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffb0cb0e55c (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffb0cb0c46e (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffb0cb0f117 (__TEXT,__text) external _LLVMBuildInsertElement
00007ffb0cb0f1ad (__TEXT,__text) external _LLVMBuildInsertValue
00007ffb0cb0ee2d (__TEXT,__text) external _LLVMBuildIntCast
00007ffb0cb0edf3 (__TEXT,__text) external _LLVMBuildIntCast2
00007ffb0cb0ea59 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffb0cb0c4dc (__TEXT,__text) external _LLVMBuildInvoke
00007ffb0cb0c539 (__TEXT,__text) external _LLVMBuildInvoke2
00007ffb0cb0f2ce (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffb0cb0f277 (__TEXT,__text) external _LLVMBuildIsNull
00007ffb0cb0d2e2 (__TEXT,__text) external _LLVMBuildLShr
00007ffb0cb0c589 (__TEXT,__text) external _LLVMBuildLandingPad
00007ffb0cb0dc2b (__TEXT,__text) external _LLVMBuildLoad
00007ffb0cb0dd60 (__TEXT,__text) external _LLVMBuildLoad2
00007ffb0cb0d878 (__TEXT,__text) external _LLVMBuildMalloc
00007ffb0cb0da9a (__TEXT,__text) external _LLVMBuildMemCpy
00007ffb0cb0db00 (__TEXT,__text) external _LLVMBuildMemMove
00007ffb0cb0da61 (__TEXT,__text) external _LLVMBuildMemSet
00007ffb0cb0ccd1 (__TEXT,__text) external _LLVMBuildMul
00007ffb0cb0cac3 (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffb0cb0cd04 (__TEXT,__text) external _LLVMBuildNSWMul
00007ffb0cb0d7b2 (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffb0cb0cc35 (__TEXT,__text) external _LLVMBuildNSWSub
00007ffb0cb0cba4 (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffb0cb0cd3a (__TEXT,__text) external _LLVMBuildNUWMul
00007ffb0cb0d7e7 (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffb0cb0cc6b (__TEXT,__text) external _LLVMBuildNUWSub
00007ffb0cb0d780 (__TEXT,__text) external _LLVMBuildNeg
00007ffb0cb0d84b (__TEXT,__text) external _LLVMBuildNot
00007ffb0cb0d36f (__TEXT,__text) external _LLVMBuildOr
00007ffb0cb0efd5 (__TEXT,__text) external _LLVMBuildPhi
00007ffb0cb0edc6 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffb0cb0f325 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffb0cb0f366 (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffb0cb0ea1d (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffb0cb0c6b2 (__TEXT,__text) external _LLVMBuildResume
00007ffb0cb0c0cc (__TEXT,__text) external _LLVMBuildRet
00007ffb0cb0c0c2 (__TEXT,__text) external _LLVMBuildRetVoid
00007ffb0cb0cf72 (__TEXT,__text) external _LLVMBuildSDiv
00007ffb0cb0e817 (__TEXT,__text) external _LLVMBuildSExt
00007ffb0cb0eb3a (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffb0cb0e957 (__TEXT,__text) external _LLVMBuildSIToFP
00007ffb0cb0d253 (__TEXT,__text) external _LLVMBuildSRem
00007ffb0cb0f08c (__TEXT,__text) external _LLVMBuildSelect
00007ffb0cb0d2af (__TEXT,__text) external _LLVMBuildShl
00007ffb0cb0f146 (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffb0cb0de97 (__TEXT,__text) external _LLVMBuildStore
00007ffb0cb0e58e (__TEXT,__text) external _LLVMBuildStructGEP
00007ffb0cb0e5e2 (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffb0cb0cc02 (__TEXT,__text) external _LLVMBuildSub
00007ffb0cb0c3d0 (__TEXT,__text) external _LLVMBuildSwitch
00007ffb0cb0e79f (__TEXT,__text) external _LLVMBuildTrunc
00007ffb0cb0ec47 (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffb0cb0cda0 (__TEXT,__text) external _LLVMBuildUDiv
00007ffb0cb0e92a (__TEXT,__text) external _LLVMBuildUIToFP
00007ffb0cb0d174 (__TEXT,__text) external _LLVMBuildURem
00007ffb0cb0c878 (__TEXT,__text) external _LLVMBuildUnreachable
00007ffb0cb0f0be (__TEXT,__text) external _LLVMBuildVAArg
00007ffb0cb0d39c (__TEXT,__text) external _LLVMBuildXor
00007ffb0cb0e7db (__TEXT,__text) external _LLVMBuildZExt
00007ffb0cb0eb0d (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffb0cb0c0b8 (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffb0cb0c0ae (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffb0d6cc62c (__TEXT,__text) external _LLVMByteOrder
00007ffb0d6cc82a (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffb0cb0bd55 (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffb0d726a0d (__TEXT,__text) external _LLVMCloneModule
00007ffb0cb08fb5 (__TEXT,__text) external _LLVMConstAShr
00007ffb0cb08e43 (__TEXT,__text) external _LLVMConstAdd
00007ffb0cb091cb (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffb0cb07831 (__TEXT,__text) external _LLVMConstAllOnes
00007ffb0cb08f5f (__TEXT,__text) external _LLVMConstAnd
00007ffb0cb0896f (__TEXT,__text) external _LLVMConstArray
00007ffb0cb091aa (__TEXT,__text) external _LLVMConstBitCast
00007ffb0cb08f18 (__TEXT,__text) external _LLVMConstExactSDiv
00007ffb0cb08efd (__TEXT,__text) external _LLVMConstExactUDiv
00007ffb0cb09228 (__TEXT,__text) external _LLVMConstExtractElement
00007ffb0cb09395 (__TEXT,__text) external _LLVMConstExtractValue
00007ffb0cb08e73 (__TEXT,__text) external _LLVMConstFAdd
00007ffb0cb08f8c (__TEXT,__text) external _LLVMConstFCmp
00007ffb0cb08f27 (__TEXT,__text) external _LLVMConstFDiv
00007ffb0cb08ee7 (__TEXT,__text) external _LLVMConstFMul
00007ffb0cb08e23 (__TEXT,__text) external _LLVMConstFNeg
00007ffb0cb09212 (__TEXT,__text) external _LLVMConstFPCast
00007ffb0cb09109 (__TEXT,__text) external _LLVMConstFPExt
00007ffb0cb09165 (__TEXT,__text) external _LLVMConstFPToSI
00007ffb0cb0914e (__TEXT,__text) external _LLVMConstFPToUI
00007ffb0cb090f2 (__TEXT,__text) external _LLVMConstFPTrunc
00007ffb0cb08f45 (__TEXT,__text) external _LLVMConstFRem
00007ffb0cb08ead (__TEXT,__text) external _LLVMConstFSub
00007ffb0cb08fcf (__TEXT,__text) external _LLVMConstGEP
00007ffb0cb09018 (__TEXT,__text) external _LLVMConstGEP2
00007ffb0cb08f7d (__TEXT,__text) external _LLVMConstICmp
00007ffb0cb0903b (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffb0cb09087 (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffb0cb093b2 (__TEXT,__text) external _LLVMConstInlineAsm
00007ffb0cb092f5 (__TEXT,__text) external _LLVMConstInsertElement
00007ffb0cb093a3 (__TEXT,__text) external _LLVMConstInsertValue
00007ffb0cb08536 (__TEXT,__text) external _LLVMConstInt
00007ffb0cb091ff (__TEXT,__text) external _LLVMConstIntCast
00007ffb0cb086d1 (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffb0cb086bb (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffb0cb085c0 (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffb0cb0861b (__TEXT,__text) external _LLVMConstIntOfString
00007ffb0cb08664 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffb0cb09193 (__TEXT,__text) external _LLVMConstIntToPtr
00007ffb0cb08fa9 (__TEXT,__text) external _LLVMConstLShr
00007ffb0cb08eb7 (__TEXT,__text) external _LLVMConstMul
00007ffb0cb08e51 (__TEXT,__text) external _LLVMConstNSWAdd
00007ffb0cb08ec5 (__TEXT,__text) external _LLVMConstNSWMul
00007ffb0cb08bed (__TEXT,__text) external _LLVMConstNSWNeg
00007ffb0cb08e8b (__TEXT,__text) external _LLVMConstNSWSub
00007ffb0cb08e62 (__TEXT,__text) external _LLVMConstNUWAdd
00007ffb0cb08ed6 (__TEXT,__text) external _LLVMConstNUWMul
00007ffb0cb08d08 (__TEXT,__text) external _LLVMConstNUWNeg
00007ffb0cb08e9c (__TEXT,__text) external _LLVMConstNUWSub
00007ffb0cb08a34 (__TEXT,__text) external _LLVMConstNamedStruct
00007ffb0cb08ad2 (__TEXT,__text) external _LLVMConstNeg
00007ffb0cb08e39 (__TEXT,__text) external _LLVMConstNot
00007ffb0cb07827 (__TEXT,__text) external _LLVMConstNull
00007ffb0cb08f69 (__TEXT,__text) external _LLVMConstOr
00007ffb0cb091f5 (__TEXT,__text) external _LLVMConstPointerCast
00007ffb0cb0789c (__TEXT,__text) external _LLVMConstPointerNull
00007ffb0cb0917c (__TEXT,__text) external _LLVMConstPtrToInt
00007ffb0cb08670 (__TEXT,__text) external _LLVMConstReal
00007ffb0cb086f5 (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffb0cb0867a (__TEXT,__text) external _LLVMConstRealOfString
00007ffb0cb086af (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffb0cb08f0c (__TEXT,__text) external _LLVMConstSDiv
00007ffb0cb090c4 (__TEXT,__text) external _LLVMConstSExt
00007ffb0cb091e1 (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffb0cb09137 (__TEXT,__text) external _LLVMConstSIToFP
00007ffb0cb08f3b (__TEXT,__text) external _LLVMConstSRem
00007ffb0cb0921c (__TEXT,__text) external _LLVMConstSelect
00007ffb0cb08f9b (__TEXT,__text) external _LLVMConstShl
00007ffb0cb09301 (__TEXT,__text) external _LLVMConstShuffleVector
00007ffb0cb088cf (__TEXT,__text) external _LLVMConstString
00007ffb0cb088ba (__TEXT,__text) external _LLVMConstStringInContext
00007ffb0cb089c6 (__TEXT,__text) external _LLVMConstStruct
00007ffb0cb08996 (__TEXT,__text) external _LLVMConstStructInContext
00007ffb0cb08e7d (__TEXT,__text) external _LLVMConstSub
00007ffb0cb090ad (__TEXT,__text) external _LLVMConstTrunc
00007ffb0cb091eb (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffb0cb08ef1 (__TEXT,__text) external _LLVMConstUDiv
00007ffb0cb09120 (__TEXT,__text) external _LLVMConstUIToFP
00007ffb0cb08f31 (__TEXT,__text) external _LLVMConstURem
00007ffb0cb08a40 (__TEXT,__text) external _LLVMConstVector
00007ffb0cb08f73 (__TEXT,__text) external _LLVMConstXor
00007ffb0cb090db (__TEXT,__text) external _LLVMConstZExt
00007ffb0cb091d7 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffb0d63b654 (__TEXT,__text) external _LLVMConsumeError
00007ffb0cb04e74 (__TEXT,__text) external _LLVMContextCreate
00007ffb0cb04f44 (__TEXT,__text) external _LLVMContextDispose
00007ffb0cb04efa (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffb0cb04ee9 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffb0cb04ecc (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffb0cb04f32 (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffb0cb04f0b (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffb0cb04f22 (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffb0cb054eb (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffb0d6cc5d5 (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffb0cb0acfd (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffb0cb0baea (__TEXT,__text) external _LLVMCountIncoming
00007ffb0cb060be (__TEXT,__text) external _LLVMCountParamTypes
00007ffb0cb0a810 (__TEXT,__text) external _LLVMCountParams
00007ffb0cb0637c (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffb0cb0adfc (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffb0d1e2452 (__TEXT,__text) external _LLVMCreateBinary
00007ffb0cb0bc53 (__TEXT,__text) external _LLVMCreateBuilder
00007ffb0cb0bbc8 (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffb0cbe2e36 (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffb0cbe2e8b (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffb0cbe2c38 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffb0cbe2cc2 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffb0cbe3565 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffb0cbe3300 (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffb0cbe2f16 (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffb0cbe273e (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffb0cbe272e (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffb0cbe26d6 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffb0cbe0655 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffb0cb18f96 (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffb0cb18f68 (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffb0d157e16 (__TEXT,__text) external _LLVMCreateDisasm
00007ffb0d157dec (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffb0d157668 (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffb0cb04fd0 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007ffb0cb0f800 (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007ffb0cb0f7d6 (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
