00007ff8400abe30 (__DATA,__data) non-external _C
00007ff800b5f459 (__TEXT,__text) external __NSGetProgname
00007ff8400b8b78 (__DATA,__common) external __PathLocale
00007ff800baa130 (__TEXT,__text) external __Read_RuneMagi
00007ff800ba06f8 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800ba0745 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800ba092e (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800ba0949 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800ba08a7 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800ba0abc (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800b7d095 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800b7d0e2 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800b7d37c (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800b7d397 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800b7d2d0 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800b7d50a (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800b6c2ee (__TEXT,__text) external ___Balloc_D2A
00007ff800b6c43c (__TEXT,__text) external ___Bfree_D2A
00007ff800b5cef9 (__TEXT,__text) external ____mb_cur_max
00007ff800b5cf27 (__TEXT,__text) external ____mb_cur_max_l
00007ff800b7c156 (__TEXT,__text) external ____runetype
00007ff800b7c0a0 (__TEXT,__text) external ____runetype_l
00007ff800b7cf95 (__TEXT,__text) external ____tolower
00007ff800b7cee5 (__TEXT,__text) external ____tolower_l
00007ff800b7d06d (__TEXT,__text) external ____toupper
00007ff800b7cfbd (__TEXT,__text) external ____toupper_l
00007ff800bc03ec (__TEXT,__text) non-external (was a private external) ___abort
00007ff800b66e09 (__TEXT,__text) external ___add_ovflpage
00007ff800b66b7a (__TEXT,__text) external ___addel
00007ff800b6cefd (__TEXT,__text) external ___any_on_D2A
00007ff800bbf676 (__TEXT,__text) external ___assert_rtn
00007ff8400b8a68 (__DATA,__bss) non-external ___atexit
00007ff800ba0ec7 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400b8a70 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800b6caaa (__TEXT,__text) external ___b2d_D2A
00007ff800b6538a (__TEXT,__text) external ___big_delete
00007ff800b650d0 (__TEXT,__text) external ___big_insert
00007ff800b659b5 (__TEXT,__text) external ___big_keydata
00007ff800b65658 (__TEXT,__text) external ___big_return
00007ff800b65b29 (__TEXT,__text) external ___big_split
00007ff800bc1f00 (__TEXT,__const) external ___bigtens_D2A
00007ff800b5ff99 (__TEXT,__text) external ___bt_close
00007ff800b63d11 (__TEXT,__text) external ___bt_cmp
00007ff800b63db8 (__TEXT,__text) external ___bt_defcmp
00007ff800b63dff (__TEXT,__text) external ___bt_defpfx
00007ff800b60414 (__TEXT,__text) external ___bt_delete
00007ff800b60a77 (__TEXT,__text) external ___bt_dleaf
00007ff800b61920 (__TEXT,__text) external ___bt_fd
00007ff800b6297a (__TEXT,__text) non-external ___bt_first
00007ff800b61ce5 (__TEXT,__text) external ___bt_free
00007ff800b610c8 (__TEXT,__text) external ___bt_get
00007ff800b61d16 (__TEXT,__text) external ___bt_new
00007ff800b611a8 (__TEXT,__text) external ___bt_open
00007ff800b60e3a (__TEXT,__text) non-external ___bt_pdelete
00007ff800b60133 (__TEXT,__text) external ___bt_pgin
00007ff800b602c7 (__TEXT,__text) external ___bt_pgout
00007ff800b61d69 (__TEXT,__text) external ___bt_put
00007ff800b6103f (__TEXT,__text) non-external ___bt_relink
00007ff800b63b5f (__TEXT,__text) external ___bt_ret
00007ff800b622ec (__TEXT,__text) external ___bt_search
00007ff800b62550 (__TEXT,__text) external ___bt_seq
00007ff800b62930 (__TEXT,__text) external ___bt_setcur
00007ff800b62b51 (__TEXT,__text) external ___bt_split
00007ff800b6071e (__TEXT,__text) non-external ___bt_stkacq
00007ff800b60065 (__TEXT,__text) external ___bt_sync
00007ff800b660fc (__TEXT,__text) external ___buf_free
00007ff800b660c4 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff8400abe38 (__DATA,__data) non-external ___c_locale
00007ff800bb05ce (__TEXT,__text) non-external ___calc_left_pad
00007ff800b64c4e (__TEXT,__text) external ___call_hash
00007ff8400acf00 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800bbe7b1 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800bbe7c3 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800b6d23a (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800bbe7d5 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400b8be0 (__DATA,__common) external ___cleanup
00007ff800b6c969 (__TEXT,__text) external ___cmp_D2A
00007ff800b7859f (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800b787b6 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800b78998 (__TEXT,__text) external ___collate_equiv_match
00007ff800b790c3 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800b78e47 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00007ff800bbff5b (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00007ff800bbff7e (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00007ff800b77bac (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400ac4f8 (__DATA,__data) external ___collate_load_error
00007ff800b76edb (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400aded0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800b773bd (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800b7809f (__TEXT,__text) external ___collate_lookup
00007ff800b77f18 (__TEXT,__text) external ___collate_lookup_l
00007ff800b7826f (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800b78160 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800b7907c (__TEXT,__text) non-external ___collate_pri_for
00007ff800bbffa1 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00007ff800b791a7 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400aded8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400adee0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800b7799c (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800b77b5a (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800b7834b (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800b55cf4 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800b6ce84 (__TEXT,__text) external ___copybits_D2A
00007ff800ba95ed (__TEXT,__text) non-external ___cvt
00007ff8400b8ae0 (__DATA,__bss) non-external ___cvt.s
00007ff800ba1079 (__TEXT,__text) external ___cxa_atexit
00007ff800ba12ad (__TEXT,__text) external ___cxa_finalize
00007ff800ba10ac (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800b6cb82 (__TEXT,__text) external ___d2b_D2A
00007ff8400b8b98 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800b63ee8 (__TEXT,__text) non-external ___dberr
00007ff800b63ec3 (__TEXT,__text) external ___dbpanic
00007ff8400ac408 (__DATA,__data) external ___default_hash
00007ff800b66308 (__TEXT,__text) external ___delpair
00007ff800b7c7a8 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800b6c9a5 (__TEXT,__text) external ___diff_D2A
00007ff8400adc20 (__DATA,__bss) non-external ___dirhelper_func
00007ff800b6a06c (__TEXT,__text) external ___dtoa
00007ff8400b8c00 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800ba15e6 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400b8a74 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800b9dcf9 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800b84659 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800b64af9 (__TEXT,__text) external ___expand_table
00007ff8400af980 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800b81046 (__TEXT,__text) external ___fflush
00007ff800b81479 (__TEXT,__text) external ___fgetwc
00007ff800b84f40 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800b654ce (__TEXT,__text) external ___find_bigpair
00007ff800b655e2 (__TEXT,__text) external ___find_last_page
00007ff800b8604c (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800ba1523 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800b7977d (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800b7983c (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800b821d9 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800b826ad (__TEXT,__text) external ___fread
00007ff800b6770b (__TEXT,__text) external ___free_ovflpage
00007ff800b69efe (__TEXT,__text) external ___freedtoa
00007ff8400acf04 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800b5699e (__TEXT,__text) non-external ___fts_open
00007ff800b6afc8 (__TEXT,__text) external ___gdtoa
00007ff8400b8b48 (__DATA,__common) external ___gdtoa_locks
00007ff800b65cb8 (__TEXT,__text) external ___get_buf
00007ff800b7a298 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800b7a77b (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800b7a9e6 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800b9d447 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800b7c5e3 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800b671c4 (__TEXT,__text) external ___get_page
00007ff800b716b4 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8400af940 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff8400ab868 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800ba0c35 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800b63ef4 (__TEXT,__text) external ___hash_open
00007ff800b6980c (__TEXT,__text) external ___hdtoa
00007ff800ba9cdd (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800b6c5b1 (__TEXT,__text) external ___hi0bits_D2A
00007ff800b69b8d (__TEXT,__text) external ___hldtoa
00007ff800b6c61f (__TEXT,__text) external ___i2b_D2A
00007ff800b6763b (__TEXT,__text) external ___ibitmap
00007ff800ba743b (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800b7bcdc (__TEXT,__text) external ___isctype
00007ff800b7bc72 (__TEXT,__text) external ___istype
00007ff800b7be43 (__TEXT,__text) external ___istype_l
00007ff8400ac471 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800ba9f78 (__TEXT,__text) external ___ldtoa
00007ff800b5f3af (__TEXT,__text) external ___libc_init
00007ff800b6c487 (__TEXT,__text) external ___lo0bits_D2A
00007ff800b846ef (__TEXT,__text) non-external ___loadevp
00007ff8400abe28 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800b662ec (__TEXT,__text) external ___log2
00007ff800bc2c80 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800b6c88b (__TEXT,__text) external ___lshift_D2A
00007ff800b7bc20 (__TEXT,__text) external ___maskrune
00007ff800b7bdee (__TEXT,__text) external ___maskrune_l
00007ff800b6ce44 (__TEXT,__text) external ___match_D2A
00007ff8400ac5cc (__DATA,__data) external ___mb_cur_max
00007ff8400ac5d0 (__DATA,__data) external ___mb_sb_limit
00007ff800b93866 (__TEXT,__text) non-external ___mbsconv
00007ff800b7af73 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800bbe96f (__TEXT,__text) external ___memccpy_chk
00007ff800bbede3 (__TEXT,__text) external ___memcpy_chk
00007ff800bbe90a (__TEXT,__text) external ___memmove_chk
00007ff800bbe801 (__TEXT,__text) external ___memset_chk
00007ff800b7a090 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400adee8 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800b7a2bb (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400adef8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800b6c642 (__TEXT,__text) external ___mult_D2A
00007ff800b6c518 (__TEXT,__text) external ___multadd_D2A
00007ff800b807d4 (__TEXT,__text) non-external ___nls_free_resources
00007ff800bc25fd (__TEXT,__const) non-external ___nogrouping
00007ff800b69ebb (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800b5cce8 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800b7a79e (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400adf08 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800b7c83b (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800b71f2b (__TEXT,__text) external ___opendir2
00007ff800b7203a (__TEXT,__text) non-external ___opendir_common
00007ff800b61c2b (__TEXT,__text) external ___ovfl_delete
00007ff800b61a58 (__TEXT,__text) external ___ovfl_get
00007ff800b61b33 (__TEXT,__text) external ___ovfl_put
00007ff800b8f8c6 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8400af9a8 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff8400af9a0 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400acbb0 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800b79de6 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400b8b68 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8400ac478 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800b6c784 (__TEXT,__text) external ___pow5mult_D2A
00007ff800bc1ef0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800bad5e2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800bc074b (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800bab86c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800bc05da (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800bab954 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800bc05fc (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800bac544 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800bc0642 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800bac7fb (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800bc0663 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800badd57 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800bc07b3 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800badd39 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800bacfb3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800bc06e6 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800bad04d (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800bc0709 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800bad2e4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800bc072a (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800bad762 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800bc076e (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800bada62 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800bc078f (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800bade4f (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800bae5b4 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800badb84 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800b88b71 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800badcb4 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800badc33 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800badbb7 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800bad620 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800bab886 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800bab98b (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800bc061f (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800bac566 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800bac880 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800bc0686 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800bc06a9 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800badd71 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800badd41 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800bacfdb (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800bad067 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800bad315 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800bad77c (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800bada7c (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800b7111d (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8400adda8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800b67360 (__TEXT,__text) external ___put_page
00007ff800bc26bf (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800b69f1f (__TEXT,__text) external ___quorem_D2A
00007ff800b6cd98 (__TEXT,__text) external ___ratio_D2A
00007ff800b67fa9 (__TEXT,__text) external ___rec_close
00007ff800b682b0 (__TEXT,__text) external ___rec_delete
00007ff800b683c0 (__TEXT,__text) external ___rec_dleaf
00007ff800b68dab (__TEXT,__text) external ___rec_fd
00007ff800b68831 (__TEXT,__text) external ___rec_fmap
00007ff800b685b9 (__TEXT,__text) external ___rec_fpipe
00007ff800b684d5 (__TEXT,__text) external ___rec_get
00007ff800b690d4 (__TEXT,__text) external ___rec_iput
00007ff800b68a07 (__TEXT,__text) external ___rec_open
00007ff800b68df8 (__TEXT,__text) external ___rec_put
00007ff800b69688 (__TEXT,__text) external ___rec_ret
00007ff800b69337 (__TEXT,__text) external ___rec_search
00007ff800b694d4 (__TEXT,__text) external ___rec_seq
00007ff800b68068 (__TEXT,__text) external ___rec_sync
00007ff800b68944 (__TEXT,__text) external ___rec_vmap
00007ff800b686e7 (__TEXT,__text) external ___rec_vpipe
00007ff800b661da (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800b6c1ec (__TEXT,__text) external ___rshift_D2A
00007ff800b69e80 (__TEXT,__text) external ___rv_alloc_D2A
00007ff800b6ccc7 (__TEXT,__text) external ___s2b_D2A
00007ff8400ac6d0 (__DATA,__data) external ___sF
00007ff8400ac8a0 (__DATA,__data) non-external ___sFX
00007ff800b87a95 (__TEXT,__text) external ___sclose
00007ff8400ae140 (__DATA,__bss) non-external ___scounted
00007ff8400b8b80 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800ba749b (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800b7c943 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8400ae0e8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8400ae0f0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800bb0668 (__TEXT,__text) non-external ___setup_vars
00007ff800b81d4e (__TEXT,__text) external ___sflags
00007ff800b80edc (__TEXT,__text) external ___sflush
00007ff800b818be (__TEXT,__text) external ___sfp
00007ff800b81c8d (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800b835e6 (__TEXT,__text) external ___sfvwrite
00007ff8400acb40 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800b81a88 (__TEXT,__text) external ___sinit
00007ff800b810b3 (__TEXT,__text) external ___slbexpand
00007ff800b8430e (__TEXT,__text) external ___smakebuf
00007ff800bc004f (__TEXT,__text) non-external ___smakebuf.cold.1
00007ff800bbe9bc (__TEXT,__text) external ___snprintf_chk
00007ff800bbea60 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800b66437 (__TEXT,__text) external ___split_page
00007ff800b93f69 (__TEXT,__text) non-external ___sprint
00007ff800bbec30 (__TEXT,__text) external ___sprintf_chk
00007ff800bbed09 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800b87a65 (__TEXT,__text) external ___sread
00007ff800b870d6 (__TEXT,__text) external ___srefill
00007ff800b86f26 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800b8707d (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800b871d2 (__TEXT,__text) external ___srget
00007ff800b87a87 (__TEXT,__text) external ___sseek
00007ff800ba0da5 (__TEXT,__text) external ___stack_chk_fail
00007ff8400b8ba0 (__DATA,__common) external ___stack_chk_guard
00007ff8400af970 (__DATA,__bss) non-external ___stderr_evp
00007ff8400acb20 (__DATA,__data) external ___stderrp
00007ff8400af950 (__DATA,__bss) non-external ___stdin_evp
00007ff8400acb10 (__DATA,__data) external ___stdinp
00007ff800b6d23a (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff8400af960 (__DATA,__bss) non-external ___stdout_evp
00007ff8400acb18 (__DATA,__data) external ___stdoutp
00007ff800bbebdb (__TEXT,__text) external ___stpcpy_chk
00007ff800bbedf5 (__TEXT,__text) external ___stpncpy_chk
00007ff800bc082b (__TEXT,__text) non-external ___stpncpy_chk.cold.1
00007ff800bbeb11 (__TEXT,__text) external ___strcat_chk
00007ff800b6cca4 (__TEXT,__text) external ___strcp_D2A
00007ff800bbe91c (__TEXT,__text) external ___strcpy_chk
00007ff8400b8a48 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800bbe6e5 (__TEXT,__text) external ___strlcat_chk
