0000000182cc7f88 (__DATA,__data) external _NDR_record
0000000180bb4754 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180bb6c14 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180b963e4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180bb61cc (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180bb65b0 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180b963cc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180bb5480 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180bb5714 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180b9648c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180bb66cc (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180bb498c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180bb77e4 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180bb4f28 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180bb5e7c (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180bb6d30 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180b96498 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180bb7210 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180bb6494 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180b963c0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180bb5358 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180b963b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180bb7690 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180bb6330 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180bb693c (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180bb7450 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180bb4adc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180b9639c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180bb50bc (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180b963a8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180bb40b4 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180bb4bf8 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180bb43c8 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180bb51d8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180b96594 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180bb5904 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180bb6820 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180bb4e0c (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180bb55f8 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180bb6f6c (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180bb5fd0 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180bb70bc (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180bb7330 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180bb4274 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180b96588 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180bb6e50 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180b964a4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180bbcad8 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180bbc9ac (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180bc1410 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180bb7b24 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180b9633c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180bb7c7c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180b96354 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180bb88c4 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180b96378 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180bb7d98 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180b9636c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180bb9480 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180b96348 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180bb7fd8 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180bb8ba8 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180bb9918 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180bba088 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
0000000180bc7c1c (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180bb5d60 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180bc3d1c (__TEXT,__text) external __kernelrpc_thread_policy
0000000180bc3e8c (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180bc47bc (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180bc5dd8 (__TEXT,__text) external __kernelrpc_vm_map
0000000180bc6994 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180bc54ec (__TEXT,__text) external __kernelrpc_vm_read
0000000180bc60bc (__TEXT,__text) external __kernelrpc_vm_remap
0000000180bc6ae8 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180b9bce8 (__TEXT,__text) non-external __libkernel_bzero
0000000182cc80d8 (__DATA,__bss) non-external __libkernel_functions
0000000182d5bc80 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180b9be54 (__TEXT,__text) non-external __libkernel_memmove
0000000180b9bcf4 (__TEXT,__text) non-external __libkernel_memset
0000000180b9bc88 (__TEXT,__text) non-external __libkernel_strchr
0000000180b9bcc0 (__TEXT,__text) non-external __libkernel_strcmp
0000000180b9bf6c (__TEXT,__text) non-external __libkernel_strcpy
0000000182cc7dc0 (__DATA,__data) non-external __libkernel_string_functions
0000000180b9bfb4 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180b9bac8 (__TEXT,__text) non-external __libkernel_strlen
0000000182cc7dc8 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180bc9060 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180b9ce68 (__TEXT,__text) non-external __mach_continuous_time
0000000180c9b328 (__DATA_CONST,__const) external __mach_errors
0000000180b9d894 (__TEXT,__text) external __mach_fork_child
0000000180b9f1a8 (__TEXT,__text) external __mach_snprintf
0000000180b9f044 (__TEXT,__text) external __mach_vsnprintf
0000000182cc8178 (__DATA,__common) external __os_alloc_once_table
0000000180ba3814 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180ba44b4 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
0000000180ba1a44 (__TEXT,__text) external __register_gethostuuid_callback
0000000182cc80ec (__DATA,__bss) non-external __task_reply_port
0000000180b9b774 (__TEXT,__text) external __thread_set_tsd_base
0000000180bc856c (__TEXT,__text) non-external _abort
0000000180bc856c (__TEXT,__text) non-external _abort.391
0000000180bc856c (__TEXT,__text) non-external _abort.393
0000000180bc856c (__TEXT,__text) non-external _abort.404
0000000180bc863c (__TEXT,__text) external _abort_with_payload
0000000180bc85b0 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180bc8590 (__TEXT,__text) external _abort_with_reason
0000000180b96994 (__TEXT,__text) external _accept
0000000180b969c0 (__TEXT,__text) external _accept$NOCANCEL
0000000180b9914c (__TEXT,__text) external _access
0000000180b969ec (__TEXT,__text) external _accessx_np
0000000180b99178 (__TEXT,__text) external _acct
0000000180bc2434 (__TEXT,__text) external _act_get_state
0000000180bc267c (__TEXT,__text) external _act_set_state
0000000180b991a4 (__TEXT,__text) external _adjtime
0000000180b991d0 (__TEXT,__text) external _aio_cancel
0000000180b991fc (__TEXT,__text) external _aio_error
0000000180b99228 (__TEXT,__text) external _aio_fsync
0000000180b99254 (__TEXT,__text) external _aio_read
0000000180b99280 (__TEXT,__text) external _aio_return
0000000180b992ac (__TEXT,__text) external _aio_suspend
0000000180b96a18 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180b992d8 (__TEXT,__text) external _aio_write
0000000180b99304 (__TEXT,__text) external _audit
0000000180b99330 (__TEXT,__text) external _audit_session_join
0000000180b9935c (__TEXT,__text) external _audit_session_port
0000000180b99388 (__TEXT,__text) external _audit_session_self
0000000180b993b4 (__TEXT,__text) external _auditctl
0000000180b993e0 (__TEXT,__text) external _auditon
0000000180b96a44 (__TEXT,__text) external _bind
0000000182cc8134 (__DATA,__common) external _bootstrap_port
0000000180b9ba18 (__TEXT,__text) non-external _bzero
0000000180b9f454 (__TEXT,__text) external _cerror
0000000180b9f430 (__TEXT,__text) external _cerror_nocancel
0000000180b9940c (__TEXT,__text) external _change_fdguard_np
0000000180b99438 (__TEXT,__text) external _chdir
0000000180b99464 (__TEXT,__text) external _chflags
0000000180ba2858 (__TEXT,__text) external _chmod
0000000180b99490 (__TEXT,__text) external _chown
0000000180b994bc (__TEXT,__text) external _chroot
0000000180bae224 (__TEXT,__text) external _clock_alarm
0000000180badea8 (__TEXT,__text) external _clock_alarm_reply
0000000180bae058 (__TEXT,__text) external _clock_get_attributes
0000000180badf10 (__TEXT,__text) external _clock_get_time
0000000180badd58 (__TEXT,__text) external _clock_set_attributes
0000000180badc40 (__TEXT,__text) external _clock_set_time
0000000180b9cfec (__TEXT,__text) external _clock_sleep
0000000180b96558 (__TEXT,__text) external _clock_sleep_trap
0000000180b9ce44 (__TEXT,__text) external _clonefile
0000000180b994e8 (__TEXT,__text) external _clonefileat
0000000180b99514 (__TEXT,__text) external _close
0000000180b96c54 (__TEXT,__text) external _close$NOCANCEL
0000000180ba8af8 (__TEXT,__text) external _coalition_create
0000000180ba8ba0 (__TEXT,__text) external _coalition_info_debug_info
0000000180ba8b68 (__TEXT,__text) external _coalition_info_resource_usage
0000000180ba8c10 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180ba8bd8 (__TEXT,__text) external _coalition_info_set_name
0000000180ba8c4c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180b99540 (__TEXT,__text) external _coalition_policy_get
0000000180b9956c (__TEXT,__text) external _coalition_policy_set
0000000180ba8b38 (__TEXT,__text) external _coalition_reap
0000000180ba8b08 (__TEXT,__text) external _coalition_terminate
0000000180b96d04 (__TEXT,__text) external _connect
0000000180b96d30 (__TEXT,__text) external _connect$NOCANCEL
0000000180b99598 (__TEXT,__text) external _connectx
