                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectGetRetainCount (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00000002363cd0c8 (__DATA_CONST,__const) external _MTRArrayValueType
0000000231f832e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAttributeCacheContainer
0000000231f80950 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAttributePath
0000000231f80978 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAttributeReport
0000000231f80928 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAttributeRequestPath
0000000231f80108 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAudioOutputClusterOutputInfo
0000000231f80090 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAudioOutputClusterOutputInfoStruct
0000000231f7aaa0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAudioOutputClusterRenameOutputParams
0000000231f7aa50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRAudioOutputClusterSelectOutputParams
0000000231f79880 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBarrierControlClusterBarrierControlGoToPercentParams
0000000231f798d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBarrierControlClusterBarrierControlStopParams
0000000231f81170 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterAccessControl
0000000231f82c00 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterAccountLogin
0000000231f811c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterActions
0000000231f81940 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterAdministratorCommissioning
0000000231f82bb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterApplicationBasic
0000000231f82b60 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterApplicationLauncher
0000000231f82b10 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterAudioOutput
0000000231f822f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBallastConfiguration
0000000231f82110 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBarrierControl
0000000231f81288 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBasic
0000000231f81210 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBasicInformation
0000000231f81030 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBinaryInputBasic
0000000231f81120 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBinding
0000000231f81ad0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBooleanState
0000000231f818c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBridgedDeviceBasic
0000000231f81850 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterBridgedDeviceBasicInformation
0000000231f828e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterChannel
0000000231f822a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterColorControl
0000000231f82ac0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterContentLauncher
0000000231f810d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterDescriptor
0000000231f81620 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterDiagnosticLogs
0000000231f82070 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterDoorLock
0000000231f82c50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterElectricalMeasurement
0000000231f817b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterEthernetNetworkDiagnostics
0000000231f82200 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterFanControl
0000000231f81a30 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterFixedLabel
0000000231f82430 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterFlowMeasurement
0000000231f81580 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterGeneralCommissioning
0000000231f81670 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterGeneralDiagnostics
0000000231f819e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterGroupKeyManagement
0000000231f80ea0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterGroups
0000000231f80e50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterIdentify
0000000231f82340 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterIlluminanceMeasurement
0000000231f82a70 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterKeypadInput
0000000231f80fe0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterLevelControl
0000000231f813f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterLocalizationConfiguration
0000000231f82a20 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterLowPower
0000000231f829d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterMediaInput
0000000231f82980 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterMediaPlayback
0000000231f81b70 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterModeSelect
0000000231f815d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterNetworkCommissioning
0000000231f812b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOTASoftwareUpdateProvider
0000000231f81350 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOTASoftwareUpdateRequestor
0000000231f824d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOccupancySensing
0000000231f80f40 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOnOff
0000000231f80f90 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOnOffSwitchConfiguration
0000000231f81990 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOperationalCredentials
0000000231f81328 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOtaSoftwareUpdateProvider
0000000231f813c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterOtaSoftwareUpdateRequestor
0000000231f81530 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterPowerSource
0000000231f814e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterPowerSourceConfiguration
0000000231f823e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterPressureMeasurement
0000000231f82160 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterPumpConfigurationAndControl
0000000231f82480 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterRelativeHumidityMeasurement
0000000231f80ef0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterScenes
0000000231f816c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterSoftwareDiagnostics
0000000231f818f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterSwitch
0000000231f82930 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterTargetNavigator
0000000231f82390 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterTemperatureMeasurement
0000000231f82d18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterTestCluster
0000000231f821b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterThermostat
0000000231f82250 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterThermostatUserInterfaceConfiguration
0000000231f81710 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterThreadNetworkDiagnostics
0000000231f81440 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterTimeFormatLocalization
0000000231f81490 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterUnitLocalization
0000000231f82ca0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterUnitTesting
0000000231f81a80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterUserLabel
0000000231f82840 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterWakeOnLAN
0000000231f828b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterWakeOnLan
0000000231f81760 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterWiFiNetworkDiagnostics
0000000231f820c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseClusterWindowCovering
0000000231f80900 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBaseDevice
0000000231f7cb48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicClusterCapabilityMinimaStruct
0000000231f7cd78 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicClusterLeaveEvent
0000000231f77120 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicClusterMfgSpecificPingParams
0000000231f7ce18 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicClusterReachableChangedEvent
0000000231f7ccd8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicClusterShutDownEvent
0000000231f7cc38 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicClusterStartUpEvent
0000000231f7cad0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicInformationClusterCapabilityMinimaStruct
0000000231f7cd00 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicInformationClusterLeaveEvent
0000000231f7cb70 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicInformationClusterProductAppearanceStruct
0000000231f7cda0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicInformationClusterReachableChangedEvent
0000000231f7cc60 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicInformationClusterShutDownEvent
0000000231f7cbc0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBasicInformationClusterStartUpEvent
0000000231f7c6c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBindingClusterTargetStruct
0000000231f7e600 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBooleanStateClusterStateChangeEvent
0000000231f7e088 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicClusterLeaveEvent
0000000231f7e128 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicClusterReachableChangedEvent
0000000231f7dfe8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicClusterShutDownEvent
0000000231f7df48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicClusterStartUpEvent
0000000231f7e010 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicInformationClusterLeaveEvent
0000000231f7de80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicInformationClusterProductAppearanceStruct
0000000231f7e0b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicInformationClusterReachableChangedEvent
0000000231f7df70 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicInformationClusterShutDownEvent
0000000231f7ded0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRBridgedDeviceBasicInformationClusterStartUpEvent
0000000231f83330 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRCertificateInfo
0000000231f83178 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRCertificates
0000000231f7a190 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterChangeChannelByNumberParams
0000000231f7a0f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterChangeChannelParams
0000000231f7a140 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterChangeChannelResponseParams
0000000231f7fa28 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterChannelInfo
0000000231f7f9b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterChannelInfoStruct
0000000231f7fac8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterLineupInfo
0000000231f7fa50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterLineupInfoStruct
0000000231f7a1e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRChannelClusterSkipChannelParams
0000000231f82e30 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRCluster
0000000231f839c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterAccessControl
0000000231f85450 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterAccountLogin
0000000231f83a10 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterActions
0000000231f84190 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterAdministratorCommissioning
0000000231f85400 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterApplicationBasic
0000000231f853b0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterApplicationLauncher
0000000231f85360 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterAudioOutput
0000000231f84b40 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBallastConfiguration
0000000231f84960 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBarrierControl
0000000231f83ad8 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBasic
0000000231f83a60 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBasicInformation
0000000231f83880 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBinaryInputBasic
0000000231f83970 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBinding
0000000231f84320 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBooleanState
0000000231f84118 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBridgedDeviceBasic
0000000231f840a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterBridgedDeviceBasicInformation
0000000231f85130 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterChannel
0000000231f84af0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterColorControl
0000000231f85310 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterContentLauncher
0000000231f83920 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterDescriptor
0000000231f83e70 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterDiagnosticLogs
0000000231f848c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterDoorLock
0000000231f854a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterElectricalMeasurement
0000000231f84000 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterEthernetNetworkDiagnostics
0000000231f84a50 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterFanControl
0000000231f84280 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterFixedLabel
0000000231f84c80 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterFlowMeasurement
0000000231f83dd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterGeneralCommissioning
0000000231f83ec0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterGeneralDiagnostics
0000000231f84230 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterGroupKeyManagement
0000000231f836f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterGroups
0000000231f836a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterIdentify
0000000231f84b90 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterIlluminanceMeasurement
0000000231f852c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterKeypadInput
0000000231f83830 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterLevelControl
0000000231f83c40 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterLocalizationConfiguration
0000000231f85270 (__AUTH,__objc_data) external _OBJC_CLASS_$_MTRClusterLowPower
