000000019001592c (__TEXT,__text) non-external _Annihilate
00000001900118a4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
0000000190012b00 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
0000000190013d5c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
0000000190010648 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
0000000190047034 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00000001900483a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
0000000190048be0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
0000000190049420 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
0000000190049c60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000019004a4a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000019004ace0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000019004b520 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000019004be68 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
0000000190047320 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
0000000190047b60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
0000000190024a48 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00000001900394a0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000019002d9d0 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
0000000190024000 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000019002d870 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000019001aff0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000019001b110 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000019001b230 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000019001b0b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000019001f018 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000019001f010 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000019001eec0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
0000000190020bf0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000019001efc4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000019001efa4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000019001af9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
0000000190020bac (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
0000000190020b2c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00000001900209fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
0000000190020ae0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000019001eef8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000019000e40c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000019001ad28 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000019001ad30 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
0000000190016a88 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000019000a22c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000019000ba44 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000019000a014 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000019000a128 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000019000e398 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000019000c7c4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000019000a208 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
0000000190009f20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000019000e3a8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000019000e40c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000019001d930 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00000001900231c8 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
0000000190044e48 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
0000000190059684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
0000000190059684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00000001900157ec (__TEXT,__text) non-external (was a private external) _BrotliFree
00000001900159f4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
0000000190030d00 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000019002a528 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000019002b124 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000019002992c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000019002a24c (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000019002ae48 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
0000000190029650 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000019002a738 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000019002b334 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
0000000190029b3c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000019002a5c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000019002b1bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00000001900299c4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000019001ae00 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
0000000190016a78 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000019004fbd8 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
0000000190030c8c (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
0000000190015674 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000019002bfc0 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
0000000190046a10 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
0000000190050bf0 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00000001900242bc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
0000000190036368 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
0000000190036758 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
0000000190035f90 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000019007a068 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000019001ae60 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
0000000190023f40 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
0000000190015a00 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
0000000190016ac8 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
0000000190031f98 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00000001900ae478 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00000001900ae472 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00000001900ae460 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000019003295c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
0000000190034d34 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
0000000190015054 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00000001900343c0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00000001900350f8 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
0000000190030d0c (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000019001ae10 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
0000000190015848 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
0000000190024644 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000019002c2f4 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000019002bff0 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000019003341c (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00000001900154c0 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
0000000190033fbc (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
00000001900346c4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00000001900150fc (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
0000000190034620 (__TEXT,__text) non-external _BuildHistograms
0000000190059ed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
0000000190059fd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000019000e418 (__TEXT,__text) non-external _ChooseDistanceParams
0000000190015720 (__TEXT,__text) non-external _CollectGarbagePointers
0000000190050408 (__TEXT,__text) non-external _ComputeDistanceCost
000000019002d7f8 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
0000000190051898 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
000000019001d360 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000019003964c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
000000019003a2dc (__TEXT,__text) non-external _CreateBackwardReferencesNH3
0000000190041dfc (__TEXT,__text) non-external _CreateBackwardReferencesNH35
000000019003ad80 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
000000019003dee4 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000019003f02c (__TEXT,__text) non-external _CreateBackwardReferencesNH41
0000000190040170 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
000000019003bbc4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
0000000190041344 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
0000000190042b80 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
000000019003cd08 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
0000000190043994 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
000000019000f4e4 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
0000000190059dc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
000000019001f54c (__TEXT,__text) non-external _DecodeCommandBlockSwitch
000000019001d50c (__TEXT,__text) non-external _DecodeContextMap
000000019001ff78 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
000000019001fa5c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
000000019001c340 (__TEXT,__text) non-external _DecodeMetaBlockLength
000000019001c874 (__TEXT,__text) non-external _DecodeVarLenUint8
0000000190014fb8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00000001900338bc (__TEXT,__text) non-external _EncodeContextMap
000000019000c920 (__TEXT,__text) non-external _EncodeData
000000019002d654 (__TEXT,__text) non-external _EvaluateNode
000000019000ee48 (__TEXT,__text) non-external _ExtendLastCommand
000000019007a108 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00000001900b7878 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000019000eca8 (__TEXT,__text) non-external _GetBrotliStorage
000000019000ed18 (__TEXT,__text) non-external _GetHashTable
0000000190050ea8 (__TEXT,__text) non-external _InitBlockSplitterCommand
0000000190051050 (__TEXT,__text) non-external _InitBlockSplitterDistance
0000000190050d04 (__TEXT,__text) non-external _InitBlockSplitterLiteral
0000000190059cc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00000001900d043c (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
0000000190059c40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
000000019002cd88 (__TEXT,__text) non-external _InitZopfliCostModel
000000019000e65c (__TEXT,__text) non-external _InitializeH5
000000019000e69c (__TEXT,__text) non-external _InitializeH6
000000019000c7e8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
000000019001f0e0 (__TEXT,__text) non-external _InverseMoveToFrontTransform
0000000190025c44 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
0000000190025bf4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
0000000190025b0c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
0000000190052c78 (__TEXT,__text) non-external _MapStaticContexts
000000019000e9b4 (__TEXT,__text) non-external _PrepareH35
000000019000e6f4 (__TEXT,__text) non-external _PrepareH4
000000019000e804 (__TEXT,__text) non-external _PrepareH40
000000019000e804 (__TEXT,__text) non-external _PrepareH41
000000019000e8a0 (__TEXT,__text) non-external _PrepareH42
000000019000e754 (__TEXT,__text) non-external _PrepareH5
000000019000e950 (__TEXT,__text) non-external _PrepareH54
000000019000eac8 (__TEXT,__text) non-external _PrepareH55
000000019000e7a4 (__TEXT,__text) non-external _PrepareH6
000000019000eb84 (__TEXT,__text) non-external _PrepareH65
000000019001d9e8 (__TEXT,__text) non-external _ProcessCommands
000000019001ca24 (__TEXT,__text) non-external _ReadHuffmanCode
000000019001f234 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
000000019001fc4c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
000000019001f6fc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
000000019001f040 (__TEXT,__text) non-external _SafeDecodeSymbol
000000019001e384 (__TEXT,__text) non-external _SafeProcessCommands
000000019001c1e4 (__TEXT,__text) non-external _SaveErrorCode
000000019002e9d0 (__TEXT,__text) non-external _SetCost
0000000190030f8c (__TEXT,__text) non-external _Shift
000000019000e470 (__TEXT,__text) non-external _ShouldCompress
000000019004c7b0 (__TEXT,__text) non-external _ShouldCompress
0000000190015308 (__TEXT,__text) non-external _ShouldMergeBlock
0000000190059dd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00000001900158a4 (__TEXT,__text) non-external _SortPointers
000000019005a368 (__TEXT,__const) non-external _SortPointers.gaps
000000019004c95c (__TEXT,__text) non-external _StoreCommands
00000001900af1a0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00000001900aefa0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00000001900332e4 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
0000000190034aa8 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00000001900340a0 (__TEXT,__text) non-external _StoreSymbol
000000019003422c (__TEXT,__text) non-external _StoreSymbolWithContext
00000001900336a0 (__TEXT,__text) non-external _StoreTrivialContextMap
0000000190035288 (__TEXT,__text) non-external _StoreVarLenUint8
0000000190015460 (__TEXT,__text) non-external _UpdateBits
000000019000ee00 (__TEXT,__text) non-external _UpdateLastProcessedPos
000000019002cf20 (__TEXT,__text) non-external _UpdateNodes
000000019001ee78 (__TEXT,__text) non-external _WrapRingBuffer
000000019000f08c (__TEXT,__text) non-external _WriteMetaBlockInternal
000000019001c1f8 (__TEXT,__text) non-external _WriteRingBuffer
000000019002ce04 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001900d0380 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
000000019007a560 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
000000019007a470 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001e74b8e78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
0000000190022084 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00000001900b6268 (__TEXT,__const) non-external (was a private external) __dist_code
00000001900ae790 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
000000019005a100 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00000001900b6468 (__TEXT,__const) non-external (was a private external) __length_code
000000019004f8c4 (__TEXT,__text) non-external (was a private external) __tr_align
00000001900027f0 (__TEXT,__text) non-external (was a private external) __tr_flush_block
0000000190000f38 (__TEXT,__text) non-external (was a private external) __tr_init
000000019004f77c (__TEXT,__text) non-external (was a private external) __tr_stored_block
000000019004fb38 (__TEXT,__text) non-external (was a private external) __tr_tally
0000000190000dfc (__TEXT,__text) non-external (was a private external) _adler32
0000000190009170 (__TEXT,__text) non-external (was a private external) _adler32_vec
00000001900b6c20 (__TEXT,__const) non-external _base_dist
00000001900b6bac (__TEXT,__const) non-external _base_length
000000019004faa8 (__TEXT,__text) non-external _bi_flush
0000000190003c0c (__TEXT,__text) non-external _bi_windup
00000001900b6b98 (__TEXT,__const) non-external _bl_order
00000001900ae518 (__TEXT,__const) non-external _breverse.brev8
000000019004da84 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
000000019004dacc (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
000000019004dca8 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
000000019004dbd8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
000000019004db18 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
0000000190002d40 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000019004d9e4 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
000000019004d060 (__TEXT,__text) non-external (was a private external) _codecReadHeader
000000019004d948 (__TEXT,__text) non-external (was a private external) _codecResetModel
000000019004d4f4 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
0000000190003854 (__TEXT,__text) non-external _compress_block
0000000190005420 (__TEXT,__text) external _compression_decode_buffer
000000019000532c (__TEXT,__text) external _compression_decode_scratch_buffer_size
0000000190046cd0 (__TEXT,__text) external _compression_encode_buffer
0000000190046b88 (__TEXT,__text) external _compression_encode_scratch_buffer_size
0000000190003e10 (__TEXT,__text) external _compression_stream_destroy
00000001900230b0 (__TEXT,__text) external _compression_stream_get_decode_state_size
0000000190023060 (__TEXT,__text) external _compression_stream_get_encode_state_size
0000000190023010 (__TEXT,__text) external _compression_stream_get_state_size
0000000190022f7c (__TEXT,__text) external _compression_stream_identify_algorithm
00000001900007c0 (__TEXT,__text) external _compression_stream_init
0000000190022f3c (__TEXT,__text) external _compression_stream_init_with_state_buffer
0000000190023100 (__TEXT,__text) external _compression_stream_is_state_valid
0000000190000f88 (__TEXT,__text) external _compression_stream_process
0000000190005d80 (__TEXT,__text) external _compression_stream_reinit
00000001ef388518 (__AUTH_CONST,__const) non-external _configuration_table
00000001900290c8 (__TEXT,__text) non-external _convert_row_16to8
0000000190029050 (__TEXT,__text) non-external _convert_row_8to16
0000000190028ef0 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
0000000190028bec (__TEXT,__text) non-external _convert_row_GUVtoRGB888
0000000190029378 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
0000000190029148 (__TEXT,__text) non-external _convert_row_RG88toRG
0000000190028a7c (__TEXT,__text) non-external _convert_row_RGB888toGUV
0000000190028d84 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00000001900292c8 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
0000000190029208 (__TEXT,__text) non-external _convert_row_RGtoRG88
0000000190029140 (__TEXT,__text) non-external _convert_row_copy16
0000000190028040 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
0000000190027fe0 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00000001900288a0 (__TEXT,__text) non-external _convert_rows_from_bayer16
0000000190028688 (__TEXT,__text) non-external _convert_rows_from_bayer8
0000000190028218 (__TEXT,__text) non-external _convert_rows_from_quadra8
0000000190028990 (__TEXT,__text) non-external _convert_rows_to_bayer16
0000000190028794 (__TEXT,__text) non-external _convert_rows_to_bayer8
0000000190028458 (__TEXT,__text) non-external _convert_rows_to_quadra8
0000000190056d84 (__TEXT,__text) external _cosl_codec_decode
0000000190056458 (__TEXT,__text) external _cosl_codec_encode
0000000190056c7c (__TEXT,__text) external _cosl_codec_get_decoded_size
000000019005794c (__TEXT,__text) external _cosl_codec_get_id
00000001900576ec (__TEXT,__text) external _cosl_codec_map
00000001900578e8 (__TEXT,__text) external _cosl_codec_unmap
0000000190057270 (__TEXT,__text) external _cosl_model_create
00000001900573a4 (__TEXT,__text) external _cosl_model_destroy
00000001900573ec (__TEXT,__text) external _cosl_model_save_codec
000000019005607c (__TEXT,__text) external _cosl_model_update
00000001900379dc (__TEXT,__text) external _cosmix_codec_decode
00000001900370e8 (__TEXT,__text) external _cosmix_codec_encode
00000001900378ec (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000019003844c (__TEXT,__text) external _cosmix_codec_get_id
0000000190038298 (__TEXT,__text) external _cosmix_codec_map
00000001900383ec (__TEXT,__text) external _cosmix_codec_unmap
0000000190037eb0 (__TEXT,__text) external _cosmix_model_create
0000000190037fec (__TEXT,__text) external _cosmix_model_destroy
0000000190038034 (__TEXT,__text) external _cosmix_model_save_codec
0000000190036b48 (__TEXT,__text) external _cosmix_model_update
000000019004cd84 (__TEXT,__text) non-external (was a private external) _crc32
00000001900b7b14 (__TEXT,__const) non-external _crc32_lut4
00000001900af200 (__TEXT,__const) non-external _crc_table
0000000190026814 (__TEXT,__text) non-external _create_rectangle_within_image
000000019001ad38 (__TEXT,__text) non-external (was a private external) _create_thread
0000000190001404 (__TEXT,__text) non-external (was a private external) _deflate
00000001900546f8 (__TEXT,__text) non-external (was a private external) _deflateBound
0000000190054cac (__TEXT,__text) non-external (was a private external) _deflateCopy
0000000190003d14 (__TEXT,__text) non-external (was a private external) _deflateEnd
0000000190000984 (__TEXT,__text) non-external (was a private external) _deflateInit2_
0000000190054444 (__TEXT,__text) non-external (was a private external) _deflateInit_
00000001900545ec (__TEXT,__text) non-external (was a private external) _deflateParams
00000001900545bc (__TEXT,__text) non-external (was a private external) _deflatePrime
0000000190000cc0 (__TEXT,__text) non-external (was a private external) _deflateReset
0000000190054460 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
0000000190054590 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00000001900546d4 (__TEXT,__text) non-external (was a private external) _deflateTune
00000001900b7ac8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00000001900550c4 (__TEXT,__text) non-external _deflate_fast
00000001900547ec (__TEXT,__text) non-external _deflate_huff
0000000190054958 (__TEXT,__text) non-external _deflate_rle
0000000190001f30 (__TEXT,__text) non-external _deflate_slow
0000000190054f18 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00000001900318c0 (__TEXT,__text) non-external _emitMatch
00000001900b6b4c (__TEXT,__const) non-external _extra_blbits
00000001900b6ad4 (__TEXT,__const) non-external _extra_dbits
00000001900b6a60 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
0000000190002384 (__TEXT,__text) non-external _fill_window
0000000190003c80 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00000001900543e4 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001900b7774 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00000001900385cc (__TEXT,__text) non-external _getDecoderTable
00000001900b6d00 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00000001900b6e3c (__TEXT,__const) non-external _getMSymbolFromValue.sym
00000001900280a4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
000000019004cd78 (__TEXT,__text) non-external (was a private external) _get_crc_table
000000019002bf28 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
0000000190025f10 (__TEXT,__text) non-external _get_format_bits
0000000190025d34 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
0000000190025d68 (__TEXT,__text) non-external (was a private external) _get_format_components
0000000190025dcc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00000001900260b4 (__TEXT,__text) non-external _get_format_plane_count
0000000190025de8 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00000001900211e0 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
0000000190021224 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
000000019002bee0 (__TEXT,__text) non-external (was a private external) _get_real_time
0000000190021254 (__TEXT,__text) non-external (was a private external) _get_slice_height
0000000190021238 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
000000019002611c (__TEXT,__text) non-external _header_fetch_from_payload
000000019004f42c (__TEXT,__text) non-external _init_block
0000000190025dfc (__TEXT,__text) non-external (was a private external) _is_format_invalid
0000000190025d10 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
0000000190026784 (__TEXT,__text) non-external _is_image_valid
000000019001add8 (__TEXT,__text) non-external (was a private external) _join_thread
0000000190078370 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
0000000190059b10 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
