00000002948ce770 (__DATA,__data) non-external _.compoundliteral
0000000224798f70 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000002247eac08 (__TEXT,__text) non-external _GetOpRegs
00000002247e8cd0 (__TEXT,__text) non-external _GetOrAddBlock
00000002247eda60 (__TEXT,__text) non-external _GetRegChunk
00000002247e7500 (__TEXT,__text) non-external _GetRegister
00000002247ef28c (__TEXT,__text) non-external _GetRegisterIndicies
00000002247e9d84 (__TEXT,__text) non-external _GetRegisterTypeInfo
0000000224798fe4 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000002247f0d48 (__TEXT,__text) non-external _GetStreamArray
00000002247993d0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
0000000224799200 (__TEXT,__text) non-external _GrowAtomTable
00000002948ce728 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000002247e5724 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000002247e56a8 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000002247e582c (__TEXT,__text) non-external (was a private external) _HashSetGet
00000002247e5974 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000002247e596c (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000002247e55c4 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000002247e58c4 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000002247e5af4 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000002247e5a50 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000002247e5c50 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000002247e59ec (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
000000022479900c (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000002247995cc (__TEXT,__text) non-external (was a private external) _InitCPP
0000000224781c64 (__TEXT,__text) non-external (was a private external) _InitReg
000000022479c230 (__TEXT,__text) non-external (was a private external) _InitScanner
00000002247e7a10 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000002247e82dc (__TEXT,__text) non-external (was a private external) _InstructionFree
00000002247e7af8 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000002247eadb8 (__TEXT,__text) non-external _IsBadUsage
0000000224782f00 (__TEXT,__text) non-external (was a private external) _Load
0000000224798cf8 (__TEXT,__text) non-external (was a private external) _LookUpAddString
0000000224798dd8 (__TEXT,__text) non-external _LookUpAddStringHash
000000022479e2b0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
000000022479e320 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
000000022479b208 (__TEXT,__text) non-external (was a private external) _MacroExpand
000000022479ebf4 (__TEXT,__text) non-external (was a private external) _MatchNextToken
000000022479e114 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
000000022479e37c (__TEXT,__text) non-external (was a private external) _NewTokenStream
000000028fddb370 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
000000028fddb010 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
000000028fddb590 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
000000028fddb6d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
000000028fddb1d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
000000028fddb2d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
000000028fddb7d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
000000028fddb340 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000002246d7dec (__TEXT,__text) external _PPParserAttachLLVMIR
00000002246d7b58 (__TEXT,__text) external _PPParserAttachStream
00000002246d79a4 (__TEXT,__text) external _PPParserAttachString
00000002246e05c4 (__TEXT,__text) external _PPParserBuildErrorString
00000002246d78a8 (__TEXT,__text) external _PPParserCreate
00000002246d8570 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000002246df314 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000002246d7a7c (__TEXT,__text) external _PPParserFree
00000002246d8220 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000002246e15dc (__TEXT,__text) external _PPParserGetErrorString
00000002246e15ec (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000002246d85c4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000002246e15b8 (__TEXT,__text) external _PPParserGetLimits
00000002246e15d4 (__TEXT,__text) external _PPParserGetOptions
00000002246d832c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000002246d8698 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000002246e15e4 (__TEXT,__text) external _PPParserGetStream
00000002246d6970 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000002246d69b8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000002246d6a88 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000002246d6a04 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000002246e06ec (__TEXT,__text) non-external _PPParserInherit
00000002246d7924 (__TEXT,__text) external _PPParserInit
00000002246e1714 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000002246d7af8 (__TEXT,__text) non-external _PPParserLabelsFree
00000002246d6538 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000002246d6568 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000002246d6708 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000002246d6820 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000002246d668c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000002246d6644 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000002246d6784 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000002246e16a0 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000002246df6d8 (__TEXT,__text) external _PPParserParse
00000002246d95bc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000002246dd344 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000002246de770 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000002246df124 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000002246d8fb4 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000002246dba80 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000002246dc590 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000002246d8e54 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000002246dd4dc (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000002246d90a8 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000002246dd874 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000002246dcdf8 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000002246e14ec (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000002246d9330 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000002246dd1cc (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000002246dee70 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000002246de85c (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000002246e0854 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000002246d87d8 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000002246dc6f4 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000002246dcca4 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000002246d9f24 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000002246db8d4 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000002246d91d0 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000002246dcfb4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000002246ddc38 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000002246e0950 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000002246de134 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000002246ddf7c (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000002246d9d28 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000002246de43c (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000002246e0738 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000002246d6c4c (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000002246d82ac (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000002246d84e8 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000002246d7704 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000002246d6ac8 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000002246d7654 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000002246d7818 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000002246d7860 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000002246d7760 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000002246e15c0 (__TEXT,__text) external _PPParserSetLimits
00000002246e15b0 (__TEXT,__text) external _PPParserSetPrefs
00000002246d7928 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000002246d9748 (__TEXT,__text) non-external _PPParserValidateName
00000002247de9e8 (__TEXT,__text) external _PPStreamAddAddressUsage
00000002247deb44 (__TEXT,__text) external _PPStreamAddAttribBinding
00000002247df0cc (__TEXT,__text) external _PPStreamAddConstant
00000002247def94 (__TEXT,__text) external _PPStreamAddLabel
00000002247deca0 (__TEXT,__text) external _PPStreamAddOperation
00000002247df1cc (__TEXT,__text) external _PPStreamAddOption
00000002247debb8 (__TEXT,__text) external _PPStreamAddOutputBinding
00000002247dea5c (__TEXT,__text) external _PPStreamAddParamBinding
00000002247dead0 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000002247df158 (__TEXT,__text) external _PPStreamAddRasterOp
00000002247de738 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000002247de7a8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000002247de8f8 (__TEXT,__text) external _PPStreamAddTempUsage
00000002247de96c (__TEXT,__text) external _PPStreamAddTempUsageArray
00000002247dec2c (__TEXT,__text) external _PPStreamAddTexImage
00000002247dfc80 (__TEXT,__text) external _PPStreamAttachStream
00000002247dde04 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000002247e04dc (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000002247ddeec (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000002247de8c8 (__TEXT,__text) non-external _PPStreamChunkCreate
00000002247dde2c (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000002247de0f0 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000002247de438 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000002247de4b4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000002247ddfa8 (__TEXT,__text) external _PPStreamChunkListCreate
00000002247ddfd8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000002247de128 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000002247de528 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000002247de344 (__TEXT,__text) external _PPStreamChunkListGetStream
00000002247de1f0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000002247de188 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000002247de248 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000002247de2a0 (__TEXT,__text) external _PPStreamChunkListSort
00000002247e03a4 (__TEXT,__text) external _PPStreamCompare
00000002247de654 (__TEXT,__text) external _PPStreamCreate
00000002247de81c (__TEXT,__text) external _PPStreamFree
00000002247df23c (__TEXT,__text) external _PPStreamGetStream
00000002247dfc50 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000002247deea0 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000002247ded88 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000002247dde18 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000002247e0598 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000002247dddf0 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000002247df044 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000002247e0c04 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000002247e0ae8 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000002246e2820 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000002246e33c0 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000002247dfb2c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000002247df5b8 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000002246e3560 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000002246e34c8 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000002247dfc24 (__TEXT,__text) external _PPStreamTokenAlloc
00000002246e3924 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000002246e3d18 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000002246e3b64 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000002246e3c5c (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000002247dfc4c (__TEXT,__text) external _PPStreamTokenFree
00000002246e27e0 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000002246e277c (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
0000000224809c88 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
0000000224809d48 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
0000000224809e18 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
000000028fddbb98 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000002246e3de8 (__TEXT,__text) external _PPStreamTokenValidateOptions
000000028fddc8d0 (__DATA_CONST,__const) non-external _PROMOTIONS
000000022480adf4 (__TEXT,__const) non-external _PROMOTIONS_110
000000022480adf8 (__TEXT,__const) non-external _PROMOTIONS_120
000000022480ae30 (__TEXT,__const) non-external _PROMOTIONS_400
000000022480ae08 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000002247e8f20 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000002247e8e78 (__TEXT,__text) non-external (was a private external) _ProgramNew
000000022479ecb4 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
000000022479e64c (__TEXT,__text) non-external (was a private external) _ReadToken
00000002247f0860 (__TEXT,__text) non-external _RecordFunctionCall
000000022479e4d8 (__TEXT,__text) non-external (was a private external) _RecordToken
00000002247e791c (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000002247e7858 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000002247e6438 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000002247e63ac (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000002247e8524 (__TEXT,__text) non-external (was a private external) _Registerify
00000002247e7550 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000002247e86c0 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000002247e84c4 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000002247e60f0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000002247e64b4 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000002247e6544 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000002247ed4e0 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000002246e1654 (__TEXT,__text) non-external _ResizeGLDAttribBindings
000000022479e638 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
000000022479d404 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
000000022479d61c (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
000000022479c2e0 (__TEXT,__text) non-external (was a private external) _ScanFromString
000000022479d824 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
0000000224782e24 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
000000022478f234 (__TEXT,__text) external _ShAttributeBindingRequest
000000022478f184 (__TEXT,__text) external _ShCleanup
000000022478ebd4 (__TEXT,__text) external _ShCompile
000000022478e7f0 (__TEXT,__text) external _ShConstructCompiler
000000022478e884 (__TEXT,__text) external _ShConstructLinker
000000022478e94c (__TEXT,__text) external _ShDestruct
000000022478ebcc (__TEXT,__text) external _ShFinalize
00000002247902f8 (__TEXT,__text) external _ShFragDataBindingRequest
000000022478fa78 (__TEXT,__text) external _ShGetActiveAttrib
000000022478f714 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
000000022478f6fc (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
000000022478f6bc (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000002247913fc (__TEXT,__text) external _ShGetActiveSamplerLocations
00000002247919cc (__TEXT,__text) external _ShGetActiveSubroutineName
0000000224791920 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000002247917c4 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
0000000224791258 (__TEXT,__text) external _ShGetActiveUniform
0000000224790b04 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000002247907ec (__TEXT,__text) external _ShGetActiveUniformBlockiv
0000000224790d30 (__TEXT,__text) external _ShGetActiveUniformIndex
0000000224790fa8 (__TEXT,__text) external _ShGetActiveUniformName
000000022478fbfc (__TEXT,__text) external _ShGetAttribLocation
000000022478f978 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
0000000224791a70 (__TEXT,__text) external _ShGetCachedUniformIndexTable
0000000224791a88 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
000000022478fcac (__TEXT,__text) external _ShGetContextStateUniforms
000000022479049c (__TEXT,__text) external _ShGetFragDataLocation
000000022478f194 (__TEXT,__text) external _ShGetInfoLog
0000000224791aa0 (__TEXT,__text) external _ShGetInteger
000000022478ff6c (__TEXT,__text) external _ShGetLinkerPPStream
00000002247914f8 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
0000000224791560 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000002247906ac (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
0000000224791170 (__TEXT,__text) external _ShGetMaxActiveUniformLength
000000022478f9f4 (__TEXT,__text) external _ShGetMaxAttributeLength
00000002247901e8 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
000000022478f3d4 (__TEXT,__text) external _ShGetNumActiveAttributes
0000000224790cac (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000002247914e8 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
0000000224791464 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
000000022479143c (__TEXT,__text) external _ShGetNumActiveSubroutines
00000002247905f8 (__TEXT,__text) external _ShGetNumActiveUniformBlocks
0000000224791094 (__TEXT,__text) external _ShGetNumActiveUniforms
00000002247902e8 (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
000000022478f6d4 (__TEXT,__text) external _ShGetNumBindableUniformBuffers
000000022478ff4c (__TEXT,__text) external _ShGetPPStreamManager
000000022478ff5c (__TEXT,__text) external _ShGetShaderByteCode
0000000224791714 (__TEXT,__text) external _ShGetSubroutineIndex
00000002247915e4 (__TEXT,__text) external _ShGetSubroutineUniformLocation
0000000224790250 (__TEXT,__text) external _ShGetTransformFeedbackVarying
0000000224790734 (__TEXT,__text) external _ShGetUniformBlockIndex
0000000224790bb8 (__TEXT,__text) external _ShGetUniformIndex
000000022478fcbc (__TEXT,__text) external _ShGetUniformLocation
000000022478f9ec (__TEXT,__text) external _ShGetUniformPartitionInfo
000000022478e7bc (__TEXT,__text) external _ShInitialize
0000000224791e1c (__TEXT,__text) external _ShInitializeLibrary
000000022478ed10 (__TEXT,__text) external _ShLink
000000022478fe88 (__TEXT,__text) external _ShSetInitialUniformValue
0000000224791e20 (__TEXT,__text) external _ShTerminateLibrary
000000022479008c (__TEXT,__text) external _ShTransformFeedbackVaryings
