00000001830bfa40 (__AUTH_CONST,__const) external _AwdlAdapter_Class
000000018096a850 (__TEXT,__const) non-external __ZL36OSClassDescription_RegulatoryAdapter
000000018096a490 (__TEXT,__const) non-external __ZL36OSClassDescription_StatisticsAdapter
0000000180969950 (__TEXT,__const) non-external __ZL37OSClassDescription_RXPktFilterAdapter
0000000180969bd0 (__TEXT,__const) non-external __ZL38OSClassDescription_CommandQueueAdapter
000000018096ae90 (__TEXT,__const) non-external __ZL38OSClassDescription_EventAdapterHotspot
000000018096bed0 (__TEXT,__const) non-external __ZL38OSClassDescription_IO80211PowerAdapter
000000018096a710 (__TEXT,__const) non-external __ZL44OSClassDescription_IPCBufferMemoryDescriptor
                 (undefined) external __ZN15OSMetaClassBase8DispatchE5IORPC (from DriverKit)
0000000180969474 (__TEXT,__text) external __ZN16IPCRingMetaClass3NewEP8OSObject
00000001809694a4 (__TEXT,__text) external __ZN17CrashLogMetaClass3NewEP8OSObject
0000000180969024 (__TEXT,__text) external __ZN18AxAdapterMetaClass3NewEP8OSObject
0000000180969414 (__TEXT,__text) external __ZN19GASAdapterMetaClass3NewEP8OSObject
00000001809692f4 (__TEXT,__text) external __ZN19IPCAdapterMetaClass3NewEP8OSObject
00000001809691a4 (__TEXT,__text) external __ZN19NanAdapterMetaClass3NewEP8OSObject
00000001809690b4 (__TEXT,__text) external __ZN19NetAdapterMetaClass3NewEP8OSObject
0000000180969054 (__TEXT,__text) external __ZN19WnmAdapterMetaClass3NewEP8OSObject
0000000180969384 (__TEXT,__text) external __ZN20AwdlAdapterMetaClass3NewEP8OSObject
0000000180969444 (__TEXT,__text) external __ZN20MgmtAdapterMetaClass3NewEP8OSObject
0000000180969114 (__TEXT,__text) external __ZN20RoamAdapterMetaClass3NewEP8OSObject
0000000180969504 (__TEXT,__text) external __ZN20ScanAdapterMetaClass3NewEP8OSObject
0000000180969684 (__TEXT,__text) external __ZN21DebugAdapterMetaClass3NewEP8OSObject
00000001809691d4 (__TEXT,__text) external __ZN21EventAdapterMetaClass3NewEP8OSObject
00000001809695f4 (__TEXT,__text) external __ZN21HWDataPacketMetaClass3NewEP8OSObject
00000001809693e4 (__TEXT,__text) external __ZN22BGScanAdapterMetaClass3NewEP8OSObject
0000000180969654 (__TEXT,__text) external __ZN22LoggerAdapterMetaClass3NewEP8OSObject
0000000180969354 (__TEXT,__text) external __ZN22SystemAdapterMetaClass3NewEP8OSObject
0000000180969534 (__TEXT,__text) external __ZN23HotspotAdapterMetaClass3NewEP8OSObject
00000001809694d4 (__TEXT,__text) external __ZN23NanDataAdapterMetaClass3NewEP8OSObject
0000000180969594 (__TEXT,__text) external __ZN23StationAdapterMetaClass3NewEP8OSObject
0000000180969564 (__TEXT,__text) external __ZN24ChanSpecAdapterMetaClass3NewEP8OSObject
0000000180969204 (__TEXT,__text) external __ZN24EventAdapterNANMetaClass3NewEP8OSObject
0000000180969144 (__TEXT,__text) external __ZN24EventAdapterSTAMetaClass3NewEP8OSObject
0000000180969324 (__TEXT,__text) external __ZN24EventHandlerSTAMetaClass3NewEP8OSObject
0000000180969174 (__TEXT,__text) external __ZN25CommanderAdapterMetaClass3NewEP8OSObject
0000000180969264 (__TEXT,__text) external __ZN25EventAdapterAWDLMetaClass3NewEP8OSObject
00000001809695c4 (__TEXT,__text) external __ZN26ConnectionAdapterMetaClass3NewEP8OSObject
00000001809692c4 (__TEXT,__text) external __ZN26RegulatoryAdapterMetaClass3NewEP8OSObject
0000000180969234 (__TEXT,__text) external __ZN26StatisticsAdapterMetaClass3NewEP8OSObject
0000000180969084 (__TEXT,__text) external __ZN27RXPktFilterAdapterMetaClass3NewEP8OSObject
00000001809690e4 (__TEXT,__text) external __ZN28CommandQueueAdapterMetaClass3NewEP8OSObject
00000001809693b4 (__TEXT,__text) external __ZN28EventAdapterHotspotMetaClass3NewEP8OSObject
0000000180969624 (__TEXT,__text) external __ZN28IO80211PowerAdapterMetaClass3NewEP8OSObject
0000000180969294 (__TEXT,__text) external __ZN34IPCBufferMemoryDescriptorMetaClass3NewEP8OSObject
                 (undefined) external __ZNK15OSMetaClassBase12getMetaClassEv (from DriverKit)
                 (undefined) external __ZNK15OSMetaClassBase6retainEv (from DriverKit)
                 (undefined) external __ZNK15OSMetaClassBase7releaseEv (from DriverKit)
                 (undefined) external __ZNK15OSMetaClassBase9isEqualToEPKS_ (from DriverKit)
00000001830bff40 (__AUTH_CONST,__const) external __ZTV16IPCRingMetaClass
00000001830c0020 (__AUTH_CONST,__const) external __ZTV17CrashLogMetaClass
00000001830beb20 (__AUTH_CONST,__const) external __ZTV18AxAdapterMetaClass
00000001830bfd80 (__AUTH_CONST,__const) external __ZTV19GASAdapterMetaClass
00000001830bf840 (__AUTH_CONST,__const) external __ZTV19IPCAdapterMetaClass
00000001830bf220 (__AUTH_CONST,__const) external __ZTV19NanAdapterMetaClass
00000001830bedc0 (__AUTH_CONST,__const) external __ZTV19NetAdapterMetaClass
00000001830bec00 (__AUTH_CONST,__const) external __ZTV19WnmAdapterMetaClass
00000001830bfae0 (__AUTH_CONST,__const) external __ZTV20AwdlAdapterMetaClass
00000001830bfe60 (__AUTH_CONST,__const) external __ZTV20MgmtAdapterMetaClass
00000001830bef80 (__AUTH_CONST,__const) external __ZTV20RoamAdapterMetaClass
00000001830c01e0 (__AUTH_CONST,__const) external __ZTV20ScanAdapterMetaClass
00000001830c08e0 (__AUTH_CONST,__const) external __ZTV21DebugAdapterMetaClass
00000001830bf300 (__AUTH_CONST,__const) external __ZTV21EventAdapterMetaClass
00000001830c0640 (__AUTH_CONST,__const) external __ZTV21HWDataPacketMetaClass
00000001830bfca0 (__AUTH_CONST,__const) external __ZTV22BGScanAdapterMetaClass
00000001830c0800 (__AUTH_CONST,__const) external __ZTV22LoggerAdapterMetaClass
00000001830bfa00 (__AUTH_CONST,__const) external __ZTV22SystemAdapterMetaClass
00000001830c02c0 (__AUTH_CONST,__const) external __ZTV23HotspotAdapterMetaClass
00000001830c0100 (__AUTH_CONST,__const) external __ZTV23NanDataAdapterMetaClass
00000001830c0480 (__AUTH_CONST,__const) external __ZTV23StationAdapterMetaClass
00000001830c03a0 (__AUTH_CONST,__const) external __ZTV24ChanSpecAdapterMetaClass
00000001830bf3e0 (__AUTH_CONST,__const) external __ZTV24EventAdapterNANMetaClass
00000001830bf060 (__AUTH_CONST,__const) external __ZTV24EventAdapterSTAMetaClass
00000001830bf920 (__AUTH_CONST,__const) external __ZTV24EventHandlerSTAMetaClass
00000001830bf140 (__AUTH_CONST,__const) external __ZTV25CommanderAdapterMetaClass
00000001830bf5a0 (__AUTH_CONST,__const) external __ZTV25EventAdapterAWDLMetaClass
00000001830c0560 (__AUTH_CONST,__const) external __ZTV26ConnectionAdapterMetaClass
00000001830bf760 (__AUTH_CONST,__const) external __ZTV26RegulatoryAdapterMetaClass
00000001830bf4c0 (__AUTH_CONST,__const) external __ZTV26StatisticsAdapterMetaClass
00000001830bece0 (__AUTH_CONST,__const) external __ZTV27RXPktFilterAdapterMetaClass
00000001830beea0 (__AUTH_CONST,__const) external __ZTV28CommandQueueAdapterMetaClass
00000001830bfbc0 (__AUTH_CONST,__const) external __ZTV28EventAdapterHotspotMetaClass
00000001830c0720 (__AUTH_CONST,__const) external __ZTV28IO80211PowerAdapterMetaClass
00000001830bf680 (__AUTH_CONST,__const) external __ZTV34IPCBufferMemoryDescriptorMetaClass
0000000183000ba8 (__DATA,__common) external _gAwdlAdapterMetaClass
0000000180fe6f98 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gAwdlAdapter_Declaration
0000000183000b18 (__DATA,__common) external _gAxAdapterMetaClass
0000000180fe6f08 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gAxAdapter_Declaration
0000000183000bb8 (__DATA,__common) external _gBGScanAdapterMetaClass
0000000180fe6fa8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gBGScanAdapter_Declaration
0000000183000bf8 (__DATA,__common) external _gChanSpecAdapterMetaClass
0000000180fe6fe8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gChanSpecAdapter_Declaration
0000000183000b38 (__DATA,__common) external _gCommandQueueAdapterMetaClass
0000000180fe6f28 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gCommandQueueAdapter_Declaration
0000000183000b50 (__DATA,__common) external _gCommanderAdapterMetaClass
0000000180fe6f40 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gCommanderAdapter_Declaration
0000000183000c08 (__DATA,__common) external _gConnectionAdapterMetaClass
0000000180fe6ff8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gConnectionAdapter_Declaration
0000000183000bd8 (__DATA,__common) external _gCrashLogMetaClass
0000000180fe6fc8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gCrashLog_Declaration
0000000183000c28 (__DATA,__common) external _gDebugAdapterMetaClass
0000000180fe7018 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gDebugAdapter_Declaration
0000000183000b78 (__DATA,__common) external _gEventAdapterAWDLMetaClass
0000000180fe6f68 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterAWDL_Declaration
0000000183000bb0 (__DATA,__common) external _gEventAdapterHotspotMetaClass
0000000180fe6fa0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterHotspot_Declaration
0000000183000b60 (__DATA,__common) external _gEventAdapterMetaClass
0000000183000b68 (__DATA,__common) external _gEventAdapterNANMetaClass
0000000180fe6f58 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterNAN_Declaration
0000000183000b48 (__DATA,__common) external _gEventAdapterSTAMetaClass
0000000180fe6f38 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapterSTA_Declaration
0000000180fe6f50 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventAdapter_Declaration
0000000183000b98 (__DATA,__common) external _gEventHandlerSTAMetaClass
0000000180fe6f88 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gEventHandlerSTA_Declaration
0000000183000bc0 (__DATA,__common) external _gGASAdapterMetaClass
0000000180fe6fb0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gGASAdapter_Declaration
0000000183000c10 (__DATA,__common) external _gHWDataPacketMetaClass
0000000180fe7000 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gHWDataPacket_Declaration
0000000183000bf0 (__DATA,__common) external _gHotspotAdapterMetaClass
0000000180fe6fe0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gHotspotAdapter_Declaration
0000000183000c18 (__DATA,__common) external _gIO80211PowerAdapterMetaClass
0000000180fe7008 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIO80211PowerAdapter_Declaration
0000000183000b90 (__DATA,__common) external _gIPCAdapterMetaClass
0000000180fe6f80 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIPCAdapter_Declaration
0000000183000b80 (__DATA,__common) external _gIPCBufferMemoryDescriptorMetaClass
0000000180fe6f70 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIPCBufferMemoryDescriptor_Declaration
0000000183000bd0 (__DATA,__common) external _gIPCRingMetaClass
0000000180fe6fc0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gIPCRing_Declaration
0000000183000c20 (__DATA,__common) external _gLoggerAdapterMetaClass
0000000180fe7010 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gLoggerAdapter_Declaration
0000000183000bc8 (__DATA,__common) external _gMgmtAdapterMetaClass
0000000180fe6fb8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gMgmtAdapter_Declaration
0000000183000b58 (__DATA,__common) external _gNanAdapterMetaClass
0000000180fe6f48 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gNanAdapter_Declaration
0000000183000be0 (__DATA,__common) external _gNanDataAdapterMetaClass
0000000180fe6fd0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gNanDataAdapter_Declaration
0000000183000b30 (__DATA,__common) external _gNetAdapterMetaClass
0000000180fe6f20 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gNetAdapter_Declaration
0000000183000b28 (__DATA,__common) external _gRXPktFilterAdapterMetaClass
0000000180fe6f18 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gRXPktFilterAdapter_Declaration
0000000183000b88 (__DATA,__common) external _gRegulatoryAdapterMetaClass
0000000180fe6f78 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gRegulatoryAdapter_Declaration
0000000183000b40 (__DATA,__common) external _gRoamAdapterMetaClass
0000000180fe6f30 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gRoamAdapter_Declaration
0000000183000be8 (__DATA,__common) external _gScanAdapterMetaClass
0000000180fe6fd8 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gScanAdapter_Declaration
0000000183000c00 (__DATA,__common) external _gStationAdapterMetaClass
0000000180fe6ff0 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gStationAdapter_Declaration
0000000183000b70 (__DATA,__common) external _gStatisticsAdapterMetaClass
0000000180fe6f60 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gStatisticsAdapter_Declaration
0000000183000ba0 (__DATA,__common) external _gSystemAdapterMetaClass
0000000180fe6f90 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gSystemAdapter_Declaration
0000000183000b20 (__DATA,__common) external _gWnmAdapterMetaClass
0000000180fe6f10 (__DATA_CONST,__osclassinfo) non-external (was a private external) _gWnmAdapter_Declaration
