                 (undefined) external _NSSearchPathForDirectoriesInDomains (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NLTokenizer (from NaturalLanguage)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_source (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_RBSAcquisitionCompletionAttribute (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSAssertion (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSAttribute (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSDomainAttribute (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$_RBSTarget (from RunningBoardServices)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffd0e2a9828 (__TEXT,__const) external _TeaDBVersionNumber
00007ffd4111e6d8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB10LazyEntity
00007ffd4111ea90 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB10LazyLoader
00007ffd4111e868 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB12SearchColumn
00007ffd4111de38 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB13KeyValueStore
00007ffd4111e998 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB17PreparedStatement
00007ffd4111e580 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB18MixedKeyValueStore
00007ffd4111e900 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB4Drop
00007ffd4111e310 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB4Save
00007ffd4111e148 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB5Query
00007ffd4111e380 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB5RowID
00007ffd4111e198 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB5Store
00007ffd4111e8d8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB5Table
00007ffd4111e200 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB6Column
00007ffd4111ea48 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB6Create
00007ffd4111e2e8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB6Delete
00007ffd4111e928 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB6Update
00007ffd4111e098 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB8Database
00007ffd4111e170 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB8LazyJSON
00007ffd4111e790 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB9Assertion
00007ffd4111e720 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB9QuerySome
00007ffd4111e608 (__DATA_CONST,__objc_const) non-external __IVARS__TtC5TeaDB9Statement
00007ffd4111e4a8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB10Connection
00007ffd4111e3f0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB10FastEntity
00007ffd4111e820 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB12SearchColumn
00007ffd4111e950 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB17PreparedStatement
00007ffd4111e338 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB5RowID
00007ffd4111e050 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB8Database
00007ffd4111e748 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC5TeaDB9Assertion
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffd4111df68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffd0e2a96f8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffd0e2a97e8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffd4111dfb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffd4111df50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_dispatch_source
00007ffd4111df20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_dispatch_source_memorypressure
00007ffd4111df38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_dispatch_source_timer
00007ffd4111de28 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffd4111de18 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_dispatch_source
00007ffd4111de00 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_dispatch_source_memorypressure
00007ffd4111de10 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_dispatch_source_timer
00007ffd44078440 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffd440783e0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_dispatch_source
00007ffd440781d8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_dispatch_source_memorypressure
00007ffd44078278 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_OS_dispatch_source_timer
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd0e26c5f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd0e26c610 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffd0e29b9fd (__TEXT,__text) non-external (was a private external) ___swift_allocate_boxed_opaque_existential_0
00007ffd0e2991cc (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffd0e290a00 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_0
00007ffd0e290a00 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_0Tm
00007ffd0e290a00 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffd0e290a00 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffd0e29de80 (__TEXT,__text) non-external (was a private external) ___swift_getEnumTagSinglePayload
00007ffd0e27ea38 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffd0e27e9ec (__TEXT,__text) non-external (was a private external) ___swift_memcpy0_1
00007ffd0e2a7c10 (__TEXT,__text) non-external (was a private external) ___swift_memcpy10_8
00007ffd0e28b956 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffd0e279d1c (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffd0e290078 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffd0e28a8d0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00007ffd0e295d49 (__TEXT,__text) non-external (was a private external) ___swift_memcpy2_1
00007ffd0e295c90 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00007ffd0e279e08 (__TEXT,__text) non-external (was a private external) ___swift_memcpy33_8
00007ffd0e27c2dc (__TEXT,__text) non-external (was a private external) ___swift_memcpy40_8
00007ffd0e29d02e (__TEXT,__text) non-external (was a private external) ___swift_memcpy48_8
00007ffd0e295522 (__TEXT,__text) non-external (was a private external) ___swift_memcpy49_8
00007ffd0e26b94e (__TEXT,__text) non-external (was a private external) ___swift_memcpy4_4
00007ffd0e29544f (__TEXT,__text) non-external (was a private external) ___swift_memcpy50_8
00007ffd0e285744 (__TEXT,__text) non-external (was a private external) ___swift_memcpy64_8
00007ffd0e27a188 (__TEXT,__text) non-external (was a private external) ___swift_memcpy72_8
00007ffd0e270dc2 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00007ffd0e2a7ce4 (__TEXT,__text) non-external (was a private external) ___swift_memcpy9_8
00007ffd0e2a8904 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00007ffd0e26b8c0 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00007ffd0e282620 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00007ffd0e26e173 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00007ffd0e2a9d80 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00007ffd0e27f570 (__TEXT,__text) non-external (was a private external) ___swift_storeEnumTagSinglePayload
00007ffd0e2a9ec0 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ab170 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ab690 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ab7a0 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ab808 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ab898 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ac698 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ac910 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ad5d8 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ad790 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ae3d8 (__TEXT,__const) non-external ___unnamed_1
00007ffd0e2ae550 (__TEXT,__const) non-external ___unnamed_1
00007ffd4111aad0 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111adb0 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111af48 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111b148 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111b2a8 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111b3b0 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111c168 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111ccc0 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111d428 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111d508 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111d610 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd4111db70 (__DATA_CONST,__const) non-external ___unnamed_1
00007ffd0e2ac250 (__TEXT,__const) non-external ___unnamed_10
00007ffd0e2a9978 (__TEXT,__const) non-external ___unnamed_13
00007ffd0e2a9a58 (__TEXT,__const) non-external ___unnamed_15
00007ffd4111bfc8 (__DATA_CONST,__const) non-external ___unnamed_2
00007ffd4111c420 (__DATA_CONST,__const) non-external ___unnamed_2
00007ffd4111d7a8 (__DATA_CONST,__const) non-external ___unnamed_2
00007ffd0e2abc00 (__TEXT,__const) non-external ___unnamed_3
00007ffd4111bc20 (__DATA_CONST,__const) non-external ___unnamed_3
00007ffd0e2ab4e8 (__TEXT,__const) non-external ___unnamed_5
00007ffd0e2ae378 (__TEXT,__const) non-external ___unnamed_5
00007ffd41119598 (__DATA_CONST,__const) non-external ___unnamed_5
00007ffd0e2ac1d0 (__TEXT,__const) non-external ___unnamed_8
                 (undefined) external __objc_autoreleasePoolPop (from libobjc)
                 (undefined) external __objc_autoreleasePoolPush (from libobjc)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __sqlite3_db_truncate (from libsqlite3)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) external __swiftImmortalRefCount (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
00007ffd41118d38 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreLocation (from libswiftCoreLocation)
00007ffd41118d58 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreLocation_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
00007ffd41118d28 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
00007ffd41118d10 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
00007ffd41118d40 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftMetal (from libswiftMetal)
00007ffd41118d70 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftMetal_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftNaturalLanguage (from libswiftNaturalLanguage)
00007ffd41118d80 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftNaturalLanguage_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftOSLog (from libswiftOSLog)
00007ffd41118d50 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftOSLog_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
00007ffd41118d30 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftQuartzCore (from libswiftQuartzCore)
00007ffd41118d68 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftQuartzCore_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftUniformTypeIdentifiers (from libswiftUniformTypeIdentifiers)
00007ffd41118d78 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftUniformTypeIdentifiers_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
00007ffd41118d18 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swift_Builtin_float (from libswift_Builtin_float)
00007ffd41118d20 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swift_Builtin_float_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
00007ffd41118d48 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftos_$_TeaDB
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftsimd (from libswiftsimd)
00007ffd41118d60 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftsimd_$_TeaDB
                 (undefined) external __swift_stdlib_bridgeErrorToNSError (from libswiftCore)
00007ffd0e271712 (__TEXT,__text) non-external __swift_stdlib_malloc_size
00007ffd0e2afeb6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10FastColumnC10CodingKeys33_3BE36BB55DEFBBB7C7DD3DA0CEF00491LLOyx_GSHAASQ
00007ffd0e2afec6 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10FastColumnC10CodingKeys33_3BE36BB55DEFBBB7C7DD3DA0CEF00491LLOyx_Gs0E3KeyAAs23CustomStringConvertible
00007ffd0e2afebe (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10FastColumnC10CodingKeys33_3BE36BB55DEFBBB7C7DD3DA0CEF00491LLOyx_Gs0E3KeyAAs28CustomDebugStringConvertible
00007ffd0e2aff24 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10LazyEntityC10CodingKeys33_CE64A07D3DA2070D689F20A779438864LLOyx_GSHAASQ
00007ffd0e2aff34 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10LazyEntityC10CodingKeys33_CE64A07D3DA2070D689F20A779438864LLOyx_Gs0E3KeyAAs23CustomStringConvertible
00007ffd0e2aff2c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10LazyEntityC10CodingKeys33_CE64A07D3DA2070D689F20A779438864LLOyx_Gs0E3KeyAAs28CustomDebugStringConvertible
00007ffd0e2afe2c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10MKVSEntity33_5BDBC81F24CE5E5601160448BDAD238ALLV10CodingKeysOyx_GSHAASQ
00007ffd0e2afe44 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10MKVSEntity33_5BDBC81F24CE5E5601160448BDAD238ALLV10CodingKeysOyx_Gs0I3KeyAAs23CustomStringConvertible
00007ffd0e2afe3c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB10MKVSEntity33_5BDBC81F24CE5E5601160448BDAD238ALLV10CodingKeysOyx_Gs0I3KeyAAs28CustomDebugStringConvertible
00007ffd0e2b0170 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB11SearchOrderV9DirectionOyx_GSHAASQ
00007ffd0e2afb24 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB11SearchTableV6DeleteV5ErrorOyx__GSHAASQ
00007ffd0e2aff10 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB11TransactionOSHAASQ
00007ffd0e2b0084 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB12SearchColumnC10CodingKeysOSHAASQ
00007ffd0e2b0094 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB12SearchColumnC10CodingKeysOs0E3KeyAAs23CustomStringConvertible
00007ffd0e2b008c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB12SearchColumnC10CodingKeysOs0E3KeyAAs28CustomDebugStringConvertible
00007ffd0e2af776 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB13KeyValueStoreC16TranslationError33_51F96BDCFF3319EB2A3F7B77FCB3C5B8LLOyxq__GSHAASQ
00007ffd0e2b0034 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB13UpdateCommandV6Errors33_7264A724FEC99DFE59608CDBE0873C9ALLOyx_GSHAASQ
00007ffd0e2b0206 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB15LazyLoaderErrorOSHAASQ
00007ffd0e2b00bc (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16AssertionOptionsVs10SetAlgebraAASQ
00007ffd0e2b00c4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16AssertionOptionsVs10SetAlgebraAAs25ExpressibleByArrayLiteral
00007ffd0e2b009c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16AssertionOptionsVs9OptionSetAASY
00007ffd0e2b00a4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16AssertionOptionsVs9OptionSetAAs0F7Algebra
00007ffd0e2afc8e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16MigratableEntityV10CodingKeys33_49D9CE12DEB669FC4E7DC4353600CCD1LLOyx_GSHAASQ
00007ffd0e2afc9e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16MigratableEntityV10CodingKeys33_49D9CE12DEB669FC4E7DC4353600CCD1LLOyx_Gs0E3KeyAAs23CustomStringConvertible
00007ffd0e2afc96 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16MigratableEntityV10CodingKeys33_49D9CE12DEB669FC4E7DC4353600CCD1LLOyx_Gs0E3KeyAAs28CustomDebugStringConvertible
00007ffd0e2afc7a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB16MigratableEntityVyxGAA0C0AA0D0AaEP_AA0D4Type
00007ffd0e2af83e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB17SearchMatchPhraseOs26ExpressibleByStringLiteralAA0hI4TypesADP_s01_fg7BuiltinhI0
00007ffd0e2af836 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB17SearchMatchPhraseOs26ExpressibleByStringLiteralAAs0fg23ExtendedGraphemeClusterI0
00007ffd0e2af8aa (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB17SearchMatchPhraseOs33ExpressibleByUnicodeScalarLiteralAA0hiJ4TypesADP_s01_fg7BuiltinhiJ0
00007ffd0e2af870 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB17SearchMatchPhraseOs43ExpressibleByExtendedGraphemeClusterLiteralAA0hijK4TypesADP_s01_fg7BuiltinhijK0
00007ffd0e2af868 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB17SearchMatchPhraseOs43ExpressibleByExtendedGraphemeClusterLiteralAAs0fg13UnicodeScalarK0
00007ffd0e2afe34 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB18MixedKeyValueStoreC16TranslationError33_5BDBC81F24CE5E5601160448BDAD238ALLOyx_GSHAASQ
00007ffd0e2aff74 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO11PunctuationOSHAASQ
00007ffd0e2aff58 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO4MarkOSHAASQ
00007ffd0e2aff4a (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO6LetterOSHAASQ
00007ffd0e2aff66 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO6NumberOSHAASQ
00007ffd0e2aff82 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO6SymbolOSHAASQ
00007ffd0e2aff3c (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO7SpecialOSHAASQ
00007ffd0e2aff90 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB25Unicode61TokenizerOptionsV17UnicodeCategoriesO9SeparatorOSHAASQ
00007ffd0e2b00ea (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB4JSONV10CodingKeys33_A91950C902DB43BBD77E28BE8B892A70LLOyx_GSHAASQ
00007ffd0e2b00fa (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB4JSONV10CodingKeys33_A91950C902DB43BBD77E28BE8B892A70LLOyx_Gs0D3KeyAAs23CustomStringConvertible
00007ffd0e2b00f2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB4JSONV10CodingKeys33_A91950C902DB43BBD77E28BE8B892A70LLOyx_Gs0D3KeyAAs28CustomDebugStringConvertible
00007ffd0e2afce4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB5RowIDC10CodingKeysOSHAASQ
00007ffd0e2afcf4 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB5RowIDC10CodingKeysOs0E3KeyAAs23CustomStringConvertible
00007ffd0e2afcec (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB5RowIDC10CodingKeysOs0E3KeyAAs28CustomDebugStringConvertible
00007ffd0e2af79e (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB8DataTypeOSHAASQ
00007ffd0e2af9ba (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB8DatabaseC10VacuumModeOSHAASQ
00007ffd0e2af9b2 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB8DatabaseC12RecoveryModeOSHAASQ
00007ffd0e2af9aa (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB8DatabaseC14JournalingModeOSHAASQ
00007ffd0e2afb48 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB8LazyJSONC10CodingKeys33_B4DFE2769A2CCB32A1211B3DF1C8A156LLOyx_GSHAASQ
00007ffd0e2afb58 (__TEXT,__swift5_typeref) non-external (was a private external) _associated conformance 5TeaDB8LazyJSONC10CodingKeys33_B4DFE2769A2CCB32A1211B3DF1C8A156LLOyx_Gs0E3KeyAAs23CustomStringConvertible
