
/System/Cryptexes/OS/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
0000000000042310 (__DATA,__data) external _NDR_record
0000000000007bec (__TEXT,__text) external ___ptrace
000000000000b800 (__TEXT,__text) external ___pwrite_nocancel
000000000000b818 (__TEXT,__text) external ___pwritev_nocancel
0000000000002464 (__TEXT,__text) external ___read_nocancel
000000000000b830 (__TEXT,__text) external ___readv_nocancel
000000000000b848 (__TEXT,__text) external ___reboot
000000000000b860 (__TEXT,__text) external ___record_system_event
0000000000004264 (__TEXT,__text) external ___recvfrom
0000000000004134 (__TEXT,__text) external ___recvfrom_nocancel
0000000000004558 (__TEXT,__text) external ___recvmsg
000000000000b878 (__TEXT,__text) external ___recvmsg_nocancel
0000000000043028 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000000000039a4 (__TEXT,__text) external ___rename
000000000000b890 (__TEXT,__text) external ___renameat
000000000000b8a8 (__TEXT,__text) external ___renameatx_np
00000000000039dc (__TEXT,__text) external ___rmdir
000000000000b398 (__TEXT,__text) external ___sandbox_me
000000000000b458 (__TEXT,__text) external ___sandbox_mm
00000000000020a8 (__TEXT,__text) external ___sandbox_ms
0000000000007804 (__TEXT,__text) external ___sandbox_msp
0000000000009978 (__TEXT,__text) external ___select
000000000000411c (__TEXT,__text) external ___select_nocancel
00000000000085e0 (__TEXT,__text) external ___sem_open
000000000000b8c0 (__TEXT,__text) external ___sem_wait_nocancel
000000000000b8d8 (__TEXT,__text) external ___semctl
000000000000b8f0 (__TEXT,__text) external ___semsys
00000000000035d4 (__TEXT,__text) external ___semwait_signal
000000000000688c (__TEXT,__text) external ___semwait_signal_nocancel
000000000000538c (__TEXT,__text) external ___sendmsg
0000000000004164 (__TEXT,__text) external ___sendmsg_nocancel
000000000000424c (__TEXT,__text) external ___sendto
00000000000040d8 (__TEXT,__text) external ___sendto_nocancel
00000000000036bc (__TEXT,__text) external ___setattrlist
000000000000a560 (__TEXT,__text) external ___setlogin
0000000000007390 (__TEXT,__text) external ___setpriority
000000000000b908 (__TEXT,__text) external ___setregid
000000000000b920 (__TEXT,__text) external ___setreuid
0000000000002eac (__TEXT,__text) external ___setrlimit
000000000000b938 (__TEXT,__text) external ___setsgroups
0000000000008408 (__TEXT,__text) external ___settid
000000000000b950 (__TEXT,__text) external ___settid_with_pid
000000000000b968 (__TEXT,__text) external ___settimeofday
000000000000b980 (__TEXT,__text) external ___setwgroups
0000000000008638 (__TEXT,__text) external ___sfi_ctl
000000000000b998 (__TEXT,__text) external ___sfi_pidctl
000000000000b9b0 (__TEXT,__text) external ___shared_region_check_np
000000000000b9c8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000000001f98 (__TEXT,__text) external ___shm_open
000000000000b9e0 (__TEXT,__text) external ___shmctl
000000000000b9f8 (__TEXT,__text) external ___shmsys
0000000000005b18 (__TEXT,__text) external ___sigaction
0000000000003674 (__TEXT,__text) external ___sigaltstack
000000000000a13c (__TEXT,__text) external ___sigreturn
000000000000ba10 (__TEXT,__text) external ___sigsuspend
00000000000068b8 (__TEXT,__text) external ___sigsuspend_nocancel
000000000000a16c (__TEXT,__text) external ___sigwait
000000000000414c (__TEXT,__text) external ___socketpair
000000000000ba28 (__TEXT,__text) external ___stack_snapshot_with_config
0000000000005198 (__TEXT,__text) external ___stat64_extended
000000000000ba40 (__TEXT,__text) external ___stat_extended
0000000000011e9e (__TEXT,__text) non-external ___statfs_ext_impl
00000000000027cc (__TEXT,__text) external ___syscall
0000000000042380 (__DATA,__common) external ___syscall_logger
0000000000001ee0 (__TEXT,__text) external ___sysctl
000000000000204c (__TEXT,__text) external ___sysctlbyname
000000000000ba58 (__TEXT,__text) external ___telemetry
0000000000009240 (__TEXT,__text) external ___terminate_with_payload
0000000000002310 (__TEXT,__text) external ___thread_selfid
000000000000ba70 (__TEXT,__text) external ___thread_selfusage
0000000000002328 (__TEXT,__text) external ___ulock_wait
000000000000ba88 (__TEXT,__text) external ___ulock_wait2
00000000000023ac (__TEXT,__text) external ___ulock_wake
000000000000baa0 (__TEXT,__text) external ___umask_extended
0000000000003c68 (__TEXT,__text) external ___unlink
00000000000088ec (__TEXT,__text) external ___unlinkat
000000000000bab8 (__TEXT,__text) external ___vfork
0000000000006828 (__TEXT,__text) external ___wait4
000000000000aa50 (__TEXT,__text) external ___wait4_nocancel
000000000000bb10 (__TEXT,__text) external ___waitid_nocancel
0000000000007d54 (__TEXT,__text) external ___work_interval_ctl
0000000000002298 (__TEXT,__text) external ___workq_kernreturn
00000000000022b0 (__TEXT,__text) external ___workq_open
0000000000003bf4 (__TEXT,__text) external ___write_nocancel
000000000000bb28 (__TEXT,__text) external ___writev_nocancel
0000000000042328 (__DATA,__common) external __cpu_capabilities
0000000000042374 (__DATA,__common) external __cpu_has_altivec
0000000000043008 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
0000000000043050 (__DATA_DIRTY,__bss) non-external __dlsym
0000000000000c04 (__TEXT,__text) external __exclaves_ctl_trap
000000000000d545 (__TEXT,__text) non-external __execve_with_filter
00000000000068d0 (__TEXT,__text) external __exit
0000000000005594 (__TEXT,__text) external __get_cpu_capabilities
00000000000423a0 (__DATA,__bss) non-external __gethostuuid_callback
000000000001100a (__TEXT,__text) external __getprivatesystemidentifier
000000000001c19b (__TEXT,__text) external __host_page_size
0000000000005581 (__TEXT,__text) external __init_cpu_capabilities
000000000001cf13 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000000001e12f (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000000001ebd9 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000000001e048 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000000001ea9d (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000000000009e8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000000020258 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000000001f62c (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000000000a3c (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000000001e324 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000000000009f4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000000001e241 (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000000001f766 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000000000a48 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000000001f0c1 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000000001f40e (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000000000a30 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000000008d4d (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000000009593 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000000af0 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000000004ea9 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000000000034af (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000000000200fd (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000000000a698 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000000001ee18 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000000001f851 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000000afc (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000000001fc39 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000000001f327 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000000000a24 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000000001e8b7 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000000000a18 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000000001ffd8 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000000001f1f4 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000000001f4f7 (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000000001fe0f (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000000001e40a (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000000a00 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000000001e7cf (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000000a0c (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000000001de10 (__TEXT,__text) external __kernelrpc_mach_port_names
000000000001e4f5 (__TEXT,__text) external __kernelrpc_mach_port_peek
000000000001df61 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000000003c96 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000000bf8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000000002c6a (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000a5ac (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000000001e6e5 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000000001e9b4 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000000001fa23 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000000001ef2a (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000000001fb27 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000000001fd24 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000000007def (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000000bec (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000000001f93c (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000000000b08 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000000024010 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000000023f16 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000000026fef (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000000002038b (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000000000009a0 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000000000204b7 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000000000009b8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000001c11 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000000000009dc (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000000002059e (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000000000009d0 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000000002123f (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000000000009ac (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000000020778 (__TEXT,__text) external __kernelrpc_mach_vm_read
000000000002202e (__TEXT,__text) external __kernelrpc_mach_vm_reallocate
0000000000020e39 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000000021672 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000000021d05 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
000000000002b03f (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000000001ed35 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000000004c81 (__TEXT,__text) external __kernelrpc_thread_policy
000000000000598c (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000000028ebb (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000a88c (__TEXT,__text) external __kernelrpc_vm_map
000000000002a3b6 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000000000084a3 (__TEXT,__text) external __kernelrpc_vm_read
000000000002a67a (__TEXT,__text) external __kernelrpc_vm_reallocate
0000000000002928 (__TEXT,__text) external __kernelrpc_vm_remap
000000000002a4df (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000c975 (__TEXT,__text) non-external __libkernel_bzero
0000000000043048 (__DATA_DIRTY,__bss) non-external __libkernel_functions
000000000003f000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000c9fe (__TEXT,__text) non-external __libkernel_memmove
000000000000c97f (__TEXT,__text) non-external __libkernel_memset
000000000000c954 (__TEXT,__text) non-external __libkernel_strchr
00000000000055a2 (__TEXT,__text) non-external __libkernel_strcmp
000000000000cd91 (__TEXT,__text) non-external __libkernel_strcpy
0000000000043000 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000000000d69e (__TEXT,__text) non-external __libkernel_strlcpy
000000000000c6c3 (__TEXT,__text) non-external __libkernel_strlen
0000000000043018 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000000002b740 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000000000e242 (__TEXT,__text) non-external __mach_continuous_time
0000000000040a70 (__DATA_CONST,__const) external __mach_errors
000000000000e747 (__TEXT,__text) external __mach_fork_child
000000000000f56b (__TEXT,__text) external __mach_snprintf
000000000000f3e3 (__TEXT,__text) external __mach_vsnprintf
00000000000430c0 (__DATA_DIRTY,__common) external __os_alloc_once_table
0000000000042360 (__DATA,__common) external __os_xbs_chrooted
0000000000005efd (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000000000cdb9 (__TEXT,__text) non-external __posix_spawn_with_filter
000000000001100f (__TEXT,__text) external __register_gethostuuid_callback
000000000000d4d6 (__TEXT,__text) non-external __simple_getenv
000000000000c7b2 (__TEXT,__text) non-external __simple_getenv_check
000000000000cb4b (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000000000cbc7 (__TEXT,__text) non-external __system_version_compat_open_shim
0000000000043040 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000000000c6a8 (__TEXT,__text) external __thread_set_tsd_base
000000000002b5c8 (__TEXT,__text) non-external _abort
000000000002b5c8 (__TEXT,__text) non-external _abort.344
000000000002b5c8 (__TEXT,__text) non-external _abort.389
000000000002b5c8 (__TEXT,__text) non-external _abort.580
000000000002b6cb (__TEXT,__text) external _abort_with_payload
000000000002b650 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000000002b63d (__TEXT,__text) external _abort_with_reason
0000000000007868 (__TEXT,__text) external _accept
000000000000b110 (__TEXT,__text) external _accept$NOCANCEL
0000000000001310 (__TEXT,__text) external _access
000000000000b128 (__TEXT,__text) external _accessx_np
000000000000bb40 (__TEXT,__text) external _acct
0000000000027d20 (__TEXT,__text) external _act_get_state
0000000000027ef6 (__TEXT,__text) external _act_set_state
000000000000bb58 (__TEXT,__text) external _adjtime
000000000000bb70 (__TEXT,__text) external _aio_cancel
000000000000bb88 (__TEXT,__text) external _aio_error
000000000000bba0 (__TEXT,__text) external _aio_fsync
000000000000bbb8 (__TEXT,__text) external _aio_read
000000000000bbd0 (__TEXT,__text) external _aio_return
000000000000bbe8 (__TEXT,__text) external _aio_suspend
000000000000b140 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000000bc00 (__TEXT,__text) external _aio_write
000000000000bc18 (__TEXT,__text) external _audit
000000000000a154 (__TEXT,__text) external _audit_session_join
0000000000009ff4 (__TEXT,__text) external _audit_session_port
0000000000003e58 (__TEXT,__text) external _audit_session_self
000000000000bc30 (__TEXT,__text) external _auditctl
0000000000008610 (__TEXT,__text) external _auditon
0000000000006d48 (__TEXT,__text) external _bind
00000000000430ac (__DATA_DIRTY,__common) external _bootstrap_port
0000000000001fe0 (__TEXT,__text) external _cerror
00000000000012b7 (__TEXT,__text) external _cerror_nocancel
0000000000003de4 (__TEXT,__text) external _change_fdguard_np
00000000000020c0 (__TEXT,__text) external _chdir
000000000000731c (__TEXT,__text) external _chflags
00000000000039f4 (__TEXT,__text) external _chmod
0000000000006d30 (__TEXT,__text) external _chown
000000000000bc48 (__TEXT,__text) external _chroot
0000000000019744 (__TEXT,__text) external _clock_alarm
0000000000019558 (__TEXT,__text) external _clock_alarm_reply
00000000000195be (__TEXT,__text) external _clock_get_attributes
0000000000005023 (__TEXT,__text) external _clock_get_time
0000000000019432 (__TEXT,__text) external _clock_set_attributes
000000000001934f (__TEXT,__text) external _clock_set_time
000000000000a7ea (__TEXT,__text) external _clock_sleep
0000000000000bbc (__TEXT,__text) external _clock_sleep_trap
0000000000008bee (__TEXT,__text) external _clonefile
0000000000004a10 (__TEXT,__text) external _clonefileat
00000000000015b0 (__TEXT,__text) external _close
0000000000001fb0 (__TEXT,__text) external _close$NOCANCEL
0000000000015f46 (__TEXT,__text) external _coalition_create
0000000000015fc3 (__TEXT,__text) external _coalition_info_debug_info
000000000001604f (__TEXT,__text) external _coalition_info_pid_list
0000000000015f97 (__TEXT,__text) external _coalition_info_resource_usage
000000000001601b (__TEXT,__text) external _coalition_info_set_efficiency
0000000000015fef (__TEXT,__text) external _coalition_info_set_name
0000000000016074 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000000000bc60 (__TEXT,__text) external _coalition_policy_get
000000000000bc78 (__TEXT,__text) external _coalition_policy_set
0000000000015f76 (__TEXT,__text) external _coalition_reap
0000000000015f55 (__TEXT,__text) external _coalition_terminate
0000000000004234 (__TEXT,__text) external _connect
00000000000040c0 (__TEXT,__text) external _connect$NOCANCEL
000000000000427c (__TEXT,__text) external _connectx
00000000000021bc (__TEXT,__text) external _csops
00000000000012a0 (__TEXT,__text) external _csops_audittoken
0000000000001356 (__TEXT,__text) external _csr_check
0000000000007bda (__TEXT,__text) external _csr_get_active_config
0000000000000c64 (__TEXT,__text) external _debug_control_port_for_pid
