00007ffa42c1a500 (__DATA,__data) non-external _.compoundliteral
00007ffa1a044365 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa19fe9c5d (__TEXT,__text) non-external _FindHashLoc
00007ffa1a046179 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa19fd10c0 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa1a03cbef (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa1a03ca69 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa19fe9bf4 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa19fe9fa2 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa19fec6bf (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa19f05b84 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa19f0ae4e (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa41b0b9d0 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa1a067f00 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa42c1a468 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa1a067420 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa41b0da10 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa1a067f10 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa1a0673d0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa19fe9896 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa1a03ed64 (__TEXT,__text) non-external _GetOpRegs
00007ffa1a03c864 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa1a0422ac (__TEXT,__text) non-external _GetRegChunk
00007ffa1a03b0c4 (__TEXT,__text) non-external _GetRegister
00007ffa1a0442cf (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa1a03db9d (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa19fe98e8 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1a0460fc (__TEXT,__text) non-external _GetStreamArray
00007ffa19fe9be0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa19fe9a51 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42c1a420 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1a038da6 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1a038d46 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1a038eb2 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1a038fd8 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1a038fc7 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1a038c95 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1a038f37 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1a03911e (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1a039088 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1a039289 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1a039040 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa19fe9902 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa19fe9dc8 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa19fd1101 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa19fec674 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa1a03b688 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa1a03bf60 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa1a03b748 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa1a03ee5b (__TEXT,__text) non-external _IsBadUsage
00007ffa19fd2a55 (__TEXT,__text) non-external (was a private external) _Load
00007ffa19fe9660 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa19fe9712 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa19fee544 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa19fee5af (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa19feb780 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa19feee00 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa19fee3a7 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa19fee5f8 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa41b0a6f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa41b0a390 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa41b0a910 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa41b0aa50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa41b0a550 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa41b0a650 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa41b0ab50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa41b0a6c0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa19f0134f (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa19f01117 (__TEXT,__text) external _PPParserAttachStream
00007ffa19f00f9e (__TEXT,__text) external _PPParserAttachString
00007ffa19f09fc2 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa19f00eaf (__TEXT,__text) external _PPParserCreate
00007ffa19f019bd (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa19f089d8 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa19f01069 (__TEXT,__text) external _PPParserFree
00007ffa19f016fa (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa19f0ae2d (__TEXT,__text) external _PPParserGetErrorString
00007ffa19f0ae44 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa19f019fc (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa19f0ade2 (__TEXT,__text) external _PPParserGetLimits
00007ffa19f0ae20 (__TEXT,__text) external _PPParserGetOptions
00007ffa19f017ae (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa19f01a9a (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa19f0ae3a (__TEXT,__text) external _PPParserGetStream
00007ffa19efff8f (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa19efffb9 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa19f0006b (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa19effffb (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa19f0a0c8 (__TEXT,__text) non-external _PPParserInherit
00007ffa19f00f25 (__TEXT,__text) external _PPParserInit
00007ffa19f0af20 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa19f010e0 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa19effc10 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa19effc2f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa19effd8c (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa19effe4f (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa19effd1b (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa19effcec (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa19effdea (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa19f0aeca (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa19f08dbf (__TEXT,__text) external _PPParserParse
00007ffa19f027cc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa19f0693a (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa19f07c4b (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa19f0881b (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa19f02278 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa19f0509a (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa19f05bd9 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa19f0214f (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa19f06aab (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa19f0232f (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa19f06e10 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa19f06468 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa19f0ad54 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa19f02532 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa19f067d6 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa19f08538 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa19f07cf3 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa19f0a200 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa19f01ba8 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa19f05d1c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa19f06338 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa19f030a6 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa19f04f10 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa19f02415 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa19f065fc (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa19f071d9 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa19f0a2bd (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa19f0768a (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa19f07537 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa19f02ea8 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa19f07938 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa19f0a124 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa19f002d4 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa19f01757 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa19f01959 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa19f00d53 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa19f0008f (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa19f00cba (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa19f00e3c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa19f00e75 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa19f00d9e (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa19f0adef (__TEXT,__text) external _PPParserSetLimits
00007ffa19f0add5 (__TEXT,__text) external _PPParserSetPrefs
00007ffa19f00f2b (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa19f02924 (__TEXT,__text) non-external _PPParserValidateName
00007ffa1a031c90 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa1a031dcb (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa1a0322d3 (__TEXT,__text) external _PPStreamAddConstant
00007ffa1a0321ff (__TEXT,__text) external _PPStreamAddLabel
00007ffa1a031f09 (__TEXT,__text) external _PPStreamAddOperation
00007ffa1a0323cc (__TEXT,__text) external _PPStreamAddOption
00007ffa1a031e35 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa1a031cf8 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa1a031d62 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa1a032363 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa1a031a2c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa1a031a95 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa1a031bbd (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa1a031c27 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa1a031e9f (__TEXT,__text) external _PPStreamAddTexImage
00007ffa1a032f45 (__TEXT,__text) external _PPStreamAttachStream
00007ffa1a031185 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa1a03375d (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa1a03126c (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa1a031b9f (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa1a0311a7 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa1a031474 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa1a031754 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa1a0317e8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa1a031330 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa1a03134f (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa1a0314a9 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa1a03183c (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa1a031662 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa1a031545 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa1a0314e5 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa1a031596 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa1a0315d8 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa1a03360c (__TEXT,__text) external _PPStreamCompare
00007ffa1a031940 (__TEXT,__text) external _PPStreamCreate
00007ffa1a031afe (__TEXT,__text) external _PPStreamFree
00007ffa1a032432 (__TEXT,__text) external _PPStreamGetStream
00007ffa1a032f23 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa1a032105 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa1a031fe7 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa1a031196 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa1a03380b (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa1a031174 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa1a032293 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa1a033eb8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa1a033d9c (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa19f0c57d (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa19f0d274 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa1a032df4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa1a032759 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa19f0d40b (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa19f0d387 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa1a032f04 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa19f0d783 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa19f0db2a (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa19f0d987 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa19f0da74 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa1a032f19 (__TEXT,__text) external _PPStreamTokenFree
00007ffa19f0c551 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa19f0c500 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa1a0659b0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa1a065a70 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa1a065b40 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa41b0ad50 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa19f0dbc2 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa41b0b200 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1a067930 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1a067940 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1a067980 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1a067950 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa1a03ca34 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa1a03c9a7 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa19feeeb1 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa19fee858 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa1a045cb3 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa19fee723 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa1a03b58f (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1a03b51f (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1a039a64 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1a0399ff (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa1a03c151 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa1a03b140 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa1a03c2e8 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa1a03c103 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1a03975b (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1a039ac8 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1a039b44 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa1a041d49 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa19f0ae98 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa19f0af8e (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa19fee83e (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa19fed874 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa19feda10 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa19fec6f8 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa19fedb99 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa19fd297b (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa19fe0370 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa19fe02db (__TEXT,__text) external _ShCleanup
00007ffa19fdfd22 (__TEXT,__text) external _ShCompile
00007ffa19fdf95f (__TEXT,__text) external _ShConstructCompiler
00007ffa19fdf9e4 (__TEXT,__text) external _ShConstructLinker
00007ffa19fdfaa5 (__TEXT,__text) external _ShDestruct
00007ffa19fdfd17 (__TEXT,__text) external _ShFinalize
00007ffa19fe1310 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa19fe0b38 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa19fe0834 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa19fe081f (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa19fe07f0 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa19fe24b7 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa19fe2a21 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa19fe296f (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa19fe284b (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa19fe22e3 (__TEXT,__text) external _ShGetActiveUniform
00007ffa19fe1b47 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa19fe17e9 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa19fe1da5 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa19fe1fb4 (__TEXT,__text) external _ShGetActiveUniformName
00007ffa19fe0c97 (__TEXT,__text) external _ShGetAttribLocation
00007ffa19fe0a29 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa19fe2a98 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa19fe2aad (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa19fe0d25 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa19fe147f (__TEXT,__text) external _ShGetFragDataLocation
00007ffa19fe02f0 (__TEXT,__text) external _ShGetInfoLog
00007ffa19fe2ac1 (__TEXT,__text) external _ShGetInteger
00007ffa19fe0fb4 (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa19fe25c6 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa19fe2614 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
