00007ffb0ae8c962 (__TEXT,__text) non-external _DiToMD5
00007ffb0ae74ce5 (__TEXT,__text) external _IOLockTryLock
00007ffb0ae74cef (__TEXT,__text) external _IOLockUnlock
00007ffb0ae71d91 (__TEXT,__text) external _IOLog
00007ffb0ae71c4d (__TEXT,__text) external _IOLogBuffer
00007ffb0ae71e2f (__TEXT,__text) external _IOLogv
00007ffb0ae9d028 (__TEXT,__text) non-external _IOLogv.cold.1
00007ffb0ae71f2c (__TEXT,__text) external _IOMalloc
00007ffb0ae71f8c (__TEXT,__text) external _IOMallocData
00007ffb0ae71f4c (__TEXT,__text) external _IOMallocTyped
00007ffb0ae71f56 (__TEXT,__text) external _IOMallocZero
00007ffb0ae71fa0 (__TEXT,__text) external _IOMallocZeroData
00007ffb0ae71f6d (__TEXT,__text) external _IOMallocZeroTyped
00007ffb41667d80 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb41667f30 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0ae72069 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb0ae724b8 (__TEXT,__text) external _IOParseBootArgString
00007ffb0ae73f01 (__TEXT,__text) external _IORPCMessageFromMach
00007ffb0ae9d40e (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb0ae9d431 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb0ae74efb (__TEXT,__text) external _IORWLockAlloc
00007ffb0ae9d78b (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb0ae74f3a (__TEXT,__text) external _IORWLockFree
00007ffb0ae74f61 (__TEXT,__text) external _IORWLockRead
00007ffb0ae9d7ae (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0ae74f89 (__TEXT,__text) external _IORWLockUnlock
00007ffb0ae9d7f4 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb0ae74f75 (__TEXT,__text) external _IORWLockWrite
00007ffb0ae9d7d1 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb0ae74d7b (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb0ae74db1 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb0ae74e6d (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb0ae9d722 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb0ae74dc7 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb0ae9d696 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb0ae9d6b9 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb0ae74e9d (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb0ae9d745 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb0ae9d768 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb0ae74e1b (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb0ae9d6dc (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb0ae9d6ff (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb0ae74d15 (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb0ae74d3b (__TEXT,__text) external _IORecursiveLockFree
00007ffb0ae74d67 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb0ae74d51 (__TEXT,__text) external _IORecursiveLockLock
00007ffb0ae74d71 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb0ae74d5d (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb41668360 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb416680e0 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb41668990 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb41668b40 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb416687e0 (__DATA_CONST,__const) external _IOService_Class
00007ffb41668180 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb0ae71fc6 (__TEXT,__text) external _IOSleep
00007ffb41668220 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb0ae75014 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb0ae74faf (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb0ae74fde (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb0ae74ff3 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb4166a940 (__DATA_CONST,__const) external _IOThread_Class
00007ffb41668cf0 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb41668ea0 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb0ae75646 (__TEXT,__text) external _IOUserServerMain
00007ffb0ae9da9e (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb0ae9dbd9 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb0ae9dac1 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb0ae9dae4 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb0ae9db07 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb0ae9db2a (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb0ae9db4d (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb0ae9db70 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb0ae9db93 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb0ae9dbb6 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb41669220 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb42f241c8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb416693d0 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb0ae8cacb (__TEXT,__text) external _MD5Final
00007ffb0ae8c8e0 (__TEXT,__text) external _MD5Init
00007ffb0ae8ca5f (__TEXT,__text) non-external _MD5ToDi
00007ffb0ae8c9bb (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb41669580 (__DATA_CONST,__const) external _OSAction_Class
00007ffb41668f40 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb4166a680 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb0ae7e817 (__TEXT,__text) external _OSArrayAppendValue
00007ffb0ae7e486 (__TEXT,__text) external _OSArrayApply
00007ffb0ae7e435 (__TEXT,__text) external _OSArrayCreate
00007ffb0ae7db13 (__TEXT,__text) external _OSArrayGetCount
00007ffb0ae7e8a5 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb0ae7e915 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb0ae7e84b (__TEXT,__text) external _OSArrayGetValue
00007ffb0ae7e808 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb0ae7e8d0 (__TEXT,__text) external _OSArraySetStringValue
00007ffb0ae7e9db (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb0ae7e66c (__TEXT,__text) external _OSArraySetValue
00007ffb41669730 (__DATA_CONST,__const) external _OSArray_Class
00007ffb41669828 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb41669920 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb0ae7c6ed (__TEXT,__text) external _OSCollectionTypeID
00007ffb0ae9e736 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb0ae7c674 (__TEXT,__text) external _OSCollectionTypeName
00007ffb0ae9e6f2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb41669a18 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb0ae81022 (__TEXT,__text) external _OSCollectionsInitialize
00007ffb41669b10 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb0ae7c748 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb0ae9e77c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0ae7f2ef (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb0ae9eccd (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0ae7f1f4 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0ae7d976 (__TEXT,__text) external _OSDataAppendBytes
00007ffb0ae9e93f (__TEXT,__text) non-external _OSDataAppendBytes.cold.1
00007ffb0ae7d8d7 (__TEXT,__text) external _OSDataCreate
00007ffb0ae9e91c (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb0ae7d883 (__TEXT,__text) external _OSDataGetBytes
00007ffb0ae7d833 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb0ae7d872 (__TEXT,__text) external _OSDataGetLength
00007ffb41669c70 (__DATA_CONST,__const) external _OSData_Class
00007ffb0ae7db20 (__TEXT,__text) external _OSDictionaryApply
00007ffb0ae7dab5 (__TEXT,__text) external _OSDictionaryCreate
00007ffb0ae7db06 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb0ae7e1b4 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb0ae7e35b (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0ae7e12f (__TEXT,__text) external _OSDictionaryGetValue
00007ffb0ae7e316 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb0ae7e3f7 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0ae7ddd2 (__TEXT,__text) external _OSDictionarySetValue
00007ffb41669d68 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb41669e60 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb0ae7da55 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb0ae7da34 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb41669f58 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0ae7f87a (__TEXT,__text) external _OSObjectLog
00007ffb0ae7c6aa (__TEXT,__text) external _OSObjectRelease
00007ffb0ae7c69f (__TEXT,__text) external _OSObjectRetain
00007ffb4166a050 (__DATA_CONST,__const) external _OSObject_Class
00007ffb4166a200 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb0ae724c7 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb0ae7f423 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb4166a2f8 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb4166a3f0 (__DATA_CONST,__const) external _OSSet_Class
00007ffb0ae7d2cc (__TEXT,__text) external _OSStringCreate
00007ffb0ae9e82b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb0ae9e84e (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb0ae9e86f (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb0ae7d283 (__TEXT,__text) external _OSStringGetLength
00007ffb0ae7d24a (__TEXT,__text) external _OSStringGetStringPtr
00007ffb4166a4e8 (__DATA_CONST,__const) external _OSString_Class
00007ffb0ae71fe0 (__TEXT,__text) external _OSSynchronizeIO
00007ffb42f241e0 (__DATA_DIRTY,__bss) non-external _OSUniqueStrings
00007ffb0ae727e4 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb0ae8cd4b (__TEXT,__text) external _SHA1Final
00007ffb0ae8cb60 (__TEXT,__text) external _SHA1Init
00007ffb0ae8cce8 (__TEXT,__text) non-external _SHA1ToDi
00007ffb0ae8cc43 (__TEXT,__text) external _SHA1Update
00007ffb0ae8d52d (__TEXT,__text) external _SHA256_Final
00007ffb0ae8d4c1 (__TEXT,__text) external _SHA256_Init
00007ffb0ae9f480 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb0ae8d4fa (__TEXT,__text) external _SHA256_Update
00007ffb0ae8d5c4 (__TEXT,__text) external _SHA384_Final
00007ffb0ae8d552 (__TEXT,__text) external _SHA384_Init
00007ffb0ae9f499 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb0ae8d591 (__TEXT,__text) external _SHA384_Update
00007ffb0ae8d65b (__TEXT,__text) external _SHA512_Final
00007ffb0ae8d5e9 (__TEXT,__text) external _SHA512_Init
00007ffb0ae9f4b2 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb0ae8d628 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0ae7339a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb0ae8d680 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb4166a5e0 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb0ae73718 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb0ae9d1eb (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb0ae7501e (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb0ae9d817 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb0ae9d83a (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb0ae9d85d (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb0ae9d880 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb0ae9d8a3 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0ae7413a (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb0ae9d4f2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb0ae9d515 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb0ae9d538 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb0ae9d55b (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb0ae739c5 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb0ae9d277 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb0ae7e82d (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb0ae80fc2 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb0ae73552 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb0ae9d182 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb0ae9d1a5 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb0ae9d1c8 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb0ae7e940 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb0ae7e9b0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb0ae7e96b (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb0ae73773 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb0ae7ed1c (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb0ae9ebb5 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0ae9ebd8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0ae9ebfb (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0ae9ec1e (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb0ae9ec41 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb0ae9ec64 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb0ae71afa (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb0ae71bfc (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb0ae73caa (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb0ae9d2bb (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb0ae73d98 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb0ae75416 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb0ae734c5 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb0ae73423 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb0ae7f441 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb0ae9ecf0 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb0ae738ec (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb0ae9d231 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb0ae9d254 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb0ae7c716 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb0ae9e759 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb0ae7c6b5 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb0ae9e713 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb0ae70940 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb0ae7d7e3 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb0ae7ea19 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb0ae9e9cb (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb0ae9e9ee (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb0ae9ea11 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb0ae9ea34 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb0ae9ea57 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb0ae7d7aa (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb0ae7da18 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb0ae7eb49 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb0ae9ea7a (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0ae9ea9d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0ae9eac0 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0ae753e4 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb0ae74b0e (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb0ae9be9c (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb0ae71a0a (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb0ae72c34 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb0ae9d0ef (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb0ae7c191 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb0ae9bdb0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb0ae804ca (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb0ae9f980 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb0ae9ce9a (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb0ae9b7d8 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb0ae9be1e (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb0ae9bf3a (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb0ae9bf6a (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb0ae7d59f (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb0ae7d562 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb0ae9e892 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb0ae9c598 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb0ae8db26 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb0ae92d04 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb0ae7afad (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb0ae9e493 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb0ae9e4b6 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb0ae9e4d9 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb0ae9bdee (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb0ae92c14 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb0ae768d6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb0ae9df1f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb0ae9df42 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb0ae9df65 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb0ae9df88 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb0ae901dc (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb0ae9299c (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb0ae9b19c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb0ae9be6c (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb0ae75249 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb0ae9d9bb (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb0ae9d9de (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb0ae9da01 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb0ae9da24 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb0ae75fbc (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb0ae9dd24 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb0ae9dd58 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb0ae9dd7b (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb0ae9dd9e (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb0ae7bbc3 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
