00007ff8400a4790 (__DATA,__data) external _NDR_record
00007ff800aded24 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800af8d6d (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800af90d7 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800aded0c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800af815b (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800af8396 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800adedcc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800af91c7 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800af77c9 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800afa06c (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800af7ce4 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800af8a54 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800af974a (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800adedd8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800af9b80 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800af8fe7 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800aded00 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800af805c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800adecf4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800af9f32 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800af8eaa (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800af93da (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800af9d58 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800af78f9 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800adecdc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800af7e2e (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800adece8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800af7027 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800af79e5 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800af72d7 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800af7f1e (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800adeec8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800af856c (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800af92f2 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800af7bf4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800af82a6 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800af991e (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800af8b88 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800af9a4c (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800af9c6c (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800af71a3 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800adeebc (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800af9836 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800adede4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800afe6f7 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff800afe5f7 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff800b026ea (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800afa32f (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800adec7c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800afa45d (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800adec94 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800afaedf (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800adecb8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800afa545 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800adecac (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800afb9e7 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800adec88 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800afa721 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800afb191 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800afbe4a (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800b07f15 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800af8965 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800b04966 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800b04ab3 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800b052e9 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800b06554 (__TEXT,__text) external __kernelrpc_vm_map
00007ff800b0705c (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800b05d96 (__TEXT,__text) external __kernelrpc_vm_read
00007ff800b06806 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800b07187 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800ae20c7 (__TEXT,__text) non-external __libkernel_bzero
00007ff8400a4e90 (__DATA,__bss) non-external __libkernel_functions
00007ff840068a00 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800ae2150 (__TEXT,__text) non-external __libkernel_memmove
00007ff800ae20d1 (__TEXT,__text) non-external __libkernel_memset
00007ff800ae208e (__TEXT,__text) non-external __libkernel_strchr
00007ff800ae20ac (__TEXT,__text) non-external __libkernel_strcmp
00007ff800ae2299 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400a45c0 (__DATA,__data) non-external __libkernel_string_functions
00007ff800ae22c1 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800ae1f6a (__TEXT,__text) non-external __libkernel_strlen
00007ff8400a45c8 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800b08870 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800ae365c (__TEXT,__text) non-external __mach_continuous_time
00007ff840069c10 (__DATA_CONST,__const) external __mach_errors
00007ff800ae3eeb (__TEXT,__text) external __mach_fork_child
00007ff800ae5662 (__TEXT,__text) external __mach_snprintf
00007ff800ae54e0 (__TEXT,__text) external __mach_vsnprintf
00007ff8400a4840 (__DATA,__common) external __os_alloc_once_table
00007ff800ae8841 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800ae9353 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800ae721e (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400a4ea4 (__DATA,__bss) non-external __task_reply_port
00007ff800ae1ed4 (__TEXT,__text) external __thread_set_tsd_base
00007ff800b086ea (__TEXT,__text) non-external _abort
00007ff800b0870e (__TEXT,__text) non-external _abort.380
00007ff800b08732 (__TEXT,__text) non-external _abort.382
00007ff800b08755 (__TEXT,__text) non-external _abort.393
00007ff800b08804 (__TEXT,__text) external _abort_with_payload
00007ff800b08789 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800b08776 (__TEXT,__text) external _abort_with_reason
00007ff800adf470 (__TEXT,__text) external _accept
00007ff800adf488 (__TEXT,__text) external _accept$NOCANCEL
00007ff800ae0a24 (__TEXT,__text) external _access
00007ff800adf4a0 (__TEXT,__text) external _accessx_np
00007ff800ae0a3c (__TEXT,__text) external _acct
00007ff800b033e6 (__TEXT,__text) external _act_get_state
00007ff800b035d0 (__TEXT,__text) external _act_set_state
00007ff800ae0a54 (__TEXT,__text) external _adjtime
00007ff800ae0a6c (__TEXT,__text) external _aio_cancel
00007ff800ae0a84 (__TEXT,__text) external _aio_error
00007ff800ae0a9c (__TEXT,__text) external _aio_fsync
00007ff800ae0ab4 (__TEXT,__text) external _aio_read
00007ff800ae0acc (__TEXT,__text) external _aio_return
00007ff800ae0ae4 (__TEXT,__text) external _aio_suspend
00007ff800adf4b8 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800ae0afc (__TEXT,__text) external _aio_write
00007ff800ae0b14 (__TEXT,__text) external _audit
00007ff800ae0b2c (__TEXT,__text) external _audit_session_join
00007ff800ae0b44 (__TEXT,__text) external _audit_session_port
00007ff800ae0b5c (__TEXT,__text) external _audit_session_self
00007ff800ae0b74 (__TEXT,__text) external _auditctl
00007ff800ae0b8c (__TEXT,__text) external _auditon
00007ff800adf4d0 (__TEXT,__text) external _bind
00007ff8400a47ec (__DATA,__common) external _bootstrap_port
00007ff800ae5900 (__TEXT,__text) external _cerror
00007ff800ae58db (__TEXT,__text) external _cerror_nocancel
00007ff800ae0ba4 (__TEXT,__text) external _change_fdguard_np
00007ff800ae0bbc (__TEXT,__text) external _chdir
00007ff800ae0bd4 (__TEXT,__text) external _chflags
00007ff800ae7bde (__TEXT,__text) external _chmod
00007ff800ae0bec (__TEXT,__text) external _chown
00007ff800ae0c04 (__TEXT,__text) external _chroot
00007ff800af1dc4 (__TEXT,__text) external _clock_alarm
00007ff800af1aab (__TEXT,__text) external _clock_alarm_reply
00007ff800af1c33 (__TEXT,__text) external _clock_get_attributes
00007ff800af1b12 (__TEXT,__text) external _clock_get_time
00007ff800af197c (__TEXT,__text) external _clock_set_attributes
00007ff800af1890 (__TEXT,__text) external _clock_set_time
00007ff800ae3749 (__TEXT,__text) external _clock_sleep
00007ff800adee98 (__TEXT,__text) external _clock_sleep_trap
00007ff800ae3638 (__TEXT,__text) external _clonefile
00007ff800ae0c1c (__TEXT,__text) external _clonefileat
00007ff800ae0c34 (__TEXT,__text) external _close
00007ff800adf5f0 (__TEXT,__text) external _close$NOCANCEL
00007ff800aed165 (__TEXT,__text) external _coalition_create
00007ff800aed1e2 (__TEXT,__text) external _coalition_info_debug_info
00007ff800aed1b6 (__TEXT,__text) external _coalition_info_resource_usage
00007ff800aed23a (__TEXT,__text) external _coalition_info_set_efficiency
00007ff800aed20e (__TEXT,__text) external _coalition_info_set_name
