00007ffb0a5ca57b (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb0a5c46e7 (__TEXT,__text) external _MTLGPUArchiverSetInstallName
00007ffb0a5c47a9 (__TEXT,__text) external _MTLGPUArchiverSetTarget
00007ffb0a5c461d (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
00007ffb0a5c4566 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
00007ffb0a5c4e2f (__TEXT,__text) external _MTLGPUArchiverToId
00007ffb0a5c6e98 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
00007ffb0a5c70c0 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
00007ffb0a5c72d2 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
00007ffb0a5c62d7 (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
00007ffb0a5c64d4 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
00007ffb0a5c66d3 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
00007ffb0a5c54c0 (__TEXT,__text) external _MTLGPUCompilerCreate
00007ffb0a5c54ee (__TEXT,__text) external _MTLGPUCompilerDestroy
00007ffb0a5c8794 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
00007ffb0a5c86b9 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
00007ffb0a5c86cb (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
00007ffb0a5c86de (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
00007ffb0a5c86f1 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
00007ffb0a5c8704 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
00007ffb0a5c8717 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
00007ffb0a5c876c (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
00007ffb0a5c872a (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
00007ffb0a5c874b (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
00007ffb0a5c8780 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
00007ffb0a5c8860 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
00007ffb0a5c8897 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
00007ffb0a5c88aa (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
00007ffb0a5c88bd (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
00007ffb0a5c88d0 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
00007ffb0a5c68e9 (__TEXT,__text) external _MTLGPUCompilerLink
00007ffb0a5c6ad0 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
00007ffb0a5c6ca4 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
00007ffb0a5c7d13 (__TEXT,__text) external _MTLGPUCompilerLoadModules
00007ffb0a5c7e93 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
00007ffb0a5c8013 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
00007ffb0a5c8e11 (__TEXT,__text) external _MTLGPUCompilerLowerModule
00007ffb0a5c8f12 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
00007ffb0a5c83b6 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
00007ffb0a5c7cca (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
00007ffb0a5c7d00 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
00007ffb0a5c8983 (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
00007ffb0a5c87c9 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
00007ffb0a5c8873 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
00007ffb0a5c8886 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
00007ffb0a5c83c7 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
00007ffb0a5c78e0 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
00007ffb0a5c7a20 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
00007ffb0a5c7b60 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
00007ffb0a5c74f6 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
00007ffb0a5c7636 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
00007ffb0a5c7776 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
00007ffb0a5c8409 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
00007ffb0a5c84e7 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
00007ffb0a5c85c5 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
00007ffb0a5cc2c3 (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
00007ffb0a5cbe0c (__TEXT,__text) external _MTLMetalFunctionCreate
00007ffb0a5cc002 (__TEXT,__text) external _MTLMetalFunctionDestroy
00007ffb0a5cc08f (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
00007ffb0a5cc103 (__TEXT,__text) external _MTLMetalFunctionGetAlias
00007ffb0a5cc059 (__TEXT,__text) external _MTLMetalFunctionGetKind
00007ffb0a5cc0c9 (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
00007ffb0a5cc07c (__TEXT,__text) external _MTLMetalFunctionGetModule
00007ffb0a5cc04f (__TEXT,__text) external _MTLMetalFunctionGetName
00007ffb0a5cc2ba (__TEXT,__text) external _MTLMetalImportedSymbolGetName
00007ffb0a5cb11d (__TEXT,__text) external _MTLMetalLibCreateCoreImage
00007ffb0a5cb09c (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
00007ffb0a5cb1d2 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
00007ffb0a5cb12e (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
00007ffb0a5cb08b (__TEXT,__text) external _MTLMetalLibCreateExecutable
00007ffb0a5cb00a (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
00007ffb0a5cb1e6 (__TEXT,__text) external _MTLMetalLibDestroy
00007ffb0a5ccb6f (__TEXT,__text) external _MTLMetalLibGetAsObject
00007ffb0a5cbdb6 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
00007ffb0a5cbdce (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
00007ffb0a5cb220 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
00007ffb0a5cb208 (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
00007ffb0a5cbd8a (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
00007ffb0a5cbd72 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
00007ffb0a5cbd9d (__TEXT,__text) external _MTLMetalLibGetInstallName
00007ffb0a5cbdf9 (__TEXT,__text) external _MTLMetalLibGetModuleNo
00007ffb0a5cbde1 (__TEXT,__text) external _MTLMetalLibGetModulesCount
00007ffb0a5cb93e (__TEXT,__text) external _MTLMetalLibGetVariableNo
00007ffb0a5cb926 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
00007ffb0a5cb233 (__TEXT,__text) external _MTLMetalLibInsertFunction
00007ffb0a5cb951 (__TEXT,__text) external _MTLMetalLibInsertVariable
00007ffb0a5cc10d (__TEXT,__text) external _MTLMetalVariableCreate
00007ffb0a5cc1fd (__TEXT,__text) external _MTLMetalVariableDestroy
00007ffb0a5cc23c (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
00007ffb0a5cc2b0 (__TEXT,__text) external _MTLMetalVariableGetAlias
00007ffb0a5cc276 (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
00007ffb0a5cc229 (__TEXT,__text) external _MTLMetalVariableGetModule
00007ffb0a5cc21f (__TEXT,__text) external _MTLMetalVariableGetName
00007ffb0a5ccb53 (__TEXT,__text) external _MTLModuleGetAsObject
00007ffb0a5cc952 (__TEXT,__text) external _MTLObjectCreate
00007ffb0a5ccac3 (__TEXT,__text) external _MTLObjectDestroy
00007ffb0a5ccb95 (__TEXT,__text) external _MTLObjectGetAsArchive
00007ffb0a5ccbba (__TEXT,__text) external _MTLObjectGetAsMetalLib
00007ffb0a5ccb7d (__TEXT,__text) external _MTLObjectGetAsModule
00007ffb0a5c4fc6 (__TEXT,__text) external _MTLUpgradeAIRModule
00007ffb0a5c5342 (__TEXT,__text) external _MTLVerifyAIRModule
00007ffb0a5c5355 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
00007ffb0a5c540b (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
00007ffb0a5cc2cc (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) weak external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15ValueHandleBase17RemoveFromUseListEv (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS_6ModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ERKNS0_8MetalLibERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5MachO28getImplementationFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureENS2_14ImplementationEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureENS2_14ImplementationEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureENS2_14ImplementationEPKNS1_12MemoryBufferES7_S7_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9setTargetEN4llvm5MachO12PlatformTypeERKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiverD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10handleSPIsEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler10loadToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12loadToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler12stitchToFileERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler13lowerToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler14stitchToBufferERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler17setStitcherScriptENSt3__110unique_ptrIN4llvm3air10ScriptFileENS1_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler18specializeFunctionERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeDynamicLibraryERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler24specializeFunctionToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler26specializeFunctionToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler30specializeDynamicLibraryToFileERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefERNS1_11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler32specializeDynamicLibraryToBufferERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEENS1_8ArrayRefINS1_3air4BindEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler4loadERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEENS1_8ArrayRefIPKcEENS4_INS1_3air15UniqueObjectPtrEEESF_SI_SF_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler5lowerERN4llvm11LLVMContextENSt3__110unique_ptrINS1_6ModuleENS4_14default_deleteIS6_EEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompiler6stitchERN4llvm11LLVMContextENS1_15MutableArrayRefINSt3__110unique_ptrINS1_6ModuleENS5_14default_deleteIS7_EEEEEERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUCompilerC1Eb (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm11NamedMDNode10getOperandEj (from libLLVM)
                 (undefined) external __ZNK4llvm11NamedMDNode14getNumOperandsEv (from libLLVM)
                 (undefined) external __ZNK4llvm12MemoryBuffer15getMemBufferRefEv (from libLLVM)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb13getAIRVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb15getMetalVersionEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm3air16MetalDefinedSymb30ensureModuleReferencesAreAliveEv (from libGPUCompilerImpl)
                 (undefined) external __ZNK4llvm6Module16getNamedMetadataERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplNameENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile17getSymbolImplSizeENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object18MetalLibObjectFile20getSymbolImplAddressENS0_11DataRefImplE (from libLLVM)
                 (undefined) external __ZNK4llvm6object20MachOUniversalBinary18getIRObjectForArchENS_9StringRefERNS_11LLVMContextE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14getFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8Function14hasFnAttributeENS_9StringRefE (from libLLVM)
                 (undefined) external __ZNK4llvm8MDString9getStringEv (from libLLVM)
                 (undefined) external __ZNK4llvm9Attribute16getValueAsStringEv (from libLLVM)
                 (undefined) external __ZNKSt3__119__shared_weak_count13__get_deleterERKSt9type_info (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6__initEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE6appendEPKcm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7reserveEm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEC1ERKS5_ (from libc++)
