00007ff90f6574ae (__TEXT,__text) non-external +[Caller current]
00007ff90f657b5a (__TEXT,__text) non-external -[Caller .cxx_destruct]
00007ff90f657b23 (__TEXT,__text) non-external -[Caller asid]
00007ff90f6578b8 (__TEXT,__text) non-external -[Caller auditTokenData]
00007ff90f657b2c (__TEXT,__text) non-external -[Caller auditToken]
00007ff90f65755f (__TEXT,__text) non-external -[Caller clientInfo]
00007ff90f657b44 (__TEXT,__text) non-external -[Caller connection]
00007ff90f657815 (__TEXT,__text) non-external -[Caller description]
00007ff90f657b1a (__TEXT,__text) non-external -[Caller euid]
00007ff90f6579c4 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00007ff90f657689 (__TEXT,__text) non-external -[Caller hash]
00007ff90f6573b1 (__TEXT,__text) non-external -[Caller initWithConnection:]
00007ff90f6575c8 (__TEXT,__text) non-external -[Caller isEqual:]
00007ff90f6576d2 (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00007ff90f65772e (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00007ff90f668812 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00007ff90f66882a (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00007ff90f657949 (__TEXT,__text) non-external -[Caller path]
00007ff90f657b11 (__TEXT,__text) non-external -[Caller pid]
00007ff90f6578af (__TEXT,__text) non-external -[Caller processId]
00007ff90f6579bb (__TEXT,__text) non-external -[Caller userId]
00007ff90f658d85 (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00007ff90f654bdf (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00007ff90f654b2c (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00007ff90f654924 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00007ff90f6686df (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00007ff90f6686f8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00007ff90f654b69 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00007ff90f654bd5 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00007ff90f657349 (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00007ff90f65712b (__TEXT,__text) non-external -[DomainStateRequest clientInfo]
00007ff90f6572dc (__TEXT,__text) non-external -[DomainStateRequest client]
00007ff90f65732b (__TEXT,__text) non-external -[DomainStateRequest contextID]
00007ff90f65702c (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:originatorId:]
00007ff90f65733f (__TEXT,__text) non-external -[DomainStateRequest options]
00007ff90f657335 (__TEXT,__text) non-external -[DomainStateRequest originatorId]
00007ff90f6572f2 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00007ff90f657303 (__TEXT,__text) non-external -[DomainStateRequest setClientInfo:]
00007ff90f6571fe (__TEXT,__text) non-external -[DomainStateRequest userID]
00007ff90f656caa (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00007ff90f656aa5 (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00007ff90f656a73 (__TEXT,__text) non-external -[EvaluationRequest acl]
00007ff90f6569d4 (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00007ff90f656bf9 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00007ff90f656a55 (__TEXT,__text) non-external -[EvaluationRequest callback]
00007ff90f655cb3 (__TEXT,__text) non-external -[EvaluationRequest clientInfo]
00007ff90f656b09 (__TEXT,__text) non-external -[EvaluationRequest client]
00007ff90f656a19 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00007ff90f656bd4 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00007ff90f656be7 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00007ff90f656b44 (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00007ff90f655c4d (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00007ff90f655c2b (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00007ff90f655a2d (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00007ff90f655c13 (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00007ff90f655888 (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00007ff90f655d92 (__TEXT,__text) non-external -[EvaluationRequest isEventPaused:]
00007ff90f656a06 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00007ff90f65684b (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00007ff90f6568d7 (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00007ff90f656919 (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00007ff90f656903 (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00007ff90f6568ed (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00007ff90f65695e (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00007ff90f656ad7 (__TEXT,__text) non-external -[EvaluationRequest options]
00007ff90f656a4b (__TEXT,__text) non-external -[EvaluationRequest originatorId]
00007ff90f655def (__TEXT,__text) non-external -[EvaluationRequest pause:event:]
00007ff90f656c34 (__TEXT,__text) non-external -[EvaluationRequest pausedEvents]
00007ff90f656c6f (__TEXT,__text) non-external -[EvaluationRequest payload]
00007ff90f656a5f (__TEXT,__text) non-external -[EvaluationRequest policy]
00007ff90f656b7f (__TEXT,__text) non-external -[EvaluationRequest purpose]
00007ff90f655e5a (__TEXT,__text) non-external -[EvaluationRequest resetPausedEvents]
00007ff90f656b99 (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00007ff90f656279 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00007ff90f656a7d (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00007ff90f656aaf (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00007ff90f656c06 (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00007ff90f6569de (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00007ff90f655ea1 (__TEXT,__text) non-external -[EvaluationRequest setCallback:]
00007ff90f655e73 (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00007ff90f656b16 (__TEXT,__text) non-external -[EvaluationRequest setClientInfo:]
00007ff90f656a23 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00007ff90f656bde (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00007ff90f656bf0 (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00007ff90f656b51 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00007ff90f656a10 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00007ff90f656ae1 (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00007ff90f655ec9 (__TEXT,__text) non-external -[EvaluationRequest setOriginatorId:]
00007ff90f656c41 (__TEXT,__text) non-external -[EvaluationRequest setPausedEvents:]
00007ff90f656c7c (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00007ff90f656a69 (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00007ff90f656b8c (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00007ff90f656ba6 (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00007ff90f6562f2 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00007ff90f6563d1 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00007ff90f655ed3 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00007ff90f6567ca (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00007ff90f6543f4 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00007ff90f654578 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00007ff90f65450f (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00007ff90f6544ab (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00007ff90f652bd6 (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00007ff90f6527b7 (__TEXT,__text) non-external -[LAAnalytics _collect]
00007ff90f66848c (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00007ff90f652b9c (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00007ff90f6529bd (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00007ff90f652744 (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00007ff90f652b88 (__TEXT,__text) non-external -[LAAnalytics eventName]
00007ff90f6526d8 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00007ff90f6529e2 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00007ff90f6529d5 (__TEXT,__text) non-external -[LAAnalytics logLevel]
00007ff90f6529ea (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00007ff90f652a99 (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00007ff90f652ba6 (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00007ff90f652bc5 (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00007ff90f6529ca (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00007ff90f652baf (__TEXT,__text) non-external -[LAAnalytics storage]
00007ff90f652b92 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00007ff90f6502a2 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00007ff90f64fc56 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00007ff90f64ff8f (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00007ff90f65017b (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00007ff90f64fec2 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00007ff90f64fbe0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00007ff90f64ff40 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00007ff90f64fc2b (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00007ff90f650280 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00007ff90f6501f8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00007ff90f650209 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00007ff90f65021a (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00007ff90f65022b (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00007ff90f6501e7 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00007ff90f64ff7e (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00007ff90f6501c5 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00007ff90f64f52e (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00007ff90f64fc3f (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00007ff90f650291 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00007ff90f64ff6d (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00007ff90f64f44d (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00007ff90f65024d (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00007ff90f65025e (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00007ff90f65026f (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00007ff90f65023c (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00007ff90f6501b4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00007ff90f65019b (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00007ff90f6501d6 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00007ff90f64fbd8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00007ff90f64e676 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00007ff90f64e665 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00007ff90f64ddf1 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00007ff90f668001 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00007ff90f64e1b3 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00007ff90f64e341 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00007ff90f64dc05 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00007ff90f64e3f6 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00007ff90f64e654 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00007ff90f64dc50 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00007ff90f667f8f (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00007ff90f64df54 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00007ff90f64e0ea (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00007ff90f64e643 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00007ff90f64e1ab (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00007ff90f64e117 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00007ff90f652596 (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00007ff90f661abf (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00007ff90f6619c7 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00007ff90f661a0d (__TEXT,__text) non-external -[LASIORemoteCall command]
00007ff90f661829 (__TEXT,__text) non-external -[LASIORemoteCall init]
00007ff90f661aab (__TEXT,__text) non-external -[LASIORemoteCall payload]
00007ff90f661a42 (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00007ff90f6618a9 (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00007ff90f661a65 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00007ff90f661a88 (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00007ff90f6619ea (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00007ff90f6619db (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00007ff90f661a16 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00007ff90f661a56 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00007ff90f661a79 (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00007ff90f661a9c (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00007ff90f6619fe (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00007ff90f661a33 (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00007ff90f661a1f (__TEXT,__text) non-external -[LASIORemoteCall version]
00007ff90f6665c0 (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00007ff90f666599 (__TEXT,__text) non-external -[LASecureIO delegate]
00007ff90f6663d4 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00007ff90f667e14 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00007ff90f666178 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00007ff90f667b89 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00007ff90f667c66 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00007ff90f667d3d (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00007ff90f666587 (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00007ff90f666051 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00007ff90f6678fe (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00007ff90f6679db (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00007ff90f667ab2 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00007ff90f6657e3 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00007ff90f666fc4 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00007ff90f66709e (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00007ff90f667178 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00007ff90f667252 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00007ff90f66732c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00007ff90f664bb0 (__TEXT,__text) non-external -[LASecureIO init]
00007ff90f665a7e (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00007ff90f6673e3 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00007ff90f6674bf (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00007ff90f6655c4 (__TEXT,__text) non-external -[LASecureIO postNotification:]
00007ff90f666ef2 (__TEXT,__text) non-external -[LASecureIO postNotification:].cold.1
00007ff90f665f87 (__TEXT,__text) non-external -[LASecureIO readSceneDescriptionFromFile:]
00007ff90f6665af (__TEXT,__text) non-external -[LASecureIO setDelegate:]
00007ff90f664d16 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:]
00007ff90f6665e6 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.1
00007ff90f6666cd (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.2
00007ff90f6667ba (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.3
00007ff90f66689f (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.4
00007ff90f666984 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.5
00007ff90f665e7e (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:]
00007ff90f66782c (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:].cold.1
00007ff90f665bd9 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:]
00007ff90f66759c (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:].cold.1
00007ff90f667678 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:].cold.2
00007ff90f667752 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:].cold.3
00007ff90f665062 (__TEXT,__text) non-external -[LASecureIO showScene:forOperation:]
00007ff90f666a69 (__TEXT,__text) non-external -[LASecureIO showScene:forOperation:].cold.1
