00000001a241afc8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a2414a48 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a2414754 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a2414684 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a2414b6c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a24093ec (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a24093a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a24093ac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a24093c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a24093a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a24093b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a2409254 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a2408dc8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a240904c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a2408f20 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a2408dac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a24093cc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a2409038 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a24093e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a24093dc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a2409350 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
