00007ff8400e99d0 (__DATA,__data) non-external _C
00007ff800fe237a (__TEXT,__text) external ___big_delete
00007ff800fe20c0 (__TEXT,__text) external ___big_insert
00007ff800fe29a5 (__TEXT,__text) external ___big_keydata
00007ff800fe2648 (__TEXT,__text) external ___big_return
00007ff800fe2b19 (__TEXT,__text) external ___big_split
00007ff80103fa00 (__TEXT,__const) external ___bigtens_D2A
00007ff800fdcf8e (__TEXT,__text) external ___bt_close
00007ff800fe0d05 (__TEXT,__text) external ___bt_cmp
00007ff800fe0dac (__TEXT,__text) external ___bt_defcmp
00007ff800fe0df3 (__TEXT,__text) external ___bt_defpfx
00007ff800fdd409 (__TEXT,__text) external ___bt_delete
00007ff800fdda6c (__TEXT,__text) external ___bt_dleaf
00007ff800fde914 (__TEXT,__text) external ___bt_fd
00007ff800fdf96e (__TEXT,__text) non-external ___bt_first
00007ff800fdecd9 (__TEXT,__text) external ___bt_free
00007ff800fde0bd (__TEXT,__text) external ___bt_get
00007ff800fded0a (__TEXT,__text) external ___bt_new
00007ff800fde19c (__TEXT,__text) external ___bt_open
00007ff800fdde2f (__TEXT,__text) non-external ___bt_pdelete
00007ff800fdd128 (__TEXT,__text) external ___bt_pgin
00007ff800fdd2bc (__TEXT,__text) external ___bt_pgout
00007ff800fded5d (__TEXT,__text) external ___bt_put
00007ff800fde034 (__TEXT,__text) non-external ___bt_relink
00007ff800fe0b53 (__TEXT,__text) external ___bt_ret
00007ff800fdf2e0 (__TEXT,__text) external ___bt_search
00007ff800fdf544 (__TEXT,__text) external ___bt_seq
00007ff800fdf924 (__TEXT,__text) external ___bt_setcur
00007ff800fdfb45 (__TEXT,__text) external ___bt_split
00007ff800fdd713 (__TEXT,__text) non-external ___bt_stkacq
00007ff800fdd05a (__TEXT,__text) external ___bt_sync
00007ff800fe30ec (__TEXT,__text) external ___buf_free
00007ff800fe30b4 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff8400e99d8 (__DATA,__data) non-external ___c_locale
00007ff80102e06a (__TEXT,__text) non-external ___calc_left_pad
00007ff800fe1c3f (__TEXT,__text) external ___call_hash
00007ff8400eaaa0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80103c267 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80103c279 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800fea22a (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff80103c28b (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400f6780 (__DATA,__common) external ___cleanup
00007ff800fe9959 (__TEXT,__text) external ___cmp_D2A
00007ff800ff531e (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800ff5535 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800ff5717 (__TEXT,__text) external ___collate_equiv_match
00007ff800ff643f (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800ff5bc6 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00007ff80103da13 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00007ff80103da36 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00007ff800ff4b66 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400ea098 (__DATA,__data) external ___collate_load_error
00007ff800ff3ebb (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400eba70 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800ff4390 (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800ff5075 (__TEXT,__text) external ___collate_lookup
00007ff800ff4eee (__TEXT,__text) external ___collate_lookup_l
00007ff800ff5245 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800ff5136 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800ff5dfb (__TEXT,__text) non-external ___collate_pri_for
00007ff80103da59 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00007ff800ff6523 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400eba78 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400eba80 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800fd2cf4 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800fe9e74 (__TEXT,__text) external ___copybits_D2A
00007ff8010270a8 (__TEXT,__text) non-external ___cvt
00007ff8400f6680 (__DATA,__bss) non-external ___cvt.s
00007ff80101ea42 (__TEXT,__text) external ___cxa_atexit
00007ff80101ec76 (__TEXT,__text) external ___cxa_finalize
00007ff80101ea75 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800fe9b72 (__TEXT,__text) external ___d2b_D2A
00007ff8400f6738 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800fe0edc (__TEXT,__text) non-external ___dberr
00007ff800fe0eb7 (__TEXT,__text) external ___dbpanic
00007ff8400e9fa8 (__DATA,__data) external ___default_hash
00007ff800fe32f8 (__TEXT,__text) external ___delpair
00007ff800ff9b10 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800fe9995 (__TEXT,__text) external ___diff_D2A
00007ff8400eb7c0 (__DATA,__bss) non-external ___dirhelper_func
00007ff800fe705c (__TEXT,__text) external ___dtoa
00007ff8400f67a0 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff80101efaf (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400f6614 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff80101b94b (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8010019fa (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800fe1aea (__TEXT,__text) external ___expand_table
00007ff8400ed520 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800ffe3b2 (__TEXT,__text) external ___fflush
00007ff800ffe7e5 (__TEXT,__text) external ___fgetwc
00007ff8010022e4 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800fe24be (__TEXT,__text) external ___find_bigpair
00007ff800fe25d2 (__TEXT,__text) external ___find_last_page
00007ff8010036c0 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff80101eeec (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800ff6af9 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800ff6bb8 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800fff57a (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800fffa4e (__TEXT,__text) external ___fread
00007ff800fe46fa (__TEXT,__text) external ___free_ovflpage
00007ff800fe6eee (__TEXT,__text) external ___freedtoa
00007ff8400eaaa4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800fd399e (__TEXT,__text) non-external ___fts_open
00007ff800fe7fb8 (__TEXT,__text) external ___gdtoa
00007ff8400f66e8 (__DATA,__common) external ___gdtoa_locks
00007ff800fe2ca8 (__TEXT,__text) external ___get_buf
00007ff800ff760b (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800ff7ae9 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800ff7d53 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff80101b08f (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800ff994b (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800fe41b3 (__TEXT,__text) external ___get_page
00007ff800fee69c (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8400ed4e0 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff8400e9408 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff80101e5fe (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800fe0ee8 (__TEXT,__text) external ___hash_open
00007ff800fe67fc (__TEXT,__text) external ___hdtoa
00007ff801027798 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800fe95a1 (__TEXT,__text) external ___hi0bits_D2A
00007ff800fe6b7d (__TEXT,__text) external ___hldtoa
00007ff800fe960f (__TEXT,__text) external ___i2b_D2A
00007ff800fe462a (__TEXT,__text) external ___ibitmap
00007ff801024f07 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800ff9044 (__TEXT,__text) external ___isctype
00007ff800ff8fda (__TEXT,__text) external ___istype
00007ff800ff91ab (__TEXT,__text) external ___istype_l
00007ff8400ea011 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff801027a34 (__TEXT,__text) external ___ldtoa
00007ff800fdc39b (__TEXT,__text) external ___libc_init
00007ff800fe9477 (__TEXT,__text) external ___lo0bits_D2A
00007ff801001a90 (__TEXT,__text) non-external ___loadevp
00007ff8400e99c8 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800fe32dc (__TEXT,__text) external ___log2
00007ff801040780 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800fe987b (__TEXT,__text) external ___lshift_D2A
00007ff800ff8f88 (__TEXT,__text) external ___maskrune
00007ff800ff9156 (__TEXT,__text) external ___maskrune_l
00007ff800fe9e34 (__TEXT,__text) external ___match_D2A
00007ff8400ea16c (__DATA,__data) external ___mb_cur_max
00007ff8400ea170 (__DATA,__data) external ___mb_sb_limit
00007ff80101148a (__TEXT,__text) non-external ___mbsconv
00007ff800ff82e0 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80103c425 (__TEXT,__text) external ___memccpy_chk
00007ff80103c899 (__TEXT,__text) external ___memcpy_chk
00007ff80103c3c0 (__TEXT,__text) external ___memmove_chk
00007ff80103c2b7 (__TEXT,__text) external ___memset_chk
00007ff800ff740c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400eba88 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800ff762e (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400eba98 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800fe9632 (__TEXT,__text) external ___mult_D2A
00007ff800fe9508 (__TEXT,__text) external ___multadd_D2A
00007ff800ffdb40 (__TEXT,__text) non-external ___nls_free_resources
00007ff801040119 (__TEXT,__const) non-external ___nogrouping
00007ff800fe6eab (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800fd9cd4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800ff7b0c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400ebaa8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800ff9ba3 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800feef13 (__TEXT,__text) external ___opendir2
00007ff800fef022 (__TEXT,__text) non-external ___opendir_common
00007ff800fdec1f (__TEXT,__text) external ___ovfl_delete
00007ff800fdea4c (__TEXT,__text) external ___ovfl_get
00007ff800fdeb27 (__TEXT,__text) external ___ovfl_put
00007ff80100d49a (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8400ed548 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff8400ed540 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400ea750 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800ff7162 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400f6708 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8400ea018 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800fe9774 (__TEXT,__text) external ___pow5mult_D2A
00007ff80103f9f0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff80102b07d (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff80103e24b (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff8010292f8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff80103e0da (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff8010293e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff80103e0fc (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff801029fcc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff80103e142 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff80102a283 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff80103e163 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff80102b7f3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff80103e2b3 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80102b7d5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff80102aa4e (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80103e1e6 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff80102aae8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff80103e209 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff80102ad7f (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff80103e22a (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff80102b1fd (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff80103e26e (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff80102b4fd (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff80103e28f (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff80102b8eb (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff80102c050 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff80102b620 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff8010066f1 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff80102b750 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff80102b6cf (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff80102b653 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff80102b0bb (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff801029312 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff801029417 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff80103e11f (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff801029fee (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff80102a308 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff80103e186 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80103e1a9 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff80102b80d (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff80102b7dd (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff80102aa76 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff80102ab02 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff80102adb0 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff80102b217 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80102b517 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800fee105 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8400eb948 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800fe434f (__TEXT,__text) external ___put_page
00007ff8010401df (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800fe6f0f (__TEXT,__text) external ___quorem_D2A
00007ff800fe9d88 (__TEXT,__text) external ___ratio_D2A
00007ff800fe4f98 (__TEXT,__text) external ___rec_close
00007ff800fe529f (__TEXT,__text) external ___rec_delete
00007ff800fe53af (__TEXT,__text) external ___rec_dleaf
00007ff800fe5d9a (__TEXT,__text) external ___rec_fd
00007ff800fe5820 (__TEXT,__text) external ___rec_fmap
00007ff800fe55a8 (__TEXT,__text) external ___rec_fpipe
00007ff800fe54c4 (__TEXT,__text) external ___rec_get
00007ff800fe60c4 (__TEXT,__text) external ___rec_iput
00007ff800fe59f6 (__TEXT,__text) external ___rec_open
00007ff800fe5de8 (__TEXT,__text) external ___rec_put
00007ff800fe6678 (__TEXT,__text) external ___rec_ret
00007ff800fe6327 (__TEXT,__text) external ___rec_search
00007ff800fe64c4 (__TEXT,__text) external ___rec_seq
00007ff800fe5057 (__TEXT,__text) external ___rec_sync
00007ff800fe5933 (__TEXT,__text) external ___rec_vmap
00007ff800fe56d6 (__TEXT,__text) external ___rec_vpipe
00007ff800fe31ca (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800fe91dc (__TEXT,__text) external ___rshift_D2A
00007ff800fe6e70 (__TEXT,__text) external ___rv_alloc_D2A
00007ff800fe9cb7 (__TEXT,__text) external ___s2b_D2A
00007ff8400ea270 (__DATA,__data) external ___sF
00007ff8400ea440 (__DATA,__data) non-external ___sFX
00007ff801005616 (__TEXT,__text) external ___sclose
00007ff8400ebce0 (__DATA,__bss) non-external ___scounted
00007ff8400f6720 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff801024f67 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800ff9cab (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8400ebc88 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8400ebc90 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff80102e104 (__TEXT,__text) non-external ___setup_vars
00007ff800fff0ef (__TEXT,__text) external ___sflags
00007ff800ffe248 (__TEXT,__text) external ___sflush
00007ff800ffec2a (__TEXT,__text) external ___sfp
00007ff800ffeff9 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff801000987 (__TEXT,__text) external ___sfvwrite
00007ff8400ea6e0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800ffedf4 (__TEXT,__text) external ___sinit
00007ff800ffe41f (__TEXT,__text) external ___slbexpand
00007ff8010016af (__TEXT,__text) external ___smakebuf
00007ff80103db4d (__TEXT,__text) non-external ___smakebuf.cold.1
00007ff80103c472 (__TEXT,__text) external ___snprintf_chk
00007ff80103c516 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800fe3427 (__TEXT,__text) external ___split_page
00007ff801011b8d (__TEXT,__text) non-external ___sprint
00007ff80103c6e6 (__TEXT,__text) external ___sprintf_chk
00007ff80103c7bf (__TEXT,__text) external ___sprintf_object_size_chk
00007ff8010055e6 (__TEXT,__text) external ___sread
00007ff801004c57 (__TEXT,__text) external ___srefill
00007ff801004aa7 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff801004bfe (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff801004d53 (__TEXT,__text) external ___srget
00007ff801005608 (__TEXT,__text) external ___sseek
00007ff80101e76e (__TEXT,__text) external ___stack_chk_fail
00007ff8400f6740 (__DATA,__common) external ___stack_chk_guard
00007ff8400ed510 (__DATA,__bss) non-external ___stderr_evp
00007ff8400ea6c0 (__DATA,__data) external ___stderrp
00007ff8400ed4f0 (__DATA,__bss) non-external ___stdin_evp
00007ff8400ea6b0 (__DATA,__data) external ___stdinp
00007ff800fea22a (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff8400ed500 (__DATA,__bss) non-external ___stdout_evp
00007ff8400ea6b8 (__DATA,__data) external ___stdoutp
00007ff80103c691 (__TEXT,__text) external ___stpcpy_chk
00007ff80103c8ab (__TEXT,__text) external ___stpncpy_chk
00007ff80103e32b (__TEXT,__text) non-external ___stpncpy_chk.cold.1
00007ff80103c5c7 (__TEXT,__text) external ___strcat_chk
00007ff800fe9c94 (__TEXT,__text) external ___strcp_D2A
00007ff80103c3d2 (__TEXT,__text) external ___strcpy_chk
00007ff8400f65e8 (__DATA,__bss) non-external ___strerror_ebuf
00007ff80103c19b (__TEXT,__text) external ___strlcat_chk
00007ff80103c2c9 (__TEXT,__text) external ___strlcpy_chk
00007ff80103c314 (__TEXT,__text) external ___strncat_chk
