                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80c54e058 (__TEXT,__text) external ___absvdi2
00007ff80c5507b9 (__TEXT,__text) external ___fixunssfdi
00007ff80c5507fe (__TEXT,__text) external ___fixunssfsi
00007ff80c550848 (__TEXT,__text) external ___fixunssfti
00007ff80c54df05 (__TEXT,__text) external ___fixunsxfdi
00007ff80c5508bd (__TEXT,__text) external ___fixunsxfsi
00007ff80c550930 (__TEXT,__text) external ___fixunsxfti
00007ff80c5509e7 (__TEXT,__text) external ___fixxfdi
00007ff80c550a84 (__TEXT,__text) external ___fixxfti
00007ff80c550b6a (__TEXT,__text) external ___floatdidf
00007ff80c550b70 (__TEXT,__text) external ___floatdisf
00007ff80c550b76 (__TEXT,__text) external ___floatdixf
00007ff80c550b80 (__TEXT,__text) external ___floattidf
00007ff80c550c98 (__TEXT,__text) external ___floattisf
00007ff80c550d9a (__TEXT,__text) external ___floattixf
00007ff80c550ecc (__TEXT,__text) external ___floatundidf
00007ff80c550ef8 (__TEXT,__text) external ___floatundisf
00007ff80c550f24 (__TEXT,__text) external ___floatundixf
00007ff80c550f3a (__TEXT,__text) external ___floatuntidf
00007ff80c551042 (__TEXT,__text) external ___floatuntisf
00007ff80c55110a (__TEXT,__text) external ___floatuntixf
00007ff80c551210 (__TEXT,__text) external ___gcc_personality_v0
00007ff80c552983 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80c550507 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80c5514bc (__TEXT,__text) external ___lshrdi3
00007ff80c5514ea (__TEXT,__text) external ___lshrti3
00007ff80c54df7c (__TEXT,__text) external ___moddi3
00007ff80c551512 (__TEXT,__text) external ___modti3
00007ff80c55157a (__TEXT,__text) external ___muldc3
00007ff80c55175c (__TEXT,__text) external ___muldi3
00007ff80c5517d6 (__TEXT,__text) external ___mulodi4
00007ff80c551865 (__TEXT,__text) external ___mulosi4
00007ff80c5518d8 (__TEXT,__text) external ___muloti4
00007ff80c5519df (__TEXT,__text) external ___mulsc3
00007ff80c551c21 (__TEXT,__text) external ___multi3
00007ff80c551c80 (__TEXT,__text) external ___mulvdi3
00007ff80c551d7f (__TEXT,__text) external ___mulvsi3
00007ff80c551e5b (__TEXT,__text) external ___mulvti3
00007ff80c551fe2 (__TEXT,__text) external ___mulxc3
00007ff80c552347 (__TEXT,__text) external ___negdi2
00007ff80c55234e (__TEXT,__text) external ___negti2
00007ff80c55235a (__TEXT,__text) external ___negvdi2
00007ff80c552389 (__TEXT,__text) external ___negvsi2
00007ff80c5523af (__TEXT,__text) external ___negvti2
00007ff80c5523e1 (__TEXT,__text) external ___paritydi2
00007ff80c55240d (__TEXT,__text) external ___paritysi2
00007ff80c552430 (__TEXT,__text) external ___parityti2
00007ff80c55245f (__TEXT,__text) external ___popcountdi2
00007ff80c5524c1 (__TEXT,__text) external ___popcountsi2
00007ff80c5524fa (__TEXT,__text) external ___popcountti2
00007ff80c552588 (__TEXT,__text) external ___powidf2
00007ff80c5525dc (__TEXT,__text) external ___powisf2
00007ff80c55262d (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80c55268b (__TEXT,__text) external ___subvdi3
00007ff80c5526d3 (__TEXT,__text) external ___subvsi3
00007ff80c552716 (__TEXT,__text) external ___subvti3
00007ff80c55276a (__TEXT,__text) external ___truncdfhf2
00007ff80c552897 (__TEXT,__text) external ___truncsfhf2
00007ff80c552988 (__TEXT,__text) external ___ucmpdi2
00007ff80c5529b7 (__TEXT,__text) external ___ucmpti2
00007ff80c54ddc0 (__TEXT,__text) external ___udivdi3
00007ff80c5529db (__TEXT,__text) external ___udivmoddi4
00007ff80c54dd00 (__TEXT,__text) external ___udivmodti4
00007ff80c54dcf8 (__TEXT,__text) external ___udivti3
00007ff80c54de41 (__TEXT,__text) external ___umoddi3
00007ff80c552c38 (__TEXT,__text) external ___umodti3
00007ff80c54f300 (__TEXT,__text) external _atomic_flag_clear
00007ff80c54f305 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80c54f318 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80c54f320 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80c54f354 (__TEXT,__text) external _atomic_signal_fence
00007ff80c54f380 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8426bafc0 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80c5513aa (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80c553740 (__TEXT,__const) non-external two
00007ff80c553710 (__TEXT,__const) non-external twop52
00007ff80c553750 (__TEXT,__const) non-external twop64
00007ff80c553730 (__TEXT,__const) non-external twop84
00007ff80c553720 (__TEXT,__const) non-external twop84_plus_twop52
