00007ffe07467052 (__TEXT,__text) non-external _Done_iODBC
00007ffe0745d77b (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffe07459ff1 (__TEXT,__text) external _SQLTables
00007ffe0745a1c2 (__TEXT,__text) external _SQLTablesA
00007ffe0745a393 (__TEXT,__text) external _SQLTablesW
00007ffe07459d11 (__TEXT,__text) non-external _SQLTables_Internal
00007ffe07466c6e (__TEXT,__text) external _SQLTransact
00007ffe07466967 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffe074817a0 (__TEXT,__text) non-external _SQLValidDSN
00007ffe074817ff (__TEXT,__text) non-external _SQLValidDSNW
00007ffe07480c1c (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffe07480cc7 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffe07484682 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffe074848a3 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffe0746baaf (__TEXT,__text) non-external _SectSorter
00007ffe07481702 (__TEXT,__text) non-external _ValidDSN
00007ffe07481754 (__TEXT,__text) non-external _ValidDSNW
00007ffe07484578 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffe07471bdc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffe07463060 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffe07463080 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffe07482853 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffe07483c62 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffe4338e170 (__DATA,__common) non-external __iodbc_env_counter
00007ffe074811f4 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffe0746b494 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffe0746b56c (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffe0746486e (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffe0746a32e (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffe074661cb (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffe0746fe50 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffe0746a58b (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffe074657d8 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffe0745e175 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffe074651d8 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffe0746b521 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffe0746b268 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffe4338e178 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffe0746b638 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffe0745882d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffe07458880 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffe07482f41 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffe07482232 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffe074829d3 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffe07482688 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffe0748217c (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffe0746d87a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffe074831ea (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffe0748291f (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffe0746d8f7 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffe0746d770 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffe07482263 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffe074828f9 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffe074612e0 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffe0748321c (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffe07482752 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffe0746d943 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffe07482adc (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffe07481440 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffe07461078 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffe0746b2f5 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffe0746b3c9 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffe074611a2 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffe074631b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffe074631fd (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffe07463106 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffe074630fc (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffe07463234 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffe0745e424 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffe0745ebf8 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffe0746a245 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffe07465dec (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffe0745df72 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffe07467058 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffe07462f7a (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffe074814e6 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffe074630aa (__TEXT,__text) non-external __iodbcdm_getproc
00007ffe4338e118 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffe074833fa (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffe0748333a (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffe07470101 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffe074700a5 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffe07462df0 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffe0745df20 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffe07484a91 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffe07460e1c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffe074614d0 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffe0745e04c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffe0746142e (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffe0746707b (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffe0748148a (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffe07463207 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffe074670e8 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffe07481637 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffe074815e3 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffe07466a4a (__TEXT,__text) non-external __iodbcdm_transact
00007ffe4123eb30 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffe4123f7d0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffe4123f880 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffe4123ebf0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffe4123ec90 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffe4123f330 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffe4123f370 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffe4123f040 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffe4123f3c0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffe4123f3e0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffe4123f400 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffe4123f0f0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffe4123f430 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffe4123f450 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffe4123eb00 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffe4123eb10 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffe4123f010 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffe4123f480 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffe4123f4d0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffe4123f4f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffe4123f500 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffe4123f550 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffe4123f570 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffe4123f5f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffe4123f600 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffe4123f630 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffe4123f650 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffe4123f6d0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffe4123f710 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffe4123f720 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffe4123f730 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffe4123f740 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffe4123f760 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffe4123f780 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffe4123f7a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffe4123f7b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffe4123f6f0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffe4123ec40 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffe4123f180 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffe4123f130 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffe4123f160 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffe4123f910 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffe4123f930 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffe4123f9f0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffe4123f1a0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffe4123f030 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffe4123f1c0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffe4123ecc0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffe4123ed90 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffe4123fa10 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffe4123edb0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffe4123edc0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffe4123f1e0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffe4123fa30 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffe4123fa50 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffe4123f250 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffe4123f220 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffe4123fa70 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
