                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80d0596ed (__TEXT,__text) non-external _au_assemble
00007ff80d06243e (__TEXT,__text) external _au_to_arg32
00007ff80d06250e (__TEXT,__text) external _au_to_arg64
00007ff80d064112 (__TEXT,__text) external _au_to_certificate_hash
00007ff80d062617 (__TEXT,__text) external _au_to_data
00007ff80d063fe4 (__TEXT,__text) external _au_to_exec_args
00007ff80d064103 (__TEXT,__text) external _au_to_exec_env
00007ff80d0626e7 (__TEXT,__text) external _au_to_exit
00007ff80d062b3b (__TEXT,__text) external _au_to_file
00007ff80d062776 (__TEXT,__text) external _au_to_groups
00007ff80d0647bc (__TEXT,__text) external _au_to_header
00007ff80d064716 (__TEXT,__text) external _au_to_header32
00007ff80d064684 (__TEXT,__text) external _au_to_header32_ex
00007ff80d0643ff (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80d064310 (__TEXT,__text) external _au_to_header32_tm
00007ff80d064769 (__TEXT,__text) external _au_to_header64
00007ff80d064564 (__TEXT,__text) external _au_to_header64_tm
00007ff80d0647c6 (__TEXT,__text) external _au_to_header_ex
00007ff80d0641ca (__TEXT,__text) external _au_to_identity
00007ff80d062822 (__TEXT,__text) external _au_to_in_addr
00007ff80d062875 (__TEXT,__text) external _au_to_in_addr_ex
00007ff80d0628d1 (__TEXT,__text) external _au_to_ip
00007ff80d06292d (__TEXT,__text) external _au_to_ipc
00007ff80d0629a5 (__TEXT,__text) external _au_to_ipc_perm
00007ff80d062a55 (__TEXT,__text) external _au_to_iport
00007ff80d06483e (__TEXT,__text) external _au_to_kevent
00007ff80d064121 (__TEXT,__text) external _au_to_krb5_principal
00007ff80d063f5c (__TEXT,__text) external _au_to_me
00007ff80d062788 (__TEXT,__text) external _au_to_newgroups
00007ff80d062aab (__TEXT,__text) external _au_to_opaque
00007ff80d062ccd (__TEXT,__text) external _au_to_path
00007ff80d06301b (__TEXT,__text) external _au_to_process
00007ff80d062d67 (__TEXT,__text) external _au_to_process32
00007ff80d063025 (__TEXT,__text) external _au_to_process32_ex
00007ff80d062ea1 (__TEXT,__text) external _au_to_process64
00007ff80d063213 (__TEXT,__text) external _au_to_process64_ex
00007ff80d063421 (__TEXT,__text) external _au_to_process_ex
00007ff80d063544 (__TEXT,__text) external _au_to_return
00007ff80d06342b (__TEXT,__text) external _au_to_return32
00007ff80d0634a3 (__TEXT,__text) external _au_to_return64
00007ff80d06354e (__TEXT,__text) external _au_to_seq
00007ff80d06388d (__TEXT,__text) external _au_to_sock_inet
00007ff80d063821 (__TEXT,__text) external _au_to_sock_inet128
00007ff80d0637b9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80d063718 (__TEXT,__text) external _au_to_sock_unix
00007ff80d0635b8 (__TEXT,__text) external _au_to_socket_ex
00007ff80d063ff3 (__TEXT,__text) non-external _au_to_strings
00007ff80d063b4b (__TEXT,__text) external _au_to_subject
00007ff80d063897 (__TEXT,__text) external _au_to_subject32
00007ff80d063b55 (__TEXT,__text) external _au_to_subject32_ex
00007ff80d0639d1 (__TEXT,__text) external _au_to_subject64
00007ff80d063d43 (__TEXT,__text) external _au_to_subject64_ex
00007ff80d063f52 (__TEXT,__text) external _au_to_subject_ex
00007ff80d062c33 (__TEXT,__text) external _au_to_text
00007ff80d0647d0 (__TEXT,__text) external _au_to_trailer
00007ff80d064130 (__TEXT,__text) external _au_to_zonename
00007ff80d064b44 (__TEXT,__text) external _au_user_mask
00007ff80d05959c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff84238cf68 (__DATA,__bss) non-external _audit_free_q
00007ff80d065e1f (__TEXT,__text) external _audit_get_car
00007ff80d065bef (__TEXT,__text) external _audit_get_class
00007ff80d065126 (__TEXT,__text) external _audit_get_cond
00007ff80d065e34 (__TEXT,__text) external _audit_get_ctlmode
00007ff80d065e0a (__TEXT,__text) external _audit_get_cwd
00007ff80d065e65 (__TEXT,__text) external _audit_get_expire_after
00007ff80d065cb3 (__TEXT,__text) external _audit_get_fsize
00007ff80d065b8d (__TEXT,__text) external _audit_get_kaudit
00007ff80d065c51 (__TEXT,__text) external _audit_get_kmask
00007ff80d065d46 (__TEXT,__text) external _audit_get_pinfo
00007ff80d065d77 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80d0658ef (__TEXT,__text) external _audit_get_policy
00007ff80d065a24 (__TEXT,__text) external _audit_get_qctrl
00007ff80d0659bd (__TEXT,__text) external _audit_get_sflags
00007ff80d0659f8 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80d059408 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80d065da8 (__TEXT,__text) external _audit_get_stat
00007ff84238cf60 (__DATA,__bss) non-external _audit_rec_count
00007ff80d065b76 (__TEXT,__text) external _audit_send_trigger
00007ff80d065c20 (__TEXT,__text) external _audit_set_class
00007ff80d065888 (__TEXT,__text) external _audit_set_cond
00007ff80d065ce4 (__TEXT,__text) external _audit_set_fsize
00007ff80d065bbe (__TEXT,__text) external _audit_set_kaudit
00007ff80d065c82 (__TEXT,__text) external _audit_set_kmask
00007ff80d065d15 (__TEXT,__text) external _audit_set_pmask
00007ff80d065956 (__TEXT,__text) external _audit_set_policy
00007ff80d065acd (__TEXT,__text) external _audit_set_qctrl
00007ff80d0659d4 (__TEXT,__text) external _audit_set_sflags
00007ff80d065a0e (__TEXT,__text) external _audit_set_sflags_mask
00007ff80d065dd9 (__TEXT,__text) external _audit_set_stat
00007ff80d065263 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80d06518d (__TEXT,__text) external _audit_set_terminal_id
00007ff80d065307 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80d0651c2 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80d064cc5 (__TEXT,__text) external _audit_submit
00007ff80d058bd4 (__TEXT,__text) external _audit_token_to_asid
00007ff80d058c1c (__TEXT,__text) external _audit_token_to_au32
00007ff80d058bf8 (__TEXT,__text) external _audit_token_to_auid
00007ff80d058c01 (__TEXT,__text) external _audit_token_to_egid
00007ff80d058be6 (__TEXT,__text) external _audit_token_to_euid
00007ff80d058bdd (__TEXT,__text) external _audit_token_to_pid
00007ff80d058c13 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80d058c0a (__TEXT,__text) external _audit_token_to_rgid
00007ff80d058bef (__TEXT,__text) external _audit_token_to_ruid
00007ff80d06533c (__TEXT,__text) external _audit_write
00007ff80d0655ff (__TEXT,__text) external _audit_write_failure
00007ff80d0656c4 (__TEXT,__text) external _audit_write_failure_ex
00007ff80d065826 (__TEXT,__text) external _audit_write_failure_na
00007ff80d065857 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80d065789 (__TEXT,__text) external _audit_write_failure_self
00007ff80d0654be (__TEXT,__text) external _audit_write_success
00007ff80d065535 (__TEXT,__text) external _audit_write_success_ex
00007ff80d0655ac (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80d061549 (__TEXT,__text) non-external _be64dec
00007ff80d0679e0 (__TEXT,__const) non-external _bsm_domains
00007ff84238c470 (__DATA,__const) non-external _bsm_errnos
00007ff80d067c60 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80d067c10 (__TEXT,__const) non-external _bsm_socket_types
00007ff80d0623f3 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80d061a1d (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80d05a291 (__TEXT,__text) external _endac
00007ff80d059eef (__TEXT,__text) external _endauclass
00007ff80d05abd6 (__TEXT,__text) external _endauevent
00007ff80d064878 (__TEXT,__text) external _endauuser
00007ff84238d6a8 (__DATA,__bss) non-external _ev_cache
00007ff80d05b071 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80d05cca3 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80d05b8df (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80d05b954 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80d05b9c9 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80d05ba77 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80d05cd1f (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80d05bb79 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80d05bbf4 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80d05bb36 (__TEXT,__text) non-external _fetch_exit_tok
00007ff80d05bc6f (__TEXT,__text) non-external _fetch_file_tok
00007ff80d05b528 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80d05b478 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80d05b731 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80d05b66c (__TEXT,__text) non-external _fetch_header64_tok
00007ff80d05ce0f (__TEXT,__text) non-external _fetch_identity_tok
00007ff80d05bd54 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80d05bdb3 (__TEXT,__text) non-external _fetch_ip_tok
00007ff80d05bebe (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80d05beff (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80d05cd97 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80d05bce6 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80d05bfc7 (__TEXT,__text) non-external _fetch_process32_tok
00007ff80d05c0c7 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80d05c205 (__TEXT,__text) non-external _fetch_process64_tok
00007ff80d05c318 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80d05c47e (__TEXT,__text) non-external _fetch_return32_tok
00007ff80d05c4bf (__TEXT,__text) non-external _fetch_return64_tok
00007ff80d05c681 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80d05c58e (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80d05c5ec (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80d05c502 (__TEXT,__text) non-external _fetch_socket_tok
00007ff80d05cb98 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80d05c6e1 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80d05c7e1 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80d05c91f (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80d05ca32 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80d05b898 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff84238d6a0 (__DATA,__bss) non-external _firsttime
00007ff80d062259 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff84238d160 (__DATA,__bss) non-external _fp
00007ff84238d270 (__DATA,__bss) non-external _fp
00007ff84238d380 (__DATA,__bss) non-external _fp
00007ff84238d6c0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80d05a2ca (__TEXT,__text) external _getacdir
00007ff80d05a8a5 (__TEXT,__text) external _getacexpire
00007ff80d05a502 (__TEXT,__text) external _getacfilesz
00007ff80d05a651 (__TEXT,__text) external _getacflg
00007ff80d05a812 (__TEXT,__text) external _getachost
00007ff80d05a49f (__TEXT,__text) external _getacmin
00007ff80d05a6dd (__TEXT,__text) external _getacna
00007ff80d05a769 (__TEXT,__text) external _getacpol
00007ff80d05a7fc (__TEXT,__text) external _getacsflagsmask
00007ff80d059c85 (__TEXT,__text) external _getauclassent
00007ff84238d068 (__DATA,__bss) non-external _getauclassent.c
00007ff84238d020 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff84238d010 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff84238d080 (__DATA,__bss) non-external _getauclassent.cp
00007ff80d059b09 (__TEXT,__text) external _getauclassent_r
00007ff80d059b3d (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80d059dc2 (__TEXT,__text) external _getauclassnam
00007ff84238d0d8 (__DATA,__bss) non-external _getauclassnam.c
00007ff84238d090 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff84238d088 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80d059d49 (__TEXT,__text) external _getauclassnam_r
00007ff80d059e8a (__TEXT,__text) external _getauclassnum
00007ff84238d148 (__DATA,__bss) non-external _getauclassnum.c
00007ff84238d100 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff84238d0f0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80d059e28 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80d05b189 (__TEXT,__text) external _getauditflagsbin
00007ff80d05b2da (__TEXT,__text) external _getauditflagschar
00007ff80d05acc3 (__TEXT,__text) external _getauevent
00007ff84238d3e8 (__DATA,__bss) non-external _getauevent.e
00007ff84238d3b0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff84238d390 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80d05ac0f (__TEXT,__text) external _getauevent_r
00007ff80d05ae19 (__TEXT,__text) external _getauevnam
00007ff84238d468 (__DATA,__bss) non-external _getauevnam.e
00007ff84238d430 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff84238d410 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80d05ad2d (__TEXT,__text) external _getauevnam_r
00007ff80d05b05d (__TEXT,__text) external _getauevnonam
00007ff84238d590 (__DATA,__bss) non-external _getauevnonam.event
00007ff80d05afcb (__TEXT,__text) external _getauevnonam_r
00007ff84238d568 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff84238d588 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff84238d530 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff84238d510 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80d05af5f (__TEXT,__text) external _getauevnum
00007ff84238d4e8 (__DATA,__bss) non-external _getauevnum.e
00007ff84238d4b0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff84238d490 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80d05ae86 (__TEXT,__text) external _getauevnum_r
00007ff80d064a21 (__TEXT,__text) external _getauuserent
00007ff84238d708 (__DATA,__bss) non-external _getauuserent.u
00007ff84238d6d0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80d0648b1 (__TEXT,__text) external _getauuserent_r
00007ff80d0648e5 (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80d064afa (__TEXT,__text) external _getauusernam
00007ff84238d758 (__DATA,__bss) non-external _getauusernam.u
00007ff84238d720 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80d064a8f (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80d064c04 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80d05a351 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff84238d170 (__DATA,__bss) non-external _linestr
00007ff84238d280 (__DATA,__bss) non-external _linestr
00007ff84238d5a0 (__DATA,__bss) non-external _linestr
00007ff84238d770 (__DATA,__bss) non-external _linestr
00007ff80d06219a (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff84238cde0 (__DATA,__data) non-external _mutex
00007ff84238ce20 (__DATA,__data) non-external _mutex
00007ff84238ce60 (__DATA,__data) non-external _mutex
00007ff84238cea0 (__DATA,__data) non-external _mutex
00007ff84238cee0 (__DATA,__data) non-external _mutex
00007ff84238cf20 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff84238cf70 (__DATA,__bss) non-external _open_desc_table
00007ff80d0618c4 (__TEXT,__text) non-external _print_event
00007ff80d061efb (__TEXT,__text) non-external _print_group
00007ff80d061c9c (__TEXT,__text) non-external _print_ip_ex_address
00007ff80d061fa6 (__TEXT,__text) non-external _print_ipctype
00007ff80d061f3e (__TEXT,__text) non-external _print_mem
00007ff80d06200f (__TEXT,__text) non-external _print_retval
00007ff80d06198c (__TEXT,__text) non-external _print_sec32
00007ff80d061d46 (__TEXT,__text) non-external _print_sec64
00007ff80d061dd6 (__TEXT,__text) non-external _print_string
00007ff80d061555 (__TEXT,__text) non-external _print_tok_type
00007ff80d061eb8 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80d05a1f5 (__TEXT,__text) external _setac
00007ff80d05a21d (__TEXT,__text) non-external _setac_locked
00007ff84238d278 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80d059d17 (__TEXT,__text) external _setauclass
00007ff80d05aba4 (__TEXT,__text) external _setauevent
00007ff80d064846 (__TEXT,__text) external _setauuser
00007ff80d05aa77 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff84238d6b0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
