00000001d98a3330 (__DATA,__common) external _BC
00000001a6f6578c (__TEXT,__text) external __nc_flush
00000001a6f5baf4 (__TEXT,__text) external __nc_free_and_exit
00000001a6f56e74 (__TEXT,__text) external __nc_free_entries
00000001a6f56dcc (__TEXT,__text) external __nc_free_entry
00000001a6f56eb0 (__TEXT,__text) external __nc_free_termtype
00000001a6f5baf0 (__TEXT,__text) external __nc_freeall
00000001a6f60390 (__TEXT,__text) external __nc_freewin
00000001a6f54234 (__TEXT,__text) external __nc_get_alias_table
00000001a6f54218 (__TEXT,__text) external __nc_get_hash_table
00000001a6f63aa0 (__TEXT,__text) external __nc_get_locale
00000001a6f4f8d4 (__TEXT,__text) external __nc_get_screensize
00000001a6f54340 (__TEXT,__text) external __nc_get_source
00000001a6f54138 (__TEXT,__text) external __nc_get_table
00000001a6f55af0 (__TEXT,__text) external __nc_get_token
00000001a6f65e8c (__TEXT,__text) external __nc_get_tty_mode
00000001a6f543d0 (__TEXT,__text) external __nc_get_type
00000001a6f4fab4 (__TEXT,__text) external __nc_getenv_num
00000001d98a2948 (__DATA,__data) external __nc_globals
00000001a6f639d4 (__TEXT,__text) external __nc_handle_sigwinch
00000001a6f5e258 (__TEXT,__text) external __nc_has_mouse
00000001a6f5717c (__TEXT,__text) external __nc_hash_map
00000001d98a2fc0 (__DATA,__common) external __nc_head
00000001a6f4ed24 (__TEXT,__text) external __nc_home_terminfo
00000001a6f538f0 (__TEXT,__text) external __nc_infotocap
00000001a6f58234 (__TEXT,__text) external __nc_init_acs
00000001a6f516cc (__TEXT,__text) external __nc_init_entry
00000001a6f57ea8 (__TEXT,__text) external __nc_init_keytry
00000001a6f67248 (__TEXT,__text) external __nc_init_wacs
00000001a6f5d580 (__TEXT,__text) external __nc_insert_ch
00000001a6f51524 (__TEXT,__text) external __nc_is_abs_path
00000001a6f54104 (__TEXT,__text) external __nc_is_charable
00000001a6f4eda0 (__TEXT,__text) external __nc_is_dir_path
00000001a6f51538 (__TEXT,__text) external __nc_is_file_path
00000001a6f56b90 (__TEXT,__text) external __nc_keep_tic_dir
00000001a6f6fc80 (__TEXT,__text) external __nc_keyname
00000001a6f60ac8 (__TEXT,__text) external __nc_keypad
00000001a6f4f7e4 (__TEXT,__text) external __nc_last_db
00000001a6f56ea4 (__TEXT,__text) external __nc_leaks_tinfo
00000001a6f63adc (__TEXT,__text) external __nc_locale_breaks_acs
00000001a6f57b74 (__TEXT,__text) external __nc_make_oldhash
00000001a6f60610 (__TEXT,__text) external __nc_makenew
00000001a6f51c1c (__TEXT,__text) external __nc_merge_entry
00000001a6f5e9b8 (__TEXT,__text) external __nc_msec_cost
00000001a6f5ebd0 (__TEXT,__text) external __nc_mvcur_init
00000001a6f5eb1c (__TEXT,__text) external __nc_mvcur_resume
00000001a6f5f168 (__TEXT,__text) external __nc_mvcur_wrap
00000001a6f67974 (__TEXT,__text) external __nc_name_match
00000001a6f4eaf8 (__TEXT,__text) external __nc_next_db
00000001d98a3340 (__DATA,__common) external __nc_nulls_sent
00000001d98a2fd0 (__DATA,__common) external __nc_oldnums
00000001a6f4f898 (__TEXT,__text) external __nc_ospeed
00000001a6f657b4 (__TEXT,__text) external __nc_outch
00000001a6f67a38 (__TEXT,__text) external __nc_panelhook
00000001a6f56680 (__TEXT,__text) external __nc_panic_mode
00000001a6f67a54 (__TEXT,__text) external __nc_parse_entry
00000001a6f4eac4 (__TEXT,__text) external __nc_pathlast
00000001d98a2a78 (__DATA,__data) external __nc_prescreen
00000001a6f69f98 (__TEXT,__text) external __nc_printf_string
00000001d98a3210 (__DATA,__common) external __nc_progname
00000001a6f56ae8 (__TEXT,__text) external __nc_push_token
00000001a6f4e978 (__TEXT,__text) external __nc_read_entry
00000001a6f55480 (__TEXT,__text) external __nc_read_entry_source
00000001a6f4edf4 (__TEXT,__text) external __nc_read_file_entry
00000001a6f69544 (__TEXT,__text) external __nc_read_termcap_entry
00000001a6f4efd0 (__TEXT,__text) external __nc_read_termtype
00000001a6f6a334 (__TEXT,__text) external __nc_remove_key
00000001a6f6a3b8 (__TEXT,__text) external __nc_remove_string
00000001a6f586c8 (__TEXT,__text) external __nc_render
00000001a6f5a884 (__TEXT,__text) external __nc_reset_colors
00000001a6f55a94 (__TEXT,__text) external __nc_reset_input
00000001a6f55a8c (__TEXT,__text) external __nc_resolve_uses
00000001a6f55618 (__TEXT,__text) external __nc_resolve_uses2
00000001a6f63924 (__TEXT,__text) external __nc_ripoffline
00000001a6f5142c (__TEXT,__text) external __nc_rootname
00000001a6f6a18c (__TEXT,__text) external __nc_safe_strcat
00000001a6f6a204 (__TEXT,__text) external __nc_safe_strcpy
00000001a6f51828 (__TEXT,__text) external __nc_save_str
00000001d98a3200 (__DATA,__common) external __nc_screen_chain
00000001a6f6d558 (__TEXT,__text) external __nc_screen_init
00000001a6f608fc (__TEXT,__text) external __nc_screen_of
00000001a6f6add4 (__TEXT,__text) external __nc_screen_resume
00000001a6f6d55c (__TEXT,__text) external __nc_screen_wrap
00000001a6f57be4 (__TEXT,__text) external __nc_scroll_oldhash
00000001a6f56f5c (__TEXT,__text) external __nc_scroll_optimize
00000001a6f62ce0 (__TEXT,__text) external __nc_scroll_window
00000001a6f6c384 (__TEXT,__text) external __nc_scrolln
00000001a6f6a080 (__TEXT,__text) external __nc_set_buffer
00000001a6f51328 (__TEXT,__text) external __nc_set_no_padding
00000001a6f54350 (__TEXT,__text) external __nc_set_source
00000001a6f65efc (__TEXT,__text) external __nc_set_tty_mode
00000001a6f54360 (__TEXT,__text) external __nc_set_type
00000001a6f6ebb0 (__TEXT,__text) external __nc_set_writedir
00000001a6f63330 (__TEXT,__text) external __nc_setupscreen
00000001a6f4e570 (__TEXT,__text) external __nc_setupterm
00000001a6f65ac8 (__TEXT,__text) external __nc_signal_handler
00000001a6f63c00 (__TEXT,__text) external __nc_slk_initialize
00000001d98a2f98 (__DATA,__common) external __nc_start_line
00000001a6f6a180 (__TEXT,__text) external __nc_str_copy
00000001a6f6a150 (__TEXT,__text) external __nc_str_init
00000001a6f6a16c (__TEXT,__text) external __nc_str_null
00000001d98a2f68 (__DATA,__common) external __nc_suppress_warnings
00000001a6f673cc (__TEXT,__text) external __nc_synchook
00000001d98a2f78 (__DATA,__common) external __nc_syntax
00000001a6f54598 (__TEXT,__text) external __nc_syserr_abort
00000001d98a2fc8 (__DATA,__common) external __nc_tail
00000001a6f56b34 (__TEXT,__text) external __nc_tic_dir
00000001a6f545ec (__TEXT,__text) external __nc_tic_expand
00000001a6f6fa94 (__TEXT,__text) external __nc_tic_written
00000001a6f66204 (__TEXT,__text) external __nc_timed_wait
00000001a6f77ed0 (__TEXT,__const) external __nc_tinfo_fkeys
00000001a6f54130 (__TEXT,__text) external __nc_to_char
00000001a6f54134 (__TEXT,__text) external __nc_to_widechar
00000001a6f51010 (__TEXT,__text) external __nc_tparm_analyze
00000001d98a3338 (__DATA,__common) external __nc_tparm_err
00000001d98a3350 (__DATA,__common) external __nc_tracing
00000001a6f566b4 (__TEXT,__text) external __nc_trans_string
00000001a6f4fb18 (__TEXT,__text) external __nc_trim_sgr0
00000001a6f6e368 (__TEXT,__text) external __nc_unctrl
00000001a6f66668 (__TEXT,__text) external __nc_ungetch
00000001a6f63aac (__TEXT,__text) external __nc_unicode_locale
00000001a6f63a24 (__TEXT,__text) external __nc_update_screensize
00000001d98a2944 (__DATA,__data) external __nc_user_definable
00000001a6f6e6a8 (__TEXT,__text) external __nc_visbuf
00000001a6f6e494 (__TEXT,__text) external __nc_visbuf2
00000001a6f6e6b8 (__TEXT,__text) external __nc_visbufn
00000001d98a3348 (__DATA,__common) external __nc_wacs
00000001a6f588c0 (__TEXT,__text) external __nc_waddch_nosync
00000001a6f543f8 (__TEXT,__text) external __nc_warning
00000001a6f594c8 (__TEXT,__text) external __nc_wchstrlen
00000001a6f664bc (__TEXT,__text) external __nc_wcrtomb
00000001a6f5c1dc (__TEXT,__text) external __nc_wgetch
00000001a6f518c4 (__TEXT,__text) external __nc_wrap_entry
00000001a6f6ede8 (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001d98a2fd8 (__DATA,__common) external _acs_map
00000001a6f7164c (__TEXT,__text) external _add_wch
00000001a6f71660 (__TEXT,__text) external _add_wchnstr
00000001a6f71678 (__TEXT,__text) external _add_wchstr
00000001a6f6ff3c (__TEXT,__text) external _addch
00000001a6f6ff50 (__TEXT,__text) external _addchnstr
00000001a6f6ff68 (__TEXT,__text) external _addchstr
00000001a6f6ff80 (__TEXT,__text) external _addnstr
00000001a6f71690 (__TEXT,__text) external _addnwstr
00000001a6f6ff98 (__TEXT,__text) external _addstr
00000001a6f716a8 (__TEXT,__text) external _addwstr
00000001a6f5b784 (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
00000001a6f6fff4 (__TEXT,__text) external _attr_get
00000001a6f70024 (__TEXT,__text) external _attr_off
00000001a6f7003c (__TEXT,__text) external _attr_on
00000001a6f70054 (__TEXT,__text) external _attr_set
00000001a6f6ffb0 (__TEXT,__text) external _attroff
00000001a6f6ffc8 (__TEXT,__text) external _attron
00000001a6f6ffe0 (__TEXT,__text) external _attrset
00000001a6f51374 (__TEXT,__text) external _baudrate
00000001a6f5992c (__TEXT,__text) external _beep
00000001a6f70074 (__TEXT,__text) external _bkgd
00000001a6f70088 (__TEXT,__text) external _bkgdset
00000001a6f716c0 (__TEXT,__text) external _bkgrnd
00000001a6f716d4 (__TEXT,__text) external _bkgrndset
00000001d5872a20 (__DATA_CONST,__const) external _boolcodes
00000001d5873b28 (__DATA_CONST,__const) external _boolfnames
00000001d58739c0 (__DATA_CONST,__const) external _boolnames
00000001a6f7009c (__TEXT,__text) external _border
00000001a6f716e8 (__TEXT,__text) external _border_set
00000001a6f700ec (__TEXT,__text) external _box
00000001a6f71738 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001a6f5b14c (__TEXT,__text) external _can_change_color
00000001a6f61a9c (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
00000001a6f70128 (__TEXT,__text) external _chgat
00000001a6f70148 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
00000001a6f5a6b0 (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
00000001a6f70158 (__TEXT,__text) external _clrtobot
00000001a6f70168 (__TEXT,__text) external _clrtoeol
00000001a6f5b1d0 (__TEXT,__text) external _color_content
00000001a6f70178 (__TEXT,__text) external _color_set
00000001a6f60df0 (__TEXT,__text) external _copywin
00000001d98a31e0 (__DATA,__common) external _cur_term
00000001a6f60ba4 (__TEXT,__text) external _curs_set
00000001d98a31f0 (__DATA,__common) external _curscr
00000001a6f6e488 (__TEXT,__text) external _curses_version
00000001a6f65ff8 (__TEXT,__text) external _def_prog_mode
00000001a6f65f8c (__TEXT,__text) external _def_shell_mode
00000001a6f56cd4 (__TEXT,__text) external _define_key
00000001a6f5b560 (__TEXT,__text) external _del_curterm
00000001a6f6566c (__TEXT,__text) external _delay_output
00000001a6f70198 (__TEXT,__text) external _delch
00000001a6f701a8 (__TEXT,__text) external _deleteln
00000001a6f630e0 (__TEXT,__text) external _delscreen
00000001a6f5b6a0 (__TEXT,__text) external _delwin
00000001a6f607dc (__TEXT,__text) external _derwin
00000001a6f6a7c8 (__TEXT,__text) external _doupdate
00000001a6f676e0 (__TEXT,__text) external _dupwin
00000001a6f5b880 (__TEXT,__text) external _echo
00000001a6f71774 (__TEXT,__text) external _echo_wchar
00000001a6f701bc (__TEXT,__text) external _echochar
00000001a6f5b8b4 (__TEXT,__text) external _endwin
00000001a6f701d0 (__TEXT,__text) external _erase
00000001a6f5dcc0 (__TEXT,__text) external _erasechar
00000001a6f5ba2c (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001a6f60058 (__TEXT,__text) external _filter
00000001a6f5ba9c (__TEXT,__text) external _flash
00000001a6f5dd08 (__TEXT,__text) external _flushinp
                 (undefined) external _fmtcheck (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001a6f71788 (__TEXT,__text) external _get_wch
00000001a6f7179c (__TEXT,__text) external _get_wstr
00000001a6f7150c (__TEXT,__text) external _getattrs
00000001a6f71540 (__TEXT,__text) external _getbegx
00000001a6f71554 (__TEXT,__text) external _getbegy
00000001a6f701e0 (__TEXT,__text) external _getbkgd
00000001a6f717b4 (__TEXT,__text) external _getbkgrnd
00000001a6f5a50c (__TEXT,__text) external _getcchar
00000001a6f701e8 (__TEXT,__text) external _getch
00000001a6f71518 (__TEXT,__text) external _getcurx
00000001a6f7152c (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
00000001a6f71568 (__TEXT,__text) external _getmaxx
00000001a6f71580 (__TEXT,__text) external _getmaxy
00000001a6f5de60 (__TEXT,__text) external _getmouse
00000001a6f717d8 (__TEXT,__text) external _getn_wstr
00000001a6f701f8 (__TEXT,__text) external _getnstr
00000001a6f71598 (__TEXT,__text) external _getparx
00000001a6f715ac (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
00000001a6f70210 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
00000001a6f62864 (__TEXT,__text) external _getwin
00000001a6f60a08 (__TEXT,__text) external _halfdelay
00000001a6f5b16c (__TEXT,__text) external _has_colors
00000001a6f5cd84 (__TEXT,__text) external _has_ic
00000001a6f5cde0 (__TEXT,__text) external _has_il
00000001a6f60c64 (__TEXT,__text) external _has_key
00000001a6f70228 (__TEXT,__text) external _hline
00000001a6f717f0 (__TEXT,__text) external _hline_set
00000001a6f609bc (__TEXT,__text) external _idcok
00000001a6f6093c (__TEXT,__text) external _idlok
00000001a6f5d0a8 (__TEXT,__text) external _immedok
00000001a6f71808 (__TEXT,__text) external _in_wch
00000001a6f7181c (__TEXT,__text) external _in_wchnstr
00000001a6f71834 (__TEXT,__text) external _in_wchstr
00000001a6f70240 (__TEXT,__text) external _inch
00000001a6f70250 (__TEXT,__text) external _inchnstr
00000001a6f70268 (__TEXT,__text) external _inchstr
00000001a6f5af4c (__TEXT,__text) external _init_color
00000001a6f5ac3c (__TEXT,__text) external _init_pair
00000001a6f5d228 (__TEXT,__text) external _initscr
00000001a6f70280 (__TEXT,__text) external _innstr
00000001a6f7184c (__TEXT,__text) external _innwstr
00000001a6f71864 (__TEXT,__text) external _ins_nwstr
00000001a6f7187c (__TEXT,__text) external _ins_wch
00000001a6f71890 (__TEXT,__text) external _ins_wstr
00000001a6f70298 (__TEXT,__text) external _insch
00000001a6f702ac (__TEXT,__text) external _insdelln
00000001a6f702c0 (__TEXT,__text) external _insertln
00000001a6f702d4 (__TEXT,__text) external _insnstr
00000001a6f702ec (__TEXT,__text) external _insstr
00000001a6f70304 (__TEXT,__text) external _instr
00000001a6f61f04 (__TEXT,__text) external _intrflush
00000001a6f718a8 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
00000001a6f715cc (__TEXT,__text) external _is_cleared
00000001a6f715d4 (__TEXT,__text) external _is_idcok
00000001a6f715dc (__TEXT,__text) external _is_idlok
00000001a6f715e4 (__TEXT,__text) external _is_immedok
00000001a6f715ec (__TEXT,__text) external _is_keypad
00000001a6f715f4 (__TEXT,__text) external _is_leaveok
00000001a6f653fc (__TEXT,__text) external _is_linetouched
00000001a6f715fc (__TEXT,__text) external _is_nodelay
00000001a6f7160c (__TEXT,__text) external _is_notimeout
00000001a6f71614 (__TEXT,__text) external _is_scrollok
00000001a6f7161c (__TEXT,__text) external _is_syncok
00000001a6f69a50 (__TEXT,__text) external _is_term_resized
00000001a6f65438 (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
00000001a6f5dc98 (__TEXT,__text) external _isendwin
00000001a6f57f8c (__TEXT,__text) external _key_defined
00000001a6f5dd68 (__TEXT,__text) external _key_name
00000001a6f58044 (__TEXT,__text) external _keybound
00000001a6f6ff28 (__TEXT,__text) external _keyname
00000001a6f58094 (__TEXT,__text) external _keyok
00000001a6f60aa8 (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
00000001a6f5dce4 (__TEXT,__text) external _killchar
00000001a6f5ba64 (__TEXT,__text) external _killwchar
00000001a6f5dde8 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
00000001a6f5de04 (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
00000001a6f616cc (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001a6f60b4c (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
00000001a6f7276c (__TEXT,__text) external _mouse_trafo
00000001a6f5e22c (__TEXT,__text) external _mouseinterval
00000001a6f5df18 (__TEXT,__text) external _mousemask
00000001a6f7031c (__TEXT,__text) external _move
00000001a6f718bc (__TEXT,__text) external _mvadd_wch
00000001a6f71920 (__TEXT,__text) external _mvadd_wchnstr
00000001a6f71998 (__TEXT,__text) external _mvadd_wchstr
00000001a6f70334 (__TEXT,__text) external _mvaddch
00000001a6f70398 (__TEXT,__text) external _mvaddchnstr
00000001a6f70410 (__TEXT,__text) external _mvaddchstr
00000001a6f70478 (__TEXT,__text) external _mvaddnstr
00000001a6f71a00 (__TEXT,__text) external _mvaddnwstr
00000001a6f704f0 (__TEXT,__text) external _mvaddstr
00000001a6f71a78 (__TEXT,__text) external _mvaddwstr
00000001a6f70558 (__TEXT,__text) external _mvchgat
00000001a6f5f1f8 (__TEXT,__text) external _mvcur
00000001a6f705ec (__TEXT,__text) external _mvdelch
00000001a6f674c4 (__TEXT,__text) external _mvderwin
00000001a6f71ae0 (__TEXT,__text) external _mvget_wch
00000001a6f71b44 (__TEXT,__text) external _mvget_wstr
00000001a6f70648 (__TEXT,__text) external _mvgetch
00000001a6f71bac (__TEXT,__text) external _mvgetn_wstr
00000001a6f706a4 (__TEXT,__text) external _mvgetnstr
00000001a6f7071c (__TEXT,__text) external _mvgetstr
00000001a6f70784 (__TEXT,__text) external _mvhline
00000001a6f71c24 (__TEXT,__text) external _mvhline_set
00000001a6f71c9c (__TEXT,__text) external _mvin_wch
00000001a6f71d00 (__TEXT,__text) external _mvin_wchnstr
00000001a6f71d78 (__TEXT,__text) external _mvin_wchstr
00000001a6f707fc (__TEXT,__text) external _mvinch
00000001a6f70858 (__TEXT,__text) external _mvinchnstr
00000001a6f708d0 (__TEXT,__text) external _mvinchstr
00000001a6f70938 (__TEXT,__text) external _mvinnstr
00000001a6f71de0 (__TEXT,__text) external _mvinnwstr
00000001a6f71e58 (__TEXT,__text) external _mvins_nwstr
00000001a6f71ed0 (__TEXT,__text) external _mvins_wch
00000001a6f71f34 (__TEXT,__text) external _mvins_wstr
00000001a6f709b0 (__TEXT,__text) external _mvinsch
00000001a6f70a14 (__TEXT,__text) external _mvinsnstr
00000001a6f70a8c (__TEXT,__text) external _mvinsstr
00000001a6f70af4 (__TEXT,__text) external _mvinstr
00000001a6f71f9c (__TEXT,__text) external _mvinwstr
00000001a6f618e0 (__TEXT,__text) external _mvprintw
00000001a6f627ac (__TEXT,__text) external _mvscanw
00000001a6f70b5c (__TEXT,__text) external _mvvline
00000001a6f72000 (__TEXT,__text) external _mvvline_set
00000001a6f72078 (__TEXT,__text) external _mvwadd_wch
00000001a6f720cc (__TEXT,__text) external _mvwadd_wchnstr
00000001a6f72134 (__TEXT,__text) external _mvwadd_wchstr
00000001a6f70bd4 (__TEXT,__text) external _mvwaddch
00000001a6f70c28 (__TEXT,__text) external _mvwaddchnstr
00000001a6f70c90 (__TEXT,__text) external _mvwaddchstr
00000001a6f70ce8 (__TEXT,__text) external _mvwaddnstr
00000001a6f7218c (__TEXT,__text) external _mvwaddnwstr
00000001a6f70d50 (__TEXT,__text) external _mvwaddstr
00000001a6f721f4 (__TEXT,__text) external _mvwaddwstr
00000001a6f70da8 (__TEXT,__text) external _mvwchgat
00000001a6f70e2c (__TEXT,__text) external _mvwdelch
00000001a6f7224c (__TEXT,__text) external _mvwget_wch
00000001a6f722a0 (__TEXT,__text) external _mvwget_wstr
00000001a6f70e78 (__TEXT,__text) external _mvwgetch
00000001a6f722f8 (__TEXT,__text) external _mvwgetn_wstr
00000001a6f70ec4 (__TEXT,__text) external _mvwgetnstr
00000001a6f70f2c (__TEXT,__text) external _mvwgetstr
00000001a6f70f84 (__TEXT,__text) external _mvwhline
00000001a6f72360 (__TEXT,__text) external _mvwhline_set
00000001a6f5ff64 (__TEXT,__text) external _mvwin
00000001a6f723c8 (__TEXT,__text) external _mvwin_wch
00000001a6f7241c (__TEXT,__text) external _mvwin_wchnstr
00000001a6f72484 (__TEXT,__text) external _mvwin_wchstr
00000001a6f70fec (__TEXT,__text) external _mvwinch
00000001a6f71038 (__TEXT,__text) external _mvwinchnstr
00000001a6f710a0 (__TEXT,__text) external _mvwinchstr
00000001a6f710f8 (__TEXT,__text) external _mvwinnstr
00000001a6f724dc (__TEXT,__text) external _mvwinnwstr
00000001a6f72544 (__TEXT,__text) external _mvwins_nwstr
00000001a6f725ac (__TEXT,__text) external _mvwins_wch
00000001a6f72600 (__TEXT,__text) external _mvwins_wstr
00000001a6f71160 (__TEXT,__text) external _mvwinsch
00000001a6f711b4 (__TEXT,__text) external _mvwinsnstr
00000001a6f7121c (__TEXT,__text) external _mvwinsstr
00000001a6f71274 (__TEXT,__text) external _mvwinstr
00000001a6f72658 (__TEXT,__text) external _mvwinwstr
00000001a6f61944 (__TEXT,__text) external _mvwprintw
00000001a6f62810 (__TEXT,__text) external _mvwscanw
00000001a6f712cc (__TEXT,__text) external _mvwvline
00000001a6f726ac (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
00000001a6f5ffcc (__TEXT,__text) external _napms
00000001a6f61124 (__TEXT,__text) external _newpad
00000001d98a31f8 (__DATA,__common) external _newscr
00000001a6f6007c (__TEXT,__text) external _newterm
00000001a6f604e8 (__TEXT,__text) external _newwin
00000001a6f60908 (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
00000001a6f61d5c (__TEXT,__text) external _nocbreak
00000001a6f60a60 (__TEXT,__text) external _nodelay
00000001a6f5b89c (__TEXT,__text) external _noecho
00000001a6f6006c (__TEXT,__text) external _nofilter
00000001a6f60924 (__TEXT,__text) external _nonl
00000001a6f61e48 (__TEXT,__text) external _noqiflush
00000001a6f61c58 (__TEXT,__text) external _noraw
00000001a6f60a80 (__TEXT,__text) external _notimeout
00000001d5872b88 (__DATA_CONST,__const) external _numcodes
00000001d5873dd0 (__DATA_CONST,__const) external _numfnames
00000001d5873c90 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001d98a333e (__DATA,__common) external _ospeed
00000001a6f60d2c (__TEXT,__text) external _overlay
00000001a6f60de8 (__TEXT,__text) external _overwrite
00000001a6f5b25c (__TEXT,__text) external _pair_content
00000001a6f6164c (__TEXT,__text) external _pecho_wchar
00000001a6f615cc (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
00000001a6f61274 (__TEXT,__text) external _pnoutrefresh
00000001a6f6123c (__TEXT,__text) external _prefresh
00000001a6f6181c (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
00000001a6f65824 (__TEXT,__text) external _putp
00000001a6f62a10 (__TEXT,__text) external _putwin
00000001a6f61b9c (__TEXT,__text) external _qiflush
00000001a6f61998 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001a6f7133c (__TEXT,__text) external _redrawwin
00000001a6f7134c (__TEXT,__text) external _refresh
