00007ffd4170fb78 (__DATA,__bss) non-external _A
00007ffd017b4240 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffd017a18de (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffd017a2dbc (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffd017b3d40 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffd017a169f (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffd017b3c40 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffd017a11f8 (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffd017b3940 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffd017a15a8 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffd017b3b40 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffd017a134d (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffd017b3a40 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffd017a09af (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffd017b3740 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffd017a0f7f (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffd017b3840 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffd017a4c1b (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffd017b4340 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffd017a54a8 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffd017b4740 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffd0179ca00 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffd017a535b (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffd017b4640 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffd017a521c (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffd017b4440 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffd0179ae01 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffd017b3200 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffd0179b068 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffd0179b08c (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffd017b3300 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffd0179abfc (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffd017b3100 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffd0179b113 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffd017b3400 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffd017a8f39 (__TEXT,__text) non-external _add_child
00007ffd017b24c4 (__TEXT,__text) non-external _add_child.cold.1
00007ffd017a963a (__TEXT,__text) non-external _add_line
00007ffd017b252d (__TEXT,__text) non-external _add_line.cold.1
00007ffd017aeb73 (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffd017b1d8f (__TEXT,__text) non-external _alloc_arena_chunk
00007ffd017b1ed9 (__TEXT,__text) non-external _arena_calloc
00007ffd017b1fe8 (__TEXT,__text) non-external _arena_free
00007ffd4170fb38 (__DATA,__bss) non-external _arena_lock
00007ffd4170f930 (__DATA,__data) non-external _arena_once
00007ffd017b1fa0 (__TEXT,__text) non-external _arena_realloc
00007ffd0179a24a (__TEXT,__text) non-external _autolink_delim
00007ffd4020eee0 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
00007ffd01798b1c (__TEXT,__text) non-external _can_contain
00007ffd0179b58a (__TEXT,__text) non-external _can_contain
00007ffd017b094e (__TEXT,__text) non-external _can_contain
00007ffd0179a141 (__TEXT,__text) non-external _check_domain
00007ffd017aeea3 (__TEXT,__text) non-external _chunk_clone
00007ffd017b1df5 (__TEXT,__text) external _cmark_arena_pop
00007ffd017b1d3e (__TEXT,__text) external _cmark_arena_push
00007ffd017b1e73 (__TEXT,__text) external _cmark_arena_reset
00007ffd017afe30 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffd017ab0ad (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffd017ab020 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffd017aaf4d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffd017b259d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffd017b25be (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffd0179b9f0 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffd017b3000 (__TEXT,__const) non-external _cmark_ctype_class
00007ffd017a971c (__TEXT,__text) external _cmark_enable_safety_checks
00007ffd40206a10 (__DATA_CONST,__const) non-external _cmark_entities
00007ffd0179a55e (__TEXT,__text) external _cmark_find_syntax_extension
00007ffd017a6676 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffd017b2320 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffd017a66e7 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffd017b1fee (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffd01797621 (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffd017a675d (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffd017b16ae (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffd017b179d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffd017b17ce (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffd017b168b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffd017b1750 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffd0179892b (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffd017b16f7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffd017b1800 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffd017b182c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffd017b16cf (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffd017b1773 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffd017988d9 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffd017a97c4 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffd017aea34 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffd017aea62 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffd017aea4f (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffd017aeae6 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffd017aeaf0 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffd017aea3d (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffd017aea6c (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffd017ae747 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffd017ae736 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffd017ae70e (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffd017b2b78 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffd017ae7fc (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffd017ae87f (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffd017ae889 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffd017b2bbe (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffd017aea46 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffd017ae758 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffd017b2b9b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffd017ab0e0 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffd017ab102 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffd01798886 (__TEXT,__text) external _cmark_isalnum
00007ffd017988bf (__TEXT,__text) external _cmark_isalpha
00007ffd017988a5 (__TEXT,__text) external _cmark_isdigit
00007ffd0179886c (__TEXT,__text) external _cmark_ispunct
00007ffd01798852 (__TEXT,__text) external _cmark_isspace
00007ffd0179b910 (__TEXT,__text) external _cmark_iter_free
00007ffd0179b9dd (__TEXT,__text) external _cmark_iter_get_event_type
00007ffd0179b9d3 (__TEXT,__text) external _cmark_iter_get_node
00007ffd0179b9e6 (__TEXT,__text) external _cmark_iter_get_root
00007ffd0179b8c8 (__TEXT,__text) external _cmark_iter_new
00007ffd0179b91b (__TEXT,__text) external _cmark_iter_next
00007ffd017b22dc (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffd0179b9c2 (__TEXT,__text) external _cmark_iter_reset
00007ffd0179a4f2 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffd0179c905 (__TEXT,__text) external _cmark_llist_append
00007ffd0179c991 (__TEXT,__text) external _cmark_llist_free
00007ffd0179c94f (__TEXT,__text) external _cmark_llist_free_full
00007ffd017a7519 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffd017a69cd (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffd017a6865 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffd017a6a12 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffd0179762e (__TEXT,__text) external _cmark_markdown_to_html
00007ffd017aad3f (__TEXT,__text) external _cmark_node_append_child
00007ffd017a97ca (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffd017aad95 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffd017a9e02 (__TEXT,__text) external _cmark_node_first_child
00007ffd017a995d (__TEXT,__text) external _cmark_node_free
00007ffd017aa739 (__TEXT,__text) external _cmark_node_get_attributes
00007ffd017a9fd7 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffd017aab81 (__TEXT,__text) external _cmark_node_get_end_column
00007ffd017aab70 (__TEXT,__text) external _cmark_node_get_end_line
00007ffd017aa2df (__TEXT,__text) external _cmark_node_get_fence_info
00007ffd017aa427 (__TEXT,__text) external _cmark_node_get_fenced
00007ffd017aa128 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffd017aa298 (__TEXT,__text) external _cmark_node_get_item_index
00007ffd017aa1be (__TEXT,__text) external _cmark_node_get_list_delim
00007ffd017aa209 (__TEXT,__text) external _cmark_node_get_list_start
00007ffd017aa250 (__TEXT,__text) external _cmark_node_get_list_tight
00007ffd017aa173 (__TEXT,__text) external _cmark_node_get_list_type
00007ffd017a9ead (__TEXT,__text) external _cmark_node_get_literal
00007ffd017aa881 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffd017aa9d3 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffd017aab5f (__TEXT,__text) external _cmark_node_get_start_column
00007ffd017aab4e (__TEXT,__text) external _cmark_node_get_start_line
00007ffd017aa10e (__TEXT,__text) external _cmark_node_get_string_content
00007ffd017aab25 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffd017aa5eb (__TEXT,__text) external _cmark_node_get_title
00007ffd017a9a3b (__TEXT,__text) external _cmark_node_get_type
00007ffd017a9c1c (__TEXT,__text) external _cmark_node_get_type_string
00007ffd017aa49d (__TEXT,__text) external _cmark_node_get_url
00007ffd017a9e6d (__TEXT,__text) external _cmark_node_get_user_data
00007ffd017aac33 (__TEXT,__text) external _cmark_node_insert_after
00007ffd017aabb6 (__TEXT,__text) external _cmark_node_insert_before
00007ffd017a9e14 (__TEXT,__text) external _cmark_node_last_child
00007ffd017a994a (__TEXT,__text) external _cmark_node_new
00007ffd017a992a (__TEXT,__text) external _cmark_node_new_with_ext
00007ffd017a993e (__TEXT,__text) external _cmark_node_new_with_mem
00007ffd017a988c (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffd017a9dcc (__TEXT,__text) external _cmark_node_next
00007ffd017a9e26 (__TEXT,__text) external _cmark_node_nth_child
00007ffd0179bb89 (__TEXT,__text) external _cmark_node_own
00007ffd017a9df0 (__TEXT,__text) external _cmark_node_parent
00007ffd017a9e58 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffd017aace9 (__TEXT,__text) external _cmark_node_prepend_child
00007ffd017a9dde (__TEXT,__text) external _cmark_node_previous
00007ffd017aacb0 (__TEXT,__text) external _cmark_node_replace
00007ffd017aa7c1 (__TEXT,__text) external _cmark_node_set_attributes
00007ffd017aa367 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffd017aa463 (__TEXT,__text) external _cmark_node_set_fenced
00007ffd017aa147 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffd017aa2b7 (__TEXT,__text) external _cmark_node_set_item_index
00007ffd017aa1dd (__TEXT,__text) external _cmark_node_set_list_delim
00007ffd017aa228 (__TEXT,__text) external _cmark_node_set_list_start
00007ffd017aa270 (__TEXT,__text) external _cmark_node_set_list_tight
00007ffd017aa192 (__TEXT,__text) external _cmark_node_set_list_type
00007ffd017a9fe0 (__TEXT,__text) external _cmark_node_set_literal
00007ffd017aa910 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffd017aaa62 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffd017aa118 (__TEXT,__text) external _cmark_node_set_string_content
00007ffd017aab37 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffd017aa676 (__TEXT,__text) external _cmark_node_set_title
00007ffd017a9a4d (__TEXT,__text) external _cmark_node_set_type
00007ffd017aa528 (__TEXT,__text) external _cmark_node_set_url
00007ffd017a9e7f (__TEXT,__text) external _cmark_node_set_user_data
00007ffd017a9e96 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffd017aab92 (__TEXT,__text) external _cmark_node_unlink
00007ffd017aea9d (__TEXT,__text) external _cmark_node_unput
00007ffd017a7ca1 (__TEXT,__text) external _cmark_parse_document
00007ffd017a7585 (__TEXT,__text) external _cmark_parse_file
00007ffd017ab124 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffd017b25df (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffd017b271a (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffd017b273d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffd017b2760 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffd017b2783 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffd017b27a6 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffd017b27c9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffd017b27ec (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffd017b280f (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffd017b2832 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffd017b2855 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffd017b2602 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffd017b2625 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffd017b2648 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffd017b266b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffd017b268e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffd017b26b1 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffd017b26d4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffd017b26f7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffd017ae50c (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffd017b2ac9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffd017b2aec (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffd017b2b0f (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffd017b2b32 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffd017b2b55 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffd017ade11 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffd017b289b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffd017b28be (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffd017b28e1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffd017b2904 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffd017b2927 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffd017b294a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffd017b296d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffd017a8f2f (__TEXT,__text) external _cmark_parser_add_child
00007ffd017a9007 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffd017a7240 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffd017a74eb (__TEXT,__text) non-external _cmark_parser_dispose
00007ffd017a7cf6 (__TEXT,__text) external _cmark_parser_feed
00007ffd017a7d02 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffd017a77e6 (__TEXT,__text) external _cmark_parser_finish
00007ffd017a746d (__TEXT,__text) external _cmark_parser_free
00007ffd017a8eee (__TEXT,__text) external _cmark_parser_get_column
00007ffd017a8ef7 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffd017a8f00 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffd017a8f09 (__TEXT,__text) external _cmark_parser_get_indent
00007ffd017a8f26 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffd017a8edc (__TEXT,__text) external _cmark_parser_get_line_number
00007ffd017a8ee5 (__TEXT,__text) external _cmark_parser_get_offset
00007ffd017a90f8 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffd017a8f1c (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffd017a8f12 (__TEXT,__text) external _cmark_parser_is_blank
00007ffd017a745c (__TEXT,__text) external _cmark_parser_new
00007ffd017a72f1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffd017a7349 (__TEXT,__text) non-external _cmark_parser_reset
00007ffd017a90eb (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffd0179b446 (__TEXT,__text) external _cmark_plugin_free
00007ffd0179b426 (__TEXT,__text) external _cmark_plugin_new
00007ffd0179b3fc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffd0179b476 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffd017a703c (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffd017b23ca (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffd017a7103 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffd017b23eb (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffd017a71a3 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffd017a9759 (__TEXT,__text) external _cmark_register_node_flag
00007ffd017b2552 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffd017b2577 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffd4170f820 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffd0179a3ed (__TEXT,__text) external _cmark_register_plugin
00007ffd0179a498 (__TEXT,__text) external _cmark_release_plugins
00007ffd0179a628 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffd0179a5df (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffd0179a608 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffd017964e4 (__TEXT,__text) external _cmark_render_commonmark
00007ffd0179650d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffd01797660 (__TEXT,__text) external _cmark_render_html
00007ffd0179766d (__TEXT,__text) external _cmark_render_html_with_mem
00007ffd017b222a (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffd0179bda4 (__TEXT,__text) external _cmark_render_latex
00007ffd0179bdc6 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffd01798d10 (__TEXT,__text) external _cmark_render_man
00007ffd01798d32 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffd017af8ac (__TEXT,__text) external _cmark_render_plaintext
00007ffd017af8d5 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffd017aeefc (__TEXT,__text) external _cmark_render_xml
00007ffd017aef09 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffd017aaf24 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffd4170fa30 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffd017ab0b7 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd4170f830 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd4170fb84 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd017a6b36 (__TEXT,__text) external _cmark_strbuf_clear
00007ffd017a6d68 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd017a6cad (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd017b23a9 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd017a6d32 (__TEXT,__text) external _cmark_strbuf_detach
00007ffd017a6e47 (__TEXT,__text) external _cmark_strbuf_drop
00007ffd017a6b00 (__TEXT,__text) external _cmark_strbuf_free
00007ffd017a6a96 (__TEXT,__text) external _cmark_strbuf_grow
00007ffd017b2362 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd017b2383 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffd017a6a6b (__TEXT,__text) external _cmark_strbuf_init
00007ffd017a6af7 (__TEXT,__text) external _cmark_strbuf_len
00007ffd017a6f2c (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd017a6c33 (__TEXT,__text) external _cmark_strbuf_put
00007ffd017a6bfa (__TEXT,__text) external _cmark_strbuf_putc
00007ffd017a6c87 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd017a6e8f (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd017a6b50 (__TEXT,__text) external _cmark_strbuf_set
00007ffd017a6bca (__TEXT,__text) external _cmark_strbuf_sets
00007ffd017a6da9 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd017a6de9 (__TEXT,__text) external _cmark_strbuf_strrchr
