                 (undefined) external _Block_size (from libSystem)
                 (indirect) external _Block_size (for _Block_size)
                 (undefined) external _CCEC_FAULT_CANARY (from libSystem)
                 (indirect) external _CCEC_FAULT_CANARY (for _CCEC_FAULT_CANARY)
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libSystem)
                 (indirect) external _CCRSA_PKCS1_FAULT_CANARY (for _CCRSA_PKCS1_FAULT_CANARY)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libSystem)
                 (indirect) external _CCRSA_PSS_FAULT_CANARY (for _CCRSA_PSS_FAULT_CANARY)
                 (undefined) external _CCSS_PRIME_P192 (from libSystem)
                 (indirect) external _CCSS_PRIME_P192 (for _CCSS_PRIME_P192)
                 (undefined) external _CCSS_PRIME_P224 (from libSystem)
                 (indirect) external _CCSS_PRIME_P224 (for _CCSS_PRIME_P224)
                 (undefined) external _CCSS_PRIME_P256 (from libSystem)
                 (indirect) external _CCSS_PRIME_P256 (for _CCSS_PRIME_P256)
                 (undefined) external _CCSS_PRIME_P384 (from libSystem)
                 (indirect) external _CCSS_PRIME_P384 (for _CCSS_PRIME_P384)
                 (undefined) external _CCSS_PRIME_P521 (from libSystem)
                 (indirect) external _CCSS_PRIME_P521 (for _CCSS_PRIME_P521)
00007ff80005b573 (__TEXT,__text) non-external _DiToMD5
00007ff80005b5cc (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ff84000b1a0 (__DATA_CONST,__const) external _OSAction_Class
00007ff84000ae48 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ff84000c098 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ff80004cdb9 (__TEXT,__text) external _OSArrayAppendValue
00007ff80004ca24 (__TEXT,__text) external _OSArrayApply
00007ff80004c9d2 (__TEXT,__text) external _OSArrayCreate
00007ff80004c066 (__TEXT,__text) external _OSArrayGetCount
00007ff80004ce47 (__TEXT,__text) external _OSArrayGetStringValue
00007ff80004ceb7 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ff80004cded (__TEXT,__text) external _OSArrayGetValue
00007ff80004cdaa (__TEXT,__text) external _OSArrayReplaceValue
00007ff80004ce72 (__TEXT,__text) external _OSArraySetStringValue
00007ff80004cf7d (__TEXT,__text) external _OSArraySetUInt64Value
00007ff80004cc05 (__TEXT,__text) external _OSArraySetValue
00007ff84000b2e8 (__DATA_CONST,__const) external _OSArray_Class
00007ff84000b3c8 (__DATA_CONST,__const) external _OSBoolean_Class
00007ff84000b4a8 (__DATA_CONST,__const) external _OSBundle_Class
00007ff80004ac7f (__TEXT,__text) external _OSCollectionTypeID
00007ff80006ce44 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ff80004abfc (__TEXT,__text) external _OSCollectionTypeName
00007ff80006ce00 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ff84000b588 (__DATA_CONST,__const) external _OSCollection_Class
00007ff80004f618 (__TEXT,__text) external _OSCollectionsInitialize
00007ff84000b668 (__DATA_CONST,__const) external _OSContainer_Class
00007ff80004ace3 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ff80006ce8a (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ff80004d8c6 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ff80006d3b8 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ff80004d7c8 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ff80004bee9 (__TEXT,__text) external _OSDataAppendBytes
00007ff80004be4d (__TEXT,__text) external _OSDataCreate
00007ff80006d02a (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ff80004bdf9 (__TEXT,__text) external _OSDataGetBytes
00007ff80004bdb0 (__TEXT,__text) external _OSDataGetBytesPtr
00007ff80004bde8 (__TEXT,__text) external _OSDataGetLength
00007ff84000b7b0 (__DATA_CONST,__const) external _OSData_Class
00007ff80004c073 (__TEXT,__text) external _OSDictionaryApply
00007ff80004c007 (__TEXT,__text) external _OSDictionaryCreate
00007ff80004c059 (__TEXT,__text) external _OSDictionaryGetCount
00007ff80004c751 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ff80004c8f8 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ff80004c6ba (__TEXT,__text) external _OSDictionaryGetValue
00007ff80004c8b3 (__TEXT,__text) external _OSDictionarySetStringValue
00007ff80004c994 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ff80004c347 (__TEXT,__text) external _OSDictionarySetValue
00007ff84000b890 (__DATA_CONST,__const) external _OSDictionary_Class
00007ff84000b970 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ff80004bfab (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ff80004bf8a (__TEXT,__text) external _OSNumberGetUInt64Value
00007ff84000ba50 (__DATA_CONST,__const) external _OSNumber_Class
00007ff80004de56 (__TEXT,__text) external _OSObjectLog
00007ff80004ac37 (__TEXT,__text) external _OSObjectRelease
00007ff80004ac2c (__TEXT,__text) external _OSObjectRetain
00007ff84000bb30 (__DATA_CONST,__const) external _OSObject_Class
00007ff84000bc78 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ff800040b6f (__TEXT,__text) external _OSReportWithBacktrace
00007ff80004d9ec (__TEXT,__text) external _OSSerializationGetBytes
00007ff84000bd58 (__DATA_CONST,__const) external _OSSerialization_Class
00007ff84000be38 (__DATA_CONST,__const) external _OSSet_Class
00007ff80004b842 (__TEXT,__text) external _OSStringCreate
00007ff80006cf39 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ff80006cf5c (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ff80006cf7d (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ff80004b7f7 (__TEXT,__text) external _OSStringGetLength
00007ff80004b7be (__TEXT,__text) external _OSStringGetStringPtr
00007ff84000bf18 (__DATA_CONST,__const) external _OSString_Class
00007ff800040663 (__TEXT,__text) external _OSSynchronizeIO
00007ff840082420 (__DATA,__bss) non-external _OSUniqueStrings
00007ff800040e9f (__TEXT,__text) external _PE_i_can_has_debugger
00007ff80005b94d (__TEXT,__text) external _SHA1Final
00007ff80005b766 (__TEXT,__text) external _SHA1Init
00007ff80005b8ea (__TEXT,__text) non-external _SHA1ToDi
00007ff80005b847 (__TEXT,__text) external _SHA1Update
00007ff80005c133 (__TEXT,__text) external _SHA256_Final
00007ff80005c0c0 (__TEXT,__text) external _SHA256_Init
00007ff80006db22 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ff80005c100 (__TEXT,__text) external _SHA256_Update
00007ff80005c1d1 (__TEXT,__text) external _SHA384_Final
00007ff80005c158 (__TEXT,__text) external _SHA384_Init
00007ff80006db3b (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ff80005c19e (__TEXT,__text) external _SHA384_Update
00007ff80005c26f (__TEXT,__text) external _SHA512_Final
00007ff80005c1f6 (__TEXT,__text) external _SHA512_Init
00007ff80006db54 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ff80005c23c (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (indirect) external __Block_copy (for __Block_copy)
                 (undefined) external __Block_extended_layout (from libSystem)
                 (indirect) external __Block_extended_layout (for __Block_extended_layout)
                 (undefined) external __Block_has_signature (from libSystem)
                 (indirect) external __Block_has_signature (for __Block_has_signature)
                 (undefined) external __Block_isDeallocating (from libSystem)
                 (indirect) external __Block_isDeallocating (for __Block_isDeallocating)
                 (undefined) external __Block_layout (from libSystem)
                 (indirect) external __Block_layout (for __Block_layout)
                 (undefined) external __Block_object_assign (from libSystem)
                 (indirect) external __Block_object_assign (for __Block_object_assign)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (indirect) external __Block_object_dispose (for __Block_object_dispose)
                 (undefined) external __Block_release (from libSystem)
                 (indirect) external __Block_release (for __Block_release)
                 (undefined) external __Block_signature (from libSystem)
                 (indirect) external __Block_signature (for __Block_signature)
                 (undefined) external __Block_tryRetain (from libSystem)
                 (indirect) external __Block_tryRetain (for __Block_tryRetain)
                 (undefined) external __Block_use_RR2 (from libSystem)
                 (indirect) external __Block_use_RR2 (for __Block_use_RR2)
                 (undefined) external __Block_use_stret (from libSystem)
                 (indirect) external __Block_use_stret (for __Block_use_stret)
                 (undefined) external __CurrentRuneLocale (from libSystem)
                 (indirect) external __CurrentRuneLocale (for __CurrentRuneLocale)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (indirect) external __DefaultRuneLocale (for __DefaultRuneLocale)
                 (undefined) external __FE_DFL_DISABLE_SSE_DENORMS_ENV (from libSystem)
                 (indirect) external __FE_DFL_DISABLE_SSE_DENORMS_ENV (for __FE_DFL_DISABLE_SSE_DENORMS_ENV)
                 (undefined) external __FE_DFL_ENV (from libSystem)
                 (indirect) external __FE_DFL_ENV (for __FE_DFL_ENV)
00007ff800041a0c (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ff80005c294 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ff84000bff8 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteAutoBlock (from libSystem)
                 (indirect) external __NSConcreteAutoBlock (for __NSConcreteAutoBlock)
                 (undefined) external __NSConcreteFinalizingBlock (from libSystem)
                 (indirect) external __NSConcreteFinalizingBlock (for __NSConcreteFinalizingBlock)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (indirect) external __NSConcreteGlobalBlock (for __NSConcreteGlobalBlock)
                 (undefined) external __NSConcreteMallocBlock (from libSystem)
                 (indirect) external __NSConcreteMallocBlock (for __NSConcreteMallocBlock)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (indirect) external __NSConcreteStackBlock (for __NSConcreteStackBlock)
                 (undefined) external __NSConcreteWeakBlockVariable (from libSystem)
                 (indirect) external __NSConcreteWeakBlockVariable (for __NSConcreteWeakBlockVariable)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ff800041d77 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ff80006b89a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ff80006b8bd (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ff8000436ee (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ff80006bee9 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ff80006bf0c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ff80006bf2f (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ff80006bf52 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ff80006bf75 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ff800042799 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ff80006bbc4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ff80006bbe7 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ff80006bc0a (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ff80006bc2d (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ff800042032 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ff80006b949 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ff80004cdcf (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ff80004f5bc (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ff800041bb1 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ff80006b831 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ff80006b854 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ff80006b877 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ff80004cee2 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ff80004cf52 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ff80004cf0d (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ff800041dcc (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ff80004d2dc (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ff80006d2a0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ff80006d2c3 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ff80006d2e6 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ff80006d309 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ff80006d32c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ff80006d34f (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ff80004017a (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ff80004027c (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ff8000422f0 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ff80006b98d (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ff8000423e6 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ff800043b2c (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ff800041b24 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ff800041a87 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ff80004da0a (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ff80006d3db (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ff800041f36 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ff80006b903 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ff80006b926 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ff80004acac (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ff80006ce67 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ff80004ac42 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ff80006ce21 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ff80003f000 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ff80004bd60 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ff80004cfbb (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ff80006d0b6 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ff80006d0d9 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ff80006d0fc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ff80006d11f (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ff80006d142 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ff80004bd2c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ff80004bf6e (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ff80004d0f2 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ff80006d165 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ff80006d188 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ff80006d1ab (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ff800043aff (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ff8000431bc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ff800068b94 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ff80004008a (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ff8000412f4 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ff80006b7b7 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ff80004a78b (__TEXT,__text) non-external __ZL10uiomessagePv
00007ff800068aa8 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ff80004eaba (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ff80006e010 (__TEXT,__const) non-external __ZL11yytranslate
00007ff80006af34 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ff8000684d0 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ff800068b16 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ff800068c32 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ff800068c62 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ff80004bb17 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ff80004bad5 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
