00007ffb43842860 (__DATA,__common) external _AfterColour
00007ffb176d31d3 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffb176d3219 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb16ca39b9 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffb1709a8f8 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffb16ca52aa (__TEXT,__text) external _LLVMAddCase
00007ffb16ca52f7 (__TEXT,__text) external _LLVMAddClause
00007ffb1709a91b (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb17bdd426 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffb17bdd370 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffb17bdd3ea (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffb17bdd3ac (__TEXT,__text) external _LLVMAddCoroSplitPass
00007ffb176d370c (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb176d31b0 (__TEXT,__text) external _LLVMAddDCEPass
00007ffb1709a93e (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb176d32c3 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb176d36c1 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb16ca52b4 (__TEXT,__text) external _LLVMAddDestination
00007ffb176d376b (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffb176d372f (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb16ca26ec (__TEXT,__text) external _LLVMAddFunction
00007ffb1709a961 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb1709a984 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb176d3309 (__TEXT,__text) external _LLVMAddGVNPass
00007ffb16ca20d8 (__TEXT,__text) external _LLVMAddGlobal
00007ffb1709a9cf (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb16ca3058 (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffb16ca2171 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb1709a9f2 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb16ca5328 (__TEXT,__text) external _LLVMAddHandler
00007ffb1709aa38 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb16ca3ee6 (__TEXT,__text) external _LLVMAddIncoming
00007ffb176d3378 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb171622e2 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb176d339b (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffb1709aa7e (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb1709ab08 (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffb176d33be (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb176d340b (__TEXT,__text) external _LLVMAddLICMPass
00007ffb176d342e (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb176d3474 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb176d34c1 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb176d3497 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffb176d3531 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffb176d34e4 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffb176d3559 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffb17c6b4ee (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffb176d3580 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffb176d3833 (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffb176d3856 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffb17b61ed6 (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffb176d35a3 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffb1709aa5b (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffb176d3353 (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffb16ca4a93 (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffb16c9dc99 (__TEXT,__text) external _LLVMAddModuleFlag
00007ffb16ca00e7 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffb176d3330 (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffb176d35c6 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffb17b61ef9 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffb1709aa15 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffb176d35e9 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffb176d360c (__TEXT,__text) external _LLVMAddSCCPPass
00007ffb17c6b511 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffb176d362f (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffb176d3652 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffb176d3675 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffb176d32e6 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffb176d37ed (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffb176d3698 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffb1709ab97 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffb1709abba (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffb179ba01f (__TEXT,__text) external _LLVMAddSymbol
00007ffb176d369e (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffb16ca2d87 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffb179c726f (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffb176d37ca (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffb176d3879 (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffb176d36e4 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffb16d7bb5a (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffb16ca26d8 (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffb16ca26e2 (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffb16ca0e0f (__TEXT,__text) external _LLVMAlignOf
00007ffb16ca353c (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffb16ca34d1 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffb16ca3492 (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffb16c9df46 (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffb16c9e824 (__TEXT,__text) external _LLVMArrayType
00007ffb16c9e413 (__TEXT,__text) external _LLVMBFloatType
00007ffb16c9e368 (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffb16ca31eb (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffb1745b4b5 (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffb1745b51a (__TEXT,__text) external _LLVMBinaryGetType
00007ffb16ca190f (__TEXT,__text) external _LLVMBlockAddress
00007ffb16ca5b3c (__TEXT,__text) external _LLVMBuildAShr
00007ffb16ca542a (__TEXT,__text) external _LLVMBuildAdd
00007ffb16ca783a (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffb16ca4ba2 (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffb16ca636e (__TEXT,__text) external _LLVMBuildAlloca
00007ffb16ca5b6c (__TEXT,__text) external _LLVMBuildAnd
00007ffb16ca639d (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffb16ca618b (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffb16ca8019 (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffb16ca7fef (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffb16ca5bf3 (__TEXT,__text) external _LLVMBuildBinOp
00007ffb16ca771e (__TEXT,__text) external _LLVMBuildBitCast
00007ffb16ca4cb5 (__TEXT,__text) external _LLVMBuildBr
00007ffb16ca7c60 (__TEXT,__text) external _LLVMBuildCall
00007ffb16ca7cae (__TEXT,__text) external _LLVMBuildCall2
00007ffb16ca79dd (__TEXT,__text) external _LLVMBuildCast
00007ffb16ca5041 (__TEXT,__text) external _LLVMBuildCatchPad
00007ffb16ca520c (__TEXT,__text) external _LLVMBuildCatchRet
00007ffb16ca514b (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffb16ca5070 (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffb16ca5296 (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffb16ca4d66 (__TEXT,__text) external _LLVMBuildCondBr
00007ffb16ca5946 (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffb16ca5828 (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffb16ca7d46 (__TEXT,__text) external _LLVMBuildExtractElement
00007ffb16ca7dcf (__TEXT,__text) external _LLVMBuildExtractValue
00007ffb16ca5570 (__TEXT,__text) external _LLVMBuildFAdd
00007ffb16ca7bf8 (__TEXT,__text) external _LLVMBuildFCmp
00007ffb16ca5979 (__TEXT,__text) external _LLVMBuildFDiv
00007ffb16ca570e (__TEXT,__text) external _LLVMBuildFMul
00007ffb16ca6042 (__TEXT,__text) external _LLVMBuildFNeg
00007ffb16ca7b9d (__TEXT,__text) external _LLVMBuildFPCast
00007ffb16ca74b9 (__TEXT,__text) external _LLVMBuildFPExt
00007ffb16ca71e7 (__TEXT,__text) external _LLVMBuildFPToSI
00007ffb16ca70aa (__TEXT,__text) external _LLVMBuildFPToUI
00007ffb16ca737d (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffb16ca5aab (__TEXT,__text) external _LLVMBuildFRem
00007ffb16ca563f (__TEXT,__text) external _LLVMBuildFSub
00007ffb16ca6821 (__TEXT,__text) external _LLVMBuildFence
00007ffb16ca63ca (__TEXT,__text) external _LLVMBuildFree
00007ffb16ca7e45 (__TEXT,__text) external _LLVMBuildFreeze
00007ffb16ca68ae (__TEXT,__text) external _LLVMBuildGEP
00007ffb16ca690b (__TEXT,__text) external _LLVMBuildGEP2
00007ffb16ca6bcf (__TEXT,__text) external _LLVMBuildGlobalString
00007ffb16ca6c2e (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffb16ca7bc9 (__TEXT,__text) external _LLVMBuildICmp
00007ffb16ca693d (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffb16ca6b13 (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffb16ca4e96 (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffb16ca7d73 (__TEXT,__text) external _LLVMBuildInsertElement
00007ffb16ca7e09 (__TEXT,__text) external _LLVMBuildInsertValue
00007ffb16ca7b6a (__TEXT,__text) external _LLVMBuildIntCast
00007ffb16ca7b30 (__TEXT,__text) external _LLVMBuildIntCast2
00007ffb16ca7602 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffb16ca4f04 (__TEXT,__text) external _LLVMBuildInvoke
00007ffb16ca4f61 (__TEXT,__text) external _LLVMBuildInvoke2
00007ffb16ca7f2a (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffb16ca7ed3 (__TEXT,__text) external _LLVMBuildIsNull
00007ffb16ca5b0c (__TEXT,__text) external _LLVMBuildLShr
00007ffb16ca4fb1 (__TEXT,__text) external _LLVMBuildLandingPad
00007ffb16ca6449 (__TEXT,__text) external _LLVMBuildLoad
00007ffb16ca654b (__TEXT,__text) external _LLVMBuildLoad2
00007ffb16ca609e (__TEXT,__text) external _LLVMBuildMalloc
00007ffb16ca62b8 (__TEXT,__text) external _LLVMBuildMemCpy
00007ffb16ca631e (__TEXT,__text) external _LLVMBuildMemMove
00007ffb16ca627f (__TEXT,__text) external _LLVMBuildMemSet
00007ffb16ca566f (__TEXT,__text) external _LLVMBuildMul
00007ffb16ca54a7 (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffb16ca56a2 (__TEXT,__text) external _LLVMBuildNSWMul
00007ffb16ca5fdc (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffb16ca55d3 (__TEXT,__text) external _LLVMBuildNSWSub
00007ffb16ca5542 (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffb16ca56d8 (__TEXT,__text) external _LLVMBuildNUWMul
00007ffb16ca600f (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffb16ca5609 (__TEXT,__text) external _LLVMBuildNUWSub
00007ffb16ca5fac (__TEXT,__text) external _LLVMBuildNeg
00007ffb16ca6071 (__TEXT,__text) external _LLVMBuildNot
00007ffb16ca5b99 (__TEXT,__text) external _LLVMBuildOr
00007ffb16ca7c31 (__TEXT,__text) external _LLVMBuildPhi
00007ffb16ca7b03 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffb16ca7f81 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffb16ca7fc2 (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffb16ca74e6 (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffb16ca50da (__TEXT,__text) external _LLVMBuildResume
00007ffb16ca4af4 (__TEXT,__text) external _LLVMBuildRet
00007ffb16ca4aea (__TEXT,__text) external _LLVMBuildRetVoid
00007ffb16ca585b (__TEXT,__text) external _LLVMBuildSDiv
00007ffb16ca6f8e (__TEXT,__text) external _LLVMBuildSExt
00007ffb16ca7983 (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffb16ca7350 (__TEXT,__text) external _LLVMBuildSIToFP
00007ffb16ca5a7d (__TEXT,__text) external _LLVMBuildSRem
00007ffb16ca7ce8 (__TEXT,__text) external _LLVMBuildSelect
00007ffb16ca5ad9 (__TEXT,__text) external _LLVMBuildShl
00007ffb16ca7da2 (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffb16ca6646 (__TEXT,__text) external _LLVMBuildStore
00007ffb16ca6b45 (__TEXT,__text) external _LLVMBuildStructGEP
00007ffb16ca6b99 (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffb16ca55a0 (__TEXT,__text) external _LLVMBuildSub
00007ffb16ca4df8 (__TEXT,__text) external _LLVMBuildSwitch
00007ffb16ca6d56 (__TEXT,__text) external _LLVMBuildTrunc
00007ffb16ca79af (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffb16ca573e (__TEXT,__text) external _LLVMBuildUDiv
00007ffb16ca7323 (__TEXT,__text) external _LLVMBuildUIToFP
00007ffb16ca59a9 (__TEXT,__text) external _LLVMBuildURem
00007ffb16ca52a0 (__TEXT,__text) external _LLVMBuildUnreachable
00007ffb16ca7d1a (__TEXT,__text) external _LLVMBuildVAArg
00007ffb16ca5bc6 (__TEXT,__text) external _LLVMBuildXor
00007ffb16ca6e72 (__TEXT,__text) external _LLVMBuildZExt
00007ffb16ca7956 (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffb16ca4ae0 (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffb16ca4ad6 (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffb179c7337 (__TEXT,__text) external _LLVMByteOrder
00007ffb179c7506 (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffb16ca4410 (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffb17a2da86 (__TEXT,__text) external _LLVMCloneModule
00007ffb16ca13c8 (__TEXT,__text) external _LLVMConstAShr
00007ffb16ca11a0 (__TEXT,__text) external _LLVMConstAdd
00007ffb16ca1694 (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffb16c9fb78 (__TEXT,__text) external _LLVMConstAllOnes
00007ffb16ca1372 (__TEXT,__text) external _LLVMConstAnd
00007ffb16ca0cc1 (__TEXT,__text) external _LLVMConstArray
00007ffb16ca1673 (__TEXT,__text) external _LLVMConstBitCast
00007ffb16ca1275 (__TEXT,__text) external _LLVMConstExactSDiv
00007ffb16ca125a (__TEXT,__text) external _LLVMConstExactUDiv
00007ffb16ca16f1 (__TEXT,__text) external _LLVMConstExtractElement
00007ffb16ca185a (__TEXT,__text) external _LLVMConstExtractValue
00007ffb16ca11d0 (__TEXT,__text) external _LLVMConstFAdd
00007ffb16ca139f (__TEXT,__text) external _LLVMConstFCmp
00007ffb16ca1284 (__TEXT,__text) external _LLVMConstFDiv
00007ffb16ca1244 (__TEXT,__text) external _LLVMConstFMul
00007ffb16ca1180 (__TEXT,__text) external _LLVMConstFNeg
00007ffb16ca16db (__TEXT,__text) external _LLVMConstFPCast
00007ffb16ca15d2 (__TEXT,__text) external _LLVMConstFPExt
00007ffb16ca162e (__TEXT,__text) external _LLVMConstFPToSI
00007ffb16ca1617 (__TEXT,__text) external _LLVMConstFPToUI
00007ffb16ca15bb (__TEXT,__text) external _LLVMConstFPTrunc
00007ffb16ca12a2 (__TEXT,__text) external _LLVMConstFRem
00007ffb16ca120a (__TEXT,__text) external _LLVMConstFSub
00007ffb16ca1498 (__TEXT,__text) external _LLVMConstGEP
00007ffb16ca14e1 (__TEXT,__text) external _LLVMConstGEP2
00007ffb16ca1390 (__TEXT,__text) external _LLVMConstICmp
00007ffb16ca1504 (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffb16ca1550 (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffb16ca1877 (__TEXT,__text) external _LLVMConstInlineAsm
00007ffb16ca17ba (__TEXT,__text) external _LLVMConstInsertElement
00007ffb16ca1868 (__TEXT,__text) external _LLVMConstInsertValue
00007ffb16ca08f0 (__TEXT,__text) external _LLVMConstInt
00007ffb16ca16c8 (__TEXT,__text) external _LLVMConstIntCast
00007ffb16ca0a10 (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffb16ca09fa (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffb16ca0903 (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffb16ca0968 (__TEXT,__text) external _LLVMConstIntOfString
00007ffb16ca09a8 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffb16ca165c (__TEXT,__text) external _LLVMConstIntToPtr
00007ffb16ca13bc (__TEXT,__text) external _LLVMConstLShr
00007ffb16ca1214 (__TEXT,__text) external _LLVMConstMul
00007ffb16ca11ae (__TEXT,__text) external _LLVMConstNSWAdd
00007ffb16ca1222 (__TEXT,__text) external _LLVMConstNSWMul
00007ffb16ca0f42 (__TEXT,__text) external _LLVMConstNSWNeg
00007ffb16ca11e8 (__TEXT,__text) external _LLVMConstNSWSub
00007ffb16ca11bf (__TEXT,__text) external _LLVMConstNUWAdd
00007ffb16ca1233 (__TEXT,__text) external _LLVMConstNUWMul
00007ffb16ca1061 (__TEXT,__text) external _LLVMConstNUWNeg
00007ffb16ca11f9 (__TEXT,__text) external _LLVMConstNUWSub
00007ffb16ca0d86 (__TEXT,__text) external _LLVMConstNamedStruct
00007ffb16ca0e23 (__TEXT,__text) external _LLVMConstNeg
00007ffb16ca1196 (__TEXT,__text) external _LLVMConstNot
00007ffb16c9fb6e (__TEXT,__text) external _LLVMConstNull
00007ffb16ca137c (__TEXT,__text) external _LLVMConstOr
00007ffb16ca16be (__TEXT,__text) external _LLVMConstPointerCast
00007ffb16c9fc6a (__TEXT,__text) external _LLVMConstPointerNull
00007ffb16ca1645 (__TEXT,__text) external _LLVMConstPtrToInt
00007ffb16ca09b4 (__TEXT,__text) external _LLVMConstReal
00007ffb16ca0a34 (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffb16ca09be (__TEXT,__text) external _LLVMConstRealOfString
00007ffb16ca09ee (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffb16ca1269 (__TEXT,__text) external _LLVMConstSDiv
00007ffb16ca158d (__TEXT,__text) external _LLVMConstSExt
00007ffb16ca16aa (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffb16ca1600 (__TEXT,__text) external _LLVMConstSIToFP
00007ffb16ca1298 (__TEXT,__text) external _LLVMConstSRem
00007ffb16ca16e5 (__TEXT,__text) external _LLVMConstSelect
00007ffb16ca13ae (__TEXT,__text) external _LLVMConstShl
00007ffb16ca17c6 (__TEXT,__text) external _LLVMConstShuffleVector
00007ffb16ca0c1f (__TEXT,__text) external _LLVMConstString
00007ffb16ca0c0a (__TEXT,__text) external _LLVMConstStringInContext
00007ffb16ca0d18 (__TEXT,__text) external _LLVMConstStruct
00007ffb16ca0ce8 (__TEXT,__text) external _LLVMConstStructInContext
00007ffb16ca11da (__TEXT,__text) external _LLVMConstSub
00007ffb16ca1576 (__TEXT,__text) external _LLVMConstTrunc
00007ffb16ca16b4 (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffb16ca124e (__TEXT,__text) external _LLVMConstUDiv
00007ffb16ca15e9 (__TEXT,__text) external _LLVMConstUIToFP
00007ffb16ca128e (__TEXT,__text) external _LLVMConstURem
00007ffb16ca0d92 (__TEXT,__text) external _LLVMConstVector
00007ffb16ca1386 (__TEXT,__text) external _LLVMConstXor
00007ffb16ca15a4 (__TEXT,__text) external _LLVMConstZExt
00007ffb16ca16a0 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffb17929c5a (__TEXT,__text) external _LLVMConsumeError
00007ffb16c9d390 (__TEXT,__text) external _LLVMContextCreate
00007ffb16c9d46a (__TEXT,__text) external _LLVMContextDispose
00007ffb16c9d420 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffb16c9d40f (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffb16c9d3f2 (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffb16c9d458 (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffb16c9d431 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffb16c9d448 (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffb16c9da2e (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffb179c72ba (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffb16ca32e1 (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffb16ca417d (__TEXT,__text) external _LLVMCountIncoming
00007ffb16c9e61f (__TEXT,__text) external _LLVMCountParamTypes
00007ffb16ca2e09 (__TEXT,__text) external _LLVMCountParams
00007ffb16c9e72c (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffb16ca33e0 (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffb1745b3a0 (__TEXT,__text) external _LLVMCreateBinary
00007ffb16ca4304 (__TEXT,__text) external _LLVMCreateBuilder
00007ffb16ca426f (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffb16d7b981 (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffb16d7b9d8 (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffb16d7b752 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffb16d7b7e6 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffb16d7c0cf (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffb16d7be72 (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffb16d7ba77 (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffb16d7b259 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffb16d7b249 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffb16d7b1f1 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffb16d79045 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffb16cb0e6e (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffb16cb0e36 (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffb173d1c43 (__TEXT,__text) external _LLVMCreateDisasm
00007ffb173d1c19 (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffb173d143a (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffb16c9d500 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007ffb16ca8465 (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007ffb16ca8431 (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
00007ffb16ca8100 (__TEXT,__text) external _LLVMCreateMemoryBufferWithContentsOfFile
00007ffb16ca82b3 (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRange
00007ffb16ca831c (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRangeCopy
00007ffb16ca81fd (__TEXT,__text) external _LLVMCreateMemoryBufferWithSTDIN
00007ffb16c9d37c (__TEXT,__text) external _LLVMCreateMessage
00007ffb16ca80cb (__TEXT,__text) external _LLVMCreateModuleProviderForExistingModule
00007ffb1745b6cf (__TEXT,__text) external _LLVMCreateObjectFile
