                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff8150f56e8 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff8150f5714 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007ff8150f57e5 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007ff8150f574b (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007ff8150f5756 (__TEXT,__text) external _KClientGetNthServerDeprecated
00007ff8150f5777 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
00007ff8150f5782 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
00007ff8150f57a3 (__TEXT,__text) external _KClientGetNthSessionDeprecated
00007ff8150f57da (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
00007ff8150f5798 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00007ff8150f5a8b (__TEXT,__text) external _KClientGetProtectedServiceReply
00007ff8150f572a (__TEXT,__text) external _KClientGetRealmDeprecated
00007ff8150f59d0 (__TEXT,__text) external _KClientGetRemoteAddress
00007ff8150f59a4 (__TEXT,__text) external _KClientGetServerPrincipal
00007ff8150f5a33 (__TEXT,__text) external _KClientGetServiceKey
00007ff8150f59e6 (__TEXT,__text) external _KClientGetSessionKey
00007ff8150f58bd (__TEXT,__text) external _KClientGetSessionKeyCompat
00007ff8150f5936 (__TEXT,__text) external _KClientGetSessionUserNameCompat
00007ff8150f5a49 (__TEXT,__text) external _KClientGetTicketForService
00007ff8150f587b (__TEXT,__text) external _KClientGetTicketForServiceCompat
00007ff8150f5886 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
00007ff8150f57f0 (__TEXT,__text) external _KClientGetUserNameDeprecated
00007ff8150f5962 (__TEXT,__text) external _KClientGetVersion
00007ff8150f5a1d (__TEXT,__text) external _KClientKeyFileLogin
00007ff8150f5a07 (__TEXT,__text) external _KClientLogin
00007ff8150f5891 (__TEXT,__text) external _KClientLoginCompat
00007ff8150f5a28 (__TEXT,__text) external _KClientLogout
00007ff8150f58a7 (__TEXT,__text) external _KClientLogoutCompat
00007ff8150f5941 (__TEXT,__text) external _KClientMakeSendAuthCompat
00007ff8150f596d (__TEXT,__text) external _KClientNewClientSession
00007ff8150f5978 (__TEXT,__text) external _KClientNewServerSession
00007ff8150f5865 (__TEXT,__text) external _KClientNewSessionCompat
00007ff8150f5a12 (__TEXT,__text) external _KClientPasswordLogin
00007ff8150f589c (__TEXT,__text) external _KClientPasswordLoginCompat
00007ff8150f5ad8 (__TEXT,__text) external _KClientPrincipalToV4String
00007ff8150f5ae3 (__TEXT,__text) external _KClientPrincipalToV4Triplet
00007ff8150f5aac (__TEXT,__text) external _KClientProtectIntegrity
00007ff8150f58de (__TEXT,__text) external _KClientProtectIntegrityCompat
00007ff8150f5999 (__TEXT,__text) external _KClientSetClientPrincipal
00007ff8150f59fc (__TEXT,__text) external _KClientSetKeyFile
00007ff8150f59c5 (__TEXT,__text) external _KClientSetLocalAddress
00007ff8150f571f (__TEXT,__text) external _KClientSetLocalRealmDeprecated
00007ff8150f578d (__TEXT,__text) external _KClientSetNthServerPortDeprecated
00007ff8150f59db (__TEXT,__text) external _KClientSetRemoteAddress
00007ff8150f59af (__TEXT,__text) external _KClientSetServerPrincipal
00007ff8150f58b2 (__TEXT,__text) external _KClientStatusCompat
00007ff8150f5acd (__TEXT,__text) external _KClientV4StringToPrincipal
00007ff8150f5a75 (__TEXT,__text) external _KClientVerifyAuthenticator
00007ff8150f5a5f (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
00007ff8150f5ab7 (__TEXT,__text) external _KClientVerifyIntegrity
00007ff8150f58e9 (__TEXT,__text) external _KClientVerifyIntegrityCompat
00007ff8150f5a6a (__TEXT,__text) external _KClientVerifyProtectedServiceReply
00007ff8150f594c (__TEXT,__text) external _KClientVerifyReplyTicketCompat
00007ff8150f5957 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
00007ff8150f585a (__TEXT,__text) external _KClientVersionCompat
00007ff8150f035e (__TEXT,__text) external _KLAcquireInitialTickets
00007ff8150f04ba (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
00007ff8150f0bf6 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
00007ff8150f0430 (__TEXT,__text) external _KLAcquireNewInitialTickets
00007ff8150f0c1c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
00007ff8150f0572 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
00007ff8150f03db (__TEXT,__text) external _KLAcquireNewTickets
00007ff8150f052d (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
00007ff8150f031c (__TEXT,__text) external _KLAcquireTickets
00007ff8150f0475 (__TEXT,__text) external _KLAcquireTicketsWithPassword
00007ff8150f06db (__TEXT,__text) external _KLCacheHasValidTickets
00007ff8150f1383 (__TEXT,__text) external _KLCancelAllDialogs
00007ff8150f0beb (__TEXT,__text) external _KLChangePassword
00007ff8150f138b (__TEXT,__text) external _KLChangePasswordWithPasswords
00007ff8150f17a9 (__TEXT,__text) external _KLComparePrincipal
00007ff8150f1483 (__TEXT,__text) external _KLCountKerberosRealms
00007ff8150f1844 (__TEXT,__text) external _KLCreateLoginOptions
00007ff8150f1576 (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
00007ff8150f15a5 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
00007ff8150f14ee (__TEXT,__text) external _KLCreatePrincipalFromString
00007ff8150f14b1 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
00007ff8150f0bad (__TEXT,__text) external _KLDestroyTickets
00007ff8150f1a00 (__TEXT,__text) external _KLDisposeLoginOptions
00007ff8150f1808 (__TEXT,__text) external _KLDisposePrincipal
00007ff8150f1a4d (__TEXT,__text) external _KLDisposeString
00007ff8150f13bc (__TEXT,__text) external _KLFindKerberosRealmByName
00007ff8150f06d0 (__TEXT,__text) external _KLGetApplicationOptions
00007ff8150f13a6 (__TEXT,__text) external _KLGetDefaultLoginOption
00007ff8150f1721 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
00007ff8150f12fc (__TEXT,__text) external _KLGetErrorString
00007ff8150f139e (__TEXT,__text) external _KLGetIdleCallback
00007ff8150f148e (__TEXT,__text) external _KLGetKerberosDefaultRealm
00007ff8150f1422 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
00007ff8150f1456 (__TEXT,__text) external _KLGetKerberosRealm
00007ff8150f1699 (__TEXT,__text) external _KLGetStringFromPrincipal
00007ff8150f15d4 (__TEXT,__text) external _KLGetTripletFromPrincipal
00007ff8150f12f4 (__TEXT,__text) external _KLHandleError
00007ff8150f1473 (__TEXT,__text) external _KLInsertKerberosRealm
00007ff8150f0ed1 (__TEXT,__text) external _KLLastChangedTime
00007ff8150f1983 (__TEXT,__text) external _KLLoginOptionsSetAddressless
00007ff8150f18ed (__TEXT,__text) external _KLLoginOptionsSetForwardable
00007ff8150f191f (__TEXT,__text) external _KLLoginOptionsSetProxiable
00007ff8150f1951 (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
00007ff8150f19bd (__TEXT,__text) external _KLLoginOptionsSetServiceName
00007ff8150f18bb (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
00007ff8150f19a0 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
00007ff8150f147b (__TEXT,__text) external _KLRemoveAllKerberosRealms
00007ff8150f146b (__TEXT,__text) external _KLRemoveKerberosRealm
00007ff8150f0c27 (__TEXT,__text) external _KLRenewInitialTickets
00007ff8150f06c8 (__TEXT,__text) external _KLSetApplicationOptions
00007ff8150f13b1 (__TEXT,__text) external _KLSetDefaultLoginOption
00007ff8150f1396 (__TEXT,__text) external _KLSetIdleCallback
00007ff8150f14a1 (__TEXT,__text) external _KLSetKerberosDefaultRealm
00007ff8150f14a9 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
00007ff8150f1463 (__TEXT,__text) external _KLSetKerberosRealm
00007ff8150f125e (__TEXT,__text) external _KLSetSystemDefaultCache
00007ff8150f0c01 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
00007ff8150f11b1 (__TEXT,__text) external _KLTicketExpirationTime
00007ff8150f1104 (__TEXT,__text) external _KLTicketStartTime
00007ff8150f0ec9 (__TEXT,__text) external _KLValidateInitialTickets
00007ff8150f0c14 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
00007ff8150f0c0c (__TEXT,__text) external _KLVerifyInitialTickets
00007ff8150f53f5 (__TEXT,__text) external _KPCreatePreferencesFile
00007ff8150f53d9 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
00007ff8150f53ce (__TEXT,__text) external _KPGetListOfPreferencesFiles
00007ff8150f53c3 (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
00007ff8150f53df (__TEXT,__text) external _KPPreferencesFileIsReadable
00007ff8150f53ea (__TEXT,__text) external _KPPreferencesFileIsWritable
00007ff8150f5915 (__TEXT,__text) external _KServerAddKeyCompat
00007ff8150f5920 (__TEXT,__text) external _KServerGetKeyCompat
00007ff8150f590a (__TEXT,__text) external _KServerGetReplyTicketCompat
00007ff8150f592b (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
00007ff8150f58f4 (__TEXT,__text) external _KServerNewSessionCompat
00007ff8150f58ff (__TEXT,__text) external _KServerVerifyTicketCompat
00007ff8150f42c5 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff843f698e0 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff8150f1a83 (__TEXT,__text) external ___KLAllowAutomaticPrompting
00007ff8150f1a70 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
00007ff8150f1a9e (__TEXT,__text) external ___KLAllowRememberPassword
00007ff8150f1b02 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
00007ff8150f1aa6 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
00007ff8150f1b31 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
00007ff8150f1b44 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
00007ff8150f1ad4 (__TEXT,__text) external ___KLGetTripletFromPrincipal
00007ff8150f1b5f (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
00007ff8150f1b5f (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
00007ff8150f1b5f (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
00007ff8150f1b3c (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
00007ff8150f1b4f (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
00007ff8150f1a93 (__TEXT,__text) external ___KLPromptMechanism
00007ff8150f1b57 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
00007ff8150f1a5a (__TEXT,__text) external ___KLSetApplicationPrompter
00007ff8150f1a7b (__TEXT,__text) external ___KLSetAutomaticPrompting
00007ff8150f1a62 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
00007ff8150f1a8b (__TEXT,__text) external ___KLSetPromptMechanism
00007ff8150efcd0 (__TEXT,__text) external ___KerberosDebugLogLevel
00007ff8150efcd8 (__TEXT,__text) external ___KerberosDebugPrint
00007ff8150efce4 (__TEXT,__text) external ___KerberosDebugPrintMemory
00007ff8150efcea (__TEXT,__text) external ___KerberosDebugPrintSession
00007ff8150efcde (__TEXT,__text) external ___KerberosDebugVAPrint
00007ff843f692e8 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
00007ff8150ec516 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00007ff8420277c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff842027848 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ff842027808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ff8420277e8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ff842027868 (__DATA_CONST,__const) non-external ___block_literal_global.12
00007ff842027828 (__DATA_CONST,__const) non-external ___block_literal_global.7
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
00007ff8150ef427 (__TEXT,__text) non-external ___error_message_block_invoke
00007ff8150eb9e3 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00007ff8150eeba6 (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
00007ff8150f07f4 (__TEXT,__text) non-external _acquireticket_ui
00007ff8150f3b7a (__TEXT,__text) non-external _add_data_to_buffer
00007ff8150ebb12 (__TEXT,__text) external _add_error_table
00007ff8150f263e (__TEXT,__text) non-external _add_to_list
00007ff8150f6fd4 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
00007ff8150f70cc (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
00007ff8150ebb1a (__TEXT,__text) external _cc_close
00007ff8150ebb22 (__TEXT,__text) external _cc_create
00007ff8150ebb2a (__TEXT,__text) external _cc_destroy
00007ff8150ebb32 (__TEXT,__text) external _cc_free_NC_info
00007ff8150ebb3a (__TEXT,__text) external _cc_free_creds
00007ff8150ebb42 (__TEXT,__text) external _cc_free_name
00007ff8150ebb4a (__TEXT,__text) external _cc_free_principal
00007ff843f691c8 (__DATA,__data) non-external (was a private external) _cc_functions
00007ff8150ebb52 (__TEXT,__text) external _cc_get_NC_info
00007ff8150ebb5a (__TEXT,__text) external _cc_get_change_time
00007ff8150ebb62 (__TEXT,__text) external _cc_get_cred_version
00007ff8150ebb6a (__TEXT,__text) external _cc_get_name
00007ff8150ebb72 (__TEXT,__text) external _cc_get_principal
00007ff8150ed3ee (__TEXT,__text) external _cc_initialize
00007ff8150ee3e7 (__TEXT,__text) non-external _cc_iterator_clone
00007ff8150ecae2 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
00007ff8150ee3a7 (__TEXT,__text) non-external _cc_iterator_release
00007ff8150ebb7a (__TEXT,__text) external _cc_open
00007ff8150ebb82 (__TEXT,__text) external _cc_remove_cred
00007ff8150ebb8a (__TEXT,__text) external _cc_seq_fetch_NCs_begin
00007ff8150ebb92 (__TEXT,__text) external _cc_seq_fetch_NCs_end
00007ff8150ebb9a (__TEXT,__text) external _cc_seq_fetch_NCs_next
00007ff8150ebba2 (__TEXT,__text) external _cc_seq_fetch_creds_begin
00007ff8150ebbaa (__TEXT,__text) external _cc_seq_fetch_creds_end
00007ff8150ebbb2 (__TEXT,__text) external _cc_seq_fetch_creds_next
00007ff8150ebbba (__TEXT,__text) external _cc_set_principal
00007ff8150ebbc2 (__TEXT,__text) external _cc_shutdown
00007ff8150ebbca (__TEXT,__text) external _cc_store
00007ff8150ee2fb (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
00007ff8150ee0de (__TEXT,__text) non-external _ccache_compare
00007ff8150ed49c (__TEXT,__text) non-external _ccache_destroy
00007ff843f69230 (__DATA,__data) non-external _ccache_functions
00007ff8150ee097 (__TEXT,__text) non-external _ccache_get_change_time
00007ff8150ed575 (__TEXT,__text) non-external _ccache_get_credentials_version
00007ff8150ee1bd (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00007ff8150ee043 (__TEXT,__text) non-external _ccache_get_last_default_time
00007ff8150ed58f (__TEXT,__text) non-external _ccache_get_name
00007ff8150ed61e (__TEXT,__text) non-external _ccache_get_principal
00007ff843f692d0 (__DATA,__data) non-external _ccache_iterator_functions
00007ff8150ee009 (__TEXT,__text) non-external _ccache_lock
00007ff8150edf57 (__TEXT,__text) non-external _ccache_move
00007ff8150ede89 (__TEXT,__text) non-external _ccache_new_credentials_iterator
00007ff8150eca9b (__TEXT,__text) non-external (was a private external) _ccache_release
00007ff8150edcb8 (__TEXT,__text) non-external _ccache_remove_credentials
00007ff8150ed4fe (__TEXT,__text) non-external _ccache_set_default
00007ff8150ee270 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
00007ff8150ed73c (__TEXT,__text) non-external _ccache_set_principal
00007ff8150ed84c (__TEXT,__text) non-external _ccache_store_credentials
00007ff8150ee026 (__TEXT,__text) non-external _ccache_unlock
00007ff8150ee35a (__TEXT,__text) non-external _ccache_wait_for_change
00007ff8150ee365 (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00007ff8420278f0 (__DATA_CONST,__const) non-external _conf_no
00007ff8420278b0 (__DATA_CONST,__const) non-external _conf_yes
00007ff843f69480 (__DATA,__bss) non-external _context_change_time
00007ff8150ed3bc (__TEXT,__text) non-external _context_compare
00007ff8150ecf3f (__TEXT,__text) non-external _context_create_ccache
00007ff8150ed07c (__TEXT,__text) non-external _context_create_default_ccache
00007ff8150ed1e6 (__TEXT,__text) non-external _context_create_new_ccache
00007ff8150eccb5 (__TEXT,__text) non-external _context_get_change_time
00007ff8150eccf2 (__TEXT,__text) non-external _context_get_default_ccache_name
00007ff8150ed3ac (__TEXT,__text) non-external _context_lock
00007ff8150ed32a (__TEXT,__text) non-external _context_new_ccache_iterator
00007ff8150ecd79 (__TEXT,__text) non-external _context_open_ccache
00007ff8150ece71 (__TEXT,__text) non-external _context_open_default_ccache
00007ff8150ecc80 (__TEXT,__text) non-external _context_release
00007ff8150ed3b4 (__TEXT,__text) non-external _context_unlock
00007ff8150ed3e3 (__TEXT,__text) non-external _context_wait_for_change
00007ff8150ecc3c (__TEXT,__text) non-external _create_ccache
00007ff8150ec5a2 (__TEXT,__text) non-external _cred_compare
00007ff8150eca45 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00007ff843f691b0 (__DATA,__data) non-external (was a private external) _cred_iter_functions
00007ff8150ec5b3 (__TEXT,__text) non-external (was a private external) _cred_iter_next
00007ff8150eca50 (__TEXT,__text) non-external _cred_iter_release
00007ff8150ec563 (__TEXT,__text) non-external _cred_release
00007ff843f691a0 (__DATA,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
00007ff8150f540b (__TEXT,__text) external _decomp_ticket
00007ff8150f5639 (__TEXT,__text) external _dest_all_tkts
00007ff8150f5610 (__TEXT,__text) external _dest_tkt
00007ff8150eebc8 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00007ff843f694b0 (__DATA,__bss) non-external _do_log
00007ff8150f3724 (__TEXT,__text) non-external _dump_profile
00007ff8150f3b56 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
00007ff8150f3ab3 (__TEXT,__text) non-external _dump_profile_to_file_cb
00007ff8150ebbd2 (__TEXT,__text) external _encode_krb5_as_req
00007ff8150f26b9 (__TEXT,__text) non-external _end_list
00007ff8150ef3c9 (__TEXT,__text) external _error_message
00007ff843f694d0 (__DATA,__bss) non-external _error_message.buffer
00007ff8150f7910 (__TEXT,__text) non-external _error_message.cold.1
00007ff843f694c0 (__DATA,__bss) non-external _error_message.et_list
00007ff843f694b8 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
00007ff8150f0f70 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00007ff843f698d8 (__DATA,__bss) non-external _g_cc_change_time
00007ff843f692f0 (__DATA,__data) non-external _g_change_time_mutex
00007ff843f698d0 (__DATA,__bss) non-external _g_kl_change_time
00007ff8150f544a (__TEXT,__text) external _get_ad_tkt
00007ff8150f54b5 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00007ff843f690b0 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00007ff843f690d0 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00007ff843f69080 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00007ff843f69060 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00007ff843f69020 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00007ff843f69040 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00007ff843f69000 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
