00007ff80cb9f546 (__TEXT,__text) non-external _Annihilate
00007ff80cba5531 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80cba560c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80cba54fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80cba9abc (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80cba9ab3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80cba9994 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80cbac14a (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80cba9a75 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80cba9a5c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80cba5414 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80cbac10f (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80cbac07f (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80cbabf18 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80cbac006 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80cba99c8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80cba9ae3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80cba5195 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80cba51a2 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80cba01ba (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80cb91495 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80cb933d8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80cb91218 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80cb91367 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80cb96d1c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80cb944aa (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80cb9146b (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80cb91170 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80cb96d2f (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80cb96da5 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80cba81c0 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80cbaea4b (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80cbd2428 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80cb9f452 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80cb9f60f (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80cbbadab (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80cbb3696 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80cbb4358 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80cbb29d4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80cbb33a2 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80cbb4064 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80cbb26e0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80cbb38a8 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80cbb456a (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80cbb2be6 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80cbb3725 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80cbb43e7 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80cbb2a63 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80cba5267 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80cba01a6 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80cbe0e99 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80cbbad47 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80cb9f2f9 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80cbb5459 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80cbd41c5 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80cbe295f (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80cbb0027 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80cbc0540 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80cbc0a9c (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80cbbffe4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80cc082e0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80cba52ca (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80cbafd0a (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80cb9f61c (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80cba01f5 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80cbbc09f (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80cc3c4f8 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80cc3c4f2 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80cc3c4e0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80cbbcabd (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80cbbf1f4 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80cb9edd8 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80cbdecb2 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80cbbe85b (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80cbbf5f0 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80cbbadb8 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80cba527b (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80cb9f496 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80cbb0426 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80cbb57ae (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80cbb547c (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80cbbd7fc (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80cb9f0c5 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80cbbeb8e (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80cb9ee8d (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80cbbeac6 (__TEXT,__text) non-external _BuildHistograms
00007ff80cbe8210 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80cbe8310 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80cb96db0 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80cb9f38a (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80cbe1761 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80cbb7253 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80cbe32e3 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80cba7b4c (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80cbc3e0c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80cbc4f60 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80cbce799 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80cbc5c79 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80cbc9ae3 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80cbcaf19 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80cbcc43a (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80cbc6ee0 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80cbcd9e1 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80cbcf838 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80cbc8487 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80cbd09a2 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80cb97aeb (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80cbe8100 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80cbaa0ca (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80cba7cd6 (__TEXT,__text) non-external _DecodeContextMap
00007ff80cbaabfe (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80cbaa654 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80cba68cd (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80cba6eca (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80cb9ed58 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80cbbdd14 (__TEXT,__text) non-external _EncodeContextMap
00007ff80cb945df (__TEXT,__text) non-external _EncodeData
00007ff80cbb705f (__TEXT,__text) non-external _EvaluateNode
00007ff80cb973af (__TEXT,__text) non-external _ExtendLastCommand
00007ff80cc08360 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80cc45a50 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80cc5e500 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80cb971f3 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80cb97267 (__TEXT,__text) non-external _GetHashTable
00007ff80cbe8000 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80cc5e9b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80cbe7f80 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80cbb65f5 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80cb97074 (__TEXT,__text) non-external _InitializeH5
00007ff80cb970c2 (__TEXT,__text) non-external _InitializeH6
00007ff80cb944c8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80cba9b92 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80cbb1b68 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80cbb1b1e (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80cbb1a49 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80cbe4f7c (__TEXT,__text) non-external _MapStaticContexts
00007ff80cb9718f (__TEXT,__text) non-external _PrepareH54
00007ff80cb97128 (__TEXT,__text) non-external _PrepareH6
00007ff80cba8264 (__TEXT,__text) non-external _ProcessCommands
00007ff80cba709c (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80cba9d63 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80cbaa887 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80cbaa2af (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80cba9aee (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80cba8d8c (__TEXT,__text) non-external _SafeProcessCommands
00007ff80cba6784 (__TEXT,__text) non-external _SaveErrorCode
00007ff80cbb8807 (__TEXT,__text) non-external _SetCost
00007ff80cbbafd3 (__TEXT,__text) non-external _Shift
00007ff80cb96df6 (__TEXT,__text) non-external _ShouldCompress
00007ff80cbe8110 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80cb9f4d1 (__TEXT,__text) non-external _SortPointers
00007ff80cbe86e0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80cc3d270 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80cc3d070 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80cbbd6b3 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80cbbef29 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80cbbe4d3 (__TEXT,__text) non-external _StoreSymbol
00007ff80cbbe68a (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80cbbdae1 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80cbbf77a (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80cb9733f (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80cbb67a9 (__TEXT,__text) non-external _UpdateNodes
00007ff80cba9960 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80cb97624 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80cba6798 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80cbb6667 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8425f58a0 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80cbad232 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80cc44400 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80cc3c850 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80cbe8420 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80cc44600 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80cbe0bd3 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80cb89bd6 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80cb87e97 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80cbe0aa9 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80cbe0e03 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80cb87d55 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80cb90c60 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80cc44df0 (__TEXT,__const) non-external _base_dist
00007ff80cc44d70 (__TEXT,__const) non-external _base_length
00007ff80cbe0d81 (__TEXT,__text) non-external _bi_flush
00007ff80cb8b4f8 (__TEXT,__text) non-external _bi_windup
00007ff80cc44d50 (__TEXT,__const) non-external _bl_order
00007ff80cc3c5c0 (__TEXT,__const) non-external _breverse.brev8
00007ff80cbdf074 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80cbdf0a9 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80cbdf26b (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80cbdf18e (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80cbdf0e5 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80cb8a52b (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80cb8b0ed (__TEXT,__text) non-external _compress_block
00007ff80cb8d342 (__TEXT,__text) external _compression_decode_buffer
00007ff80cb8d268 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80cbd44e7 (__TEXT,__text) external _compression_encode_buffer
00007ff80cbd43b7 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80cb8b6b2 (__TEXT,__text) external _compression_stream_destroy
00007ff80cbae959 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80cbae903 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80cbae8bb (__TEXT,__text) external _compression_stream_get_state_size
00007ff80cbae839 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80cb87780 (__TEXT,__text) external _compression_stream_init
00007ff80cbae7ec (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80cbae9af (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80cb88360 (__TEXT,__text) external _compression_stream_process
00007ff80cb8d9cf (__TEXT,__text) external _compression_stream_reinit
00007ff8425f6110 (__DATA,__const) non-external _configuration_table
00007ff80cbc2069 (__TEXT,__text) external _cosmix_codec_decode
00007ff80cbc16a3 (__TEXT,__text) external _cosmix_codec_encode
00007ff80cbc1f82 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80cbc2b5d (__TEXT,__text) external _cosmix_codec_get_id
00007ff80cbc29d1 (__TEXT,__text) external _cosmix_codec_map
00007ff80cbc2b15 (__TEXT,__text) external _cosmix_codec_unmap
00007ff80cbc260a (__TEXT,__text) external _cosmix_model_create
00007ff80cbc2735 (__TEXT,__text) external _cosmix_model_destroy
00007ff80cbc275e (__TEXT,__text) external _cosmix_model_save_codec
00007ff80cbc0ff8 (__TEXT,__text) external _cosmix_model_update
00007ff80cbded74 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80cc3d2d0 (__TEXT,__const) non-external _crc_table
00007ff80cba51af (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80cb887a5 (__TEXT,__text) non-external (was a private external) _deflate
00007ff80cbe6c4c (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80cbe71e6 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80cb8b5c7 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80cb87948 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80cbe6971 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80cbe6b33 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80cbe6afe (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80cb87c05 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80cbe699b (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80cbe6ad9 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80cbe6c18 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80cc45ca0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80cbe7594 (__TEXT,__text) non-external _deflate_fast
00007ff80cbe6d54 (__TEXT,__text) non-external _deflate_huff
00007ff80cbe6ec4 (__TEXT,__text) non-external _deflate_rle
00007ff80cb8929c (__TEXT,__text) non-external _deflate_slow
00007ff80cbe73d6 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80cbbbabb (__TEXT,__text) non-external _emitMatch
00007ff80cc44d00 (__TEXT,__const) non-external _extra_blbits
00007ff80cc44c80 (__TEXT,__const) non-external _extra_dbits
00007ff80cc44c00 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80cb89782 (__TEXT,__text) non-external _fill_window
00007ff80cb8b568 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80cc45950 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80cc44ed0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80cc45010 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80cbded67 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80cbb5417 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80cbac1b8 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80cbac1cf (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80cbac1e3 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80cbb53e3 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80cbb1d8c (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80cbe0a21 (__TEXT,__text) non-external _init_quantization_lut
00007ff80cba5249 (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80cc06700 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80cbe7e20 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80cbe7e80 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8425f57f0 (__DATA,__const) non-external _kBrotliDictionary
00007ff80cbe8700 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80cbe7d60 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80cbe7dc0 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80cc45cf0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80cc082b0 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8425f60c0 (__DATA,__const) non-external _kBrotliTransforms
00007ff80cbe84e0 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80cc06860 (__TEXT,__const) non-external _kCmdLut
00007ff80cc39a90 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80cc06820 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80cc39a70 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80cc06840 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80cc06850 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80cc08160 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80cc08120 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80cc085e0 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80cc08620 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80cc08060 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80cc08040 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80cc080d0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80cc080b0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80cc3a5e0 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80cc39ae0 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80cc37630 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80cc37710 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80cbe7c60 (__TEXT,__const) non-external _kReverseBits
00007ff80cc3bea0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80cc3bbe0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80cc086c0 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80cc56500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80cc46500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80cc186c0 (__TEXT,__const) non-external _kStaticDictionaryWords
00007ff80cc3c460 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00007ff80cc3c420 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
