00000000000401b8 (__DATA,__data) external _NDR_record
000000000000d440 (__TEXT,__text) external ___debug_syscall_reject_config
000000000000ca6c (__TEXT,__text) external ___delete
0000000000003d0c (__TEXT,__text) external ___disable_threadsignal
0000000000001b14 (__TEXT,__text) external ___error
000000000000d468 (__TEXT,__text) external ___execve
0000000000007f88 (__TEXT,__text) external ___exit
0000000000005508 (__TEXT,__text) external ___fchmod
000000000000668c (__TEXT,__text) external ___fchmod_extended
0000000000001c74 (__TEXT,__text) external ___fcntl
00000000000050bc (__TEXT,__text) external ___fcntl_nocancel
00000000000082d4 (__TEXT,__text) external ___fork
000000000000d490 (__TEXT,__text) external ___fs_snapshot
000000000000e67c (__TEXT,__text) external ___fstat
0000000000006664 (__TEXT,__text) external ___fstat64_extended
000000000000d4b8 (__TEXT,__text) external ___fstat_extended
000000000000e6cc (__TEXT,__text) external ___fstatat
000000000000e71c (__TEXT,__text) external ___fstatfs
000000000000d4e0 (__TEXT,__text) external ___fsync_nocancel
0000000000009d10 (__TEXT,__text) external ___get_remove_counter
0000000000001b30 (__TEXT,__text) external ___getattrlist
0000000000002c7c (__TEXT,__text) external ___getdirentries64
000000000000e80c (__TEXT,__text) external ___getfsstat
0000000000006544 (__TEXT,__text) external ___gethostuuid
000000000000c40c (__TEXT,__text) external ___getlogin
00000000000053f8 (__TEXT,__text) external ___getpeername
0000000000001690 (__TEXT,__text) external ___getpid
0000000000003310 (__TEXT,__text) external ___getrlimit
000000000000d508 (__TEXT,__text) external ___getsgroups
00000000000083a0 (__TEXT,__text) external ___getsockname
0000000000002b4c (__TEXT,__text) external ___gettid
0000000000004c10 (__TEXT,__text) external ___gettimeofday
0000000000004be8 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000000d530 (__TEXT,__text) external ___getwgroups
000000000000d558 (__TEXT,__text) external ___guarded_open_dprotected_np
00000000000046e4 (__TEXT,__text) external ___guarded_open_np
000000000000d580 (__TEXT,__text) external ___identitysvc
00000000000049ac (__TEXT,__text) external ___inc_remove_counter
000000000000c3e4 (__TEXT,__text) external ___initgroups
000000000000525c (__TEXT,__text) external ___ioctl
0000000000005588 (__TEXT,__text) external ___iopolicysys
000000000000d5a8 (__TEXT,__text) external ___kdebug_trace
0000000000003af4 (__TEXT,__text) external ___kdebug_trace64
000000000000d5d0 (__TEXT,__text) external ___kdebug_trace_string
00000000000067e0 (__TEXT,__text) external ___kdebug_typefilter
0000000000032010 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000000031fd8 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
000000000000899c (__TEXT,__text) external ___kill
0000000000007118 (__TEXT,__text) external ___kqueue_workloop_ctl
000000000000672c (__TEXT,__text) external ___lchown
0000000000006808 (__TEXT,__text) external ___libkernel_init
000000000000f818 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000000000f73c (__TEXT,__text) external ___libkernel_init_late
0000000000006a40 (__TEXT,__text) external ___libkernel_platform_init
0000000000001680 (__TEXT,__text) external ___libkernel_voucher_init
0000000000008fd4 (__TEXT,__text) external ___listen
000000000000d5f8 (__TEXT,__text) external ___log_data
0000000000002930 (__TEXT,__text) external ___lseek
000000000000e9c4 (__TEXT,__text) external ___lstat
00000000000065bc (__TEXT,__text) external ___lstat64_extended
000000000000d620 (__TEXT,__text) external ___lstat_extended
000000000000d648 (__TEXT,__text) external ___mac_execve
000000000000d670 (__TEXT,__text) external ___mac_get_fd
000000000000d698 (__TEXT,__text) external ___mac_get_file
000000000000d6c0 (__TEXT,__text) external ___mac_get_link
000000000000d6e8 (__TEXT,__text) external ___mac_get_mount
000000000000d710 (__TEXT,__text) external ___mac_get_pid
000000000000d738 (__TEXT,__text) external ___mac_get_proc
000000000000d760 (__TEXT,__text) external ___mac_getfsstat
000000000000d788 (__TEXT,__text) external ___mac_mount
000000000000d7b0 (__TEXT,__text) external ___mac_set_fd
000000000000d7d8 (__TEXT,__text) external ___mac_set_file
000000000000d800 (__TEXT,__text) external ___mac_set_link
0000000000008f78 (__TEXT,__text) external ___mac_set_proc
0000000000002a1c (__TEXT,__text) external ___mac_syscall
000000000000d828 (__TEXT,__text) external ___mach_bridge_remote_time
000000000000d850 (__TEXT,__text) external ___mach_eventlink_signal
000000000000d878 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000000d8a0 (__TEXT,__text) external ___mach_eventlink_wait_until
000000000000d8c8 (__TEXT,__text) external ___map_with_linking_np
000000000000d8f0 (__TEXT,__text) external ___memorystatus_available_memory
000000000000d918 (__TEXT,__text) external ___microstackshot
000000000000d940 (__TEXT,__text) external ___mkdir_extended
000000000000d968 (__TEXT,__text) external ___mkfifo_extended
0000000000001db4 (__TEXT,__text) external ___mmap
0000000000004bc0 (__TEXT,__text) external ___mprotect
000000000000d990 (__TEXT,__text) external ___msgctl
000000000000d9b8 (__TEXT,__text) external ___msgrcv_nocancel
000000000000d9e0 (__TEXT,__text) external ___msgsnd_nocancel
000000000000da08 (__TEXT,__text) external ___msgsys
0000000000007094 (__TEXT,__text) external ___msync
000000000000da30 (__TEXT,__text) external ___msync_nocancel
0000000000004840 (__TEXT,__text) external ___munmap
000000000000da58 (__TEXT,__text) external ___nexus_create
000000000000da80 (__TEXT,__text) external ___nexus_deregister
000000000000daa8 (__TEXT,__text) external ___nexus_destroy
000000000000dad0 (__TEXT,__text) external ___nexus_get_opt
000000000000daf8 (__TEXT,__text) external ___nexus_open
000000000000db20 (__TEXT,__text) external ___nexus_register
000000000000db48 (__TEXT,__text) external ___nexus_set_opt
0000000000001b80 (__TEXT,__text) external ___open
000000000000663c (__TEXT,__text) external ___open_dprotected_np
000000000000c9f4 (__TEXT,__text) external ___open_extended
0000000000001cec (__TEXT,__text) external ___open_nocancel
00000000000028cc (__TEXT,__text) external ___openat
000000000000db70 (__TEXT,__text) external ___openat_dprotected_np
000000000000677c (__TEXT,__text) external ___openat_nocancel
0000000000040260 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000000001ae44 (__TEXT,__text) external ___os_nexus_flow_add
000000000001aec8 (__TEXT,__text) external ___os_nexus_flow_del
000000000001b010 (__TEXT,__text) external ___os_nexus_get_llink_info
000000000001ac6c (__TEXT,__text) external ___os_nexus_ifattach
000000000001ad88 (__TEXT,__text) external ___os_nexus_ifdetach
0000000000004cf4 (__TEXT,__text) external ___persona
00000000000070bc (__TEXT,__text) external ___pipe
000000000000db98 (__TEXT,__text) external ___poll_nocancel
0000000000007cc8 (__TEXT,__text) external ___posix_spawn
000000000000dbc0 (__TEXT,__text) external ___pread_nocancel
000000000000dbe8 (__TEXT,__text) external ___preadv_nocancel
0000000000002430 (__TEXT,__text) external ___proc_info
000000000000dc10 (__TEXT,__text) external ___proc_info_extended_id
0000000000008410 (__TEXT,__text) external ___process_policy
0000000000006e68 (__TEXT,__text) external ___pselect
000000000000dc38 (__TEXT,__text) external ___pselect_nocancel
0000000000004690 (__TEXT,__text) external ___psynch_cvbroad
0000000000004c64 (__TEXT,__text) external ___psynch_cvclrprepost
000000000000594c (__TEXT,__text) external ___psynch_cvsignal
0000000000004668 (__TEXT,__text) external ___psynch_cvwait
0000000000003d5c (__TEXT,__text) external ___psynch_mutexdrop
0000000000003ba0 (__TEXT,__text) external ___psynch_mutexwait
000000000000dc60 (__TEXT,__text) external ___psynch_rw_downgrade
000000000000dc88 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000000006104 (__TEXT,__text) external ___psynch_rw_rdlock
00000000000060dc (__TEXT,__text) external ___psynch_rw_unlock
000000000000dcb0 (__TEXT,__text) external ___psynch_rw_unlock2
000000000000dcd8 (__TEXT,__text) external ___psynch_rw_upgrade
00000000000060b4 (__TEXT,__text) external ___psynch_rw_wrlock
000000000000dd00 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000c6ec (__TEXT,__text) external ___pthread_canceled
0000000000007a50 (__TEXT,__text) external ___pthread_chdir
0000000000007a28 (__TEXT,__text) external ___pthread_fchdir
0000000000008f28 (__TEXT,__text) external ___pthread_kill
000000000000dd28 (__TEXT,__text) external ___pthread_markcancel
0000000000007f04 (__TEXT,__text) external ___pthread_sigmask
0000000000009350 (__TEXT,__text) external ___ptrace
000000000000dd50 (__TEXT,__text) external ___pwrite_nocancel
000000000000dd78 (__TEXT,__text) external ___pwritev_nocancel
0000000000002f28 (__TEXT,__text) external ___read_nocancel
000000000000dda0 (__TEXT,__text) external ___readv_nocancel
000000000000ddc8 (__TEXT,__text) external ___reboot
000000000000ddf0 (__TEXT,__text) external ___record_system_event
00000000000052d4 (__TEXT,__text) external ___recvfrom
00000000000051b8 (__TEXT,__text) external ___recvfrom_nocancel
00000000000056bc (__TEXT,__text) external ___recvmsg
000000000000de18 (__TEXT,__text) external ___recvmsg_nocancel
00000000000446d0 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000000004984 (__TEXT,__text) external ___rename
000000000000de40 (__TEXT,__text) external ___renameat
000000000000de68 (__TEXT,__text) external ___renameatx_np
00000000000049e8 (__TEXT,__text) external ___rmdir
000000000000d648 (__TEXT,__text) external ___sandbox_me
000000000000d788 (__TEXT,__text) external ___sandbox_mm
0000000000002a1c (__TEXT,__text) external ___sandbox_ms
0000000000008f78 (__TEXT,__text) external ___sandbox_msp
000000000000b684 (__TEXT,__text) external ___select
0000000000005190 (__TEXT,__text) external ___select_nocancel
0000000000009f8c (__TEXT,__text) external ___sem_open
000000000000de90 (__TEXT,__text) external ___sem_wait_nocancel
000000000000deb8 (__TEXT,__text) external ___semctl
000000000000dee0 (__TEXT,__text) external ___semsys
0000000000004498 (__TEXT,__text) external ___semwait_signal
0000000000007f2c (__TEXT,__text) external ___semwait_signal_nocancel
00000000000067a4 (__TEXT,__text) external ___sendmsg
0000000000005208 (__TEXT,__text) external ___sendmsg_nocancel
00000000000052ac (__TEXT,__text) external ___sendto
0000000000005134 (__TEXT,__text) external ___sendto_nocancel
00000000000045f0 (__TEXT,__text) external ___setattrlist
000000000000c3bc (__TEXT,__text) external ___setlogin
0000000000008a6c (__TEXT,__text) external ___setpriority
000000000000df08 (__TEXT,__text) external ___setregid
000000000000df30 (__TEXT,__text) external ___setreuid
0000000000003bd0 (__TEXT,__text) external ___setrlimit
000000000000df58 (__TEXT,__text) external ___setsgroups
0000000000009d24 (__TEXT,__text) external ___settid
000000000000df80 (__TEXT,__text) external ___settid_with_pid
000000000000dfa8 (__TEXT,__text) external ___settimeofday
000000000000dfd0 (__TEXT,__text) external ___setwgroups
000000000000a018 (__TEXT,__text) external ___sfi_ctl
000000000000dff8 (__TEXT,__text) external ___sfi_pidctl
000000000000e020 (__TEXT,__text) external ___shared_region_check_np
000000000000e048 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000000000287c (__TEXT,__text) external ___shm_open
000000000000e070 (__TEXT,__text) external ___shmctl
000000000000e098 (__TEXT,__text) external ___shmsys
0000000000007140 (__TEXT,__text) external ___sigaction
0000000000004578 (__TEXT,__text) external ___sigaltstack
000000000000bf4c (__TEXT,__text) external ___sigreturn
000000000000e0c0 (__TEXT,__text) external ___sigsuspend
0000000000007f60 (__TEXT,__text) external ___sigsuspend_nocancel
000000000000bf9c (__TEXT,__text) external ___sigwait
00000000000051e0 (__TEXT,__text) external ___socketpair
000000000000e0e8 (__TEXT,__text) external ___stack_snapshot_with_config
000000000000f324 (__TEXT,__text) external ___stat
000000000000656c (__TEXT,__text) external ___stat64_extended
000000000000e110 (__TEXT,__text) external ___stat_extended
000000000000f34c (__TEXT,__text) external ___statfs
0000000000003360 (__TEXT,__text) external ___syscall
0000000000040230 (__DATA,__common) external ___syscall_logger
0000000000002784 (__TEXT,__text) external ___sysctl
0000000000002990 (__TEXT,__text) external ___sysctlbyname
000000000000e138 (__TEXT,__text) external ___telemetry
000000000000ae1c (__TEXT,__text) external ___terminate_with_payload
0000000000002d6c (__TEXT,__text) external ___thread_selfid
000000000000e160 (__TEXT,__text) external ___thread_selfusage
0000000000002d94 (__TEXT,__text) external ___ulock_wait
000000000000e188 (__TEXT,__text) external ___ulock_wait2
0000000000002e50 (__TEXT,__text) external ___ulock_wake
000000000000e1b0 (__TEXT,__text) external ___umask_extended
0000000000004d44 (__TEXT,__text) external ___unlink
000000000000a34c (__TEXT,__text) external ___unlinkat
000000000000e1d8 (__TEXT,__text) external ___vfork
0000000000007e8c (__TEXT,__text) external ___wait4
000000000000c9cc (__TEXT,__text) external ___wait4_nocancel
000000000000e244 (__TEXT,__text) external ___waitid_nocancel
00000000000094dc (__TEXT,__text) external ___work_interval_ctl
0000000000002ca4 (__TEXT,__text) external ___workq_kernreturn
0000000000002ccc (__TEXT,__text) external ___workq_open
0000000000004c8c (__TEXT,__text) external ___write_nocancel
000000000000e26c (__TEXT,__text) external ___writev_nocancel
0000000000040224 (__DATA,__common) external __cpu_capabilities
0000000000040228 (__DATA,__common) external __cpu_has_altivec
0000000000044000 (__DATA_DIRTY,__data) external __current_pid
00000000000446a8 (__DATA_DIRTY,__bss) non-external __dlsym
000000000000121c (__TEXT,__text) external __exclaves_ctl_trap
0000000000010464 (__TEXT,__text) non-external __execve_with_filter
0000000000007f88 (__TEXT,__text) external __exit
0000000000006a04 (__TEXT,__text) external __get_cpu_capabilities
0000000000040248 (__DATA,__bss) non-external __gethostuuid_callback
00000000000141f8 (__TEXT,__text) external __getprivatesystemidentifier
00000000000203e4 (__TEXT,__text) external __host_page_size
0000000000006a00 (__TEXT,__text) external __init_cpu_capabilities
0000000000021590 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000000022934 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000000000235e0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000000022818 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000000023470 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
000000000000100c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000000025154 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000000024240 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000000001060 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000000022ba4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000001018 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000000022a88 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000000000243b0 (__TEXT,__text) external __kernelrpc_mach_port_destruct
000000000000106c (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000000023bd4 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000000023fb8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000000001054 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000000000a854 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000000000b258 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000001114 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000000006190 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000004348 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000000024f7c (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000000000c558 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000000023884 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000000000244cc (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000001120 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000000000249ac (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000000023e9c (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000000001048 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000000023228 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
000000000000103c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000000024e28 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000000023d38 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000000000240d4 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000000024bec (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000000022cc0 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000001024 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000000002310c (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000001030 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000000002253c (__TEXT,__text) external __kernelrpc_mach_port_names
0000000000022ddc (__TEXT,__text) external __kernelrpc_mach_port_peek
00000000000226fc (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000000004d94 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000001210 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000000000038f8 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000c438 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000000022ff0 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000000023354 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000000024708 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000000000239d8 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000000024858 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000000024acc (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000000000959c (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000001204 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000000000245ec (__TEXT,__text) external __kernelrpc_mach_port_unguard
000000000000112c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000000029430 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000000029300 (__TEXT,__text) external __kernelrpc_mach_ports_register3
000000000002cf64 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000000000252bc (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000000000fc4 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000000025414 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000000000fdc (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000002458 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000000001000 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000000025530 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000000ff4 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000000000263e0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000000fd0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000000025770 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000000025f4c (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000000026874 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000000031640 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000000023768 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000000005ef8 (__TEXT,__text) external __kernelrpc_thread_policy
0000000000006f38 (__TEXT,__text) external __kernelrpc_thread_policy_set
000000000002f500 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000c7b4 (__TEXT,__text) external __kernelrpc_vm_map
0000000000030a18 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000000009e04 (__TEXT,__text) external __kernelrpc_vm_read
0000000000003528 (__TEXT,__text) external __kernelrpc_vm_remap
0000000000030b6c (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000f884 (__TEXT,__text) non-external __libkernel_bzero
00000000000446a0 (__DATA_DIRTY,__bss) non-external __libkernel_functions
000000000003c000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000f918 (__TEXT,__text) non-external __libkernel_memmove
000000000000f890 (__TEXT,__text) non-external __libkernel_memset
000000000000f84c (__TEXT,__text) non-external __libkernel_strchr
0000000000006a18 (__TEXT,__text) non-external __libkernel_strcmp
000000000000fce8 (__TEXT,__text) non-external __libkernel_strcpy
0000000000044008 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000000000105a4 (__TEXT,__text) non-external __libkernel_strlcpy
000000000000f624 (__TEXT,__text) non-external __libkernel_strlen
0000000000044010 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000000031fa8 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000000011bc8 (__TEXT,__text) non-external __mach_continuous_time
000000000003d970 (__DATA_CONST,__const) external __mach_errors
00000000000120d0 (__TEXT,__text) external __mach_fork_child
0000000000012a94 (__TEXT,__text) external __mach_snprintf
0000000000012920 (__TEXT,__text) external __mach_vsnprintf
0000000000044058 (__DATA_DIRTY,__common) external __os_alloc_once_table
000000000004021c (__DATA,__common) external __os_xbs_chrooted
0000000000007610 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000000000fd1c (__TEXT,__text) non-external __posix_spawn_with_filter
00000000000141fc (__TEXT,__text) external __register_gethostuuid_callback
000000000000fa30 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000000000fad8 (__TEXT,__text) non-external __system_version_compat_open_shim
00000000000446b4 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000000000f5f4 (__TEXT,__text) external __thread_set_tsd_base
0000000000031d30 (__TEXT,__text) non-external _abort
0000000000031d50 (__TEXT,__text) non-external _abort.561
0000000000031d70 (__TEXT,__text) non-external _abort.563
0000000000031d90 (__TEXT,__text) non-external _abort.580
0000000000031e54 (__TEXT,__text) external _abort_with_payload
0000000000031dcc (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000000031db0 (__TEXT,__text) external _abort_with_reason
0000000000008ffc (__TEXT,__text) external _accept
000000000000d210 (__TEXT,__text) external _accept$NOCANCEL
0000000000001b58 (__TEXT,__text) external _access
000000000000d238 (__TEXT,__text) external _accessx_np
000000000000e294 (__TEXT,__text) external _acct
000000000002de74 (__TEXT,__text) external _act_get_state
000000000002e0bc (__TEXT,__text) external _act_set_state
000000000000e2bc (__TEXT,__text) external _adjtime
000000000000e2e4 (__TEXT,__text) external _aio_cancel
000000000000e30c (__TEXT,__text) external _aio_error
000000000000e334 (__TEXT,__text) external _aio_fsync
000000000000e35c (__TEXT,__text) external _aio_read
000000000000e384 (__TEXT,__text) external _aio_return
000000000000e3ac (__TEXT,__text) external _aio_suspend
000000000000d260 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000000e3d4 (__TEXT,__text) external _aio_write
000000000000e3fc (__TEXT,__text) external _audit
000000000000bf74 (__TEXT,__text) external _audit_session_join
000000000000bddc (__TEXT,__text) external _audit_session_port
0000000000004ff4 (__TEXT,__text) external _audit_session_self
000000000000e424 (__TEXT,__text) external _auditctl
0000000000009fdc (__TEXT,__text) external _auditon
00000000000084c4 (__TEXT,__text) external _bind
000000000004401c (__DATA_DIRTY,__common) external _bootstrap_port
000000000000f604 (__TEXT,__text) non-external _bzero
00000000000028f4 (__TEXT,__text) external _cerror
0000000000001af0 (__TEXT,__text) external _cerror_nocancel
0000000000004f40 (__TEXT,__text) external _change_fdguard_np
0000000000002a44 (__TEXT,__text) external _chdir
00000000000089c4 (__TEXT,__text) external _chflags
0000000000004a10 (__TEXT,__text) external _chmod
000000000000849c (__TEXT,__text) external _chown
000000000000e44c (__TEXT,__text) external _chroot
000000000001d0d0 (__TEXT,__text) external _clock_alarm
000000000001cea4 (__TEXT,__text) external _clock_alarm_reply
000000000001cf08 (__TEXT,__text) external _clock_get_attributes
0000000000006388 (__TEXT,__text) external _clock_get_time
000000000001cd50 (__TEXT,__text) external _clock_set_attributes
000000000001cc38 (__TEXT,__text) external _clock_set_time
000000000000c714 (__TEXT,__text) external _clock_sleep
00000000000011e0 (__TEXT,__text) external _clock_sleep_trap
000000000000a708 (__TEXT,__text) external _clonefile
0000000000005bfc (__TEXT,__text) external _clonefileat
0000000000001c9c (__TEXT,__text) external _close
00000000000028a4 (__TEXT,__text) external _close$NOCANCEL
0000000000019808 (__TEXT,__text) external _coalition_create
00000000000198a4 (__TEXT,__text) external _coalition_info_debug_info
0000000000019870 (__TEXT,__text) external _coalition_info_resource_usage
000000000001990c (__TEXT,__text) external _coalition_info_set_efficiency
00000000000198d8 (__TEXT,__text) external _coalition_info_set_name
0000000000019944 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000000019844 (__TEXT,__text) external _coalition_reap
0000000000019818 (__TEXT,__text) external _coalition_terminate
0000000000005284 (__TEXT,__text) external _connect
000000000000510c (__TEXT,__text) external _connect$NOCANCEL
00000000000052fc (__TEXT,__text) external _connectx
0000000000002b9c (__TEXT,__text) external _csops
0000000000001ac8 (__TEXT,__text) external _csops_audittoken
0000000000001ba8 (__TEXT,__text) external _csr_check
0000000000009340 (__TEXT,__text) external _csr_get_active_config
000000000000127c (__TEXT,__text) external _debug_control_port_for_pid
0000000000019b2c (__TEXT,__text) external _debug_syscall_reject
0000000000019a20 (__TEXT,__text) external _debug_syscall_reject_config
00000000000401b0 (__DATA,__data) external _denap_boost_assertion_token
000000000000e474 (__TEXT,__text) external _disconnectx
0000000000007468 (__TEXT,__text) non-external _do_compat
000000000000539c (__TEXT,__text) external _dup
00000000000090dc (__TEXT,__text) external _dup2
000000000003ce10 (__DATA_CONST,__const) non-external _err_codes_auth
000000000003cca0 (__DATA_CONST,__const) non-external _err_codes_env_mgr
000000000003d008 (__DATA_CONST,__const) non-external _err_codes_exception
000000000003cce0 (__DATA_CONST,__const) non-external _err_codes_execd
