                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
0000000240f49104 (__TEXT,__text) external _DRBufferAsResource
0000000240f49ad0 (__TEXT,__text) external _DRCommitQueueApplyThrough
0000000240f49bec (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
0000000240f49bf4 (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
0000000240f499d8 (__TEXT,__text) external _DRCommitQueueEnumerate
0000000240f49b9c (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
0000000240f49ba4 (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
0000000240f49bb4 (__TEXT,__text) external _DRCommitQueueTakeFrom
0000000240f49bd0 (__TEXT,__text) external _DRCommitQueueTakeThrough
0000000240f48458 (__TEXT,__text) external _DRContextCommit
0000000240f48638 (__TEXT,__text) external _DRContextCommitAddCommandBuffer
0000000240f485b8 (__TEXT,__text) external _DRContextCommitAddFence
0000000240f47e9c (__TEXT,__text) external _DRContextConfigCreate
0000000240f47f60 (__TEXT,__text) external _DRContextConfigGetMode
0000000240f47f80 (__TEXT,__text) external _DRContextConfigSetDevice
0000000240f47f08 (__TEXT,__text) external _DRContextConfigSetDispatchQueue
0000000240f47f70 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
0000000240f47f58 (__TEXT,__text) external _DRContextConfigSetMode
0000000240f47f68 (__TEXT,__text) external _DRContextConfigSetReuseStrategy
0000000240f47f78 (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
0000000240f47ffc (__TEXT,__text) external _DRContextCreate
0000000240f48360 (__TEXT,__text) external _DRContextCreateBuffer
0000000240f497c8 (__TEXT,__text) external _DRContextCreateClient
0000000240f49980 (__TEXT,__text) external _DRContextCreateCommitQueue
0000000240f48088 (__TEXT,__text) external _DRContextCreateMesh
0000000240f4813c (__TEXT,__text) external _DRContextCreateTexture
0000000240f481f0 (__TEXT,__text) external _DRContextCreateTextureFromResource
0000000240f4854c (__TEXT,__text) external _DRContextGetCommitUserPayload
0000000240f48414 (__TEXT,__text) external _DRContextHasOpenCommit
0000000240f48a4c (__TEXT,__text) external _DRContextSetChangeObserver
0000000240f484b8 (__TEXT,__text) external _DRContextSetCommitUserPayload
0000000240f486c4 (__TEXT,__text) external _DRContextSetOnCommitBegan
0000000240f4889c (__TEXT,__text) external _DRContextSetOnCommitComplete
0000000240f47908 (__TEXT,__text) external _DRFenceCreate
0000000240f47968 (__TEXT,__text) external _DRFenceGetLabel
0000000240f47958 (__TEXT,__text) external _DRFenceInvalidate
0000000240f491a0 (__TEXT,__text) external _DRMaterialAsResource
0000000240f4b220 (__TEXT,__const) external _DRMaxVertexBuffers
0000000240f49510 (__TEXT,__text) external _DRMemoryResourceCopyBuffer
0000000240f49544 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
0000000240f494dc (__TEXT,__text) external _DRMemoryResourceCreate
0000000240f49644 (__TEXT,__text) external _DRMemoryResourceCreateFromSharedTextureHandle
0000000240f49570 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
0000000240f495e0 (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
0000000240f495d0 (__TEXT,__text) external _DRMemoryResourceGetBytes
0000000240f495c8 (__TEXT,__text) external _DRMemoryResourceGetLength
0000000240f495c0 (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
0000000240f48fa0 (__TEXT,__text) external _DRMeshAsResource
0000000240f46a80 (__TEXT,__text) external _DRMeshCopyDescriptor
0000000240f469a8 (__TEXT,__text) external _DRMeshCreateUnmanaged
0000000240f470f4 (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
0000000240f4651c (__TEXT,__text) external _DRMeshDescriptorCreate
0000000240f46570 (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
0000000240f46580 (__TEXT,__text) external _DRMeshDescriptorGetIndexType
0000000240f46590 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
0000000240f4672c (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
0000000240f46550 (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
0000000240f46560 (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
0000000240f46928 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
0000000240f46790 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
0000000240f46578 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
0000000240f46588 (__TEXT,__text) external _DRMeshDescriptorSetIndexType
0000000240f465a0 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
0000000240f4676c (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
0000000240f46558 (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
0000000240f46568 (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
0000000240f46974 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
0000000240f467ac (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
0000000240f46d2c (__TEXT,__text) external _DRMeshGetIndexCapacity
0000000240f46eac (__TEXT,__text) external _DRMeshGetPartAt
0000000240f46d34 (__TEXT,__text) external _DRMeshGetPartCount
0000000240f46f8c (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
0000000240f46d24 (__TEXT,__text) external _DRMeshGetVertexCapacity
0000000240f47400 (__TEXT,__text) external _DRMeshReadIndices
0000000240f47664 (__TEXT,__text) external _DRMeshReadIndicesUsing
0000000240f47184 (__TEXT,__text) external _DRMeshReadVertices
0000000240f47634 (__TEXT,__text) external _DRMeshReadVerticesUsing
0000000240f474bc (__TEXT,__text) external _DRMeshReplaceIndices
0000000240f47684 (__TEXT,__text) external _DRMeshReplaceIndicesUsing
0000000240f47268 (__TEXT,__text) external _DRMeshReplaceVertices
0000000240f47654 (__TEXT,__text) external _DRMeshReplaceVerticesUsing
0000000240f46d80 (__TEXT,__text) external _DRMeshSetPartAt
0000000240f46d6c (__TEXT,__text) external _DRMeshSetPartCount
0000000240f47018 (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
0000000240f47578 (__TEXT,__text) external _DRMeshUpdateIndices
0000000240f47674 (__TEXT,__text) external _DRMeshUpdateIndicesUsing
0000000240f47334 (__TEXT,__text) external _DRMeshUpdateVertices
0000000240f47644 (__TEXT,__text) external _DRMeshUpdateVerticesUsing
0000000240f464e4 (__TEXT,__text) external _DRRelease
0000000240f49078 (__TEXT,__text) external _DRResourceAsBuffer
0000000240f49114 (__TEXT,__text) external _DRResourceAsMaterial
0000000240f48f14 (__TEXT,__text) external _DRResourceAsMesh
0000000240f48fdc (__TEXT,__text) external _DRResourceAsTexture
0000000240f48f0c (__TEXT,__text) external _DRResourceGetClientIdentifier
0000000240f48efc (__TEXT,__text) external _DRResourceGetIdentifier
0000000240f491b0 (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
0000000240f4a1e4 (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
0000000240f4a1b8 (__TEXT,__text) external _DRResourcesCommitCopyToXPC
0000000240f4a24c (__TEXT,__text) external _DRResourcesCommitGetId
0000000240f4a254 (__TEXT,__text) external _DRResourcesCommitGetUserPayload
0000000240f4a23c (__TEXT,__text) external _DRResourcesCommitHasEvent
0000000240f464e0 (__TEXT,__text) external _DRRetain
0000000240f49068 (__TEXT,__text) external _DRTextureAsResource
0000000240f47b30 (__TEXT,__text) external _DRTextureCopyDescriptor
0000000240f47994 (__TEXT,__text) external _DRTextureCreateUnmanaged
0000000240f47a6c (__TEXT,__text) external _DRTextureDescriptorCreate
0000000240f47b10 (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
0000000240f47ac0 (__TEXT,__text) external _DRTextureDescriptorGetDepth
0000000240f47ab0 (__TEXT,__text) external _DRTextureDescriptorGetHeight
0000000240f47ad0 (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
0000000240f47ae0 (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
0000000240f47b20 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
0000000240f47af0 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
0000000240f47b00 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
0000000240f47aa0 (__TEXT,__text) external _DRTextureDescriptorGetWidth
0000000240f47b18 (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
0000000240f47ac8 (__TEXT,__text) external _DRTextureDescriptorSetDepth
0000000240f47ab8 (__TEXT,__text) external _DRTextureDescriptorSetHeight
0000000240f47ad8 (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
0000000240f47ae8 (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
0000000240f47b28 (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
0000000240f47af8 (__TEXT,__text) external _DRTextureDescriptorSetTextureType
0000000240f47b08 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
0000000240f47aa8 (__TEXT,__text) external _DRTextureDescriptorSetWidth
0000000240f47bc0 (__TEXT,__text) external _DRTextureReadTexture
0000000240f47c30 (__TEXT,__text) external _DRTextureReplaceTexture
0000000240f47cf8 (__TEXT,__text) external _DRTextureReplaceWithMemoryResource
0000000240f47c94 (__TEXT,__text) external _DRTextureTryReplaceTexture
0000000240f47990 (__TEXT,__text) external _DRValidateIndices
0000000240f4b1f8 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
0000000240f4b1b8 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
0000000240f43308 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000240f43320 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000240f43338 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000240f4334c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000240f43360 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000240f43380 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000240f4338c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000240f433b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000240f433d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000298f1ad00 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000298f1ad10 (__DATA_DIRTY,__bss) non-external __MergedGlobals
0000000298f1ad20 (__DATA_DIRTY,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000240f43510 (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
0000000240f4a844 (__TEXT,__text) non-external __Z14ArcObjectClassv.cold.1
0000000240f433e4 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
0000000240f43408 (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
0000000240f4348c (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
0000000240f4afc0 (__TEXT,__const) non-external __ZL9UUID_NULL
0000000240f4aff0 (__TEXT,__const) non-external __ZL9UUID_NULL
0000000240f4b0e0 (__TEXT,__const) non-external __ZL9UUID_NULL
0000000240f4b0f0 (__TEXT,__const) non-external __ZL9UUID_NULL
0000000240f48bd4 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
0000000240f48b88 (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
0000000240f43774 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
0000000240f43628 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
0000000240f43710 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
0000000240f436cc (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
0000000240f43688 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
0000000240f49d34 (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
0000000240f49cbc (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
0000000240f49c6c (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
0000000240f49c30 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
0000000240f4bc0d (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
0000000240f4bb9e (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
00000002900c05e8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
0000000240f4bb83 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
00000002900c05e0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
0000000240f4bdb8 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
00000002900c05d8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
0000000240f4bc47 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
00000002900c05d0 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
00000002900c05c8 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
0000000240f36958 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
0000000240f45a9c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
0000000240f45d98 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
0000000240f45c10 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
0000000240f4a8c8 (__TEXT,__text) non-external __ZN2re10DirectMesh12setPartCountEm.cold.1
0000000240f46240 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
0000000240f45ee8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
0000000240f462e8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
0000000240f4608c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
0000000240f462a8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
0000000240f45fbc (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
0000000240f455a4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
0000000240f46350 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
0000000240f46160 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
0000000240f4543c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
0000000240f46390 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
0000000240f46040 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
0000000240f453a4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
0000000240f459e4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
0000000240f45720 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
0000000240f456a8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
0000000240f457c8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
0000000240f457c4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
0000000240f45724 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
0000000240f2edd8 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
0000000240f4a2bc (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
0000000240f2ee7c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
0000000240f2ec1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
0000000240f2ed1c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
0000000240f2eaf0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPKc
0000000240f2ec20 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
0000000240f2eda0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
0000000240f2ed9c (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
0000000240f2ed20 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
0000000240f4a290 (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
0000000240f37710 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
0000000240f379c8 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
0000000240f3769c (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
0000000240f37888 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
0000000240f37a44 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
0000000240f302e4 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
0000000240f30430 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
0000000240f30044 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
0000000240f2ffc0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
0000000240f30204 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer23replaceContentsInternalENS_9SharedPtrINS_20DirectMemoryResourceEEE
0000000240f2ff04 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
0000000240f304ec (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
0000000240f30618 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
0000000240f30568 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
0000000240f300e8 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
0000000240f30180 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
0000000240f3017c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
0000000240f30134 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
0000000240f395c8 (__TEXT,__text) non-external (was a private external) __ZN2re12commandCountERKNS_22DirectResourceCommandsE
0000000240f37ac8 (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
0000000240f45054 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
0000000240f44ed8 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
0000000240f4b100 (__TEXT,__const) non-external (was a private external) __ZN2re13DirectTexture14kContentsUsageE
0000000240f44abc (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorEPN3MTL7TextureE
0000000240f44950 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14makeDescriptorERKNS_24DirectTextureDescriptionE
0000000240f451b0 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
0000000240f44c40 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
0000000240f451fc (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture17tryReplaceTextureEPN3MTL13CommandBufferE
0000000240f44ee4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
0000000240f44ca4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createENS_9SharedPtrINS_20DirectMemoryResourceEEE
0000000240f44bb4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
0000000240f44d48 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
0000000240f452ac (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
0000000240f45254 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
0000000240f2fdc8 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
0000000240f2fde4 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
0000000240f306d8 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
0000000240f31b70 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
0000000240f31638 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
0000000240f31d30 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16UpdateDirectMeshE
0000000240f322f0 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18CreateDirectBufferE
0000000240f32178 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18DirectBufferValuesE
