00000001f5f39a74 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f5f37520 (__TEXT,__text) non-external -[MGGroupsQueryAgent queries]
00000001f5f374d8 (__TEXT,__text) non-external -[MGGroupsQueryAgent queue]
00000001f5f3709c (__TEXT,__text) non-external -[MGGroupsQueryAgent removeOutstandingQuery:]
00000001f5f37508 (__TEXT,__text) non-external -[MGGroupsQueryAgent setContainers:]
00000001f5f34bc0 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentDeviceIdentifier:]
00000001f5f34a70 (__TEXT,__text) non-external -[MGGroupsQueryAgent setCurrentIdentifier:]
00000001f5f34910 (__TEXT,__text) non-external -[MGGroupsQueryAgent setGroups:]
00000001f5f374e8 (__TEXT,__text) non-external -[MGGroupsQueryAgent setOperations:]
00000001f5f37528 (__TEXT,__text) non-external -[MGGroupsQueryAgent setQueries:]
00000001f5f37518 (__TEXT,__text) non-external -[MGGroupsQueryAgent setVariables:]
00000001f5f37510 (__TEXT,__text) non-external -[MGGroupsQueryAgent variables]
00000001f5f37a2c (__TEXT,__text) non-external -[MGGroupsQueryOperation .cxx_destruct]
00000001f5f379ec (__TEXT,__text) non-external -[MGGroupsQueryOperation agent]
00000001f5f37a0c (__TEXT,__text) non-external -[MGGroupsQueryOperation groups]
00000001f5f375b8 (__TEXT,__text) non-external -[MGGroupsQueryOperation initWithAgent:query:groups:substitutionVariables:]
00000001f5f376e0 (__TEXT,__text) non-external -[MGGroupsQueryOperation main]
00000001f5f379fc (__TEXT,__text) non-external -[MGGroupsQueryOperation query]
00000001f5f37a1c (__TEXT,__text) non-external -[MGGroupsQueryOperation variables]
00000001f5f38ebc (__TEXT,__text) non-external -[MGOutstandingQuery .cxx_destruct]
00000001f5f38eac (__TEXT,__text) non-external -[MGOutstandingQuery identifier]
00000001f5f38e14 (__TEXT,__text) non-external -[MGOutstandingQuery initWithPredicate:]
00000001f5f38eb4 (__TEXT,__text) non-external -[MGOutstandingQuery predicate]
00000001f5f3e498 (__TEXT,__text) non-external -[MGServiceClient .cxx_destruct]
00000001f5f3dc4c (__TEXT,__text) non-external -[MGServiceClient _withLock:]
00000001f5f3de70 (__TEXT,__text) non-external -[MGServiceClient addQuery:]
00000001f5f3e474 (__TEXT,__text) non-external -[MGServiceClient connection]
00000001f5f3db44 (__TEXT,__text) non-external -[MGServiceClient copyWithZone:]
00000001f5f3dba4 (__TEXT,__text) non-external -[MGServiceClient description]
00000001f5f3e290 (__TEXT,__text) non-external -[MGServiceClient enumerateQueriesUsingBlock:]
00000001f5f3db04 (__TEXT,__text) non-external -[MGServiceClient hash]
00000001f5f3d9bc (__TEXT,__text) non-external -[MGServiceClient initWithConnection:]
00000001f5f3da4c (__TEXT,__text) non-external -[MGServiceClient isEqual:]
00000001f5f3e0d8 (__TEXT,__text) non-external -[MGServiceClient outstandingQueryForIdentifier:]
00000001f5f3e47c (__TEXT,__text) non-external -[MGServiceClient queries]
00000001f5f3dfa8 (__TEXT,__text) non-external -[MGServiceClient removeQuery:]
00000001f5f3dcb4 (__TEXT,__text) non-external -[MGServiceClient setQueries:]
00000001f5f3e48c (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00000001f5f3e484 (__TEXT,__text) non-external -[MGServiceClient transaction]
00000001f5f3eba4 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00000001f5f3e554 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00000001f5f3e75c (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00000001f5f3eb94 (__TEXT,__text) non-external -[MGServiceClientSet clients]
00000001f5f3e984 (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00000001f5f3e4e8 (__TEXT,__text) non-external -[MGServiceClientSet init]
00000001f5f3e878 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00000001f5f3e5bc (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00000001f5f3eb9c (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00000001f5f34680 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00000001f5f344a4 (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f5f34678 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f5f343fc (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f5f3454c (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f5f34670 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f5f345bc (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f5f3f650 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f5f3f68c (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f5f3f53c (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f5f3f5f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f5f3f6a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f5f3f54c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f5f3f560 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f5f3f574 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f5f3f6c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f5f3f588 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f5f3f60c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f5f3f5a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f5f3f6d4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f5f3f5b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f5f3f674 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001f5f3f5d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f5f3f628 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f5f3f528 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f5f3f5e4 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f5f38188 (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f5f381e0 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f5f384f0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f5f385bc (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f5f389bc (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f5f38a64 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f5f389c4 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f5f38d78 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f5f38cd8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f5f38c3c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f5f3891c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00000001f5f38ba0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f5f38b00 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f5f38130 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f5f38f00 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00000002141df600 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
00000002171e9720 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
00000002171e96f8 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f5f38128 (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f5f37c0c (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f5f3f508 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f5f3f4c8 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
0000000218f83c98 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
0000000218f83ae0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
0000000218f83ab8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
0000000218f83ba8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
0000000218f83bd0 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
0000000218f83c48 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
0000000218f83ce8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
0000000218f83d38 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
0000000218f83b58 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000002171e9490 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
00000002171e948c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
00000002171e9494 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
00000002171e9488 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
00000002171e9484 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
00000002171e9498 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
00000002171e9434 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
00000002171e9438 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
00000002171e9430 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
00000002171e9424 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
00000002171e9420 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
00000002171e9428 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
00000002171e942c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
00000002171e9460 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
00000002171e945c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
00000002171e944c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
00000002171e9458 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
00000002171e9448 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
00000002171e9454 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
00000002171e9468 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
00000002171e9450 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
00000002171e9464 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
00000002171e947c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
00000002171e9480 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
00000002171e94a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
00000002171e949c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
00000002171e94a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
00000002171e94a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
00000002171e94b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
00000002171e94ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
00000002171e943c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
00000002171e9444 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
00000002171e9440 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
0000000218f83cc0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
0000000218f83b30 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
0000000218f83b08 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
0000000218f83bf8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
0000000218f83c20 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
0000000218f83c70 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
0000000218f83d10 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
0000000218f83d60 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
0000000218f83b80 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f5f35f78 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f5f3870c (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
00000002171e946c (__DATA,__objc_ivar) non-external __MergedGlobals
00000002171e9728 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f5f3f200 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f5f3f218 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f5f3ee70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f5f3eec0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f5f3f030 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f5f3f168 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f5f3f1c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f5f3f3a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f5f3f460 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f5f3efd0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00000002141e0570 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00000002141df7c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00000002141df6e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00000002141dfcc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
00000002141dfe78 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
00000002141e0078 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00000002141e06e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00000002141e07a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00000002141dfbe8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00000002141e0638 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00000002141df810 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00000002141df790 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00000002141dfdf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00000002141dff00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00000002141e00c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00000002141e0768 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00000002141e07e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
00000002141dfc50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
00000002141dfa28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002141e02d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002141dff48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
00000002141dff70 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
