                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811ee71d2 (__TEXT,__text) non-external _au_assemble
00007ff811ef3535 (__TEXT,__text) external _audit_set_class
00007ff811ef319d (__TEXT,__text) external _audit_set_cond
00007ff811ef35f9 (__TEXT,__text) external _audit_set_fsize
00007ff811ef34d3 (__TEXT,__text) external _audit_set_kaudit
00007ff811ef3597 (__TEXT,__text) external _audit_set_kmask
00007ff811ef362a (__TEXT,__text) external _audit_set_pmask
00007ff811ef326b (__TEXT,__text) external _audit_set_policy
00007ff811ef33e2 (__TEXT,__text) external _audit_set_qctrl
00007ff811ef32e9 (__TEXT,__text) external _audit_set_sflags
00007ff811ef3323 (__TEXT,__text) external _audit_set_sflags_mask
00007ff811ef36ee (__TEXT,__text) external _audit_set_stat
00007ff811ef2b78 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff811ef2aa2 (__TEXT,__text) external _audit_set_terminal_id
00007ff811ef2c1c (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff811ef2ad7 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff811ef25da (__TEXT,__text) external _audit_submit
00007ff811ee66a0 (__TEXT,__text) external _audit_token_to_asid
00007ff811ee66e8 (__TEXT,__text) external _audit_token_to_au32
00007ff811ee66c4 (__TEXT,__text) external _audit_token_to_auid
00007ff811ee66cd (__TEXT,__text) external _audit_token_to_egid
00007ff811ee66b2 (__TEXT,__text) external _audit_token_to_euid
00007ff811ee66a9 (__TEXT,__text) external _audit_token_to_pid
00007ff811ee66df (__TEXT,__text) external _audit_token_to_pidversion
00007ff811ee66d6 (__TEXT,__text) external _audit_token_to_rgid
00007ff811ee66bb (__TEXT,__text) external _audit_token_to_ruid
00007ff811ef2c51 (__TEXT,__text) external _audit_write
00007ff811ef2f14 (__TEXT,__text) external _audit_write_failure
00007ff811ef2fd9 (__TEXT,__text) external _audit_write_failure_ex
00007ff811ef313b (__TEXT,__text) external _audit_write_failure_na
00007ff811ef316c (__TEXT,__text) external _audit_write_failure_na_ex
00007ff811ef309e (__TEXT,__text) external _audit_write_failure_self
00007ff811ef2dd3 (__TEXT,__text) external _audit_write_success
00007ff811ef2e4a (__TEXT,__text) external _audit_write_success_ex
00007ff811ef2ec1 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff811eeea63 (__TEXT,__text) non-external _be64dec
00007ff811ef5300 (__TEXT,__const) non-external _bsm_domains
00007ff8414b2f50 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff811ef5580 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff811ef5530 (__TEXT,__const) non-external _bsm_socket_types
00007ff811eef92e (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff811eeef33 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff811ee7d75 (__TEXT,__text) external _endac
00007ff811ee79d3 (__TEXT,__text) external _endauclass
00007ff811ee86bf (__TEXT,__text) external _endauevent
00007ff811ef217d (__TEXT,__text) external _endauuser
00007ff843c68ce8 (__DATA,__bss) non-external _ev_cache
00007ff811ee8b5a (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff811eea23d (__TEXT,__text) non-external _fetch_arb_tok
00007ff811ee93af (__TEXT,__text) non-external _fetch_arg32_tok
00007ff811ee9424 (__TEXT,__text) non-external _fetch_arg64_tok
00007ff811ee9499 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff811ee9547 (__TEXT,__text) non-external _fetch_attr64_tok
00007ff811eea2b9 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff811ee9649 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff811ee9649 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff811ee9606 (__TEXT,__text) non-external _fetch_exit_tok
00007ff811ee96c9 (__TEXT,__text) non-external _fetch_file_tok
00007ff811ee8ff8 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff811ee8f48 (__TEXT,__text) non-external _fetch_header32_tok
00007ff811ee9201 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff811ee913c (__TEXT,__text) non-external _fetch_header64_tok
00007ff811eea337 (__TEXT,__text) non-external _fetch_identity_tok
00007ff811ee97ae (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff811ee9813 (__TEXT,__text) non-external _fetch_ip_tok
00007ff811ee991e (__TEXT,__text) non-external _fetch_ipc_tok
00007ff811ee995f (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff811eea2b9 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff811ee9740 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff811ee9a27 (__TEXT,__text) non-external _fetch_process32_tok
00007ff811ee9b27 (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff811ee9c5a (__TEXT,__text) non-external _fetch_process64_tok
00007ff811ee9d6d (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff811ee991e (__TEXT,__text) non-external _fetch_return32_tok
00007ff811ee9eda (__TEXT,__text) non-external _fetch_return64_tok
00007ff811eea09c (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff811ee9fa9 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff811eea007 (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff811ee9f1d (__TEXT,__text) non-external _fetch_socket_tok
00007ff811eea0fe (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff811ee9a27 (__TEXT,__text) non-external _fetch_subject32_tok
00007ff811ee9b27 (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff811ee9c5a (__TEXT,__text) non-external _fetch_subject64_tok
00007ff811ee9d6d (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff811ee9368 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843c68ce0 (__DATA,__bss) non-external _firsttime
00007ff811eef78e (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff843711100 (__DATA_DIRTY,__bss) non-external _fp
00007ff843711110 (__DATA_DIRTY,__bss) non-external _fp
00007ff843711120 (__DATA_DIRTY,__bss) non-external _fp
00007ff843711130 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff811ee7dae (__TEXT,__text) external _getacdir
00007ff811ee838a (__TEXT,__text) external _getacexpire
00007ff811ee7fe6 (__TEXT,__text) external _getacfilesz
00007ff811ee8136 (__TEXT,__text) external _getacflg
00007ff811ee82f7 (__TEXT,__text) external _getachost
00007ff811ee7f83 (__TEXT,__text) external _getacmin
00007ff811ee81c2 (__TEXT,__text) external _getacna
00007ff811ee824e (__TEXT,__text) external _getacpol
00007ff811ee82e1 (__TEXT,__text) external _getacsflagsmask
00007ff811ee7769 (__TEXT,__text) external _getauclassent
00007ff843c689c8 (__DATA,__bss) non-external _getauclassent.c
00007ff843c68980 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843c68970 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843c689e0 (__DATA,__bss) non-external _getauclassent.cp
00007ff811ee75e4 (__TEXT,__text) external _getauclassent_r
00007ff811ee7618 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff811ee78a6 (__TEXT,__text) external _getauclassnam
00007ff843c68a38 (__DATA,__bss) non-external _getauclassnam.c
00007ff843c689f0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843c689e8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff811ee782d (__TEXT,__text) external _getauclassnam_r
00007ff811ee796e (__TEXT,__text) external _getauclassnum
00007ff843c68aa8 (__DATA,__bss) non-external _getauclassnum.c
00007ff843c68a60 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843c68a50 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff811ee790c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff811ee8c72 (__TEXT,__text) external _getauditflagsbin
00007ff811ee8dc7 (__TEXT,__text) external _getauditflagschar
00007ff811ee87ac (__TEXT,__text) external _getauevent
00007ff843c68b28 (__DATA,__bss) non-external _getauevent.e
00007ff843c68af0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843c68ad0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff811ee86f8 (__TEXT,__text) external _getauevent_r
00007ff811ee8902 (__TEXT,__text) external _getauevnam
00007ff843c68ba8 (__DATA,__bss) non-external _getauevnam.e
00007ff843c68b70 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843c68b50 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff811ee8816 (__TEXT,__text) external _getauevnam_r
00007ff811ee8b46 (__TEXT,__text) external _getauevnonam
00007ff843c68cd0 (__DATA,__bss) non-external _getauevnonam.event
00007ff811ee8ab4 (__TEXT,__text) external _getauevnonam_r
00007ff843c68ca8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843c68cc8 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843c68c70 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843c68c50 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff811ee8a48 (__TEXT,__text) external _getauevnum
00007ff843c68c28 (__DATA,__bss) non-external _getauevnum.e
00007ff843c68bf0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843c68bd0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff811ee896f (__TEXT,__text) external _getauevnum_r
00007ff811ef232f (__TEXT,__text) external _getauuserent
00007ff843c68d28 (__DATA,__bss) non-external _getauuserent.u
00007ff843c68cf0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff811ef21b6 (__TEXT,__text) external _getauuserent_r
00007ff811ef21ea (__TEXT,__text) non-external _getauuserent_r_locked
00007ff811ef2408 (__TEXT,__text) external _getauusernam
00007ff843c68d78 (__DATA,__bss) non-external _getauusernam.u
00007ff843c68d40 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff811ef239d (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff811ef2512 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff811ee7e35 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff843710d00 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843710e00 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843710f00 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843711000 (__DATA_DIRTY,__bss) non-external _linestr
00007ff811eef6aa (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff843710b80 (__DATA_DIRTY,__data) non-external _mutex
00007ff843710bc0 (__DATA_DIRTY,__data) non-external _mutex
00007ff843710c00 (__DATA_DIRTY,__data) non-external _mutex
00007ff843710c40 (__DATA_DIRTY,__data) non-external _mutex
00007ff843710c80 (__DATA_DIRTY,__data) non-external _mutex
00007ff843710cc0 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843c688d0 (__DATA,__bss) non-external _open_desc_table
00007ff811eeede4 (__TEXT,__text) non-external _print_event
00007ff811eef403 (__TEXT,__text) non-external _print_group
00007ff811eef1ac (__TEXT,__text) non-external _print_ip_ex_address
00007ff811eef4b6 (__TEXT,__text) non-external _print_ipctype
00007ff811eef446 (__TEXT,__text) non-external _print_mem
00007ff811eef51f (__TEXT,__text) non-external _print_retval
00007ff811eeeeac (__TEXT,__text) non-external _print_sec32
00007ff811eef24c (__TEXT,__text) non-external _print_sec64
00007ff811eef2d2 (__TEXT,__text) non-external _print_string
00007ff811eeea6f (__TEXT,__text) non-external _print_tok_type
00007ff811eef3c0 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff811ee7cd9 (__TEXT,__text) external _setac
00007ff811ee7d01 (__TEXT,__text) non-external _setac_locked
00007ff843c68ac8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff811ee77fb (__TEXT,__text) external _setauclass
00007ff811ee868d (__TEXT,__text) external _setauevent
00007ff811ef214b (__TEXT,__text) external _setauuser
00007ff811ee8563 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff843711144 (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
