                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b0fc01a (__TEXT,__text) external ___absvdi2
00007ff80b0fe54e (__TEXT,__text) external ___fixdfti
00007ff80b0fe619 (__TEXT,__text) external ___fixsfdi
00007ff80b0fe637 (__TEXT,__text) external ___fixsfti
00007ff80b0fbe86 (__TEXT,__text) external ___fixunsdfdi
00007ff80b0fe6e1 (__TEXT,__text) external ___fixunsdfsi
00007ff80b0fe72d (__TEXT,__text) external ___fixunsdfti
00007ff80b0fe7ad (__TEXT,__text) external ___fixunssfdi
00007ff80b0fe7f2 (__TEXT,__text) external ___fixunssfsi
00007ff80b0fe83c (__TEXT,__text) external ___fixunssfti
00007ff80b0fbec9 (__TEXT,__text) external ___fixunsxfdi
00007ff80b0fe8b1 (__TEXT,__text) external ___fixunsxfsi
00007ff80b0fe924 (__TEXT,__text) external ___fixunsxfti
00007ff80b0fe9db (__TEXT,__text) external ___fixxfdi
00007ff80b0fea78 (__TEXT,__text) external ___fixxfti
00007ff80b0feb5e (__TEXT,__text) external ___floatdidf
00007ff80b0feb64 (__TEXT,__text) external ___floatdisf
00007ff80b0feb6a (__TEXT,__text) external ___floatdixf
00007ff80b0feb74 (__TEXT,__text) external ___floattidf
00007ff80b0fec8c (__TEXT,__text) external ___floattisf
00007ff80b0fed8e (__TEXT,__text) external ___floattixf
00007ff80b0feec0 (__TEXT,__text) external ___floatundidf
00007ff80b0feeec (__TEXT,__text) external ___floatundisf
00007ff80b0fef18 (__TEXT,__text) external ___floatundixf
00007ff80b0fef2e (__TEXT,__text) external ___floatuntidf
00007ff80b0ff036 (__TEXT,__text) external ___floatuntisf
00007ff80b0ff0fe (__TEXT,__text) external ___floatuntixf
00007ff80b0ff204 (__TEXT,__text) external ___gcc_personality_v0
00007ff80b100975 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80b0fe4f0 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80b0ff4b0 (__TEXT,__text) external ___lshrdi3
00007ff80b0ff4de (__TEXT,__text) external ___lshrti3
00007ff80b0fbf40 (__TEXT,__text) external ___moddi3
00007ff80b0ff506 (__TEXT,__text) external ___modti3
00007ff80b0ff56e (__TEXT,__text) external ___muldc3
00007ff80b0ff750 (__TEXT,__text) external ___muldi3
00007ff80b0ff7cf (__TEXT,__text) external ___mulodi4
00007ff80b0ff85e (__TEXT,__text) external ___mulosi4
00007ff80b0ff8d1 (__TEXT,__text) external ___muloti4
00007ff80b0ff9d8 (__TEXT,__text) external ___mulsc3
00007ff80b0ffc1a (__TEXT,__text) external ___multi3
00007ff80b0ffc72 (__TEXT,__text) external ___mulvdi3
00007ff80b0ffd71 (__TEXT,__text) external ___mulvsi3
00007ff80b0ffe4d (__TEXT,__text) external ___mulvti3
00007ff80b0fffd4 (__TEXT,__text) external ___mulxc3
00007ff80b100339 (__TEXT,__text) external ___negdi2
00007ff80b100340 (__TEXT,__text) external ___negti2
00007ff80b10034c (__TEXT,__text) external ___negvdi2
00007ff80b10037b (__TEXT,__text) external ___negvsi2
00007ff80b1003a1 (__TEXT,__text) external ___negvti2
00007ff80b1003d3 (__TEXT,__text) external ___paritydi2
00007ff80b1003ff (__TEXT,__text) external ___paritysi2
00007ff80b100422 (__TEXT,__text) external ___parityti2
00007ff80b100451 (__TEXT,__text) external ___popcountdi2
00007ff80b1004b3 (__TEXT,__text) external ___popcountsi2
00007ff80b1004ec (__TEXT,__text) external ___popcountti2
00007ff80b10057a (__TEXT,__text) external ___powidf2
00007ff80b1005ce (__TEXT,__text) external ___powisf2
00007ff80b10061f (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80b10067d (__TEXT,__text) external ___subvdi3
00007ff80b1006c5 (__TEXT,__text) external ___subvsi3
00007ff80b100708 (__TEXT,__text) external ___subvti3
00007ff80b10075c (__TEXT,__text) external ___truncdfhf2
00007ff80b100889 (__TEXT,__text) external ___truncsfhf2
00007ff80b10097a (__TEXT,__text) external ___ucmpdi2
00007ff80b1009a9 (__TEXT,__text) external ___ucmpti2
00007ff80b0fbd84 (__TEXT,__text) external ___udivdi3
00007ff80b1009cd (__TEXT,__text) external ___udivmoddi4
00007ff80b0fbcc4 (__TEXT,__text) external ___udivmodti4
00007ff80b0fbcbc (__TEXT,__text) external ___udivti3
00007ff80b0fbe05 (__TEXT,__text) external ___umoddi3
00007ff80b100c2a (__TEXT,__text) external ___umodti3
00007ff80b0fd2c4 (__TEXT,__text) external _atomic_flag_clear
00007ff80b0fd2c9 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80b0fd2dc (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80b0fd2e4 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80b0fd318 (__TEXT,__text) external _atomic_signal_fence
00007ff80b0fd344 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff842306330 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80b0ff39e (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80b101730 (__TEXT,__const) non-external two
00007ff80b101700 (__TEXT,__const) non-external twop52
00007ff80b101740 (__TEXT,__const) non-external twop64
00007ff80b101720 (__TEXT,__const) non-external twop84
00007ff80b101710 (__TEXT,__const) non-external twop84_plus_twop52
