                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000209a7fc28 (__TEXT,__text) external __crypt_blowfish_rn
0000000209a7c814 (__TEXT,__text) external _apr_bucket_shared_split
0000000209a7c8a4 (__TEXT,__text) external _apr_bucket_simple_copy
0000000209a7c8fc (__TEXT,__text) external _apr_bucket_simple_split
0000000209a7caec (__TEXT,__text) external _apr_bucket_socket_create
0000000209a7cad4 (__TEXT,__text) external _apr_bucket_socket_make
0000000209a7b7d0 (__TEXT,__text) external _apr_bucket_split_notimpl
0000000209a7ca20 (__TEXT,__text) external _apr_bucket_transient_create
0000000209a7ca0c (__TEXT,__text) external _apr_bucket_transient_make
000000021b3dead0 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000021b3deb08 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000021b3deb40 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000021b3deb78 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000021b3dec58 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000021b3debb0 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000021b3debe8 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000021b3dec20 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000021b3decc8 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000021b3dec90 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
0000000217ae6840 (__DATA,__common) external _apr_current_hooking_module
0000000209a8813c (__TEXT,__text) external _apr_date_checkmask
0000000209a88288 (__TEXT,__text) external _apr_date_parse_http
0000000209a8865c (__TEXT,__text) external _apr_date_parse_rfc
0000000209a828f4 (__TEXT,__text) external _apr_dbd_check_conn
0000000209a82914 (__TEXT,__text) external _apr_dbd_close
0000000209a830c4 (__TEXT,__text) external _apr_dbd_datum_get
0000000209a82904 (__TEXT,__text) external _apr_dbd_error
0000000209a82aa8 (__TEXT,__text) external _apr_dbd_escape
0000000209a8280c (__TEXT,__text) external _apr_dbd_get_driver
0000000209a82a88 (__TEXT,__text) external _apr_dbd_get_entry
0000000209a82a98 (__TEXT,__text) external _apr_dbd_get_name
0000000209a82a70 (__TEXT,__text) external _apr_dbd_get_row
0000000209a826e8 (__TEXT,__text) external _apr_dbd_init
0000000209a826d0 (__TEXT,__text) external _apr_dbd_mutex_lock
0000000209a826dc (__TEXT,__text) external _apr_dbd_mutex_unlock
0000000209a82a00 (__TEXT,__text) external _apr_dbd_name
0000000209a82a08 (__TEXT,__text) external _apr_dbd_native_handle
0000000209a82a58 (__TEXT,__text) external _apr_dbd_num_cols
0000000209a82a64 (__TEXT,__text) external _apr_dbd_num_tuples
0000000209a82920 (__TEXT,__text) external _apr_dbd_open
0000000209a82850 (__TEXT,__text) external _apr_dbd_open_ex
0000000209a82ffc (__TEXT,__text) external _apr_dbd_pbquery
0000000209a83018 (__TEXT,__text) external _apr_dbd_pbselect
0000000209a82f34 (__TEXT,__text) external _apr_dbd_pquery
0000000209a82abc (__TEXT,__text) external _apr_dbd_prepare
0000000209a82f50 (__TEXT,__text) external _apr_dbd_pselect
0000000209a83038 (__TEXT,__text) external _apr_dbd_pvbquery
0000000209a8307c (__TEXT,__text) external _apr_dbd_pvbselect
0000000209a82f70 (__TEXT,__text) external _apr_dbd_pvquery
0000000209a82fb4 (__TEXT,__text) external _apr_dbd_pvselect
0000000209a82a28 (__TEXT,__text) external _apr_dbd_query
0000000209a82a3c (__TEXT,__text) external _apr_dbd_select
0000000209a82a14 (__TEXT,__text) external _apr_dbd_set_dbname
000000021b3ded58 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
0000000209a82998 (__TEXT,__text) external _apr_dbd_transaction_end
0000000209a829e4 (__TEXT,__text) external _apr_dbd_transaction_mode_get
0000000209a829f0 (__TEXT,__text) external _apr_dbd_transaction_mode_set
0000000209a82928 (__TEXT,__text) external _apr_dbd_transaction_start
0000000209a832a4 (__TEXT,__text) external _apr_dbm_close
0000000209a832c8 (__TEXT,__text) external _apr_dbm_delete
0000000209a832d4 (__TEXT,__text) external _apr_dbm_exists
0000000209a832b0 (__TEXT,__text) external _apr_dbm_fetch
0000000209a832e0 (__TEXT,__text) external _apr_dbm_firstkey
0000000209a832f8 (__TEXT,__text) external _apr_dbm_freedatum
0000000209a833c8 (__TEXT,__text) external _apr_dbm_get_usednames
0000000209a83350 (__TEXT,__text) external _apr_dbm_get_usednames_ex
0000000209a83304 (__TEXT,__text) external _apr_dbm_geterror
0000000209a832ec (__TEXT,__text) external _apr_dbm_nextkey
0000000209a83200 (__TEXT,__text) external _apr_dbm_open
0000000209a830dc (__TEXT,__text) external _apr_dbm_open_ex
0000000209a832bc (__TEXT,__text) external _apr_dbm_store
000000021b3ded00 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
0000000217ae6838 (__DATA,__common) external _apr_debug_module_hooks
0000000209a854e4 (__TEXT,__text) external _apr_dynamic_fn_register
0000000209a85488 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
0000000217ae6830 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
0000000217ae6828 (__DATA,__common) external _apr_hook_debug_current
0000000217ae6820 (__DATA,__common) external _apr_hook_debug_enabled
0000000209a85200 (__TEXT,__text) external _apr_hook_debug_show
0000000209a851ac (__TEXT,__text) external _apr_hook_deregister_all
0000000217ae6818 (__DATA,__common) external _apr_hook_global_pool
0000000209a84ccc (__TEXT,__text) external _apr_hook_sort_all
0000000209a84c74 (__TEXT,__text) external _apr_hook_sort_register
0000000209a8eff4 (__TEXT,__text) external _apr_ldap_get_option
0000000209a8efb4 (__TEXT,__text) external _apr_ldap_info
0000000209a8eef8 (__TEXT,__text) external _apr_ldap_init
0000000209a85568 (__TEXT,__text) external _apr_ldap_is_ldap_url
0000000209a856e8 (__TEXT,__text) external _apr_ldap_is_ldapi_url
0000000209a85698 (__TEXT,__text) external _apr_ldap_is_ldaps_url
0000000209a8f3bc (__TEXT,__text) external _apr_ldap_rebind_add
0000000209a8f328 (__TEXT,__text) external _apr_ldap_rebind_init
0000000209a8f4b4 (__TEXT,__text) external _apr_ldap_rebind_remove
0000000209a8f084 (__TEXT,__text) external _apr_ldap_set_option
0000000209a8eef0 (__TEXT,__text) external _apr_ldap_ssl_deinit
0000000209a8ee24 (__TEXT,__text) external _apr_ldap_ssl_init
0000000209a85de8 (__TEXT,__text) external _apr_ldap_url_parse
0000000209a85738 (__TEXT,__text) external _apr_ldap_url_parse_ext
0000000209a7d5d8 (__TEXT,__text) external _apr_md4
0000000209a7d4cc (__TEXT,__text) external _apr_md4_final
0000000209a7ccd4 (__TEXT,__text) external _apr_md4_init
0000000209a7ccf0 (__TEXT,__text) external _apr_md4_set_xlate
0000000209a7cd48 (__TEXT,__text) external _apr_md4_update
0000000209a7d9bc (__TEXT,__text) external _apr_md5
0000000209a7da48 (__TEXT,__text) external _apr_md5_encode
0000000209a7d8a8 (__TEXT,__text) external _apr_md5_final
0000000209a7d660 (__TEXT,__text) external _apr_md5_init
0000000209a7d67c (__TEXT,__text) external _apr_md5_set_xlate
0000000209a7d6d4 (__TEXT,__text) external _apr_md5_update
0000000209a8675c (__TEXT,__text) external _apr_memcache_add
0000000209a87114 (__TEXT,__text) external _apr_memcache_add_multget_key
0000000209a85e3c (__TEXT,__text) external _apr_memcache_add_server
0000000209a863f8 (__TEXT,__text) external _apr_memcache_create
0000000209a86fc0 (__TEXT,__text) external _apr_memcache_decr
0000000209a86bfc (__TEXT,__text) external _apr_memcache_delete
0000000209a860c0 (__TEXT,__text) external _apr_memcache_disable_server
0000000209a860ac (__TEXT,__text) external _apr_memcache_enable_server
0000000209a86038 (__TEXT,__text) external _apr_memcache_find_server
0000000209a85e74 (__TEXT,__text) external _apr_memcache_find_server_hash
0000000209a85e90 (__TEXT,__text) external _apr_memcache_find_server_hash_default
0000000209a867a4 (__TEXT,__text) external _apr_memcache_getp
0000000209a864f4 (__TEXT,__text) external _apr_memcache_hash
0000000209a86468 (__TEXT,__text) external _apr_memcache_hash_crc32
0000000209a864ac (__TEXT,__text) external _apr_memcache_hash_default
0000000209a86dc4 (__TEXT,__text) external _apr_memcache_incr
0000000209a871c8 (__TEXT,__text) external _apr_memcache_multgetp
0000000209a86780 (__TEXT,__text) external _apr_memcache_replace
0000000209a86104 (__TEXT,__text) external _apr_memcache_server_create
0000000209a8654c (__TEXT,__text) external _apr_memcache_set
0000000209a87a98 (__TEXT,__text) external _apr_memcache_stats
0000000209a86fd8 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
0000000209a85364 (__TEXT,__text) external _apr_optional_hook_add
0000000209a85314 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
0000000209a7e9b4 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
0000000209a83458 (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
0000000209a88eb0 (__TEXT,__text) external _apr_queue_create
0000000209a89400 (__TEXT,__text) external _apr_queue_interrupt_all
0000000209a891f0 (__TEXT,__text) external _apr_queue_pop
0000000209a88fd4 (__TEXT,__text) external _apr_queue_push
0000000209a891e8 (__TEXT,__text) external _apr_queue_size
0000000209a8945c (__TEXT,__text) external _apr_queue_term
0000000209a89320 (__TEXT,__text) external _apr_queue_trypop
0000000209a8910c (__TEXT,__text) external _apr_queue_trypush
0000000209a898d0 (__TEXT,__text) external _apr_reslist_acquire
0000000209a89ba0 (__TEXT,__text) external _apr_reslist_acquired_count
0000000209a89c3c (__TEXT,__text) external _apr_reslist_cleanup_order_set
0000000209a8965c (__TEXT,__text) external _apr_reslist_create
0000000209a898b4 (__TEXT,__text) external _apr_reslist_destroy
0000000209a89bdc (__TEXT,__text) external _apr_reslist_invalidate
0000000209a894bc (__TEXT,__text) external _apr_reslist_maintain
0000000209a89aa4 (__TEXT,__text) external _apr_reslist_release
0000000209a89b98 (__TEXT,__text) external _apr_reslist_timeout_set
0000000209a8a688 (__TEXT,__text) external _apr_rmm_addr_get
0000000209a8a070 (__TEXT,__text) external _apr_rmm_attach
0000000209a8a48c (__TEXT,__text) external _apr_rmm_calloc
0000000209a89ee8 (__TEXT,__text) external _apr_rmm_destroy
0000000209a8a0fc (__TEXT,__text) external _apr_rmm_detach
0000000209a8a694 (__TEXT,__text) external _apr_rmm_free
0000000209a89cec (__TEXT,__text) external _apr_rmm_init
0000000209a8a104 (__TEXT,__text) external _apr_rmm_malloc
0000000209a8a67c (__TEXT,__text) external _apr_rmm_offset_get
0000000209a8a898 (__TEXT,__text) external _apr_rmm_overhead_get
0000000209a8a5b8 (__TEXT,__text) external _apr_rmm_realloc
0000000209a839fc (__TEXT,__text) external _apr_sdbm_close
0000000209a83c90 (__TEXT,__text) external _apr_sdbm_delete
0000000209a83a68 (__TEXT,__text) external _apr_sdbm_fetch
0000000209a840f4 (__TEXT,__text) external _apr_sdbm_firstkey
0000000209a84378 (__TEXT,__text) external _apr_sdbm_lock
0000000209a841e8 (__TEXT,__text) external _apr_sdbm_nextkey
0000000209a83824 (__TEXT,__text) external _apr_sdbm_open
0000000209a83d60 (__TEXT,__text) external _apr_sdbm_rdonly
0000000209a83dc8 (__TEXT,__text) external _apr_sdbm_store
0000000209a84490 (__TEXT,__text) external _apr_sdbm_unlock
0000000209a7fb04 (__TEXT,__text) external _apr_sha1_base64
0000000209a7fa08 (__TEXT,__text) external _apr_sha1_final
0000000209a7ebdc (__TEXT,__text) external _apr_sha1_init
0000000209a7fa04 (__TEXT,__text) external _apr_sha1_update
0000000209a7ec00 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
0000000209a8b988 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
0000000209a8d05c (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
0000000209a8b464 (__TEXT,__text) external _apr_thread_pool_busy_count
0000000209a8a8a8 (__TEXT,__text) external _apr_thread_pool_create
0000000209a8ae8c (__TEXT,__text) external _apr_thread_pool_destroy
0000000209a8b474 (__TEXT,__text) external _apr_thread_pool_idle_count
0000000209a8b49c (__TEXT,__text) external _apr_thread_pool_idle_max_get
0000000209a8b4ac (__TEXT,__text) external _apr_thread_pool_idle_max_set
0000000209a8b4a4 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
0000000209a8b57c (__TEXT,__text) external _apr_thread_pool_idle_wait_set
0000000209a8aeac (__TEXT,__text) external _apr_thread_pool_push
0000000209a8b11c (__TEXT,__text) external _apr_thread_pool_schedule
0000000209a8b454 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
0000000209a8b638 (__TEXT,__text) external _apr_thread_pool_task_owner_get
0000000209a8b28c (__TEXT,__text) external _apr_thread_pool_tasks_cancel
0000000209a8b44c (__TEXT,__text) external _apr_thread_pool_tasks_count
0000000209a8b484 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
0000000209a8b47c (__TEXT,__text) external _apr_thread_pool_tasks_run_count
0000000209a8b58c (__TEXT,__text) external _apr_thread_pool_thread_max_get
0000000209a8b594 (__TEXT,__text) external _apr_thread_pool_thread_max_set
0000000209a8b45c (__TEXT,__text) external _apr_thread_pool_threads_count
0000000209a8b48c (__TEXT,__text) external _apr_thread_pool_threads_high_count
0000000209a8b494 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
0000000209a8b620 (__TEXT,__text) external _apr_thread_pool_threshold_get
0000000209a8b628 (__TEXT,__text) external _apr_thread_pool_threshold_set
0000000209a8b280 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
0000000209a8beb8 (__TEXT,__text) external _apr_uri_parse
0000000209a8c2d4 (__TEXT,__text) external _apr_uri_parse_hostinfo
0000000209a8bc18 (__TEXT,__text) external _apr_uri_port_of_scheme
0000000209a8bc6c (__TEXT,__text) external _apr_uri_unparse
0000000209a823a0 (__TEXT,__text) external _apr_uuid_format
0000000209a82238 (__TEXT,__text) external _apr_uuid_get
0000000209a82428 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
0000000209a8c7e0 (__TEXT,__text) external _apr_xlate_close
0000000209a8c6e8 (__TEXT,__text) external _apr_xlate_conv_buffer
0000000209a8c7c8 (__TEXT,__text) external _apr_xlate_conv_byte
0000000209a8c3dc (__TEXT,__text) external _apr_xlate_open
0000000209a8c6d0 (__TEXT,__text) external _apr_xlate_sb_get
0000000209a8da1c (__TEXT,__text) external _apr_xml_empty_elem
0000000209a8c930 (__TEXT,__text) external _apr_xml_insert_uri
0000000209a8cf9c (__TEXT,__text) external _apr_xml_parse_file
0000000209a8c7fc (__TEXT,__text) external _apr_xml_parser_create
0000000209a8ce48 (__TEXT,__text) external _apr_xml_parser_done
0000000209a8cde0 (__TEXT,__text) external _apr_xml_parser_feed
0000000209a8cec4 (__TEXT,__text) external _apr_xml_parser_geterror
0000000209a8d1d4 (__TEXT,__text) external _apr_xml_quote_elem
0000000209a8d0b0 (__TEXT,__text) external _apr_xml_quote_string
0000000209a8d288 (__TEXT,__text) external _apr_xml_to_text
0000000209a84924 (__TEXT,__text) external _apu__sdbm_chkpage
0000000209a84724 (__TEXT,__text) external _apu__sdbm_delpair
0000000209a84694 (__TEXT,__text) external _apu__sdbm_duppair
0000000209a844cc (__TEXT,__text) external _apu__sdbm_fitpair
0000000209a846d4 (__TEXT,__text) external _apu__sdbm_getnkey
0000000209a84594 (__TEXT,__text) external _apu__sdbm_getpair
0000000209a842c0 (__TEXT,__text) external _apu__sdbm_hash
0000000209a92370 (__TEXT,__const) external _apu__sdbm_nullitem
0000000209a84500 (__TEXT,__text) external _apu__sdbm_putpair
0000000209a847f8 (__TEXT,__text) external _apu__sdbm_splpage
0000000209a8b96c (__TEXT,__text) external _apu_version
0000000209a8b97c (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
                 (undefined) external _ldap_get_option (from LDAP)
                 (undefined) external _ldap_init (from LDAP)
