00007ff814b43845 (__TEXT,__const) non-external _KW_ANY
00007ff814b2cb61 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff814b2be8c (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff814b2be56 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff814b2be7a (__TEXT,__text) external _XML_SetCommentHandler
00007ff814b2bec9 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff814b2bee2 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff814b2befb (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff814b2c001 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff814b2be1f (__TEXT,__text) external _XML_SetElementHandler
00007ff814b2aec0 (__TEXT,__text) external _XML_SetEncoding
00007ff814b2beb7 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff814b2bf26 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff814b2be44 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff814b2bf87 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff814b2c025 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff814b2bfab (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff814b2bfbd (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff814b2c071 (__TEXT,__text) external _XML_SetHashSalt
00007ff814b2bf5c (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff814b2bf99 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff814b2bf4a (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff814b2c049 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff814b2be68 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff814b2cbc0 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff814b2bcf3 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff814b2bfd6 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff814b2bea5 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff814b2bf14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff814b2be35 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff814b2bf75 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff814b2bfe8 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff814b2bf38 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff814b2bd16 (__TEXT,__text) external _XML_SetUserData
00007ff814b2c037 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff814b2c6bf (__TEXT,__text) external _XML_StopParser
00007ff814b43091 (__TEXT,__text) non-external _XML_StopParser.cold.1
00007ff814b2bcc2 (__TEXT,__text) external _XML_UseForeignDTD
00007ff814b2bcb3 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff814b3677b (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff814b36cae (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff814b3676e (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff814b36ca1 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff814b36788 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff814b36cbb (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff814b361fe (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff814b36e9b (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff814b36883 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff814b36d55 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff814b3489c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff814b34980 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff814b361f3 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff814b361a7 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff814b360e9 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff814b36054 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff814b2ef6c (__TEXT,__text) non-external _accountingDiffTolerated
00007ff814b4311d (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff814b30793 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff814b43163 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff814b3082c (__TEXT,__text) non-external _accountingReportStats
00007ff814b331d4 (__TEXT,__text) non-external _addBinding
00007ff814b44cd0 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff814b44d00 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff814b3368e (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff841702d48 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff841703698 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff814b3ee88 (__TEXT,__text) non-external _ascii_toUtf8
00007ff814b34e91 (__TEXT,__text) non-external _attlist0
00007ff814b3558d (__TEXT,__text) non-external _attlist1
00007ff814b355fd (__TEXT,__text) non-external _attlist2
00007ff814b437d8 (__TEXT,__const) non-external _attlist2.types.rel
00007ff814b3582e (__TEXT,__text) non-external _attlist3
00007ff814b3595c (__TEXT,__text) non-external _attlist4
00007ff814b357e8 (__TEXT,__text) non-external _attlist5
00007ff814b358c2 (__TEXT,__text) non-external _attlist6
00007ff814b35908 (__TEXT,__text) non-external _attlist7
00007ff814b356f5 (__TEXT,__text) non-external _attlist8
00007ff814b3587c (__TEXT,__text) non-external _attlist9
00007ff814b40814 (__TEXT,__text) non-external _big2_attributeValueTok
00007ff814b403e0 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff814b40f70 (__TEXT,__text) non-external _big2_charRefNumber
00007ff814b42234 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff814b3f708 (__TEXT,__text) non-external _big2_contentTok
00007ff8417029a8 (__DATA_CONST,__const) non-external _big2_encoding
00007ff8417032f8 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff814b4094c (__TEXT,__text) non-external _big2_entityValueTok
00007ff814b40b8d (__TEXT,__text) non-external _big2_getAtts
00007ff814b40668 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff814b41204 (__TEXT,__text) non-external _big2_isPublicId
00007ff814b40ac5 (__TEXT,__text) non-external _big2_nameLength
00007ff814b40a80 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff814b4103b (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff814b3eebd (__TEXT,__text) non-external _big2_prologTok
00007ff814b42628 (__TEXT,__text) non-external _big2_scanAtts
00007ff814b43f93 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff814b420cc (__TEXT,__text) non-external _big2_scanComment
00007ff814b41608 (__TEXT,__text) non-external _big2_scanDecl
00007ff814b414c8 (__TEXT,__text) non-external _big2_scanLit
00007ff814b41bd4 (__TEXT,__text) non-external _big2_scanPercent
00007ff814b4174c (__TEXT,__text) non-external _big2_scanPi
00007ff814b41e54 (__TEXT,__text) non-external _big2_scanPoundName
00007ff814b422ae (__TEXT,__text) non-external _big2_scanRef
00007ff814b40b51 (__TEXT,__text) non-external _big2_skipS
00007ff814b41458 (__TEXT,__text) non-external _big2_toUtf16
00007ff814b41293 (__TEXT,__text) non-external _big2_toUtf8
00007ff814b41126 (__TEXT,__text) non-external _big2_updatePosition
00007ff814b2c5b5 (__TEXT,__text) non-external _callProcessor
00007ff814b32ff4 (__TEXT,__text) non-external _cdataSectionProcessor
00007ff814b364d1 (__TEXT,__text) non-external _checkCharRefNumber
00007ff814b35303 (__TEXT,__text) non-external _condSect0
00007ff814b353a6 (__TEXT,__text) non-external _condSect1
00007ff814b353e6 (__TEXT,__text) non-external _condSect2
00007ff814b2f8a8 (__TEXT,__text) non-external _contentProcessor
00007ff814b34677 (__TEXT,__text) non-external _copyEntityTable
00007ff814b2af2d (__TEXT,__text) non-external _copyString
00007ff814b35206 (__TEXT,__text) non-external _declClose
00007ff814b2fc52 (__TEXT,__text) non-external _defineAttribute
00007ff814b32d18 (__TEXT,__text) non-external _doCdataSection
00007ff814b30b34 (__TEXT,__text) non-external _doContent
00007ff814b30117 (__TEXT,__text) non-external _doIgnoreSection
00007ff814b368c4 (__TEXT,__text) non-external _doParseXmlDecl
00007ff814b2ced6 (__TEXT,__text) non-external _doProlog
00007ff814b43275 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff814b43292 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff814b4328b (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff814b4327b (__TEXT,__const) non-external _doProlog.atypeID
00007ff814b4327e (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff814b43284 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff814b4329b (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff814b432a3 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff814b430d7 (__TEXT,__text) non-external _doProlog.cold.1
00007ff814b430fa (__TEXT,__text) non-external _doProlog.cold.2
00007ff814b44bb8 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff814b44bba (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff814b44bae (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff814b34a78 (__TEXT,__text) non-external _doctype0
00007ff814b34acb (__TEXT,__text) non-external _doctype1
00007ff814b34df2 (__TEXT,__text) non-external _doctype2
00007ff814b34dac (__TEXT,__text) non-external _doctype3
00007ff814b35ff8 (__TEXT,__text) non-external _doctype4
00007ff814b34f68 (__TEXT,__text) non-external _doctype5
00007ff814b34edc (__TEXT,__text) non-external _element0
00007ff814b359b0 (__TEXT,__text) non-external _element1
00007ff814b35a7e (__TEXT,__text) non-external _element2
00007ff814b35b80 (__TEXT,__text) non-external _element3
00007ff814b35da0 (__TEXT,__text) non-external _element4
00007ff814b35deb (__TEXT,__text) non-external _element5
00007ff814b35bff (__TEXT,__text) non-external _element6
00007ff814b35cd0 (__TEXT,__text) non-external _element7
00007ff8417027a0 (__DATA_CONST,__const) non-external _encodings
00007ff841702f20 (__DATA_CONST,__const) non-external _encodingsNS
00007ff814b34e38 (__TEXT,__text) non-external _entity0
00007ff814b34fae (__TEXT,__text) non-external _entity1
00007ff814b35253 (__TEXT,__text) non-external _entity10
00007ff814b34ff4 (__TEXT,__text) non-external _entity2
00007ff814b3546f (__TEXT,__text) non-external _entity3
00007ff814b35429 (__TEXT,__text) non-external _entity4
00007ff814b354b5 (__TEXT,__text) non-external _entity5
00007ff814b3553f (__TEXT,__text) non-external _entity6
00007ff814b350b7 (__TEXT,__text) non-external _entity7
00007ff814b351c0 (__TEXT,__text) non-external _entity8
00007ff814b3517a (__TEXT,__text) non-external _entity9
00007ff814b30527 (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff814b34037 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff814b431a9 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff814b3430c (__TEXT,__text) non-external _entityValueInitProcessor
00007ff814b34596 (__TEXT,__text) non-external _entityValueProcessor
00007ff814b32b08 (__TEXT,__text) non-external _epilogProcessor
00007ff814b34ac3 (__TEXT,__text) non-external _error
00007ff814b2c6b3 (__TEXT,__text) non-external _errorProcessor
00007ff814b3362c (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff814b2bb8b (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff814b3412d (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff814b34215 (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff814b2bbdc (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff814b34496 (__TEXT,__text) non-external _externalParEntProcessor
00007ff814b34998 (__TEXT,__text) non-external _externalSubset0
00007ff814b352a8 (__TEXT,__text) non-external _externalSubset1
00007ff814b36b9c (__TEXT,__text) non-external _findEncoding
00007ff814b36d96 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff814b32ab0 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff814b43272 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00007ff814b2f994 (__TEXT,__text) non-external _getAttributeId
00007ff814b31a48 (__TEXT,__text) non-external _getContext
00007ff814b2cc7d (__TEXT,__text) non-external _getDebugLevel
00007ff814b2f909 (__TEXT,__text) non-external _getElementType
00007ff814b367e1 (__TEXT,__text) non-external _getEncodingIndex
00007ff841702770 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff814b2cdba (__TEXT,__text) non-external _handleUnknownEncoding
00007ff814b30890 (__TEXT,__text) non-external _hash
00007ff814b3463e (__TEXT,__text) non-external _hashTableDestroy
00007ff814b30298 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff814b432b0 (__TEXT,__const) non-external _implicitContext
00007ff814b3ec9e (__TEXT,__text) non-external _initScan
00007ff814b36850 (__TEXT,__text) non-external _initScanContent
00007ff814b36d33 (__TEXT,__text) non-external _initScanContentNS
00007ff814b36831 (__TEXT,__text) non-external _initScanProlog
00007ff814b36d14 (__TEXT,__text) non-external _initScanPrologNS
00007ff814b36872 (__TEXT,__text) non-external _initUpdatePosition
00007ff814b2ccee (__TEXT,__text) non-external _initializeEncoding
00007ff814b33ea0 (__TEXT,__text) non-external _internalEntityProcessor
00007ff814b43186 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00007ff814b34ba4 (__TEXT,__text) non-external _internalSubset
00007ff841702200 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff8417025a0 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff841702030 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff8417023d0 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff814b3ac90 (__TEXT,__text) non-external _isNever
00007ff841701e60 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff841702f58 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff814b391c5 (__TEXT,__text) non-external _latin1_toUtf16
00007ff814b39142 (__TEXT,__text) non-external _latin1_toUtf8
00007ff814b3c724 (__TEXT,__text) non-external _little2_attributeValueTok
00007ff814b3c2f4 (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff814b3ce7c (__TEXT,__text) non-external _little2_charRefNumber
00007ff814b3e134 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff814b3b634 (__TEXT,__text) non-external _little2_contentTok
00007ff841702b78 (__DATA_CONST,__const) non-external _little2_encoding
00007ff8417034c8 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff814b3c85c (__TEXT,__text) non-external _little2_entityValueTok
00007ff814b3ca9c (__TEXT,__text) non-external _little2_getAtts
00007ff814b3c578 (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff814b3d110 (__TEXT,__text) non-external _little2_isPublicId
00007ff814b3c9d5 (__TEXT,__text) non-external _little2_nameLength
00007ff814b3c990 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff814b3cf47 (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff814b3adf6 (__TEXT,__text) non-external _little2_prologTok
00007ff814b3e524 (__TEXT,__text) non-external _little2_scanAtts
00007ff814b3dfcc (__TEXT,__text) non-external _little2_scanComment
00007ff814b3d504 (__TEXT,__text) non-external _little2_scanDecl
00007ff814b3d3ca (__TEXT,__text) non-external _little2_scanLit
00007ff814b3dad0 (__TEXT,__text) non-external _little2_scanPercent
00007ff814b3d648 (__TEXT,__text) non-external _little2_scanPi
00007ff814b3dd58 (__TEXT,__text) non-external _little2_scanPoundName
00007ff814b3e1ae (__TEXT,__text) non-external _little2_scanRef
00007ff814b3ca60 (__TEXT,__text) non-external _little2_skipS
00007ff814b3d35c (__TEXT,__text) non-external _little2_toUtf16
00007ff814b3d197 (__TEXT,__text) non-external _little2_toUtf8
00007ff814b3d032 (__TEXT,__text) non-external _little2_updatePosition
00007ff814b2f53f (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff814b43e60 (__TEXT,__const) non-external _namePages
00007ff814b43860 (__TEXT,__const) non-external _namingBitmap
00007ff814b30314 (__TEXT,__text) non-external _nextScaffoldPart
00007ff814b43d60 (__TEXT,__const) non-external _nmstrtPages
00007ff814b38828 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff814b383d8 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff814b38e08 (__TEXT,__text) non-external _normal_charRefNumber
00007ff814b39f78 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff814b377a8 (__TEXT,__text) non-external _normal_contentTok
00007ff814b38964 (__TEXT,__text) non-external _normal_entityValueTok
00007ff814b38b19 (__TEXT,__text) non-external _normal_getAtts
00007ff814b38680 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff814b390c4 (__TEXT,__text) non-external _normal_isPublicId
00007ff814b38ab4 (__TEXT,__text) non-external _normal_nameLength
00007ff814b38a78 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff814b38f70 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff814b36eb2 (__TEXT,__text) non-external _normal_prologTok
00007ff814b3a2f2 (__TEXT,__text) non-external _normal_scanAtts
00007ff814b39e00 (__TEXT,__text) non-external _normal_scanComment
00007ff814b39370 (__TEXT,__text) non-external _normal_scanDecl
00007ff814b39208 (__TEXT,__text) non-external _normal_scanLit
00007ff814b398ac (__TEXT,__text) non-external _normal_scanPercent
00007ff814b39494 (__TEXT,__text) non-external _normal_scanPi
00007ff814b39b34 (__TEXT,__text) non-external _normal_scanPoundName
00007ff814b39fde (__TEXT,__text) non-external _normal_scanRef
00007ff814b38af1 (__TEXT,__text) non-external _normal_skipS
00007ff814b39002 (__TEXT,__text) non-external _normal_updatePosition
00007ff814b340e9 (__TEXT,__text) non-external _normalizeLines
00007ff814b2f847 (__TEXT,__text) non-external _normalizePublicId
00007ff814b34f27 (__TEXT,__text) non-external _notation0
00007ff814b35e48 (__TEXT,__text) non-external _notation1
00007ff814b35f3f (__TEXT,__text) non-external _notation2
00007ff814b35ef1 (__TEXT,__text) non-external _notation3
00007ff814b35f85 (__TEXT,__text) non-external _notation4
00007ff814b42ce0 (__TEXT,__text) non-external _parsePseudoAttribute
00007ff814b2a566 (__TEXT,__text) non-external _parserCreate
00007ff814b2acdf (__TEXT,__text) non-external _parserInit
00007ff814b2fbe0 (__TEXT,__text) non-external _poolAppend
00007ff814b2bd7c (__TEXT,__text) non-external _poolCopyString
00007ff814b2bc6f (__TEXT,__text) non-external _poolDestroy
00007ff814b2fd6a (__TEXT,__text) non-external _poolGrow
00007ff814b2f4f8 (__TEXT,__text) non-external _poolStoreString
00007ff814b3043a (__TEXT,__text) non-external _processEntity
00007ff814b2f18d (__TEXT,__text) non-external _processXmlDecl
00007ff814b348c1 (__TEXT,__text) non-external _prolog0
00007ff814b349b8 (__TEXT,__text) non-external _prolog1
00007ff814b34d20 (__TEXT,__text) non-external _prolog2
00007ff814b2cc2c (__TEXT,__text) non-external _prologInitProcessor
00007ff814b2cd49 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff814b306c8 (__TEXT,__text) non-external _reportComment
00007ff814b2ca42 (__TEXT,__text) non-external _reportDefault
00007ff814b3057c (__TEXT,__text) non-external _reportProcessingInstruction
00007ff814b2b5d9 (__TEXT,__text) non-external _setContext
00007ff814b330aa (__TEXT,__text) non-external _setElementTypePrefix
00007ff814b309f9 (__TEXT,__text) non-external _sip24_final
00007ff814b30954 (__TEXT,__text) non-external _sip24_update
00007ff814b30ad8 (__TEXT,__text) non-external _sip_round
00007ff814b2c198 (__TEXT,__text) non-external _startParsing
00007ff814b2ff53 (__TEXT,__text) non-external _storeAttributeValue
00007ff814b43140 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00007ff814b31dca (__TEXT,__text) non-external _storeAtts
00007ff814b33a78 (__TEXT,__text) non-external _storeEntityValue
00007ff814b3196c (__TEXT,__text) non-external _storeRawNames
00007ff814b3ec3c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff814b2cbe4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff814b2cbfa (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff814b365bf (__TEXT,__text) non-external _unknown_isInvalid
00007ff814b3651d (__TEXT,__text) non-external _unknown_isName
00007ff814b3656e (__TEXT,__text) non-external _unknown_isNmstrt
00007ff814b366cf (__TEXT,__text) non-external _unknown_toUtf16
00007ff814b365ec (__TEXT,__text) non-external _unknown_toUtf8
00007ff814b2cc10 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff8417027d8 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff841703128 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff814b3ad2a (__TEXT,__text) non-external _utf8_isInvalid2
00007ff814b3ad49 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff814b3adae (__TEXT,__text) non-external _utf8_isInvalid4
00007ff814b3abfe (__TEXT,__text) non-external _utf8_isName2
00007ff814b3ac41 (__TEXT,__text) non-external _utf8_isName3
00007ff814b3ac98 (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff814b3acdb (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff814b3aa8d (__TEXT,__text) non-external _utf8_toUtf16
00007ff814b3a9f4 (__TEXT,__text) non-external _utf8_toUtf8
