00007ffc12729e5e (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc1271b002 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffc1271b0c2 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffc1271b109 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffc1271b068 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffc1271b79f (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffc1271b795 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffc1271b2b0 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffc1271b2a8 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffc1271b6cd (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffc1271b3e4 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffc12725690 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffc1272554e (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffc127255ee (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffc12725635 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffc127255b4 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffc12725935 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffc1272592c (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffc12711d20 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffc1270f424 (__TEXT,__text) external _AAFieldKeySetClear
00007ffc1270f303 (__TEXT,__text) external _AAFieldKeySetClone
00007ffc1270f432 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffc1270ef50 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffc1270efb6 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffc1270f2dd (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffc1270fa13 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffc1270fa0b (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffc1270f4d6 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffc1270f758 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffc1270f691 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffc1270f914 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffc1270f9a7 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffc1270fa22 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffc12728457 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffc127287a4 (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffc12731dbd (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffc127189d7 (__TEXT,__text) external _AAHeaderAssign
00007ffc12718fb8 (__TEXT,__text) external _AAHeaderClear
00007ffc1271892b (__TEXT,__text) external _AAHeaderClone
00007ffc1271883e (__TEXT,__text) external _AAHeaderCreate
00007ffc12718b99 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffc12718be0 (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffc127188e5 (__TEXT,__text) external _AAHeaderDestroy
00007ffc1271a0d6 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffc1271a0cc (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffc1271872e (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffc127186cf (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffc127191a9 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffc127187bb (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffc12719099 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffc127192b1 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffc127186d7 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffc12719014 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffc12718fdd (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffc1271a0c2 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffc12718c2c (__TEXT,__text) external _AAHeaderRemoveField
00007ffc12719eb6 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffc127193d3 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffc12719a69 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffc1271982c (__TEXT,__text) external _AAHeaderSetFieldString
00007ffc12719cbd (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffc12719625 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffc1272f460 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffc1272f382 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffc1272f4a2 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffc12728bfb (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffc126d9a13 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffc126d9dc5 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffc126d9c04 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffc126ba65c (__TEXT,__text) external _AAPathFilterAddRule
00007ffc126bab63 (__TEXT,__text) external _AAPathFilterApply
00007ffc12736246 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffc127362e3 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffc126ba504 (__TEXT,__text) external _AAPathFilterCreate
00007ffc126ba5e1 (__TEXT,__text) external _AAPathFilterDestroy
00007ffc1270fa90 (__TEXT,__text) external _AAPathListCreate
00007ffc1270fc26 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffc12711428 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffc1270fbf7 (__TEXT,__text) external _AAPathListDestroy
00007ffc12711907 (__TEXT,__text) external _AAPathListGetNode
00007ffc12711a42 (__TEXT,__text) external _AAPathListMerge
00007ffc12711b8c (__TEXT,__text) external _AAPathListNodeFirst
00007ffc127117e4 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffc12711ba8 (__TEXT,__text) external _AAPathListNodeNext
00007ffc126cee7f (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffc12709f40 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffc126e2e32 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffc126d3dde (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffc12728a6e (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffc12728eb6 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffc12728820 (__TEXT,__text) external _AATempFileStreamOpen
00007ffc1272882c (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffc126f6bc7 (__TEXT,__text) external _AATempStreamOpen
00007ffc126f6bd3 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffc12708b39 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffc12708b43 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffc126bdf6c (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffc126b92ca (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffc126b999c (__TEXT,__text) external _AEAAuthDataClear
00007ffc126b8bdb (__TEXT,__text) external _AEAAuthDataCreate
00007ffc126b8c9b (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffc126b8c41 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffc126b9a7f (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffc126b9a75 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffc126b9196 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffc126b918e (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffc126b99ad (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffc126b96b3 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffc126fb6a3 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffc126fb5ea (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffc126d2ef9 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffc126fb56e (__TEXT,__text) external _AEAContextDestroy
00007ffc126fc1d1 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffc126fc35f (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffc126fbaa0 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffc126fb9de (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffc126fbeb0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffc126fc2ff (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffc126fbcd0 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffc126c05a1 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffc126c00f4 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffc126c016d (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffc126c005e (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffc126b6981 (__TEXT,__text) external _AEADecryptAndExtract
00007ffc12703edc (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffc126b63f8 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffc1270599e (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffc126ae648 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffc126cb85c (__TEXT,__text) external _AEADecryptInPlace
00007ffc126d5446 (__TEXT,__text) external _AEADecryptToFile
00007ffc126f5e15 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffc126d4ea5 (__TEXT,__text) external _AEADecryptToFileChunk
00007ffc126f6b49 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffc12734a46 (__TEXT,__text) external _AEADecryptToStream
00007ffc127341f4 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffc126cf749 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffc126c1c69 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffc126b42ba (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffc126cbdcb (__TEXT,__text) external _AEAEncryptInPlace
00007ffc126c68a4 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffc126c5afd (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffc126c6103 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffc126cbf67 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffc126cc89a (__TEXT,__text) external _AEAKeychainHasItem
00007ffc126cc6de (__TEXT,__text) external _AEAKeychainLoadItem
00007ffc126cc9a3 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffc126cc231 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffc126bd6c0 (__TEXT,__text) external _AEAStreamSign
00007ffc126f8cc4 (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffc126f5b6a (__TEXT,__text) non-external _BXDiff5Data_free
00007ffc126c9d19 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffc126f8cd3 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffc126dd331 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffc126de53c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffc126de56b (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffc126de806 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffc126de810 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffc126de819 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffc126de823 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffc126ca942 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffc126caba4 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffc126c9d63 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffc126caa5d (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc126db336 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffc126db29d (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffc126db1fb (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffc126cf949 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffc126cf921 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffc126cf966 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffc126cfd3b (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffc126e632b (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffc126e62ce (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffc126e62e7 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffc126e8530 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffc126e851c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffc126e8526 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffc12749ef0 (__TEXT,__const) non-external _CKSUMTable
00007ffc1272d17d (__TEXT,__text) non-external _CompressionConsumerProc
00007ffc1272cf9d (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffc1272de71 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffc1272d0f3 (__TEXT,__text) non-external _CompressionWorkerProc
00007ffc126c0f08 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffc126c0b9c (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffc126c1459 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffc126c16cd (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffc126c126a (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffc126c1403 (__TEXT,__text) non-external _Digest_SHA256
00007ffc126d0102 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffc126cfd4e (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffc12749c80 (__TEXT,__const) non-external _ECC65537_G
00007ffc126dbabf (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffc126db13c (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffc126db14d (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffc126dae1c (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffc126da1a3 (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffc126fd857 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffc126fccd7 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffc126bfec0 (__TEXT,__text) non-external _HKDFDerive
00007ffc126c1a63 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffc126c19e6 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffc126c1920 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffc126c19a5 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffc126c1bb1 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffc126d122b (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffc126d0fd6 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffc126d1125 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffc126d1210 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffc126d0f9c (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffc126dfad2 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffc126df78a (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffc126dfa9b (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffc126dfbfa (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffc126d123f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffc126d1853 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffc126d17ea (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffc126d18d0 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffc126e07f2 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffc126e0727 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffc126e07e8 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffc126e0798 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffc126df61c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffc126f9e05 (__TEXT,__text) non-external _InSituStreamCancel
00007ffc126f99a0 (__TEXT,__text) non-external _InSituStreamClose
00007ffc126f9b4c (__TEXT,__text) non-external _InSituStreamPRead
00007ffc126f9c93 (__TEXT,__text) non-external _InSituStreamPWrite
00007ffc126f9e1f (__TEXT,__text) non-external _InSituStreamSimulate
00007ffc126f9e12 (__TEXT,__text) non-external _InSituTruncate
00007ffc126f2cc3 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffc126f2cd0 (__TEXT,__text) non-external _IntervalStreamClose
00007ffc126f2c33 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffc126f2c25 (__TEXT,__text) non-external _IntervalStreamRead
00007ffc126f2c89 (__TEXT,__text) non-external _IntervalStreamSeek
00007ffc126fcc0e (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffc126fc4f0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffc126df3ec (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffc126df3ab (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffc126df608 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffc126df612 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffc126dee00 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffc126def85 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffc126deef4 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffc126df051 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffc126df0e0 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffc126df16c (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffc126def31 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
00007ffc126def1a (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
00007ffc126def3f (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
