0000000180fb100c (__TEXT,__text) external _OSAtomicAdd32
0000000180fb032c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180fb0350 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180fb0370 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180fb34e4 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180faf9e8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180fafa08 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180fafa24 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180fb3b40 (__TEXT,__const) non-external __os_lock_type_base
00000001830e84d0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001830e84f0 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001830e8530 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001830e84d0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001830e84d0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001830e8510 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180fb00c0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180fb00ec (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180fb010c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180fb012c (__TEXT,__text) external __os_nospin_lock_lock
0000000180fb014c (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180fb0244 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180fb0260 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180fb027c (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180fb0458 (__TEXT,__text) external __os_once
0000000180fb3590 (__TEXT,__text) non-external __os_once.cold.1
0000000180fb04b0 (__TEXT,__text) non-external __os_once_callout
0000000180fb03ac (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180fb34bc (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180fb346c (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180fb3494 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180fb0524 (__TEXT,__text) non-external __os_once_gate_wait
0000000180fb0f30 (__TEXT,__text) external __os_semaphore_create
0000000180fb35d8 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180fb3600 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180fb0f84 (__TEXT,__text) external __os_semaphore_dispose
0000000180fb3628 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180fb0fb4 (__TEXT,__text) external __os_semaphore_signal
0000000180fb3650 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180fb0fd4 (__TEXT,__text) external __os_semaphore_wait
0000000180fb3678 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180fb33cc (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180fafb4c (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180fb337c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180fafd20 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180fafdf8 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180fb33a4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180fb26a0 (__TEXT,__text) external __platform_bzero
0000000180fb17ec (__TEXT,__text) external __platform_memccpy
0000000180fb2220 (__TEXT,__text) external __platform_memchr
0000000180fb2330 (__TEXT,__text) external __platform_memcmp
0000000180fb27e0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180fb1a70 (__TEXT,__text) external __platform_memmove
0000000180fb2700 (__TEXT,__text) external __platform_memset
0000000180fb28e0 (__TEXT,__text) external __platform_memset_pattern16
0000000180fb28a0 (__TEXT,__text) external __platform_memset_pattern4
0000000180fb28c0 (__TEXT,__text) external __platform_memset_pattern8
0000000180fb2ce0 (__TEXT,__text) external __platform_strchr
0000000180fb2c40 (__TEXT,__text) external __platform_strcmp
0000000180fb1f30 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
0000000180fb2a70 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
0000000180fb1730 (__TEXT,__text) external __platform_strcpy
00000001830e8448 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180fb18fc (__TEXT,__text) external __platform_strlcat
0000000180fb1770 (__TEXT,__text) external __platform_strlcpy
0000000180fb2520 (__TEXT,__text) external __platform_strlen
0000000180fb2c74 (__TEXT,__text) external __platform_strncmp
0000000180fb2590 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180fb2030 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
0000000180fb1874 (__TEXT,__text) external __platform_strncpy
0000000180fb2480 (__TEXT,__text) external __platform_strnlen
0000000180fb16a8 (__TEXT,__text) external __platform_strstr
0000000180fb307c (__TEXT,__text) non-external (was a private external) __setcontext
0000000180fb1540 (__TEXT,__text) external __setjmp
0000000180fb36a0 (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180fb14a8 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180fad284 (__TEXT,__text) non-external __simple_asl_escape_key
0000000180fad2f8 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180fad480 (__TEXT,__text) external __simple_asl_log
0000000180fad3a0 (__TEXT,__text) external __simple_asl_log_prog
0000000180fad0ec (__TEXT,__text) external __simple_asl_msg_new
0000000180fad138 (__TEXT,__text) external __simple_asl_msg_set
0000000180fad358 (__TEXT,__text) external __simple_asl_send
0000000180fadf00 (__TEXT,__text) external __simple_dprintf
0000000180fae250 (__TEXT,__text) external __simple_esappend
0000000180fae16c (__TEXT,__text) external __simple_esprintf
0000000180fad048 (__TEXT,__text) external __simple_getenv
0000000180fae328 (__TEXT,__text) external __simple_put
0000000180fae330 (__TEXT,__text) external __simple_putline
0000000180fadf2c (__TEXT,__text) external __simple_salloc
0000000180fae1e0 (__TEXT,__text) external __simple_sappend
0000000180fae378 (__TEXT,__text) external __simple_sfree
0000000180fae4dc (__TEXT,__text) external __simple_snprintf
0000000180fae134 (__TEXT,__text) external __simple_sprintf
0000000180fae1ac (__TEXT,__text) external __simple_sresize
0000000180fae19c (__TEXT,__text) external __simple_string
0000000180fad488 (__TEXT,__text) external __simple_vdprintf
0000000180fae118 (__TEXT,__text) external __simple_vesprintf
0000000180fae40c (__TEXT,__text) external __simple_vsnprintf
0000000180fb326c (__TEXT,__text) non-external __simple_vsnprintf.cold.1
0000000180fae0f0 (__TEXT,__text) external __simple_vsprintf
0000000180fae4bc (__TEXT,__text) non-external __snprintf_out_of_space
0000000180faf994 (__TEXT,__text) external __spin_lock
0000000180faf9c8 (__TEXT,__text) external __spin_lock_try
0000000180faf9e0 (__TEXT,__text) external __spin_unlock
0000000180fb0f28 (__TEXT,__text) non-external _approx_timebase
0000000183030058 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
0000000180faf490 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180fae508 (__TEXT,__text) non-external _dec
0000000180fb2198 (__TEXT,__text) external _ffs
0000000180fb21b0 (__TEXT,__text) external _ffsl
0000000180fb21b0 (__TEXT,__text) external _ffsll
0000000180fb21c8 (__TEXT,__text) external _fls
0000000180fb21d8 (__TEXT,__text) external _flsl
0000000180fb21d8 (__TEXT,__text) external _flsll
0000000183028000 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180fb3140 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180faea30 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180fb166c (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_protect (from libsystem_kernel)
0000000180fb2e10 (__TEXT,__text) external _makecontext
0000000180fb17e8 (__TEXT,__text) non-external (was a private external) _memset
0000000180fae854 (__TEXT,__text) non-external _oct
0000000180fb0bd8 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
0000000180fb0d04 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
0000000180fb0c38 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
0000000180fb0d44 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
0000000180fb0ca4 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
0000000180fb0d48 (__TEXT,__text) external _os_apt_msg_async_task_stopped_4swift
0000000180fb0e08 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_dev
0000000180fb0da8 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_dev_prodel0
0000000180fb0e34 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_nop
0000000180fb0ddc (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_prodel0
0000000180fb0e38 (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
0000000180fb0ef8 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
0000000180fb0e98 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
0000000180fb0f24 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
0000000180fb0ecc (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
0000000180faf824 (__TEXT,__text) external _os_lock_lock
0000000180faf834 (__TEXT,__text) external _os_lock_trylock
0000000180faf844 (__TEXT,__text) external _os_lock_unlock
0000000183024000 (__DATA,__script_config) external _os_script_config_storage
0000000180faf710 (__TEXT,__text) external _os_security_config_get
0000000180faf734 (__TEXT,__text) external _os_security_config_get_for_proc
0000000180faf7c8 (__TEXT,__text) external _os_security_config_get_for_task
0000000180fb07f4 (__TEXT,__text) external _os_sync_wait_on_address
0000000180fb06b4 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180fb0754 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
0000000180fb090c (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180fb0884 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180faff28 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180fb3534 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180fafefc (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180fb350c (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180fafb24 (__TEXT,__text) external _os_unfair_lock_lock
0000000180fafea4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180fafed8 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180fafcbc (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180fafce0 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180fafcfc (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180fafddc (__TEXT,__text) external _os_unfair_lock_unlock
0000000180fafec4 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180faff70 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180faff54 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180fb3428 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180fb0010 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180fb355c (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
0000000180faffb0 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180fb0080 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180fb3570 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180fb2f6c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
0000000180fb323c (__TEXT,__text) non-external _sb
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180fb3014 (__TEXT,__text) external _setcontext
0000000180fb1610 (__TEXT,__text) external _setjmp
0000000180fb1660 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180fb1604 (__TEXT,__text) external _sigsetjmp
0000000180faf994 (__TEXT,__text) external _spin_lock
0000000180faf9c8 (__TEXT,__text) external _spin_lock_try
0000000180faf9e0 (__TEXT,__text) external _spin_unlock
0000000180fb2d58 (__TEXT,__text) external _swapcontext
0000000180faf3b0 (__TEXT,__text) external _sys_cache_control
0000000180faf4b0 (__TEXT,__text) external _sys_dcache_flush
0000000180faf3fc (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180fb31c8 (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180fb3220 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180faeda4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180faef94 (__TEXT,__text) non-external _ydec
