0000000242def6e4 (__TEXT,__text) external _LLVMExtraCreateBinary
0000000242dde580 (__TEXT,__text) external _MTLGPUArchiverFromId
0000000242dddbc4 (__TEXT,__text) external _MTLGPUArchiverKeepPackingSymbols
0000000242ddde28 (__TEXT,__text) external _MTLGPUArchiverPackUnits
0000000242ddd468 (__TEXT,__text) external _MTLGPUArchiverSetActivePlatform
0000000242ddd1f8 (__TEXT,__text) external _MTLGPUArchiverSetInstallName
0000000242ddd330 (__TEXT,__text) external _MTLGPUArchiverSetTarget
0000000242ddd0b8 (__TEXT,__text) external _MTLGPUArchiverSetUnitHash
0000000242ddce50 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflection
0000000242ddcf84 (__TEXT,__text) external _MTLGPUArchiverSetUnitReflectionWithReference
0000000242dde500 (__TEXT,__text) external _MTLGPUArchiverToId
0000000242ddbc60 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithMemoryBuffer
0000000242ddbbf0 (__TEXT,__text) external _MTLGPUArchiverUnitRefCreateWithUnitId
0000000242ddbcd4 (__TEXT,__text) external _MTLGPUArchiverUnitRefDestroy
0000000242de2978 (__TEXT,__text) external _MTLGPUCompilerBuildFromSource
0000000242de302c (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToBuffer
0000000242de36c8 (__TEXT,__text) external _MTLGPUCompilerBuildFromSourceToFD
0000000242de035c (__TEXT,__text) external _MTLGPUCompilerCompileFromSource
0000000242de09e8 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToBuffer
0000000242de0fc8 (__TEXT,__text) external _MTLGPUCompilerCompileFromSourceToFD
0000000242ddf324 (__TEXT,__text) external _MTLGPUCompilerCreate
0000000242ddf440 (__TEXT,__text) external _MTLGPUCompilerDestroy
0000000242de7ec4 (__TEXT,__text) external _MTLGPUCompilerDisableMeshEmulation
0000000242de7ae0 (__TEXT,__text) external _MTLGPUCompilerEnable16BitTextureCoordinateEmulation
0000000242de7b3c (__TEXT,__text) external _MTLGPUCompilerEnableBFloatEmulation
0000000242de7b98 (__TEXT,__text) external _MTLGPUCompilerEnableDegenerateVertexAmplificationEmulation
0000000242de7bf4 (__TEXT,__text) external _MTLGPUCompilerEnableDoubleEmulation
0000000242de7c50 (__TEXT,__text) external _MTLGPUCompilerEnableExternallyInitializedVariableSupport
0000000242de7cac (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBindingInDylibSupport
0000000242de7ce8 (__TEXT,__text) external _MTLGPUCompilerEnableGlobalBuiltinInDylibSupport
0000000242de7e1c (__TEXT,__text) external _MTLGPUCompilerEnableMeshFragmentEmulation
0000000242de7d24 (__TEXT,__text) external _MTLGPUCompilerEnableMeshKernelEmulation
0000000242de7da0 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVertexEmulation
0000000242de7e70 (__TEXT,__text) external _MTLGPUCompilerEnableMeshVisibleOrDylibEmulation
0000000242de8088 (__TEXT,__text) external _MTLGPUCompilerEnableRaytracingEmulation
0000000242de8194 (__TEXT,__text) external _MTLGPUCompilerEnableResourcePatchingInstrumentation
0000000242de81f0 (__TEXT,__text) external _MTLGPUCompilerEnableResourceUsageInstrumentation
0000000242de824c (__TEXT,__text) external _MTLGPUCompilerEnableTLSEmulation
0000000242de8310 (__TEXT,__text) external _MTLGPUCompilerHandleSPIs
0000000242de1770 (__TEXT,__text) external _MTLGPUCompilerLink
0000000242de1d14 (__TEXT,__text) external _MTLGPUCompilerLinkToBuffer
0000000242de22a4 (__TEXT,__text) external _MTLGPUCompilerLinkToFD
0000000242de69f0 (__TEXT,__text) external _MTLGPUCompilerLoadModules
0000000242de6b74 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToBuffer
0000000242de6cf8 (__TEXT,__text) external _MTLGPUCompilerLoadModulesToFD
0000000242de8858 (__TEXT,__text) external _MTLGPUCompilerLowerModule
0000000242de89c0 (__TEXT,__text) external _MTLGPUCompilerLowerModuleToBuffer
0000000242de7220 (__TEXT,__text) external _MTLGPUCompilerSetFunctionGroups
0000000242de6928 (__TEXT,__text) external _MTLGPUCompilerSetLoaderScript
0000000242de6998 (__TEXT,__text) external _MTLGPUCompilerSetLoadingMode
0000000242de843c (__TEXT,__text) external _MTLGPUCompilerSetLoweringRuntimes
0000000242de7f30 (__TEXT,__text) external _MTLGPUCompilerSetMeshEmulationUsedFragmentInputs
0000000242de02f0 (__TEXT,__text) external _MTLGPUCompilerSetNativeArch
0000000242de80e4 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationIndirectAccelerationStructures
0000000242de8140 (__TEXT,__text) external _MTLGPUCompilerSetRaytracingEmulationMaxAccelerationStructureTraversalDepth
0000000242de82a8 (__TEXT,__text) external _MTLGPUCompilerSetRequiredThreadsPerThreadgroup
0000000242de7288 (__TEXT,__text) external _MTLGPUCompilerSetStitcherScript
0000000242de013c (__TEXT,__text) external _MTLGPUCompilerSetTargetArch
0000000242ddffa4 (__TEXT,__text) external _MTLGPUCompilerSetTargetTriple
0000000242de5280 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibrary
0000000242de5808 (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToBuffer
0000000242de5d8c (__TEXT,__text) external _MTLGPUCompilerSpecializeDynamicLibraryToFD
0000000242de3ea8 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunction
0000000242de44dc (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToBuffer
0000000242de4b08 (__TEXT,__text) external _MTLGPUCompilerSpecializeFunctionToFD
0000000242de7308 (__TEXT,__text) external _MTLGPUCompilerStitchFunctions
0000000242de75a4 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToBuffer
0000000242de7838 (__TEXT,__text) external _MTLGPUCompilerStitchFunctionsToFD
0000000242df2264 (__TEXT,__text) external _MTLMakeSharedMetalModule
0000000242df337c (__TEXT,__text) external _MTLMetalDynamicLibraryGetInstallName
0000000242df2614 (__TEXT,__text) external _MTLMetalFunctionCreate
0000000242df23b0 (__TEXT,__text) external _MTLMetalFunctionCreateWithModule
0000000242df2860 (__TEXT,__text) external _MTLMetalFunctionDestroy
0000000242df2b34 (__TEXT,__text) external _MTLMetalFunctionGetAIRVersion
0000000242df2c24 (__TEXT,__text) external _MTLMetalFunctionGetAlias
0000000242df2924 (__TEXT,__text) external _MTLMetalFunctionGetKind
0000000242df2a30 (__TEXT,__text) external _MTLMetalFunctionGetLLVMModule
0000000242df29d4 (__TEXT,__text) external _MTLMetalFunctionGetMetalModule
0000000242df2bac (__TEXT,__text) external _MTLMetalFunctionGetMetalVersion
0000000242df2adc (__TEXT,__text) external _MTLMetalFunctionGetModule
0000000242df28d4 (__TEXT,__text) external _MTLMetalFunctionGetName
0000000242df332c (__TEXT,__text) external _MTLMetalImportedSymbolGetName
0000000242df113c (__TEXT,__text) external _MTLMetalLibCreateCoreImage
0000000242df10dc (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTriple
0000000242df1004 (__TEXT,__text) external _MTLMetalLibCreateCoreImageWithTripleAndInstallName
0000000242df1294 (__TEXT,__text) external _MTLMetalLibCreateDynamicLibrary
0000000242df11bc (__TEXT,__text) external _MTLMetalLibCreateDynamicLibraryWithTriple
0000000242df0f84 (__TEXT,__text) external _MTLMetalLibCreateExecutable
0000000242df0f24 (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTriple
0000000242df0e4c (__TEXT,__text) external _MTLMetalLibCreateExecutableWithTripleAndInstallName
0000000242df12f4 (__TEXT,__text) external _MTLMetalLibDestroy
0000000242df4784 (__TEXT,__text) external _MTLMetalLibGetAsObject
0000000242df1db0 (__TEXT,__text) external _MTLMetalLibGetDynamicLibrariesCount
0000000242df1e08 (__TEXT,__text) external _MTLMetalLibGetDynamicLibraryNo
0000000242df13b4 (__TEXT,__text) external _MTLMetalLibGetFunctionNo
0000000242df135c (__TEXT,__text) external _MTLMetalLibGetFunctionsCount
0000000242df1cfc (__TEXT,__text) external _MTLMetalLibGetImportedSymbolNo
0000000242df1ca4 (__TEXT,__text) external _MTLMetalLibGetImportedSymbolsCount
0000000242df1d54 (__TEXT,__text) external _MTLMetalLibGetInstallName
0000000242df1f10 (__TEXT,__text) external _MTLMetalLibGetLLVMModuleNo
0000000242df1eb8 (__TEXT,__text) external _MTLMetalLibGetMetalModuleNo
0000000242df1fb0 (__TEXT,__text) external _MTLMetalLibGetModuleNo
0000000242df1e60 (__TEXT,__text) external _MTLMetalLibGetModulesCount
0000000242df2068 (__TEXT,__text) external _MTLMetalLibGetSourceNo
0000000242df2010 (__TEXT,__text) external _MTLMetalLibGetSourcesCount
0000000242df1c4c (__TEXT,__text) external _MTLMetalLibGetVariableNo
0000000242df1bf4 (__TEXT,__text) external _MTLMetalLibGetVariablesCount
0000000242df140c (__TEXT,__text) external _MTLMetalLibInsertFunction
0000000242df68ec (__TEXT,__text) external _MTLMetalLibInsertVariable
0000000242df20c4 (__TEXT,__text) external _MTLMetalModuleCreatePersistentWithModule
0000000242df21fc (__TEXT,__text) external _MTLMetalModuleDestroy
0000000242df364c (__TEXT,__text) external _MTLMetalSourceExtractToSubDirectory
0000000242df3594 (__TEXT,__text) external _MTLMetalSourceGetCommandLine
0000000242df3538 (__TEXT,__text) external _MTLMetalSourceGetObjectFileName
0000000242df35f0 (__TEXT,__text) external _MTLMetalSourceGetWorkingDir
0000000242df2d98 (__TEXT,__text) external _MTLMetalVariableCreate
0000000242df2c74 (__TEXT,__text) external _MTLMetalVariableCreateWithModule
0000000242df2fd4 (__TEXT,__text) external _MTLMetalVariableDestroy
0000000242df31ec (__TEXT,__text) external _MTLMetalVariableGetAIRVersion
0000000242df32dc (__TEXT,__text) external _MTLMetalVariableGetAlias
0000000242df30e8 (__TEXT,__text) external _MTLMetalVariableGetLLVMModule
0000000242df308c (__TEXT,__text) external _MTLMetalVariableGetMetalModule
0000000242df3264 (__TEXT,__text) external _MTLMetalVariableGetMetalVersion
0000000242df3194 (__TEXT,__text) external _MTLMetalVariableGetModule
0000000242df303c (__TEXT,__text) external _MTLMetalVariableGetName
0000000242df46e4 (__TEXT,__text) external _MTLModuleGetAsObject
0000000242df43e4 (__TEXT,__text) external _MTLObjectCreate
0000000242df45e4 (__TEXT,__text) external _MTLObjectDestroy
0000000242df4830 (__TEXT,__text) external _MTLObjectGetAsArchive
0000000242df48a4 (__TEXT,__text) external _MTLObjectGetAsMetalLib
0000000242df47d4 (__TEXT,__text) external _MTLObjectGetAsModule
0000000242dde918 (__TEXT,__text) external _MTLUpgradeAIRModule
0000000242ddedf0 (__TEXT,__text) external _MTLVerifyAIRModule
0000000242ddeee8 (__TEXT,__text) external _MTLWriteAIRBitcodeToMemoryBuffer
0000000242ddf120 (__TEXT,__text) external _MTLWriteAIRReflectionToMemoryBuffer
0000000242df33cc (__TEXT,__text) external _MTLWriteMetalLibToMemoryBuffer
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary25findInExplicitLoadedImageEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibrary26findInImplicitLoadedImagesEPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryC1EPKvPKc (from libGPUCompilerImpl)
                 (undefined) external __ZN10llvm_utils3sys16MaybeLazyLibraryD1Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm10TimerGroupD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoInfsEb (from libLLVM)
                 (undefined) external __ZN4llvm11Instruction12setHasNoNaNsEb (from libLLVM)
                 (undefined) external __ZN4llvm11LLVMContextD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm11NamedMDNode10setOperandEjPNS_6MDNodeE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream16SetBufferAndModeEPcmNS0_10BufferKindE (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEPKcm (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostream5writeEh (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamD2Ev (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEPKv (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEl (from libLLVM)
                 (undefined) external __ZN4llvm11raw_ostreamlsEm (from libLLVM)
                 (undefined) external __ZN4llvm12MemoryBuffer16getMemBufferCopyENS_9StringRefERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm13ErrorInfoBase2IDE (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl11RehashTableEj (from libLLVM)
                 (undefined) external __ZN4llvm13StringMapImpl15LookupBucketForENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamC1EibbNS_11raw_ostream11OStreamKindE (from libLLVM)
                 (undefined) external __ZN4llvm14raw_fd_ostreamD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm15MemoryBufferRefC1ERKNS_12MemoryBufferE (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIjE13mallocForGrowEmmRm (from libLLVM)
                 (undefined) external __ZN4llvm15SmallVectorBaseIyE8grow_podEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm15allocate_bufferEmm (from libLLVM)
                 (undefined) external __ZN4llvm15setBugReportMsgEPKc (from libLLVM)
                 (undefined) external __ZN4llvm16IRChangedPrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm17TimePassesHandler5printEv (from libLLVM)
                 (undefined) external __ZN4llvm17deallocate_bufferEPvmm (from libLLVM)
                 (undefined) external __ZN4llvm18report_fatal_errorERKNS_5TwineEb (from libLLVM)
                 (undefined) external __ZN4llvm19InLineChangePrinterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContext9RunSafelyENS_12function_refIFvvEEE (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContextC1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20CrashRecoveryContextD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm20DotCfgChangeReporterD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm22EnablePrettyStackTraceEv (from libLLVM)
                 (undefined) external __ZN4llvm22PrintIRInstrumentationD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm3air10APITrackerC2EPKcSt16initializer_listINSt3__18functionIFvRNS_11raw_ostreamEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10APITrackerD2Ev (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10Reflection6createERKNS_6ModuleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air10ScriptFile6createENS_15MemoryBufferRefE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air11MetalModuleC1ENSt3__110shared_ptrINS_6ModuleEEENS1_19MaterializationKindERNS_5ErrorE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air15verifyAIRModuleERKNS_6ModuleENS0_17VerificationLevelE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16MetalDefinedSymbC2ENSt3__110shared_ptrINS0_11MetalModuleEEENS_9StringRefES6_NS1_10SymbolFlagENS3_INS0_11MetalSourceEEENS_8ArrayRefIS9_EENSA_IhEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air16upgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air18downgradeAIRModuleERNS_6ModuleENS_12VersionTupleE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriter5writeEv (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air20MetalLibObjectWriterC1ENSt3__110unique_ptrINS0_8MetalLibENS2_14default_deleteIS4_EEEERNS_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air21WriteAIRBitcodeToFileEPKNS_6ModuleERNS_11raw_ostreamENS0_14BitcodeVersionEb (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air28NormalizeModuleForAIRBitcodeEPNS_6ModuleENS0_14BitcodeVersionE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3air7Archive9addMemberENS_9StringRefENSt3__110unique_ptrINS_6ModuleENS3_14default_deleteIS5_EEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm3sys2fs16createUniqueFileERKNS_5TwineERiRNS_15SmallVectorImplIcEENS1_9OpenFlagsEj (from libLLVM)
                 (undefined) external __ZN4llvm3sys2fs18create_directoriesERKNS_5TwineEbNS1_5permsE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path14home_directoryERNS_15SmallVectorImplIcEE (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path6appendERNS_15SmallVectorImplIcEERKNS_5TwineES7_S7_S7_ (from libLLVM)
                 (undefined) external __ZN4llvm3sys4path8filenameENS_9StringRefENS1_5StyleE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO19getArchitectureNameENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5MachO26getArchitectureFromCpuTypeEjj (from libLLVM)
                 (undefined) external __ZN4llvm5MachOlsERNS_11raw_ostreamENS0_12ArchitectureE (from libLLVM)
                 (undefined) external __ZN4llvm5TimerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6ModuleD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6SHA256D1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6TripleC1ERKNS_5TwineE (from libLLVM)
                 (undefined) external __ZN4llvm6legacy11PassManagerD1Ev (from libLLVM)
                 (undefined) external __ZN4llvm6object12createBinaryENS_15MemoryBufferRefEPNS_11LLVMContextEb (from libLLVM)
                 (undefined) external __ZN4llvm7MDTuple7getImplERNS_11LLVMContextENS_8ArrayRefIPNS_8MetadataEEENS4_11StorageTypeEb (from libLLVM)
                 (undefined) external __ZN4llvm7airdyld6Loader17setFunctionGroupsENS_15MutableArrayRefINSt3__110unique_ptrINS_3air13FunctionGroupENS3_14default_deleteIS6_EEEEEE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvm8Function9addFnAttrENS_9StringRefES1_ (from libLLVM)
                 (undefined) external __ZN4llvm8MDString3getERNS_11LLVMContextENS_9StringRefE (from libLLVM)
                 (undefined) external __ZN4llvm9ErrorList2IDE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_12VersionTupleE (from libLLVM)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air15UniversalBinaryE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air7ArchiveE (from libGPUCompilerImpl)
                 (undefined) external __ZN4llvmlsERNS_11raw_ostreamERKNS_3air8MetalLibE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver10dumpToFileERN4llvm11raw_ostreamES3_ (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11addPipelineEjN4llvm8ArrayRefINS_16GPUArchiverIndexEEENS1_9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11buildToFileERN4llvm11raw_ostreamERNS1_17raw_pwrite_streamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11compressAllERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver11setUnitHashENS_16GPUArchiverIndexEN4llvm8ArrayRefIjEENS3_IA32_hEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12compressNoneERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12createWriterENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12deleteWithIdEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver12dumpToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13addDescriptorEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver13buildToBufferERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver14setInstallNameEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver15compressModulesERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver15compressSourcesERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver16addLinkedModulesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPNS2_12MemoryBufferEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setActivePlatformENS_25GPUArchiverActivePlatformERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver17setUnitReflectionENS_16GPUArchiverIndexEPKN4llvm12MemoryBufferES5_RNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18createWriterWithIdENS_22GPUArchiverProductKindEN4llvm9StringRefERNS2_11raw_ostreamEmb (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver18keepPackingSymbolsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver19compressDescriptorsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver19compressReflectionsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver20addUnitWithReferenceEN4llvm5MachO12ArchitectureEPKNS_18GPUArchiverUnitRefES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30addLinkedModulesWithReferencesENS_16GPUArchiverIndexEN4llvm8ArrayRefIPKNS_18GPUArchiverUnitRefEEERNS2_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver30setUnitReflectionWithReferenceENS_16GPUArchiverIndexEPKNS_18GPUArchiverUnitRefES4_RN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver5flushERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver6createEN4llvm9StringRefERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addToolEN4llvm5MachO12ArchitectureEjRKNS1_12VersionTupleERNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver7addUnitEN4llvm5MachO12ArchitectureEPKNS1_12MemoryBufferES6_S6_RNS1_11raw_ostreamE (from libGPUCompilerImpl)
                 (undefined) external __ZN7metalfe11GPUArchiver9packUnitsERN4llvm11raw_ostreamE (from libGPUCompilerImpl)
