                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateWithName (from CoreGraphics)
                 (undefined) external _CGImageGetHeight (from CoreGraphics)
                 (undefined) external _CGImageGetWidth (from CoreGraphics)
                 (undefined) external _CNActionTypeAudioCall (from Contacts)
                 (undefined) external _CNActionTypeMessage (from Contacts)
                 (undefined) external _CNActionTypeVideoCall (from Contacts)
                 (undefined) external _OBJC_CLASS_$_CIContext (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIFilter (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CIImage (from CoreImage)
                 (undefined) external _OBJC_CLASS_$_CNContact (from Contacts)
                 (undefined) external _OBJC_CLASS_$_CNPhoneNumber (from Contacts)
                 (undefined) external _OBJC_CLASS_$_CNUIUserActionDiscoveringEnvironment (from ContactsUICore)
                 (undefined) external _OBJC_CLASS_$_CNUIUserActionListDataSource (from ContactsUICore)
                 (undefined) external _OBJC_CLASS_$_NSColor (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSImage (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_SABaseCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_TUCallCapabilities (from TelephonyUtilities)
                 (undefined) external _OBJC_CLASS_$_TUCallCenter (from TelephonyUtilities)
                 (undefined) external _OBJC_CLASS_$_TUDialRequest (from TelephonyUtilities)
                 (undefined) external _OBJC_CLASS_$_VNGenerateObjectnessBasedSaliencyImageRequest (from Vision)
                 (undefined) external _OBJC_CLASS_$_VNImageRequestHandler (from Vision)
                 (undefined) external _OBJC_CLASS_$_VNRequest (from Vision)
                 (undefined) external _OBJC_CLASS_$_VNSaliencyImageObservation (from Vision)
0000000299cf3120 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
0000000268c3f6bc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c3fce4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c40a4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c4f704 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c519c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c53ddc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c5d538 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c5fe40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000268c38e6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c38e88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c4f808 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c5330c (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c5baf0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c5d658 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c5ee30 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
0000000268c3cce4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c4742c (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c4f828 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c53328 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c5bb00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c5d678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c5ee48 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
0000000268c3ccf0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c3f6cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c47464 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c4f858 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c5bb2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c5d698 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c5ee5c (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000268c3cca4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000268c4747c (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000268c4f878 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000268c5333c (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000268c5ee68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
0000000268c47494 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
0000000268c4f8a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
0000000268c53348 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
0000000268c474b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
0000000268c4f8b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
0000000268c53368 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
0000000268c5bb38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
0000000268c474cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
0000000268c4f8c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
0000000268c53388 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
0000000268c5bb58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
0000000268c474f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
0000000268c4f8d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
0000000268c5bb7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
0000000268c3cce4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
0000000268c47510 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
0000000268c4f8e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
0000000268c47530 (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
0000000268c4f8ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
0000000268c5bb88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
0000000268c3625c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c3625c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c3628c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c39704 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c3cc54 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c3f6cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c3fcf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c4f728 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c519d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c53260 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c55088 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c55a68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c5ba2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c5ed88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c5fe58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000268c3cc64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
0000000268c3f6cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
0000000268c4f900 (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
0000000268c4753c (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
0000000268c4f90c (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
0000000268c5bbac (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
0000000268c4754c (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
0000000268c47618 (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
0000000268c5bbbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
0000000268c4755c (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
0000000268c47600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
0000000268c5bbe0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
0000000268c38eb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_24
0000000268c4756c (__TEXT,__text) non-external _OUTLINED_FUNCTION_24
0000000268c5bc04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_24
0000000268c47594 (__TEXT,__text) non-external _OUTLINED_FUNCTION_25
0000000268c4f92c (__TEXT,__text) non-external _OUTLINED_FUNCTION_25
0000000268c5bc14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_25
0000000268c475ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_26
0000000268c4f940 (__TEXT,__text) non-external _OUTLINED_FUNCTION_26
0000000268c5bc24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_26
0000000268c3f6cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_27
0000000268c475c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_27
0000000268c475dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_28
0000000268c5bc38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_28
0000000268c47600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_29
0000000268c5bc44 (__TEXT,__text) non-external _OUTLINED_FUNCTION_29
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c38e88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c39728 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c3cca4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c3f6d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c3fd10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c40a6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c473a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c4f748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c519f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c53280 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c53298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c5ba5c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c5edac (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000268c47618 (__TEXT,__text) non-external _OUTLINED_FUNCTION_30
0000000268c47678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_30
0000000268c47630 (__TEXT,__text) non-external _OUTLINED_FUNCTION_31
0000000268c5bc50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_31
0000000268c47644 (__TEXT,__text) non-external _OUTLINED_FUNCTION_32
0000000268c5bc70 (__TEXT,__text) non-external _OUTLINED_FUNCTION_32
0000000268c47658 (__TEXT,__text) non-external _OUTLINED_FUNCTION_33
0000000268c5bc90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_33
0000000268c47664 (__TEXT,__text) non-external _OUTLINED_FUNCTION_34
0000000268c5bcb0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_34
0000000268c38e88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_35
0000000268c5bcbc (__TEXT,__text) non-external _OUTLINED_FUNCTION_35
0000000268c47678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_36
0000000268c5bcd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_36
0000000268c47684 (__TEXT,__text) non-external _OUTLINED_FUNCTION_37
0000000268c5bcf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_37
0000000268c47618 (__TEXT,__text) non-external _OUTLINED_FUNCTION_38
0000000268c47698 (__TEXT,__text) non-external _OUTLINED_FUNCTION_38
0000000268c47600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_39
0000000268c476b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_39
0000000268c3625c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c3cc64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c3f6ec (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c3fd28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c473c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c4f760 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c53298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c5509c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c5d558 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c5edcc (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000268c476d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_40
0000000268c5bd00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_40
0000000268c38eb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_41
0000000268c5bd10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_41
0000000268c5bd20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_42
0000000268c5bd30 (__TEXT,__text) non-external _OUTLINED_FUNCTION_43
0000000268c5bd40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_44
0000000268c5bd5c (__TEXT,__text) non-external _OUTLINED_FUNCTION_45
0000000268c47530 (__TEXT,__text) non-external _OUTLINED_FUNCTION_46
0000000268c5bd78 (__TEXT,__text) non-external _OUTLINED_FUNCTION_47
0000000268c5bd84 (__TEXT,__text) non-external _OUTLINED_FUNCTION_48
0000000268c5bd90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_49
0000000268c36298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c371cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c38e94 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c3cc74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c473d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c47678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c4f78c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c51a00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c5d594 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c5edec (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c60e50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000268c5bd9c (__TEXT,__text) non-external _OUTLINED_FUNCTION_50
0000000268c5bda8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_51
0000000268c5bdb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_52
0000000268c5bdd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_53
0000000268c3ccc0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_54
0000000268c5bdf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_55
0000000268c5be10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_56
0000000268c5be28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_57
0000000268c5be4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_58
0000000268c5be68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_59
0000000268c38e6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c38eb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c39758 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c3cca4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c473e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c51a28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c532ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c5ba74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c5d5c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c5ee0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c60e64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000268c5be74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_60
0000000268c5be88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_61
0000000268c5be94 (__TEXT,__text) non-external _OUTLINED_FUNCTION_62
0000000268c473c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_63
0000000268c5bea0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_64
0000000268c5beac (__TEXT,__text) non-external _OUTLINED_FUNCTION_65
0000000268c5bec0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_66
0000000268c5becc (__TEXT,__text) non-external _OUTLINED_FUNCTION_67
0000000268c5bed8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_68
0000000268c5bee4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_69
0000000268c39748 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c3ccb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c4f7a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c51a44 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c532d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c5ba90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c5d5e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c5ee20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000268c5bef0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_70
0000000268c5bf10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_71
0000000268c5bf30 (__TEXT,__text) non-external _OUTLINED_FUNCTION_72
0000000268c5bf50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_73
0000000268c3ccf0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_74
0000000268c3ccc0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c40a4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c4f7c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c51a58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c532f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c5333c (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c5bad0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c5d60c (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
0000000268c3ccd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c47408 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c47678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c4f7d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c53300 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c5bae0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c5d634 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000268c62758 (__TEXT,__const) external _SiriContactsUIVersionNumber
0000000268c62720 (__TEXT,__const) external _SiriContactsUIVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000299cf30b8 (__AUTH,__objc_data) non-external __DATA__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
0000000299cf2df0 (__AUTH,__objc_data) non-external __DATA__TtC14SiriContactsUIP33_EE8D036EF65EE047C0558F6317C12EBB41MockGetContactQuickActionButtonsViewModel
0000000268c625c8 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
000000029da16260 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
000000029da16208 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC14SiriContactsUI37GetContactQuickActionButtonsViewModel
000000029da161b0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC14SiriContactsUIP33_EE8D036EF65EE047C0558F6317C12EBB41MockGetContactQuickActionButtonsViewModel
0000000268c63730 (__TEXT,__const) non-external __MergedGlobals
0000000268c63d10 (__TEXT,__const) non-external __MergedGlobals
0000000268c63f98 (__TEXT,__const) non-external __MergedGlobals
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000029da16430 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000268c625f8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000268c626e8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_CNUIUserActionListConsumer
0000000268c62708 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000029da16420 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_CNUIUserActionListConsumer
000000029da16478 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000029da16408 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_CNUIUserActionListConsumer
0000000290cd5840 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_CNUIUserActionListConsumer
0000000290cd5850 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
0000000297161790 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CNUIUserActionListConsumer
