00007ffa056af97a (__TEXT,__text) non-external +[NFPromise new]
00007ffa056b3c91 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa056ad3d9 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa056ad10c (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa056ac702 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa056ac9a8 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa056b3e1f (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa056acd93 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa056b4074 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa056accc8 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa056b3fad (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa056ac822 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa056b3d58 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa056acb35 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa056b3ee6 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa056ad654 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa056ad78d (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa056ad76f (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa056ad765 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa056ad783 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00007ffa056ad779 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00007ffa056ad686 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00007ffa056ad75b (__TEXT,__text) non-external -[NFEventTrigger key]
00007ffa056af22b (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00007ffa056af217 (__TEXT,__text) non-external -[NFLazy constructor]
00007ffa056af011 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00007ffa056af221 (__TEXT,__text) non-external -[NFLazy lock]
00007ffa056af18b (__TEXT,__text) non-external -[NFLazy reset]
00007ffa056af0bd (__TEXT,__text) non-external -[NFLazy value]
00007ffa056b395c (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00007ffa056b32b1 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00007ffa056b3948 (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa056b3416 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa056b3952 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa056b32a8 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa056b37ae (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa056b31da (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa056b360e (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa056b3329 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa056b33a1 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa056b34a4 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa056b25c7 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa056b2536 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa056b2522 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa056b264f (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa056b2601 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa056b265d (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa056ac6cf (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa056ac541 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa056ac682 (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa056ac6b6 (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa056ac69d (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa056ac68c (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa056ac6c0 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa056ac6a7 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa056b0ba6 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa056afad6 (__TEXT,__text) non-external -[NFPromise always:]
00007ffa056b00f0 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa056afa18 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa056b0a5f (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa056b098d (__TEXT,__text) non-external -[NFPromise delay]
00007ffa056afa97 (__TEXT,__text) non-external -[NFPromise error:]
00007ffa056b005b (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa056b0510 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa056b0453 (__TEXT,__text) non-external -[NFPromise error]
00007ffa056af996 (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa056af6fc (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa056af8f8 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa056af5b7 (__TEXT,__text) non-external -[NFPromise init]
00007ffa056b0349 (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa056b0249 (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa056b07b2 (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa056b057a (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa056b0b8b (__TEXT,__text) non-external -[NFPromise seal]
00007ffa056b0b95 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa056afa58 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa056afb15 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa056b01df (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa056b0178 (__TEXT,__text) non-external -[NFPromise then]
00007ffa056b1ff5 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa056b1968 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa056b15b1 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa056b4390 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa056b4457 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa056b1fa1 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa056b1fd0 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa056b153e (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa056b14cb (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa056b144e (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa056b1feb (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa056b1ac8 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa056b16c4 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa056b16ad (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa056b16e1 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa056b1c3b (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa056b451e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa056b1fab (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa056b1fda (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa056b1fc6 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa056b1f90 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa056b1fbc (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa056b1f86 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa056b24ef (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa056b23d4 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa056b22d3 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa056b24d4 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa056b248a (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa056b2299 (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa056b20fe (__TEXT,__text) non-external -[NFReachability init]
00007ffa056b24b9 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa056b249e (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa056b24de (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa056b2494 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa056b24c3 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa056b24a8 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa056aef1d (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa056adf75 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa056adef7 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa056ae1ba (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa056b4202 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa056ae08f (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa056b413b (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa056ae041 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa056adfc3 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa056ade03 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa056add65 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa056aeed3 (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa056ae2e5 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa056adc1a (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa056aeeee (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa056aee91 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa056aeedd (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa056aeef8 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa056aeea7 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa056aee80 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa056aeec2 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa056aee6c (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa056aef13 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa056aee76 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa056aeeb8 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa056aef09 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa056aee62 (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa056b2a66 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa056b283d (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa056b2a32 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa056b2a4d (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa056b2923 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa056b2722 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa056b266b (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa056b2766 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa056b29fe (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa056b2903 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa056b2a3c (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa056b2a57 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa056b2a08 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa056b2a21 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa056b2a17 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa056b2dd1 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa056b2d54 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa056b2c2a (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa056b2db8 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa056b2d9f (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa056b2b0f (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa056b2aa4 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa056b2b53 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa056b2d3b (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa056b2c9b (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa056b2d1b (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa056b2cdb (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa056b2cfb (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa056b2cbb (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa056b2d5e (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa056b2dc2 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa056b2da9 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa056b2d45 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa056b2d90 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa056b2d77 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa056b2d86 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa056b2d6d (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa056b2e25 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa056b30ff (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa056b3024 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa056b2f7d (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa056b2ed6 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa056ac4f8 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa056ac4dd (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa056ac388 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa056ac48c (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa056ac4a7 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa056ac286 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa056ac4e7 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa056ac496 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa056ac4b1 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa056ac47b (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa056ac4cc (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa056ac471 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa056ac4c2 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa056ac1b3 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa056ac1fc (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa056ac267 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa056ac210 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa056ac278 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa056b0bc1 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa056adba2 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa056af35c (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa056b11b9 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa056b12b8 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa056aef64 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa056b3ac0 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa056b5f94 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa056b5ff0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa056ad92e (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa056b3c58 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa41fc54a8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa41fc54b0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa056b3b4a (__TEXT,__text) external _NFDeviceIsA7
00007ffa056b3b52 (__TEXT,__text) external _NFDeviceIsA8
00007ffa056b3c3d (__TEXT,__text) external _NFDeviceModelString
00007ffa056b3c22 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa056b3b5a (__TEXT,__text) external _NFDevicePlatform
00007ffa41a6a498 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa41a6a490 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa056b3c15 (__TEXT,__text) external _NFGeneralDeviceString
00007ffa056ac100 (__TEXT,__text) external _NFInternalBuild
00007ffa41fc54a0 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa41a6a450 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa056b2033 (__TEXT,__text) external _NFLockSync
00007ffa056b1391 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa056ac144 (__TEXT,__text) external _NFSeedBuild
00007ffa4056e3d8 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa056ac14c (__TEXT,__text) external _NFStoreDemoMode
00007ffa41a6a458 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa41fc54a1 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa056b5330 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa056b52f0 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa41fc5198 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa41a6a180 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa41a6a1a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa41a6a220 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa41a6a400 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa41a6a3b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa41fc5120 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa41a6a270 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa41a6a310 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa41a6a360 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa41fc51c0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa41fc5210 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa41fc5260 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa41fc50d0 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa41a6a130 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa41a6a2e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa41fc4f90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa41fc4f98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa41fc4fc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa41fc4fb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa41fc4fa8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa41fc4fa0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa41fc4fb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa41fc5008 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa41fc5010 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa41fc5000 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa41fc50c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00007ffa41fc50c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00007ffa41fc5068 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00007ffa41fc4f78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00007ffa41fc4f88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00007ffa41fc4f80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00007ffa41fc5018 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00007ffa41fc5028 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
