00007ffe435920d0 (__DATA,__bss) non-external __ZL12reportShadow
00007ffe081c8ce0 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEXadL_ZN9mach_timeL9hasPassedEyEEE10loggerFuncEjmmmmj.cold.8
00007ffe081c8d10 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEXadL_ZN9mach_timeL9hasPassedEyEEE10loggerFuncEjmmmmj.cold.9
00007ffe43592098 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEXadL_ZN9mach_timeL9hasPassedEyEEE14previousLoggerE
00007ffe435920a0 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEXadL_ZN9mach_timeL9hasPassedEyEEE8stopTimeE
00007ffe081c8344 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowStartEv
00007ffe081c834e (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowValueEmm
00007ffe081c9049 (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.1
00007ffe081c906c (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.2
00007ffe081c83aa (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE
00007ffe081c908f (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.1
00007ffe081c90b2 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.2
00007ffe081c8212 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16regionIsPoisonedEmm
00007ffe081c81ea (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsPoisonedEm
00007ffe081c84d4 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE
00007ffe081c90d5 (__TEXT,__text) non-external __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE.cold.1
00007ffe081c8310 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow23getShadowByteForAddressEPv
00007ffe081c7084 (__TEXT,__text) non-external (was a private external) __ZNK4asan19GlobalsRegistryImpl12getGlobalVarEm
00007ffe081c32b0 (__TEXT,__text) non-external (was a private external) __ZNK5trace9CollectorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEXadL_Z11malloc_sizeEEE10shouldSkipINS7_8LazySizeEEEbmRT_
00007ffe081c32b0 (__TEXT,__text) non-external (was a private external) __ZNK5trace9CollectorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEXadL_Z11malloc_sizeEEE10shouldSkipINS7_8LazySizeEEEbmRT_
00007ffe081c5b20 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
00007ffe081c50b0 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
00007ffe081c8e00 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
00007ffe081c4f80 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
00007ffe081c8dd0 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_.cold.1
00007ffe081c55f0 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
00007ffe081c4a60 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_
00007ffe081c8da0 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesERK14AllocationInfoR24sanitizers_stack_trace_tSC_.cold.1
00007ffe081c4930 (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_
00007ffe081c8d70 (__TEXT,__text) non-external __ZNK5trace9ExtractorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEE14retrieveTracesEmR24sanitizers_stack_trace_tS9_.cold.1
00007ffe081c6488 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingILm18ENS0_7AddressELm2EEET0_RAT__KcS4_RAT1__KNS1_7SettingIS4_EE
00007ffe081c63e4 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingILm27ENS0_16AllocationTracesELm4EEET0_RAT__KcS4_RAT1__KNS1_7SettingIS4_EE
00007ffe081c6634 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingILm30EbLm3EEET0_RAT__KcS3_RAT1__KNS1_7SettingIS3_EE
00007ffe081c64e6 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingILm34EbLm3EEET0_RAT__KcS3_RAT1__KNS1_7SettingIS3_EE
00007ffe081c6442 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser10getSettingILm39EbLm1EEET0_RAT__KcS3_RAT1__KNS1_7SettingIS3_EE
00007ffe081c6c12 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm18EEEPKcRAT__S3_
00007ffe081c67ca (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm19EEEPKcRAT__S3_
00007ffe081c68b8 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm27EEEPKcRAT__S3_
00007ffe081c6694 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm30EEEPKcRAT__S3_
00007ffe081c6546 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm34EEEPKcRAT__S3_
00007ffe081c69a6 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm39EEEPKcRAT__S3_
00007ffe081c6adc (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser6getValILm44EEEPKcRAT__S3_
00007ffe081c61a2 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getConfigEv
00007ffe081c6782 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberILm19ElXadL_Z6strtolEEEET0_RAT__KcS3_
00007ffe081c6bca (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberILm34EmXadL_Z7strtoulEEEET0_RAT__KcS3_
00007ffe081c6a94 (__TEXT,__text) non-external (was a private external) __ZNK6config3env6Parser9getNumberILm44EmXadL_Z7strtoulEEEET0_RAT__KcS3_
00007ffe41604570 (__DATA_CONST,__const) non-external (was a private external) __ZTV10ASanShadow
00007ffe41604550 (__DATA_CONST,__const) non-external (was a private external) __ZTVN4asan19GlobalsRegistryImplE
00007ffe416044a8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEEE
00007ffe41604490 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5trace9ExtractorINS_5DepotILm65536ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm262144EXadL_ZNS3_11hashPointerEmEEEEEE
00007ffe43592038 (__DATA,__data) non-external __ZZL21unsetIntegrationHooksvE5funcs
00007ffe081c7c88 (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_08__invokeEmmmm
00007ffe081c7c8e (__TEXT,__text) non-external __ZZL21unsetIntegrationHooksvEN3$_18__invokeEmm
00007ffe081c7174 (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl
00007ffe081c8eac (__TEXT,__text) non-external __ZZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryEEN3$_08__invokeEPK11mach_headerl.cold.1
00007ffe43592020 (__DATA,__data) non-external __ZZN4asan18initLibmallocHooksEP6ShadowE5funcs
00007ffe081c76f2 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm
00007ffe081c8f57 (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_08__invokeEmmmm.cold.1
00007ffe081c775c (__TEXT,__text) non-external __ZZN4asan18initLibmallocHooksEP6ShadowEN3$_18__invokeEmm
00007ffe081c758d (__TEXT,__text) external ___asan_abi_addr_is_in_fake_stack
00007ffe081c74bc (__TEXT,__text) external ___asan_abi_address_is_poisoned
00007ffe081c7311 (__TEXT,__text) external ___asan_abi_after_dynamic_init
00007ffe081c7595 (__TEXT,__text) external ___asan_abi_alloca_poison
00007ffe081c759b (__TEXT,__text) external ___asan_abi_allocas_unpoison
00007ffe081c730b (__TEXT,__text) external ___asan_abi_before_dynamic_init
00007ffe081c73f9 (__TEXT,__text) external ___asan_abi_exp_load_n
00007ffe081c749a (__TEXT,__text) external ___asan_abi_exp_store_n
00007ffe081c7585 (__TEXT,__text) external ___asan_abi_get_current_fake_stack
00007ffe081c733b (__TEXT,__text) external ___asan_abi_handle_no_return
