00000001ebe038d0 (__DATA,__data) external _NDR_record
0000000180440010 (__TEXT,__text) external ___fstat
00000001804375e0 (__TEXT,__text) external ___fstat64_extended
000000018043ebdc (__TEXT,__text) external ___fstat_extended
0000000180440068 (__TEXT,__text) external ___fstatat
00000001804400c0 (__TEXT,__text) external ___fstatfs
000000018043ec08 (__TEXT,__text) external ___fsync_nocancel
000000018043b244 (__TEXT,__text) external ___get_remove_counter
0000000180432618 (__TEXT,__text) external ___getattrlist
000000018043387c (__TEXT,__text) external ___getdirentries64
00000001804401c8 (__TEXT,__text) external ___getfsstat
00000001804374a4 (__TEXT,__text) external ___gethostuuid
000000018043da80 (__TEXT,__text) external ___getlogin
000000018043628c (__TEXT,__text) external ___getpeername
000000018043215c (__TEXT,__text) external ___getpid
0000000180433f80 (__TEXT,__text) external ___getrlimit
000000018043ec34 (__TEXT,__text) external ___getsgroups
0000000180439790 (__TEXT,__text) external ___getsockname
000000018043373c (__TEXT,__text) external ___gettid
0000000180435a14 (__TEXT,__text) external ___gettimeofday
00000001804359e8 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018043ec60 (__TEXT,__text) external ___getwgroups
000000018043ec8c (__TEXT,__text) external ___guarded_open_dprotected_np
000000018043544c (__TEXT,__text) external ___guarded_open_np
000000018043ecb8 (__TEXT,__text) external ___identitysvc
0000000180435770 (__TEXT,__text) external ___inc_remove_counter
000000018043da54 (__TEXT,__text) external ___initgroups
00000001804360cc (__TEXT,__text) external ___ioctl
000000018043643c (__TEXT,__text) external ___iopolicysys
000000018043ece4 (__TEXT,__text) external ___kdebug_trace
00000001804347cc (__TEXT,__text) external ___kdebug_trace64
000000018043ed10 (__TEXT,__text) external ___kdebug_trace_string
0000000180437780 (__TEXT,__text) external ___kdebug_typefilter
0000000180465d88 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
0000000180465d50 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180439d9c (__TEXT,__text) external ___kill
0000000180438188 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001804376bc (__TEXT,__text) external ___lchown
00000001804377ac (__TEXT,__text) external ___libkernel_init
0000000180441414 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180441314 (__TEXT,__text) external ___libkernel_init_late
0000000180437a50 (__TEXT,__text) external ___libkernel_platform_init
000000018043214c (__TEXT,__text) external ___libkernel_voucher_init
000000018043a438 (__TEXT,__text) external ___listen
000000018043ed3c (__TEXT,__text) external ___log_data
00000001804334dc (__TEXT,__text) external ___lseek
00000001804403ac (__TEXT,__text) external ___lstat
0000000180437528 (__TEXT,__text) external ___lstat64_extended
000000018043ed68 (__TEXT,__text) external ___lstat_extended
000000018043ed94 (__TEXT,__text) external ___mac_execve
000000018043edc0 (__TEXT,__text) external ___mac_get_fd
000000018043edec (__TEXT,__text) external ___mac_get_file
000000018043ee18 (__TEXT,__text) external ___mac_get_link
000000018043ee44 (__TEXT,__text) external ___mac_get_mount
000000018043ee70 (__TEXT,__text) external ___mac_get_pid
000000018043ee9c (__TEXT,__text) external ___mac_get_proc
000000018043eec8 (__TEXT,__text) external ___mac_getfsstat
000000018043eef4 (__TEXT,__text) external ___mac_mount
000000018043ef20 (__TEXT,__text) external ___mac_set_fd
000000018043ef4c (__TEXT,__text) external ___mac_set_file
000000018043ef78 (__TEXT,__text) external ___mac_set_link
000000018043a3d8 (__TEXT,__text) external ___mac_set_proc
00000001804335e8 (__TEXT,__text) external ___mac_syscall
000000018043efa4 (__TEXT,__text) external ___mach_bridge_remote_time
000000018043efd0 (__TEXT,__text) external ___mach_eventlink_signal
000000018043effc (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018043f028 (__TEXT,__text) external ___mach_eventlink_wait_until
000000018043f054 (__TEXT,__text) external ___map_with_linking_np
000000018043f080 (__TEXT,__text) external ___memorystatus_available_memory
000000018043f0ac (__TEXT,__text) external ___microstackshot
000000018043f0d8 (__TEXT,__text) external ___mkdir_extended
000000018043f104 (__TEXT,__text) external ___mkfifo_extended
00000001804328d0 (__TEXT,__text) external ___mmap
00000001804359bc (__TEXT,__text) external ___mprotect
000000018043f130 (__TEXT,__text) external ___msgctl
000000018043f15c (__TEXT,__text) external ___msgrcv_nocancel
000000018043f188 (__TEXT,__text) external ___msgsnd_nocancel
000000018043f1b4 (__TEXT,__text) external ___msgsys
00000001804380f8 (__TEXT,__text) external ___msync
000000018043f1e0 (__TEXT,__text) external ___msync_nocancel
00000001804355e0 (__TEXT,__text) external ___munmap
000000018043f20c (__TEXT,__text) external ___nexus_create
000000018043f238 (__TEXT,__text) external ___nexus_deregister
000000018043f264 (__TEXT,__text) external ___nexus_destroy
000000018043f290 (__TEXT,__text) external ___nexus_get_opt
000000018043f2bc (__TEXT,__text) external ___nexus_open
000000018043f2e8 (__TEXT,__text) external ___nexus_register
000000018043f314 (__TEXT,__text) external ___nexus_set_opt
0000000180432670 (__TEXT,__text) external ___open
00000001804375b4 (__TEXT,__text) external ___open_dprotected_np
000000018043e080 (__TEXT,__text) external ___open_extended
0000000180432800 (__TEXT,__text) external ___open_nocancel
0000000180433468 (__TEXT,__text) external ___openat
000000018043f340 (__TEXT,__text) external ___openat_dprotected_np
0000000180437714 (__TEXT,__text) external ___openat_nocancel
00000001ebe03938 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000018044db60 (__TEXT,__text) external ___os_nexus_flow_add
000000018044dbe8 (__TEXT,__text) external ___os_nexus_flow_del
000000018044dd38 (__TEXT,__text) external ___os_nexus_get_llink_info
000000018044d980 (__TEXT,__text) external ___os_nexus_ifattach
000000018044daa0 (__TEXT,__text) external ___os_nexus_ifdetach
000000018043f36c (__TEXT,__text) external ___oslog_coproc
000000018043f398 (__TEXT,__text) external ___oslog_coproc_reg
0000000180435b0c (__TEXT,__text) external ___persona
0000000180438124 (__TEXT,__text) external ___pipe
000000018043f3c4 (__TEXT,__text) external ___poll_nocancel
0000000180438e3c (__TEXT,__text) external ___posix_spawn
000000018043f3f0 (__TEXT,__text) external ___pread_nocancel
000000018043f41c (__TEXT,__text) external ___preadv_nocancel
0000000180432fc8 (__TEXT,__text) external ___proc_info
000000018043f448 (__TEXT,__text) external ___proc_info_extended_id
0000000180439808 (__TEXT,__text) external ___process_policy
0000000180437e88 (__TEXT,__text) external ___pselect
000000018043f474 (__TEXT,__text) external ___pselect_nocancel
00000001804353f0 (__TEXT,__text) external ___psynch_cvbroad
0000000180435a70 (__TEXT,__text) external ___psynch_cvclrprepost
0000000180436818 (__TEXT,__text) external ___psynch_cvsignal
00000001804353c4 (__TEXT,__text) external ___psynch_cvwait
0000000180434a60 (__TEXT,__text) external ___psynch_mutexdrop
0000000180434894 (__TEXT,__text) external ___psynch_mutexwait
000000018043f4a0 (__TEXT,__text) external ___psynch_rw_downgrade
000000018043f4cc (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180437034 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180437008 (__TEXT,__text) external ___psynch_rw_unlock
000000018043f4f8 (__TEXT,__text) external ___psynch_rw_unlock2
000000018043f524 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180436fdc (__TEXT,__text) external ___psynch_rw_wrlock
000000018043f550 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000018043dd64 (__TEXT,__text) external ___pthread_canceled
0000000180438bcc (__TEXT,__text) external ___pthread_chdir
0000000180438ba0 (__TEXT,__text) external ___pthread_fchdir
000000018043a380 (__TEXT,__text) external ___pthread_kill
000000018043f57c (__TEXT,__text) external ___pthread_markcancel
0000000180439278 (__TEXT,__text) external ___pthread_sigmask
000000018043a80c (__TEXT,__text) external ___ptrace
000000018043f5a8 (__TEXT,__text) external ___pwrite_nocancel
000000018043f5d4 (__TEXT,__text) external ___pwritev_nocancel
0000000180433b64 (__TEXT,__text) external ___read_nocancel
000000018043f600 (__TEXT,__text) external ___readv_nocancel
000000018043f62c (__TEXT,__text) external ___reboot
000000018043f658 (__TEXT,__text) external ___record_system_event
0000000180436150 (__TEXT,__text) external ___recvfrom
0000000180436018 (__TEXT,__text) external ___recvfrom_nocancel
0000000180436580 (__TEXT,__text) external ___recvmsg
000000018043f684 (__TEXT,__text) external ___recvmsg_nocancel
00000001ee410720 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000180435744 (__TEXT,__text) external ___rename
000000018043f6b0 (__TEXT,__text) external ___renameat
000000018043f6dc (__TEXT,__text) external ___renameatx_np
00000001804357b0 (__TEXT,__text) external ___rmdir
000000018043ed94 (__TEXT,__text) external ___sandbox_me
000000018043eef4 (__TEXT,__text) external ___sandbox_mm
00000001804335e8 (__TEXT,__text) external ___sandbox_ms
000000018043a3d8 (__TEXT,__text) external ___sandbox_msp
000000018043cc24 (__TEXT,__text) external ___select
0000000180435fec (__TEXT,__text) external ___select_nocancel
000000018043b4d0 (__TEXT,__text) external ___sem_open
000000018043f708 (__TEXT,__text) external ___sem_wait_nocancel
000000018043f734 (__TEXT,__text) external ___semctl
000000018043f760 (__TEXT,__text) external ___semsys
00000001804351c0 (__TEXT,__text) external ___semwait_signal
00000001804392a4 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180437740 (__TEXT,__text) external ___sendmsg
0000000180436070 (__TEXT,__text) external ___sendmsg_nocancel
0000000180436124 (__TEXT,__text) external ___sendto
0000000180435f8c (__TEXT,__text) external ___sendto_nocancel
0000000180435340 (__TEXT,__text) external ___setattrlist
000000018043da28 (__TEXT,__text) external ___setlogin
0000000180439eb0 (__TEXT,__text) external ___setpriority
000000018043f78c (__TEXT,__text) external ___setregid
000000018043f7b8 (__TEXT,__text) external ___setreuid
00000001804348c8 (__TEXT,__text) external ___setrlimit
000000018043f7e4 (__TEXT,__text) external ___setsgroups
000000018043b258 (__TEXT,__text) external ___settid
000000018043f810 (__TEXT,__text) external ___settid_with_pid
000000018043f83c (__TEXT,__text) external ___settimeofday
000000018043f868 (__TEXT,__text) external ___setwgroups
000000018043b568 (__TEXT,__text) external ___sfi_ctl
000000018043f894 (__TEXT,__text) external ___sfi_pidctl
000000018043f8c0 (__TEXT,__text) external ___shared_region_check_np
000000018043f8ec (__TEXT,__text) external ___shared_region_map_and_slide_2_np
0000000180433410 (__TEXT,__text) external ___shm_open
000000018043f918 (__TEXT,__text) external ___shmctl
000000018043f944 (__TEXT,__text) external ___shmsys
00000001804381b4 (__TEXT,__text) external ___sigaction
00000001804352bc (__TEXT,__text) external ___sigaltstack
000000018043d55c (__TEXT,__text) external ___sigreturn
000000018043f970 (__TEXT,__text) external ___sigsuspend
00000001804392dc (__TEXT,__text) external ___sigsuspend_nocancel
000000018043d5b4 (__TEXT,__text) external ___sigwait
0000000180436044 (__TEXT,__text) external ___socketpair
000000018043f99c (__TEXT,__text) external ___stack_snapshot_with_config
0000000180440dfc (__TEXT,__text) external ___stat
00000001804374d0 (__TEXT,__text) external ___stat64_extended
000000018043f9c8 (__TEXT,__text) external ___stat_extended
0000000180440e28 (__TEXT,__text) external ___statfs
0000000180446ef4 (__TEXT,__text) non-external ___statfs_ext_impl
0000000180433fd8 (__TEXT,__text) external ___syscall
00000001ebe03908 (__DATA,__common) external ___syscall_logger
0000000180433318 (__TEXT,__text) external ___sysctl
0000000180433544 (__TEXT,__text) external ___sysctlbyname
000000018043f9f4 (__TEXT,__text) external ___telemetry
000000018043c3a4 (__TEXT,__text) external ___terminate_with_payload
0000000180433984 (__TEXT,__text) external ___thread_selfid
000000018043fa20 (__TEXT,__text) external ___thread_selfusage
00000001804339b0 (__TEXT,__text) external ___ulock_wait
000000018043fa4c (__TEXT,__text) external ___ulock_wait2
0000000180433a84 (__TEXT,__text) external ___ulock_wake
000000018043fa78 (__TEXT,__text) external ___umask_extended
0000000180435b64 (__TEXT,__text) external ___unlink
000000018043b898 (__TEXT,__text) external ___unlinkat
000000018043faa4 (__TEXT,__text) external ___vfork
00000001804391fc (__TEXT,__text) external ___wait4
000000018043e054 (__TEXT,__text) external ___wait4_nocancel
000000018043fb14 (__TEXT,__text) external ___waitid_nocancel
000000018043a9f4 (__TEXT,__text) external ___work_interval_ctl
00000001804338a8 (__TEXT,__text) external ___workq_kernreturn
00000001804338d4 (__TEXT,__text) external ___workq_open
0000000180435a9c (__TEXT,__text) external ___write_nocancel
000000018043fb40 (__TEXT,__text) external ___writev_nocancel
00000001ebe038fc (__DATA,__common) external __cpu_capabilities
00000001ebe03900 (__DATA,__common) external __cpu_has_altivec
00000001ee4106d8 (__DATA_DIRTY,__data) external __current_pid
00000001ee4106f8 (__DATA_DIRTY,__bss) non-external __dlsym
0000000180431ce0 (__TEXT,__text) external __exclaves_ctl_trap
0000000180442134 (__TEXT,__text) non-external __execve_with_filter
0000000180439308 (__TEXT,__text) external __exit
0000000180437a14 (__TEXT,__text) external __get_cpu_capabilities
00000001ebe03920 (__DATA,__bss) non-external __gethostuuid_callback
0000000180446348 (__TEXT,__text) external __getprivatesystemidentifier
0000000180453370 (__TEXT,__text) external __host_page_size
0000000180437a10 (__TEXT,__text) external __init_cpu_capabilities
0000000180454514 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001804558a4 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018045654c (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180455788 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804563dc (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180431ad0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001804580bc (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000001804571a8 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180431b24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180455b14 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180431adc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804559f8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180457314 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180431b30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180456b3c (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180456f20 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180431b18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000018043bdd0 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000018043c7ec (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180431bd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001804370cc (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180435070 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180457ee4 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000018043dbd0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804567ec (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180457430 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180431be4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180457910 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180456e04 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180431b0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180456198 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180431b00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180457d90 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180456ca0 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018045703c (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180457b50 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180455c30 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180431ae8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018045607c (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180431af4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001804554ac (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180455d4c (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018045566c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180435bbc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180431cd4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001804345bc (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000018043dab0 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180455f60 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001804562c0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018045766c (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180456940 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001804577bc (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180457a30 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000018043aabc (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180431cc8 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180457550 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180431bf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000018045c748 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
000000018045c61c (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180460254 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180458224 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180431a88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018045837c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180431aa0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180432ff4 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180431ac4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180458498 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180431ab8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018045933c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180431a94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804586d8 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180458eb0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804597d4 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180459fdc (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
0000000180464b38 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804566d0 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180436e1c (__TEXT,__text) external __kernelrpc_thread_policy
0000000180437f9c (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001804628e8 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018043de34 (__TEXT,__text) external __kernelrpc_vm_map
0000000180463f1c (__TEXT,__text) external __kernelrpc_vm_purgable_control
000000018043b348 (__TEXT,__text) external __kernelrpc_vm_read
00000001804341c8 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180464070 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000018044148c (__TEXT,__text) non-external __libkernel_bzero
00000001ee4106f0 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001ef4a57d8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001804415f8 (__TEXT,__text) non-external __libkernel_memmove
0000000180441498 (__TEXT,__text) non-external __libkernel_memset
0000000180441454 (__TEXT,__text) non-external __libkernel_strchr
0000000180437a28 (__TEXT,__text) non-external __libkernel_strcmp
00000001804419b4 (__TEXT,__text) non-external __libkernel_strcpy
00000001ee4106e0 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018044227c (__TEXT,__text) non-external __libkernel_strlcpy
000000018044120c (__TEXT,__text) non-external __libkernel_strlen
00000001ee4106e8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000180465d20 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001804438c8 (__TEXT,__text) non-external __mach_continuous_time
00000001e7fe5b28 (__DATA_CONST,__const) external __mach_errors
0000000180443e1c (__TEXT,__text) external __mach_fork_child
00000001804447f4 (__TEXT,__text) external __mach_snprintf
0000000180444690 (__TEXT,__text) external __mach_vsnprintf
00000001ee410760 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001ebe038f0 (__DATA,__common) external __os_xbs_chrooted
00000001804386ec (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001804419fc (__TEXT,__text) non-external __posix_spawn_with_filter
000000018044634c (__TEXT,__text) external __register_gethostuuid_callback
0000000180441710 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804417b4 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001ee410704 (__DATA_DIRTY,__bss) non-external __task_reply_port
0000000180441114 (__TEXT,__text) external __thread_set_tsd_base
0000000180465228 (__TEXT,__text) non-external _abort
0000000180465228 (__TEXT,__text) non-external _abort.572
0000000180465228 (__TEXT,__text) non-external _abort.574
0000000180465228 (__TEXT,__text) non-external _abort.591
00000001804652f8 (__TEXT,__text) external _abort_with_payload
000000018046526c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018046524c (__TEXT,__text) external _abort_with_reason
000000018043a464 (__TEXT,__text) external _accept
000000018043e8f0 (__TEXT,__text) external _accept$NOCANCEL
0000000180432644 (__TEXT,__text) external _access
000000018043e91c (__TEXT,__text) external _accessx_np
000000018043fb6c (__TEXT,__text) external _acct
0000000180461278 (__TEXT,__text) external _act_get_state
00000001804614c0 (__TEXT,__text) external _act_set_state
000000018043fb98 (__TEXT,__text) external _adjtime
000000018043fbc4 (__TEXT,__text) external _aio_cancel
000000018043fbf0 (__TEXT,__text) external _aio_error
000000018043fc1c (__TEXT,__text) external _aio_fsync
000000018043fc48 (__TEXT,__text) external _aio_read
000000018043fc74 (__TEXT,__text) external _aio_return
000000018043fca0 (__TEXT,__text) external _aio_suspend
000000018043e948 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018043fccc (__TEXT,__text) external _aio_write
000000018043fcf8 (__TEXT,__text) external _audit
000000018043d588 (__TEXT,__text) external _audit_session_join
000000018043d374 (__TEXT,__text) external _audit_session_port
0000000180435e2c (__TEXT,__text) external _audit_session_self
000000018043fd24 (__TEXT,__text) external _auditctl
000000018043b528 (__TEXT,__text) external _auditon
00000001804398c8 (__TEXT,__text) external _bind
00000001ee41072c (__DATA_DIRTY,__common) external _bootstrap_port
00000001804411fc (__TEXT,__text) non-external _bzero
0000000180433494 (__TEXT,__text) external _cerror
00000001804325d8 (__TEXT,__text) external _cerror_nocancel
0000000180435d68 (__TEXT,__text) external _change_fdguard_np
0000000180433614 (__TEXT,__text) external _chdir
0000000180439dc8 (__TEXT,__text) external _chflags
00000001804357dc (__TEXT,__text) external _chmod
000000018043989c (__TEXT,__text) external _chown
000000018043fd50 (__TEXT,__text) external _chroot
0000000180450098 (__TEXT,__text) external _clock_alarm
000000018044fe64 (__TEXT,__text) external _clock_alarm_reply
000000018044fecc (__TEXT,__text) external _clock_get_attributes
00000001804372d4 (__TEXT,__text) external _clock_get_time
000000018044fd14 (__TEXT,__text) external _clock_set_attributes
000000018044fbfc (__TEXT,__text) external _clock_set_time
000000018043dd90 (__TEXT,__text) external _clock_sleep
0000000180431ca4 (__TEXT,__text) external _clock_sleep_trap
000000018043bc74 (__TEXT,__text) external _clonefile
0000000180436ad0 (__TEXT,__text) external _clonefileat
00000001804327a8 (__TEXT,__text) external _close
000000018043343c (__TEXT,__text) external _close$NOCANCEL
000000018044c3ec (__TEXT,__text) external _coalition_create
000000018044c494 (__TEXT,__text) external _coalition_info_debug_info
000000018044c45c (__TEXT,__text) external _coalition_info_resource_usage
000000018044c504 (__TEXT,__text) external _coalition_info_set_efficiency
000000018044c4cc (__TEXT,__text) external _coalition_info_set_name
000000018044c540 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000018043fd7c (__TEXT,__text) external _coalition_policy_get
000000018043fda8 (__TEXT,__text) external _coalition_policy_set
000000018044c42c (__TEXT,__text) external _coalition_reap
000000018044c3fc (__TEXT,__text) external _coalition_terminate
00000001804360f8 (__TEXT,__text) external _connect
0000000180435f60 (__TEXT,__text) external _connect$NOCANCEL
000000018043617c (__TEXT,__text) external _connectx
0000000180433794 (__TEXT,__text) external _csops
00000001804325ac (__TEXT,__text) external _csops_audittoken
000000018043269c (__TEXT,__text) external _csr_check
000000018043a7fc (__TEXT,__text) external _csr_get_active_config
0000000180431d40 (__TEXT,__text) external _debug_control_port_for_pid
000000018044c734 (__TEXT,__text) external _debug_syscall_reject
000000018044c620 (__TEXT,__text) external _debug_syscall_reject_config
00000001ebe038c8 (__DATA,__data) external _denap_boost_assertion_token
