00007fff77a4468f (__TEXT,__text) external _AAArchiveStreamCancel
00007fff77a7743d (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007fff77a77429 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007fff77a75340 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007fff77a773a1 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007fff77a79b3a (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007fff77a74848 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007fff77a730dd (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007fff77a733c3 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007fff77a733ad (__TEXT,__text) external _AAEntryACLBlobClear
00007fff77a7327d (__TEXT,__text) external _AAEntryACLBlobCreate
00007fff77a7331a (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007fff77a73361 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007fff77a732e6 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007fff77a7406f (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007fff77a74065 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007fff77a73bf0 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007fff77a73be8 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007fff77a73fa8 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007fff77a73d9d (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007fff77a71a5e (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007fff77a71d83 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007fff77a71d6d (__TEXT,__text) external _AAEntryXATBlobClear
00007fff77a71c42 (__TEXT,__text) external _AAEntryXATBlobCreate
00007fff77a71cdf (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007fff77a71d26 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007fff77a71cab (__TEXT,__text) external _AAEntryXATBlobDestroy
00007fff77a725e7 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007fff77a725dd (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007fff77a7217a (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007fff77a72172 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007fff77a724d3 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007fff77a722ab (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007fff77a74585 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007fff77a7445e (__TEXT,__text) external _AAEntryYECBlobCreate
00007fff77a744f2 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007fff77a74539 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007fff77a744bf (__TEXT,__text) external _AAEntryYECBlobDestroy
00007fff77a7483e (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007fff77a74835 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007fff77a6ace0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007fff77a684d5 (__TEXT,__text) external _AAFieldKeySetClear
00007fff77a683ab (__TEXT,__text) external _AAFieldKeySetClone
00007fff77a684eb (__TEXT,__text) external _AAFieldKeySetContainsKey
00007fff77a67ffe (__TEXT,__text) external _AAFieldKeySetCreate
00007fff77a6805f (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007fff77a68385 (__TEXT,__text) external _AAFieldKeySetDestroy
00007fff77a68b1b (__TEXT,__text) external _AAFieldKeySetGetKey
00007fff77a68b13 (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007fff77a68581 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007fff77a687ef (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007fff77a6872c (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007fff77a689ef (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007fff77a68a98 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007fff77a68b2a (__TEXT,__text) external _AAFieldKeySetSerialize
00007fff77a76ee0 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007fff77a7705f (__TEXT,__text) external _AAFileStreamOpenWithPath
00007fff77a7a872 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007fff77a70015 (__TEXT,__text) external _AAHeaderAssign
00007fff77a703af (__TEXT,__text) external _AAHeaderClear
00007fff77a6ff64 (__TEXT,__text) external _AAHeaderClone
00007fff77a6fe7b (__TEXT,__text) external _AAHeaderCreate
00007fff77a700e8 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007fff77a7012f (__TEXT,__text) external _AAHeaderCreateWithPath
00007fff77a6ff27 (__TEXT,__text) external _AAHeaderDestroy
00007fff77a7138b (__TEXT,__text) external _AAHeaderGetEncodedData
00007fff77a71381 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007fff77a7079f (__TEXT,__text) external _AAHeaderGetFieldBlob
00007fff77a703d4 (__TEXT,__text) external _AAHeaderGetFieldCount
00007fff77a70602 (__TEXT,__text) external _AAHeaderGetFieldHash
00007fff77a70468 (__TEXT,__text) external _AAHeaderGetFieldKey
00007fff77a70541 (__TEXT,__text) external _AAHeaderGetFieldString
00007fff77a706e7 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007fff77a70411 (__TEXT,__text) external _AAHeaderGetFieldType
00007fff77a704bc (__TEXT,__text) external _AAHeaderGetFieldUInt
00007fff77a703dc (__TEXT,__text) external _AAHeaderGetKeyIndex
00007fff77a71377 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007fff77a7017b (__TEXT,__text) external _AAHeaderRemoveField
00007fff77a711a1 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007fff77a7082c (__TEXT,__text) external _AAHeaderSetFieldFlag
00007fff77a70de9 (__TEXT,__text) external _AAHeaderSetFieldHash
00007fff77a70c17 (__TEXT,__text) external _AAHeaderSetFieldString
00007fff77a70fd8 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007fff77a70a42 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007fff77a59aba (__TEXT,__text) external _AAMemoryInputStreamOpen
00007fff77a68ba0 (__TEXT,__text) external _AAPathListCreate
00007fff77a68d33 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007fff77a68d04 (__TEXT,__text) external _AAPathListDestroy
00007fff77a6a9ff (__TEXT,__text) external _AAPathListMerge
00007fff77a6ab4c (__TEXT,__text) external _AAPathListNodeFirst
00007fff77a6a8b7 (__TEXT,__text) external _AAPathListNodeGetPath
00007fff77a6ab68 (__TEXT,__text) external _AAPathListNodeNext
00007fff77a77220 (__TEXT,__text) external _AASharedBufferPipeOpen
00007fff77a770db (__TEXT,__text) external _AATempFileStreamOpen
00007fff77a67fdc (__TEXT,__text) external _AAThreadErrorContextEnter
00007fff77a67fe6 (__TEXT,__text) external _AAThreadErrorContextLeave
00007fff77a61a19 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007fff77a61e1b (__TEXT,__text) external _AEAAuthDataClear
00007fff77a61504 (__TEXT,__text) external _AEAAuthDataCreate
00007fff77a615a1 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007fff77a6156d (__TEXT,__text) external _AEAAuthDataDestroy
00007fff77a61f45 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007fff77a61f3b (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007fff77a618e8 (__TEXT,__text) external _AEAAuthDataGetEntry
00007fff77a618e0 (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007fff77a61e31 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007fff77a61bfd (__TEXT,__text) external _AEAAuthDataSetEntry
00007fff77a6479f (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007fff77a6467b (__TEXT,__text) external _AEAContextCreateWithProfile
00007fff77a64723 (__TEXT,__text) external _AEAContextDestroy
00007fff77a64cec (__TEXT,__text) external _AEAContextGetFieldBlob
00007fff77a64c30 (__TEXT,__text) external _AEAContextGetFieldUInt
00007fff77a6505c (__TEXT,__text) external _AEAContextSetFieldBlob
00007fff77a65538 (__TEXT,__text) external _AEAContextSetFieldCallback
00007fff77a64eb5 (__TEXT,__text) external _AEAContextSetFieldUInt
00007fff77a4cc21 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007fff77a4c7c7 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007fff77a4c840 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007fff77a4c734 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007fff77a55267 (__TEXT,__text) external _AEADecryptToFile
00007fff77a4eb30 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007fff77a4767a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007fff77a52552 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007fff77a5183a (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007fff77a51e07 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007fff77a4e0bf (__TEXT,__text) external _AEAKeychainGenerateItem
00007fff77a4e95e (__TEXT,__text) external _AEAKeychainHasItem
00007fff77a4e7aa (__TEXT,__text) external _AEAKeychainLoadItem
00007fff77a4ea62 (__TEXT,__text) external _AEAKeychainRemoveItem
00007fff77a4e364 (__TEXT,__text) external _AEAKeychainStoreItem
00007fff77a4ba20 (__TEXT,__text) external _AEAStreamSign
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007fff77a59de5 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007fff77a59d49 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007fff77a59ca4 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007fff77a5f329 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007fff77a5f2cc (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007fff77a5f2e5 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007fff77a5f463 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007fff77a5f44f (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007fff77a5f459 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007fff77a86500 (__TEXT,__const) non-external _CKSUMTable
00007fff77a778c9 (__TEXT,__text) non-external _CompressionConsumerProc
00007fff77a7772f (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007fff77a78478 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007fff77a7783f (__TEXT,__text) non-external _CompressionWorkerProc
00007fff77a4d4c8 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007fff77a4d16c (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007fff77a4d9db (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007fff77a4dc27 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007fff77a4d804 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007fff77a4d985 (__TEXT,__text) non-external _Digest_SHA256
00007fff77a535b8 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007fff77a531ec (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007fff77a86440 (__TEXT,__const) non-external _ECC65537_G
00007fff77a5a2d1 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007fff77a4c5b0 (__TEXT,__text) non-external _HKDFDerive
00007fff77a4df29 (__TEXT,__text) non-external _HMACDerive_SHA256
00007fff77a4deb8 (__TEXT,__text) non-external _HMACFinal_SHA256
00007fff77a4de59 (__TEXT,__text) non-external _HMACInit_SHA256
00007fff77a4dea0 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007fff77a4e006 (__TEXT,__text) non-external _HMACVerify_SHA256
00007fff77a5452f (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007fff77a542ae (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007fff77a54410 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007fff77a54514 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007fff77a54274 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007fff77a5b796 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007fff77a5babc (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007fff77a5baf3 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007fff77a5b76f (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007fff77a5b4d0 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007fff77a5b5c7 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007fff77a5b55e (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
00007fff77a5b5ed (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
00007fff77a5bc08 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
00007fff77a5bf3d (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
00007fff77a5bf4b (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyWithStats
00007fff77a5c10a (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
00007fff77a5b0f9 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
00007fff77a5b2dd (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
00007fff77a5b30c (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
00007fff77a5b323 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
00007fff77a5b33a (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
00007fff77a5b78d (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
00007fff77a4942d (__TEXT,__text) non-external (was a private external) _PCompressCopyDecode
00007fff77a49403 (__TEXT,__text) non-external (was a private external) _PCompressCopyEncode
00007fff77a47ac4 (__TEXT,__text) non-external (was a private external) _PCompressFilter
00007fff77a445d4 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderDescription
00007fff77a531d0 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderFilter
00007fff77a445ad (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderKey
00007fff77a4459c (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDecoder
00007fff77a44580 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDescription
00007fff77a531b4 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderFilter
00007fff77a4947e (__TEXT,__text) non-external (was a private external) _PCompressLZ4Decode
00007fff77a49457 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Encode
00007fff77a4c1f0 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEDecode
00007fff77a4c1c9 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEEncode
00007fff77a4c217 (__TEXT,__text) non-external (was a private external) _PCompressLZMA6Encode
00007fff77a4c268 (__TEXT,__text) non-external (was a private external) _PCompressLZMADecode
00007fff77a530b3 (__TEXT,__text) non-external (was a private external) _PCompressLZVNDecode
00007fff77a5308c (__TEXT,__text) non-external (was a private external) _PCompressLZVNEncode
00007fff77a530da (__TEXT,__text) non-external (was a private external) _PCompressZLIB5Encode
00007fff77a53122 (__TEXT,__text) non-external (was a private external) _PCompressZLIBDecode
00007fff77a5a59d (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixCommon
00007fff77a5b0d1 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixFileSegment
00007fff77a5e5f4 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCCompress
00007fff77a5e2d8 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadata
00007fff77a5db4f (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamClose
00007fff77a5d59c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamOpen
00007fff77a5d8f0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamWrite
00007fff77a53161 (__TEXT,__text) non-external (was a private external) _ParallelCompressionDecode
00007fff77a61431 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEnterThreadErrorContext
00007fff77a6143b (__TEXT,__text) non-external (was a private external) _ParallelCompressionLeaveThreadErrorContext
00007fff77a61445 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateError
00007fff77a61461 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateWarning
00007fff77a4c6f3 (__TEXT,__text) non-external _RNG
00007fff77a7a50a (__TEXT,__text) non-external _RandomAccessDecompressStreamAbort
00007fff77a7a314 (__TEXT,__text) non-external _RandomAccessDecompressStreamDestroy
00007fff77a7a381 (__TEXT,__text) non-external _RandomAccessDecompressStreamGetBlock
00007fff77a47aa8 (__TEXT,__text) non-external _RandomAccessDecryptionStreamAbort
00007fff77a4793b (__TEXT,__text) non-external _RandomAccessDecryptionStreamDestroy
00007fff77a47a2f (__TEXT,__text) non-external _RandomAccessDecryptionStreamGetBlock
00007fff77a4cf94 (__TEXT,__text) non-external _ScryptDerive_KEY256
                 (undefined) external _SecAccessControlCreateWithFlags (from Security)
                 (undefined) external _SecItemAdd (from Security)
                 (undefined) external _SecItemCopyMatching (from Security)
                 (undefined) external _SecItemDelete (from Security)
00007fff77a52bbe (__TEXT,__text) non-external _SharedArrayEnqueue
00007fff77a550a0 (__TEXT,__text) non-external _SharedArrayEnqueue
00007fff77a5d279 (__TEXT,__text) non-external _SharedArrayEnqueue
00007fff77a548ab (__TEXT,__text) non-external _SharedArrayPush
00007fff77a7b213 (__TEXT,__text) non-external _SharedArrayPush
00007fff77a54d6a (__TEXT,__text) non-external (was a private external) _SharedBufferAbort
00007fff77a54543 (__TEXT,__text) non-external (was a private external) _SharedBufferCreate
00007fff77a54a06 (__TEXT,__text) non-external (was a private external) _SharedBufferDecRefCount
00007fff77a5499a (__TEXT,__text) non-external (was a private external) _SharedBufferDestroy
00007fff77a54a18 (__TEXT,__text) non-external (was a private external) _SharedBufferFillFromStream
00007fff77a54e0e (__TEXT,__text) non-external (was a private external) _SharedBufferFlushToStream
00007fff77a5520f (__TEXT,__text) non-external (was a private external) _SharedBufferRead
00007fff77a551e9 (__TEXT,__text) non-external _SharedBufferReadFromBufferProc
00007fff77a551a3 (__TEXT,__text) non-external (was a private external) _SharedBufferWrite
00007fff77a55247 (__TEXT,__text) non-external _SharedBufferWriteToBufferProc
00007fff77a59f24 (__TEXT,__text) non-external (was a private external) _StringTableAppend
00007fff77a5a025 (__TEXT,__text) non-external (was a private external) _StringTableAppendTable
00007fff77a59f10 (__TEXT,__text) non-external (was a private external) _StringTableClear
00007fff77a59e0b (__TEXT,__text) non-external (was a private external) _StringTableCreate
00007fff77a59ee1 (__TEXT,__text) non-external (was a private external) _StringTableDestroy
00007fff77a5a2c9 (__TEXT,__text) non-external (was a private external) _StringTableSize
00007fff77a5a122 (__TEXT,__text) non-external (was a private external) _StringTableSort
00007fff77a5c3f6 (__TEXT,__text) non-external (was a private external) _ThreadPipelineCreate
00007fff77a5ce10 (__TEXT,__text) non-external (was a private external) _ThreadPipelineDestroy
00007fff77a5d37c (__TEXT,__text) non-external (was a private external) _ThreadPipelineGetWorker
00007fff77a5d49d (__TEXT,__text) non-external (was a private external) _ThreadPipelineRunWorker
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007fff77a47630 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007fff77a47650 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007fff869151e0 (__DATA,__data) non-external __dyld_private
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00007fff77a66f0e (__TEXT,__text) non-external (was a private external) _aaBlobReserve
00007fff77a77aac (__TEXT,__text) non-external _aaCompressionOutputStreamAbort
00007fff77a77ab9 (__TEXT,__text) non-external _aaCompressionOutputStreamClose
00007fff77a77972 (__TEXT,__text) non-external _aaCompressionOutputStreamWrite
00007fff77a67343 (__TEXT,__text) non-external (was a private external) _aaComputeHashes
00007fff77a79b18 (__TEXT,__text) non-external _aaDecompressionStreamAbort
00007fff77a79213 (__TEXT,__text) non-external _aaDecompressionStreamClose
00007fff77a792c1 (__TEXT,__text) non-external _aaDecompressionStreamRead
00007fff77a790c8 (__TEXT,__text) non-external _aaDecompressionStreamReadInput
00007fff77a78f3a (__TEXT,__text) non-external _aaDecompressionStreamRefill
00007fff77a725f4 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithEncodedData
00007fff77a7293b (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithPath
00007fff77a678d6 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesApplyToPath
00007fff77a6776c (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithHeader
00007fff77a67742 (__TEXT,__text) non-external (was a private external) _aaEntryTypeFromMode
00007fff77a71395 (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithEncodedData
00007fff77a71634 (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithPath
00007fff77a74079 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithEncodedData
00007fff77a740e7 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithPath
00007fff77a77037 (__TEXT,__text) non-external _aaFileStreamAbort
00007fff77a76da5 (__TEXT,__text) non-external _aaFileStreamClose
00007fff77a77001 (__TEXT,__text) non-external _aaFileStreamPRead
00007fff77a7701c (__TEXT,__text) non-external _aaFileStreamPWrite
00007fff77a76fcb (__TEXT,__text) non-external _aaFileStreamRead
00007fff77a77044 (__TEXT,__text) non-external _aaFileStreamSeek
00007fff77a76d69 (__TEXT,__text) non-external (was a private external) _aaFileStreamTruncate
00007fff77a76fe6 (__TEXT,__text) non-external _aaFileStreamWrite
00007fff77a675c0 (__TEXT,__text) non-external (was a private external) _aaHeaderBlobArrayInitWithHeader
00007fff77a6ec20 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithEncodedData
