000000018c744348 (__TEXT,__const) non-external _KW_ANY
000000018c72c068 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018c72c114 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018c72bfd8 (__TEXT,__text) external _XML_SetElementHandler
000000018c72b1d8 (__TEXT,__text) external _XML_SetEncoding
000000018c72c038 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018c72c080 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018c72bff0 (__TEXT,__text) external _XML_SetEndElementHandler
000000018c72c0bc (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018c72c12c (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018c72c0d4 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018c72c0e0 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018c72c16c (__TEXT,__text) external _XML_SetHashSalt
000000018c72c0a4 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018c72c0c8 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018c72c098 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018c72c144 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018c72c008 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018c72beac (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018c72c0f8 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018c72c02c (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018c72c074 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018c72bfe4 (__TEXT,__text) external _XML_SetStartElementHandler
000000018c72c0b0 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018c72c104 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018c72c08c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018c72bed4 (__TEXT,__text) external _XML_SetUserData
000000018c72c138 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018c72c7a0 (__TEXT,__text) external _XML_StopParser
000000018c72be78 (__TEXT,__text) external _XML_UseForeignDTD
000000018c72be6c (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018c73676c (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018c736d08 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018c736760 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018c736cfc (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018c736778 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018c736d14 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018c7361b8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018c736f34 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018c7368a4 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018c736dd0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018c733f88 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018c7340c8 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018c7361b0 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018c736160 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018c7360a4 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018c735ff8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018c72e824 (__TEXT,__text) non-external _accountingDiffTolerated
000000018c743488 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018c73047c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018c7434b4 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018c7304c0 (__TEXT,__text) non-external _accountingReportStats
000000018c732ab4 (__TEXT,__text) non-external _addBinding
000000018c744132 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018c744157 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018c732fb4 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001dd8d4d38 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001dd8d5648 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018c73f1c8 (__TEXT,__text) non-external _ascii_toUtf8
000000018c73475c (__TEXT,__text) non-external _attlist0
000000018c735120 (__TEXT,__text) non-external _attlist1
000000018c7351c4 (__TEXT,__text) non-external _attlist2
00000001d49517a0 (__DATA_CONST,__const) non-external _attlist2.types
000000018c735474 (__TEXT,__text) non-external _attlist3
000000018c73560c (__TEXT,__text) non-external _attlist4
000000018c735420 (__TEXT,__text) non-external _attlist5
000000018c73553c (__TEXT,__text) non-external _attlist6
000000018c73559c (__TEXT,__text) non-external _attlist7
000000018c7352e4 (__TEXT,__text) non-external _attlist8
000000018c7354dc (__TEXT,__text) non-external _attlist9
000000018c741474 (__TEXT,__text) non-external _big2_attributeValueTok
000000018c74100c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018c741cac (__TEXT,__text) non-external _big2_charRefNumber
000000018c742ca8 (__TEXT,__text) non-external _big2_checkPiTarget
000000018c73fda4 (__TEXT,__text) non-external _big2_contentTok
00000001dd8d4998 (__AUTH_CONST,__const) non-external _big2_encoding
00000001dd8d52a8 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018c7415dc (__TEXT,__text) non-external _big2_entityValueTok
000000018c74188c (__TEXT,__text) non-external _big2_getAtts
000000018c7412a8 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018c741fdc (__TEXT,__text) non-external _big2_isPublicId
000000018c7417a8 (__TEXT,__text) non-external _big2_nameLength
000000018c74175c (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018c741d8c (__TEXT,__text) non-external _big2_predefinedEntityName
000000018c73f214 (__TEXT,__text) non-external _big2_prologTok
000000018c744a8b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018c742b10 (__TEXT,__text) non-external _big2_scanComment
000000018c7422b8 (__TEXT,__text) non-external _big2_scanLit
000000018c742894 (__TEXT,__text) non-external _big2_scanPercent
000000018c742430 (__TEXT,__text) non-external _big2_scanPi
000000018c742d44 (__TEXT,__text) non-external _big2_scanRef
000000018c741848 (__TEXT,__text) non-external _big2_skipS
000000018c742224 (__TEXT,__text) non-external _big2_toUtf16
000000018c742090 (__TEXT,__text) non-external _big2_toUtf8
000000018c741ee0 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018c7328bc (__TEXT,__text) non-external _cdataSectionProcessor
000000018c73644c (__TEXT,__text) non-external _checkCharRefNumber
000000018c734d7c (__TEXT,__text) non-external _condSect0
000000018c734e54 (__TEXT,__text) non-external _condSect1
000000018c734ec4 (__TEXT,__text) non-external _condSect2
000000018c72f1a4 (__TEXT,__text) non-external _contentProcessor
000000018c733dcc (__TEXT,__text) non-external _copyEntityTable
000000018c72b248 (__TEXT,__text) non-external _copyString
000000018c734bfc (__TEXT,__text) non-external _declClose
000000018c72f534 (__TEXT,__text) non-external _defineAttribute
000000018c7325d8 (__TEXT,__text) non-external _doCdataSection
000000018c730870 (__TEXT,__text) non-external _doContent
000000018c72fd30 (__TEXT,__text) non-external _doIgnoreSection
000000018c736900 (__TEXT,__text) non-external _doParseXmlDecl
000000018c72cfd8 (__TEXT,__text) non-external _doProlog
000000018c744242 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018c74425f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018c744258 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018c744248 (__TEXT,__const) non-external _doProlog.atypeID
000000018c74424b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018c744251 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018c744268 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018c744270 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018c74345c (__TEXT,__text) non-external _doProlog.cold.1
000000018c744027 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018c744029 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018c74401d (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018c734208 (__TEXT,__text) non-external _doctype0
000000018c734274 (__TEXT,__text) non-external _doctype1
000000018c73468c (__TEXT,__text) non-external _doctype2
000000018c73462c (__TEXT,__text) non-external _doctype3
000000018c735f7c (__TEXT,__text) non-external _doctype4
000000018c73487c (__TEXT,__text) non-external _doctype5
000000018c7347c0 (__TEXT,__text) non-external _element0
000000018c73567c (__TEXT,__text) non-external _element1
000000018c73579c (__TEXT,__text) non-external _element2
000000018c735900 (__TEXT,__text) non-external _element3
000000018c735c54 (__TEXT,__text) non-external _element4
000000018c735cb8 (__TEXT,__text) non-external _element5
000000018c7359b0 (__TEXT,__text) non-external _element6
000000018c735ad0 (__TEXT,__text) non-external _element7
00000001d4951810 (__DATA_CONST,__const) non-external _encodings
00000001d4951848 (__DATA_CONST,__const) non-external _encodingsNS
000000018c7346ec (__TEXT,__text) non-external _entity0
000000018c7348dc (__TEXT,__text) non-external _entity1
000000018c734c70 (__TEXT,__text) non-external _entity10
000000018c73493c (__TEXT,__text) non-external _entity2
000000018c734f84 (__TEXT,__text) non-external _entity3
000000018c734f24 (__TEXT,__text) non-external _entity4
000000018c734fe4 (__TEXT,__text) non-external _entity5
000000018c7350b8 (__TEXT,__text) non-external _entity6
000000018c734a3c (__TEXT,__text) non-external _entity7
000000018c734b9c (__TEXT,__text) non-external _entity8
000000018c734b3c (__TEXT,__text) non-external _entity9
000000018c730248 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018c733674 (__TEXT,__text) non-external _entityTrackingReportStats
000000018c7434e0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018c73399c (__TEXT,__text) non-external _entityValueInitProcessor
000000018c733c98 (__TEXT,__text) non-external _entityValueProcessor
000000018c7323d4 (__TEXT,__text) non-external _epilogProcessor
000000018c73426c (__TEXT,__text) non-external _error
000000018c72c3dc (__TEXT,__text) non-external _errorProcessor
000000018c732f50 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018c72bcc0 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018c733770 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018c73388c (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018c72bd3c (__TEXT,__text) non-external _externalParEntInitProcessor
000000018c733b60 (__TEXT,__text) non-external _externalParEntProcessor
000000018c7340e0 (__TEXT,__text) non-external _externalSubset0
000000018c734cec (__TEXT,__text) non-external _externalSubset1
000000018c736bf4 (__TEXT,__text) non-external _findEncoding
000000018c736e2c (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018c732374 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018c72f298 (__TEXT,__text) non-external _getAttributeId
000000018c72cd48 (__TEXT,__text) non-external _getDebugLevel
000000018c72f208 (__TEXT,__text) non-external _getElementType
000000018c7367f4 (__TEXT,__text) non-external _getEncodingIndex
00000001d49517e0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018c72cecc (__TEXT,__text) non-external _handleUnknownEncoding
000000018c730538 (__TEXT,__text) non-external _hash
000000018c733d60 (__TEXT,__text) non-external _hashTableDestroy
000000018c72fed4 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018c744279 (__TEXT,__const) non-external _implicitContext
000000018c73efd4 (__TEXT,__text) non-external _initScan
000000018c736878 (__TEXT,__text) non-external _initScanContent
000000018c736db0 (__TEXT,__text) non-external _initScanContentNS
000000018c736858 (__TEXT,__text) non-external _initScanProlog
000000018c736d90 (__TEXT,__text) non-external _initScanPrologNS
000000018c736898 (__TEXT,__text) non-external _initUpdatePosition
000000018c72cdc0 (__TEXT,__text) non-external _initializeEncoding
000000018c733454 (__TEXT,__text) non-external _internalEntityProcessor
000000018c73438c (__TEXT,__text) non-external _internalSubset
00000001dd8d4258 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001dd8d45f8 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001dd8d4088 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001dd8d4428 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018c73af94 (__TEXT,__text) non-external _isNever
00000001dd8d3eb8 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001dd8d4f08 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018c739e6c (__TEXT,__text) non-external _latin1_toUtf16
000000018c739dd4 (__TEXT,__text) non-external _latin1_toUtf8
000000018c73d370 (__TEXT,__text) non-external _little2_attributeValueTok
000000018c73cf08 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018c73dbb4 (__TEXT,__text) non-external _little2_charRefNumber
000000018c73eba0 (__TEXT,__text) non-external _little2_checkPiTarget
000000018c73bcfc (__TEXT,__text) non-external _little2_contentTok
00000001dd8d4b68 (__AUTH_CONST,__const) non-external _little2_encoding
00000001dd8d5478 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018c73d4d8 (__TEXT,__text) non-external _little2_entityValueTok
000000018c73d794 (__TEXT,__text) non-external _little2_getAtts
000000018c73d1a4 (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018c73dee0 (__TEXT,__text) non-external _little2_isPublicId
000000018c73d6a4 (__TEXT,__text) non-external _little2_nameLength
000000018c73d658 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018c73dc90 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018c73b16c (__TEXT,__text) non-external _little2_prologTok
000000018c73ea08 (__TEXT,__text) non-external _little2_scanComment
000000018c73e1b4 (__TEXT,__text) non-external _little2_scanLit
000000018c73e788 (__TEXT,__text) non-external _little2_scanPercent
000000018c73e32c (__TEXT,__text) non-external _little2_scanPi
000000018c73ec3c (__TEXT,__text) non-external _little2_scanRef
000000018c73d744 (__TEXT,__text) non-external _little2_skipS
000000018c73e128 (__TEXT,__text) non-external _little2_toUtf16
000000018c73df94 (__TEXT,__text) non-external _little2_toUtf8
000000018c73dde4 (__TEXT,__text) non-external _little2_updatePosition
000000018c72edcc (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018c744958 (__TEXT,__const) non-external _namePages
000000018c744358 (__TEXT,__const) non-external _namingBitmap
000000018c72ff84 (__TEXT,__text) non-external _nextScaffoldPart
000000018c744858 (__TEXT,__const) non-external _nmstrtPages
000000018c7393b4 (__TEXT,__text) non-external _normal_attributeValueTok
000000018c738f20 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018c739a78 (__TEXT,__text) non-external _normal_charRefNumber
000000018c73a938 (__TEXT,__text) non-external _normal_checkPiTarget
000000018c737be4 (__TEXT,__text) non-external _normal_contentTok
000000018c73951c (__TEXT,__text) non-external _normal_entityValueTok
000000018c739744 (__TEXT,__text) non-external _normal_getAtts
000000018c7391dc (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018c739d28 (__TEXT,__text) non-external _normal_isPublicId
000000018c7396bc (__TEXT,__text) non-external _normal_nameLength
000000018c739678 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018c739b54 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018c736f58 (__TEXT,__text) non-external _normal_prologTok
000000018c73a78c (__TEXT,__text) non-external _normal_scanComment
000000018c739ec0 (__TEXT,__text) non-external _normal_scanLit
000000018c73a4cc (__TEXT,__text) non-external _normal_scanPercent
000000018c73a070 (__TEXT,__text) non-external _normal_scanPi
000000018c73a9bc (__TEXT,__text) non-external _normal_scanRef
000000018c739708 (__TEXT,__text) non-external _normal_skipS
000000018c739c3c (__TEXT,__text) non-external _normal_updatePosition
000000018c733718 (__TEXT,__text) non-external _normalizeLines
000000018c72f11c (__TEXT,__text) non-external _normalizePublicId
000000018c734824 (__TEXT,__text) non-external _notation0
000000018c735d38 (__TEXT,__text) non-external _notation1
000000018c735e78 (__TEXT,__text) non-external _notation2
000000018c735e10 (__TEXT,__text) non-external _notation3
000000018c735ed8 (__TEXT,__text) non-external _notation4
000000018c743080 (__TEXT,__text) non-external _parsePseudoAttribute
000000018c72aa94 (__TEXT,__text) non-external _parserCreate
000000018c72b0a0 (__TEXT,__text) non-external _parserInit
000000018c72f4b0 (__TEXT,__text) non-external _poolAppend
000000018c72bf3c (__TEXT,__text) non-external _poolCopyString
000000018c72be0c (__TEXT,__text) non-external _poolDestroy
000000018c72f664 (__TEXT,__text) non-external _poolGrow
000000018c72ed70 (__TEXT,__text) non-external _poolStoreString
000000018c73008c (__TEXT,__text) non-external _processInternalEntity
000000018c72ea54 (__TEXT,__text) non-external _processXmlDecl
000000018c733fac (__TEXT,__text) non-external _prolog0
000000018c734104 (__TEXT,__text) non-external _prolog1
000000018c734574 (__TEXT,__text) non-external _prolog2
000000018c72cccc (__TEXT,__text) non-external _prologInitProcessor
000000018c72ce44 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018c7303c4 (__TEXT,__text) non-external _reportComment
000000018c72cb08 (__TEXT,__text) non-external _reportDefault
000000018c730294 (__TEXT,__text) non-external _reportProcessingInstruction
000000018c72b7f0 (__TEXT,__text) non-external _setContext
000000018c7329b8 (__TEXT,__text) non-external _setElementTypePrefix
000000018c730718 (__TEXT,__text) non-external _sip24_final
000000018c730628 (__TEXT,__text) non-external _sip24_update
000000018c730824 (__TEXT,__text) non-external _sip_round
000000018c72c334 (__TEXT,__text) non-external _startParsing
000000018c72f818 (__TEXT,__text) non-external _storeAttributeValue
000000018c7318fc (__TEXT,__text) non-external _storeAtts
000000018c72f8a8 (__TEXT,__text) non-external _storeEntityValue
000000018c731810 (__TEXT,__text) non-external _storeRawNames
000000018c73ef7c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018c72cca0 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018c72ccac (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018c736560 (__TEXT,__text) non-external _unknown_isInvalid
000000018c736498 (__TEXT,__text) non-external _unknown_isName
000000018c7364fc (__TEXT,__text) non-external _unknown_isNmstrt
000000018c736694 (__TEXT,__text) non-external _unknown_toUtf16
000000018c736594 (__TEXT,__text) non-external _unknown_toUtf8
000000018c72ccb8 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001dd8d47c8 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001dd8d50d8 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018c73b030 (__TEXT,__text) non-external _utf8_isInvalid2
000000018c73b064 (__TEXT,__text) non-external _utf8_isInvalid3
000000018c73b0f0 (__TEXT,__text) non-external _utf8_isInvalid4
000000018c73af00 (__TEXT,__text) non-external _utf8_isName2
000000018c73af44 (__TEXT,__text) non-external _utf8_isName3
000000018c73af9c (__TEXT,__text) non-external _utf8_isNmstrt2
000000018c73afe0 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018c73adb8 (__TEXT,__text) non-external _utf8_toUtf16
000000018c73ad08 (__TEXT,__text) non-external _utf8_toUtf8
